id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"People of Athens, welcome to this celebration of democracy, of hope, of hope, of perspective. A big thank you from the bottom of my heart for this warm welcome. A big thank you from the bottom of my heart for your trust. And another big thank you for the message of victory that we are sending tonight from all corners of the country. PASOK is here, united and strong, and we are sending a strong response to our political opponents. PASOK is here to give us a new perspective, a hope to turn the country around. Dignity for social justice. The democratic party, the movement of Andreas Papandreou, is here again, a protagonist in the political scene of our country. Friends, every day they fight us in the front and behind the scenes. Every day we are beaten by SYRIZA and New Democracy. But today Athens is sending a clear message: The more they hit us, the stronger we get. Mr Mitsotakis and Mr Tsipras, this is the party that is identified with the Greek people, this is the people-born movement. It is the movement of 1974 that sealed the post-independence, the best years of the Greek people. It embodied the dreams of many generations and made Greece a normal European country. Friends, PASOK is Here, United, Strong. Because the needs of our country call for new struggles. To daily struggles. The Greek people can no longer tolerate inequalities and unreliability. The Greek people can no longer tolerate the client state, the devaluation of the public interest.","Λαέ των Αθηνών, καλώς ήρθες σε αυτή τη γιορτή της δημοκρατίας, της ελπίδας, της , της προοπτικής. Ένα μεγάλο ευχαριστώ από τα βάθη της καρδιάς μου για αυτή τη θερμή υποδοχή. Ένα μεγάλο ευχαριστώ από τα βάθη της καρδιάς μου για την εμπιστοσύνη σας. Και ένα ακόμη μεγάλο ευχαριστώ για το μήνυμα της νίκης, που στέλνουμε απόψε απ’άκρη σ’άκρη της χώρας. Το ΠΑΣΟΚ είναι εδώ ενωμένο δυνατό και και στέλνει αποστομωτική απάντηση στους πολιτικούς μας αντιπάλους. Το ΠΑΣΟΚ είναι εδώ για να δώσει ξανά προοπτική, ελπίδα να γυρίσει η πατρίδα σελίδα. Αξιοπρέπεια για την κοινωνική δικαιοσύνη. Η δημοκρατική παράταξη, το κίνημα του Ανδρέα Παπανδρέου, είναι ξανά εδώ, πρωταγωνιστής στο πολιτικό προσκήνιο της πατρίδας μας. Φίλες και φίλοι, κάθε μέρα μάς πολεμούν στο προσκήνιο και στο παρασκήνιο. Κάθε μέρα μας χτυπούν ΣΥΡΙΖΑ και Νέα Δημοκρατία. Σήμερα όμως η Αθήνα στέλνει ξεκάθαρο μήνυμα: Όσο μας χτυπούν τόσο δυναμώνουμε. Κύριε Μητσοτάκη και κύριε Τσίπρα, αυτή εδώ είναι η Παράταξη που ταυτίστηκε με τον ελληνικό λαό, αυτό είναι το λαογέννητο κίνημα. Είναι το κίνημα του 1974 που σφράγισε τη μεταπολίτευση, τα καλύτερα χρόνια του ελληνικού λαού. Ενσάρκωσε τα όνειρα πολλών γενεών κι έκανε την Ελλάδα μια κανονική ευρωπαϊκή χώρα. Φίλες και φίλοι, το ΠΑΣΟΚ είναι Εδώ, Ενωμένο, Δυνατό. Γιατί οι ανάγκες της χώρας μας καλούν σε νέους αγώνες. Σε αγώνες καθημερινούς. Δεν αντέχει άλλο ο ελληνικός λαός τις ανισότητες, την αναξιοπιστία. Δεν αντέχει άλλο ο ελληνικός λαός το πελατειακό κράτος, την απαξίωση του δημοσίου συμφέροντος. ",political agenda,democracy,other,0.6,0.2,0.1,"[['athens', 'location', '1.0'], ['pasok', 'political party', '1.0'], ['andreas papandreou', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['tsipras', 'person', '1.0'], ['greek', 'country', '1.0'], ['1974', 'date', '1.0']]"
2,"We want a state that respects the citizen. A state that will have a robust democracy, a strong welfare state that will reduce inequalities and give prospects to Greek children through strong public public education, strong public health care. These are the great needs that our country has today. For these needs I call upon you to fight for them every day.","Εμείς θέλουμε ένα κράτος που θα σέβεται τον πολίτη. Ένα κράτος που θα έχει μια ανθεκτική δημοκρατία, ένα ισχυρό κοινωνικό κράτος που θα μειώσει τις ανισότητες και θα δώσει προοπτική στα ελληνόπουλα μέσω της ισχυρής δημόσιας δημόσιας παιδείας, της ισχυρής δημόσιας υγείας. Αυτές είναι οι μεγάλες ανάγκες που έχει σήμερα η πατρίδα μας. Για αυτές τις ανάγκες σας καλώ να αγωνιστούμε καθημερινά.",political agenda,social state,other,0.75,0.0,0.2,"[['state', 'location', '0.5'], ['greek', 'group of people', '0.5'], ['public education', 'organization', '0.5'], ['public health care', 'organization', '0.5'], ['greek children', 'group of people', '0.5']]"
3,"Friends, they are trying to blackmail citizens with fake dilemmas, hoping to distort our electoral base. They want to plunder PASOK, but the plunder is over. PASOK is here to send home the government of Mr Mitsotakis, without going back to the painful experience of 2015-19 with Tsipras and Kammenos.","Φίλες και φίλοι, επιχειρούν να εκβιάσουν τους πολίτες με πλαστά διλήμματα, ευελπιστώντας έτσι να διεμβολίσουν την εκλογική μας βάση. Θέλουν να λεηλατήσουν το ΠΑΣΟΚ, αλλά η λεηλασία τελείωσε. Το ΠΑΣΟΚ είναι εδώ για να στείλει στο σπίτι της και την κυβέρνηση του κ. Μητσοτάκη, χωρίς να επιστρέψουμε στην οδυνηρή εμπειρία του 2015-19 με τον Τσίπρα και τον Καμμένο. ",criticism,other,election spending,-0.6,0.2,0.2,"[['friends', 'group of people', '0.6'], ['citizens', 'group of people', '0.4'], ['pasok', 'organization', '1.0'], ['government', 'organization', '0.3'], ['mitsotakis', 'person', '0.5'], ['tsipras', 'person', '0.3'], ['kammenos', 'person', '0.3'], ['2015-19', 'date', '0.4.']]"
4,"Mr Mitsotakis appears as the only choice for power. Confined to his glass tower, he lives with his Maximos cohorts in a parallel universe revolving around power and themselves. He believes that he is the stability. That he is democracy. That he is the State. May 21 marks the end of Mr Mitsotakis's Ludovite notions. Now Mr Mitsotakis is playing the role of a moderniser, bragging that this will enable him to win over a section of democratic citizens. However, PASOK voters are neither sheep nor lion-eaters. They do not forget, Mr Mitsotakis, that your party in 2009 handed us a bankrupt Greece, and instead of apologising to the people and supporting the agreement that kept our country in the euro, you and Tsipras voted for the path of the drachma. This is not modernisation. That is a compromise with populism. If it had not been for the PASOK MPs, Mr Tsipras and Mr Mitsotakis, if they had not existed then, they would have become prime ministers, they would have been prime ministers in a drachma country. This was their understanding of the economy and the huge social deadlocks that Mr Karamanlis handed us in 2009. The people have a memory. The people do not forget. The people do not forget the family tradition of Mr Mitsotakis, who also teaches me lessons in political realism in the management of the state.","Ο κ. Μητσοτάκης εμφανίζεται ως η μόνη επιλογή εξουσίας. Κλεισμένος στον γυάλινο πύργο του, ζει με την παρέα του Μαξίμου σε ένα παράλληλο σύμπαν που περιστρέφεται γύρω από την εξουσία και τον εαυτό τους. Θεωρεί ότι αυτός είναι η σταθερότητα. Ότι αυτός είναι η δημοκρατία. Ότι αυτός είναι το Κράτος. Τέλος στις 21 Μαΐου στις Λουδοβίκειες αντιλήψεις του κ. Μητσοτάκη. Τώρα τελευταία υποδύεται τον εκσυγχρονιστή ο κ. Μητσοτάκης, βαυκαλίζεται ότι θα μπορέσει έτσι να προσεταιριστεί ένα μέρος των δημοκρατικών πολιτών. Όμως οι ψηφοφόροι του ΠΑΣΟΚ δεν είναι ούτε πρόβατα ούτε λωτοφάγοι. Δεν ξεχνούν οι πολίτες κύριε Μητσοτάκη ότι το κόμμα σου το 2009 μας παρέδωσε μια χρεοκοπημένη Ελλάδα και αντί να ζητήσετε συγγνώμη από το λαό και να στηρίξετε τη συμφωνία που κρατούσε την πατρίδα μας στο ευρώ, ψηφίσατε μαζί με τον Τσίπρα τον δρόμο της δραχμής. Αυτό δεν είναι εκσυγχρονισμός. Αυτό είναι συμβιβασμός με τον λαϊκισμό. Αν δεν υπήρχαν τότε οι βουλευτές του ΠΑΣΟΚ, ο κ. Τσίπρας και ο κ. Μητσοτάκης, αν θα είχαν γίνει πρωθυπουργοί, θα ήταν πρωθυπουργοί σε χώρα της δραχμής. Αυτή ήταν η αντίληψή τους για την οικονομία και τα τεράστια κοινωνικά αδιέξοδα που μας παρέδωσε ο κ. Καραμανλής το 2009. Ο λαός έχει μνήμη. Ο λαός δεν ξεχνά. Ο λαός δεν ξεχνά την οικογενειακή παράδοση του κ. Μητσοτάκη που μου κάνει και μαθήματα πολιτικού ρεαλισμού στη διαχείριση του κράτους.",criticism,economy,bankruptcy,-0.6,0.9,0.2,"[['mr mitsotakis', 'person', '1.0'], ['maximos', 'group of people', '0.6'], ['pasok', 'political party', '1.0'], ['greece', 'country', '1.0'], ['tsipras', 'person', '0.8'], ['mr karamanlis', 'person', '0.6']]"
5,"Who is talking about meritocracy? Who is talking about transparency? The one who, if you put together his and his family's buffers, exceeds the length of the Great Wall of China? Who is the Mitsotakis family giving lessons to? But what is there to remember? The buffets? The defections? Or the eavesdropping parastate that imitated his father and Mr. Mavrikis? He is giving me lessons in meritocracy and transparency, he who is a champion with 10 billion direct awards. Who is a champion of temporary employees. He who spends the taxes of the Greek people, with the sole aim of being supported by the oligarchs, with the sole aim of continuing the client state, with the sole aim of the chair of Maximos. His recent statements that he ""cannot talk to PASOK"" of my era confirm one thing once again: In the stakeouts, I was obviously not a danger to the Republic or to the country; I was a danger - like this grassroots movement - to New Democracy.","Ποιος μιλάει για την αξιοκρατία; Ποιος μιλάει για την διαφάνεια; Αυτός που αν βάλουμε σε σειρά τα ρουσφέτια του ίδιου και της οικογένειάς του, ξεπερνούν σε μήκος το Σινικό Τείχος της Κίνας; Σε ποιους κάνει μαθήματα η οικογένεια Μητσοτάκη; Αλλά τι να πρωτοθυμηθούμε; Τα ρουσφέτια; Τις αποστασίες; Ή το παρακράτος των υποκλοπών που μιμήθηκε τον πατέρα του και τον κ. Μαυρίκη; Μου κάνει μαθήματα αξιοκρατίας και διαφάνειας, αυτός που είναι πρωταθλητής με 10 δισ απευθείας αναθέσεις. Που είναι πρωταθλητής σε μετακλητούς υπαλλήλους. Αυτός που ξοδεύει τους φόρους του ελληνικού λαού, με μόνο στόχο να τον στηρίζουν οι ολιγάρχες, με μόνο στόχο τη συνέχεια του πελατειακού κράτους, με μόνο στόχο την καρέκλα του Μαξίμου. Οι πρόσφατες δηλώσεις του ότι «δεν μπορεί να συνομιλήσει με το ΠΑΣΟΚ» της δικής μου εποχής, επιβεβαιώνουν για μία ακόμα φορά ένα πράγμα: Στις παρακολουθήσεις προφανώς δεν ήμουν κίνδυνος για τη Δημοκρατία ούτε για την πατρίδα, ήμουν κίνδυνος - όπως αυτό το λαογέννητο κίνημα – για τη Νέα Δημοκρατία. ",criticism,other,other,-0.7,0.8,0.7,"[['mitsotakis family', 'group of people', '1.0'], ['great wall of china', 'location', '1.0'], ['maximos', 'organization', '1.0'], ['pasok', 'political party', '1.0'], ['republic', 'country', '1.0'], ['greek people', 'group of people', '1.0'], ['new democracy', 'political party', '1.0']]"
6,"The stronger PASOK, the more the power of Mr Mitsotakis creaks. However, all of you 270,000 democratic citizens have given me a mandate for an autonomous course. And the autonomous march does not enter into power bargains. We are talking about stable governments, about programmatic convergence. No bargaining with oligarchs, no bargaining with ministries. Mr Mitsotakis and Mr Tsipras should go elsewhere if they think that this historic movement will become a crutch for their power. With your thunderous presence today, you are proving that PASOK is strong, that it is a protagonist. And on 21 May you are sending a message of victory to every democrat, to every progressive Greek. This movement, this historic movement has only one concern: to serve the people and the homeland in a genuine way. That is why we are united. More united than ever!","Όσο πιο ισχυρό ΠΑΣΟΚ, τόσο περισσότερο τρίζει η εξουσία του κ. Μητσοτάκη. Όμως, όλοι εσείς οι 270.000 δημοκρατικοί πολίτες, μου δώσατε εντολή αυτόνομης πορείας. Και η αυτόνομη πορεία δεν μπαίνει σε παζάρια εξουσίας. Εμείς μιλάμε για σταθερές κυβερνήσεις, για προγραμματικές συγκλίσεις. Όχι σε παζάρια με ολιγάρχες, όχι σε παζάρια με υπουργεία. Να πάει αλλού ο κ. Μητσοτάκης και ο κ. Τσίπρας αν νομίζουν ότι αυτό το ιστορικό κίνημα θα γίνει δεκανίκι της εξουσίας τους. Εσείς με τη σημερινή σας βροντερή παρουσία αποδεικνύετε ότι το ΠΑΣΟΚ είναι ισχυρό, είναι πρωταγωνιστής. Και στις 21 Μαΐου στέλνετε μήνυμα νίκης σε κάθε δημοκράτη, σε κάθε προοδευτικό Έλληνα. Αυτό το κίνημα, το ιστορικό κίνημα έχει μόνο μια αγωνία: Να υπηρετήσει με γνήσιο τρόπο τον λαό και την πατρίδα. Γι’ αυτό είμαστε ενωμένοι. Πιο ενωμένοι από ποτέ! ",political agenda,elections,coalition,0.6,0.2,0.2,"[['pasok', 'political party', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['270', '000 democratic citizens', 'group of people', '1.0'], ['mr tsipras', 'person', '0.5'], ['greek', 'country', '1.0'], ['21 may', 'date', '1.0']]"
7,"Because we know how dangerous the systems of power are that have been governing for the last 8.5 years. They do not respect human rights, they do not respect the rule of law, they do not respect justice and the separation of powers.","Γιατί γνωρίζουμε πόσο επικίνδυνα συστήματα εξουσίας είναι αυτά που κυβερνούν τα τελευταία 8,5 χρόνια. Δεν σέβονται ανθρώπινα δικαιώματα, δεν σέβονται κράτος δικαίου, δεν σέβονται τη δικαιοσύνη και τη διάκριση των εξουσιών. ",criticism,democracy,other,-1.0,0.2,0.2,"[['power', 'organization', '0.7'], ['human rights', 'group of people', '0.7'], ['rule of law', 'group of people', '0.7'], ['justice', 'group of people', '0.7'], ['separation of powers', 'group of people', '0.7']]"
8,"We are here for a strong PASOK, to become a barrier - a mound against arrogance, against the client state, against everything that undermines the prospects of the Greek people. Greeks, after your 2015-19 experience of the Tsipras-Kammenos coalition government, we understand the fear of the return of populism, divisiveness and viciousness. That is why I ask for a strong mandate, so that you have a strong alternative. The real progressive democratic party is the option to close the cycle of Mitsotakis' government.","Εμείς είμαστε εδώ για ένα ισχυρό ΠΑΣΟΚ, για να μπούμε εμπόδιο – ανάχωμα στην αλαζονεία, στο πελατειακό κράτος, σε ό,τι υπονομεύει την προοπτική του ελληνικού λαού. Ελληνίδες και Έλληνες, μετά την εμπειρία σας 2015-19, από τη συγκυβέρνηση Τσίπρα – Καμμένου, καταλαβαίνουμε τον φόβο της επαναφοράς του λαϊκισμού, της διχόνοιας και της φαυλότητας. Γι’ αυτό ζητώ ισχυρή εντολή, για να έχετε ισχυρή εναλλακτική. Η πραγματική προοδευτική δημοκρατική παράταξη είναι η επιλογή για να κλείσει ο κύκλος της διακυβέρνησης του κ. Μητσοτάκη. ",political agenda,elections,populism,0.5,0.2,0.4,"[['pasok', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['tsipras-kammenos coalition government', 'political party', '1.0'], ['populism', 'political party', '0.75'], [""mitsotakis' government"", 'political party', '1.0']]"
9,"Tsipras said yesterday that Varoufakis with the Demetra programme is a sponsor of Mitsotakis, and if Varoufakis did not exist, Tsipras added, he would have had to invent him in order to terrorise the centrist citizens. But is he the only one who terrorises the centrist citizens, Mr Tsipras?","Ο κ. Τσίπρας είπε χθες ότι ο κ. Βαρουφάκης με το πρόγραμμα «Δήμητρα» είναι χορηγός του κ. Μητσοτάκη, και αν μάλιστα δεν υπήρχε ο Βαρουφάκης, προσθέτει ο κ. Τσίπρας, ότι έπρεπε να τον εφεύρει για να τρομοκρατεί τους κεντρώους πολίτες. Μόνο όμως αυτός τρομοκρατεί τους κεντρώους πολίτες, κ. Τσίπρα; ",criticism,other,other,-0.2,0.2,0.2,"[['tsipras', 'person', '1.0'], ['varoufakis', 'person', '1.0'], ['demetra', 'organization', '0.5'], ['mitsotakis', 'person', '1.0'], ['centrist citizens', 'group of people', '0.5']]"
10,Isn't Mr Tsakalotos talking about local currencies in a European Union country not terrorising the centrist citizens?,"Μήπως ο κ. Τσακαλώτος που μιλάει για τοπικά νομίσματα σε μια χώρα της Ευρωπαϊκής Ένωσης, δεν τρομοκρατεί τους κεντρώους πολίτες; ",criticism,europe,other,0.0,0.2,0.0,"[['mr tsakalotos', 'person', '0.9'], ['european union', 'organization', '0.9.']]"
