id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Homeland, a big thank you for your warm welcome. Thank you from the bottom of my heart. Democratic Heraklion sends a message of joy, hope, victory and the rebirth of the democratic party. Here in Heraklion, the historic castle of PASOK. In the square where Andreas Papandreou loved and adored. Here again we begin by picking up the thread of history. Here in this square. In 1985 I first heard our founder Andreas Papandreou as a child. It was here in this square that I heard the late George Gennimata in 1993. Here in this square today, after many decades, I come. And I thank you from the bottom of my heart. Because you are once again proudly raising the flag of PASOK, the sun, the sun of optimism, the sun of hope, the sun of social justice and our national dignity. PASOK is here, united, strong. All generations of the Democratic Party are here in Democratic Heraklion, sending a message from all corners of the country. The Democratic Party, the people-born movement of May 21, is once again becoming the protagonist of developments. We have a national debt. We have a national debt. We have a national debt on May 21 to revive our movement, because it is a one-way street for Greece to become strong again and the Greek people to become proud.","Πατρίδα, ένα μεγάλο ευχαριστώ για τη θερμή σου υποδοχή. Σας ευχαριστώ από τα βάθη της καρδιάς μου. Το Δημοκρατικό Ηράκλειο στέλνει μήνυμα χαράς, ελπίδας, νίκης, αναγέννησης της δημοκρατικής Παράταξης. Εδώ στο Ηράκλειο, το ιστορικό κάστρο του ΠΑΣΟΚ. Στην πλατεία που αγάπησε και λάτρεψε τον Ανδρέα Παπανδρέου. Εδώ ξανά ξεκινάμε πιάνοντας το νήμα της ιστορίας. Εδώ σ αυτή την πλατεία. Το 1985 άκουσα για πρώτη φορά τον ιδρυτή μας Ανδρέα Παπανδρέου ως παιδί. Εδώ σ'αυτή την πλατεία άκουσα το 1993 τον αείμνηστο Γεώργιο Γεννηματά. Εδώ σ'αυτήν την πλατεία σήμερα, μετά από πολλές δεκαετίες έρχομαι. Και σας ευχαριστώ από τα βάθη της καρδιάς μου. Γιατί σηκώνετε ξανά περήφανα τη σημαία του ΠΑΣΟΚ, τον ήλιο, τον ήλιο της αισιοδοξίας, τον ήλιο της ελπίδας, τον ήλιο της κοινωνικής δικαιοσύνης και της εθνικής μας αξιοπρέπειας. Το ΠΑΣΟΚ είναι εδώ, ενωμένο, δυνατό. Όλες οι γενιές της Δημοκρατικής Παράταξης είναι εδώ στο Δημοκρατικό Ηράκλειο και στέλνουν μήνυμα απ'άκρη σε άκρη της χώρας. Η δημοκρατική Παράταξη το λαογέννητο κίνημα 21 Μαϊου ξαναγίνεται πρωταγωνιστής των εξελίξεων. Έχουμε εθνικό χρέος. Έχουμε εθνικό χρέος. Έχουμε εθνικό χρέος 21 Μαΐου να αναγεννήσουμε το κίνημά μας, γιατί είναι μονόδρομος για να ξαναγίνει ισχυρή η Ελλάδα και περήφανος ο ελληνικός λαός. ",political agenda,debt,other,0.8,0.0,0.0,"[['heraklion', 'location', '1.0'], ['democratic heraklion', 'group of people', '0.8'], ['pasok', 'political party', '1.0'], ['andreas papandreou', 'person', '1.0'], ['george gennimata', 'person', '1.0'], ['democratic party', 'political party', '0.8'], ['may 21', 'date', '1.0'], ['greece', 'country', '1.0'], ['greek people', 'group of people', '0.8']]"
2,"Putting into the dustbin of history the discord, the toxicity offered by Mr Tsipras and Mr Mitsotakis at the expense of the public interest. However, friends, I would like to clarify to our political opponents here from Heraklion that there are no titles of ownership of the historical social legacy of the democratic party. This legacy and its continuators are those who fight every day for respect for human rights, for a strong rule of law, for the separation of powers.","Βάζοντας στο χρονοντούλαπο της ιστορίας τη διχόνοια, την τοξικότητα που προσφέρει ο κύριος Τσίπρας και ο κύριος Μητσοτάκης εις βάρος του δημοσίου συμφέροντος. Φίλες και φίλοι, θέλω όμως εδώ από το Ηράκλειο να διευκρινίσω στους πολιτικούς μας αντιπάλους ότι δεν υπάρχουν τίτλοι ιδιοκτησίας της ιστορικής κοινωνικής παρακαταθήκης της δημοκρατικής Παράταξης. Αυτή η παρακαταθήκη και οι συνεχιστές της είναι αυτοί που καθημερινά αγωνίζονται για σεβασμό στα ανθρώπινα δικαιώματα, για ισχυρό κράτος δικαίου, για διάκριση των εξουσιών. ",political agenda,democracy,other,0.2,0.0,0.0,"[['mr tsipras', 'person', '0.6'], ['mr mitsotakis', 'person', '0.6'], ['heraklion', 'location', '0.6'], ['democratic party', 'political party', '0.8']]"
3,"What are those doing who want to abuse this historical and social legacy of the party founded by Eleftherios Venizelos and re-founded by Andreas Papandreou in 1974? Let us take the example of Neo-Nazism and Golden Dawn. Let us take this example. What they did for Golden Dawn. One looked at the polls. Mr Mitsotakis, while Golden Dawn was below 3%, it was useful for his self-reliance and did nothing for three years and in addition let Kasidiaris campaign from prison. What did Mr Tsipras do? What were his democratic reflexes?","Τι κάνουν αυτοί οι οποίοι θέλουν να καπηλευτούν αυτή την ιστορική και κοινωνική παρακαταθήκη του κόμματος που ίδρυσε ο Ελευθέριος Βενιζέλος και επανίδρυσε ο Ανδρέας Παπανδρέου το 1974; Ας πάρουμε το παράδειγμα του Νεοναζισμού και της Χρυσής Αυγής. Ας πάρουμε αυτό το παράδειγμα. Τι έκαναν για τη Χρυσή Αυγή. Ο ένας κοίταζε τις δημοσκοπήσεις. Ο κύριος Μητσοτάκης όσο η Χρυσή Αυγή ήταν κάτω από το 3%, ήταν χρήσιμη για την αυτοδυναμία του και δεν έκανε τίποτα τρία χρόνια και άφηνε επιπλέον τον Κασιδιάρη να κάνει προεκλογική εκστρατεία από τη φυλακή. Ο κύριος Τσίπρας τι έκανε; Ποια ήταν τα δημοκρατικά του αντανακλαστικά; ",criticism,democracy,neo-nazism,0.0,0.5,0.0,"[['eleftherios venizelos', 'person', '1.0'], ['andreas papandreou', 'person', '1.0'], ['golden dawn', 'group of people', '1.0'], ['neo-nazism', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['kasidiaris', 'person', '1.0'], ['tsipras', 'person', '1.0']]"
4,"Today the square of Democratic Heraklion shows who the real opponent of the Right is. Already Mitsotakis would be a thing of the past if it were not for Mr. Tsipras. That is why on May 21 the real opponent of New Democracy is reborn. But what did Mr Tsipras do about Golden Dawn? The so-called leftist, the so-called progressive? The day before yesterday, the unscrupulous Mr Tsipras invited the misguided voters of Golden Dawn to vote for him.","Σήμερα η πλατεία του Δημοκρατικού Ηρακλείου δείχνει ποιος είναι ο πραγματικός αντίπαλος της Δεξιάς. Ήδη ο Μητσοτάκης θα ήταν παρελθόν αν δεν υπήρχε ο κύριος Τσίπρας. Για αυτό 21 Μαΐου αναγεννάται ο Πραγματικός αντίπαλος της Νέας Δημοκρατίας. Τι έκανε όμως ο κύριος Τσίπρας για τη Χρυσή Αυγή; Ο δήθεν αριστερός, ο δήθεν προοδευτικός; Ο αδίστακτος κ. Τσίπρας προχθές κάλεσε να τον ψηφίσουν οι παραστρατημένοι ψηφοφόροι της Χρυσής Αυγής. ",criticism,democracy,far-right,-0.6,0.8,0.5,"[['democratic heraklion', 'group of people', '1.0'], ['mitsotakis', 'person', '1.0'], ['mr. tsipras', 'person', '1.0'], ['may 21', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['golden dawn', 'political party', '1.0']]"
5,"You know, this place has always had a patriotic, democratic feeling. That's why Golden Dawn never grew in Crete.","Ξέρετε, αυτός εδώ ο τόπος είχε πάντα ένα αίσθημα πατριωτικό, δημοκρατικό. Γι αυτό δεν φύτρωσε ποτέ η Χρυσή Αυγή στην Κρήτη. ",criticism,democracy,far-right,0.7,0.1,0.0,"[['crete', 'location', '0.9'], ['golden dawn', 'political party', '0.8']]"
6,"From this proud place, we send a message to Mr.Tsipras that when he invites the excrement of the apologists of the junta, he must also take responsibility. Why is he inviting me to progressive fronts? Who are the progressives? Who are the anti-rightists? Those who were with Mr. Kamenos and now have half of Kamenos' party on their ballots or those who have Antonaros, the right hand of Karamanlis, the Karamanlis of bankruptcy, whom Mr. Tsipras cheered from Serres the day before yesterday. But come on, come on, let's accept that for electoral reasons he is coddling the Karamanian right. But the progressive world, the democratic world, does not accept that he should caress the extreme right-wing neo-Nazis and that Barbarousis should come out and tell the Golden Dawn MP that he will vote for Syriza. It is a disgrace and I invite every leftist, every democrat, every progressive to the great embrace of the democratic party, to the real home, PASOK, our movement. But now. But now what he said in the last few hours proves why Mr. Tsipras in Parliament did not vote for the amendment that prohibits the killers of Fyssa, the killers of immigrants, from participating in the political system. You know, but that's not all.","Από αυτό τον περήφανο τόπο, στέλνουμε ένα μήνυμα στον κ. Τσίπρα ότι όταν προσκαλεί τα περιτρίμματα των απολογητών της χούντας πρέπει να αναλάβει και τις ευθύνες του. Γιατί με καλεί σε προοδευτικά μέτωπα; Ποιοι είναι οι προοδευτικοί; Ποιοι είναι οι αντιδεξιοί; Αυτοί που ήταν με τον κύριο Καμμένο και τώρα είναι το μισό κόμμα του Καμμένου στα ψηφοδέλτιά τους ή αυτοί που έχουν τον Αντώναρο, το δεξί χέρι του Καραμανλή, του Καραμανλή της χρεοκοπίας που από τις Σέρρες επευφημούσε προχθές ο κ. Τσίπρας. Αλλά άντε, άντε να δεχτούμε ότι για εκλογικούς λόγους χαϊδεύει την καραμανλική δεξιά. Δεν δέχεται όμως ο προοδευτικός κόσμος, ο δημοκρατικός κόσμος να χαϊδεύει τους ακροδεξιούς νεοναζιστές και να βγαίνει ο Μπαρμπαρούσης και να λέει ο βουλευτής της Χρυσής Αυγής ότι θα ψηφίσει ΣΥΡΙΖΑ. Είναι ντροπή και καλώ κάθε αριστερό, κάθε δημοκράτη, κάθε προοδευτικό στη μεγάλη αγκαλιά της δημοκρατικής παράταξης, στο πραγματικό σπίτι, το ΠΑΣΟΚ, το κίνημά μας. Τώρα όμως. Τώρα όμως με αυτά που είπε τις τελευταίες ώρες αποδεικνύεται γιατί ο κ. Τσίπρας στη Βουλή δεν ψήφισε την τροπολογία που απαγορεύει από τους φονιάδες του Φύσσα, από τους φονιάδες των μεταναστών να συμμετέχουν στο πολιτικό σύστημα. Ξέρετε, δεν είναι όμως μόνο αυτό. ",criticism,democracy,neo-nazism,-0.52,0.8,0.8,"[['mr. tsipras', 'person', '0.6'], ['apologists', 'group of people', '0.4'], ['junta', 'political party', '0.4'], ['progressives', 'group of people', '0.8'], ['anti-rightists', 'group of people', '0.4'], ['mr. kamenos', 'person', '0.6'], ['karamanlis', 'person', '1.0'], ['antonaros', 'person', '0.6'], ['syriza', 'organization', '0.8'], ['barbarousis', 'person', '0.6'], ['golden dawn', 'political party', '0.6'], ['democratic party', 'organization', '0.8'], ['pasok', 'organization', '0.8'], ['parliament', 'location', '1.0'], ['fyssa', 'date', '0.6'], ['immigrants', 'group of people', '0.6']]"
7,"Justice. Who respected justice? My friends, Mr Tsipras was acquitted by the Special Court, a member of Syriza, and he said that justice works very well. Another member of Syriza, his closest associate, was convicted 13-0, justice is bad. Mr Mitsotakis, we are catching him with a goat on his back. With the illegal wiretaps that I am also a victim of and the Armed Forces Authority, he is absolutely covering for his nephew. So what justice? When has justice ever been respected? We discover the interceptions, for months I was bombarded by the New Republic social media that I was an agent of foreign powers. What the right did in the post-civil war state at the expense of the left. And when after a few hours I went to justice, instead of the Left really and genuinely supporting our effort, they started to instrumentalize the case by telling the people ""don't trust him, he's taken"".","Στη Δικαιοσύνη. Ποιος σεβάστηκε τη δικαιοσύνη; Φίλες και φίλοι, ο μεν κύριος Τσίπρας αθωώθηκε από το Ειδικό Δικαστήριο ένα στέλεχος του ΣΥΡΙΖΑ και έλεγε πολύ καλά λειτουργεί η Δικαιοσύνη. Καταδικάστηκε ένα άλλο στέλεχος του ΣΥΡΙΖΑ, ο στενότερός του συνεργάτης 13-0, είναι κακή η δικαιοσύνη. Ο κ. Μητσοτάκης, τον πιάνουμε με τη γίδα στην πλάτη. Με τις παράνομες υποκλοπές που είμαι κι εγώ θύμα και η αρχή των Ενόπλων Δυνάμεων, καλύπτει απολύτως τον ανιψιό του. Ποια δικαιοσύνη λοιπόν; Πότε σεβάστηκαν τη δικαιοσύνη; Ανακαλύπτουμε τις υποκλοπές, για μήνες ολόκληρους με βομβάρδιζαν τα σόσιαλ μίντια της Νέας Δημοκρατίας ότι ήμουν πράκτορας ξένων δυνάμεων. Αυτά που έκανε η Δεξιά στο μετεμφυλιακό κράτος εις βάρος της Αριστεράς. Κι όταν μετά από λίγες ώρες πήγα στη δικαιοσύνη, αντί η Αριστερά να στηρίξει πραγματικά και γνήσια την προσπάθειά μας, ξεκίνησαν να εργαλειοποιήσουν την υπόθεση λέγοντας στον λαό «μην τον εμπιστευθείτε, είναι πιασμένος». ",criticism,other,other,-0.7,0.7,0.5,"[['mr tsipras', 'person', '0.5'], ['syriza', 'political party', '1.0'], ['special court', 'organization', '0.6'], ['mr mitsotakis', 'person', '0.5'], ['armed forces authority', 'organization', '0.7'], ['new republic', 'organization', '0.6'], ['left', 'group of people', '0.7']]"
8,"We are so much autonomous from the oligarchy. The new political ethos of the party will respect every Greek woman and every Greek who has just been a point of corruption, we sent a lady home, while Mitsotakis covers his nephew and Mr Tsipras covers his best friend, by having him on the ballot papers, on the SYRIZA ballot papers.","Εμείς είμαστε τόσο πολύ αυτόνομοι από την ολιγαρχία. Το νέο πολιτικό ήθος της παράταξης θα σεβαστεί κάθε Ελληνίδα και κάθε Έλληνα που μόλις υπήρξε ένα σημείο διαφθοράς, στείλαμε μια κυρία σπίτι της, ενώ ο Μητσοτάκης καλύπτει τον ανιψιό του και ο κ. Τσίπρας τον κολλητό του, έχοντάς τον στα ψηφοδέλτια, στα ψηφοδέλτια του ΣΥΡΙΖΑ. ",criticism,,corruption,0.3,0.1,0.5,"[['greek', 'nationality', '1.0'], ['mitsotakis', 'person', '1.0'], ['syriza', 'organization', '1.0'], ['tsipras', 'person', '1.0']]"
9,"So who expresses the new political ethos? Shall we go back to the tragedy of Tempe? What happened in Tempe? The Independent Transparency Authority in October '21 had a conclusion that said who was responsible from '14 to '21 between governments and SYRIZA and New Democracy, that while Europe gave 55 million euros for telecommunications, there was no telecommunications and 57 of our fellow citizens died unjustly. What happened to this conclusion? Minister Karamanlis locked it away in his drawer. And this gentleman is today also on the ballot papers of the New Democracy. But why has he stopped? Why has SYRIZA stopped talking about this finding? Because it also reveals its own responsibilities, which gave seven extensions to the project in favour of the contractor company so that it would never be implemented.","Ποιοι λοιπόν εκφράζουν το νέο πολιτικό ήθος; Να πάμε στην τραγωδία των Τεμπών; Τι έγινε στα Τέμπη; Η Ανεξάρτητη Αρχή Διαφάνειας Οκτώβριο του '21 είχε πόρισμα που έλεγε ποιοι ευθύνονται από το '14 μέχρι το '21 μεταξύ κυβερνήσεων και ΣΥΡΙΖΑ και Νέας Δημοκρατίας, που ενώ η Ευρώπη έδωσε 55 εκατομμύρια ευρώ για την τηλεδιοίκηση, δεν υπήρξε τηλεδιοίκηση και 57 συμπολίτες μας έχασαν άδικα τη ζωή τους. Τι έγινε αυτό το πόρισμα; Ο υπουργός κ. Καραμανλής το κλείδωσε στο συρτάρι του. Και αυτός ο κύριος είναι σήμερα και αυτός στα ψηφοδέλτια της Νέας Δημοκρατίας. Αλλά γιατί έχει σταματήσει; Γιατί έχει σταματήσει να μιλά γι αυτό το πόρισμα ο ΣΥΡΙΖΑ; Διότι αποκαλύπτει και τις δικές του ευθύνες, που έδωσε εφτά παρατάσεις στο έργο προς όφελος της αναδόχου εταιρείας για να μην υλοποιηθεί ποτέ. ",criticism,accountability,other,-0.3,0.0,0.2,"[['tempe', 'location', '1.0'], ['independent transparency authority', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['europe', 'organization', '1.0'], ['karamanlis', 'person', '1.0']]"
10,"So we are the democratic party, because we respect justice, we respect people, we respect the citizen and we have a vision for Greece to become a normal European country and not our state, and not our state to be a tool of power for the tenant of Maximos.","Εμείς λοιπόν είμαστε η δημοκρατική παράταξη, γιατί σεβόμαστε τη δικαιοσύνη, σεβόμαστε τον άνθρωπο, σεβόμαστε τον πολίτη και έχουμε όραμα η Ελλάδα να γίνει μία κανονική ευρωπαϊκή χώρα κι όχι το κράτος μας, κι όχι το κράτος μας να είναι εργαλείο εξουσίας στον εκάστοτε ένοικο του Μαξίμου. ",criticism,democracy,other,0.4,0.2,0.3,"[['greece', 'country', '1.0'], ['democratic party', 'political party', '1.0'], ['maximos', 'location', '1.0']]"
