id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Here on the beautiful island of Lesbos, the island of heroic fighting traditions and indissoluble ties with the KKE, we are holding our first big gathering after the official announcement of the elections. And from here we want to send a strong, optimistic, hopeful message. That of a decisive strengthening of the KKE. Yes, on 21 May, our people can surprise us by taking the KKE much higher! It can strengthen its own voice, its own power, its support against tomorrow's anti-people's government, by illuminating the prospect of the great, radical changes that our country needs in order to live, at last, as we deserve in the 21st century.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι.Εδώ στο όμορφο νησί της Λέσβου, το νησί των ηρωικών αγωνιστικών παραδόσεων και των ακατάλυτων δεσμών με το ΚΚΕ, πραγματοποιούμε την πρώτη μας μεγάλη συγκέντρωση μετά την επίσημη προκήρυξη των εκλογών. Κι από δω θέλουμε να στείλουμε ένα δυνατό, αισιόδοξο, ελπιδοφόρο μήνυμα. Αυτό, της αποφασιστικής ενίσχυσης του ΚΚΕ. Ναι, στις 21 Μαϊου, ο λαός μας μπορεί να κάνει την έκπληξη φέρνοντας το ΚΚΕ πολύ πιο ψηλά! Μπορεί να δυναμώσει τη δική του φωνή, τη δική του δύναμη, το στήριγμά του απέναντι στην αυριανή αντιλαϊκή κυβέρνηση φωτίζοντας την προοπτική των μεγάλων, των ριζικών αλλαγών που έχει ανάγκη ο τόπος μας για να ζήσουμε, επιτέλους, όπως μας αξίζει τον 21ο αιώνα.",political agenda,elections,election spending,0.8,0.0,0.0,"[['lesbos', 'location', '1.0'], ['kke', 'political party', '1.0'], ['21 may', 'date', '1.0'], ['our people', 'group of people', '1.0'], [""anti-people's government"", 'organization', '1.0'], ['our country', 'country', '1.0'], ['the 21st century', 'date', '1.0']]"
2,"We have already seen and heard a lot. We will see and hear even more in the coming weeks. No worker, no farmer, no self-employed professional, no scientist, no young man or woman should be subjected to the blackmailing dilemmas, nor to the phony bickering staged in front of the cameras by those who have ruled all these years and have brought us to this point, continuing one after the other on the same dead-end road for the people.","Έχουμε δει και ακούσει ήδη πολλά. Θα δούμε και θα ακούσουμε ακόμα περισσότερα τις επόμενες βδομάδες. Κανένας εργαζόμενος, κανένας αγρότης, αυτοαπασχολούμενος επαγγελματίας, επιστήμονας, κανένας νέος και νέα δεν πρέπει να τσιμπήσει ούτε στα εκβιαστικά διλήμματα, ούτε στον κάλπικο τσακωμό που στήνουν μπροστά στις κάμερες αυτοί που έχουν κυβερνήσει όλα τα τελευταία χρόνια και μας έχουν φέρει ως εδώ, συνεχίζοντας ο ένας μετά τον άλλο στον ίδιο αδιέξοδο δρόμο για το λαό.",political agenda,elections,austerity,-0.5,0.0,0.0,[]
3,"They have the audacity to wag their finger at the people, talking about the danger of ""ungovernability and instability""! Who are they kidding? What will prevent them from forming a government? Have they not all co-opted everyone in previous years when that was required to continue to bleed the many for the gains of the few? Didn't they vote for the memos together? The first of PASOK, the second of ND and PASOK, the third of SYRIZA which all three voted for together? Didn't ND and PASOK vote for half of the bills of the SYRIZA-Annel government and SYRIZA and PASOK for more than half of the bills of the ND government?","Έχουν το θράσος να κουνάνε το δάχτυλο στον λαό, μιλώντας για τον κίνδυνο «ακυβερνησίας και αστάθειας»! Ποιον κοροϊδεύουν; Τι θα τους εμποδίσει να σχηματίσουν κυβέρνηση; Μήπως δεν έχουν συγκυβερνήσει όλοι με όλους τα προηγούμενα χρόνια, όταν αυτό απαιτήθηκε για να συνεχίσουν να ματώνουν τους πολλούς, για τα κέρδη των λίγων; Μήπως δεν ψήφισαν μαζί τα μνημόνια; Το πρώτο του ΠΑΣΟΚ, το δεύτερο της ΝΔ και του ΠΑΣΟΚ, το τρίτο του ΣΥΡΙΖΑ που το ψήφισαν και οι τρεις μαζί; Μήπως δεν ψήφισαν η ΝΔ με το ΠΑΣΟΚ τα μισά νομοσχέδια της κυβέρνησης ΣΥΡΙΖΑ-ΑΝΕΛ και ο ΣΥΡΙΖΑ με το ΠΑΣΟΚ πάνω από τα μισά νομοσχέδια της κυβέρνησης της ΝΔ;",criticism,elections,other,-0.6,0.2,0.7,"[['pasok', 'organization', '1.0'], ['nd', 'organization', '1.0'], ['syriza', 'organization', '1.0']]"
4,"Do they not have on their ballots former executives of each other, who we see changing parties like shirts, precisely because these parties all do the same job, just as all shirts do the same job? Do they not currently have a common agenda on the key issues that will determine the course of the country next election? That common programme is the commitments of all of them in the new Supermemorandum, the EU Recovery Fund.","Μήπως δεν έχουν στα ψηφοδέλτιά τους ο ένας πρώην στελέχη του άλλου, που τους βλέπουμε να αλλάζουν κόμματα σαν τα πουκάμισα, ακριβώς επειδή αυτά τα κόμματα κάνουν όλα την ίδια δουλειά, όπως την ίδια δουλειά κάνουν όλα τα πουκάμισα; Μήπως δεν έχουν σήμερα κοινό πρόγραμμα στα βασικά ζητήματα που θα καθορίσουν την πορεία της χώρας την επόμενη των εκλογών; Αυτό το κοινό πρόγραμμα είναι οι δεσμεύσεις όλων τους στο νέο Υπερμνημόνιο, το Ταμείο Ανάκαμψης της ΕΕ. ",criticism,elections,other,0.0,0.2,0.0,"[['executives', 'person', '0.55'], ['parties', 'group of people', '0.9'], ['supermemorandum', 'organization', '0.8'], ['eu recovery fund', 'organization', '0.9']]"
5,"It is their commitment to so-called green growth, which is only green in the colour of the money that comes out of the pockets of households and goes into the pockets of the predators. In fact, in the past week, the MEPs of the New Democracy, Syriza and PASOK voted for the new package of price increases on consumer goods, increases in ferry and air fares, and increases in the cost of maintaining old houses and cars under the name 'fit for 55'. Out of their great sensitivity to the environment all this - of course, of course - and to reduce - they say - pollutants. And in the same package they include in their miserable 'pollutant trade' the health and environmentally destructive burning of waste for electricity generation! Such sensitivity, along with plenty of psychedelia. Their common program is the prerequisites for the Greek capitalist economy to get the notorious ""investment grade""! This is shown by their bickering over who is more capable of achieving it.","Είναι οι δεσμεύσεις τους στη δήθεν πράσινη ανάπτυξη, που το μόνο πράσινο που έχει είναι το χρώμα του χρήματος που βγαίνει από τις τσέπες των νοικοκυριών και πάει στις τσέπες των αρπακτικών. Μάλιστα, μέσα στη βδομάδα που πέρασε, οι ευρωβουλευτές της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ ψήφισαν το καινούριο πακέτο αυξήσεων τιμών σε είδη πλατιάς λαϊκής κατανάλωσης, αυξήσεων των ναύλων σε ακτοπλοΐα και αερομεταφορές, του κόστους συντήρησης παλαιών κατοικιών και αυτοκινήτων με την ονομασία “fit for 55”. Από την πολλή ευαισθησία τους για το περιβάλλον όλα αυτά - βεβαίως, βεβαίως - και για να μειωθούν – λένε - οι ρύποι. Και με το ίδιο πακέτο εντάσσουν στο άθλιο «εμπόριο ρύπων» την καταστροφική για την υγεία και το περιβάλλον καύση απορριμμάτων για παραγωγή ηλεκτρικής ενέργειας! Τόση ευαισθησία, μαζί με μπόλικη ψυχεδέλεια. Κοινό τους πρόγραμμα είναι τα προαπαιτούμενα, για να πάρει η ελληνική καπιταλιστική οικονομία την περιβόητη «επενδυτική βαθμίδα»! Αυτό δείχνει ο τσακωμός τους για το ποιος είναι πιο ικανός να την πετύχει. ",criticism,environment,green energy,-0.9,0.8,0.1,"[['new democracy', 'organization', '0.8'], ['syriza', 'organization', '0.8'], ['pasok', 'organization', '0.8'], ['greek', 'location', '0.8'], ['meps', 'group of people', '0.8'], ['fit for 55', 'date', '0.8']]"
6,"We have never seen them, of course, fighting like this, over who is more capable of bringing back collective agreements, the Sunday holiday, the 13th and 14th public wages and pensions, all the things they have cut in recent years. Investment grade, after all, means preserving crushed labour rights to make the country attractive to investors. They should enjoy tax breaks and the people should continue to bleed by paying 95% of the tax revenues in order to return the 'bloody' surpluses.","Δεν τους είδαμε, βέβαια, ποτέ, να τσακώνονται έτσι, για το ποιος είναι πιο ικανός να επαναφέρει τις συλλογικές συμβάσεις εργασίας, την κυριακάτικη αργία, τον 13ο και 14ο μισθό στο δημόσιο και τις συντάξεις, όλα αυτά που πετσόκοψαν τα τελευταία χρόνια. Επενδυτική βαθμίδα, άλλωστε, σημαίνει να διατηρηθούν τα τσακισμένα εργατικά δικαιώματα για να είναι η χώρα ελκυστική για τους επενδυτές. Να απολαμβάνουν αυτοί φοροαπαλλαγές και να συνεχίσει να ματώνει ο λαός πληρώνοντας το 95% των φορολογικών εσόδων, προκειμένου να επιστρέψουν τα «ματωμένα» πλεονάσματα. ",criticism,employment,other,-0.8,0.2,0.4,"[['sunday holiday', 'date', '1.0'], ['13th and 14th public wages', 'date', '1.0'], ['investment grade', 'organization', '1.0'], ['labour rights', 'organization', '0.6'], ['tax revenues', 'organization', '0.7']]"
7,"And since spring is well and truly here and the notorious ""hard winter"" is over, let's see: Was it hard for everyone? This year, listed companies on the stock exchange will distribute their largest dividends to their major shareholders since 2009. And with very little taxation, since SYRIZA took it from 15% to 10% and ND from 10% to 5%. Banks, respectively, posted pre-tax profits of €4.5 billion, while a number of energy and oil monopolies are showing historic profitability performances with over €1 billion in one year. All this and more is their common agenda. So while they chase the investment grade, the people and youth have a vested interest: To raise to a higher rank their solidarity with the KKE, their struggle for their own needs and rights.","Και επειδή μπήκε πια για τα καλά η άνοιξη και πέρασε ο περιβόητος «δύσκολος χειμώνας», για να δούμε: Ήταν για όλους δύσκολος; Οι εισηγμένες εταιρείες στο Χρηματιστήριο θα μοιράσουν φέτος στους μεγαλομετόχους τους το μεγαλύτερο μέρισμα από το 2009. Και μάλιστα με πολύ μικρή φορολόγηση, αφού ο ΣΥΡΙΖΑ την πήγε από το 15% στο 10% και η ΝΔ από το 10% στο 5%. Οι τράπεζες, αντίστοιχα, παρουσίασαν προ φόρων κέρδη 4,5 δισ. ευρώ, ενώ μια σειρά από ενεργειακά και πετρελαϊκά μονοπώλια, εμφανίζουν ιστορικές επιδόσεις κερδοφορίας με πάνω από 1 δις μέσα σε έναν χρόνο. Όλα αυτά και πολλά ακόμα είναι το κοινό τους πρόγραμμα. Όσο, λοιπόν, αυτοί θα κυνηγούν την επενδυτική βαθμίδα, ο λαός και η νεολαία ένα συμφέρον έχουν: Να ανεβάσουν σε ανώτερη βαθμίδα τη συμπόρευσή τους με το ΚΚΕ, τον αγώνα τους για τις δικές τους ανάγκες και δικαιώματα.",criticism,economy,banking profits,0.0,0.0,0.0,"[['syriza', 'organization', '0.9'], ['nd', 'organization', '0.9'], ['kke', 'organization', '0.9'], ['greece', 'country', '0.9'], ['2009', 'date', '0.9'], ['one year', 'date', '0.9']]"
8,"Friends, compañeras and comrades, the Southwest calls on the people to vote for it in order to continue for another four years its unpopular work. It is entitled, it says, ""to have a calmer four years"", without multiple crises! As if that would overcome their bad luck. We do not, we think, need much analysis as to why a government whose term of office saw 35,000 deaths from the pandemic, the dangerous involvement of the country in the imperialist war in Ukraine, the burning of forests and people's property, should be blackened by the people. The government telling the people who are being tested by accuracy that wanting to buy good quality food to eat with your family at Easter is like wanting to buy a Porsche","Φίλες και φίλοι, συντρόφισσες και σύντροφοι.Η ΝΔ καλεί τον λαό να την ψηφίσει για να συνεχίσει για μία ακόμα τετραετία το αντιλαϊκό έργο της. Το δικαιούται λέει, «να έχει μια πιο ήρεμη τετραετία», χωρίς πολλαπλές κρίσεις! Λες και θα ξεπεραστεί έτσι η γκαντεμιά τους. Δεν χρειάζεται, νομίζουμε, και μεγάλη ανάλυση, το γιατί πρέπει να μαυριστεί από τον λαό μια κυβέρνηση στη θητεία της οποίας είχαμε 35.000 νεκρούς από την πανδημία, την επικίνδυνη εμπλοκή της χώρας στον ιμπεριαλιστικό πόλεμο στην Ουκρανία, τα καμένα δάση και τις λαϊκές περιουσίες. Η κυβέρνηση που λέει στον λαό που δοκιμάζεται από την ακρίβεια ότι το να θέλει να αγοράσει καλής ποιότητας φαγητό για να φάει με την οικογένειά του το Πάσχα, είναι σαν να θέλει να πάρει Πόρσε... ",criticism,elections,austerity,-0.8,0.8,0.8,"[['southwest', 'organization', '1.0'], ['ukraine', 'location', '1.0'], ['easter', 'date', '1.0']]"
9,"SYRIZA, again, says that it too is entitled ""to govern for the first time with its programme"", without troika and memoranda! As if the people owe him because he did not abolish the memoranda and did not throw out the Troika, as he promised, but brought in a third, even worse one. Not to mention so many others: Mandra, Mati, so many deaths during his term of office. But who are they kidding?","Ο ΣΥΡΙΖΑ πάλι, λέει, ότι δικαιούται και αυτός «να κυβερνήσει πρώτη φορά με το πρόγραμμά του», χωρίς τρόικα και μνημόνια! Λες και του χρωστάει ο λαός επειδή δεν κατάργησε τα μνημόνια και δεν έδιωξε την τρόικα, όπως υποσχόταν, αλλά έφερε και ένα τρίτο, ακόμα χειρότερο. Για να μην θυμίσουμε και τόσα άλλα: την Μάνδρα, το Μάτι, τόσους νεκρούς επί της θητείας του. Αλλά ποιον κοροϊδεύουν; ",criticism,elections,troika,-0.7,0.5,0.2,"[['syriza', 'organization', '1.0'], ['troika', 'political party', '1.0'], ['memoranda', 'organization', '1.0'], ['mandra', 'location', '1.0'], ['mati', 'location', '1.0']]"
10,"Their commitments to the system, to big capital, to the various imperialist centres, are even greater today than ever before. Look at the symbolism: Mr. Tsipras used to come here to Lesvos during the election campaign and say ""go back"" to the German Chancellor, bowing down to the struggles that the people of Lesvos have fought along with the communists. Now, in the election period, what is he doing? He goes to Germany and meets the German Chancellor to ""expose"" his program and ""get his blessing""! How times are changing... He did not, of course, go to meet the thousands of workers who were on the streets that day against the social democratic government of Germany that is exterminating them. That, you see, would have spoiled his narrative that all we need is to become supposedly like other European countries, where the people there live just fine.","Οι δεσμεύσεις τους στο σύστημα, στο μεγάλο κεφάλαιο, στα διάφορα ιμπεριαλιστικά κέντρα, είναι σήμερα ακόμα μεγαλύτερες από ποτέ. Για δείτε τους συμβολισμούς: Κάποτε ο κ. Τσίπρας ερχόταν εδώ στη Λέσβο προεκλογικά και έλεγε «go back» στη Γερμανίδα καγκελάριο, σκυλεύοντας τους αγώνες που έχει δώσει ο λαός της Λέσβου μαζί με τους κομμουνιστές. Τώρα, μέσα στην προεκλογική περίοδο τι κάνει; Πάει στη Γερμανία και συναντά τον Γερμανό καγκελάριο για να του «εκθέσει» το πρόγραμμά του και «να πάρει την ευχή του»! Πώς αλλάζουν οι καιροί… Δεν πήγε, βέβαια, να συναντήσει τους χιλιάδες εργαζόμενους που ήταν την ίδια μέρα στους δρόμους απέναντι στην σοσιαλδημοκρατική κυβέρνηση της Γερμανίας που τους εξοντώνει. Αυτό, βλέπετε, θα του χάλαγε το αφήγημα ότι το μόνο που χρειάζεται είναι να γίνουμε δήθεν σαν τα άλλα ευρωπαϊκά κράτη, όπου εκεί οι λαοί ζουν μια χαρά.",criticism,external affairs,troika,-0.7,0.6,0.2,"[['mr. tsipras', 'person', '0.8'], ['german chancellor', 'person', '0.7'], ['lesvos', 'location', '0.9'], ['communists', 'group of people', '0.5'], ['germany', 'country', '0.8'], ['european countries', 'location', '0.6']]"
