id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, From here, from the blood-soaked shooting range of Kaisariani, where 79 years ago, on May Day 1944, 200 communists fled with their heads held high, their eyes proudly fixed on the barrels of their Nazi executioners, we commemorate this year's Labour Day. And we pledge that we will continue on their path, that we will never betray their sacrifice, so that better days will finally dawn for our country and our people that they too craved. The river of blood that watered the wall of Caesarian that day, the human corpse that roasted ""just one manly stature"" after each Nazi rifle shot, was another heroic act of resistance by the exploited against their exploiters.","Φίλες και φίλοι, Από εδώ, από το ποτισμένο με αίμα Σκοπευτήριο της Καισαριανής, όπου πριν 79 χρόνια, την Πρωτομαγιά του 1944, 200 κομμουνιστές έφυγαν με το κεφάλι ψηλά, με τα μάτια περήφανα και καρφωμένα στην κάννη των ναζί εκτελεστών τους, τιμάμε τη φετινή Εργατική Πρωτομαγιά. Και δίνουμε υπόσχεση ότι θα συνεχίσουμε στον δρόμο τους, ότι δεν πρόκειται ποτέ να προδώσουμε τη θυσία τους, για να ξημερώσουν τελικά οι καλύτερες μέρες για τη χώρα και τον λαό μας που πόθησαν κι εκείνοι. Το ποτάμι του αίματος που πότισε εκείνη τη μέρα τον τοίχο της Καισαριανής, ο ανθρώπινος σωρός που ψήλωνε ""ίσα ένα αντρίκιο ανάστημα"", μετά από κάθε ναζιστική τουφεκιά, ήταν μία ακόμα ηρωική πράξη αντίστασης των εκμεταλλευομένων απέναντι στους εκμεταλλευτές τους. ",political agenda,culture,other,0.25,0.0,0.0,"[['kaisariani', 'location', '1.0'], ['may day', 'date', '1.0'], ['communists', 'group of people', '0.9'], ['nazi', 'political party', '1.0'], ['labour day', 'date', '1.0'], ['country', 'location', '1.0']]"
2,"A battle between two worlds separated by an abyss. A battle between real progress and regression. It is through such heroic moments that the concept of progress has been imprinted in the collective memory and consciousness of our people, that is to say, the concept of an unswerving and unyielding struggle, even against the most difficult correlation of forces, but which always proves that the impossible can become possible and can win! This is the progress that our people know, the open-minded, progressive, left-wing people who live in Kaisariani, Kokkinia, Peristeri, in every popular neighbourhood of Attica and all of Greece.","Μια μάχη ανάμεσα σε δύο κόσμους που τους χωρίζει άβυσσος. Μια μάχη ανάμεσα στην πραγματική πρόοδο και την οπισθοδρόμηση. Μέσα από τέτοιες ηρωικές στιγμές έχει αποτυπωθεί στη συλλογική μνήμη και συνείδηση του λαού μας η έννοια της προόδου, δηλαδή της αταλάντευτης ανυποχώρητης πάλης, ακόμα και κόντρα στον πιο δύσκολο συσχετισμό δυνάμεων που όμως πάντα αποδεικνύει πως το αδύνατο μπορεί να γίνει δυνατό και να νικήσει! Αυτή είναι η πρόοδος που γνωρίζει ο λαός μας, οι ανοιχτόμυαλοι, προοδευτικοί, αριστεροί άνθρωποι που ζουν στην Καισαριανή, στην Κοκκινιά, στο Περιστέρι, σε κάθε λαϊκή γειτονιά της Αττικής και όλης της Ελλάδας.",political agenda,culture,other,0.5,0.8,0.0,"[['kaisariani', 'location', '1.0'], ['kokkinia', 'location', '1.0'], ['peristeri', 'location', '1.0'], ['attica', 'location', '1.0'], ['greece', 'country', '1.0']]"
3,"That is why they are angry when they hear some people dirty the word ""progress"", putting it together with the EU of Supermodernism, together with concepts like ""reforms"", ""growth"", ""investment"", ""profitability"", all but all identified with the exploitation and the squeezing of the workers, of the people.","Γι’ αυτό και οργίζονται όταν ακούν κάποιους να βρωμίζουν τη λέξη ""πρόοδο"", βάζοντάς την μαζί με την ΕΕ των Υπερμνημονίων, μαζί με έννοιες όπως ""μεταρρυθμίσεις"", ""ανάπτυξη"", ""επενδύσεις"", ""κερδοφορία"", όλες μα όλες ταυτισμένες με την εκμετάλλευση και το ξεζούμισμα των εργαζομένων, του λαού.",criticism,economy,reforms,-0.8,0.4,0.0,"[['eu', 'organization', '0.9'], ['supermodernism', 'group of people', '0.6']]"
4,"Yes, honest people are outraged when even today, some adventurers, supposedly progressive, dare to put the flag of the struggle, of EAM, ELAS, EPON, next to the bloodstained flag of the USA and NATO. This is what we say again from here in Caesarea: No one is allowed to marry the values, concepts, symbols and flags for which so many fighters sacrificed. We are not just holding a few carnations in front of the cameras. Along with them, we hold above all the flags of struggle, of struggle. We hold these flags high and continue.","Ναι, οι τίμιοι άνθρωποι εξοργίζονται, όταν ακόμα και σήμερα, ορισμένοι τυχοδιώκτες, δήθεν προοδευτικοί, τολμούν να βάζουν τη σημαία του αγώνα, του ΕΑΜ, του ΕΛΑΣ, της ΕΠΟΝ, δίπλα στην αιματοβαμμένη σημαία των ΗΠΑ και του ΝΑΤΟ. Αυτό λέμε ξανά από δω από την Καισαριανή: Δεν επιτρέπεται κανένας να μαγαρίζει τις αξίες, τις έννοιες, τα σύμβολα και τις σημαίες για τις οποίες θυσιάστηκαν τόσοι και τόσοι αγωνιστές. Εμείς δεν κρατάμε μόνο κάποια γαρίφαλα μπροστά στις κάμερες. Μαζί με αυτά, κρατάμε κυρίως τις σημαίες του αγώνα, της πάλης. Αυτές τις σημαίες εμείς τις κρατάμε ψηλά και συνεχίζουμε.",criticism,culture,other,0.0,0.2,0.1,"[['eam', 'organization', '1.0'], ['elas', 'organization', '1.0'], ['epon', 'organization', '1.0'], ['usa', 'country', '1.0'], ['nato', 'organization', '1.0'], ['caesarea', 'location', '1.0']]"
5,"May 1, 1944 was a day overflowing with red blood, but also overflowing with courage and pride. One by one, 200 communist resistance fighters left proudly, without bending, without asking for a pardon. Even those who were presented with the opportunity to spare themselves, like the hero of the KKE Napoleon Sukatzidis, refused, so that no one else would be in their place. These were always the communists. They are the same today, in different physical conditions, where we have to face different types of dilemmas, blackmail and threats.","Η 1η Μάη 1944 ήταν μία μέρα που ξεχείλιζε από κόκκινο αίμα, αλλά παράλληλα ξεχείλιζε από θάρρος και περηφάνια. Ένας προς ένας, 200 κομμουνιστές αντιστασιακοί έφυγαν περήφανα, χωρίς να λυγίσουν, χωρίς να ζητήσουν χάρη. Ακόμα και σε όσους παρουσιάστηκε η ευκαιρία να γλιτώσουν τον εαυτό τους, όπως ο ήρωας του ΚΚΕ Ναπολέων Σουκατζίδης, αρνήθηκαν, για να μη βρεθεί άλλος στη θέση τους. Αυτοί ήταν πάντα οι κομμουνιστές. Αυτοί είναι και σήμερα, σε διαφορετικές φυσικά συνθήκες, όπου έχουμε να αντιμετωπίσουμε διαφορετικού τύπου διλήμματα, εκβιασμούς και απειλές.",political agenda,culture,other,0.6,0.0,0.0,"[['may 1', '1944', 'date', '1.0'], ['kke', 'political party', '1.0'], ['napoleon sukatzidis', 'person', '1.0']]"
6,"However, the aim is the same: to renounce our values, our ideology, the world of toil that we express. To find the people, their movement, weak, unable to stand up, unable to stand up and walk on the road of subversion with the KKE. And because they have got it bad with us, they have the audacity to tell us that we have settled down in the comfort of the opposition. Who are they telling this to? To communists and other militants who face dismissal, terror, courts for their actions? Who have given up privileges and every opportunity for individual cattle to stay by the side of the struggling people?","Πάντως η στόχευση είναι ίδια: Να απαρνηθούμε τις αξίες, την ιδεολογία μας, τον κόσμο του μόχθου που εκφράζουμε. Για να βρεθεί αδύναμος ο λαός, το κίνημά του, να μην μπορεί να σηκώσει κεφάλι, να σταθεί όρθιος και να βαδίσει στον δρόμο της ανατροπής με το ΚΚΕ. Και επειδή τα έχουν βρει σκούρα μαζί μας, έχουν το θράσος να μας λένε ότι έχουμε βολευτεί στην άνεση της αντιπολίτευσης. Σε ποιον τα λένε αυτά; Στους κομμουνιστές και τους άλλους αγωνιστές που αντιμετωπίζουν απολύσεις, τρομοκρατία, δικαστήρια για τη δράση τους; Που έχουν απαρνηθεί προνόμια και κάθε ευκαιρία για ατομικό βόλεμα, προκειμένου να μείνουν δίπλα στον λαό που μοχθεί;",criticism,culture,other,-0.7,0.0,0.0,"[['kke', 'political party', '1.0'], ['communists', 'group of people', '0.8'], ['militants', 'group of people', '0.8']]"
7,"Who dares to lift a finger at the JCE? The ones who fight amongst themselves over who has the biggest villas and who got the most kickbacks? Who with all their policies serve big economic interests, while the Greek people are suffering?","Ποιοι τολμούν να κουνάνε το δάχτυλο στο ΚΚΕ; Αυτοί που μαλώνουν μεταξύ τους για το ποιος έχει τις μεγαλύτερες βίλες και ποιος πήρε τις περισσότερες μίζες; Που με όλη τους την πολιτική υπηρετούν μεγάλα οικονομικά συμφέροντα, την ώρα που ο ελληνικός λαός υποφέρει;",criticism,corruption,corruption,-0.8,0.2,0.0,"[['jce', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
8,"Compañeras and comrades, Friends and friends, With today's event and especially with the daily and tireless action of thousands of members of the KKE and the KNE, we are strengthening the thread that unites us with those who sacrificed for a world without exploitation of man by man, for socialism - communism. The dead workers of Chicago in 1876, the apology of Spice, the attitude and the shocking last notes of the 200 communists before their execution in Caesarian, the dead men and women workers at Fourmee in Northern France on May Day 1891 are among the many historical lessons that inspire us, mobilise us, to face with the same vigour, with the same pride, the onslaught of the authoritarian state, of the unaccountable employer. To hold high the flag of the interests of the working class against its exploiters, against the imperialists who are bloodying the planet. It is a guide of inspiration for the working people to bring to the fore the satisfaction of their modern needs, to fight for the wealth produced and stolen by a handful of parasites.","Συντρόφισσες και σύντροφοι, Φίλες και φίλοι, Με τη σημερινή εκδήλωση και κυρίως με την καθημερινή και ακούραστη δράση χιλιάδων μελών του ΚΚΕ και της ΚΝΕ, βαστάμε γερά το νήμα που μας ενώνει με όσους θυσιάστηκαν για έναν κόσμο χωρίς εκμετάλλευση ανθρώπου από άνθρωπο, για τον σοσιαλισμό - κομμουνισμό. Οι νεκροί εργάτες του Σικάγο το 1876, η απολογία του Σπάις, η στάση και τα συγκλονιστικά τελευταία σημειώματα των 200 κομμουνιστών πριν την εκτέλεσή τους στην Καισαριανή, οι νεκροί και οι νεκρές εργάτριες στο Φουρμί της Βόρειας Γαλλίας την Πρωτομαγιά του 1891 αποτελούν ιστορικά διδάγματα ανάμεσα σε πολλά που μας εμπνέουν, μας μαχητικοποιούν, ώστε να αντιμετωπίζουμε με το ίδιο σθένος, με την ίδια περηφάνια, την επίθεση του αυταρχικού κράτους, της ασύδοτης εργοδοσίας. Να κρατάμε ψηλά τη σημαία των συμφερόντων της εργατικής τάξης απέναντι στους εκμεταλλευτές της, στους ιμπεριαλιστές που αιματοκυλούν τον πλανήτη. Είναι οδηγός έμπνευσης για να φέρει στο προσκήνιο ο εργαζόμενος λαός την ικανοποίηση των σύγχρονων αναγκών του, να παλέψει για τον πλούτο που παράγει και τον κλέβουν μια χούφτα παράσιτα.",political agenda,culture,working class,,0.6,0.0,"[['compañeras', 'group of people', '0.9'], ['comrades', 'group of people', '0.9'], ['kke', 'organization', '1.0'], ['kne', 'organization', '1.0'], ['chicago', 'location', '1.0'], ['spice', 'person', '0.6'], ['caesarian', 'location', '0.9'], ['fourmee', 'location', '0.8'], ['northern france', 'location', '0.9'], ['may day 1891', 'date', '1.0']]"
9,"Recently, workers, youth and the popular strata have been experiencing in the most tragic way the attack of governments and business groups on their lives and workers' rights.","Το τελευταίο διάστημα οι εργαζόμενοι, η νεολαία, τα λαϊκά στρώματα βιώνουν με τον πιο τραγικό τρόπο την επίθεση των κυβερνήσεων και των επιχειρηματικών ομίλων στη ζωή τους και στα εργατικά δικαιώματα.",criticism,employment,workers' rights,-0.8,0.1,0.2,"[['youth', 'group of people', '0.6'], ['workers', 'group of people', '0.6'], ['governments', 'organization', '0.7'], ['business groups', 'organization', '0.6'], ['lives', 'date', '0.4'], [""workers' rights"", 'political party', '0.4']]"
10,"The crime of Tempe, which shook the whole country last month, is followed in recent days by new employer crimes in workplaces, in EVGA, in the Syros shipyards, in Chalkida, in Argolida, in Tripoli, leaving behind dead and injured. These are the other Temples of our everyday life, which do not find publicity, which do not lend themselves to the usual bipartisan bickering, which have no station masters, but only bosses.","Το έγκλημα των Τεμπών, που συντάραξε όλη τη χώρα τον προηγούμενο μήνα, διαδέχονται τις τελευταίες μέρες νέα εργοδοτικά εγκλήματα σε χώρους δουλειάς, στην ΕΒΓΑ, στα ναυπηγεία της Σύρου, στη Χαλκίδα, στην Αργολίδα, στην Τρίπολη, αφήνοντας πίσω νεκρούς και τραυματίες. Είναι τα άλλα Τέμπη της καθημερινότητάς μας, που δεν βρίσκουν δημοσιότητα, δεν προσφέρονται για τον γνωστό δικομματικό καυγά, δεν έχουν σταθμάρχες, αλλά μόνο αφεντικά Όμως σε όλα αυτά θρηνούμε νεκρούς, σε όλα αυτά εργατικές - λαϊκές οικογένειες βυθίζονται στο πένθος.",criticism,employment,other,-0.9,0.2,0.2,"[['tempe', 'location', '1.0'], ['evga', 'organization', '0.5'], ['syros shipyards', 'organization', '1.0'], ['chalkida', 'location', '1.0'], ['argolida', 'location', '1.0'], ['tripoli', 'location', '1.0']]"
