id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends and friends,
compañeras and comrades
We are here, in Ioannina, the capital of Epirus, continuing our great political expedition to the people, our great effort to reach every working man and woman, young and young, from every corner of Greece, to every working man and woman, the call to strengthen the KKE. Every day we meet and discuss with workers in the workplaces, with working people in the towns and villages, with young children in schools and colleges who are concerned, who hear for the first time what our Party says and think that now there is no more postponement. Now is the time to put our own needs and the needs of our children first. And here in Ioannina, the needs of the worker, the breadwinner, the farmer and the self-employed, of every young man and woman, are reflected only in the KKE's ballot paper. Yes, therefore, in the elections of May 21, an important step forward can be taken to strengthen the KKE as much as possible, to strengthen optimism, hope and, most importantly, to open our own road, the road of subversion.  ","Φίλες και φίλοι,
συντρόφισσες και σύντροφοι
Είμαστε εδώ, στα Γιάννενα, την πρωτεύουσα της Ηπείρου, συνεχίζοντας τη μεγάλη μας πολιτική εξόρμηση στον λαό, τη μεγάλη μας προσπάθεια να φτάσει από άκρη σε άκρη της Ελλάδας, σε κάθε εργαζόμενο και εργαζόμενη, νέο και νέα, το κάλεσμα ισχυροποίησης του ΚΚΕ. Καθημερινά συναντάμε, συζητάμε με εργάτες και εργάτριες στους χώρους δουλειάς, με ανθρώπους του μόχθου στις πόλεις και τα χωριά, με νέα παιδιά στα σχολεία και τις σχολές που προβληματίζονται, ακούνε ίσως για πρώτη φορά τι λέει το Κόμμα μας και σκέφτονται πως τώρα δε σηκώνει άλλη αναβολή. Τώρα είναι η ώρα να βάλουμε μπροστά τις δικές μας ανάγκες και τις ανάγκες των παιδιών μας. Και δω στα Γιάννενα οι ανάγκες του εργάτη, του βιοπαλαιστή αγρότη και αυτοαπασχολούμενου, του κάθε νέου και της κάθε γυναίκας, καθρεφτίζονται μόνο στο ψηφοδέλτιο του ΚΚΕ. Ναι, λοιπόν, στις εκλογές της 21ης Μάη μπορεί να γίνει ένα σημαντικό βήμα μπροστά να ενισχυθεί όσο πιο πολύ γίνεται το ΚΚΕ, για να δυναμώσει η αισιοδοξία, η ελπίδα και το πιο σημαντικό, να ανοίξουμε τον δικό μας δρόμο, το δρόμο της ανατροπής.  ",political agenda,elections,election spending,0.65,0.2,0.0,"[['ioannina', 'location', '1.0'], ['greece', 'country', '1.0'], ['kke', 'political party', '1.0'], ['may 21', 'date', '1.0']]"
2,"We have made it clear from the beginning that the dilemma of stability, of so-called ungovernability, which the government of the Southwest and - with variations - the other forces are putting to the people, is blackmail and false. Because it is precisely because they agree on the basic line of travel that the Southwest, Syriza and PASOK can form a government, perhaps together with other willing parties, and it is a given that they will do so. And if they don't do it on May 22, it's not because they have difficulty, it's because they want to blackmail, to steal the people's vote again in every way possible. Of course, as the days go by, the blackmail escalates. It was expected, we expected it to happen. They are playing their hand to trap the people. To elicit their support for a policy that the next day will attack their income, their rights, their lives. They are all playing their part because they know that the prestige of the KKE among the people is elevated. That there are far more people than in the past who are ""looking"", who have no intention of voting for any of the parties that have ruled for at least the last 15 years and brought us to this point. Who tell us ""you are the only ones who stand firm, you are constantly fighting for all of us"". They know that our people and youth have been through a lot in the past four years as well.","Έχουμε από την αρχή ξεκαθαρίσει το δίλημμα περί σταθερότητας, δήθεν ακυβερνησίας που θέτουν η κυβέρνηση της ΝΔ και – με παραλλαγές – και οι άλλες δυνάμεις στον λαό, είναι εκβιαστικό και ψεύτικο. Γιατί η ΝΔ, ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ ακριβώς επειδή συμφωνούν στη βασική γραμμή πλεύσης, μπορούν να σχηματίσουν κυβέρνηση, ίσως μαζί και με άλλους πρόθυμους και είναι δεδομένο ότι θα το κάνουν. Και αν δεν το κάνουν στις 22 Μαϊου, δεν είναι γιατί δυσκολεύονται, είναι γιατί θέλουν να εκβιάσουν, να κλέψουν με κάθε τρόπο την ψήφο του λαού ξανά. Βέβαια όσο περνούν οι μέρες, οι εκβιασμοί κλιμακώνονται. Ήταν αναμενόμενο, το περιμέναμε να συμβεί. Παίζουν τα ρέστα τους για να εγκλωβίσουν τον λαό. Να αποσπάσουν τη στήριξή του σε μια πολιτική που την επόμενη μέρα θα επιτεθεί στο εισόδημά του, στα δικαιώματα, στη ζωή του. Παίζουν όλοι τα ρέστα τους, γιατί ξέρουν ότι το κύρος του ΚΚΕ στον λαό είναι ανεβασμένο. Ότι είναι πολύ περισσότεροι από ότι στο παρελθόν οι άνθρωποι που «ψάχνονται», που δεν τους πάει το χέρι να ψηφίσουν κανένα από τα κόμματα που κυβέρνησαν τα τελευταία τουλάχιστον 15 χρόνια και μας έφεραν ως εδώ. Που μας λένε «μόνο εσείς μένετε σταθεροί, παλεύετε διαρκώς για όλους μας». Ξέρουν ότι ο λαός και η νεολαία μας έζησε πολλά και την τετραετία που πέρασε. ",criticism,elections,election spending,-0.6,0.2,0.2,"[['southwest', 'organization', '0.9'], ['syriza', 'political party', '0.9'], ['pasok', 'political party', '0.9'], ['may 22', 'date', '0.9'], ['kke', 'political party', '0.9']]"
3,"That the slogan ""only the people save the people"" was put into practice in many cases, when the hostile bourgeois state was absent or even opposed, when lives and property were sacrificed for profits. But in the pandemic, in the fires, in the blizzards, in the accidents, in the auctions and evictions, the communists were always there, candle lit beside the people. They did not count on effort, sacrifice and prohibitions. Together we went through it all and stayed strong.","Ότι το σύνθημα «μόνο ο λαός σώζει τον λαό» έγινε πράξη σε πολλές περιπτώσεις, όταν το εχθρικό αστικό κράτος ήταν απόν ή και απέναντι, όταν ζωές και περιουσίες θυσιάστηκαν για τα κέρδη. Στην πανδημία, στις πυρκαγιές, στις χιονοθύελλες, στα δυστυχήματα, στους πλειστηριασμούς και τις εξώσεις όμως οι κομμουνιστές και οι κομμουνίστριες ήταν πάντα εκεί, κερί αναμμένο δίπλα στον λαό. Δεν υπολόγισαν κόπο, θυσίες και απαγορεύσεις. Μαζί τα περάσαμε όλα και μείναμε δυνατοί. ",political agenda,pandemic,other,0.7,0.0,0.5,"[['communists', 'organization', '0.9'], ['pandemic', 'date', '0.5'], ['fires', 'location', '0.5'], ['blizzards', 'location', '0.5'], ['accidents', 'location', '0.5'], ['auctions', 'group of people', '0.5'], ['evictions', 'location', '0.5']]"
4,"All this is not easy to forget in the few days of the election period, no matter how much the needle is stuck on who will govern with whom. Just as it is also difficult to hide what is to come the next day, which will be even more difficult, regardless of the ""colour"" of the government that is finally formed. That is why the South West even remembered the closed banks of 2015, lest we forget that it is now 2023 and open banks are closing houses. That is why the leadership of SYRIZA is getting angry and is being driven to negligence. It even went so far as to talk about the KKE's responsibility because, he says, we are not interested in who will govern. And if we don't give him, he says, the deputies he will need to govern with PASOK, we are opening the way for Mitsotakis.... For God's sake, what else will we hear from them... But... they are! Such fiddlers they have always been...","Όλα αυτά δεν είναι εύκολο να ξεχαστούν μέσα στις λίγες μέρες της προεκλογικής περιόδου, όσο κι αν έχει «κολλήσει η βελόνα» στο ποιος θα κυβερνήσει με ποιον. Όπως επίσης είναι δύσκολο να κρυφτούν αυτά που έρχονται την επόμενη μέρα, που θα είναι ακόμα πιο δύσκολα, ανεξάρτητα από το «χρώμα» της κυβέρνησης που θα συγκροτηθεί τελικά. Γι’ αυτό η ΝΔ θυμήθηκε μέχρι και τις κλειστές τράπεζες του 2015, μπας και ξεχάσουμε ότι τώρα έχουμε 2023 και οι ανοιχτές τράπεζες κλείνουν σπίτια. Γι΄ αυτό η ηγεσία του ΣΥΡΙΖΑ εκνευρίζεται και οδηγείται στην αμετροέπεια. Έφτασε στο σημείο να μιλάει για ευθύνες του ΚΚΕ επειδή, λέει, δεν ενδιαφερόμαστε για το ποιος θα κυβερνήσει. Και αν δεν του δώσουμε, λέει, τους βουλευτές που θα του λείπουν για να κυβερνήσει με το ΠΑΣΟΚ, ανοίγουμε τον δρόμο στον Μητσοτάκη…. Ήμαρτον πια, τι άλλο θα ακούσουμε από δαύτους… Αλλά… αυτοί είναι! Τέτοια φιντάνια ήταν από πάντα…",criticism,elections,coalition,-0.4,0.1,0.0,"[['south west', 'location', '0.50'], ['2015', 'date', '1.0'], ['2023', 'date', '1.0'], ['syriza', 'political party', '1.0'], ['kke', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['mitsotakis', 'person', '1.0']]"
5,"Really, is it possible that we don't care who governs? Since we will be the ones who will stand against him, together with the people to prevent their unpopular measures. If, however, he accuses us of not helping either of them to govern at the expense of the people, yes, we are happy to accept that accusation. And anyway, it is not just us, but about 30% of the people and more who answer in all surveys that they do not prefer either of them. And the truth is that they've both gone to great lengths to achieve that result. We give them credit for that. We, however, take responsibility only to the Greek people and not to any would-be manager of the rot and their system.","Αλήθεια, είναι δυνατόν να μην ενδιαφερόμαστε για το ποιος θα κυβερνήσει; Αφού εμείς θα είμαστε αυτοί που θα βρεθούμε απέναντί του, μαζί με το λαό για να αποτρέψουμε τα αντιλαϊκά τους μέτρα. Αν, πάντως, μας κατηγορεί ότι δεν βοηθάμε κάποιον από τους δύο να κυβερνήσει σε βάρος του λαού, ναι, αυτή την κατηγορία τη δεχόμαστε με μεγάλη χαρά. Και πάντως δεν είμαστε μόνο εμείς, αλλά περίπου το 30% του λαού και πλέον που απαντάει σε όλες τις έρευνες ότι δεν προτιμά κανέναν από τους δύο. Και η αλήθεια είναι πως έχουν κάνει και οι δύο μεγάλη προσπάθεια για να καταφέρουν αυτό το αποτέλεσμα. Τους το αναγνωρίζουμε αυτό. Εμείς, πάντως, ευθύνες αναλαμβάνουμε μόνο απέναντι στον ελληνικό λαό και όχι απέναντι στον κάθε επίδοξο διαχειριστή της σαπίλας και το σύστημά τους. ",criticism,elections,abstention,-0.05,0.2,0.2,"[['greek people', 'group of people', '1.0'], ['surveys', 'organization', '0.5'], ['greek', 'country', '1.0']]"
6,"We take them on, for example, in the face of the rivers of people and youth that flooded every city in the country after the predictable crime in Tempe. To all of them, we said then, and we say now, that we will not let this crime be forgotten on the altar of profit.","Τις αναλαμβάνουμε, για παράδειγμα, απέναντι στα ποτάμια λαού και νεολαίας που πλημμύρισαν κάθε πόλη της χώρας μετά το προδιαγεγραμμένο έγκλημα στα Τέμπη. Σε όλους αυτούς, είπαμε και τότε, και λέμε και τώρα, ότι δεν θα αφήσουμε να ξεχαστεί αυτό το έγκλημα στον βωμό του κέρδους.",political agenda,other,other,0.4,0.2,0.1,"[['tempe', 'location', '0.75'], ['country', 'location', '0.5']]"
7,"We have an obligation, therefore, to stand up to the next government, whatever its colour, that will continue to serve the same god of profit and we will do so, as we have done unceasingly, unwaveringly for many years now. Our witness is the working class, the entire people of Ioannina and the people of Ioannina. We say it and we believe it: a much stronger KKE is the only positive result that the ballot boxes of May 21 can produce. All the strength that the people will give to the KKE will be used to bring to the fore their own needs, the needs of the new generation, needs that will not be satisfied even in the eternal century, when the criterion of development remains capitalist profit.","Έχουμε υποχρέωση, λοιπόν, να βρεθούμε απέναντι στην επόμενη κυβέρνηση, όποιο χρώμα και έχει που θα συνεχίσει να υπηρετεί τον ίδιο θεό του κέρδους και θα το κάνουμε, όπως αδιάκοπα, αταλάντευτα το κάναμε πολλά χρόνια τώρα. Μάρτυράς μας η εργατική τάξη, ολόκληρος ο λαός και των Ιωαννίνων. Το λέμε και το πιστεύουμε: ένα πολύ πιο ισχυρό ΚΚΕ είναι το μόνο θετικό αποτέλεσμα που μπορούν να βγάλουν οι κάλπες της 21ης Μαΐου. Όλη η δύναμη που θα δώσει ο λαός στο ΚΚΕ, θα κατατεθεί για να έρθουν στο προσκήνιο οι δικές του ανάγκες, οι ανάγκες της νέας γενιάς, ανάγκες οι οποίες δεν πρόκειται να ικανοποιηθούν ούτε στον αιώνα τον άπαντα, όταν κριτήριο της  ανάπτυξης παραμένει το καπιταλιστικό κέρδος. ",political agenda,other,other,0.2,0.2,0.0,"[['ioannina', 'location', '1.0'], ['kke', 'political party', '1.0'], ['may 21', 'date', '1.0']]"
8,"And it's screaming from everywhere! Not only from their governmental actions, but also from their governmental programs that one thinks were written by the same hand. There are many examples here in Epirus, in Ioannina. Shall we take the example of water, since we are in a city like Ioannina, where it rains half the year, has rich water sources and yet the people are deprived of access to cheap, quality water? At the same time, the bottling companies, (which Mitsotakis visited recently, not coincidentally, since his government's last bill was the one on water commercialization), these companies are losing count of their profits, they are celebrating new production units. On the one hand, the bottling companies have increased their water pumping, springs and communal lands are granted almost for free, municipalities and the Region make sure they are exempted from fines, and on the other hand, areas like Perama, Krya, Katsika, Amfithea and others experience systematic water cuts during the summer months. Kardamitsia and Pedini are flooded every year. The permanent staff of DEYAI has been halved since 2000 and at the same time the volume of work has increased dramatically. At the same time, in the 'largest natural mineral water bottling lines in Europe' - I use the Prime Minister's own words - seven-day workdays, intensification and 'hooded' work accidents are rife. These, after all, are what bring in the huge profits. Along, of course, with the stolen money of all the people, which, by taxing our families, is turned into grants for the ""Development Laws"" for the notorious investments! There is another example from the county that proves that popular welfare and capitalist development do not go hand in hand. Just a few days after the inauguration of the new production unit of the ""DODONI"" dairy by the Prime Minister, the organic farmers have seen another reduction in the price they pay for the milk they give, which no longer even covers the cost of production!","Κι αυτό φωνάζει από παντού! Όχι μόνο από τα κυβερνητικά πεπραγμένα τους, αλλά και από τα κυβερνητικά προγράμματά τους που νομίζει κανείς ότι έχουν γραφτεί από το ίδιο χέρι. Τα παραδείγματα πολλά και εδώ στην Ήπειρο, στα Γιάννενα. Να πάρουμε το παράδειγμα του νερού, μιας και είμαστε σε μια πόλη όπως τα Γιάννενα, όπου βρέχει το μισό χρόνο, έχει πλούσιες υδροφόρες πηγές κι όμως ο λαός  στερείται την πρόσβαση σε φθηνό, ποιοτικό νερό; Ταυτόχρονα, οι εταιρείες εμφιάλωσης, (τις οποίες επισκέφθηκε πρόσφατα και ο Μητσοτάκης, όχι τυχαία, αφού το τελευταίο νομοσχέδιο της κυβέρνησής του, ήταν αυτό της εμπορευματοποίησης του νερού), αυτές οι εταιρίες λοιπόν, χάνουν το μέτρημα των κερδών τους, πανηγυρίζουν για νέες παραγωγικές μονάδες. Από τη μία, οι εταιρείες εμφιάλωσης έχουν αυξήσει την άντληση υδάτων, παραχωρούνται πηγές και κοινοτικές εκτάσεις σχεδόν τζάμπα, Δήμοι και Περιφέρεια φροντίζουν να τους απαλλάσσουν από πρόστιμα και από την άλλη περιοχές όπως το Πέραμα, η Κρύα, η Κατσικά, η Αμφιθέα και άλλες, βιώνουν τους καλοκαιρινούς μήνες συστηματικές διακοπές νερού. Τα Καρδαμίτσια και η Πεδινή κάθε χρόνο πλημμυρίζουν. Το μόνιμο προσωπικό της ΔΕΥΑΙ έχει μειωθεί στο μισό από το 2000 και ταυτόχρονα ο όγκος εργασιών έχει αυξηθεί κατακόρυφα. Ταυτόχρονα, στις «μεγαλύτερες γραμμές εμφιάλωσης φυσικού μεταλλικού νερού στην Ευρώπη» - χρησιμοποιώ τα ίδια τα λόγια του Πρωθυπουργού - δίνουν και παίρνουν τα εφταήμερα, η εντατικοποίηση και τα «κουκουλωμένα» εργατικά ατυχήματα. Αυτά είναι, άλλωστε, που φέρνουν τα τεράστια κέρδη. Μαζί, φυσικά, με τα κλεμμένα χρήματα όλου του λαού, που από τη φοροαφαίμαξη των οικογενειών μας, μετατρέπονται σε επιχορηγήσεις των «Αναπτυξιακών Νόμων» για τις περιβόητες επενδύσεις! Υπάρχει κι άλλο παράδειγμα από το Νομό, που αποδεικνύει ότι λαϊκή ευημερία και καπιταλιστική ανάπτυξη δε συμβαδίζουν. Λίγες μόλις μέρες μετά τα εγκαίνια της νέας παραγωγικής μονάδας της γαλακτοβιομηχανίας «ΔΩΔΩΝΗ» από τον πρωθυπουργό, οι βιοπαλαιστές κτηνοτρόφοι είδαν κι άλλη μείωση στην τιμή που πληρώνονται για το γάλα που της δίνουν, η οποία δεν καλύπτει πλέον ούτε το κόστος παραγωγής! ",criticism,environment,privatization of water,-0.5,0.2,0.2,"[['ioannina', 'location', '1.0'], ['epirus', 'location', '0.8'], ['mitsotakis', 'person', '1.0'], ['deyai', 'organization', '1.0'], ['perama', 'location', '1.0'], ['krya', 'location', '1.0'], ['katsika', 'location', '1.0'], ['amfithea', 'location', '1.0'], ['kardamitsia', 'location', '1.0'], ['pedini', 'location', '1.0'], ['region', 'organization', '0.6'], ['dodoni', 'organization', '1.0']]"
9,"Friends, compañeras and compañeros. One could say that there was no need to hold elections to see the strategic convergences between the New Democracy, Syriza and PASOK on issues that touch the core of the needs of the people, the everyday life of the people is enough.","Φίλες και φίλοι συντρόφισσες και σύντροφοι. Θα έλεγε κανείς πως δεν χρειαζόταν να γίνουν εκλογές για να διαπιστώσει κανείς τις στρατηγικές συγκλίσεις μεταξύ της ΝΔ, του ΣΥΡΙΖΑ, του ΠΑΣΟΚ, σε ζητήματα που θίγουν τον πυρήνα των αναγκών του λαού, αρκεί η καθημερινότητα που ζει. ",political agenda,democracy,other,0.2,0.1,0.2,"[['new democracy', 'organization', '0.5'], ['syriza', 'organization', '0.5'], ['pasok', 'political party', '0.5'], ['greece', 'country', '1.0']]"
10,"One of the typical examples is the issue of Health, which one could say is permanently in the spotlight, not only because it concerns the very life of the people, but also because in the years that have passed, we have not gone through very little. That is why the New Democracy and Syriza are bidding during the election campaign that they will fix the NHS, that they will recruit thousands of people, that they will build new hospitals, new health centres, they will, they will, they will.","Ένα από τα χαρακτηριστικά παραδείγματα είναι το ζήτημα της Υγείας, το οποίο θα έλεγε κανείς πως είναι μόνιμα στο επίκεντρο, όχι μόνο γιατί αφορούν στην ίδια τη ζωή του λαού, αλλά και γιατί στα χρόνια που πέρασαν δεν περάσαμε και λίγα. Γι αυτό ΝΔ και ΣΥΡΙΖΑ πλειοδοτούν προεκλογικά, ότι θα φτιάξουν το ΕΣΥ, ότι θα κάνουν χιλιάδες προσλήψεις, θα χτίσουν νέα νοσοκομεία, Κέντρα Υγείας, θα, θα, θα. ",political agenda,health,public health system,0.3,0.0,0.2,"[['health', 'organization', '0.6'], ['new democracy', 'political party', '0.6'], ['syriza', 'political party', '0.6'], ['nhs', 'organization', '0.7']]"
