id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, compañeras and compañeros. Tonight, from Larissa, from this great gathering, we send a message of optimism, hope, a message of decisive strengthening of the KKE. Yes, there is no doubt, all the messages from all over Greece say this: that on May 21, our people can make a surprise, bringing the KKE much higher! Our people can turn their backs on the blackmailing dilemmas, they can disable the traps set for them, they can reach the ballot box based on their own needs. There can be no more postponement. This must be done! We must put our own needs first because today, more than ever, what in previous years could be hidden or not seen clearly by some, is now projected before everyone quite clearly...","Φίλες και φίλοι,συντρόφισσες και σύντροφοι. Απόψε από δω από τη Λάρισα, από αυτή τη μεγάλη συγκέντρωση στέλνουμε μήνυμα αισιοδοξίας, ελπίδας, μήνυμα αποφασιστικής ενίσχυσης του ΚΚΕ. Ναι, δεν υπάρχει καμιά αμφιβολία, όλα τα μηνύματα από όλη την Ελλάδα αυτό λένε: πως στις 21 Μαΐου, ο λαός μας μπορεί να κάνει την έκπληξη, φέρνοντας το ΚΚΕ πολύ πιο ψηλά! Ο λαός μας μπορεί να γυρίσει την πλάτη στα εκβιαστικά διλήμματα, μπορεί να αχρηστεύσει τις παγίδες που του στήνουν, μπορεί να φτάσει στην κάλπη με κριτήριο τις δικές του ανάγκες. Δεν χωράει άλλη αναβολή. Αυτό πρέπει να γίνει! Να βάλουμε μπροστά τις δικές μας ανάγκες γιατί σήμερα περισσότερο από ποτέ, αυτό που τα προηγούμενα χρόνια μπορούσε να κρυφτεί ή να μη φαινόταν σε ορισμένους καθαρά, σήμερα  προβάλλει μπροστά σε όλους ολοκάθαρα...",political agenda,elections,election spending,0.8,0.0,0.0,"[['larissa', 'location', '1.0'], ['kke (communist party of greece)', 'organization', '1.0'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0']]"
2,"Our needs do not fit into the system of profit and exploitation that they all serve. And if some people had some illusions, today they have none! For they have lived, we have lived a tragedy here in this place, we have lived a great crime, the crime in Tempe.  'You count profits and damages, we count human lives', thousands of people, thousands of young children, students, pupils and pupils here in Larissa, all over Greece, shouted. Only that this slogan not only shows the real culprits, the causes of the predestined crime in Tempe that cost the lives of 57 people, but also the real cause of what we are living through.","Οι δικές μας ανάγκες δε χωράνε στο σύστημα του κέρδους και της εκμετάλλευσης, που όλοι τους υπηρετούν. Κι αν ορισμένοι έτρεφαν κάποιες αυταπάτες σήμερα δεν έχουν καμιά! Γιατί έζησαν, ζήσαμε και μια τραγωδία εδώ σ’ αυτόν τον τόπο, ζήσαμε ένα μεγάλο έγκλημα, το έγκλημα στα Τέμπη.  “Εσείς μετράτε κέρδη και ζημιές, εμείς μετράμε ανθρώπινες ζωές” φώναξαν χιλιάδες λαού, χιλιάδες νέα παιδιά, φοιτητές, μαθητές και δω στη Λάρισα, σε ολόκληρη την Ελλάδα. Μόνο που αυτό το σύνθημα δεν δείχνει μόνο τους πραγματικούς ενόχους, τις αιτίες για το προδιαγεγραμμένο έγκλημα στα Τέμπη που στοίχισε τη ζωή σε 57 ανθρώπους αλλά και την πραγματική αιτία για ό, τι ζούμε.",criticism,other,other,-0.6,0.0,0.0,"[['larissa', 'location', '1.0'], ['greece', 'country', '1.0'], ['tempe', 'location', '0.7'], ['57', 'date', '0.4']]"
3,"Yes, the government of the Southwest all these four years, counting profits and losses for capital and business groups, that's why it passed one unpopular bill after another, implementing one by one the demands of the monopolies for greater profitability, what they themselves call ""a friendly environment for investment""! SYRIZA and PASOK were also counting profits and losses, which is why the former supported 50% of the former and 70% of the latter, the bills of the New Democracy. If today Mitsotakis boasts about high growth rates and more investments, he hides the fact that they have stepped on the crushed labour rights and the squeezing of workers, while he does not say a word about the worrying signs that show that a new crisis is just around the corner.And all those promises he makes about wage increases and tax cuts will be measured with the same yardstick, that of profits!  So he adds: ""If and when the fiscal, the strength of the economy allows it"", i.e. the profits of the capitalists. May you live to eat clover, that is...","Ναι, η κυβέρνηση της ΝΔ όλη αυτή την τετραετία, μετρούσε κέρδη και ζημιές για το κεφάλαιο, τους επιχειρηματικούς ομίλους, γι αυτό και πέρναγε το ένα αντιλαϊκό νομοσχέδιο μετά το άλλο, υλοποιώντας μία προς μία τις απαιτήσεις των μονοπωλίων για μεγαλύτερη κερδοφορία, αυτό που οι ίδιοι ονομάζουν “φιλικό περιβάλλον για τις επενδύσεις”! Κέρδη και ζημιές μετρούσε και ο ΣΥΡΙΖΑ με το ΠΑΣΟΚ γι αυτό και στήριξαν κατά 50% ο πρώτος και κατά 70% το δεύτερο, τα νομοσχέδια της ΝΔ. Αν σήμερα ο Μητσοτάκης κοκορεύεται για υψηλούς ρυθμούς ανάπτυξης και περισσότερες επενδύσεις, κρύβει πως αυτοί πάτησαν πάνω στα τσακισμένα εργατικά δικαιώματα και στο ξεζούμισμα των εργαζομένων ενώ δε λέει κουβέντα για τα ανησυχητικά σημάδια που δείχνουν, ότι μια νέα κρίση είναι προ των πυλών.Και όλα αυτά που υπόσχεται για αυξήσεις στους μισθούς και μείωση των φόρων, με την ίδια πάλι μεζούρα θα τα μετρήσει, αυτή των κερδών!  Γι αυτό προσθέτει: «Αν και όταν το επιτρέψουν τα δημοσιονομικά, οι αντοχές της οικονομίας», δηλαδή τα κέρδη των καπιταλιστών. Ζήσε Μάη μου να φας τριφύλλι, δηλαδή…",criticism,economy,banking profits,-0.8,0.0,0.0,"[['government of the southwest', 'organization', '0.9'], ['syriza', 'political party', '0.9'], ['pasok', 'political party', '0.9'], ['new democracy', 'political party', '0.9'], ['mitsotakis', 'person', '0.9'], ['workers', 'group of people', '0.9']]"
4,"But we measure the needs of the workers! That is why we are stepping forward in the struggle for a real strengthening of wages, which can only be imposed by the workers' movement with its struggle and with a much stronger KKE. That is, to impose the restoration of the collective bargaining of the National General Collective Agreement as a starting point for the increase of the minimum wage, adopting the demands of the trade unions for increases above 850 euros and the simultaneous restoration of the triennial wage. This practically means that a worker with a three-year contract will see his or her salary increase to 935 euros today, not in 2027 as promised by the ND.","Εμείς όμως μετράμε τις ανάγκες των εργαζομένων! Γι αυτό και μπαίνουμε μπροστά στον αγώνα για πραγματική ενίσχυση των μισθών, την οποία μπορεί να επιβάλει μόνο το εργατικό κίνημα με την πάλη του και με ένα πολύ πιο δυνατό ΚΚΕ. Να επιβάλουμε, δηλαδή, την επαναφορά των συλλογικών διαπραγματεύσεων της Εθνικής Γενικής Συλλογικής Σύμβασης ως αφετηρία για την αύξηση του κατώτερου μισθού, υιοθετώντας τα αιτήματα των συνδικάτων για αυξήσεις πάνω από 850 ευρώ και ταυτόχρονη επαναφορά των τριετιών. Αυτό πρακτικά σημαίνει ότι ένας εργαζόμενους με μια τριετία θα δει τον μισθό του να αυξάνεται στα 935 ευρώ σήμερα και όχι το 2027 που υπόσχεται η ΝΔ.",political agenda,employment,wages,0.5,0.0,0.0,"[['kke', 'organization', '0.9'], ['national general collective agreement', 'organization', '0.8'], ['trade unions', 'group of people', '0.7'], ['nd', 'political party', '0.6'], ['greece', 'country', '0.5'], ['2027', 'date', '0.4'], ['935 euros', 'date', '0.4']]"
5,"Our proposal for wage increases is linked to the other proposals of the KKE for a fixed daily working time, 7-hour, 5-day, 35-hour working hours and no unpaid overtime, with the reintroduction of Sunday-work. It is linked to the proposal for an inflation-based wage adjustment clause. With the restoration of the 13th and 14th salaries in the public sector, about which the Southwest and Syriza say nothing, and the granting of all pay scales. With a strong KKE and mass workers' struggles, we can impose the restoration of the sectoral Collective Labour Agreements and their compulsory nature, without terms and conditions, which is a basic condition for increasing wages in all scales. This is the only pro-people's answer to the lies of the New Democracy, Syriza and PASOK, that the average wage will supposedly increase without repealing the laws that have undermined the Collective Labour Agreements.","Η πρότασή μας για αυξήσεις στους μισθούς είναι συνδεδεμένη με τις υπόλοιπες προτάσεις του ΚΚΕ για σταθερό ημερήσιο χρόνο δουλειάς, 7ωρο, 5ήμερο, 35ωρο και χωρίς απλήρωτες υπερωρίες, με την επαναφορά της Κυριακής-αργίας. Είναι συνδεδεμένη με την πρόταση για ρήτρα αναπροσαρμογής των μισθών με βάση τον πληθωρισμό. Με την επαναφορά του 13ου και 14ου μισθού στο Δημόσιο, για τους οποίους η ΝΔ και ο ΣΥΡΙΖΑ δεν λένε κουβέντα, και τη χορήγηση όλων των μισθολογικών κλιμακίων. Με ισχυρό το ΚΚΕ και μαζικούς εργατικούς αγώνες, μπορούμε να επιβάλουμε την επαναφορά και των Κλαδικών Συλλογικών Συμβάσεων Εργασίας και την υποχρεωτικότητά τους, χωρίς όρους και προϋποθέσεις, που αποτελεί βασική προϋπόθεση για να αυξηθούν οι μισθοί σε όλες τις κλίμακες. Αυτή είναι η μόνη φιλολαϊκή απάντηση στα ψέματα της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ, ότι δήθεν θα αυξηθεί ο μέσος μισθός, χωρίς να καταργηθούν οι νόμοι που έχουν υπονομεύσει τις Κλαδικές Συμβάσεις Εργασίας.",political agenda,employment,wages,,0.0,0.0,"[['kke', 'organization', '1.0'], ['sunday', 'date', '1.0'], ['southwest', 'organization', '0.8'], ['syriza', 'organization', '1.0'], ['kke', 'organization', '1.0'], ['collective labour agreements', 'group of people', '1.0'], ['kke', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'organization', '1.0'], ['pasok', 'political party', '1.0']]"
6,"Yes, friends, the South-West counted gains and losses during the pandemic years. That is why it left the public health system unarmoured, as was evident here in the hospitals of Larissa, while it continued the further commercialisation of public health by law. SYRIZA did the same, which is why it said ""we will settle accounts later"" and even called for a minister of health of common approval...","Ναι, φίλες και φίλοι, κέρδη και ζημιές μετρούσε η ΝΔ στα χρόνια της πανδημίας. Γι αυτό και άφησε αθωράκιστο το δημόσιο σύστημα υγείας, όπως φάνηκε και δω στα νοσοκομεία της Λάρισας, ενώ συνέχισε νόμο τον νόμο την παραπέρα πορεία εμπορευματοποίησης της δημόσιας υγείας. Το ίδιο έκανε και ο ΣΥΡΙΖΑ, γι αυτό έλεγε «θα λογαριαστούμε μετά» και ζητούσε μέχρι και υπουργό υγείας κοινής αποδοχής…",criticism,pandemic,public health system,-0.6,0.2,0.2,"[['larissa', 'location', '0.85'], ['syriza', 'political party', '0.6'], ['minister of health', 'person', '0.6']]"
7,"Yes, profits and losses were counted by the New Democracy, promoting the so-called green transition, which is why the people's families are suffering from energy poverty and precision, which of course is not treated with baskets and passes of mockery. Of course, it is not only the New Democracy party that claims the privilege of mockery, but also SYRIZA and PASOK, which share the same strategy. That is why they voted with ND to make energy and fuel taxes permanent. The parties of bourgeois management count profits and losses, which is why their government programmes, one could say, have been written by the same hand.","Ναι, κέρδη και ζημιές μετρούσε η ΝΔ, προωθώντας και τη λεγόμενη πράσινη μετάβαση, γι αυτό και οι λαϊκές οικογένειες στενάζουν από την ενεργειακή φτώχεια και την ακρίβεια, η οποία βέβαια δεν αντιμετωπίζεται με τα καλάθια και τα pass της κοροϊδίας. Βέβαια δε διεκδικεί το προνόμιο της κοροϊδίας μόνο η ΝΔ, αλλά και ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ που μοιράζονται την ίδια στρατηγική. Γι αυτό και ψήφισαν μαζί με τη ΝΔ τη μονιμοποίηση των φόρων στην ενέργεια και στα καύσιμα. Κέρδη και ζημιές μετρούν, τα κόμματα της αστικής διαχείρισης γι αυτό και τα κυβερνητικά τους προγράμματα, θα έλεγε κανείς, πως έχουν γραφτεί από το ίδιο χέρι. ",criticism,energy,energy crisis,-0.8,0.6,0.0,"[['new democracy', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['nd', 'political party', '0.8'], [""the people's families"", 'group of people', '1.0'], ['bourgeois management', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
8,"Just reading the headlines, one understands that despite their quarrels, despite their differences, they can form a government on May 22. So let one of them, Mitsotakis, with his self-reliance, and the other, Tsipras, with his allegedly progressive government, leave the blackmailing dilemmas about ungovernability. And he even has the audacity to call on the KKE ""to take responsibility""! We could say a lot but we don't need to... Only what is well known to the workers, the breadwinning farmers and self-employed, the young children and women here in Larissa, in the whole of Thessaly. When SYRIZA, together with ND and PASOK, was counting profits and losses for capital during these four years, we, the KKE, were counting human lives. That is why we went to every workplace, in every town and village, in schools and colleges to organise the struggle of the workers, the people and the youth.We have taken on this great responsibility and we continue on this road with even greater determination, stubbornness and militancy. That is why today more and more people are thinking of supporting and voting for the KKE. Because they now see that a strong KKE means a strong people.","Μόνο τους τίτλους να διαβάσει κανείς καταλαβαίνει πως παρά τους καβγάδες, παρά τις διαφορές τους, μια χαρά μπορούν να φτιάξουν κυβέρνηση στις 22 του Μάη. Ας αφήσουν λοιπόν, τα εκβιαστικά διλήμματα περί ακυβερνησίας ο ένας, ο Μητσοτάκης με την αυτοδυναμία, και ο άλλος ο Τσίπρας με τα περί δήθεν προοδευτικής διακυβέρνησης. Και έχει μάλιστα και το θράσος να εγκαλεί το ΚΚΕ «να αναλάβει τις ευθύνες του»! Θα μπορούσαμε να πούμε πολλά αλλά δε χρειάζεται... Μόνο αυτό το οποίο ξέρουν καλά οι εργάτες και οι εργάτριες, οι βιοπαλαιστές αγρότες και αυτοαπασχολούμενοι, τα νέα παιδιά και οι γυναίκες και δω στη Λάρισα, σε ολόκληρη τη Θεσσαλία. Όταν ο ΣΥΡΙΖΑ μετρούσε μαζί με τη ΝΔ και το ΠΑΣΟΚ κέρδη και ζημιές για το κεφάλαιο αυτά τα τέσσερα χρόνια, εμείς, το ΚΚΕ, μετρούσαμε ανθρώπινες ζωές. Γι αυτό μπήκαμε μπροστά σε κάθε χώρο δουλειάς, σε κάθε πόλη και χωριό, στα σχολεία και τις σχολές για να οργανωθεί η πάλη των εργαζομένων, του λαού και της νεολαίας.Αυτή την μεγάλη ευθύνη έχουμε αναλάβει και σ’ αυτό το δρόμο συνεχίζουμε με ακόμα μεγαλύτερη αποφασιστικότητα, πείσμα και μαχητικότητα. Γι αυτό και σήμερα όλο και περισσότεροι σκέφτονται να στηρίξουν, να ψηφίσουν το ΚΚΕ. Γιατί βλέπουν πια πως δυνατό ΚΚΕ σημαίνει δυνατός ο λαός.",criticism,elections,election spending,-0.5,0.6,0.2,"[['mitsotakis', 'person', '0.6'], ['tsipras', 'person', '0.6'], ['kke', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['nd', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['larissa', 'location', '0.8'], ['thessaly', 'location', '0.8'], ['greece', 'country', '1.0'], ['may 22', 'date', '1.0'], ['four years', 'date', '1.0']]"
9,"Friends, compañeras and compañeros, Since we are here tonight in Larissa, in the Thessalian plain, we want to address the farmer and livestock farmer who is fighting for survival every day. We invite him to think that the policy implemented successively by all the last governments in our country is responsible for the continuous reduction of his income. Governments that had and still have as their common program the guidelines of the CAP, the interests of business groups.He should think that the New Democracy - Syriza - PASOK together support the one-sided orientation to the export of agricultural products, which benefits the commercial industrialists, while the massive imports add new difficulties to the life of farmers, degrading the quality of basic foodstuffs of the people. Together they voted for the 3rd memorandum, which cut the reimbursement of the special excise duty on agricultural diesel. It is no coincidence that all of them, in the face of the demand for guaranteed prices for products, are advocating the one-way CAP, which is going from bad to worse for the interests of the majority of farmers and, with its current revision (2023-2027), puts new obstacles to your survival. New Democracy - SYRIZA - PASOK together have formed an ELGA that wastes and hardly compensates. Together they have signed up to sanctions on Russia that are ultimately paid for by the farmers and all the people.","Φίλες και φίλοi, συντρόφισσες και σύντροφοι, Μιας και απόψε βρισκόμαστε εδώ στη Λάρισα, στον θεσσαλικό κάμπο, θέλουμε να απευθυνθούμε στο βιοπαλαιστή αγρότη και κτηνοτρόφο που δίνει καθημερινά τη μάχη της επιβίωσης. Τον καλούμε να σκεφτεί ότι υπεύθυνη για τη συνεχή μείωση του εισοδήματός του, είναι η πολιτική που εφαρμόστηκε διαδοχικά από όλες τις τελευταίες κυβερνήσεις στη χώρα μας. Κυβερνήσεις που είχαν και έχουν για κοινό τους πρόγραμμα, τις κατευθύνσεις της ΚΑΠ, τα συμφέροντα των επιχειρηματικών ομίλων.Να σκεφτεί πως ΝΔ - ΣΥΡΙΖΑ – ΠΑΣΟΚ μαζί υποστηρίζουν τον μονόπλευρο προσανατολισμό στην εξαγωγή αγροτικών προϊόντων, που ωφελεί τους εμποροβιομήχανους, την ώρα που οι αθρόες εισαγωγές προσθέτουν νέες δυσκολίες στη ζωή  των αγροτών, υποβαθμίζουν την ποιότητα βασικών ειδών διατροφής του λαού. Μαζί ψήφισαν το 3ο μνημόνιο, με το οποίο κόπηκε η επιστροφή του Ειδικού Φόρου Κατανάλωσης στο αγροτικό πετρέλαιο κίνησης. Δεν είναι τυχαίο ότι όλοι τους, απέναντι στο αίτημα για εγγυημένες τιμές στα προϊόντα, προτάσσουν τον μονόδρομο της ΚΑΠ, που εξελίσσεται από το κακό στο χειρότερο για τα συμφέροντά της πλειοψηφίας των αγροτών και με την τρέχουσα αναθεώρησή της (2023-2027) βάζει νέα εμπόδια στην επιβίωσή σας. ΝΔ - ΣΥΡΙΖΑ – ΠΑΣΟΚ μαζί έχουν διαμορφώσει έναν ΕΛΓΑ που χαρατσώνει και δύσκολα αποζημιώνει. Μαζί έχουν προσυπογράψει την επιβολή κυρώσεων στη Ρωσία που τελικά την πληρώνουν οι αγρότες και όλος ο λαός. ",criticism,agricultural policy,other,-0.9,0.2,0.2,"[['larissa', 'location', '0.9'], ['thessalian plain', 'location', '0.8'], ['new democracy', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['cap', 'organization', '0.8'], ['elga', 'organization', '0.7'], ['russia', 'country', '0.7'], ['2023-2027', 'date', '0.8']]"
10,"In this place, we know each other well. And the farmers and stockbreeders know very well who has been by their side and who has been against and against their interests. Now he can give up and give an account. He can see that precisely because the KKE is not bound by the interests of the big traders, the industrialists and the EU, it can take the lead, be in the struggles, give all its strength together with the farmers and cattle breeders, to reduce the cost of production by tax-free oil, ensuring cheap fertilizers, other raw materials, etc.etc., for guaranteed prices for their products to cover the cost of production and ensure a subsistence income, for the ELGA regulation to be changed to compensate 100% of the production, plant / animal capital from all natural hazards and all diseases, for immediate payment of compensation, for the creation of infrastructure projects and protection of production without charges and fees for the farmer, for the creation of infrastructure projects and protection of production without charges and fees for the farmer, for a change in the ELGA regulation to compensate 100% of the production, plant / animal capital from all natural hazards and all diseases, for immediate payment of compensation, for the creation of infrastructure projects and protection of production without charges and fees for the farmer. All this will be claimed again in the Parliament and outside it, on the street, in the movement, in the struggles, in the blockades, with thousands of poor farmers and thousands of other workers, unions and mass organizations.And as experience shows here in the prefecture of Larissa, the peasantry, if something was won, it was won with its struggle and no government, neither that of the Southwest, nor that of SYRIZA, gave it away. It won it with its unyielding struggles.","Σ’ αυτόν εδώ τον τόπο, γνωριζόμαστε καλά. Και οι αγρότες και οι  κτηνοτρόφοι ξέρουν πολύ καλά, ποιος ήταν δίπλα τους και ποιος ήταν απέναντι και ενάντια στα συμφέροντά τους. Τώρα μπορεί να τα βάλει κάτω και να κάνει λογαριασμό. Μπορεί να δει, πως ακριβώς επειδή το ΚΚΕ δεν έχει δεσμεύσεις από τα συμφέροντα των μεγαλεμπόρων, των βιομηχάνων και την ΕΕ, μπορεί να πρωτοστατεί, να είναι μέσα στους αγώνες, να δίνει όλες του τις δυνάμεις μαζί με τους αγρότες και τους κτηνοτρόφους, για να μειωθεί το κόστος παραγωγής με αφορολόγητο πετρέλαιο, εξασφάλιση φθηνών λιπασμάτων, άλλων πρώτων υλών κ.λπ, για εγγυημένες τιμές στα προϊόντα τους που να καλύπτουν το κόστος παραγωγής και να του εξασφαλίζουν εισόδημα επιβίωσης, για να αλλάξει ο κανονισμός του ΕΛΓΑ ώστε να αποζημιώνει στο 100% την παραγωγή, το φυτικό/ζωικό κεφάλαιο από όλους τους φυσικούς κινδύνους και όλες τις νόσους, για άμεση καταβολή των αποζημιώσεων, για να δημιουργηθούν έργα υποδομής και προστασίας της παραγωγής χωρίς επιβαρύνσεις και τέλη για τον αγρότη. Όλα αυτά θα τα διεκδικήσουμε ξανά μέσα στη Βουλή αλλά και έξω από αυτήν, στο δρόμο, στο κίνημα, στους αγώνες, στα μπλόκα, με τους χιλιάδες φτωχούς αγρότες αλλά και τους χιλιάδες άλλους εργαζόμενους, σωματεία και μαζικούς φορείς.Και όπως δείχνει και η πείρα και εδώ στο νομό Λάρισας, η αγροτιά, αν κάτι κέρδισε, το κέρδισε με τον αγώνα της και δεν της το χάρισε καμιά κυβέρνηση, ούτε αυτή της ΝΔ, ούτε αυτή του ΣΥΡΙΖΑ. Το κέρδισε με τους ανυποχώρητους αγώνες της.",political agenda,agricultural policy,other,,0.2,0.2,"[['kke', 'organization', '0.8'], ['eu', 'organization', '0.6'], ['elga', 'organization', '0.7'], ['parliament', 'organization', '0.4'], ['larissa', 'location', '0.9'], ['syriza', 'political party', '0.6']]"
