id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, compañeras and compañeros. And from here, from Egaleo, from the western districts of Athens, where the lives of tens of thousands of working-class families are squeezed, here where the hope for a better tomorrow passes every day through individual and collective toil and struggle, we want to address our hopeful call: Now is the time for decisive support and strengthening of the KKE! In the elections of May 21, we can terrorize those who terrorize us. We can neutralize their dilemmas and blackmail. To think and choose this time on the basis of our own interests, our own anxieties and our own needs.The thousands of workers, the unemployed who live in these neighbourhoods, the high school students who will be voting for the first time, the young people studying at the University of West Attica, the women who carry double and triple burdens at work and in the family, all of them know in their hearts that they have nothing substantial to expect from any government that is formed, among the parties that have ruled so far, ND, SYRIZA and PASOK and their various willing partners. They are not touched by the cockfights that take place for show, between those who have implemented and are alternately implementing the same and unchanging policy on the basic issues, for the benefit of the few.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι. Και από εδώ, από το Αιγάλεω, από τις δυτικές συνοικίες της Αθήνας, όπου στριμώχνονται οι ζωές δεκάδων χιλιάδων εργατικών - λαϊκών οικογενειών, εδώ που η ελπίδα για να ένα καλύτερο αύριο, περνάει κάθε μέρα μέσα από τον ατομικό και συλλογικό μόχθο και αγώνα, θέλουμε να απευθύνουμε το ελπιδοφόρο κάλεσμά μας: Τώρα είναι η ώρα της αποφασιστικής στήριξης και ενίσχυσης του ΚΚΕ! Στις εκλογές της 21ης Μαΐου, μπορούμε να τρομοκρατήσουμε αυτούς που μας τρομοκρατούν. Να αχρηστεύσουμε τα διλήμματα και τους εκβιασμούς τους. Να σκεφτούμε και να επιλέξουμε αυτή τη φορά με βάση τα δικά μας συμφέροντα, τις δικές μας αγωνίες και τις δικές μας ανάγκες.Οι χιλιάδες εργαζόμενοι, οι άνεργοι που μένουν σε αυτές εδώ τις γειτονιές, οι μαθητές του Λυκείου που θα ψηφίσουν για πρώτη φορά, οι νέοι που σπουδάζουν στο Πανεπιστήμιο Δυτικής Αττικής, οι γυναίκες που σηκώνουν διπλά και τριπλά βάρη στη δουλειά και στην οικογένεια, όλοι αυτοί ξέρουν καλά μέσα τους, ότι δεν έχουν τίποτα ουσιαστικό να περιμένουν, από την όποια κυβέρνηση σχηματιστεί, ανάμεσα στα κόμματα που κυβέρνησαν μέχρι σήμερα, τη ΝΔ, τον ΣΥΡΙΖΑ και το ΠΑΣΟΚ και από τους διάφορους πρόθυμους συνεταίρους τους. Δεν τους αγγίζουν οι κοκορομαχίες που γίνονται για το θεαθήναι, ανάμεσα σε αυτούς που υλοποίησαν και υλοποιούν εναλλάξ, την ίδια και απαράλλακτη πολιτική στα βασικά ζητήματα, προς όφελος των λίγων.",political agenda,elections,other,-0.4,0.2,0.0,"[['egaleo', 'location', '0.9'], ['athens', 'location', '0.7'], ['kke', 'political party', '0.8'], ['may 21', 'date', '1.0'], ['nd', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['university of west attica', 'organization', '0.6']]"
2,"Any ordinary person you ask will tell you one thing by instinct: ""Whoever comes out will do the same thing."" After all, we have seen it time and time again. And they are right. That's what the KKE says. That everyone else agrees on the critical things, the things that define our lives. That's why they have a common program. They are committed to serving this system, the interests and goals of those who hold the real power in this country: The industrialists, the shipowners, the bankers, the bankers, all kinds of ""investors"" - robbers - all those who live a life spoiled by the work of our own class, our own people. The election programmes of these parties, the 50 and 100 day programmes as they say, are made fancy, and they choose nice locations to present them. We would say that they are reminiscent of the contracts that banks sign with borrowers. They are presented in an attractive way, but the traps are hidden in the fine print, in the things that are not said.In the fine print of the election manifestos of both the New Democracy and Syriza parties, one can read their vows of loyalty to the Recovery Fund, the EU's super-memorandum with its harsh anti-people's preconditions and the commitments that its money will only end up with big business interests.It will read about the investment grade target, the assessments for which are made on the basis of specific criteria: extension of anti-labour legislation, privatisations, auctions, bloody surpluses, etc.It will read about the European Green Deal that will bring guaranteed profits to capital and very expensive ""green"" goods in Energy, transport, houses, food for the people.All the above and more is the ""big picture"" that will determine the programme of the next government. Any pre-election proclamations are just mockery, as has been proven in the past.","Όποιον απλό άνθρωπο και να ρωτήσεις, ένα πράγμα θα σου πει με το ένστικτό του: “Όποιος και να βγει τα ίδια θα κάνει”. Το ζήσαμε, άλλωστε, ξανά και ξανά. Και έχουν δίκιο. Αυτό λέει και το ΚΚΕ. Ότι όλοι οι άλλοι, συμφωνούν στα κρίσιμα, αυτά που καθορίζουν τη ζωή μας. Γι’ αυτό κι έχουν κοινό πρόγραμμα. Είναι ταγμένοι να υπηρετούν αυτό το σύστημα, τα συμφέροντα και τους στόχους αυτών που έχουν την πραγματική εξουσία σε αυτή τη χώρα: Των βιομηχάνων, των εφοπλιστών, των τραπεζιτών, των κάθε λογής “επενδυτών”- ληστών!Όλων αυτών, δηλαδή, που ζουν ζωή χαρισάμενη από τη δουλειά της δικής μας τάξης, των δικών μας ανθρώπων. Tα προεκλογικά προγράμματα αυτών των κομμάτων, τα προγράμματα 50 και 100 ημερών όπως λένε, τα φτιάχνουν φανταχτερά, επιλέγουν και ωραίες τοποθεσίες για να τα παρουσιάσουν. Θα λέγαμε ότι θυμίζουν τις συμβάσεις που υπογράφουν οι τράπεζες με τους δανειολήπτες. Παρουσιάζονται με ελκυστικό τρόπο, όμως οι παγίδες κρύβονται στα ψιλά γράμματα, σε αυτά που δεν λέγονται.Στα “ψιλά” γράμματα των προεκλογικών προγραμμάτων, τόσο της ΝΔ, όσο και του ΣΥΡΙΖΑ, θα διαβάσει κανείς τους όρκους πίστης τους στο Ταμείο Ανάκαμψης, το υπερμνημόνιο της ΕΕ με τα σκληρά αντιλαϊκά προαπαιτούμενα και τις δεσμεύσεις ώστε τα χρήματά του να καταλήγουν μόνο στα μεγάλα επιχειρηματικά συμφέροντα.Θα διαβάσει για τον στόχο της επενδυτικής βαθμίδας, οι αξιολογήσεις για την οποία γίνονται στη βάση συγκεκριμένων κριτηρίων: Επέκταση αντεργατικής νομοθεσίας, ιδιωτικοποιήσεις, πλειστηριασμοί, ματωμένα πλεονάσματα κλπ.Θα διαβάσει για την Ευρωπαϊκή Πράσινη Συμφωνία που θα φέρει εγγυημένα κέρδη στο κεφάλαιο και πανάκριβα «πράσινα» εμπορεύματα σε Ενέργεια, μεταφορές, σπίτια, διατροφή για τον λαό.Όλα τα παραπάνω και αρκετά ακόμα, είναι η “μεγάλη εικόνα” που θα καθορίσει το πρόγραμμα της επόμενης κυβέρνησης. Οι όποιες προεκλογικές διακηρύξεις είναι απλώς κοροϊδία, όπως έχει αποδειχθεί στο παρελθόν. ",criticism,elections,bankers,-0.9,0.8,0.2,"[['kke', 'organization', '1.0'], ['new democracy', 'political party', '0.9'], ['syriza', 'political party', '0.9'], ['recovery fund', 'organization', '0.8'], ['eu', 'organization', '0.8'], ['energy', 'location', '0.6']]"
3,"So we say to you: Don't waste your time looking for minor differences that exist, but which do not change the situation of the people of our region. The only anxiety that you all should have, which we have too, is how high, how much stronger the KKE will be! Because that is what can shake them up, make them think twice and thrice before bringing an unpopular measure to Parliament! Because they know that they will get hammered, not by 15, but by 30 or more MPs. Because this will also make the demands of the people stronger. Because it will not only be 15, but 30 or more MPs who will bring to Parliament, in the form of questions, amendments, legislative proposals, your problems, your demands, and will demand solutions and answers. Like the amendment we tabled for the requisition of the building where the 9th Elementary School of Egaleo is housed, to stop the eviction of the owner and, of course, many more, for the abolition of taxes, for an increase in wages, etc., because all these communist deputies are not limited to the benches of the House. They will be outside, in the real world, on the side of the people who are being tested by layoffs, by evictions, by repression, where, after all, is the natural place of the deputies of the KKE, of all our forces, and our people know this very well.","Γι’ αυτό και σάς λέμε: Μην χάνετε τον χρόνο σας ψάχνοντας μικροδιαφορές που, ναι μεν υπάρχουν, αλλά καθόλου δεν αλλάζουν επί της ουσίας την κατάσταση που βιώνει ο λαϊκός κόσμος της περιοχής μας. Η μόνη αγωνία που πρέπει να έχετε όλοι εσείς, την οποία έχουμε και εμείς, είναι πόσο ψηλά, πόσο πιο δυνατό θα είναι το ΚΚΕ! Γιατί αυτό είναι που μπορεί να τους ταρακουνήσει, να τους κάνει να το σκέφτονται δυο και τρεις φορές πριν φέρουν ένα αντιλαϊκό μέτρο στη Βουλή! Γιατί ξέρουν ότι θα φάνε σφυροκόπημα, όχι από 15, αλλά από 30 ή και περισσότερους βουλευτές. Γιατί αυτό θα κάνει και πιο δυνατές τις διεκδικήσεις του λαού. Γιατί δεν θα είναι μόνον 15, αλλά 30 ή και περισσότεροι βουλευτές που θα μεταφέρουν στη Βουλή σε μορφή ερωτήσεων, τροπολογιών, προτάσεων νόμου, τα δικά σας προβλήματα, τα δικά σας αιτήματα και θα διεκδικούν λύσεις και απαντήσεις. Όπως η τροπολογία που καταθέσαμε για την επίταξη του κτηρίου όπου στεγάζεται το 9ο Δημοτικό του Αιγάλεω, για να σταματήσει η έξωση από τον ιδιοκτήτη και, φυσικά, πολλές ακόμα, για κατάργηση φόρων, για αύξηση των μισθών κλπ.Γιατί όλοι αυτοί οι κομμουνιστές βουλευτές, δεν περιορίζονται μόνο στα έδρανα της Βουλής. Θα είναι έξω, στον πραγματικό κόσμο, στο πλευρό του λαού που δοκιμάζεται με απολύσεις, με εξώσεις, με καταστολή, εκεί που είναι, άλλωστε, ο φυσικός χώρος των βουλευτών του ΚΚΕ, όλων των δυνάμεών μας και αυτό ο λαός μας το ξέρει πολύ καλά.",political agenda,democracy,other,0.5,0.2,0.2,"[['kke', 'organization', '1.0'], ['parliament', 'location', '0.5'], ['egaleo', 'location', '0.5'], ['kke', 'group of people', '0.8'], ['15', 'number', '0.5'], ['30', 'number', '0.5'], ['mps', 'group of people', '0.5'], ['9th elementary school of egaleo', 'organization', '0.5']]"
4,"Because this is the only way our people, the progressive people of this country, who are fed up with the Georgiades, the Hadjidakis and the rest of those who wag their finger at them, can smile, because they do not want to compromise with misery, but they do not want - and rightly so - to see anyone washing them again ""from the left"" to return ""from the right""!
He cannot listen to Mitsotakis, from here in Egaleo, asking for support, because he says that ""we must not risk our conquests, we must not discount our claims""!
But who is counting conquests these four years? The people or the monopolies? Yes, a great conquest for the monopolies is the labour jungle created by one after another by the parties of capital. And one of the greatest conquests of the parties of capital is the Hatzidakis law, this abomination, half of which SYRIZA also voted for. However, they were quickly cut off, because we stepped forward in the workplaces so that this miserable law would remain on paper. Yes, it is a great victory for the monopolies to promote the green growth strategy that has brought precision, energy poverty, exorbitant bills and even power cuts to popular households. We know this first-hand, because our own forces are intervening everywhere, including here in Egaleo, to ensure that the electricity is not cut off in people's homes.","Γιατί έτσι μόνο μπορεί να χαμογελάσει ο λαός μας, ο προοδευτικός κόσμος αυτής της χώρας που μπούχτισε από τους Γεωργιάδηδες, τους Χατζηδάκηδες και τους υπόλοιπους που του κουνάνε το δάχτυλο, γιατί δεν συμβιβάζεται με τη μιζέρια, όμως δεν θέλει -και πολύ καλά κάνει- να δει κανέναν να τους ξεπλένει αυτούς πάλι «εξ αριστερών» για να επιστρέψουν μετά «εκ δεξιών»! 
Δεν μπορεί να ακούει τον Μητσοτάκη, από δω από το Αιγάλεω να ζητάει στήριξη, γιατί λέει πως “δεν πρέπει να ρισκάρουμε τις κατακτήσεις μας, να κάνουμε εκπτώσεις στις διεκδικήσεις μας”! 
Ποιος όμως μετρά κατακτήσεις αυτά τα τέσσερα χρόνια; Ο λαός ή τα μονοπώλια; Ναι, μεγάλη κατάκτηση είναι για τα μονοπώλια η εργασιακή ζούγκλα που διαμόρφωσαν ο ένας μετά τον άλλο τα κόμματα του κεφαλαίου. Και από τις μεγαλύτερες κατακτήσεις των κομμάτων του κεφαλαίου ο νόμος Χατζηδάκη, αυτό το έκτρωμα που κατά το ήμισυ ψήφισε και ο ΣΥΡΙΖΑ. Όμως, γρήγορα τους κόπηκε η φόρα, γιατί εμείς μπαίνουμε μπροστά στους χώρους δουλειάς για να μείνει στα χαρτιά ο άθλιος αυτός νόμος. Ναι, μεγάλη κατάκτηση είναι για τα μονοπώλια η προώθηση της στρατηγικής της πράσινης ανάπτυξης που έφερε ακρίβεια, ενεργειακή φτώχεια, υπέρογκους λογαριασμούς ακόμα και διακοπές ρεύματος στα λαϊκά νοικοκυριά. Εμείς το ξέρουμε από πρώτο χέρι, γιατί οι δικές μας δυνάμεις παρεμβαίνουν παντού και δω στο Αιγάλεω για να μην κοπεί το ρεύμα στα λαϊκά σπίτια.",criticism,economy,other,-0.6,0.2,0.2,"[['georgiades', 'person', '0.5'], ['hadjidakis', 'person', '0.5'], ['syriza', 'political party', '0.5'], ['egaleo', 'location', '1'], ['mitsotakis', 'person', '0.5']]"
5,"Yes, the further commercialisation and privatisation of the public health system is a great conquest for capital, which is being promoted by the New Democracy, but the forces of the KKE, together with other militants, through the mass organisations, are leading the struggle for the protection of the public health system, for recruitment and infrastructure, because in our conception health cannot be a commodity. This is why we are leading the struggle to open the hospital of Agia Varvara, the well-known Infectious Diseases Hospital, which was closed by the New Democracy and kept closed by the Syriza government, which now remembered how much the people of the region need it...","Ναι, μεγάλη κατάκτηση είναι για το κεφάλαιο η παραπέρα εμπορευματοποίηση και ιδιωτικοποίηση του δημόσιου συστήματος υγείας, που νόμο το νόμο προωθεί η ΝΔ, όμως οι δυνάμεις του ΚΚΕ, μαζί φυσικά με άλλους αγωνιστές, μέσα από τους μαζικούς φορείς, πρωτοστατούν στον αγώνα για τη θωράκιση του δημόσιου συστήματος υγείας, για προσλήψεις, υποδομές, γιατί στη δική μας αντίληψη η υγεία δεν μπορεί να είναι εμπόρευμα. Αυτός είναι ο λόγος που πρωτοστατούμε στον αγώνα για να ανοίξει το Νοσοκομείο της Αγίας Βαρβάρας, το γνωστό Λοιμωδών, που έκλεισε η ΝΔ και κράτησε κλειστό η κυβέρνηση του ΣΥΡΙΖΑ, που τώρα θυμήθηκε πόσο ανάγκη το έχει ο λαός της περιοχής… ",political agenda,health,privatization of healthcare,,0.1,0.0,"[['new democracy', 'organization', '0.8'], ['kke', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['agia varvara', 'location', '0.6'], ['infectious diseases hospital', 'group of people', '0.5']]"
6,"Yes, a great conquest for the various investors is the developments with the shipyards that are touching here in the area, Skaramanga, but also Elefsina. And Mitsotakis has a lot of nerve coming here to Egaleo and advertising his law on the Elefsina Shipyards, where a new economic zone is being created and the workers no longer have any labour rights. Who gave him this opportunity to do this? SYRIZA, which passed this law. Yes, unfortunately, this abomination was also voted for by SYRIZA MPs, which is why Georgiades praised them. So who is fighting against Mitsotakis? The one who votes for his laws or the one who votes against them in parliament and leads the fight to annul them outside? On the Elefsina shipyards, indeed, Mitsotakis did say something here in Egaleo. On the Skaramagas shipyards, where the shipowner Prokopiou is planning a power plant, possibly an LNG storage facility, he said nothing. What could he say? That he has given the green light for a ticking time bomb to be installed in the homes of ordinary families, next to their children's schools? But they are reckoning without the hotelier. Because, with the city's mass organizations in the lead, an entire city has risen up to thwart their plans.","Ναι, μεγάλη κατάκτηση για τους διάφορους επενδυτές είναι οι εξελίξεις με τα Ναυπηγεία που ακουμπούν εδώ στην περιοχή, του Σκαραμαγκά, αλλά και της Ελευσίνας. Και έχει μεγάλο θράσος ο Μητσοτάκης να έρχεται εδώ στο Αιγάλεω και να διαφημίζει τον νόμο του για τα Ναυπηγεία της Ελευσίνας, όπου εκεί δημιουργείται μια νέα οικονομική ζώνη και οι εργαζόμενοι πλέον δεν έχουν κανένα μα κανένα εργασιακό δικαίωμα. Ποιος του έδωσε αυτή τη δυνατότητα να το κάνει; Ο ΣΥΡΙΖΑ που ψήφισε αυτό τον νόμο. Ναι, δυστυχώς, αυτό το έκτρωμα ψήφισαν και οι βουλευτές του ΣΥΡΙΖΑ γι’ αυτό και ο Γεωργιάδης τους έπλεξε το εγκώμιο. Ποιος λοιπόν παλεύει ενάντια στον Μητσοτάκη; Αυτός που ψηφίζει τους νόμους του ή αυτός που τους καταψηφίζει στη βουλή και έξω απ΄ αυτή πρωτοστατεί στον αγώνα για να τους ακυρώσει; Για τα Ναυπηγεία της Ελευσίνας, όντως, κάτι είπε ο Μητσοτάκης εδώ στο Αιγάλεω. Για τα Ναυπηγεία του Σκαραμαγκά, όπου ο εφοπλιστής Προκοπίου σχεδιάζει μονάδα παραγωγής ηλεκτρικής ενέργειας, πιθανά μονάδα αποθήκευσης LNG, δεν είπε κάτι. Τι να πει; Ότι έχει δώσει το πράσινο φως για να εγκατασταθεί μια ωρολογιακή βόμβα μέσα στα σπίτια των λαϊκών οικογενειών, δίπλα στα σχολεία των παιδιών τους; Αλλά λογαριάζουν χωρίς τον ξενοδόχο. Γιατί με μπροστάρηδες τους μαζικούς φορείς της πόλης, μια ολόκληρη πόλη έχει ξεσηκωθεί για να ματαιώσει τα σχέδιά τους.",criticism,employment,other,-0.5,0.1,0.2,"[['skaramanga', 'location', '1.0'], ['elefsina', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['egaleo', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['georgiades', 'person', '1.0'], ['prokopiou', 'person', '1.0']]"
7,"So, when they talk about conquests, they talk about all that they give, that they offer with their laws to the industrialists, to the shipowners, to the bankers, to all the exploiters in order to make their profits... And when they talk about demands, they talk again about their own demands that they are planning to implement. We, when we talk about conquests, about the rights and needs of the workers, about all that today offers relief to the people's families, we talk about. This is the content of our demands, and if one thing is proven every day, it is that profits and privileges for capital are not compatible with the needs and rights of the workers and the people.","Αυτοί, λοιπόν, όταν μιλάνε για κατακτήσεις, μιλάνε για όλα αυτά που δίνουν, που προσφέρουν με τους νόμους τους στους βιομηχάνους, στους εφοπλιστές, στους τραπεζίτες, σε όλους τους εκμεταλλευτές για να αυγατίζουν τα κέρδη τους… Κι όταν μιλάνε για διεκδικήσεις μιλάνε πάλι για τις δικές τους απαιτήσεις που δρομολογούν να τις υλοποιήσουν. Εμείς, όταν μιλάμε για κατακτήσεις, για τα δικαιώματα και τις ανάγκες των εργαζομένων, για όλα αυτά που σήμερα προσφέρουν ανακούφιση στις λαϊκές οικογένειες μιλάμε. Αυτό το περιεχόμενο έχουν και οι διεκδικήσεις μας.Κι αν ένα πράγμα αποδεικνύεται καθημερινά είναι πως κέρδη και προνόμια για κεφάλαιο, δεν συμβιβάζονται με τις ανάγκες και τα δικαιώματα του των εργαζομένων, του λαού. ",political agenda,economy,bankers,,0.2,0.5,"[['industrialists', 'organization', '0.75'], ['shipowners', 'organization', '0.75'], ['bankers', 'organization', '0.75'], ['exploiters', 'group of people', '0.5'], ['workers', 'group of people', '0.75'], [""people's families"", 'group of people', '0.5.']]"
8,"Yes, we agree we need to get rid of all of them. But the only way to truly rid our people of all of them, under whatever guise they appear, to rid them of their politics, of the interests they serve, is the Programme of Power and Governance proposed by the KKE. The Program that abolishes these interests, puts the economy to work for the needs of the many and no longer for the profits of the few, establishes institutions of real democracy, with elected and recallable representatives of the workers at all its levels.So, therefore, do not hesitate any longer. Make your thought a decision and your decision a deed. Make up your mind.","Ναι, συμφωνούμε πρέπει να απαλλαγούμε από όλους αυτούς. Ο μόνος τρόπος όμως για να απαλλαγεί πραγματικά ο λαός μας από όλους αυτούς, με όποιο μανδύα κι αν εμφανίζονται, να απαλλαγεί από την πολιτική τους, από τα συμφέροντα που υπηρετούν, είναι το Πρόγραμμα εξουσίας και διακυβέρνησης που προτείνει το ΚΚΕ. Το Πρόγραμμα που καταργεί αυτά τα συμφέροντα, βάζει την οικονομία να δουλεύει για τις ανάγκες των πολλών και όχι πια για τα κέρδη των λίγων, εγκαθιδρύει θεσμούς πραγματικής δημοκρατίας, με αιρετούς και ανακλητούς εκπροσώπους των εργαζομένων σε όλες της βαθμίδες της.Γι’ αυτό, λοιπόν, μη διστάζετε άλλο. Κάντε τη σκέψη σας απόφαση και την απόφαση πράξη: Στηρίξτε το ΚΚΕ. ΚΚΕ δυνατό, δύναμη για τον λαό!",political agenda,economy,other,,0.6,0.5,"[['kke', 'organization', '1.0'], ['programme of power and governance', 'organization', '1.0']]"
9,"Friends, compañeras and compañeros. Mr. Tsipras and the SYRIZA cadres constantly refer to the KKE and - with great self-confidence - declare that it is one thing what the parties say during the pre-election and another thing what they will do after the election. As far as this is concerned, they know something, we don't doubt it... So they say that after the elections ""the KKE will have to take responsibility"" for whether we prefer a Syriza government with PASOK, or whether we will open the way for Mitsotakis.You will have heard us say many times that we are not in 2012 or 2015. Let's think a little more carefully about what that means, what has changed since then... You know, today is the 11th anniversary of the elections of May 2012, which, in the midst of a deep capitalist crisis, brought about major rearrangements in the bourgeois political system, in the correlation between the bourgeois parties.The two parties - ND and PASOK - that had been in power since the post-war period were crushed, especially PASOK, which traditionally enclosed a large part of the working and popular classes, but also ND.
It was the first time that SYRIZA, a small party of the compromised left, of opportunism as we call it in our theory, became the official opposition.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι. Ο κ. Τσίπρας και τα στελέχη του ΣΥΡΙΖΑ αναφέρονται συνεχώς στο ΚΚΕ και -με μεγάλη αυτοπεποίθηση- δηλώνουν ότι είναι άλλο το τι λένε τα κόμματα προεκλογικά και άλλο το τι θα κάνουν μετεκλογικά. Όσο για αυτό, κάτι ξέρουν οι συγκεκριμένοι, δεν το αμφισβητούμε…Λένε, λοιπόν, ότι μετά τις εκλογές “θα πρέπει το ΚΚΕ να αναλάβει την ευθύνη” για το αν προτιμάμε κυβέρνηση του ΣΥΡΙΖΑ με το ΠΑΣΟΚ, ή θα ανοίξουμε τον δρόμο στον Μητσοτάκη.Πολλές φορές θα μας έχετε ακούσει να απαντάμε ότι δεν βρισκόμαστε στο 2012 ούτε στο 2015. Ας σκεφτούμε λίγο καλύτερα τι σημαίνει αυτό, τι έχει αλλάξει από τότε μέχρι σήμερα...Ξέρετε, ακριβώς σήμερα, συμπληρώνονται 11 ολόκληρα χρόνια από εκείνες τις εκλογές του Μαΐου του 2012, που, εν μέσω βαθιάς καπιταλιστικής κρίσης, έφεραν μεγάλες ανακατατάξεις στο αστικό πολιτικό σύστημα, στον συσχετισμό των αστικών κομμάτων.Τα δύο κόμματα -ΝΔ και ΠΑΣΟΚ- που είχαν ασκήσει τη διακυβέρνηση από τη μεταπολίτευση και μετά καταποντίστηκαν, ιδιαίτερα το ΠΑΣΟΚ, που παραδοσιακά εγκλώβιζε μεγάλο τμήμα των εργαζομένων, των λαϊκών στρωμάτων, αλλά και η ΝΔ. 
Ήταν η πρώτη φορά που ο ΣΥΡΙΖΑ, ένα μικρό μέχρι τότε κόμμα της συμβιβασμένης αριστεράς, του οπορτουνισμού όπως λέμε στη θεωρία μας, αναδείχθηκε σε αξιωματική αντιπολίτευση.",political agenda,elections,other,-0.5,0.1,0.0,"[['mr. tsipras', 'person', '0.8'], ['syriza', 'organization', '0.8'], ['kke', 'organization', '0.9'], ['pasok', 'political party', '0.8'], ['mitsotakis', 'person', '0.6'], ['nd', 'political party', '0.8'], ['may 2012', 'date', '1.0']]"
10,"What did SYRIZA start saying then in view of the next elections? They were saying ""we will only cooperate with the KKE to make the government of the left, to vindicate the struggles of EAM and ELAS, to abolish the memoranda, to restore labour rights"", even that they would open the road to socialism, depending on the audience.They even accused the KKE of not feeling its historical responsibility, of betraying the people and its history, and other such shameless things, but they caressed the ears of some honest people, of militants. Imagine if we could transfer to the future, to the present, a man who believed SYRIZA then. To show him Mr Tsipras: Declaring that his current program has the approval of the German Chancellor, saying that the funds, to which he has meanwhile given the red loans, will benefit from the regulation he proposes for the red loans, welcoming to his ballot papers the former government representative of the ""infamous right"" Antonaros, and so much more. Would he believe his eyes?We, of course, knew for better or for worse what SYRIZA is from its foundation and much earlier. But we also saw its rapid transformation. We saw the credentials it presented to the forums of capital, domestic and international, making it clear that it would not touch a hair of their interests. We saw the mechanisms, the cadres of the old PASOK moving in an organized way to Syriza.We knew, of course, from our analysis and from historical experience, that no government on the soil of capitalism, regardless of even intentions, can pursue a policy that goes against the general interests of the exploiters.These were what kept us from stepping on the banana peel.","Τι άρχισε να λέει τότε ο ΣΥΡΙΖΑ εν όψει των επόμενων εκλογών; Έλεγε “θα συνεργαστούμε μόνο με το ΚΚΕ για να κάνουμε την κυβέρνηση της αριστεράς, να δικαιώσουμε τους αγώνες του ΕΑΜ και του ΕΛΑΣ, να καταργήσουμε τα μνημόνια, να επαναφέρουμε τα εργασιακά δικαιώματα”, μέχρι και ότι θα ανοίξουν τον δρόμο προς τον σοσιαλισμό έλεγαν, ανάλογα με το ακροατήριο.Κατηγορούσαν, μάλιστα, το ΚΚΕ ότι δεν συναισθάνεται την ιστορική του ευθύνη, ότι προδίδει τον λαό και την ιστορία του και άλλα τέτοια ξεδιάντροπα, που χάιδευαν όμως κάποια αυτιά τίμιων ανθρώπων, αγωνιστών. Σκεφτείτε να μπορούσαμε να μεταφέρουμε στο μέλλον, στο σήμερα, έναν άνθρωπο που πίστεψε τότε τον ΣΥΡΙΖΑ. Να του δείξουμε τον κ. Τσίπρα: Να δηλώνει ότι το σημερινό πρόγραμμά του έχει την έγκριση του Γερμανού Καγκελάριου, να λέει ότι από τη ρύθμιση που προτείνει για τα κόκκινα δάνεια θα βγουν κερδισμένα τα funds, στα οποία εντωμεταξύ έχει δώσει τα κόκκινα δάνεια, να υποδέχεται στα ψηφοδέλτιά του τον πρώην κυβερνητικό εκπρόσωπο της «επάρατης δεξιάς» Αντώναρο και τόσα ακόμα. Θα πίστευε στα μάτια του;Εμείς, φυσικά, ξέραμε από την καλή και από την ανάποδη τι εστί ΣΥΡΙΖΑ από την ίδρυσή του και πολύ νωρίτερα. Βλέπαμε, όμως, και τη γρήγορη μετάλλαξή του. Βλέπαμε τα διαπιστευτήρια που κατέθετε στα φόρα του κεφαλαίου, εγχώρια και διεθνή, ξεκαθαρίζοντας ότι δεν πρόκειται να πειράξει ούτε τρίχα από τα συμφέροντά τους. Βλέπαμε τους μηχανισμούς, τα στελέχη του παλιού ΠΑΣΟΚ που μετακόμιζαν οργανωμένα στον ΣΥΡΙΖΑ.Ξέραμε, φυσικά, από την ανάλυσή μας και από την ιστορική πείρα, ότι καμία κυβέρνηση στο έδαφος του καπιταλισμού, ανεξάρτητα ακόμα και από προθέσεις, δεν μπορεί να ασκήσει πολιτική που πάει κόντρα στα γενικά συμφέροντα των εκμεταλλευτών.Αυτά ήταν που μας προφύλαξαν από το να πατήσουμε τη μπανανόφλουδα. ",criticism,elections,other,-0.7,0.2,0.1,"[['syriza', 'organization', '1.0'], ['kke', 'political party', '1.0'], ['eam', 'organization', '1.0'], ['elas', 'organization', '1.0'], ['germany', 'country', '1.0'], ['antonaros', 'person', '1.0'], ['pasok', 'political party', '1.0']]"
