id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends. If one wants to reveal how phony, how false the electoral confrontation of the parties of the system is, surely the issue of people's housing is one of the most characteristic. On the eve of the elections, all the accomplices in the crimes of auctions and household over-indebtedness are now posing as the late protectors of the first home; we, for our part, are clearly telling the wage-earners and the self-employed that it is time to pay up. They should think about how we got here, who is responsible, who has benefited and what is coming next. They should think about who told the truth and who is constantly trying to deceive them.","Φίλες και φίλοι. Αν θέλει κανείς να αποκαλύψει πόσο κάλπικη, πόσο ψευδεπίγραφη είναι η προεκλογική αντιπαράθεση των κομμάτων του συστήματος, σίγουρα το ζήτημα της λαϊκής κατοικίας είναι ένα απ’ τα πιο χαρακτηριστικά. Παραμονές εκλογών όλοι οι συνένοχοι για τα εγκλήματα των πλειστηριασμών και της υπερχρέωσης των νοικοκυριών παριστάνουν τώρα τους όψιμους προστάτες της πρώτης κατοικίας.Εμείς απ’ την πλευρά μας λέμε καθαρά στους μισθωτούς και στους αυτοαπασχολούμενους πως ήρθε η ώρα να κάνουν ταμείο. Να σκεφτούν πώς φτάσαμε ως εδώ, ποιοι ευθύνονται, ποιοι ωφελήθηκαν και τι έρχεται την επόμενη μέρα. Να σκεφτούν ποιος είπε την αλήθεια και ποιοι προσπαθούν συνεχώς να τους εξαπατήσουν. ",criticism,housing,affordable housing,-0.7,0.2,0,[]
2,"The KKE warned the people in time, stepped forward in the struggle and illuminated the truth with facts and figures. The communists through their unions are in front of every battle to prevent the electricity from being cut off in people's houses, to prevent people's families from being forced out by the auctions.And this is recognized by many people who say that they have found in the communists new friends in the face of their suffering. The truth is that the cost of housing is unbearable for a large part of people's families. If you add in utilities and other bills, it takes the better part of an average salary to make it through the month.","Το ΚΚΕ προειδοποίησε έγκαιρα το λαό, μπήκε μπροστά στον αγώνα και φώτισε την αλήθεια με γεγονότα και αριθμούς. Οι κομμουνιστές μέσα απ’ τα σωματεία τους είναι μπροστά σε κάθε μάχη για να μην κοπεί το ρεύμα σε λαϊκά σπίτια, να μην ξεσπιτωθούν με τους πλειστηριασμούς λαϊκές οικογένειες.Και αυτό το αναγνωρίζουν πολλοί άνθρωποι που δηλώνουν ότι βρήκαν στο πρόσωπο των κομμουνιστών νέους φίλους μπροστά στα βάσανά τους. Η αλήθεια είναι ότι το κόστος στέγασης είναι αφόρητο για μεγάλο μέρος των λαϊκών οικογενειών. Αν συνυπολογίσουμε τα κοινόχρηστα και τους υπόλοιπους λογαριασμούς, απαιτείται το μεγαλύτερο μέρος ενός μέσου μισθού για να βγει ο μήνας. ",political agenda,housing,electricity,0.5,0.1,0.4,"[['kke', 'organization', '1.0'], ['communists', 'group of people', '0.9'], ['unions', 'organization', '0.7'], ['housing', 'location', '0.6']]"
3,"These are not our assertions, these are analyses of the KKE. The new Eurostat report on housing in Europe accepts this. What does the report reflect? That more than 32% of the urban population, that is, of the urban dwellers in Greece, are overburdened by housing costs. What does excessive mean? That they are forced to spend more than 40% of their income to cover their housing costs. The percentage of Greek households already in arrears and struggling to pay bills, rents and loans is more than 36%! This is well above the EU average.","Δεν πρόκειται για δικούς μας ισχυρισμούς, για αναλύσεις του ΚΚΕ. Το αποδέχεται η νέα Έκθεση της Eurostat για τη στέγαση στην Ευρώπη. Τι αποτυπώνει η Έκθεση; Ότι το πάνω απ’ το 32% του αστικού πληθυσμού, δηλαδή των κατοίκων των πόλεων στην Ελλάδα, επιβαρύνεται υπερβολικά απ’ το στεγαστικό κόστος. Τι σημαίνει υπερβολικά; Ότι αναγκάζεται να διαθέσει πάνω απ’ το 40% του εισοδήματός του για να καλύψει τα έξοδα στέγασης. Το ποσοστό των ελληνικών νοικοκυριών που παρουσιάζει ήδη καθυστερημένες οφειλές και δυσκολεύεται να πληρώσει λογαριασμούς, νοίκια και δάνεια, ξεπερνά το 36%! Βρίσκεται μάλιστα πολύ πάνω απ’ τον κοινοτικό μέσο όρο. ",criticism,housing,affordable housing,-0.8,0,0,"[['kke', 'organization', '0.8'], ['eurostat', 'organization', '0.9'], ['europe', 'location', '0.8'], ['greece', 'country', '0.9'], ['eu', 'organization', '0.8']]"
4,"Revenues in the Greek market reached 2.2 billion euros this year, up from 1.4 billion euros in 2019. The abolition after 2012 of the OEK exacerbates the problem even more. More generally, the onslaught of tourism in city centres, not only in the form of airbnb, is also drastically changing land prices. Entire areas are being transformed into hotbeds of tourist interest. Tourist-oriented hotels and entertainment centres are springing up like mushrooms, driving up land prices. The redevelopment of city centres, the 'grand promenade', has precisely this aim. To turn cities into areas of tourist interest.Similarly, the changes in holiday construction are made to concentrate land in the hands of the tourism groups. Last November, tens of thousands of small landowners suddenly saw the abolition of building by derogation make them the pawns of big investors. Now, the way is opening up (with the de facto abolition of the 4-acre requirement for a large piece of land) for the massive concentration of land in large conglomerates.
We recall, that under the state policy promoted by ND and SYRIZA, large conglomerates are exempted from any zoning restrictions. They build hotels wherever they want with preferential conditions. In other words, the housing crisis in Greece is not only about the nightmare of foreclosures.","Τα έσοδα στην ελληνική αγορά έφτασαν φέτος τα 2,2 δισ. ευρώ από 1,4 δισ. ευρώ το 2019. Η κατάργηση μετά το 2012 του ΟΕΚ οξύνει ακόμα περισσότερο το πρόβλημα. Γενικότερα, η επέλαση του τουρισμού στα κέντρα των πόλεων, όχι μόνο με την μορφή του airbnb, επίσης αλλάζει δραστικά τις τιμές της γης. Ολόκληρες περιοχές μετατρέπονται σε εστίες τουριστικού ενδιαφέροντος. Ξενοδοχεία και κέντρα διασκέδασης προσανατολισμένα στους τουρίστες ξεπηδούν σαν μανιτάρια, απογειώνοντας τις τιμές της γης. Οι αναπλάσεις στα κέντρα των πόλεων, ο «μεγάλος περίπατος», έχουν ακριβώς αυτό το στόχο. Να μετατρέψουν τις πόλεις σε περιοχές τουριστικού ενδιαφέροντος.Αντίστοιχα, οι αλλαγές στην παραθεριστική δόμηση, γίνονται για να συγκεντρωθεί η γη στα χέρια των ομίλων του τουρισμού. Τον περασμένο Νοέμβριο, δεκάδες χιλιάδες μικροϊδιοκτήτες γης, είδαν ξαφνικά, με την κατάργηση της κατά παρέκκλισης δόμησης, να γίνεται βορά στα χέρια των μεγαλοεπενδυτών. Τώρα, ανοίγει ο δρόμος, (με την de facto κατάργηση της αρτιότητας των 4 στρεμμάτων για μεγάλο κομμάτι), για την μαζική συγκέντρωση της γης σε μεγάλους ομίλους. 
Θυμίζουμε, ότι με την κρατική πολιτική που ΝΔ και ΣΥΡΙΖΑ έχουν προωθήσει, οι μεγάλοι όμιλοι εξαιρούνται από οποιοδήποτε χωροταξικό περιορισμό. Χτίζουν ξενοδοχεία όπου θέλουν με προνομιακούς όρους. Με άλλα λόγια η στεγαστική κρίση στην Ελλάδα δεν αφορά μόνο τον εφιάλτη των πλειστηριασμών. ",criticism,tourism,other,0,0,0,"[['greek', 'location', '1.0'], ['oek', 'organization', '1.0'], ['tourism', 'organization', '1.0'], ['airbnb', 'organization', '1.0'], ['hotels', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greece', 'country', '1.0'], ['november', 'date', '1.0']]"
5,"SYRIZA hypocritically said that it was forced by the Brussels priesthood to follow this policy. But recently, SYRIZA MPs were standing up to applaud Tsipras in Parliament, when he declared himself proud of having secured the notorious cushion for the Greek economy, i.e. the bloody surplus of the 2015-2019 SYRIZA government. Now the OECD says in its recommendations for the next government that a new bloody surplus will be required to ensure Greece's investment grade and to make the country attractive for new investments by domestic and foreign groups.The EU is making similar demands for the disbursement of the Community funds. In other words, the unpopular policy will continue and intensify, no matter which government is formed.","Ο ΣΥΡΙΖΑ έλεγε υποκριτικά ότι υποχρεώθηκε απ’ το ιερατείο των Βρυξελλών να ακολουθήσει αυτή την πολιτική. Όμως πρόσφατα οι βουλευτές του ΣΥΡΙΖΑ χειροκροτούσαν όρθιοι τον Τσίπρα στη Βουλή, όταν δήλωνε περήφανος γιατί διασφάλισε το περιβόητο μαξιλάρι για την ελληνική οικονομία, δηλαδή το ματωμένο πλεόνασμα της διακυβέρνησης ΣΥΡΙΖΑ 2015 - 2019. Τώρα ο ΟΟΣΑ αναφέρει στις συστάσεις του για την επόμενη κυβέρνηση, ότι θα απαιτηθεί νέο ματωμένο πλεόνασμα για να διασφαλίσει η Ελλάδα την επενδυτική βαθμίδα και να γίνει ελκυστική η χώρα για νέες επενδύσεις των εγχώριων και ξένων ομίλων.Αντίστοιχες απαιτήσεις διατυπώνει η ΕΕ για να εκταμιευτούν οι δόσεις των Κοινοτικών Ταμείων. Δηλαδή, η αντιλαϊκή πολιτική θα συνεχιστεί και θα ενταθεί, όποια κυβέρνηση κι αν σχηματιστεί. ",criticism,economy,austerity,-0.85,0.5,0,"[['syriza', 'organization', '1.0'], ['brussels', 'location', '0.9'], ['tsipras', 'person', '1.0'], ['parliament', 'location', '0.9'], ['greek', 'country', '0.9'], ['oecd', 'organization', '1.0'], ['eu', 'organization', '1.0'], ['community', 'organization', '0.9']]"
6,"What does this mean? An increase in the monthly instalment of more than 130 euros and an additional charge of 200 euros for mortgages of 100,000 euros. The temporary cap on the interest increase set by the government does not negate the great deterioration of the situation. Already a large proportion of the red loans that had been settled and related to the banks' portfolio are already being reopened. Add to this the unbearable state taxation and a significant portion has effectively become tenants in their own home. At the same time a new round of rent increases is coming, which have already taken off over the last six years. In Attica alone, according to the latest surveys, the increase in rental prices since 2017 has averaged 35%. And while people's incomes are falling, rent prices will rise even more. In addition to inflation and increased demand, the new increase in rents is being driven by the ability of many landlords to make a quick profit from Airbnb-style rentals for apartments. In 4 years, the average price per night for short-term residential rentals has increased by 35%.","Τι σημαίνει αυτό; Αύξηση της μηνιαίας δόσης που θα ξεπερνά τα 130 ευρώ και θα φτάνει τα 200 ευρώ πρόσθετης επιβάρυνσης για στεγαστικά δάνεια 100.000 ευρώ. Το προσωρινό πλαφόν στην αύξηση των τόκων που έθεσε η κυβέρνηση, δεν αναιρεί τη μεγάλη επιδείνωση της κατάστασης. Ήδη ξανακοκκινίζει μεγάλο ποσοστό των κόκκινων δανείων που είχαν ρυθμιστεί και αφορούσε το χαρτοφυλάκιο των Τραπεζών. Αν προσθέσουμε τη δυσβάσταχτη κρατική φορολογία, ένα σημαντικό μέρος έχει μετατραπεί στην πράξη σε ενοικιαστή στο δικό του σπίτι. Ταυτόχρονα έρχεται νέος γύρος αυξήσεων για τα ενοίκια, που ήδη έχουν απογειωθεί την τελευταία εξαετία. Μόνο στην Αττική, σύμφωνα με τις τελευταίες έρευνες, η αύξηση των τιμών των ενοικίων από το 2017 έφτασε κατά μέσο όρο το 35%. Και ενώ το λαϊκό εισόδημα μειώνεται, οι τιμές των ενοικίων θα ανέβουν κι άλλο. Εκτός απ’ τον πληθωρισμό και την αυξημένη ζήτηση, στη νέα αύξηση των ενοικίων ωθεί και η δυνατότητα πολλών ιδιοκτητών να βγάζουν γρήγορο κέρδος απ’ τις μισθώσεις τύπου Airbnb για τα διαμερίσματα. Μέσα σε 4 χρόνια, η μέση τιμή ανά διανυκτέρευση, για τις βραχυχρόνιες μισθώσεις κατοικιών, αυξήθηκε κατά 35%. ",criticism,housing,other,-0.8,0,0,"[['attica', 'location', '0.8'], ['greece', 'country', '0.8'], ['2017', 'date', '0.5'], ['6 years', 'date', '0.4'], ['airbnb', 'organization', '0.6'], ['political party', 'unidentifiable'], ['monthly instalment', 'unidentifiable'], ['130 euros', 'unidentifiable'], ['additional charge', 'unidentifiable'], ['200 euros', 'unidentifiable'], ['government', 'organization', '0.6'], ['red loans', 'unidentifiable'], ['banks', 'organization', '0.4'], ['state taxation', 'unidentifiable'], ['landlords', 'group of people', '0.6'], ['short-term residential rentals', 'unidentifiable.']]"
7,"In particular, on the crime of auctions itself, we are witnessing a recital of hypocrisy and deception by ND, SYRIZA and PASOK. Together they all want to hide the fact that auctions will continue and increase after the elections, no matter which government is formed. Their phony confrontation tries to cover up the fact that they are all complicit in the crime, that they all together shaped and imposed the reactionary framework that puts the noose around the people's necks. So let's see what the truth is and how we got here.
The original law that was supposed to protect the first home during the era of the memoranda was the Katseli law of the PASOK government. The former PASOK minister herself has explained the benefits for the banks of this law. She has stated that it initially preserved the value of the properties in the domestic banks' portfolios, which would have collapsed if all the auctions had proceeded massively and abruptly, and that at the same time the banks secured a large part of the loan repayments.","Ιδιαίτερα, για το ίδιο το έγκλημα των πλειστηριασμών, παρακολουθούμε ένα ρεσιτάλ υποκρισίας και εξαπάτησης από τη ΝΔ, το ΣΥΡΙΖΑ και το ΠΑΣΟΚ. Όλοι μαζί θέλουν να κρύψουν, ότι οι πλειστηριασμοί θα συνεχιστούν και θα αυξηθούν μετά τις εκλογές, όποια κυβέρνηση κι αν σχηματιστεί. Η κάλπικη αντιπαράθεσή τους, προσπαθεί να συγκαλύψει, ότι όλοι είναι συνένοχοι για το έγκλημα, ότι όλοι μαζί διαμόρφωσαν και επέβαλαν το αντιδραστικό πλαίσιο που βάζει τη θηλιά στο λαιμό του λαού. Ας δούμε, λοιπόν, ποια είναι η αλήθεια και πώς φτάσαμε ως εδώ. 
Ο αρχικός νόμος που υποτίθεται προστάτευε την πρώτη κατοικία την εποχή των μνημονίων, ήταν ο νόμος Κατσέλη, της κυβέρνησης του ΠΑΣΟΚ. Η ίδια η πρώην υπουργός του ΠΑΣΟΚ, έχει εξηγήσει τα οφέλη για τις τράπεζες από το συγκεκριμένο νόμο. Έχει δηλώσει ότι έτσι διατηρήθηκε αρχικά η αξία των ακινήτων στο χαρτοφυλάκιο των εγχώριων τραπεζών, η οποία θα είχε καταρρεύσει, αν είχαν προχωρήσει μαζικά και απότομα όλοι οι πλειστηριασμοί και ότι ταυτόχρονα οι τράπεζες διασφάλιζαν μεγάλο μέρος της αποπληρωμής των δανείων. ",criticism,housing,electronic auctions,-0.8,0.7,0,"[['nd', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['katseli', 'person', '0.8'], ['banks', 'organization', '0.8'], ['domestic banks', 'organization', '0.8']]"
8,"SYRIZA criticized at the time the basic provision of the Katseli law, that in order to support the first home, the borrower had to have and sell the rest of his assets. That is why SYRIZA stressed that of the 430,000 ""red"" loans, only 170,000 of the 430,000 ""red"" loans used the provisions of the law through appeals. Then, all parties of the system, SYRIZA, ND and PASOK, voted for the sale of ""red"" loans to funds, in order to ensure the competitiveness and profits of the banks and conglomerates and the interests of the lenders.
In the two years 2015 - 2017, the SYRIZA - ANEL government voted successively for the sale of ""red"" loans to funds, the implementation of electronic auctions and the ""peculiar"" for those who resist the auctions. The 'red' loans that have passed into the ownership of the funds amount to more than €85 billion. While 600,000 properties have been given as collateral as security for these loans. Of these, around 50% are mortgaged houses. On the online platform, since 2019, auctions have been posted on the online platform, averaging more than 25,000 per year. In fact, they soared to over 52,000 in 2022. Of course, not all auctions are completed immediately, the homes transferred are fewer. But the auction tsunami did not start now.","Ο ΣΥΡΙΖΑ ασκούσε τότε κριτική στη βασική πρόβλεψη του νόμου Κατσέλη, ότι για να στηριχτεί η πρώτη κατοικία, έπρεπε ο δανειολήπτης να έχει και να εκποιήσει τα υπόλοιπα περιουσιακά του στοιχεία. Γι’ αυτό, ο ΣΥΡΙΖΑ τόνιζε, ότι από τα 430.000 «κόκκινα» δάνεια, αξιοποίησαν με προσφυγές, τις ρυθμίσεις του νόμου, μόνο τα 170.000. Στη συνέχεια, όλα τα κόμματα του συστήματος, ΣΥΡΙΖΑ, ΝΔ και ΠΑΣΟΚ, ψήφισαν την πώληση «κόκκινων» δανείων στα funds, για να διασφαλιστεί η ανταγωνιστικότητα και τα κέρδη των τραπεζών και των ομίλων και τα συμφέροντα των δανειστών. 
Στη διετία 2015 - 2017, η κυβέρνηση ΣΥΡΙΖΑ – ΑΝΕΛ, ψήφισε διαδοχικά την πώληση των «κόκκινων» δανείων στα funds, τη διενέργεια ηλεκτρονικών πλειστηριασμών και το «ιδιώνυμο» για όσους αντιστέκονται στους πλειστηριασμούς. Τα «κόκκινα» δάνεια που πέρασαν στην κυριότητα των funds, ξεπερνούν τα 85 δισ. ευρώ. Ενώ, 600.000 ακίνητα έχουν δοθεί ως εξασφάλιση, ως εγγύηση γι’ αυτά τα δάνεια. Από αυτά, περίπου το 50% αφορά υποθηκευμένα σπίτια. Στην ηλεκτρονική πλατφόρμα, από το 2019 αναρτώνται πλειστηριασμοί που ξεπερνούν τους 25.000 το χρόνο κατά μέσο όρο. Μάλιστα εκτινάχθηκαν και ξεπέρασαν τις 52.000 το 2022. Φυσικά δεν ολοκληρώνονται αμέσως όλοι οι πλειστηριασμοί, οι κατοικίες που μεταβιβάστηκαν, είναι λιγότερες. Όμως, το «τσουνάμι» των πλειστηριασμών δεν ξεκίνησε τώρα.",criticism,housing,other,-0.7,0.2,0,"[['katseli', 'organization', '0.5'], ['syriza', 'political party', '1.0'], ['nd', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['anel', 'political party', '1.0'], ['€85 billion', 'date', '0.2'], ['2015', 'date', '1.0'], ['2017', 'date', '1.0'], ['2019', 'date', '1.0'], ['2022', 'date', '1.0.']]"
9,"SYRIZA tries to show the problem in the alleged ""non-engagement"" of the creditors rather than seeing the settlement procedures themselves! According to him, everything is the fault of some ""speculators"", excessive profit... Thus, he brings back the reheated soup, that the alleged ""regulated"" profit... of the banks will address this serious problem! He claims that the ""binding nature of the regulations"" and their reasoned rejection by the banks will improve the situation, for the benefit of the workers! Divestment of other assets and maximum squeezing of the over-indebted popular households! At the same time, SYRIZA presents a supposedly ""radical"" and comprehensive housing policy programme, with which it claims it will tackle the problem of people's housing!What does its programme provide for? In fact, it proposes the state subsidy to those big landlords who have vacant, unused buildings and their conversion into housing complexes!In simpler words, it proposes the imprisonment of young and poor people's families in areas where they do not want to live, and at the same time, it proposes state support to the banks and big capital that owns these properties... Which, in order to renovate them, it proposes state-guaranteed rents and tax exemptions. Hey, no Mr. Tsipras! The poor people, the working classes, are not second-class people, as you probably understand them. They do not want to live in the Land Bank, where the wealthy do not live, where the tourist capital does not want to live, where there is no economic interest from business.","Ο ΣΥΡΙΖΑ προσπαθεί να εμφανίσει το πρόβλημα στην τάχα “μη δέσμευση” των πιστωτών απ’ το να δει τις ίδιες τις διαδικασίες των ρυθμίσεων! Κατ’ αυτόν, για όλα φταίνε κάποιοι “κερδοσκόποι”, το υπερβολικό κέρδος… Ξαναφέρνει έτσι, την ξανασταμένη σούπα, πως το τάχα κάποιο “ρυθμισμένο” κέρδος... των τραπεζών, θα αντιμετωπίσει το σοβαρό αυτό πρόβλημα!!! Υποστηρίζει πως η “δεσμευτικότητα -δήθεν- των ρυθμίσεων” και η αιτιολογημένη απόρριψή τους απ’ τις τράπεζες, θα βελτιώσουν την κατάσταση, προς όφελος των εργαζόμενων!Υποστηρίζει δηλαδή, για να εξηγούμαστε, την πιστή εφαρμογή του νόμου που προβλέπει: Εκποιήσεις άλλων περιουσιακών στοιχείων και μέγιστο ξεζούμισμα των υπερχρεωμένων λαϊκών νοικοκυριών! Την ίδια στιγμή, ο ΣΥΡΙΖΑ εμφανίζει ένα τάχα “ριζοσπαστικό” και ολοκληρωμένο πρόγραμμα στεγαστικής πολιτικής, με το οποίο ισχυρίζεται, ότι θα αντιμετωπίσει το πρόβλημα της λαϊκής στέγης!Τι προβλέπει το πρόγραμμα του; Στην πραγματικότητα, προβλέπει την κρατική επιδότηση όσων μεγαλοϊδιοκτητών έχουν κενά, ανεκμετάλλευτα κτήρια και την μετατροπή τους σε οικιστικά συγκροτήματα!Με πιο απλά λόγια, προτείνει τον εγκλωβισμό νέων και φτωχών λαϊκών οικογενειών, σε περιοχές στις οποίες δεν θέλουν να κατοικήσουν και παράλληλα, προτείνει κρατική στήριξη στις τράπεζες και στο μεγάλο κεφάλαιο που έχει στην ιδιοκτησία του αυτά τα ακίνητα… Τα οποία για να τα αναπαλαιώσει, προβλέπει κρατικά εγγυημένα ενοίκια, και φοροαπαλλαγές. Ε, όχι κ. Τσίπρα! Τα φτωχά λαϊκά στρώματα, οι εργαζόμενοι, δεν είναι άνθρωποι δεύτερης κατηγορίας, όπως πιθανά τους καταλαβαίνετε εσείς. Δεν θέλουν να κατοικήσουν στην Τράπεζα Γης, εκεί που δεν κατοικούν οι εύποροι, εκεί που δεν θέλει το τουριστικό κεφάλαιο, εκεί που δεν υπάρχει οικονομικό ενδιαφέρον απ’ τις επιχειρήσεις.",criticism,housing,affordable housing,-0.8,0.6,0.4,"[['syriza', 'organization', '1.0'], ['creditors', 'group of people', '1.0'], ['speculators', 'group of people', '1.0'], ['banks', 'organization', '1.0'], ['workers', 'group of people', '1.0'], ['popular households', 'group of people', '1.0'], ['housing policy programme', 'organization', '1.0'], ['state', 'organization', '1.0'], ['landlords', 'group of people', '1.0'], [""young and poor people's families"", 'group of people', '1.0'], ['mr. tsipras', 'person', '1.0'], ['working classes', 'group of people', '1.0'], ['land bank', 'location', '1.0']]"
10,"Friends, What does all the above prove?That the ""tsunami"" of auctions and losses of family property will continue, after the elections, whatever government is formed. That the people's homes can only be saved by the popular uprising and that is why a strong KKE is needed to organise the popular counter-attack. This state appears incapable of protecting the first home and securing our right to housing. All governments appear incapable of ensuring civil protection so that we stop burning in the summer and drowning in the winter!In fact, the state and its governments are too capable of ensuring the profits of the conglomerates and for the same reason they sacrifice our needs. The present state is hostile to us because it is the state of the dictatorship of capital. And this does not only concern the most obvious aspects, such as the undermining of strikes and the repression of demonstrations. It is about all aspects of our lives.","Φίλες και φίλοι,Τι αποδεικνύουν όλα όσα προαναφέραμε;Ότι το «τσουνάμι» των πλειστηριασμών και των απωλειών οικογενειακής περιουσίας θα συνεχιστεί, μετά τις εκλογές, όποια κυβέρνηση κι αν σχηματιστεί. Ότι τα σπίτια του λαού μπορεί να τα σώσει μόνο ο λαϊκός ξεσηκωμός και γι’ αυτό χρειάζεται ισχυρό ΚΚΕ για την οργάνωση της λαϊκής αντεπίθεσης. Αυτό το κράτος εμφανίζεται ανίκανο να προστατεύσει την πρώτη κατοικία και να διασφαλίσει το δικαίωμά μας στη στέγαση. Όλες οι κυβερνήσεις εμφανίζονται ως ανίκανες να διασφαλίσουν την πολιτική προστασία, ώστε να σταματήσουμε να καιγόμαστε το καλοκαίρι και να πνιγόμαστε το χειμώνα!Στην πραγματικότητα, το κράτος και οι κυβερνήσεις του, είναι πολύ ικανό για να διασφαλίζει τα κέρδη των ομίλων και για τον ίδιο λόγο θυσιάζει τις δικές μας ανάγκες. Το σημερινό κράτος είναι εχθρικό απέναντί μας γιατί είναι το κράτος της δικτατορίας του κεφαλαίου. Και αυτό δεν αφορά μόνο τις πιο φανερές πλευρές, όπως την υπονόμευση των απεργιών και την καταστολή των διαδηλώσεων. Αφορά όλες τις πλευρές της ζωής μας. ",political agenda,housing,privatization of public goods,-0.9,0.1,0.7,"[['kke', 'political party', '1.0'], ['greece', 'country', '1.0']]"
