id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, compañeras and compañeros,This day is not a coincidence, nor is the place where we find ourselves. Today we commemorate the anniversary of the Great Anti-Fascist Victory of the Peoples. The day when the Nazi beast capitulated unconditionally, after the red flag with the hammer and sickle had been stuck in his heart, in the Reichstag building.For today's anniversary, of course, the friends of the New Democracy and Syriza, the German Christian Democrats and Social Democrats who rule in the local state, have banned the red flag and the march ""Holy War"". They probably forget that this flag has never asked for permission to fly in Berlin, which is why the KKE forces, together with their comrades from the Communist Party of Turkey, broke this unacceptable ban again this year and commemorated the anti-fascist victory in the iconic Treptauer Park, where 7,000 Soviet soldiers who fell in the battles of Berlin are buried.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι,Δεν είναι τυχαία η σημερινή μέρα, ούτε το μέρος στο οποίο βρισκόμαστε. Σήμερα τιμάμε την επέτειο της Μεγάλης Αντιφασιστικής Νίκης των Λαών. Τη μέρα που το ναζιστικό κτήνος συνθηκολόγησε άνευ όρων, αφού πρώτα η κόκκινη σημαία με το σφυροδρέπανο είχε καρφωθεί στην καρδιά του, στο κτήριο του Ράιχσταγκ.Για τη σημερινή επέτειο, βέβαια, οι φίλοι της ΝΔ και του ΣΥΡΙΖΑ, οι Γερμανοί Χριστιανοδημοκράτες και Σοσιαλδημοκράτες που κυβερνούν στο τοπικό κρατίδιο, έχουν απαγορεύσει την κόκκινη σημαία και το εμβατήριο «Ιερός Πόλεμος». Ξεχνάνε, μάλλον, ότι η σημαία αυτή, ποτέ δεν ζήτησε άδεια για να κυματίσει στο Βερολίνο!Γι’ αυτό και οι δυνάμεις του ΚΚΕ, μαζί με τους συντρόφους από το ΚΚ Τουρκίας, έσπασαν και φέτος αυτή την απαράδεκτη απαγόρευση και τίμησαν την αντιφασιστική νίκη μέσα στο εμβληματικό Τρέπταουερ Παρκ, εκεί που είναι θαμμένοι 7000 σοβιετικοί στρατιώτες που έπεσαν στις μάχες του Βερολίνου.",criticism,human rights,other,-0.4,0.2,0.0,"[['friends', 'person', '0.7'], ['compañeras', 'group of people', '0.7'], ['compañeros', 'group of people', '0.7'], ['nazi', 'organization', '0.7'], ['reichstag', 'location', '0.7'], ['new democracy', 'political party', '0.7'], ['syriza', 'political party', '0.7'], ['german christian democrats', 'political party', '0.7'], ['social democrats', 'political party', '0.7'], ['kke forces', 'organization', '0.7'], ['communist party of turkey', 'organization', '0.7'], ['treptauer park', 'location', '0.7'], ['soviet', 'country', '0.7'], ['berlin', 'location', '0.7']]"
2,"We commemorate today's anniversary here, in Kallithea of the Resistance, in Kallithea of EAM and ELAS, of the EPONites and the ""Eagle Boys"", who gave their best children to the blockade. Its people, with the communists as always in the front line, fought, gave their blood to get rid of the Nazi occupiers, to breathe free in a more just homeland.It is no coincidence that the monument of the Soviet Soldier is located here. In this heroic city, one of the most characteristic moments was recorded, when Greeks, communists and patriots, fought and died together, side by side with Soviet soldiers. They spilled the same blood, murdered by the fire of the Nazi conquerors and their local collaborators.This statue was vandalized last year by some admirers of the Nazi Azov battalion, a few days before their idols appeared in Parliament to receive the applause of the members of the New Democracy, Syriza and PASOK parties, while Mera25 was running to get out in time to escape the humiliation, after having reverently watched the Azov leader Zelensky.Only the KKE benches were empty, once again saving the honour of our people and putting into practice the slogan ""only them and all of us""!","Εμείς τη σημερινή επέτειο την τιμάμε εδώ, στην Καλλιθέα της Αντίστασης, στην Καλλιθέα του ΕΑΜ και του ΕΛΑΣ, των ΕΠΟΝιτών και των «Αετόπουλων», που έδωσε τα καλύτερα παιδιά της στο Μπλόκο. Που ο λαός της, με τους κομμουνιστές όπως πάντα στην πρώτη γραμμή, πολέμησε, έδωσε το αίμα του για να ξεκουμπιστούν οι ναζί κατακτητές, για να ανασάνει ελεύθερος σε μια πιο δίκαιη πατρίδα.Δεν είναι τυχαίο ότι εδώ βρίσκεται το μνημείο του Σοβιετικού Στρατιώτη. Σε τούτη την ηρωική πόλη, καταγράφηκε μια απ’ τις χαρακτηριστικότερες στιγμές, όπου Έλληνες, κομμουνιστές και πατριώτες, πολέμησαν και σκοτώθηκαν μαζί, δίπλα-δίπλα με Σοβιετικούς στρατιώτες. Έχυσαν το ίδιο αίμα, δολοφονημένοι από τα πυρά των ναζιστών κατακτητών και των ντόπιων συνεργατών τους.Αυτό το άγαλμα βανδάλισαν πέρσι κάποιοι θαυμαστές του ναζιστικού τάγματος Αζόφ, λίγες μέρες πριν τα ινδάλματά τους εμφανιστούν στη Βουλή για να λάβουν τα χειροκροτήματα των βουλευτών της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ, ενώ το Μέρα25 έτρεχε να προλάβει να βγει έξω για να γλιτώσει την ξεφτίλα, αφού πρώτα είχε παρακολουθήσει ευλαβικά τον αρχηγό των Αζόφ, τον Ζελένσκι.Μόνο τα έδρανα του ΚΚΕ ήταν άδεια, σώζοντας για μία ακόμη φορά την τιμή του λαού μας και κάνοντας πράξη το σύνθημα «μόνο τους και όλοι μας»!",criticism,human rights,other,-0.8,0.8,0.5,"[['kallithea', 'location', '1.0'], ['eam', 'organization', '0.5'], ['elas', 'organization', '0.5'], ['eponites', 'group of people', '1.0'], ['eagle boys', 'group of people', '1.0'], ['nazi', 'political party', '1.0'], ['soviet soldier', 'organization', '1.0'], ['greeks', 'group of people', '1.0'], ['communists', 'group of people', '1.0'], ['soviet soldiers', 'group of people', '1.0'], ['nazi azov battalion', 'political party', '1.0'], ['parliament', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['mera25', 'organization', '1.0'], ['azov leader zelensky', 'person', '1.0'], ['kke benches', 'organization', '1.0']]"
3,"Here, of course, is also the illegal printing house of EAM and KKE. The machine, the legendary ""Victoria"", worked day and night manually - so that the informers and the battalion soldiers would not notice them - in the catacomb that stood two metres below the foundations of the house.Here is the castle of Bijaniou Street, where ten EPON henchmen, aged 17-25, held out for five hours against the battalion soldiers who outnumbered them. They managed to kill 50 and wound many more. They even gave up their lives to avoid falling into the hands of the enemy.This is how fascism is crushed! This is what history, both past and present, teaches us. Not by amendments, not by court decisions, not by general and vague ""at the ballot box"". Only with daily, unyielding struggle and in solidarity with those who are committed to fighting its womb, the rotten exploitative system.","Εδώ βρίσκεται, βέβαια, και το παράνομο τυπογραφείο του ΕΑΜ και του ΚΚΕ. Η μηχανή, η θρυλική «Βικτώρια», δούλευε μέρα - νύχτα χειροκίνητα -για να μην τους πάρουν χαμπάρι οι χαφιέδες και οι ταγματασφαλίτες- στην κατακόμβη που βρισκόταν δύο μέτρα κάτω από τα θεμέλια του σπιτιού.Εδώ βρίσκεται το κάστρο της οδού Μπιζανίου, όπου δέκα πρωτοπαλίκαρα της ΕΠΟΝ, 17-25 χρόνων, άντεξαν επί 5 ώρες ενάντια σε ταγματασφαλίτες που είχαν αριθμητική υπεροχή. Κατάφεραν να σκοτώσουν 50 και να τραυματίσουν πολλούς ακόμα. Μέχρι που έδωσαν τέλος στη ζωή τους, για να μην πέσουν στα χέρια του εχθρού.Έτσι συντρίβεται ο φασισμός! Αυτό διδάσκει η ιστορία, τόσο η παλιότερη όσο και η πιο πρόσφατη. Ούτε με τροπολογίες, ούτε με δικαστικές αποφάσεις, ούτε γενικά και αόριστα «στις κάλπες». Μόνο με καθημερινό, ανυποχώρητο αγώνα και με συμπόρευση με αυτούς που είναι ταγμένοι να πολεμούν τη μήτρα του, το σάπιο εκμεταλλευτικό σύστημα.",political agenda,other,other,-0.2,0.0,0.0,"[['eam', 'organization', '1.0'], ['kke', 'organization', '1.0'], ['victoria', 'group of people', '0.5'], ['epon', 'organization', '1.0'], ['17-25', 'date', '0.5'], ['bijaniou street', 'location', '1.0']]"
4,"It is important to remember that fascism is a child - or rather, a genesis - of this system. For we see today various people trying to present such forces as supposedly anti-systemic, while others tell us that Nazism is ""flowing"" to the angry. How anti-systemic is racism, anti-communism, strike-busting, the preying on the weak, the overt serving of interests? What of all this is the system itself, the governments, the EU, not doing? Do they think that we will forget the 140 questions in favour of the shipowners that Golden Dawn asked in the parliament in one year?So, now a very strong KKE so that all these people do not dare to come out of their burrows again!","Έχει σημασία να θυμόμαστε ότι ο φασισμός είναι παιδί -τερατογένεση να πούμε καλύτερα- αυτού του συστήματος. Γιατί βλέπουμε σήμερα διάφορους να προσπαθούν να εμφανίσουν τέτοιες δυνάμεις ως, δήθεν, αντισυστημικές, ενώ άλλοι μας λένε ότι στον ναζισμό «ρέπουν» οι οργισμένοι. Τι άλλο θα ακούσουμε;Πόσο αντισυστημικός είναι, αλήθεια, ο ρατσισμός, ο αντικομμουνισμός, το χτύπημα απεργιών, το κυνηγητό στους αδύναμους, η απροκάλυπτη εξυπηρέτηση συμφερόντων; Τι από όλα αυτά δεν κάνει το ίδιο το σύστημα, οι κυβερνήσεις, η ΕΕ; Νομίζουν ότι θα ξεχάσουμε τις 140 ερωτήσεις υπέρ των εφοπλιστών που έκανε η Χρυσή Αυγή μέσα στη Βουλή μέσα σε έναν χρόνο;Για αυτό, λοιπόν, τώρα πολύ δυνατό ΚΚΕ για να μην τολμήσουν όλοι αυτοί να ξεμυτίσουν ξανά από τα λαγούμια τους!",criticism,other,other,-0.8,0.9,0.5,"[['fascism', 'organization', '0.9'], ['nazism', 'organization', '0.7'], ['golden dawn', 'political party', '0.7'], ['kke', 'political party', '0.8']]"
5,"Friends, compañeras and compañerosWhat has been written on the pages of history in blood cannot be erased with dirty ink. No matter how many millions the EU spends, no matter what the parties of the system do, in our country the unhistorical theory of two extremes, unfortunately for them, remains a minority.And even if some candidates of the New Democracy (ND) are humiliated in the panels, saying that ""the KKE is an anti-democratic party and should not participate in the elections""! Let them go with them to have some coffee...And even if Mr. Tsipras in Sibiu, Romania, signing, together with Merkel, Orban, Kurz and other ""fiddlers"" of the far right, anti-communist declarations with references to the ""iron curtain"", the terminology used by the extraordinary military courts in our country to send communists, fighters, to the detachment.","Φίλες και φίλοι, συντρόφισσες και σύντροφοιΑυτά που έχουν γραφτεί στις σελίδες τις ιστορίας με αίμα, δεν ξεγράφουν με βρώμικο μελάνι. Όσα εκατομμύρια και να ξοδέψει η ΕΕ, ό,τι κι αν κάνουν τα κόμματα του συστήματος, στη χώρα μας η ανιστόρητη θεωρία των δύο άκρων, δυστυχώς για αυτούς, παραμένει μειοψηφική.Κι ας ξεφτιλίζονται ορισμένοι υποψήφιοι της ΝΔ στα πάνελ, λέγοντας ότι «το ΚΚΕ είναι αντιδημοκρατικό κόμμα και δεν θα έπρεπε να συμμετέχει στις εκλογές»!!!.Ζήλεψαν, φαίνεται, τη δόξα κάτι ημίτρελλων γραφικών που κυκλοφορούν τα τελευταία χρόνια. Ας πάνε μαζί τους να πιουν κανέναν καφέ…Κι ας έτρεχε τέτοια μέρα πριν 4 χρόνια ο κ. Τσίπρας στο Σιμπίου της Ρουμανίας να υπογράφει, μαζί με τη Μέρκελ, τον Όρμπαν, τον Κουρτς και άλλα «φυντάνια» της ακροδεξιάς, αντικομμουνιστικές διακηρύξεις με αναφορές στο «σιδηρούν παραπέτασμα», την ορολογία, δηλαδή, που χρησιμοποιούσαν τα έκτακτα στρατοδικεία στη χώρα μας για να στέλνουν στο απόσπασμα κομμουνιστές, αγωνιστές.",criticism,democracy,other,-0.8,0.95,0.2,"[['friends', 'group of people', '1.0'], ['compañeras', 'group of people', '1.0'], ['compañeros', 'group of people', '1.0'], ['eu', 'organization', '1.0'], ['new democracy (nd)', 'political party', '1.0'], ['kke', 'political party', '1.0'], ['mr. tsipras', 'person', '1.0'], ['merkel', 'person', '1.0'], ['orban', 'person', '1.0'], ['kurz', 'person', '1.0'], ['iron curtain', 'date', '1.0']]"
6,"And let some MPs of Mera25 in parliament tell us that socialism was ""slightly fascist"", that's why capitalism is the best system that has ever been tried!!!!Leftists, progressive people, all democrats in this country, know very well that anti-Sovietism, anti-communism, have nothing to do with progress, just as what Mr. Tsipras said a few days ago in Menidi about the Pontians in the Soviet Union has nothing to do with the truth. Is he ignoring the truth that, together with the Soviet people, the majority of Greeks of Pontian origin contributed to the building of socialism?Let us inform him that there, in the USSR, the Pontians, like all the people, received important resources to distinguish themselves and excel, while today, in their country of origin, they find devaluation, unemployment and insecurity.The Pontians, who came to Greece after the Asia Minor Catastrophe, settled in miserable conditions and survived in poverty and destitution. This was the care of the bourgeois state. But they also experienced the solidarity of the communists, with whom they struggled to survive and claim to live humanely. Then they joined en masse in the ranks of the EAM and the KKE, making a decisive contribution to the popular liberation struggle.","Κι ας μας λένε κάποιοι βουλευτές του Μέρα25 στη βουλή, ότι ο σοσιαλισμός ήταν «ολίγον φασιστικός», γι’ αυτό ο καπιταλισμός είναι το καλύτερο σύστημα που έχει δοκιμαστεί!!!Οι αριστεροί, οι προοδευτικοί άνθρωποι, όλοι οι δημοκράτες σε αυτή τη χώρα, ξέρουν πολύ καλά, ότι ο αντισοβιετισμός, ο αντικομμουνισμός, δεν έχουν καμία σχέση με την πρόοδο.Όπως καμία σχέση με την αλήθεια δεν έχουν αυτά που είπε ο κ. Τσίπρας πριν μερικές μέρες στο Μενίδι σχετικά με τους Πόντιους στη Σοβιετική Ένωση. Αγνοεί άραγε την αλήθεια, ότι μαζί με το σοβιετικό λαό, η πλειοψηφία των Ελλήνων ποντιακής καταγωγής συνέβαλαν στην οικοδόμηση του σοσιαλισμού;Ας τον ενημερώσουμε, λοιπόν, ότι εκεί, στην ΕΣΣΔ οι Πόντιοι πήραν, όπως όλος ο λαός σημαντικά εφόδια, ώστε να ξεχωρίσουν και να διαπρέψουν, ενώ σήμερα, στη χώρα καταγωγής τους, βρίσκουν απαξίωση, ανεργία, ανασφάλεια.Οι Πόντιοι, που ήρθαν μετά την Μικρασιατική Καταστροφή στην Ελλάδα, εγκαταστάθηκαν σε άθλιες συνθήκες, επιβίωσαν με φτώχεια και ανέχεια. Αυτή ήταν η φροντίδα του κράτους των αστών. Όμως γνώρισαν και την αλληλεγγύη των κομμουνιστών, μαζί τους αγωνίστηκαν για να επιβιώσουν και να διεκδικήσουν να ζήσουν ανθρώπινα. Στη συνέχεια, εντάχθηκαν μαζικά στις γραμμές του ΕΑΜ και του ΚΚΕ, συμβάλλοντας αποφασιστικά στη λαϊκή απελευθερωτική πάλη.",criticism,democracy,other,-0.8,0.5,0.2,"[['mera25', 'political party', '1.0'], ['mr. tsipras', 'person', '1.0'], ['pontians', 'group of people', '1.0'], ['soviet union', 'country', '1.0'], ['ussr', 'country', '1.0'], ['greece', 'country', '1.0'], ['asia minor catastrophe', 'date', '1.0'], ['eam', 'organization', '1.0'], ['kke', 'organization', '1.0']]"
7,"We have understood, of course, that Tsipras is not doing very well with history anyway. Now he has remembered again, as he does every time we have elections, to dig up the slogan ""what a Plastira, what a Papagos"", in order to mock the KKE. We inform him and his ilk that this slogan is historically justified.If he wants to know why, let him visit the school ""Belogiannis"", here in Kallithea, where the prison from which 71 years ago the Plastira government and its friends, the ""devilishly good"" of Mr. Tsipras, the Americans, took Nikos Belogiannis and his comrades and led them to the firing squad.And let them stop saying that Plastira and some of his ministers tried but failed to save Belogiannis! Even so, it makes their responsibility for the heinous crime more serious...Let alone that with some far-right associations that Mr. Tsipras has lately and there in Menidi or even before that in Kastoria, it is up for discussion whether he feels more like a political descendant of Plastira or Papagos...So let him stop scratching on the goo of the shepherd...","Το έχουμε καταλάβει, βέβαια, ότι, έτσι κι αλλιώς, ο Τσίπρας δεν τα πάει και πολύ καλά με την ιστορία. Τώρα θυμήθηκε πάλι, όπως κάνει κάθε φορά που έχουμε εκλογές, να ξεθάψει το σύνθημα «τι Πλαστήρας, τι Παπάγος», για να ειρωνευτεί το ΚΚΕ. Τον ενημερώνουμε κι αυτόν και τους ομοίους του, ότι το συγκεκριμένο σύνθημα είναι ιστορικά δικαιωμένο.Αν θέλει να μάθει το γιατί, ας επισκεφτεί το σχολείο «Μπελογιάννης», εδώ στην Καλλιθέα, όπου στεγάζονται οι φυλακές από τις οποίες πριν 71 χρόνια η κυβέρνηση Πλαστήρα και οι φίλοι, οι «διαβολικά καλοί» του κ. Τσίπρα οι Αμερικάνοι, πήραν τον Νίκο Μπελογιάννη και τους συντρόφους του και τους οδήγησαν στο εκτελεστικό απόσπασμα.Κι ας αφήσουν τα διάφορα, ότι ο Πλαστήρας και κάποιοι υπουργοί του προσπάθησαν αλλά δεν τα κατάφεραν να σώσουν τον Μπελογιάννη! Ακόμα κι έτσι να’ ναι, κάνει πιο βαριά την ευθύνη τους για το αποτρόπαιο έγκλημα…Αφήστε που με κάποιες ακροδεξιές συναναστροφές που έχει τελευταία ο κ. Τσίπρας κι εκεί στο Μενίδι ή και πιο πριν στην Καστοριά, είναι για συζήτηση, αν αισθάνεται περισσότερο πολιτικός απόγονος του Πλαστήρα ή του Παπάγου...Ας πάψει λοιπόν να ξύνεται στη γκλίτσα του τσοπάνη…",criticism,elections,other,-0.6,0.6,0.0,"[['tsipras', 'person', '0.8'], ['kke', 'political party', '0.8'], ['belogiannis', 'person', '0.8'], ['plastira', 'person', '0.6'], ['americans', 'group of people', '0.6'], ['menidi', 'location', '0.5'], ['kastoria', 'location', '0.5'], ['belogiannis school', 'organization', '0.4'], ['kallithea', 'location', '0.4'], ['plastira government', 'organization', '0.4'], ['firing squad', 'group of people', '0.2] (not a named entity', 'but mentioned in the text)'], ['71 years ago', 'date', '0.2']]"
8,"However, apart from SYRIZA, the government of the New Democracy and PASOK also remember the returning citizens during the election campaign. They show a late interest in their acute problems, such as the one of housing loans, which have led to the suffocation of thousands of such families here in Kallithea... It is nothing but a deception for the sake of vote harvesting.If they really had the will to provide relief, then they would not have rejected the amendment tabled by the KKE on housing loans for returnees some time ago, last December! The KKE had proposed:the cancellation of all interest and the amounts corresponding to compounding and capitalisation of all forms of interest, a 50% reduction of the debts remaining after the interest has been cancelled, and the servicing of the amount remaining on terms that a popular family can afford. Therefore, therefore, these parties must pay for their deception and mockery, but also for their responsibility for the situation to which all these families have been led...","Εκτός, όμως, από τον ΣΥΡΙΖΑ, τους παλιννοστούντες θυμούνται προεκλογικά και η κυβέρνηση της ΝΔ και το ΠΑΣΟΚ. Δείχνουν όψιμο ενδιαφέρον για τα οξυμένα προβλήματά τους, όπως για παράδειγμα αυτό των στεγαστικών δανείων, που έχουν οδηγήσει σε ασφυξία χιλιάδες τέτοιες οικογένειες και εδώ στην Καλλιθέα… Δεν είναι παρά μία εξαπάτηση για την υφαρπαγή ψήφων.Αν πράγματι είχαν την βούληση να δώσουν ανάσες ανακούφισης, τότε δεν θα απέρριπταν λίγο καιρό πριν, τον περασμένο Δεκέμβριο, την τροπολογία που κατάθεσε το ΚΚΕ για τα στεγαστικά δάνεια των παλιννοστούντων! Το ΚΚΕ είχε προτείνει:τη διαγραφή όλων των τόκων και των ποσών που αντιστοιχούν σε ανατοκισμό και κεφαλαιοποίηση κάθε μορφής τόκων, τη μείωση κατά 50% των οφειλών που παραμένουν μετά τις διαγραφές των τόκων, και την εξυπηρέτηση του ποσού που απομένει με όρους που μπορεί να αντέξει μια λαϊκή οικογένεια. Γι’ αυτό λοιπόν, πρέπει να πληρώσουν τα κόμματα αυτά την εξαπάτηση και τον εμπαιγμό, αλλά και τις ευθύνες που έχουν για την κατάσταση που έχουν οδηγηθεί όλες αυτές οι οικογένειες...",criticism,housing,other,-0.5,0.2,0.2,[]
9,"Friends, compañeras and compañeros, Few days left! Next Sunday, our people will measure their strength, the strength with which they will stand up to the next unpopular government.And we say to them today, here in Kallithea, that they can surprise and strengthen the KKE as much as possible!Yes, they can surprise! With a strong KKE he will find himself stronger, more prepared against the attack that will follow when the election lights go out. When the parties that have ruled and brought us to this point share the ministerial chairs and get back to their usual work.Then their entire government programme will come out of the drawers... Because so far we have only seen the cover page, let alone the titles of the contents.  ","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, Λίγες μέρες έμειναν! Την άλλη Κυριακή, ο λαός μας θα μετρήσει το ανάστημά του, τη δύναμη με την οποία θα βρεθεί απέναντι στην επόμενη αντιλαϊκή κυβέρνηση.Και εμείς του λέμε σήμερα και από εδώ, από την Καλλιθέα, ότι μπορεί να κάνει την έκπληξη και να ενισχύσει όσο γίνεται περισσότερο το ΚΚΕ!Ναι, μπορεί να κάνει την έκπληξη! Με ΚΚΕ δυνατό θα βρεθεί ο ίδιος πιο δυνατός, πιο προετοιμασμένος απέναντι στην επίθεση που θα ακολουθήσει όταν σβήσουν τα προεκλογικά φώτα. Όταν τα κόμματα που έχουν κυβερνήσει και μας έχουν φέρει ως εδώ, μοιράσουν τις υπουργικές καρέκλες και πιάσουν πάλι τη γνωστή τους δουλειά.Τότε απ’ τα συρτάρια θα βγει ολόκληρο το κυβερνητικό πρόγραμμά τους… Γιατί μέχρι τώρα έχουμε δει μόνο το εξώφυλλο, άντε και τους τίτλους των περιεχομένων.  ",political agenda,elections,election spending,0.2,0.2,0.2,"[['kke', 'organization', '1.0'], ['kallithea', 'location', '1.0'], ['greek government', 'organization', '0.5'], ['election day', 'date', '1.0']]"
10,"However, this government programme from its first pages includes over 350 unpopular preconditions until 2026 for the EU Recovery Fund, the super-memorandum of ND, SYRIZA and PASOK. What Varoufakis called ""a chance to do something good in the EU"".So you can see what is coming... All the more so as there are growing signs that a new capitalist crisis is on the horizon internationally. And you know who pays the price every time this happens. We saw it in 2010 with the huge unemployment, the wage and pension cuts, the memoranda... We saw it again in 2020 with the work stoppages, with the inflation brought about by the expansionist approach of governments to that crisis...","Όμως, αυτό το κυβερνητικό πρόγραμμα από τις πρώτες σελίδες, περιλαμβάνει πάνω από 350 αντιλαϊκά προαπαιτούμενα μέχρι το 2026 για το Ταμείο Ανάκαμψης της ΕΕ, το υπερμνημόνιο της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ. Αυτό που ο κ. Βαρουφάκης χαρακτήρισε «ευκαιρία να γίνει κάτι καλό στην ΕΕ».Καταλαβαίνετε, λοιπόν, τι έρχεται… Πόσο μάλλον που πληθαίνουν οι ενδείξεις ότι μια νέα καπιταλιστική κρίση βρίσκεται προ των πυλών διεθνώς. Και ξέρετε ποιοι την πληρώνουν κάθε φορά που συμβαίνει αυτό. Το ζήσαμε το 2010 με την τεράστια ανεργία, τις μειώσεις μισθών και συντάξεων, τα μνημόνια… Tο ζήσαμε και το 2020 με τις αναστολές εργασίας, με τον πληθωρισμό που έφερε, η επεκτατική αντιμετώπιση εκείνης της κρίσης από τις κυβερνήσεις… ",criticism,economy,other,-0.6,0.2,0.0,"[['varoufakis', 'person', '0.6'], ['nd', 'organization', '0.6'], ['syriza', 'political party', '0.6'], ['pasok', 'political party', '0.6'], ['eu recovery fund', 'organization', '0.6'], ['2010', 'date', '0.8'], ['2020', 'date', '0.8']]"
