id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, compañeras and compañeros. I am very, very happy to be here once again. Here in my place in Lamia, the capital of Fthiotida. From here from Sterea from Roumeli we carry to every corner of Greece the call to support the KKE in the elections. So that our people will be stronger the next day. Yes, we can do it, we can be proud on election night. That can only happen in one way, with the decisive support of the KKE.","Φίλες και φίλοι συντρόφισσες και σύντροφοι. Είμαι πάρα πολύ χαρούμενος που βρίσκομαι για μια ακόμα φορά. Εδώ στον τόπο μου στην πρωτεύουσα της Φθιώτιδας στη Λαμία. Από δω από τη Στερεά από τη Ρούμελη μεταφέρουμε σε κάθε γωνιά της Ελλάδας το κάλεσμα για την ενίσχυση του ΚΚΕ στις εκλογές. Για να ναι πιο δυνατός ο λαός μας την επόμενη μέρα. Ναι, μπορούμε να τα καταφέρουμε, να νιώθουμε περήφανοι το βράδυ των εκλογών. Γι αυτό μόνο με ένα τρόπο μπορεί να συμβεί με την αποφασιστική ενίσχυση του ΚΚΕ. ",political agenda,elections,election spending,0.7,0.2,0.1,"[['lamia', 'location', '0.9'], ['fthiotida', 'location', '0.9'], ['sterea', 'location', '0.7'], ['roumeli', 'location', '0.7'], ['greece', 'country', '0.9'], ['kke', 'organization', '0.9']]"
2,"It is true that here in Fthiotida we have met again and again with the mass organizations of the people of the prefecture, of Fthiotida, with the unions of the workers of LARKO, the self-employed professionals, with the associations of farmers, with the health workers, with the committees of the flood victims. We listened and made their problems, their demands and their claims known throughout the country. We committed ourselves to fight with all our strength for them both in and out of Parliament and in the next Parliament. For example, we discussed with the representatives of the professionals of Lamia, of the very small businesses in the city, the problems they face, the effects of the price of energy and raw materials, and the debts that are piling up again. But also about the situation faced by a small business when its main provider, the people's family, is called upon day after day to cut back even on the basics in order to make ends meet.","Είναι αλήθεια πώς εδώ στη Φθιώτιδα βρεθήκαμε ξανά και ξανά με τους μαζικούς φορείς του νομού του λαού, της Φθιώτιδας, με τα σωματεία, των εργαζομένων της ΛΑΡΚΟ, τους αυτοαπασχολούμενους επαγγελματίες, με τους συλλόγους των αγροτών, με τους υγειονομικούς, με τις επιτροπές των πλημμυροπαθών. Ακούσαμε και κάναμε γνωστά σε όλη τη χώρα, τα προβλήματά τους, τα αιτήματα και τις διεκδικήσεις τους. Δεσμευτήκαμε να παλέψουμε με όλες μας τις δυνάμεις για αυτά και μέσα και έξω από τη Βουλή και από την επόμενη Βουλή. Συζητήσαμε για παράδειγμα με τους αντιπροσώπους των επαγγελματιών της Λαμίας, των πολύ μικρών επιχειρήσεων της πόλης για τα προβλήματα που αντιμετωπίζουν, για τις επιπτώσεις της ακρίβειας στην ενέργεια, στις πρώτες ύλες, για τα χρέη που συσσωρεύονται ξανά. Αλλά και για την κατάσταση που αντιμετωπίζει μια μικρή επιχείρηση, όταν ο βασικός τροφοδότης της, η λαϊκή οικογένεια, καλείται μέρα με τη μέρα να κόψει ακόμα και απο τα βασικά για να τα βγάλει πέρα. ",political agenda,economy,energy crisis,0,0,0,"[['fthiotida', 'location', '1.0'], ['people of the prefecture', 'group of people', '1.0'], ['fthiotida', 'location', '1.0'], ['workers of larko', 'group of people', '1.0'], ['self-employed professionals', 'group of people', '1.0'], ['associations of farmers', 'organization', '1.0'], ['health workers', 'group of people', '1.0'], ['committees of the flood victims', 'organization', '1.0'], ['parliament', 'organization', '1.0'], ['representatives of the professionals of lamia', 'group of people', '1.0'], ['lamia', 'location', '1.0'], ['small businesses in the city', 'organization', '1.0'], ['price of energy', 'date', '1.0'], ['raw materials', 'date', '1.0'], ['debts', 'date', '1.0']]"
3,"We informed them about the recent initiatives we took in Parliament, the submission of a series of amendments on the abolition of VAT on consumer goods, the abolition of the single consumption tax and VAT on energy, the reimbursement of the thirteenth and fourteenth pensions, but also on the freezing of freelancers' social security contributions for 2023, proposals that are immediate and realistic, but which the government of the New Democracy has refused to implement, as well as the opposition parties, SYRIZA, PASOK, who literally swallowed their tongue in the Parliament, we are not surprised that their attitude was the same throughout the previous period in the submission of a corresponding proposal for the reintegration of SMEs in the tax-free and the cancellation of debts to the tax authorities and banks, which were rejected by both the government of New Democracy and the government of SYRIZA before it. These are the champions of entrepreneurship. Of competitiveness, regardless of ideological colourings and individual differences. Much to the few and little to the many who are being asked to pay once again the marble of this capitalist development for it. And solidarity with the KKE for the great popular majority of professionals is now more imperative than ever.","Τους ενημερώσαμε για τις πρόσφατες πρωτοβουλίες που πήραμε στη Βουλή, την κατάθεση μιας σειράς τροπολογιών για την κατάργηση του ΦΠΑ στα είδη πλατιάς λαϊκής κατανάλωσης, την κατάργηση του ενιαίου φόρου κατανάλωσης και του ΦΠΑ στην ενέργεια, την απόδοση της δέκατης τρίτης και δέκατης τέταρτης σύνταξης, αλλά και για το πάγωμα των ασφαλιστικών εισφορών των ελευθέρων επαγγελματιών για το 2023, προτάσεις καθόλα άμεσες, ρεαλιστικές που όμως τόσο η κυβέρνηση της Νέας Δημοκρατίας αρνήθηκε να τις υλοποιήσει, όσο και τα κόμματα της αντιπολίτευσης, ο ΣΥΡΙΖΑ, το ΠΑΣΟΚ που στην κυριολεξία κατάπιαν τη γλώσσα τους μέσα στη Βουλή δεν μας εκπλήσσουν ίδια ήταν η στάση τους και όλο το προηγούμενο διάστημα στην κατάθεση αντίστοιχης πρότασης νόμου για την επανένταξη των ΕΒΕ στο αφορολόγητο και τη διαγραφή χρεών προς την εφορία και τις τράπεζες που απέρριψαν, τόσο η κυβέρνηση της Νέας Δημοκρατίας όσο και η κυβέρνηση του ΣΥΡΙΖΑ πριν από αυτή. Αυτοί είναι οι θιασώτες της επιχειρηματικότητας. Της ανταγωνιστικότητας, ανεξαρτήτως ιδεολογικών χρωματισμών και επιμέρους διαφορών. Πολλά στους λίγους και λίγα στους πολλούς που καλούνται να πληρώσουν για μια ακόμα φορά το μάρμαρο αυτής της καπιταλιστικής ανάπτυξης γι αυτό. Και η συμπόρευση με το ΚΚΕ για τη μεγάλη λαϊκή πλειοψηφία των επαγγελματιών είναι σήμερα επιβεβλημένη περισσότερο από ποτέ. ",criticism,economy,tax cuts,,0.6,0.2,"[['parliament', 'location', '1.0'], ['vat', 'organization', '1.0'], ['consumer goods', 'organization', '0.9'], ['single consumption tax', 'organization', '0.9'], ['vat', 'organization', '0.9'], ['energy', 'organization', '0.9'], ['thirteenth pensions', 'date', '1.0'], ['fourteenth pensions', 'date', '1.0'], ['new democracy', 'political party', '1.0'], [""freelancers'"", 'group of people', '0.9'], ['2023', 'date', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['smes', 'organization', '0.9'], ['tax authorities', 'organization', '0.9'], ['banks', 'organization', '0.9'], ['kke', 'political party', '1.0']]"
4,"We also presented here in Fthiotida our proposals for the exploitation of the wealth of our region, such as the thermal springs in Kamena Vourla, elsewhere for the benefit of the people of Fthiotida. In the villages of the prefecture in Omvriaki, in other villages of Domokos we found ourselves on a tour of the typical start of this election period. From here in Lamia, together with our own people, we are entering the final stretch today. Into the last week of this great battle. Can we say it? No one else has shown the interest that the Communist, Greece has shown for Fthiotida and its people in this, especially in this election period. This interest is symbolized by my candidacy as head of the KKE's ballot paper in our prefecture. Today we can repeat with much greater certainty what we said several months ago that the KKE is entitled to be significantly strengthened, to have one of the four deputies in the prefecture of Fthiotida. In order to continue the struggle together for the good of our country, our homeland, with greater, more forces and all the messages say that this will happen in Fthiotida and throughout the country.","Παρουσιάσαμε επίσης εδώ στη Φθιώτιδα τις προτάσεις μας για την αξιοποίηση του πλούτου που έχει η περιοχή μας, όπως είναι οι ιαματικές πηγές στα Καμένα Βούρλα, αλλού προς όφελος του λαού της Φθιώτιδας. Στα χωριά του νομού στην Ομβριακή, σε άλλα χωριά του Δομοκού μας βρει μας βρήκε σε περιοδεία η τυπική έναρξη αυτής της προεκλογικής περιόδου. Από δω από τη Λαμία μαζί με το δικό μας κόσμο μπαίνουμε σήμερα στην τελική ευθεία. Στην τελευταία εβδομάδα αυτής της μεγάλης μάχης. Μπορούμε να το πούμε; Κανένα άλλο, δεν έδειξε το ενδιαφέρον που έδειξε το Κομμουνιστικό, Ελλάδας για τη Φθιώτιδα και τον λαό της σε αυτή, ειδικά την προεκλογική περίοδο. Αυτό το ενδιαφέρον μας συμβολίζει και η δική μου υποψηφιότητα ως επικεφαλής του ψηφοδελτίου του ΚΚΕ στο νομό μας. Μπορούμε σήμερα να επαναλάβουμε με πολύ μεγαλύτερη σιγουριά αυτό που είπαμε πριν αρκετούς μήνες ότι το ΚΚΕ δικαιούται να ενισχυθεί σημαντικά, να έχει τον έναν από τους 4 βουλευτές στο νομό Φθιώτιδας. Για να συνεχίσουμε μαζί όλοι τον αγώνα για το καλό του τόπου μας, της πατρίδας μας, με μεγαλύτερες, περισσότερες δυνάμεις και όλα τα μηνύματα λένε ότι αυτό θα συμβεί και στη Φθιώτιδα και σε όλη τη χώρα.",political agenda,elections,other,0.6,0,0,"[['fthiotida', 'location', '1.0'], ['kamena vourla', 'location', '0.8'], ['omvriaki', 'location', '0.6'], ['domokos', 'location', '0.6'], ['lamia', 'location', '0.8'], ['greece', 'country', '0.7'], ['kke', 'organization', '1.0'], ['fthiotida', 'location', '1.0] (repeated)'], ['communist', 'political party', '0.8']]"
5,"Because our people have now accumulated enough experience to be able to discern what their real interests are. Who is with them and who is against them. Who will do after the election what they say during the election. Who will be at his side when the lights go out and the various illusory, costed and costed programmes of the parties that have ruled so far and brought us to the present unacceptable situation. Who has a programme and a proposal for the radical changes we need in order for us and our children to live as we deserve and can in the twenty-first century.
This can be seen even in their own polls and I am not talking so much about the rise of the KKE in the voting intention that all of them are now observing. There are other interesting findings, for example that the KKE is the most credible, or that it is garnering the overwhelmingly most positive votes of any party on this issue. Simply put, those who are considering voting for the Communist Party of Greece consider it the best choice for the people and the country, while those who are considering voting for the other parties do so half-heartedly with the familiar tried-and-true and completely failed logic of supposedly some lesser evil. But we must end with the lesser and greater evil is enough with New Democracy, Syriza, PASOK and all the evils of their fate. Let's choose the greater good this time. Let us go to the ballot box en masse, decisively with the KKE ballot paper.","Γιατί ο λαός μας έχει συσσωρεύσει πλέον αρκετή πείρα για να μπορεί να διακρίνει ποιο είναι το πραγματικό του συμφέρον. Ποιος είναι μαζί του και ποιοι είναι απέναντι. Ποιος θα κάνει και μετεκλογικά αυτά που λέει προεκλογικά. Ποιος θα βρεθεί στο πλάι του όταν σβήσουν τα φώτα και κλειστούν στα συρτάρια τα διάφορα ιλουστρασιόν, κοστολογημένα ια κοστολογεί τα προγράμματα των κομμάτων που κυβέρνησαν ως τώρα και μας έφεραν στη σημερινή απαράδεκτη κατάσταση. Ποιος έχει πρόγραμμα και πρόταση για τις ριζικές αλλαγές που έχουμε ανάγκη για να ζήσουμε εμείς και τα παιδιά μας όπως μας αξίζει και μπορούμε τον εικοστό πρώτο αιώνα. Αυτό φαίνεται ακόμα και από τις δικές τους δημοσκοπήσεις και δεν μιλάω τόσο για την άνοδο του ΚΚΕ στην πρόθεση ψήφου που παρατηρούν πλέον τώρα όλοι τους. Υπάρχουν και άλλα ενδιαφέροντα ευρήματα, όπως για παράδειγμα ότι το ΚΚΕ είναι το πιο αξιόπιστο, ή ότι συγκεντρώνει τις συντριπτικά περισσότερες θετικές ψήφους από άλλα από όλα τα κόμματα σε αυτό το ζήτημα. Με απλά λόγια, αυτός που σκέφτεται να ψηφίσει το Κομμουνιστικό Κόμμα Ελλάδας το θεωρεί την καλύτερη επιλογή για το λαό και τη χώρα, ενώ όσοι σκέφτονται να ψηφίσουν τα άλλα κόμματα το κάνουν με μισή καρδιά με τη γνωστή δοκιμασμένη και πλήρως αποτυχημένη λογική του δήθεν κάποιου μικρότερου κακού. Πρέπει να τελειώνουμε όμως με το μικρότερο και το μεγαλύτερο κακό φτάνει πια με τη Νέα δημοκρατία, τον ΣΥΡΙΖΑ, το ΠΑΣΟΚ και όλα τα κακά της μοίρας τους. Ας επιλέξουμε αυτή τη φορά το μεγαλύτερο καλό. Ας πάμε στην κάλπη μαζικά, αποφασιστικά με το ψηφοδέλτιο του ΚΚΕ. ",political agenda,elections,other,-0.3,0.8,0.2,"[['kke', 'organization', '1.0'], ['communist party of greece', 'organization', '0.75'], ['new democracy', 'political party', '0.5'], ['syriza', 'political party', '0.5'], ['pasok', 'political party', '0.5'], ['greece', 'country', '1.0'], ['twenty-first century', 'date', '1.0']]"
6,"Friends, compañeras and comrades, we believe that behind the pre-election cockfights of the parties that claim the first or even the second role in tomorrow's anti-people's government, what the KKE says has emerged more clearly in recent weeks is that the other parties share a common programme on the basic, major issues that will determine our lives after May 21 and for the years to come. This is increasingly being admitted by their own cadres who say that their differences are not as great as they are presented. We have now lost count of the relevant statements that leave open even the possibility of a New Democracy SYRIZA coalition government if that is required, have no doubt that these statements are not made in the absence of their leaders. Political massage and preparing the ground is called this for later and if these are said during the election, imagine what has to be done post-election. The foreign embassies, the various investment houses, the governor of the Bank of Greece himself admit it, all of them with one voice say that they are not worried about exactly what the composition of the next government will be, since whoever they say will do the job.","Φίλες και φίλοι συντρόφισσες και σύντροφοι, πιστεύουμε ότι πίσω από τις προεκλογικές κοκορομαχίες των κομμάτων που διεκδικούν τον πρώτο ή ακόμα και το δεύτερο ρόλο στην αυριανή αντιλαϊκή κυβέρνηση, αναδείχθηκε πιο καθαρά τις τελευταίες εβδομάδες αυτό που λέει το ΚΚΕ ότι τα άλλα κόμματα μοιράζονται κοινό πρόγραμμα στα βασικά, στα μεγάλα ζητήματα που θα καθορίσουν τις ζωές μας μετά την 21 Μαϊου και για τα επόμενα χρόνια. Το ομολογούν όλο και πιο συχνά τα ίδια τους τα στελέχη που λένε ότι οι διαφορές τους δεν είναι και τόσο μεγάλες όσο παρουσιάζονται. Χάσαμε πλέον το λογαριασμό από τις σχετικές δηλώσεις που αφήνουν ανοιχτό ακόμα και το ενδεχόμενο συγκυβέρνησης Νέας δημοκρατίας ΣΥΡΙΖΑ αν αυτό απαιτηθεί, μην έχετε καμιά αμφιβολία ότι αυτές οι δηλώσεις δεν γίνονται ερήμην των στελεχών τους των ηγεσιών τους. Πολιτικό μασάζ και προετοιμασία του εδάφους λέγεται αυτό για αργότερα και αν αυτά λέγονται προεκλογικά, φανταστείτε τι έχει να γίνει μετεκλογικά. Το ομολογούν οι ξένες πρεσβείες, οι διάφοροι επενδυτικοί οίκοι, ο ίδιος ο διοικητής της Τράπεζας της Ελλάδας, όλοι αυτοί με μια φωνή λένε ότι δεν ανησυχούν για το ποια ακριβώς θα είναι η σύνθεση της επόμενης κυβέρνησης, αφού όποιος και νάναι λένε τη δουλειά τους θα την κάνει. ",political agenda,elections,other,-0.7,0.5,0,"[['kke', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0'], ['foreign embassies', 'group of people', '0.8'], ['investment houses', 'organization', '0.9'], ['governor of the bank of greece', 'person', '1.0']]"
7,"As the radical revealed, of the unpopular preconditions of the European Union's Recovery Fund, in which the New Democracy and SYRIZA and PASOK and Mera 25 drink water, the government of the New Democracy has legislated over 200 such preconditions, while another 350 must be legislated by 2025 and these will be legislated. Whichever one of them is in government.","Όπως αποκάλυψε ο ριζοσπάστης από τα αντιλαϊκά προαπαιτούμενα του Ταμείου Ανάκαμψης της Ευρωπαϊκής Ένωσης, στο οποίο πίνουν νερό και οι Νέα δημοκρατία και ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ και το Μέρα 25, η κυβέρνηση της Νέας Δημοκρατίας νομοθέτησε πάνω από τα 200 τέτοια προαπαιτούμενα, ενώ μέχρι το 2025 πρέπει να νομοθετηθούν άλλα 350 και αυτά θα νομοθετηθούν. Όποιος από αυτούς και αν βρίσκεται στη διακυβέρνηση. ",criticism,economy,european recovery fund,0,0.1,0,"[['european union', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['mera 25', 'political party', '1.0'], ['government of the new democracy', 'group of people', '1.0'], ['2025', 'date', '1.0.']]"
8,"We are already seeing the results of this policy. 10.4 billion euros were in 2022 the net profits of only 150 business groups of those listed on the stock exchange, an increase of 303% compared to the previous year. But in the same period, real wages fell by 7.4%, according to the OECD, while the anti-labour laws that they have all passed over the last 15 years remain in force. And inflation, especially in food, continues to eat away at people's incomes. The OECD figures are wrong, Mr Mitsotakis told Mr Portosalte on SKAI the day before yesterday, and now he does not like the OECD, which Mr Mitsotakis advertises to us every now and then, the OECD's toolboxes, and soon he will tell us to disengage ourselves, as if the people's families were waiting for the OECD to tell them that they are entering the supermarket and their hearts are breaking.","Τα αποτελέσματα αυτής της πολιτικής τα βλέπουμε ήδη. 10,4 δισεκατομμύρια ευρώ ήταν το 2022 τα καθαρά κέρδη μόνο 150 επιχειρηματικών ομίλων αυτών που είναι εισηγμένοι, δηλαδή στο χρηματιστήριο, σημειώνοντας αύξηση 303% σε σχέση με την προηγούμενη χρονιά. Την ίδια περίοδο όμως ο πραγματικός μισθός μειώθηκε κατά 7,4%, σύμφωνα με τον ΟΟΣΑ, ενώ παραμένουν σε ισχύ οι αντεργατικοί νόμοι που έχουν ψηφίσει όλοι τους τα τελευταία 15 χρόνια. Και ο πληθωρισμός κυρίως στα τρόφιμα συνεχίζει να κατατρώει το λαϊκό εισόδημα. Είναι λάθος τα στοιχεία του ΟΟΣΑ είπε ο κύριος Μητσοτάκης προχθές στον Πορτοσάλτε στο ΣΚΑΙ, για δες κάτι πράγματα τώρα δεν του αρέσει ο ΟΟΣΑ που κάθε λίγο και λιγάκι μας διαφημίζει ο κύριος Μητσοτάκης, τις εργαλειοθήκες του ΟΟΣΑ σε λίγο θα μας πει να αποδεσμευτούμε κιόλας λες και περιμένανε τον ΟΟΣΑ οι λαϊκές οικογένειες για να μάθουν ότι μπαίνουν στο σούπερ μάρκετ και τους πιάνει η καρδιά τους.",criticism,economy,other,-0.6,0,0,"[['oecd', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['mr portosalte', 'person', '1.0'], ['skai', 'organization', '1.0'], ['2022', 'date', '1.0']]"
9,"And what else did he say? That the ELSTAT poverty figures fully justify their policy. What do these figures say that 1 in 4 households flirt with poverty on a daily basis and we are talking about statistical poverty and not the real poverty below which the vast majority of our people survive? In other words, we are talking about households of four with an income of less than EUR 1 000 per month. This is the famous vindication of their policy, but they are the ones we are answering. And that is your policy. That is why you will get the answer you deserve. From our people next Sunday, as you have already got your answer from the youth, who you thought you would fool with some small pocket money. In the student elections held the day before yesterday, the student party of the Communist Party of the Youth, the All-Union Students, was again the leading force.","Και τι άλλο είπε; Ότι τα στοιχεία της ΕΛΣΤΑΤ για τη φτώχεια δικαιώνουν απόλυτα την πολιτική τους. Τι λένε αυτά τα στοιχεία ότι 1 στα 4 νοικοκυριά φλερτάρει καθημερινά με τη φτώχεια και μιλάμε για στατιστική φτώχεια και όχι την πραγματική που κάτω από το όριο της επιβιώνει η συντριπτική πλειοψηφία του λαού μας; Μιλάμε δηλαδή για τετραμελή νοικοκυριά με εισόδημα κάτω από 1000 ευρώ το μήνα. Αυτή είναι η περίφημη δικαίωση της πολιτικής τους, αλλά αυτοί είστε τους απαντάμε. Και αυτή είναι η πολιτική σας. Γι αυτό θα πάρετε και την απάντηση που σας αξίζει. Από το λαό μας την ερχόμενη την επόμενη Κυριακή, όπως πήρατε ήδη απαντήσει από τη νεολαία, που νομίζατε ότι θα την κοροϊδέψετε με κάτι ψιλο χαρτζιλίκια. Στις φοιτητικές εκλογές που έγιναν προχθές, ανέδειξαν ξανά πρώτη δύναμη την παράταξη της ΚΝΕ, την Πανσπουδαστική. ",criticism,economy,austerity,-0.6,0,0,"[['elstat', 'organization', '1.0'], ['communist party of the youth', 'political party', '1.0'], ['all-union students', 'group of people', '1.0'], ['sunday', 'date', '1.0'], ['eur', 'organization', '1.0']]"
10,"Friends. Comrades, we saw that on Monday Mr Tsipras also visited our city. He even spoke here, next to the statue of Ares in the People's Square. It is a good thing he did not fall over to kick his ass. Of course, the truth is that SYRIZA is obsessed with statues. We saw it when it was a government that beat up students who were protesting at the statue of the butcher of the peoples of Truman in Athens. They didn't want, he says, to create a diplomatic incident with the US so they beat them up. But that's how it is with the statue of Veluhiotis during the election and after the election with the statue of Truman.  But that's who you are and we say to them.","Φίλες και φίλοι. Συντρόφισσες και σύντροφοι είδαμε ότι τη Δευτέρα επισκέφθηκε την πόλη μας και ο κύριος Τσίπρας. Μίλησε μάλιστα εδώ δίπλα από κάτω στην Πλατεία Λαού, στο άγαλμα του Άρη. Πάλι καλά που δεν έπεσε να τον πλακώσει. Βέβαια, η αλήθεια είναι ότι μια μανία με τα αγάλματα την έχει ο ΣΥΡΙΖΑ. Το είδαμε και όταν ήταν κυβέρνηση που ξυλοφόρτωνε τους φοιτητές, οι οποίοι διαδήλωναν στο άγαλμα του μακελάρη των λαών του Τρούμαν στην Αθήνα. Δεν ήθελαν, λέει να δημιουργηθεί διπλωματικό επεισόδιο με τις ΗΠΑ για αυτό τους ξυλοφόρτωναν. Αλλά έτσι είναι προεκλογικά με το άγαλμα του Βελουχιώτη και μετεκλογικά με το άγαλμα του Τρούμαν.  Αλλά αυτοί είστε λέμε και σε αυτούς. ",criticism,accountability,other,-0.5,0,0,"[['mr tsipras', 'person', '0.6', 'ares', 'location', '0.6', ""people's square"", 'location', '0.6', 'syriza', 'political party', '0.8', 'truman', 'person', '0.6', 'athens', 'location', '0.6', 'veluhiotis', 'person', '0.6].']]"
