id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"There is one question that every working man, every young man and woman, every working man, every young man and woman, every working man and woman of the people here in Heraklion, in the whole of Crete, must answer within themselves in the one week that remains until the elections and with this criterion they must go to the ballot box next Sunday: What is the one result that can really make a difference for them, that will not be ""one of the same"" as the previous times? What result will enable them to be re-energized? To feel that something is changing? What is it that is ultimately decided in this election for the people?
We, with the sincerity and honesty that you know characterises us - regardless of whether you agree with us more or less - say this:","Ένα είναι το ερώτημα που πρέπει να απαντήσει μέσα του κάθε εργαζόμενος, κάθε νέος και νέα, κάθε βιοπαλαιστής, λαϊκός άνθρωπος εδώ στο Ηράκλειο, σε ολόκληρη την Κρήτη, τη μία εβδομάδα που μένει μέχρι τις εκλογές και με αυτό το κριτήριο να πάει στην κάλπη την άλλη Κυριακή: Ποιο είναι το αποτέλεσμα εκείνο που μπορεί να κάνει πραγματικά τη διαφορά για τους ίδιους, να μην είναι “μια από τα ίδια” με τις προηγούμενες φορές; Με ποιο αποτέλεσμα θα μπορέσουν να αναθαρρήσουν; Να νιώσουν ότι κάτι αλλάζει; Τι είναι αυτό που κρίνεται τελικά σε αυτές τις εκλογές για τον λαό;
Εμείς, με την ειλικρίνεια και την εντιμότητα που ξέρετε ότι μας χαρακτηρίζει - άσχετα αν συμφωνείτε λιγότερο ή περισσότερο μαζί μας -  σας λέμε το εξής:",political agenda,elections,election spending,0.0,0.0,0.3,"[['heraklion', 'location', '1.0'], ['crete', 'location', '1.0'], ['sunday', 'date', '0.9']]"
2,"The only real good that can come out of these elections for our people is that the KKE is much stronger! Only then will you yourselves be stronger, to fight together, from better positions, against a policy that is demonstrably unpopular. To open another, better way for us and our children, for the radical changes we need.
Pay no attention to the familiar blackmail and dilemmas that everyone else is putting up to once again steal the popular vote. Do not make their anxiety about 'stability' your own. Their stability is instability for the people's interests.
On the contrary, the weaker, the more unstable the parties of capital, ND, SYRIZA and PASOK and their ""complements"", the better for all of us.","Το μόνο πραγματικά καλό που μπορεί να βγει για τον λαό μας από αυτές τις εκλογές, είναι να είναι πολύ πιο δυνατό το ΚΚΕ! Έτσι μόνο θα είστε οι ίδιοι πιο δυνατοί, για να αντιπαλέψουμε μαζί, από καλύτερες θέσεις, μια πολιτική αποδεδειγμένα αντιλαϊκή. Να ανοίξουμε έναν άλλο, καλύτερο δρόμο για εμάς και τα παιδιά μας, για τις ριζικές αλλαγές που έχουμε ανάγκη.
Μην δίνετε σημασία στους γνωστούς εκβιασμούς και τα διλήμματα που βάζουν όλοι οι άλλοι για να υποκλέψουν για μία ακόμα φορά τη λαϊκή ψήφο. Μην κάνετε δική σας τη δική τους αγωνία περί “σταθερότητας”. Η δική τους σταθερότητα, είναι αστάθεια για τα λαϊκά συμφέροντα.
Αντίθετα, όσο πιο αδύναμα, όσο πιο ασταθή είναι τα κόμματα του κεφαλαίου, η ΝΔ, ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ και τα «συμπληρώματά» τους, τόσο το καλύτερο για όλους μας. ",criticism,elections,other,0.0,0.5,0.5,"[['kke', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0']]"
3,"Because these parties, right after the elections, whatever the composition of the government, will take over the baton of the Recovery Fund to pass the next 350 preconditions at the expense of the workers. In fact, they are not even holding out until the election. On Wednesday, while their leaders were struggling to show how much they differ in the debate, the MEPs of ND, SYRIZA and PASOK were voting in favour of the new levies on the people provided for in the EU budget, so that the 'gluttony' of the conglomerates could continue.","Γιατί αυτά τα κόμματα, με το «καλημέρα» μετά τις εκλογές, με όποια σύνθεση κι αν τα βρουν μεταξύ τους για να συγκροτήσουν κυβέρνηση, θα παραλάβουν τη σκυτάλη του Ταμείου Ανάκαμψης για να περάσουν τα επόμενα 350 προαπαιτούμενα σε βάρος των εργαζομένων. Δεν κρατιούνται, μάλιστα, ούτε μέχρι τις εκλογές. Την Τετάρτη, την ώρα που οι αρχηγοί τους πάσχιζαν να δείξουν πόσο διαφέρουν στο debate, οι ευρωβουλευτές της ΝΔ, του ΣΥΡΙΖΑ και του ΠΑΣΟΚ, υπερψήφιζαν αγκαλιά τα νέα χαράτσια για τους λαούς που προβλέπει ο προϋπολογισμός της ΕΕ, για να συνεχιστεί το «φαγοπότι» των ομίλων.",criticism,economy,european recovery fund,-0.6,0.4,0.2,"[['wednesday', 'date', '1.0'], ['nd', 'political party', '0.75'], ['syriza', 'political party', '0.75'], ['pasok', 'political party', '0.75'], ['meps', 'group of people', '0.9'], ['eu', 'organization', '1.0']]"
4,"After the elections, the goal of ""fiscal stability"" that they all share, the bloody surpluses that are coming back, mean new sacrifices, new taxes, new income squeezes.
After the elections, all of us will continue to live the consequences of the ""liberalized"" energy market, of the onslaught of capitalist profit in every sector and in every aspect of our lives, as we experienced them tragically with the crime of Tempe, which must not be forgotten.","Μετά τις εκλογές, ο στόχος της «δημοσιονομικής σταθερότητας» που μοιράζονται όλοι τους, τα ματωμένα πλεονάσματα που επιστρέφουν, σημαίνουν νέες θυσίες, νέους φόρους, νέα συμπίεση του εισοδήματος.
Μετά τις εκλογές, όλοι μας θα συνεχίσουμε να ζούμε τις συνέπειες της “απελευθερωμένης” αγοράς ενέργειας, της επέλασης του καπιταλιστικού κέρδους σε κάθε τομέα και σε κάθε πλευρά της ζωής μας, όπως τις ζήσαμε με τραγικό τρόπο με το έγκλημα των Τεμπών, που δεν πρέπει να ξεχαστεί.",criticism,energy,energy crisis,-0.5,0.5,0.0,"[['elections', 'date', '1.0'], ['fiscal stability', 'group of people', '0.8'], ['surpluses', 'group of people', '0.6'], ['taxes', 'group of people', '0.6'], ['income squeezes', 'group of people', '0.6'], ['energy market', 'organization', '0.8'], ['capitalist profit', 'organization', '0.6'], ['tempe', 'location', '1.0']]"
5,"After the elections, the banks, the crows of the funds, the various Patsis and all the others to whom ND, SYRIZA and PASOK have handed over the red loans of the people for a plate of lentils will continue to auction off houses and to squeeze people's families.","Μετά τις εκλογές, οι τράπεζες, τα κοράκια των funds, οι διάφοροι Πάτσηδες και όλοι οι υπόλοιποι, στους οποίους η ΝΔ, ο ΣΥΡΙΖΑ και το ΠΑΣΟΚ έχουν παραδώσει τα κόκκινα δάνεια του κοσμάκη έναντι πινακίου φακής θα συνεχίσουν να πλειστηριάζουν σπίτια και να ξεσπιτώνουν λαϊκές οικογένειες. ",criticism,debt,other,-0.8,1.0,0.9,"[['nd', 'political party', '0.5'], ['syriza', 'political party', '0.5'], ['pasok', 'political party', '0.5']]"
6,"Watch out! Don't be misled! None of them say they will stop this! They all take it for granted, because, as Mr. Tsipras said, auctions take place in every favored state!","Προσέξτε! Μην σας παραπλανήσουν! Κανένας τους δεν λέει ότι θα το σταματήσει αυτό! Όλοι τους το θεωρούν αυτονόητο, γιατί, όπως είπε ο κ. Τσίπρας, πλειστηριασμοί γίνονται σε κάθε ευνομούμενη πολιτεία!",criticism,corruption,other,-0.6,0.2,0.2,"[['mr. tsipras', 'person', '1.0']]"
7,"After the elections, they will send the representative of the next government to the upcoming NATO meeting, which is expected to give a ""signal"" for further involvement in the imperialist war raging in Ukraine. The same government will continue the dangerous bargaining in Greek-Turkish relations for settlements that add fuel to the fire of antagonisms.
We invite you to ask yourselves: why are we hearing absolutely nothing about this very serious issue in the election period? When everyone is arguing about everyone on the most trivial of occasions?
Why is it that only the KKE insists on raising it?
The reason is simple: we hear nothing because they have nothing to argue about! Because they agree! That is why the US Ambassador says that he is not very concerned about what the next government will be. Since with whatever government emerges, he will do his dirty work...","Μετά τις εκλογές, θα στείλουν τον εκπρόσωπο της επόμενης κυβέρνησης, στην επικείμενη σύνοδο του ΝΑΤΟ, που αναμένεται να δώσει «σήμα» για περαιτέρω εμπλοκή στον ιμπεριαλιστικό πόλεμο που μαίνεται στην Ουκρανία. Η ίδια κυβέρνηση θα συνεχίσει τα επικίνδυνα παζάρια στα Ελληνοτουρκικά για τις διευθετήσεις που ρίχνουν λάδι στη φωτιά των ανταγωνισμών. 
Σας καλούμε να αναρωτηθείτε: γιατί δεν ακούμε τίποτα απολύτως για αυτό το πολύ σοβαρό θέμα, μέσα στην προεκλογική περίοδο; Όταν όλοι τσακώνονται για όλους με την πιο ασήμαντη αφορμή; 
Γιατί μόνο το ΚΚΕ, επιμένει να το θέτει; 
Ο λόγος είναι απλός: δεν ακούμε τίποτα γιατί δεν έχουν πάνω σε τι να αντιπαρατεθούν! Γιατί συμφωνούν! Γι’ αυτό και ο Πρέσβης τον ΗΠΑ δηλώνει ότι δεν τον πολυαγχώνει ποια θα είναι η επόμενη κυβέρνηση. Αφού με όποια κυβέρνηση και αν προκύψει, αυτός θα τις κάνει τις βρωμοδουλειές του...",criticism,other,other,-0.7,0.3,0.0,"[['nato', 'organization', '1.0'], ['ukraine', 'location', '1.0'], ['greek-turkish', 'group of people', '1.0'], ['kke', 'political party', '1.0'], ['us', 'country', '1.0']]"
8,"Friends and friends
compañeras and comrades
Crete, which all Greek governments have turned into the ""unsinkable aircraft carrier"" of the USA, as they themselves say, and at the same time have turned it into a target of their opponents, is a very characteristic example of what it means for each government to continue where the previous one left off and to take it even further...
We are of course talking about the dangerous Greek-American agreement on bases, prepared by the SYRIZA government and ratified by the ND government. Recently ""Rizospastis"" published their detailed plans for upgrading and expanding the Souda base, which is planned, in fact, modelled on the NATO ""headquarters"" for the war in Ukraine, the US base in Ramstein, Germany. The bigger the base, the greater the dangers and insecurity for our people!
And we believe that there is not a single sane person left who believes that there is any chance of our allies moving from their bases to assist in the event of a hot incident with Turkey. No matter how many phone calls any prime minister or Mr Varoufakis makes to them, as he told us he would...
As if there weren't enough phone calls when Cyprus was invaded or in 1996 with Imia... All they will say is ""find them"", as they have been doing all these years as the aggression of the Turkish bourgeoisie escalates in its confrontation with the Greek ruling class. Because what they are primarily interested in is to keep Turkey in the arms of NATO and away from the arms of Russia, for their own interests.","Φίλες και φίλοι
συντρόφισσες και σύντροφοι 
Η Κρήτη, που όλες οι ελληνικές κυβερνήσεις την έχουν μετατρέψει στο “αβύθιστο αεροπλανοφόρο” των ΗΠΑ, όπως οι ίδιοι λένε, και ταυτόχρονα την έχουν μετατρέψει σε στόχο των αντιπάλων τους, είναι ένα πολύ χαρακτηριστικό παράδειγμα, του τι σημαίνει η κάθε κυβέρνηση να συνεχίζει από εκεί που το άφησε η προηγούμενη και να το πηγαίνει ακόμα παραπέρα… 
Μιλάμε φυσικά για την επικίνδυνη ελληνοαμερικανική συμφωνία για τις βάσεις, που προετοίμασε η κυβέρνηση του ΣΥΡΙΖΑ και επικύρωσε η κυβέρνηση της ΝΔ. Πρόσφατα ο «Ριζοσπάστης» δημοσιοποίησε αναλυτικά σχέδιά τους για την αναβάθμιση και επέκταση της βάσης της Σούδας, που σχεδιάζεται, μάλιστα, με πρότυπο το “στρατηγείο” των ΝΑΤΟϊκών για τον πόλεμο στην Ουκρανία, τη βάση των ΗΠΑ στο Ράμσταϊν της Γερμανίας. Όσο μεγαλώνει η βάση, τόσο μεγαλώνουν οι κίνδυνοι και η ανασφάλεια για τον λαό μας!
Και πιστεύουμε ότι δεν έχει μείνει κανένας λογικός άνθρωπος που να πιστεύει ότι υπάρχει περίπτωση να κουνηθούν οι σύμμαχοί μας από τις βάσεις τους, για να συνδράμουν στην περίπτωση ενός θερμού επεισοδίου με την Τουρκία. Όσα τηλέφωνα και να τους κάνει ο κάθε πρωθυπουργός ή ο κύριος Βαρουφάκης, όπως μας είπε ότι θα κάνει… 
Λες και δεν έγιναν αρκετά τηλεφωνήματα όταν έγινε η εισβολή στην Κύπρο ή το 1996 με τα Ίμια… Το μόνο που θα λένε θα είναι “βρείτε τα”, όπως κάνουν όλα αυτά τα χρόνια που η επιθετικότητα της τουρκικής αστικής τάξης κλιμακώνεται στην αντιπαράθεσή της με την ελληνική άρχουσα τάξη. Γιατί αυτό που τους ενδιαφέρει πρωτίστως είναι να κρατήσουν την Τουρκία στην αγκαλιά του ΝΑΤΟ και μακριά από την αγκαλιά της Ρωσίας, για τα δικά τους συμφέροντα.",criticism,other,other,-0.6,0.5,0.2,"[['crete', 'location', '1.0'], ['greek governments', 'group of people', '0.85'], ['usa', 'country', '1.0'], ['syriza government', 'organization', '1.0'], ['nd government', 'organization', '1.0'], ['nato', 'organization', '1.0'], ['ukraine', 'location', '1.0'], ['ramstein', 'location', '1.0'], ['turkey', 'country', '1.0'], ['cyprus', 'location', '1.0'], ['imia', 'location', '1.0'], ['russian', 'organization', '1.0']]"
9,"Friends and friends,
compañeras and comrades
One is the great goal of the parties of the system, which are claiming to govern the country in these elections: growth. And because this system is called capitalism, it is about capitalist development. It is around this that they are crossing swords over who is best able to secure it.  Behind this goal, they also call upon the people to fall in line.
But think about it, didn't we have growth in 2022? What did the people gain from that?
They saw their disposable income, the real wage fall by 7.4% according to official figures. For others, of course, the results of growth were very different: More than 10 billion euros in net profits were made by only 150 companies listed on the stock exchange, recording a 10% increase.","Φίλες και φίλοι, 
συντρόφισσες και σύντροφοι
Ένας είναι ο μεγάλος στόχος των κομμάτων του συστήματος, που διεκδικούν τη διακυβέρνηση του τόπου και σε αυτές τις εκλογές: η ανάπτυξη. Και επειδή αυτό το σύστημα λέγεται καπιταλισμός, πρόκειται για την καπιταλιστική ανάπτυξη. Γύρω από αυτό διασταυρώνουν τα ξίφη τους, για το ποιος είναι πιο ικανός να την εξασφαλίσει.  Πίσω από αυτόν τον στόχο καλούν και τον λαό να συνταχθεί.
Για σκεφτείτε, όμως, ανάπτυξη δεν είχαμε και το 2022; Τι κέρδισε ο λαός από αυτό; 
Είδε το διαθέσιμο εισόδημά του, τον πραγματικό μισθό να μειώνεται κατά 7,4% σύμφωνα με τα επίσημα στοιχεία. Για κάποιους άλλους βέβαια, τα αποτελέσματα της ανάπτυξης ήταν πολύ διαφορετικά: Πάνω από 10 δις ευρώ καθαρά κέρδη είχαν μόνο 150 εταιρείες που είναι εισηγμένες στο χρηματιστήριο, καταγράφοντας αύξηση 10%. ",criticism,economy,other,-0.8,0.5,0.5,"[['friends', 'person', '0.85'], ['compañeras', 'group of people', '0.75'], ['comrades', 'group of people', '0.75'], ['parties', 'group of people', '0.85'], ['system', 'organization', '0.85'], ['capitalism', 'organization', '0.75'], ['country', 'location', '0.75'], ['elections', 'date', '0.85'], ['capitalist development', 'organization', '0.75'], ['people', 'group of people', '0.85'], ['2022', 'date', '0.75'], ['official figures', 'organization', '0.75'], ['net profits', 'organization', '0.75'], ['150 companies', 'organization', '0.75'], ['stock exchange', 'organization', '0.75']]"
10,"We wouldn't say they did too badly. Wouldn't they?
The workers feel this very well ""under their own skin"" here in Crete. The thousands of hotel and tourism workers who have been working for a month now and have started the tourist season and do not know if and how they will finish it. Because it is still May and the organisations of the KKE, the unions do not have time to register the complaints about working from sun to sun, 7 days without days off, in miserable conditions.","Δεν θα λέγαμε ότι τα πήγαν και άσχημα. Έτσι δεν είναι;
Το νιώθουν οι εργαζόμενοι αυτό πολύ καλά «στο πετσί τους» κι εδώ στην Κρήτη. Το νιώθουν οι χιλιάδες ξενοδοχοϋπάλληλοι και εργαζόμενοι στον τουρισμό που έχουν ξεκινήσει εδώ και ένα μήνα την τουριστική σεζόν και δεν γνωρίζουν αν και πως θα την τελειώσουν. Γιατί ακόμα έχουμε Μάη και οι οργανώσεις του ΚΚΕ, τα σωματεία δεν προλαβαίνουν να καταγράφουν τις καταγγελίες για δουλειά από ήλιο σε ήλιο, 7ήμερα χωρίς ρεπό, σε άθλιες συνθήκες. ",criticism,other,other,-0.7,0.1,0.0,"[['crete', 'location', '1.0'], ['kke', 'organization', '0.5'], ['unions', 'group of people', '0.5'], ['may', 'date', '1.0']]"
