id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, compañeras and compañeros, we are here tonight in Patras, the capital of Western Greece. In the final straight now to carry the optimistic, the militant, the subversive message of the Communist Party of Greece. One choice is there. KKE bite. There is hope. Not everything is black and pessimistic. There is not only the choice of the lesser evil which always unfortunately leads to the greater evil. The people of Achaia, the people of Western Greece do not have to go to the ballot box with half a heart, because nothing in their lives is going to change. He himself can help something to begin to change by his attitude, by his action and in solidarity with the C.C.E. In all battles and elections.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, είμαστε απόψε εδώ στην Πάτρα, την πρωτεύουσα της Δυτικής Ελλάδας. Στην τελική ευθεία πλέον για να μεταφέρουμε το αισιόδοξο, το αγωνιστικό, το ανατρεπτικό μήνυμα του Κ. Κ. Ε. Ναι στις εκλογές της Κυριακής υπάρχει ελπίδα για το λαό και τη νεολαία μας και η ελπίδα δυναμώνει όσο δυναμώνει το Κ. Κ. Ε. Γι αυτό την Κυριακή. Μια επιλογή υπάρχει. ΚΚΕ δαγκωτό. Υπάρχει ελπίδα. Δεν είναι όλα μαύρα και απαισιόδοξα. Δεν υπάρχει μόνο η επιλογή του μικρότερου κακού που πάντα δυστυχώς οδηγεί στο μεγαλύτερο κακό. Δεν είναι υποχρεωμένος ο λαός της Αχαΐας, ο λαός της Δυτικής Ελλάδας να πάει στην κάλπη με μισή καρδιά, γιατί τίποτα στη ζωή του δεν πρόκειται να αλλάξει. Μπορεί ο ίδιος να βοηθήσει στο κάτι να αρχίσει να αλλάζει με τη στάση του, με τη δράση του και σε συμπόρευση με το Κ. Κ. Ε. Σε όλες τις μάχες και στις εκλογές.",political agenda,elections,election spending,0.0,0.1,0.0,"[['patras', 'location', '1.0'], ['western greece', 'location', '1.0'], ['communist party of greece', 'political party', '1.0'], ['kke', 'political party', '1.0'], ['achaia', 'location', '1.0'], ['c.c.e', 'organization', '1.0']]"
2,"No one should go with a heavy heart, to vote for them, to give them another chance, as the various parties that ruled this country and are still responsible for this mess we live in and are now preparing to sit in the government chairs again, with whatever composition they finally decide and make life unlivable for our people again.","Κανείς δεν πρέπει να πάει με βαριά καρδιά, να τους ψηφίσει, να τους δώσει άλλη μια ευκαιρία, όπως τους ζητάνε τα διάφορα κόμματα που κυβέρνησαν αυτό τον τόπο που κυβερνούν ακόμα και ευθύνονται γι αυτό το χάλι που ζούμε και τώρα ετοιμάζονται να καθίσουν και πάλι στις κυβερνητικές πολυθρόνες, με όποια σύνθεση τελικά αποφασίζουν και να κάνουν στο λαό μας πάλι το βίο αβίωτο. ",criticism,other,election spending,-0.9,0.1,0.0,"[['parties', 'group of people', '0.8'], ['country', 'country', '0.9']]"
3,"Fortunately in this country there is a positive option, the working class. Our people have conquered this with their own blood. There is the red, the militant, the red ballot paper of the Communist Party of Greece. So we say with heart and mind, let's go for the Communist Party of Greece. To breathe, to cheer up, to smile. But to terrorize the terrorists of our lives. To be stronger the next day so that we can fight them more effectively, To improve our lives, to make more visible the way out for the people proposed by the C.C.E. That is, the real power of the people. We can say this today with even greater confidence than we did in January when we were back here in Patras. In these elections, the C.C.U. can become much stronger. Sunday's election result. It may not be one of the same. This is the message coming from all over Greece. We see it too when we talk to workers, to working people who approach us for the first time and are thinking of voting for the Communist Party. But the other staffs of the system, the various parties, see it too, and when they read that there are many people who, if you ask them if they are thinking of voting for the Communist Party, say yes. I'm thinking about it. Today, a few days before the polls. For those still thinking about it, we say go for it. Let's all take a big step forward together and that step to be solid to be strong is only C.C.E. They too see how that step can be taken, as it was in the student ballot and for the second time in a row. And here in Patras, the All Student First Force was heard. Others had their smiles cut off for once. They may be cut off a second time on Sunday with a very high percentage of the K.C.E. They see it, they admit it.","Ευτυχώς σ'αυτή τη χώρα υπάρχει και η θετική επιλογή, η εργατική τάξη. Ο λαός μας το έχει κατακτήσει αυτό με το ίδιο του το αίμα. Υπάρχει το κόκκινο, το αγωνιστικό, το ψηφοδέλτιο του Κ. Κ. Ε. Γι αυτό λοιπόν λέμε με την καρδιά και το μυαλό, πάμε για Κ. Κ. Ε. Πολύ πιο δυνατό. Για να ανασάνουμε να αναθαρρήσουμε, να χαμογελάσουμε. Να τρομοκρατήσουν όμως τους τρομοκράτες των ζωών μας. Να είμαστε πιο δυνατοί την επόμενη μέρα για να μπορέσουμε να τους πολεμήσουμε αποτελεσματικότερα, Να βελτιώσουμε τις ζωές μας, να κάνουμε πιο ορατή τη διέξοδο για το λαό που προτείνει το Κ. Κ. Ε. Την πραγματική δηλαδή εξουσία του λαού. Μπορούμε σήμερα να το πούμε με ακόμα μεγαλύτερη σιγουριά απ ότι τον Γενάρη που βρεθήκαμε πάλι εδώ στην Πάτρα. Σε αυτές τις εκλογές το Κ. Κ. Ε. Μπορεί να δυναμώσει σημαντικά. Το εκλογικό αποτέλεσμα της Κυριακής. Μπορεί να μην είναι μια από τα ίδια. Αυτό είναι το μήνυμα που έρχεται από όλη την Ελλάδα. Το βλέπουμε και εμείς όταν συζητάμε με εργάτες και εργάτριες, με ανθρώπους του μόχθου που για πρώτη φορά μας προσεγγίζουν και σκέφτονται να ψηφίσουν το Κ. Κ. Ε. Το βλέπουν όμως και οι άλλοι τα επιτελεία του συστήματος, τα διάφορα κόμματα που όταν διαβάζουν πως δεν είναι λίγοι αυτοί που αν τους ρωτήσεις αν σκέφτονται να ψηφίσουν Κ.Κ. Ε απαντούν ναι. Το σκέφτομαι. Σήμερα, λίγες ημέρες πριν τις κάλπες. Για όσους ακόμα το σκέφτονται, τους λέμε κάντε το. Να πάμε όλοι μαζί ένα μεγάλο βήμα μπροστά και αυτό το βήμα για να είναι στέρεο να είναι δυνατό είναι μόνο Κ. Κ. Ε. Βλέπουν κι αυτοί πώς μπορεί να γίνει αυτό το βήμα, όπως έγινε στην κάλπη των φοιτητών και για δεύτερη συνεχόμενη φορά. Και εδώ στην Πάτρα ακούστηκε το Πανσπουδαστική πρώτη δύναμη. Στους άλλους τους κόπηκε μια φορά το χαμόγελο. Μπορεί να τους κοπεί και δεύτερη φορά την Κυριακή με ένα πολύ ανεβασμένο ποσοστό του Κ. Κ. Ε. Το βλέπουν, το ομολογούν.",political agenda,elections,other,0.6,0.8,0.0,"[['communist party of greece', 'organization', '0.9'], ['c.c.e.', 'organization', '0.7'], ['c.c.u.', 'organization', '0.6'], ['greece', 'country', '0.9'], ['patras', 'location', '0.8'], ['sunday', 'date', '0.8']]"
4," That's why various big employers even call workers to apologize because they went and listened to a candidate of Mr. C.E. who visited their workplace. That is why some other graphical people who have been disqualified by life itself are filing petitions in the Supreme Court to allegedly disqualify the K.C.E. from the elections. That is why the candidates of the New Democracy, who a short time ago were saying that it was the fault of the unemployed for not knowing how to write a good CV, are now going back to the channels and saying that the C.C.E. wants to abolish democracy. That's why the president of SYRIZA is also scratching himself on the shepherd's goat and dealing with the CC in every speech he makes, because it seems he has got the message that thousands of progressive left-wing people are fed up with his mockery, fed up with seeing him vote for memoranda and the next day for the two hundred unpopular bills of Mitsotakis in this Parliament and now they are turning their backs on him. They are turning their gaze to the KKE."," Γι αυτό διάφοροι μεγαλοεργοδότες καλούν ακόμα και σε απολογία εργαζόμενους επειδή πήγαν και άκουσαν έναν υποψήφιο του κ. Κ. Ε. που επισκέφτηκε τον χώρο δουλειάς τους. Γι αυτό και ορισμένοι άλλοι γραφικοί που τους έχει αποκλείσει η ίδια η ζωή, καταθέτουν υπομνήματα στον Άρειο Πάγο για να αποκλειστεί δήθεν το Κ.Κ.Ε.  Από τις εκλογές. Γι αυτό οι υποψήφιοι της Νέας Δημοκρατίας, που λίγο καιρό πριν έλεγαν ότι φταίνε οι άνεργοι που δεν ξέρουν να φτιάχνουν καλά βιογραφικά, τώρα γυρίζουν στα κανάλια και λένε ότι το κ. Κ. Ε. Θέλει να καταλύσει τη δημοκρατία. Γι αυτό ο πρόεδρος επίσης του ΣΥΡΙΖΑ ξύνεται στην γκλίτσα του τσοπάνη και ασχολείται με το ΚΚ. Ε σε κάθε ομιλία του, γιατί όπως φαίνεται έχει πάρει το μήνυμα ότι χιλιάδες  προοδευτικοί αριστεροί άνθρωποι βαρέθηκαν την κοροϊδία του, βαρέθηκαν την να τον βλέπουν να ψηφίζει μνημόνια και την επομένη τα διακόσια αντιλαϊκά νομοσχέδια του Μητσοτάκη σαυτή τη Βουλή και τώρα του γυρίζουν την πλάτη. Στρέφουν το βλέμμα προς το ΚΚΕ. ",criticism,elections,other,-0.5,0.2,0.2,"[['mr. c.e.', 'person', '1.0'], ['supreme court', 'organization', '1.0'], ['k.c.e.', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['c.c.e.', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['kke', 'political party', '1.0'], ['greece', 'country', '1.0']]"
5,"Friends. Comrades, the significant strengthening of Mr. C. E. is a very realistic goal. As long as no one succumbs to the various blackmailing dilemmas. As long as no one rests on his laurels. As long as all of us, right up to the last hour, get on the ballot paper of Mr C.E. Everywhere. Because every vote for Mr. C.E. Counts. Every region of our country must have its own individual contribution to this result. And so does the Region of Western Greece. This is where hundreds of thousands of workers, unemployed, breadwinners, self-employed, professionals, scientists, farmers, young people who go to school, to university, to various vocational schools live. Yes, the people of Western Greece, of all the prefectures and islands, must have their own special contribution to the election result of Mr. K.E. They know that their vote for the KKE will return back to them in their struggle. He knows this because here in Western Greece there are so far two deputies of Mr. K.E. Nikos Karathanasopoulos in Achaia and Nikos Papanastasiou in Aitoloakarnania. These two MPs have done more for the people of the region than the 21 MPs of the other parties combined. In Western Greece as a whole. They brought their problems to Parliament, they demanded solutions, they ran day and night to be by their side when they were struggling. They put into practice the slogan Only the people save the people when he was tested by the selective inability of the bourgeois state to protect his life and property. They never raised their hand to pass unpopular measures. That is why we have the courage to look you in the eye, to ask you to help the C.C.E. to elect more deputies. So that the people of Achaia, Aitoloakarnania and Ilia can have real support. To contribute to increase the percentage of the KKE in the single-member elections in Zakynthos and Kefalonia. Don't listen to anyone who tells you that this could be a wasted vote. Every vote for Mr. C.E. adds up to his nationwide percentage and sends more communist militants to Parliament nationwide. Lost is every vote to the parties that ruled and brought us to this point. Lost is the vote that will give more seats to the next anti-people government and will also make it easier for them to pass laws against the many and for the few, of course. Lost is any vote that could be given to the C.C.E. And it will be scattered to abstention or to disposable parties that will run to become a supplement to an unpopular government. As we have seen happen so many times before with parties that most of us today and most of us don't even remember they existed. But Mr. C.E. But the C.E. was, is and will be here on the side of the people until the final victory. Therefore, on Sunday, a strong UCP so that our people can be strong.","Φίλες και φίλοι. Συντρόφισσες και σύντροφοι, η σημαντική ενίσχυση του κ. Κ. Ε. Είναι ένας πολύ ρεαλιστικός στόχος. Αρκεί να μην υποκύψει κανείς στα διάφορα εκβιαστικά διλήμματα. Αρκεί να μην επαναπαυτεί κανείς. Αρκεί όλοι μας μέχρι την τελευταία ώρα να φτάσουμε με το ψηφοδέλτιο του κ. Κ. Ε. Παντού. Γιατί η κάθε ψήφος στο κ. Κ. Ε. Μετράει. Κάθε περιφέρεια της χώρας μας πρέπει να έχει τη δική της ξεχωριστή συμβολή σε αυτό το αποτέλεσμα. Το ίδιο και η Περιφέρεια της Δυτικής Ελλάδας. Εδώ που ζουν εκατοντάδες χιλιάδες εργαζόμενοι, άνεργοι, βιοπαλαιστές, αυτοαπασχολούμενοι, επαγγελματίες, επιστήμονες, αγρότες, νέοι και νέες που πηγαίνουν στο σχολείο, στο πανεπιστήμιο, στις διάφορες επαγγελματικές σχολές. Ναι, ο λαός της Δυτικής Ελλάδας, όλων των νομών και των νησιών, πρέπει να έχει τη δική του ξεχωριστή συμβολή στο εκλογικό αποτέλεσμα του κ. Κ. Ε. Ξέρει πως η ψήφος του στο ΚΚΕ θα επιστρέψει πίσω στον ίδιο στον αγώνα του. Το ξέρει γιατί εδώ στη Δυτική Ελλάδα υπάρχουν μέχρι σήμερα δύο βουλευτές του κ. Κ. Ε. Ο Νίκος Καραθανασόπουλος Στην Αχαΐα και ο Νίκος Παπαναστασίου στην Αιτωλοακαρνανία. Αυτοί οι δύο βουλευτές έκαναν για το λαό της περιοχής περισσότερα από όσα έκαναν οι 21 βουλευτές που έχουν τα άλλα κόμματα αθροιστικά. Στη Δυτική Ελλάδα ολόκληρη. Έφεραν στη Βουλή τα προβλήματά του, απαίτησαν λύσεις, έτρεχαν μέρα νύχτα για να βρίσκονται στο πλάι του όταν αγωνιζόταν. Έκαναν πράξη το σύνθημα Μόνο ο λαός σώζει το λαό όταν δοκιμαζόταν από την επιλεκτική ανικανότητα του αστικού κράτους να προστατεύει τη ζωή και τις περιουσίες του. Δεν σήκωσαν ποτέ το χέρι τους να ψηφίσουν αντιλαϊκά μέτρα. Γι αυτό έχουμε το θάρρος να σας κοιτάμε στα μάτια, να σας ζητάμε να συμβάλλετε ώστε το Κ.Κ. Ε να εκλέξει περισσότερους βουλευτές. Για να έχει πραγματικό στήριγμα ο λαός στην Αχαΐα Στην Αιτωλοακαρνανία, στην Ηλεία. Να συμβάλλετε για να μεγαλώσει κι άλλο το ποσοστό του ΚΚΕ στις μονοεδρικές της Ζακύνθου και της Κεφαλονιάς. Μην ακούτε κανέναν που σας λέει ότι αυτή μπορεί να είναι μια χαμένη ψήφος. Κάθε ψήφος στο κ. Κ. Ε. Αθροίζεται στο πανελλαδικό του ποσοστό και στέλνει περισσότερους κομμουνιστές αγωνιστές στη Βουλή πανελλαδικά. Χαμένη είναι κάθε ψήφος στα κόμματα που κυβέρνησαν και μας έφεραν ως εδώ. Χαμένη είναι η ψήφος που θα δώσει περισσότερες έδρες στην επόμενη αντιλαϊκή κυβέρνηση και θα της κάνει και πιο εύκολο το έργο να περνάει νόμους εις βάρος των πολλών και υπέρ βέβαια των λίγων. Χαμένη είναι κάθε ψήφος που θα μπορούσε να δοθεί στο Κ. Κ. Ε. Και θα σκορπίσει στην αποχή ή σε κόμματα μιας χρήσης που θα τρέξουν να γίνουν συμπλήρωμα σε μια αντιλαϊκή κυβέρνηση. Όπως έχουμε δει να συμβαίνει τόσες και τόσες φορές στο παρελθόν με κόμματα που οι περισσότεροι σήμερα και από εμάς ούτε καν τους θυμούνται ότι υπήρξαν. Το κ. Κ. Ε. Όμως ήταν, είναι και θα είναι εδώ στο πλευρό του λαού μέχρι την τελική του νίκη. Γι αυτό λοιπόν την Κυριακή δυνατό ΚΚΕ για να ναι δυνατός ο λαός μας. ",political agenda,elections,election spending,-0.3,0.6,0.6,"[['c.e.', 'organization', '1.0'], ['kke', 'political party', '1.0'], ['nikos karathanasopoulos', 'person', '1.0'], ['nikos papanastasiou', 'person', '1.0'], ['achaia', 'location', '1.0'], ['aitoloakarnania', 'location', '1.0'], ['western greece', 'location', '1.0'], ['ilia', 'location', '1.0'], ['zakynthos', 'location', '1.0'], ['kefalonia', 'location', '1.0'], ['sunday', 'date', '1.0']]"
6,"Friends, compañeras and compañeros, recently we have witnessed a well-known debate between the parties of the system on whether or not their programmes are costed. Have you heard? Aren't they really fed up with the same debate every election period? Anyway, people are tired of them and don't pay much attention. But it makes sense that they are arguing about that and not about the substance, about the focus of their programmes, since it is the same. Why are these programmes written with the pens of the business groups, the Association of Greek Industrialists, the Bank of Greece, the Commission, NATO? Because their central ideas are fiscal stability for the return of the bloody surpluses, the stability of the banks, also the creation of an attractive investment environment. But what does that mean in terms of smashed labour rights? Because the first pages of these programmes contain the 350 unpopular preconditions that any next government will legislate in order to disburse the Recovery Fund instalments and put a pin in the pockets of the big business groups. When New Democracy and Syriza are arguing about whether their programmes are costed, one thing the working man, the man of labour, understands is that his own needs have already been costed and thrown out of their programmes. Because there are only the profits of a few conglomerates.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι, το τελευταίο διάστημα παρακολουθήσαμε μια γνωστή αντιπαράθεση ανάμεσα στα κόμματα του συστήματος για το αν τα προγράμματά τους είναι ή όχι κοστολογημένα. Το ακούσατε; Αλήθεια δεν βαρέθηκαν σε κάθε προεκλογική περίοδο την ίδια συζήτηση; Πάντως ο κόσμος τους βαρέθηκε και δε δίνει τόση σημασία. Είναι λογικό όμως να τσακώνονται για αυτό και όχι για την ουσία, για τη στόχευση των προγραμμάτων τους, αφού αυτή είναι η ίδια. Γιατί αυτά τα προγράμματα είναι γραμμένα με τις πένες των επιχειρηματικών ομίλων, του Συνδέσμου Ελλήνων Βιομηχάνων, της Τράπεζας της Ελλάδας, της Κομισιόν, του ΝΑΤΟ; Γιατί κεντρικές ιδέες τους είναι η δημοσιονομική σταθερότητα για την επιστροφή των ματωμένων πλεονασμάτων, η σταθερότητα των τραπεζών, επίσης, η διαμόρφωση επίσης ελκυστικού επενδυτικού περιβάλλοντος Όπώς το λένε. Που σημαίνει όμως τσακισμένα εργασιακά δικαιώματα; Γιατί στις πρώτες σελίδες αυτών των προγραμμάτων περιέχουν τα 350 αντιλαϊκά προαπαιτούμενα που θα νομοθετήσει η όποια επόμενη κυβέρνηση για να εκταμιεύονται οι δόσεις του Ταμείου ανάκαμψης και να πηγαίνουν καρφί στην τσέπη των μεγάλων επιχειρηματικών ομίλων. Όταν η Νέα Δημοκρατία και ο ΣΥΡΙΖΑ τσακώνονται για το αν είναι κοστολογημένα τα προγράμματά τους, ένα πράγμα καταλαβαίνει ο εργαζόμενος, ο άνθρωπος του μόχθου, ότι οι δικές του ανάγκες έχουν ήδη κοστολογηθεί και έχουν πεταχτεί έξω από τα προγράμματά τους. Γιατί εκεί υπάρχουν μόνο τα κέρδη των λίγων των ομίλων. ",criticism,economy,economic equity,-0.7,0.2,0.2,"[['friends', 'person', '0.8'], ['compañeras', 'group of people', '0.6'], ['compañeros', 'group of people', '0.6'], ['parties of the system', 'political party', '0.6'], ['association of greek industrialists', 'organization', '0.8'], ['bank of greece', 'organization', '0.8'], ['commission', 'organization', '0.6'], ['nato', 'organization', '0.6'], ['new democracy', 'political party', '0.6'], ['syriza', 'political party', '0.6'], ['working man', 'person', '0.8'], ['man of labour', 'person', '0.8'], ['conglomerates', 'organization', '0.6.']]"
7,"And speaking of costing. How much do the parties of capital cost the life of the people here in Western Greece, who live in a region that is at the centre of the US-NATO plans, under the responsibility of all governments. With Aktion, Araxos, Andravida becoming daily potential targets of retaliation by the opposing imperialist camp. They have already been silenced. They do not make a sound about them. Because they know that everything they said about the country's security from NATO membership has long since collapsed.","Και μιας και μιλάμε για κοστολόγηση. Πόσο άραγε κοστολογούν τα κόμματα του κεφαλαίου τη ζωή του λαού εδώ της Δυτικής Ελλάδας που ζει σε μια περιοχή που με ευθύνη όλων των κυβερνήσεων βρίσκεται στο επίκεντρο των αμερικανονατοϊκών σχεδιασμών. Με το Άκτιο, τον Άραξο, την Ανδραβίδα να γίνονται καθημερινά δυνητικοί στόχοι αντιποίνων από το αντίπαλο ιμπεριαλιστικό στρατόπεδο. Ήδη τους κόπηκε η μιλιά. Άχνα δεν βγάζουν για αυτά. Γιατί ξέρουν ότι όλα αυτά που έλεγαν περί ασφάλειας της χώρας από τη συμμετοχή στο ΝΑΤΟ έχουν καταρρεύσει προ πολλού. ",criticism,national security,other,-0.8,0.2,0.2,"[['western greece', 'location', '1.0'], ['us-nato', 'organization', '1.0'], ['aktion', 'location', '0.9'], ['araxos', 'location', '0.9'], ['andravida', 'location', '0.9'], ['nato', 'organization', '0.7']]"
8,"Only Mr. C.E. talks about them. Warning of the dangers to our people, to our country. The real needs exist and in big letters only in the program of Mr. K.E. Only the program of Koukoué opens a different way for everyone to have a permanent and stable job with 7 hours a day, 5 days a week, 35 hours a week, for everyone to have modern and safe housing, free education and health, access to sports and culture under the right to holidays and rest. These should be the demands in the 21st century, not how to get through the month.","Μόνο το κ. Κ. Ε. Μιλάει γι αυτά. Προειδοποιώντας για τους κινδύνους που ελλοχεύουν το λαό μας, για τη χώρα μας. Οι πραγματικές ανάγκες υπάρχουν και μάλιστα με μεγάλα γράμματα μόνο στο πρόγραμμα του κ. Κ. Ε. Μόνο το πρόγραμμα του Κουκουέ ανοίγει ένα διαφορετικό δρόμο για να έχουν όλοι μόνιμη και σταθερή δουλειά με 7ωρο πενθήμερο 35ωρο για να έχουν όλοι σύγχρονη και ασφαλή στέγη, δωρεάν παιδεία και υγεία, πρόσβαση στον αθλητισμό και τον πολιτισμό κάτω κατοχυρωμένο το δικαίωμα στις διακοπές, στην ανάπαυση. Αυτά έπρεπε να είναι τα ζητούμενα τον 21ο αιώνα και όχι το πώς θα βγάλουμε κακήν κακώς το μήνα. ",political agenda,employment,employment,0.75,0.1,0.2,"[['mr. c.e.', 'person', '1.0'], ['our people', 'group of people', '1.0'], ['our country', 'country', '1.0'], ['mr. k.e.', 'person', '1.0'], ['koukoué', 'organization', '1.0'], ['the 21st century', 'date', '1.0']]"
9,"And because one might well ask, influenced by all this discussion, is the JCE's programme costed? We say yes, we have costed it. And do you know how much it cost the people? Absolutely nothing. Because in the society that we want to build together with the people, all of the above ceases to be counted as a cost. On the contrary, meeting these needs to an ever greater extent will be the very purpose of production. It is for this purpose alone that the economy will move.","Και επειδή μπορεί κάποιος επηρεασμένος από όλη αυτή τη συζήτηση που γίνεται να αναρωτηθεί καλά, είναι κοστολογημένο το πρόγραμμα του ΚΚΕ; Απαντάμε Ναι, το κοστολογήσαμε. Και ξέρετε πόσο κοστίζει για το λαό; Τίποτα απολύτως. Γιατί στην κοινωνία που εμείς θέλουμε να φτιάξουμε μαζί με το λαό όλα τα παραπάνω παύουν να υπολογίζονται ως κόστος. Αντίθετα, η κάλυψη αυτών των αναγκών σε ολοένα και μεγαλύτερο βαθμό θα είναι ο ίδιος ο σκοπός της παραγωγής. Γι αυτόν και μόνο τον σκοπό θα κινείται η οικονομία. ",political agenda,economy,economic equity,0.75,0.0,0.0,"[['jce', 'organization', '0.9']]"
10,"It costs a lot, of course. Mr. C.E.'s program To those who are getting rich today, who don't know what they have and what they spend their lives and chickens on other people's work. It costs, for example, to the 150 publicly traded companies that saw their net profits increase by 303% in 2022 alone, to over 10 billion. Yes, they have a lot to lose from the implementation of our program. In fact, they stand to lose all the profits they make from the sweat of our people. They will lose the right to exploit foreign labor and they will have to start working like the rest of the world to enjoy what society will provide for everyone.","Κοστίζει πολύ βέβαια. Το πρόγραμμα του κ. Κ. Ε. Σε αυτούς που πλουτίζουν σήμερα, που δεν ξέρουν τι έχουν και τι περνάνε ζωή και κότα από τη δουλειά των άλλων. Κοστίζει για παράδειγμα στις 150 εισηγμένες στο χρηματιστήριο εταιρείες που είδαν μόνο το 2022 τα καθαρά κέρδη τους να αυξάνονται κατά 303%, να ξεπερνούν τα 10 δισεκατομμύρια. Ναι, αυτοί έχουν να χάσουν πολλά από την εφαρμογή του προγράμματός μας. Για την ακρίβεια θα χάσουν όλα τα κέρδη που βγάζουν από τον ιδρώτα του λαού μας. Θα χάσουν το δικαίωμα να εκμεταλλεύονται την ξένη εργασία και θα χρειαστεί να αρχίσουν να δουλεύουν κι αυτοί, όπως όλος ο υπόλοιπος κόσμος για να απολαμβάνουν αυτά που θα παρέχει η κοινωνία σε όλους. ",criticism,economy,banking profits,-0.8,0.0,0.0,"[['mr. c.e.', 'person', '1.0'], ['150 publicly traded companies', 'group of people', '1.0'], ['2022', 'date', '1.0']]"
