id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Friends, compañeras and compañeros, tonight we can now say it with certainty: On Sunday the KKE can become even stronger! This is how it must be and this is how it will be. We will see to it, giving our best in the coming days and hours until the polls close.  So on Sunday, the KKE can become even stronger! Yesterday Patras said so, the day before yesterday Thessaloniki, Heraklion, Lamia. Athens is shouting it today, with this huge, shocking, red-hot gathering of people and youth here in Syntagma, in the heart of Athens, in the heart of Greece: KKE strong so that the people can be strong.Yes, so that the people can be strong, that's what more and more workers, working class people, people of the working class, schoolchildren, students who are approaching our party for the first time are choosing. Because they see, they feel that if hope remains alive and bright, it is because the KKE has kept it alive and continues to keep it alive, with its attitude, with its action and above all with its political proposal that gives a way out and a perspective to the people!","Φίλες και φίλοι, συντρόφισσες και σύντροφοι,Απόψε μπορούμε πλέον να το πούμε με σιγουριά: Την Κυριακή το ΚΚΕ μπορεί να δυναμώσει ακόμα περισσότερο! Έτσι πρέπει να γίνει και έτσι θα γίνει. Θα φροντίσουμε εμείς γι αυτό, δίνοντας τον καλύτερο μας εαυτό τις επόμενες μέρες και ώρες μέχρι να κλείσει η κάλπη.  Την Κυριακή λοιπόν, το ΚΚΕ μπορεί να δυναμώσει ακόμα περισσότερο! Το είπε χτες η Πάτρα, προχθές η Θεσσαλονίκη, το Ηράκλειο, η Λαμία. Το φωνάζει σήμερα η Αθήνα, με αυτή την τεράστια, συγκλονιστική, κατακόκκινη συγκέντρωση λαού και νεολαίας εδώ στο Σύνταγμα, στην καρδιά της Αθήνας, της Ελλάδας: ΚΚΕ δυνατό για να είναι δυνατός ο λαός.Ναι, να είναι δυνατός ο λαός, αυτό επιλέγουν όλο και περισσότεροι εργάτες και εργάτριες, άνθρωποι της βιοπάλης, μαθητές, φοιτητές που για πρώτη φορά προσεγγίζουν το κόμμα μας. Γιατί βλέπουν, νιώθουν πως αν η ελπίδα παραμένει ζωντανή, φωτεινή, είναι γιατί την κράτησε και συνεχίζει να την κρατάει ζωντανή, με τη στάση του, με τη δράση του και κυρίως με την πολιτική του πρόταση που δίνει διέξοδο και προοπτική στο λαό, το ΚΚΕ!",political agenda,elections,working class,0.8,0,0,"[['kke', 'organization', '1.0'], ['patras', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['heraklion', 'location', '1.0'], ['lamia', 'location', '1.0'], ['athens', 'location', '1.0'], ['syntagma', 'location', '1.0'], ['greece', 'country', '1.0']]"
2,"Let the people be strong, say the messages of optimism coming from workplaces, neighbourhoods, schools and colleges. Because more and more people now know that a new anti-people's government is about to be formed. They may delay it a little, but it will be built by parties that share the goals of capital that is why they have a common government program. This is now a done deal. They will form a government as they did in the past, when PASOK went with ND and all together first with LAOS and then with DIMAR, when SYRIZA went with the far-right ANEL and together with ND and PASOK they loaded us with a third barbaric memorandum. They will do their job, they will form a government. And we will do ours! We will strengthen the stable, confident, militant opposition, the KKE!","Να είναι δυνατός ο λαός, λένε τα μηνύματα αισιοδοξίας που έρχονται από χώρους δουλειάς, γειτονιές, σχολεία και σχολές. Γιατί όλο και περισσότεροι πλέον ξέρουν, πως μια νέα αντιλαϊκή κυβέρνηση ετοιμάζεται να φτιαχτεί. Μπορεί να το καθυστερήσουν λίγο, αλλά θα φτιαχτεί από τα κόμματα που μοιράζονται τους στόχους του κεφαλαίου γι αυτό και έχουν κοινό κυβερνητικό πρόγραμμα. Αυτό είναι πια τελειωμένη υπόθεση. Θα φτιάξουν κυβέρνηση όπως έκαναν και στο παρελθόν, όταν το ΠΑΣΟΚ πήγε με τη ΝΔ και όλοι μαζί πρώτα με το ΛΑΟΣ και μετά με τη ΔΗΜΑΡ, όταν ο ΣΥΡΙΖΑ πήγε με τους ακροδεξιούς ΑΝΕΛ και μαζί με τη ΝΔ και το ΠΑΣΟΚ μας φόρτωσαν ένα τρίτο βάρβαρο μνημόνιο. Αυτοί θα κάνουν τη δουλειά τους, θα σχηματίσουν κυβέρνηση. Κι εμείς θα κάνουμε τη δική μας! Θα δυναμώσουμε τη σταθερή, τη σίγουρη, τη μαχητική αντιπολίτευση, το ΚΚΕ! ",criticism,elections,other,-0.4,0.6,0,"[['kke', 'organization', '1.0'], ['pasok', 'political party', '0.8'], ['nd', 'political party', '0.8'], ['laos', 'political party', '0.6'], ['dimar', 'political party', '0.6'], ['syriza', 'political party', '0.6']]"
3,"They alone and all of us! They alone should be in a hurry to legislate the more than 300 unpopular preconditions of the Recovery Fund that are in their drawers, in order to finance directly the needs of the business groups and not, of course, the needs of the people and the youth. Running to catch the numbers and targets for the ""investment grade"" on top of the crushed rights of workers and their squeezing. To put various cosmetic adjectives, even colours, in front of the notorious ""development"" to cover up the fact that capitalist development is black and crude, because it stems from exploitation and increases the deadlocks in the lives of the people.They alone can compete with each other to see who and how to implement more effectively the commitments to the US and NATO butchers, commitments that the people will pay for, both literally and metaphorically.","Αυτοί μόνοι τους κι εμείς όλοι μας! Αυτοί μόνοι τους να βιάζονται να νομοθετήσουν τα πάνω από 300 αντιλαϊκά προαπαιτούμενα του Ταμείου Ανάκαμψης που είναι στα συρτάρια τους, για να χρηματοδοτηθούν άμεσα οι ανάγκες των επιχειρηματικών ομίλων και όχι, βέβαια, οι ανάγκες του λαού και της νεολαίας. Να τρέχουν για να πιαστούν τα νούμερα και οι στόχοι για την «επενδυτική βαθμίδα» πάνω στα τσακισμένα δικαιώματα των εργαζομένων και το ξεζούμισμά τους. Να βάζουν διάφορα κοσμητικά επίθετα, ακόμα και χρώματα, μπροστά από την περιβόητη «ανάπτυξη», για να καλύψουν ότι η καπιταλιστική ανάπτυξη είναι μαύρη και άραχνη, γιατί πηγάζει από την εκμετάλλευση και μεγαλώνει τα αδιέξοδα στη ζωή του λαού.Αυτοί μόνοι τους να διαγκωνίζονται μεταξύ τους για το ποιος και πώς θα υλοποιήσουν πιο αποτελεσματικά τις δεσμεύσεις απέναντι στους μακελάρηδες των ΗΠΑ και του ΝΑΤΟ, δεσμεύσεις που τις πληρώσει ο λαός και κυριολεκτικά και μεταφορικά.Αυτοί μόνοι τους κι εμείς όλοι μας! ",criticism,economy,other,-0.9,0.75,0.8,"[['recovery fund', 'organization', '0.6'], ['business groups', 'group of people', '0.3'], ['people', 'group of people', '0.6'], ['youth', 'group of people', '0.3'], ['workers', 'group of people', '0.5'], ['us', 'country', '0.7'], ['nato', 'organization', '0.8']]"
4,"The great popular majority, by organizing our struggle everywhere to give our people a breathing space from the suffocation of the anti-people's measures, to put obstacles to new anti-people's measures, to delay any negative development against us, to have conquests and individual victories. And above all, through all this, to pave the way for the overall satisfaction of the modern social needs of the people.   All this can only happen in one way: with a strong KKE, so that the people, the working people's movement, can be strong. In this ""all of us"", more and more working people, working people, young people, see themselves, who are not anxious about what will come out of the bargaining of the bourgeois political system, about which anti-people's government will take the baton, about who will cooperate with whom. And they now realize that the ""one goes and the other comes"" of the same ilk always turns out to be ""one worse than the other"". More and more people are taking a stand in this ""all of us"", who now arrive at the ballot box with the criterion, not who and with whom they will govern, as the ND, SYRIZA and closely followed by PASOK are blackmailing, but who will face them! That is why, without a second thought, even without agreeing with us on everything, they choose the KKE ticket.  And many more, we know that they have almost decided, together with people close to them, to turn their backs on the parties of the system that brought us to this point, they end up voting for the KKE for the first time in their lives. Let them do it! That's what we are telling them from this magnificent gathering! You are not alone! There are many thousands of young people, and even older people who think like you. Make your thought your decision and your decision your action on Sunday. Go to the ballot box with the red ballot paper of struggle, of hope, of optimism. Make it a surprise! And the surprise can only be the electoral percentage of the JCD! Pleasant for the people, unpleasant for the enemies of the people.","Η μεγάλη λαϊκή πλειοψηφία, με την οργάνωση του αγώνα μας  παντού για να πάρει ανάσα ο λαός μας από την ασφυξία των αντιλαϊκών μέτρων, να βάλουμε εμπόδια σε νέα αντιλαϊκά μέτρα, να καθυστερούμε κάθε αρνητική εξέλιξη σε βάρος μας, να έχουμε και κατακτήσεις και επιμέρους νίκες. Και κυρίως, μέσα απ’ όλα αυτά να ανοίγουμε τον δρόμο για την συνολική ικανοποίηση των σύγχρονων κοινωνικών λαϊκών αναγκών.   Όλα αυτά, μόνο με ένα τρόπο μπορούν να συμβούν: με δυνατό ΚΚΕ για να είναι δυνατός ο λαός, το εργατικό λαϊκό κίνημα. Σ’ αυτό το “όλοι μας”, βλέπουν τον εαυτό τους όλο και περισσότεροι εργαζόμενοι, άνθρωποι του μόχθου, νέοι άνθρωποι, οι οποίοι, δεν αγωνιούν τι θα βγει από τα παζάρια του αστικού πολιτικού συστήματος, για το ποια αντιλαϊκή κυβέρνηση θα πάρει την σκυτάλη, για το ποιος θα συνεργαστεί με ποιον. Και πλέον αντιλαμβάνονται πως το “να φύγει ο ένας και να έρθει ο άλλος” ίδιας κοπής, πάντα αποδεικνύεται “ο ένας χειρότερος από τον άλλο”. Σ’ αυτό το “όλοι μας” παίρνουν θέση όλο και περισσότεροι, που τώρα φτάνουν στην κάλπη με κριτήριο, όχι ποιος και με ποιον θα κυβερνήσει, όπως εκβιάζουν η ΝΔ, ο ΣΥΡΙΖΑ και από κοντά το ΠΑΣΟΚ, αλλά ποιος θα τους αντιμετωπίσει! Γι αυτό και χωρίς δεύτερη σκέψη, ακόμα και χωρίς να συμφωνούν σε όλα μαζί μας, επιλέγουν το ψηφοδέλτιο του ΚΚΕ.  Και άλλοι πολλοί ακόμα, ξέρουμε πως έχουν σχεδόν αποφασίσει, μαζί και με κοντινούς τους ανθρώπους, να γυρίσουν την πλάτη στα κόμματα του συστήματος που μας έφεραν ως εδώ καταλήγουν να ψηφίσουν το ΚΚΕ για πρώτη φορά στη ζωή τους. Να το κάνουν! Αυτό τους λέμε κι από αυτή εδώ τη μεγαλειώδη συγκέντρωση! Δεν είστε μόνοι σας! Είναι πολλές χιλιάδες νέοι άνθρωποι, αλλά και μεγαλύτεροι αυτοί που σκέφτονται όπως εσείς. Καν’ τε τη σκέψη σας απόφαση και την απόφασή σας πράξη την Κυριακή. Πηγαίνετε στην κάλπη με το κόκκινο ψηφοδέλτιο του αγώνα, της ελπίδας, της αισιοδοξίας. Κάντε την έκπληξη! Και η έκπληξη μπορεί να είναι μόνο το εκλογικό ποσοστό του ΚΚΕ! Ευχάριστη για το λαό, δυσάρεστη για τους εχθρούς του λαού.",political agenda,elections,election spending,-0.2,0.6,0.6,"[['kke', 'organization', '1.0'], ['nd', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['jcd', 'organization', '1.0']]"
5,"Let ND, SYRIZA, PASOK and others share the roles of winners and losers among themselves. You, however, will be the winners, because strengthening the KKE is a gain for the people and their struggles.You know that! The vote for the KKE stays with the KKE, it is not changed, it is not redeemed, it is not bargained. Every vote in the KKE will be deposited in every workplace the next day, to increase the wage, to prevent any dismissal, to sign a collective agreement. Every vote for the KKE adds a link to the human chain of struggle for the survival of the self-employed professional, the self-employed farmer. It increases the human chain of solidarity, so that the people's family does not lose its home, so that its children have all the necessary things, their education, their health care, their sports, their culture. Every vote for the KKE will remain on the ramparts of the struggle, of the defence of the dikis, who ""will not settle for less sky"".","Αφήστε τη ΝΔ, τον ΣΥΡΙΖΑ, το ΠΑΣΟΚ και τους άλλους να μοιραστούν τους ρόλους των νικητών και των ηττημένων, μεταξύ τους. Εσείς πάντως θα είστε οι κερδισμένοι, γιατί η ενίσχυση του ΚΚΕ είναι κέρδος για τον ίδιο το λαό και τους αγώνες του.Το ξέρετε! Η ψήφος στο ΚΚΕ μένει στο ΚΚΕ, δεν μεταλλάσσεται, δεν εξαργυρώνεται, δεν παζαρεύεται. Η κάθε ψήφος στο ΚΚΕ, την επόμενη μέρα, θα κατατεθεί σε κάθε χώρο δουλειάς, για να αυξηθεί το μεροκάματο, για να μη γίνει καμιά απόλυση, για να υπογραφεί συλλογική σύμβαση. Η κάθε ψήφος στο ΚΚΕ προσθέτει και έναν κρίκο στην ανθρώπινη αλυσίδα του αγώνα, για την επιβίωση του αυτοαπασχολούμενου επαγγελματία, του βιοπαλαιστή αγρότη. Μεγαλώνει την ανθρώπινη αλυσίδα της αλληλεγγύης, για να μην χάσει το σπίτι της η λαϊκή οικογένεια, για να έχουν τα παιδιά της όλα τα απαραίτητα, την μόρφωσή τους, την ιατροφαρμακευτική τους περίθαλψη, την άθλησή τους, τον πολιτισμό τους. Η κάθε ψήφος στο ΚΚΕ θα μείνει στις επάλξεις του αγώνα, της υπεράσπισης του δίκιου, που «δεν βολεύεται με λιγότερο ουρανό». ",political agenda,elections,other,1,0.2,0.2,"[['nd', 'organization', '0.6'], ['syriza', 'political party', '0.6'], ['pasok', 'political party', '0.6'], ['kke', 'organization', '1.0'], ['people', 'group of people', '0.8'], ['self-employed professional', 'group of people', '0.7'], ['self-employed farmer', 'group of people', '0.7'], ['children', 'group of people', '0.7'], ['workplace', 'location', '0.8'], ['home', 'location', '0.7'], ['country', 'country', '1.0'], ['date', 'date', '1.0']]"
6,"After all, during these 4 years, many times we were all together in the streets of struggle and they were alone in the chairs of power.How else were collective agreements signed with wage increases in a number of areas?How else were anti-employer plans of the employers cancelled by the workers of COSCO, E-food, LARCO? How a spark created whole pockets of resistance in important workplaces and sectors, which became a reference point for the whole working class?With a hard class, unyielding struggle and a clear understanding that for the workers to win, capital must lose. How were people's houses saved, and auctions and evictions cancelled? Was it by choosing between plans that have at their core the stability of the banking system and the profitability of the funds, the crows? NO! They were saved when the people turned to their unions, to the neighbourhood, to the communist deputies and, together, kicked out the crows.How did unjust laws and provisions, such as the law on the restriction of demonstrations by Chrysochoidis or most of the provisions of the Hatzidakis law, remain on paper? How did the students manage to withdraw the thoughts of police entry into universities? Was it by voting in favour of 50% of the ND laws, as SYRIZA did, or 70%, as PASOK did? Or maybe by waiting for ""conditions to mature"" and another ""muff"" supposedly progressive government to come along and abolish these laws, as it did, supposedly, with the memoranda?","Άλλωστε αυτά τα 4 χρόνια, πολλές φορές ήμασταν όλοι εμείς μαζί στους δρόμους του αγώνα και αυτοί ήταν μόνοι τους στις καρέκλες της εξουσίας.Πώς αλλιώς υπογράφτηκαν συλλογικές συμβάσεις εργασίας με αυξήσεις στους μισθούς σε μια σειρά χώρους;Πώς ακυρώθηκαν αντεργατικοί σχεδιασμοί της εργοδοσίας από τους  εργαζόμενους της COSCO, της E-food, της ΛΑΡΚΟ; Πώς μια σπίθα δημιούργησε ολόκληρες εστίες αντίστασης σε σημαντικούς χώρους και κλάδους δουλειάς, που έγιναν σημείο αναφοράς για όλη την εργατική τάξη;Με σκληρό ταξικό ανυποχώρητο αγώνα και καθαρό το ότι, για να κερδίσουν οι εργάτες, πρέπει να χάσει το κεφάλαιο. Πώς σώθηκαν λαϊκά σπίτια, και ακυρώθηκαν πλειστηριασμοί και εξώσεις; Μήπως επιλέγοντας ανάμεσα σε σχέδια που έχουν στον πυρήνα τους τη σταθερότητα του τραπεζικού συστήματος και την κερδοφορία των funds, των κορακιών; ΟΧΙ! Σώθηκαν, όταν οι άνθρωποι απευθύνθηκαν στα σωματεία τους, στη γειτονιά, στους κομμουνιστές βουλευτές και, όλοι μαζί, έδιωξαν με τις κλωτσιές τα κοράκια.Πώς έμειναν στα χαρτιά άδικοι νόμοι και διατάξεις, όπως ο νόμος για τον περιορισμό των διαδηλώσεων του Χρυσοχοΐδη ή οι περισσότερες διατάξεις του νόμου Χατζηδάκη; Πώς κατάφεραν οι φοιτητές να αποσυρθούν οι σκέψεις για είσοδο της αστυνομίας στα πανεπιστήμια; Μήπως υπερψηφίζοντας το 50% των νόμων της ΝΔ, όπως έκανε ο ΣΥΡΙΖΑ ή το 70%, όπως έκανε το ΠΑΣΟΚ; Ή μήπως, περιμένοντας “να ωριμάσουν οι συνθήκες” και να έρθει μια άλλη «μούφα» δήθεν προοδευτική κυβέρνηση που θα καταργήσει αυτούς τους νόμους, όπως έκανε, δήθεν, και με τα μνημόνια;",criticism,employment,workers' rights,0,0.9,0.2,"[['cosco', 'organization', '0.5'], ['e-food', 'organization', '0.5'], ['larco', 'organization', '0.5'], ['working class', 'group of people', '1.0'], ['capital', 'organization', '0.5'], ['banking system', 'organization', '0.5'], ['funds', 'organization', '0.5'], ['unions', 'organization', '0.5'], ['neighbourhood', 'location', '1.0'], ['communist deputies', 'group of people', '1.0'], ['chrysochoidis', 'person', '1.0'], ['hatzidakis', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['memoranda', 'date', '1.0']]"
7,"No. The struggling people did it without expecting anything from above. It did it by looking where the struggle is organized, in the unions, in the associations, in the struggle committees. It did it by fighting daily against this barbaric policy and the repression that accompanies it. By disobedience and indiscipline against unjust laws. By putting forward his right. And by putting into practice ""only the people save the people"".This is how our lives are improved directly. And all these examples have one thing in common: that the communists gave their best, were the mind, heart and organizer of these struggles. With a stronger Communist Party, these struggles can become even stronger, more effective. There on the front line in every workplace, in every neighbourhood, everywhere where a battle of our people is being fought, will be the KKE deputies.","Όχι. Τα κατάφερε ο αγωνιζόμενος λαός χωρίς να περιμένει τίποτα από πάνω. Τα κατάφερε κοιτώντας εκεί που οργανώνεται η πάλη, στα σωματεία, στους συλλόγους, στις επιτροπές αγώνα. Τα κατάφερε με καθημερινή μάχη κόντρα σε αυτή την βάρβαρη πολιτική και την καταστολή που τη συνοδεύει. Με ανυπακοή και απειθαρχία απέναντι σε άδικους νόμους. Βάζοντας μπροστά το  δίκιο του. Και κάνοντας πράξη το “μόνο ο λαός σώζει το λαό”.Έτσι βελτιώνεται, λοιπόν, η ζωή μας άμεσα. Και όλα αυτά τα παραδείγματα έχουν ένα κοινό χαρακτηριστικό: ότι οι κομμουνιστές έδωσαν τον καλύτερο εαυτό τους, ήταν ο νους, η καρδιά και ο οργανωτής αυτών των αγώνων. Με πιο δυνατό ΚΚΕ αυτοί οι αγώνες μπορούν να δυναμώσουν ακόμα περισσότερο, να γίνουν πιο αποτελεσματικοί. Εκεί στην πρώτη γραμμή σε κάθε χώρο δουλειάς, σε κάθε γειτονιά, παντού όπου δίνεται μια μάχη του λαού μας θα βρίσκονται και οι βουλευτές του ΚΚΕ. ",political agenda,elections,other,0,0,0,"[['struggling people', 'group of people', '1.0'], ['unions', 'organization', '0.8'], ['associations', 'organization', '0.8'], ['struggle committees', 'organization', '0.8'], ['barbaric policy', 'organization', '0.4'], ['repression', 'organization', '0.4'], ['communists', 'group of people', '1.0'], ['communist party', 'political party', '1.0'], ['kke deputies', 'group of people', '1.0']]"
8,"Ladies and friends Compañeras and compañeros At the ballot boxes on Sunday, we want to meet again with those who were with us in the popular struggles of the past four years. We want to be with those who voted for the forces of the KKE wherever and whenever ballot boxes were set up during these four years: The hundreds of thousands of public and private sector workers who made us a second force in the GSEE and ADEDY. The workers of Athens who made us the first force in the largest labour centre of the country and in other labour centres that changed hands after years, that massed workers' unions, formed struggle committees. To meet again with the pensioners who never gave up the struggle for a decent life, with the parents, teachers and students, who met in the mobilizations for the obvious in a school that exterminates instead of educating our children. With the artists who fought through their unions for their labour rights, for an artistic education up to the level of modern needs. Because the KKE is the force that has put its stamp on culture, with struggles, ideas and actions.","Φίλες και φίλοι Συντρόφισσες και σύντροφοι Στις κάλπες της Κυριακής, θέλουμε να ξαναβρεθούμε με όσους και όσες βρεθήκαμε στους λαϊκούς αγώνες της τετραετίας που πέρασε. Θέλουμε να βρεθούμε με όσους ψήλωσαν τις δυνάμεις του ΚΚΕ όπου και όποτε στήθηκαν κάλπες αυτή την τετραετία: Τους εκατοντάδες χιλιάδες εργαζόμενους του δημόσιου και ιδιωτικού τομέα που μας ανέδειξαν σε δεύτερη δύναμη στη ΓΣΕΕ και την ΑΔΕΔΥ. Τους εργαζόμενους της Αθήνας που μας ανέδειξαν σε πρώτη δύναμη στο μεγαλύτερο εργατικό κέντρο της χώρας και σε άλλα εργατικά κέντρα που άλλαξαν χέρια μετά από χρόνια, που μαζικοποίησαν εργατικά σωματεία, συγκρότησαν επιτροπές αγώνα. Να βρεθούμε ξανά με τους συνταξιούχους που δεν παραιτήθηκαν ποτέ από τον αγώνα για μια αξιοπρεπή ζωή, με τους γονείς, τους εκπαιδευτικούς και τους μαθητές, που συναντηθήκαμε στις κινητοποιήσεις για τα αυτονόητα σε ένα σχολείο που εξοντώνει αντί να μορφώνει τα παιδιά μας. Με τους καλλιτέχνες που πάλεψαν μέσα από τα σωματεία τους για τα εργασιακά τους δικαιώματα, για μια καλλιτεχνική εκπαίδευση στο ύψος των σύγχρονων αναγκών. Γιατί το ΚΚΕ είναι η δύναμη που έχει βάλει την σφραγίδα του στον πολιτισμό, με αγώνες, ιδέες και πράξεις. ",political agenda,elections,working class,0,0.2,0,"[['kke', 'organization', '1.0'], ['gsee', 'organization', '1.0'], ['adedy', 'organization', '1.0'], ['athens', 'location', '1.0'], ['greece', 'country', '1.0']]"
9,"To meet again with the thousands of students who for the second time have made the Panspoudasistiki, the party supported by the KNE, the leading force in the student elections, leaving the GDR of the New Democracy Party in second place, with a ten point difference, giving courage and strength to old and young fighters.You all know by now, from your great experience with those who have governed until today, that nothing has changed and nothing is as it used to be! Nothing has changed in the strategy of ND, SYRIZA, PASOK and the rest. They may start from a different starting point, they may take some detours, but the destination remains the same for everyone: The voracious profits of big capital that leaves only scraps and misery for the people. This is the criterion on which they have based their programmes, which is why the titles in the contents are the same. This is the yardstick by which they price their supposed benefits, which is why they always add an 'if'. ""If"" the capitalist economy holds up, ""if the fiscal balance is not disturbed""... and so on. They measure the needs of the people and because, they say, they cost too much, they have already written them off. They have long since been written off by the rotten system of exploitation that is cowering in its deadlocks, which is why it is getting worse and worse for the people... And let Mitsotakis, Tsipras and, closely followed by Androulakis, say whatever they want. No matter what they say, no matter how they say it, the workers are on to them","Να βρεθούμε ξανά με τους χιλιάδες φοιτητές που για δεύτερη φορά ανέδειξαν σε πρώτη δύναμη στις φοιτητικές εκλογές την Πανσπουδαστική, την παράταξη που στηρίζει η ΚΝΕ, αφήνοντας τη ΔΑΠ της ΝΔ δεύτερη, με δέκα μονάδες διαφορά, δίνοντας κουράγιο και δύναμη σε παλιούς και νέους αγωνιστές.Όλοι ξέρετε πια, από την μεγάλη πείρα σας με όσους κυβέρνησαν έως σήμερα, πως τίποτα δεν έχει αλλάξει αλλά και τίποτα δεν είναι όπως παλιά! Τίποτα δεν έχει αλλάξει στη στρατηγική της ΝΔ, του ΣΥΡΙΖΑ, του ΠΑΣΟΚ και των υπολοίπων. Μπορεί να ξεκινούν από διαφορετική αφετηρία, να κάνουν ορισμένες παρακάμψεις, ο προορισμός όμως παραμένει ο ίδιος για όλους: Τα αδηφάγα κέρδη του μεγάλου κεφαλαίου που για το λαό αφήνει μόνο τα αποφάγια και την μιζέρια. Με αυτό το κριτήριο έχουν διαμορφώσει τα προγράμματά τους, γι αυτό οι τίτλοι στα περιεχόμενα, είναι ίδιοι. Με αυτή τη μεζούρα κοστολογούν τις υποτιθέμενες  παροχές τους, για αυτό προσθέτουν πάντα ένα “αν”. «Αν» αντέχει η καπιταλιστική οικονομία, «αν δεν διαταράσσεται η δημοσιονομική ισορροπία»… και βάλε. Μετράνε τις ανάγκες του λαού και επειδή, λένε, ότι κοστίζουν πολύ, τις έχουν ήδη διαγράψει. Τις έχει προ πολλού διαγράψει το σάπιο σύστημα της εκμετάλλευσης που βολοδέρνει στα αδιέξοδά του, γι αυτό γίνεται όλο και χειρότερο για το λαό… Και ας λένε ότι θέλουν ο Μητσοτάκης, ο Τσίπρας και από κοντά και ο Ανδρουλάκης. Ό,τι και να πουν, όπως κι αν τα πουν, οι εργαζόμενοι τους έχουν πάρει χαμπάρι",criticism,economy,austerity,-0.8,0.2,0.3,"[['panspoudasistiki', 'organization', '1.0'], ['kne', 'political party', '0.9'], ['gdr', 'political party', '0.9'], ['new democracy party', 'political party', '0.9'], ['nd', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.8'], ['mitsotakis', 'person', '0.7'], ['tsipras', 'person', '0.7'], ['androulakis', 'person', '0.6']]"
10,"That's why Mr Tsipras is screaming that we are putting him in the same bag as Mitsotakis. But he put himself in the bag when he voted for the 3rd brutal memorandum, making use of the tolerance offered to him by ND and PASOK at the time... And then, as the opposition, he stood back and voted for the 200 unpopular bills of ND. This is what former voters of SYRIZA see today, abandoning him and looking to the KKE. No further proof is needed. The needle has been stuck in the 1950s for the last few weeks. To the ""what Plastiras, what Papagos"" that Tsipras monotonously repeats to attack the KKE. I guess, Mr. Tsipras, in keeping with historical proportions, claims to be the successor of Plastira; but we are the successors of Nikos Belogiannis, who was sent to the firing squad by Plastira, the Americans and the Palace.","Γι αυτό και ο κ. Τσίπρας ωρύεται ότι τον βάζουμε στο ίδιο τσουβάλι με τον Μητσοτάκη. Αλλά μόνος του μπήκε μέσα στο τσουβάλι, όταν ψήφισε το 3ο βάρβαρο μνημόνιο κάνοντας χρήση της ανοχής που τού πρόσφερε τότε η ΝΔ και το ΠΑΣΟΚ… Κι όταν μετά, ως αντιπολίτευση, έβαζε πλάτη και ψήφιζε τα 200 αντιλαϊκά νομοσχέδια της ΝΔ. Αυτά βλέπουν και σήμερα πρώην ψηφοφόροι του ΣΥΡΙΖΑ, τον εγκαταλείπουν και προσβλέπουν στο ΚΚΕ. Δεν χρειάζεται άλλη απόδειξη. Έχει κολλήσει τις τελευταίες βδομάδες η βελόνα στο 1950. Στο «τι Πλαστήρας, τι Παπάγος» που επαναλαμβάνει μονότονα ο Τσίπρας για να επιτεθεί στο ΚΚΕ. Μάλλον, ο κ. Τσίπρας τηρουμένων των ιστορικών αναλογιών, διεκδικεί να είναι ο συνεχιστής του Πλαστήρα.Όμως, εμείς είμαστε οι συνεχιστές του Νίκου Μπελογιάννη, τον οποίο έστειλε στο εκτελεστικό απόσπασμα ο Πλαστήρας, οι Αμερικάνοι και το Παλάτι. ",criticism,elections,austerity,-0.8,0.6,0.1,"[['mr tsipras', 'person', '0.9'], ['mitsotakis', 'person', '0.8'], ['nd', 'organization', '0.7'], ['pasok', 'organization', '0.7'], ['syriza', 'political party', '0.9'], ['kke', 'political party', '0.8'], ['plastiras', 'person', '0.7'], ['papagos', 'person', '0.7'], ['nikos belogiannis', 'person', '0.8'], ['americans', 'group of people', '0.6'], ['palace', 'location', '0.7']]"
