id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Welcome to the presentation of the programme for the next four years of the New Democracy. Today, we will attempt to do something different from the usual presentations, the usual speeches, a list of measures. Rarely, you know, are these programmes read by the citizens. So, today I will attempt to tell you a story, how I envision Greece in four years, a story that started four years ago, when we basically laid the foundations for the Greece we envision. I think that we listened with great interest to the - I believe - objective statements of five young people, who described to us the important steps of progress that have been made and the great leaps that need to be made so that our country can truly become a European country. It is about these great leaps that I want to talk to you today. But these leaps require a solid foundation. They are the foundations that we laid in the first four years of the New Democracy. You remember that in 2019 I also told you that Greece cannot be changed in four years, and I still believe that this is true. But we have made very important steps forward and these steps forward must be continued. The dilemma of whether to go forward or to turn back is more relevant today than ever.","Καλώς ήρθατε στην παρουσίαση του προγράμματος της επόμενης τετραετίας της Νέας Δημοκρατίας. Σήμερα, θα επιχειρήσουμε να κάνουμε κάτι διαφορετικό από τις συνηθισμένες παρουσιάσεις, τις συνηθισμένες ομιλίες, έναν κατάλογο μέτρων. Σπανίως, ξέρετε, αυτά τα προγράμματα διαβάζονται από τους πολίτες. Θα επιχειρήσω, λοιπόν, σήμερα να σας πω μία ιστορία, πώς οραματίζομαι την Ελλάδα σε τέσσερα χρόνια, μία ιστορία η οποία ξεκίνησε πριν από τέσσερα χρόνια, όταν βάλαμε ουσιαστικά τα θεμέλια για την Ελλάδα την οποία οραματιζόμαστε. Νομίζω ότι ακούσαμε με πολύ ενδιαφέρον τις -πιστεύω- αντικειμενικές τοποθετήσεις πέντε νέων ανθρώπων, οι οποίοι μας περιέγραψαν τα σημαντικά βήματα προόδου τα οποία έχουν γίνει αλλά και τα μεγάλα άλματα τα οποία πρέπει να γίνουν, έτσι ώστε η πατρίδα μας να γίνει πραγματικά μία ευρωπαϊκή χώρα. Γι’ αυτά τα μεγάλα άλματα θέλω να σας μιλήσω σήμερα. Αυτά τα άλματα, όμως, απαιτούν στέρεα θεμέλια. Είναι τα θεμέλια τα οποία βάλαμε την πρώτη τετραετία της Νέας Δημοκρατίας. Θυμάστε ότι και το 2019 σας είχα πει ότι η Ελλάδα δεν μπορεί να αλλάξει σε μια τετραετία και εξακολουθώ να πιστεύω ότι αυτό είναι αλήθεια. Όμως κάναμε πολύ σημαντικά βήματα προόδου κι αυτά τα βήματα προόδου επιβάλλεται να τα συνεχίσουμε. Το δίλημμα αν θα πάμε μπροστά ή αν θα γυρίσουμε πίσω είναι σήμερα περισσότερο επίκαιρο παρά ποτέ.",political agenda,elections,other,0.0,0.1,0.0,"[['new democracy', 'organization', '1.0'], ['greece', 'country', '1.0'], ['european country', 'location', '0.8'], ['2019', 'date', '1.0']]"
2,"So let's see how we perceive progress and how we can really build on the great successes of a four-year period in which - I remind you - we faced a series of unprecedented challenges and major crises, which certainly forced us to react. To protect the country, but at the same time to implement our electoral programme. Productive Greece. A Greece that grows, a Greece that produces new jobs, a Greece that improves the income of all Greek women and all Greeks.","Πάμε να δούμε, λοιπόν, πώς αντιλαμβανόμαστε την πρόοδο και πώς μπορούμε πραγματικά να χτίσουμε πάνω στις μεγάλες επιτυχίες μιας τετραετίας στην οποία -θυμίζω- αντιμετωπίσαμε μια σειρά από πρωτοφανείς προκλήσεις και μεγάλες κρίσεις, οι οποίες σίγουρα μας ανάγκασαν να αντιδράσουμε. Να προστατεύσουμε τη χώρα, αλλά ταυτόχρονα να υλοποιήσουμε το προεκλογικό μας πρόγραμμα. Παραγωγική Ελλάδα. Η Ελλάδα η οποία αναπτύσσεται, η Ελλάδα η οποία παράγει νέες θέσεις εργασίας, η Ελλάδα η οποία βελτιώνει το εισόδημα όλων των Ελληνίδων και όλων των Ελλήνων.",political agenda,employment,employment,0.8,0.0,0.0,"[['greece', 'country', '1.0'], ['greeks', 'group of people', '1.0']]"
3,"Growth is the foundation on which our economic policy is built. If we do not have growth, we cannot finance the welfare state, we will not have resources for defence, we will not be able to spend more resources on education, on health. So the growth in the four years 2019-2022 was actually almost twice the average growth of the euro area. Make the comparison, where we were from 2015 to 2019. We had essentially under four times the growth rate of the European Union countries. And it's precisely this growth leap that we were able to achieve and that we achieved is what allowed us to support society during the coronoid, to be able to simultaneously reduce public debt by 40 percentage points. To have laid the foundations for a growth policy that will not jeopardise fiscal stability. For me, safeguarding fiscal stability is an inviolable condition and a contract of trust with the new generation. So that we never again reach the point where the country faces the spectre of bankruptcy.","Η ανάπτυξη είναι το θεμέλιο πάνω στο οποίο χτίζεται η οικονομική μας πολιτική. Εάν δεν έχουμε ανάπτυξη, δεν μπορούμε να χρηματοδοτήσουμε το κοινωνικό κράτος, δεν θα έχουμε πόρους για την άμυνα, δεν θα μπορέσουμε να δαπανήσουμε παραπάνω πόρους για την παιδεία, για την υγεία. Η ανάπτυξη, λοιπόν, της τετραετίας 2019-2022 ήταν ουσιαστικά σχεδόν δύο φορές μεγαλύτερη από την μέση ανάπτυξη της ευρωζώνης. Κάντε τη σύγκριση, πού ήμασταν από το 2015 έως το 2019. Είχαμε ουσιαστικά υποτετραπλάσιο ρυθμό ανάπτυξης σε σχέση με τις χώρες της Ευρωπαϊκής Ένωσης. Και αυτό ακριβώς το αναπτυξιακό άλμα το οποίο μπορέσαμε και πετύχαμε είναι αυτό το οποίο μας επέτρεψε να στηρίξουμε την κοινωνία στη διάρκεια του κορονοϊού, να μπορέσουμε ταυτόχρονα να μειώσουμε το δημόσιο χρέος κατά 40 ποσοστιαίες μονάδες. Να έχουμε θέσει τα θεμέλια για μία αναπτυξιακή πολιτική η οποία δεν θα θέσει σε κίνδυνο τη δημοσιονομική σταθερότητα. Για εμένα η διαφύλαξη της δημοσιονομικής σταθερότητας αποτελεί όρο απαράβατο και συμβόλαιο εμπιστοσύνης με τη νέα γενιά. Για να μην φτάσουμε ποτέ ξανά στο σημείο η χώρα να βρεθεί αντιμέτωπη με το φάσμα της χρεοκοπίας.",political agenda,economy,economic crisis,0.8,0.0,0.0,"[['euro area', 'location', '0.5'], ['european union', 'organization', '0.5'], ['2019-2022', 'date', '0.5'], ['2015-2019', 'date', '0.5'], ['coronoid', 'organization', '0.2'], ['40 percentage points', 'date', '0.2']]"
4,"And this growth that we have achieved, we have achieved it not through consumption, which was financed by borrowing, but primarily through investment. You may recall that when I spoke in this room in 2019, I told you that the biggest challenge we will face is how to bridge the gap between us and the European Union in terms of investment as a percentage of GDP. We have made very significant steps forward. But, at the same time, this slide reflects the absolute consistency of the words and actions of the New Democracy government.","Και αυτή την ανάπτυξη την οποία πετύχαμε, την πετύχαμε όχι με κατανάλωση η οποία χρηματοδοτήθηκε με δανεικά, την πετύχαμε πρωτίστως μέσα από επενδύσεις. Ίσως θυμάστε ότι όταν είχα μιλήσει σε αυτόν εδώ το χώρο το 2019, σας είχα πει ότι η μεγαλύτερη πρόκληση που θα κληθούμε να αντιμετωπίσουμε είναι πώς θα γεφυρώσουμε το χάσμα που μας χωρίζει από την Ευρωπαϊκή Ένωση ως προς τις επενδύσεις ως ποσοστό του ΑΕΠ. Κάναμε πολύ σημαντικά βήματα προόδου. Αλλά, ταυτόχρονα αυτό το slide αποτυπώνει την απόλυτη συνέπεια λόγων και πράξεων της κυβέρνησης της Νέας Δημοκρατίας.",political agenda,economy,investments,0.6,0.0,0.0,"[['i', 'person', '0.95'], ['european union', 'organization', '0.95'], ['gdp', 'organization', '0.7'], ['new democracy government', 'political party', '0.8']]"
5,"I told you that we would reduce taxes and contributions, we have reduced taxes and contributions. Everything mentioned here, at least the first five points, were explicit commitments in our election programme. In fact, on the ENVIA, we even went beyond what we told you and reduced the ENVIA by 35%, not 30% as we had committed to. And of course, the last point, point 6, the effective abolition of parental donations for first-degree relatives, was an additional political intervention that we had not mentioned during the election campaign. I stress again that we reduced all these taxes without compromising fiscal stability and contradicting those ""Cassandras"" who claimed that during Covid and during the energy crisis we were spending beyond our means. The official Eurostat figures came in, they were solemnly refuted. The country managed in 2022, for the first time, to produce a primary surplus despite tax cuts.","Σας είχα πει ότι θα μειώσουμε τους φόρους και τις εισφορές, μειώσαμε τους φόρους και τις εισφορές. Ό,τι αναφέρεται εδώ, τουλάχιστον τα πέντε πρώτα σημεία, αποτελούσαν ρητές δεσμεύσεις του προεκλογικού μας προγράμματος. Μάλιστα, στον ΕΝΦΙΑ ξεπεράσαμε και αυτά τα οποία σας είχαμε πει και μειώσαμε τον ΕΝΦΙΑ κατά 35%, όχι κατά 30% όπως είχαμε δεσμευτεί. Και βέβαια, το τελευταίο σημείο, το σημείο 6, η ουσιαστική κατάργηση των γονικών παροχών δωρεών για συγγενείς πρώτου βαθμού, αποτέλεσε πρόσθετη πολιτική παρέμβαση στην οποία δεν είχαμε αναφερθεί προεκλογικά. Τονίζω και πάλι ότι μειώσαμε όλους αυτούς τους φόρους χωρίς να θέσουμε σε κίνδυνο τη δημοσιονομική σταθερότητα και διαψεύδοντας εκείνες τις «Κασσάνδρες» που ισχυρίζονταν ότι στη διάρκεια του Covid και στη διάρκεια της ενεργειακής κρίσης ξοδεύαμε περισσότερα από τις δυνατότητές μας. Ήρθαν τα επίσημα στοιχεία της Eurostat, τους διέψευσαν πανηγυρικά. Η χώρα κατάφερε το 2022, για πρώτη φορά, να παράξει πρωτογενές πλεόνασμα παρά τις μειώσεις των φόρων.",political agenda,economy,tax cuts,1.0,0.0,0.0,"[['envia', 'organization', '1.0'], ['eurostat', 'organization', '1.0'], ['covid', 'date', '1.0'], ['2022', 'date', '1.0']]"
6,"So how did we achieve this financial performance? I spoke to you before about investments. In January 2020, just before the pandemic broke out, I was in Davos and I had, at that time, my first meeting with the President of Microsoft, that's the gentleman you see in the background of the picture, Mr. Brad Smith. At that time I spoke to him for the first time about a country that can attract high value-added investment, data centres, that can become a focus for technology investment by big business technology giants. He listened to me with some reservation. But nine months later - in the midst of the pandemic - Microsoft was the first to believe in our story and took the decision to invest hundreds of millions of euros in the creation of three data centres in our country, paving the way for a number of business giants to follow. But it wasn't just Microsoft. Pfizer has, as you may know, set up a truly impressive global innovation centre in Thessaloniki. A truly impressive workplace that encourages innovation, ingenuity. When Pfizer's CEO started this effort he thought he would barely have 200-300 employees in this innovation center. I believe that very soon it will be able to exceed 1,000, for the simple reason that it is now able to attract excellent young scientists, many of whom are returning from abroad to come and work in Thessaloniki.These are the first steps towards reversing the brain drain that our friend spoke to us about a moment ago, which has hurt Greek society so much. It is an example of how foreign investment is creating high value-added jobs in cutting-edge sectors such as artificial intelligence and big data management, one of the many investments that have been made in our country by foreign companies.","Πώς πετύχαμε, λοιπόν, αυτή την οικονομική απόδοση; Σας μίλησα πριν για τις επενδύσεις. Τον Ιανουάριο του 2020, λίγο πριν ξεσπάσει η πανδημία, είχα βρεθεί στο Νταβός και είχα, τότε, την πρώτη μου συνάντηση με τον Πρόεδρο της Microsoft, είναι ο κύριος που βλέπετε στο βάθος της εικόνας, ο κ. Brad Smith. Τότε για πρώτη φορά τού μίλησα για μία χώρα η οποία μπορεί να προσελκύσει επενδύσεις υψηλής προστιθέμενης αξίας, data centers, να γίνει ένα επίκεντρο τεχνολογικών επενδύσεων από μεγάλους επιχειρηματικούς κολοσσούς της τεχνολογίας. Με άκουσε με μία σχετική επιφύλαξη. Εννέα μήνες, όμως, μετά -εν μέσω της πανδημίας- η Microsoft ήταν η πρώτη η οποία πίστεψε στην ιστορία μας και πήρε την απόφαση να επενδύσει εκατοντάδες εκατομμύρια ευρώ στην δημιουργία τριών data centers στην πατρίδα μας, ανοίγοντας έτσι το δρόμο για μία σειρά από επιχειρηματικούς κολοσσούς οι οποίοι την ακολούθησαν. Αλλά δεν ήταν μόνο η Microsoft. Η Pfizer έχει, όπως ίσως γνωρίζετε, δημιουργήσει ένα πραγματικά εντυπωσιακό παγκόσμιο κέντρο καινοτομίας στη Θεσσαλονίκη. Ένας εντυπωσιακός πραγματικά χώρος εργασίας, ο οποίος ενθαρρύνει την καινοτομία, την ευρηματικότητα. Όταν ξεκίνησε ο Διευθύνων Σύμβουλος της Pfizer αυτή την προσπάθεια πίστευε ότι με το ζόρι θα έχει 200-300 εργαζόμενους σε αυτό το κέντρο καινοτομίας. Πιστεύω ότι πολύ σύντομα θα μπορέσει να ξεπεράσει τους 1.000, για τον απλούστατο λόγο ότι είναι σε θέση να προσελκύσει πια εξαιρετικούς νέους επιστήμονες, πολλοί εκ των οποίων επιστρέφουν από το εξωτερικό για να έρθουν να δουλέψουν στη Θεσσαλονίκη.Είναι τα πρώτα βήματα της αναστροφής του brain drain για το οποίο μας μίλησε και η φίλη μας πριν από λίγο, το οποίο τόσο πόνεσε την ελληνική κοινωνία. Είναι ένα παράδειγμα του πώς οι ξένες επενδύσεις δημιουργούν θέσεις υψηλής προστιθέμενης αξίας σε τομείς αιχμής, όπως η τεχνητή νοημοσύνη και η διαχείριση των μεγάλων δεδομένων, μία από τις πολλές επενδύσεις οι οποίες έχουν γίνει στην χώρα μας από εταιρείες του εξωτερικού.",political agenda,economy,investments,0.8,0.0,0.0,"[['president of microsoft', 'organization', '0.6'], ['microsoft', 'organization', '1.0'], ['brad smith', 'person', '0.8'], ['pfizer', 'organization', '1.0'], ['thessaloniki', 'location', '1.0'], ['greek', 'country', '1.0'], ['january 2020', 'date', '1.0'], ['nine months later', 'date', '1.0']]"
7,"But, you know, when we talk about investment, we are not only talking about technology, innovation, biotechnology. There is another category of investment that we have attached an extremely high importance to, and this photo is at the Syros shipyards. When I went and spoke to the workers four years ago, these shipyards were practically dead, with one tank that had practically sunk. At that time, there were 180 workers working in Syros. The company owed them wages, if I am not mistaken, of about ten years. Now in Syros we have 600 workers. The Greek shipping industry is rushing to send its ships to this shipyard for repair, and of course it is not the only shipyard that has been revived in our time.In Elefsina we currently have 600 workers, who, in a very moving event organised by the Ministry of Development, told their personal stories. How difficult it is to see your company essentially collapse and suddenly an investor comes along, to be able to get back to work, to be able to feed their families and, above all, to have the pride of doing something they really love. Elefsina can reach 2,000 employees.And of course, let's not forget the case of Skaramagas. Another painful story. Another ""Gordian knot"" that we have managed to untie. Today, Skaramagas is now in the hands of a private owner. A shipyard with enormous potential, which can add significant value to our Navy and to our merchant shipping. I estimate that Skaramagas will make more than 700 new hires in the next year.Just three examples - I could have had too many - of investments that are already underway in our country.","Αλλά, ξέρετε, όταν μιλάμε για επενδύσεις δεν αναφερόμαστε μόνο στην τεχνολογία, στην καινοτομία, στην βιοτεχνολογία. Υπάρχει και μία άλλη κατηγορία επενδύσεων στην οποία έχουμε αποδώσει μία εξαιρετικά μεγάλη σημασία.Αυτή η φωτογραφία είναι στα ναυπηγεία της Σύρου. Όταν πήγα και μίλησα στους εργαζόμενους πριν από τέσσερα χρόνια, τα ναυπηγεία αυτά ήταν πρακτικά νεκρά, με μία δεξαμενή η οποία είχε ουσιαστικά βουλιάξει. Τότε, εργάζονταν στη Σύρο 180 εργαζόμενοι. Η εταιρεία τούς χρωστούσε μισθούς, αν δεν κάνω λάθος, περίπου δέκα ετών. Τώρα στη Σύρο έχουμε 600 εργαζόμενους. Η ελληνική ναυτιλία σπεύδει να στείλει τα πλοία της σε αυτό το ναυπηγείο για επισκευή, και βέβαια δεν είναι το μόνο ναυπηγείο το οποίο αναβίωσε επί δικών μας ημερών.Στην Ελευσίνα έχουμε αυτή την στιγμή 600 εργαζόμενους, οι οποίοι μάλιστα, σε μια πολύ συγκινητική εκδήλωση του Υπουργείου Ανάπτυξης, διηγήθηκαν τις προσωπικές τους ιστορίες. Το πόσο δύσκολο είναι να βλέπεις την εταιρεία σου ουσιαστικά να καταρρέει και ξαφνικά να έρχεται ένας επενδυτής, να ξαναπιάνουν δουλειά, να μπορούν να ταΐσουν τις οικογένειές τους και κυρίως να έχουν την υπερηφάνεια ότι κάνουν κάτι το οποίο πραγματικά αγαπούν. Η Ελευσίνα μπορεί να φτάσει και τους 2.000 εργαζόμενους.Και βέβαια, μην ξεχνάμε την περίπτωση του Σκαραμαγκά. Άλλη μια πονεμένη ιστορία. Άλλος ένας «γόρδιος δεσμός» τον οποίον καταφέραμε να λύσουμε. Σήμερα ο Σκαραμαγκάς έχει περάσει πια στα χέρια ιδιώτη. Ένα ναυπηγείο με τεράστιες δυνατότητες, το οποίο μπορεί να έχει σημαντική προστιθέμενη αξία και για το Πολεμικό Ναυτικό μας αλλά και για την εμπορική μας ναυτιλία. Εκτιμώ ότι ο Σκαραμαγκάς θα κάνει πάνω από 700 νέες προσλήψεις μέσα στον επόμενο χρόνο.Τρία μόνο παραδείγματα -θα μπορούσα να είχα πάρα πολλά- από επενδύσεις οι οποίες ήδη δρομολογούνται στην πατρίδα μας.",political agenda,employment,investments,0.6,0.0,0.0,"[['syros shipyards', 'location', '1.0'], ['greek shipping industry', 'organization', '0.9'], ['elefsina', 'location', '1.0'], ['ministry of development', 'organization', '0.8'], ['skaramagas', 'location', '1.0'], ['navy', 'organization', '0.7']]"
8,"But investment alone does not say much if it is not accompanied by good wages. And here we must emphasise that the average wage in our country, the average wage in the private sector, has increased significantly in the four years of our government. At the same time, of course, it is true that Greek society as a whole is being tested by a crisis of imported price competitiveness, but the challenge for us has always been how to support disposable income by increasing wages in connection with productivity and the growth potential of the Greek economy. We committed in 2019 that we would raise the minimum wage at twice the growth rate. We have exceeded this commitment. The minimum wage was EUR 650 and today it is EUR 780, a 20% increase, three additional wages per year. And our goal is to get the minimum wage to at least 950 euros at the end of the four years.","Οι επενδύσεις, όμως, από μόνες τους δεν λένε πολλά πράγματα εάν δεν συνοδεύονται και από καλούς μισθούς. Και εδώ πρέπει να τονίσουμε ότι ο μέσος μισθός στην πατρίδα μας, ο μέσος μισθός στον ιδιωτικό τομέα, αυξήθηκε σημαντικά τα τέσσερα χρόνια της διακυβέρνησης μας. Ταυτόχρονα, βέβαια, είναι αλήθεια ότι η ελληνική κοινωνία δοκιμάζεται συνολικά από μία κρίση εισαγόμενης ακρίβειας.Η πρόκληση, όμως, για εμάς πάντα ήταν πώς θα στηρίξουμε το διαθέσιμο εισόδημα, αυξάνοντας τους μισθούς σε σύνδεση με την παραγωγικότητα και την δυνατότητα ανάπτυξης της ελληνικής οικονομίας. Είχαμε δεσμευτεί το 2019 ότι θα αυξήσουμε τον κατώτατο μισθό με ρυθμό διπλάσιο του ρυθμού ανάπτυξης. Ξεπεράσαμε αυτή μας την δέσμευση. Ο κατώτατος μισθός ήταν 650 ευρώ και σήμερα είναι 780 ευρώ, 20% αύξηση, τρεις πρόσθετοι μισθοί ετησίως. Και ο σκοπός μας είναι ο κατώτατος μισθός να φτάσει τουλάχιστον τα 950 ευρώ στο τέλος της τετραετίας.",political agenda,employment,wages,0.7,0.0,0.0,"[['greek society', 'group of people', '0.5'], ['greek economy', 'organization', '0.5'], ['2019', 'date', '0.5'], ['eur', 'organization', '0.5'], ['greek government', 'organization', '0.5'], ['minumum wage', 'organization', '0.5'], ['eur 650', 'organization', '0.5'], ['eur 780', 'organization', '0.5'], ['20%', 'probability', '0.5'], ['three', 'probability', '0.5'], ['four years', 'date', '0.5'], ['950 euros', 'organization', '0.5']]"
9,"What is it that you see? Let's see. It is the Digital Work Card which is already being implemented, from 1 July 2022, in banks, in supermarkets with more than 250 employees, in insurance companies, in public utilities. Within the next four years it will be implemented in all companies and in the public sector. Today close to 200,000 employees use it.Why are we insisting so much on this tool? Because I keep hearing, especially from young people, ""I cannot work overtime and not get paid for the work I do"". The Digital Job Card puts an end to the abusive practices of employers and the exploitation of workers.It is an easy tool to fully record actual working hours, keep time, pay overtime. Our commitment is that within the next four years it will be extended to the entire public sector and the entire private sector, including small businesses.","Τι είναι αυτό το οποίο βλέπετε; Για να δούμε. Είναι η Ψηφιακή Κάρτα Εργασίας η οποία εφαρμόζεται ήδη, από την 1η Ιουλίου του 2022, σε τράπεζες, σε σούπερ μάρκετ άνω των 250 εργαζομένων, σε ασφαλιστικές, σε ΔΕΚΟ. Μέσα στην επόμενη τετραετία θα εφαρμοστεί σε όλες τις επιχειρήσεις και στο Δημόσιο. Σήμερα τη χρησιμοποιούν κοντά στους 200.000 εργαζόμενους.Γιατί επιμένουμε τόσο πολύ σε αυτό το εργαλείο; Γιατί ακούω συνέχεια, κυρίως από νέα παιδιά, «δεν γίνεται να δουλεύω υπερωρίες και να μην πληρώνομαι για τη δουλειά την οποία κάνω». Η Ψηφιακή Κάρτα Εργασίας βάζει τέλος στις πρακτικές κατάχρησης των εργοδοτών και εκμετάλλευσης των εργαζομένων.Είναι ένα εύκολο εργαλείο για πλήρη καταγραφή πραγματικών ωρών εργασίας, τήρηση ωραρίου, πληρωμή υπερωριών. Δέσμευσή μας είναι μέσα στην επόμενη τετραετία να έχει επεκταθεί σε ολόκληρο το δημόσιο τομέα και σε ολόκληρο τον ιδιωτικό τομέα, και στις μικρές επιχειρήσεις.",political agenda,employment,other,0.5,0.0,0.0,"[['digital work card', 'organization', '1.0'], ['july 1', '2022', 'date', '1.0'], ['banks', 'organization', '1.0'], ['supermarkets', 'organization', '1.0'], ['insurance companies', 'organization', '1.0'], ['public utilities', 'organization', '1.0'], ['200', '000 employees', 'group of people', '1.0'], ['young people', 'group of people', '1.0'], ['employers', 'group of people', '1.0'], ['workers', 'group of people', '1.0'], ['public sector', 'organization', '1.0'], ['private sector', 'organization', '1.0'], ['small businesses', 'organization', '1.0']]"
10,"To talk a little bit about development, we could not fail to say a word about our tourism. Tourism went through an unprecedented ordeal in the years of the pandemic. Especially in 2020, when people practically stopped travelling, we found ourselves facing the spectre of the total collapse of the sector, which was and is to a large extent the ""engine"" of the Greek economy.The truth is that we have supported the tourism sector through coordinated actions, by using European programmes, by using resources from the state budget. But we also dared to take a series of initiatives that allowed us to be among the first to open up our tourism market, so that today we are in the happy position that 2022 will be a record year in terms of revenues from our main markets. 2023 is forecast to be even better. That didn't happen, it worked. The progress that we have achieved in tourism is in turn linked to a number of significant investments that are being made in tourism infrastructure, but also through the improvement in the remuneration of tourism workers themselves, who are receiving larger increases and higher wages than those provided for in old collective agreements - and certainly higher wages than the minimum wage. This is also a success; we have the potential to improve our tourism revenues very significantly and I believe that 2023 will give us a preview of what we can achieve from the sector which is currently, presumably, the most important sector for the Greek economy.","Να μιλήσουμε λίγο για ανάπτυξη, δεν θα μπορούσαμε να μην πούμε μία κουβέντα για τον τουρισμό μας. Ο τουρισμός πέρασε μία πρωτοφανή δοκιμασία στα χρόνια της πανδημίας. Ειδικά το 2020, όταν πρακτικά ο κόσμος σταμάτησε να ταξιδεύει, βρεθήκαμε μπροστά στο φάσμα της απόλυτης κατάρρευσης του κλάδου, ο οποίος αποτέλεσε και αποτελεί σε μεγάλο βαθμό την «ατμομηχανή» της ελληνικής οικονομίας.Η αλήθεια είναι ότι με συντονισμένες κινήσεις, αξιοποιώντας ευρωπαϊκά προγράμματα, αξιοποιώντας πόρους του κρατικού προϋπολογισμού, στηρίξαμε τον κλάδο του τουρισμού. Τολμήσαμε, όμως, να αναλάβουμε και μία σειρά από πρωτοβουλίες που μας επέτρεψαν να είμαστε από τους πρώτους που ανοίξαμε την τουριστική μας αγορά, έτσι ώστε σήμερα να βρισκόμαστε στην ευχάριστη θέση το 2022 να είναι χρονιά-ρεκόρ εσόδων από τις βασικές μας αγορές. Το 2023 προβλέπεται ακόμα καλύτερο. Αυτό δεν έτυχε, πέτυχε. Η πρόοδος την οποία έχουμε πετύχει στον τουρισμό συνδέεται με τη σειρά της με μία σειρά από σημαντικές επενδύσεις οι οποίες γίνονται σε τουριστικές υποδομές, αλλά και μέσα από τη βελτίωση των αποδοχών των ίδιων των εργαζόμενων στον τουρισμό, οι οποίοι παίρνουν μεγαλύτερες αυξήσεις και μεγαλύτερους μισθούς από αυτούς οι οποίοι προβλέπονταν από παλιές συλλογικές συμβάσεις -και σίγουρα μεγαλύτερους μισθούς από τον κατώτατο μισθό. Αποτελεί και αυτό μία επιτυχία.Έχουμε τη δυνατότητα να βελτιώσουμε πολύ σημαντικά τα έσοδά μας από τον τουρισμό και πιστεύω ότι το 2023 θα μας δώσει μία πρόγευση από το τι ακριβώς μπορούμε να πετύχουμε από τον κλάδο ο οποίος σήμερα, κατά τεκμήριο, είναι ο πιο σημαντικός για την ελληνική οικονομία.",political agenda,tourism,other,0.9,0.0,0.0,"[['greek', 'country', '1.0'], ['2020', 'date', '1.0'], ['european', 'organization', '1.0'], ['greek economy', 'organization', '0.8'], ['2022', 'date', '1.0'], ['2023', 'date', '1.0']]"
