id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats of Xanthi and Thrace, thank you. Thank you from the bottom of my heart for such an impressive reception. You know how happy I feel every time I am with you, especially here in Xanthi, in Thrace, my joy is twofold. I always get strength when I meet our locals. But also when I am in this dynamic place, capable of playing a leading role in the whole country.The beautiful space of this amphitheatre is proving today to be too small to house your enthusiasm. And we, you see, have no difficulty in filling such places and starting the speeches on time.","Νεοδημοκράτισσες και νεοδημοκράτες της Ξάνθης και της Θράκης, σας ευχαριστώ. Σας ευχαριστώ από καρδιάς για την τόση εντυπωσιακή υποδοχή. Ξέρετε πόσο χαρούμενος νιώθω κάθε φορά που βρίσκομαι κοντά σας, ειδικά εδώ στην Ξάνθη, στη Θράκη, η χαρά μου είναι διπλή. Πάντα παίρνω δύναμη όταν συναντώ τους ακρίτες μας. Αλλά κι όταν βρίσκομαι σε αυτόν τον δυναμικό τόπο, ικανό να πρωταγωνιστήσει σε όλη τη χώρα.Ο όμορφος χώρος αυτού του αμφιθεάτρου αποδεικνύεται σήμερα μικρός για να στεγάσει τον ενθουσιασμό σας. Κι εμείς, βλέπετε, δεν έχουμε καμιά δυσκολία να γεμίζουμε τέτοιους χώρους και να ξεκινάμε τις ομιλίες στην ώρα τους.",political agenda,other,other,0.8,0.0,0.0,"[['young democrats', 'group of people', '1.0'], ['xanthi', 'location', '1.0'], ['thrace', 'location', '1.0'], ['democrats', 'political party', '0.8'], ['greece', 'country', '0.8']]"
2,"Let me tell you a little story. Mr Tsipras came to my place, Chania, and he said he would speak in the same square where I had spoken. The speech was for seven o'clock and he went to seven thirty and went to eight and went to eight thirty and went to the podium at eight forty, because half the square was empty.","Θα σας πω μια μικρή ιστορία. Ο κ. Τσίπρας βρέθηκε στον τόπο μου, στα Χανιά, και είπε να μιλήσει στην ίδια πλατεία στην οποία είχα μιλήσει κι εγώ. Η ομιλία ήταν για τις επτά και πήγε επτάμισι και πήγε οκτώ και πήγε οκτώμισι και ανέβηκε στο βήμα στις οκτώ και σαράντα, γιατί η μισή πλατεία ήταν άδεια.",criticism,democracy,other,-0.4,0.0,0.0,"[['mr tsipras', 'person', '0.9'], ['chania', 'location', '0.9']]"
3,"We have no such problems. And know that your voice is heard everywhere, in every corner of the country. On May 21, our Greece, our country and New Democracy will win. Friends, ladies and gentlemen, a big thank you to our youth. And you have a dynamic youth here in Xanthi.","Εμείς δεν έχουμε τέτοια προβλήματα. Και να ξέρετε ότι η φωνή σας ακούγεται ηχηρή παντού, σε κάθε γωνιά της πατρίδας. Στις 21 Μαΐου θα νικήσει η Ελλάδα μας, η πατρίδα μας και η Νέα Δημοκρατία. Φίλες και φίλοι, ΟΝΝΕΔίτισσες και OΝΝΕΔίτες, ένα μεγάλο ευχαριστώ στη νεολαία μας. Κι έχετε δυναμική νεολαία εδώ στην Ξάνθη.",political agenda,elections,other,0.8,0.0,0.0,"[['may 21', 'date', '1.0'], ['greece', 'country', '1.0'], ['new democracy', 'political party', '1.0'], ['xanthi', 'location', '1.0']]"
4,"Everybody now recognises that four years we have been laying the foundations of the country we want. As I said yesterday in the presentation of our programme, we have laid the foundations, we have built the first floors and now we are continuing the effort to raise the country we deserve even higher. To complete this renaissance by taking our rightful place in the whole of Europe. That is why it is so important in this election to say no to a second mandate for disaster, yes to a strong second mandate for progress. And just as we once fought together to stay in Europe, now our goal is ""to be Europe"", all of us and in everything. And Xanthi and Thrace, I can see it in your faces, will again be on the front line. You will wrap both the city and its villages in our blue colours. And on the evening of 21 May the whole territory will be dressed in blue.","Όλοι πια αναγνωρίζουν ότι τέσσερα χρόνια θεμελιώνουμε τη χώρα που θέλουμε. Όπως είπα και χθες στην παρουσίαση του προγράμματός μας, έχουμε ρίξει τα θεμέλια, έχουμε χτίσει τους πρώτους ορόφους και τώρα συνεχίζουμε την προσπάθεια, η πατρίδα που μας αξίζει, να ανυψωθεί ακόμα περισσότερο. Αυτή η αναγέννηση να ολοκληρωθεί κατακτώντας τη θέση που μας αξίζει σε όλη την Ευρώπη. Γι’ αυτό και είναι τόσο σημαντικό σε αυτές τις εκλογές να πούμε όχι σε μια δεύτερη φορά στη συμφορά, ναι σε μια ισχυρή δεύτερη εντολή στην προκοπή. Και όπως άλλοτε δώσαμε όλοι μαζί τον αγώνα για να μείνουμε στην Ευρώπη, τώρα ο σκοπός μας είναι «να γίνουμε Ευρώπη», όλοι και σε όλα. Και η Ξάνθη και η Θράκη, το βλέπω στα πρόσωπά σας, θα βρεθούν και πάλι στην πρώτη γραμμή. Εσείς θα τυλίξετε με τα γαλάζιά μας χρώματα και την πόλη και τα χωριά της. Και το βράδυ της 21ης Μαΐου όλη η επικράτεια θα ντυθεί στα μπλε.",political agenda,elections,election spending,0.6,0.0,0.0,"[['xanthi', 'location', '1.0'], ['thrace', 'location', '1.0'], ['europe', 'location', '1.0'], ['21 may', 'date', '1.0']]"
5,"Mr. Regional Governor, from Ormenio to Gavdos, from Kastelorizo to Othoni, the blues of truth, certainty and progress. The blues that will signify a self-reliant Greece and a self-reliant New Democracy. Especially you here in Evros, in Rodopi, in Xanthi, in Kavala, in Drama, you know that we have gone through successive difficulties in order to get here.You, our Greeks, remember well the migratory invasions in Evros and the Aegean. Almost at the same time as the storm of the global pandemic, which lasted for more than two years. Immediately afterwards, the war in Ukraine, the international energy crisis, a global inflationary explosion that also hit our economy. Natural disasters, while resisting and resisting the daily threats from our neighbours; but we did it, our borders remained impregnable. They are now established as the eastern border of Europe. And with a huge programme that exceeded 50 billion euros, the state supported households, businesses, protected jobs.","Κύριε Περιφερειάρχα, από το Ορμένιο ως τη Γαύδο, από το Καστελόριζο μέχρι τους Οθωνούς, τα μπλε της αλήθειας, της σιγουριάς και της προόδου. Τα μπλε που θα σημάνουν την αυτοδύναμη Ελλάδα και την αυτοδύναμη Νέα Δημοκρατία. Ειδικά εσείς εδώ στον Έβρο, στη Ροδόπη, στην Ξάνθη, στην Καβάλα, στη Δράμα, ξέρετε πως για να φτάσουμε ως εδώ, περάσαμε από αλλεπάλληλες δυσκολίες.Θυμάστε καλά, εσείς οι ακρίτες μας, τις μεταναστευτικές εισβολές στον Έβρο και στο Αιγαίο. Σχεδόν ταυτόχρονα με την καταιγίδα της παγκόσμιας πανδημίας, η οποία κράτησε πάνω από δύο χρόνια. Αμέσως μετά, τον πόλεμο στην Ουκρανία, τη διεθνή ενεργειακή κρίση, μια παγκόσμια έκρηξη πληθωρισμού που χτύπησε και την οικονομία μας. Φυσικές καταστροφές, ενώ παράλληλα αντιστεκόμασταν και αντιστεκόμαστε στις καθημερινές απειλές των γειτόνων μας.Όμως, τα καταφέραμε, τα σύνορά μας έμειναν απόρθητα. Είναι καθιερωμένα πια ως τα ανατολικά όρια της Ευρώπης. Και μ’ ένα τεράστιο πρόγραμμα το οποίο ξεπέρασε τα 50 δισεκατομμύρια ευρώ, η Πολιτεία στήριξε νοικοκυριά, επιχειρήσεις, προστάτευσε τις θέσεις εργασίας.",political agenda,economy,borders,0.6,0.2,0.0,"[['ormenio', 'location', '0.6'], ['gavdos', 'location', '0.6'], ['kastelorizo', 'location', '0.6'], ['othoni', 'location', '0.6'], ['new democracy', 'political party', '0.7'], ['evros', 'location', '0.7'], ['rodopi', 'location', '0.7'], ['xanthi', 'location', '0.7'], ['kavala', 'location', '0.7'], ['drama', 'location', '0.7'], ['greeks', 'group of people', '0.7'], ['evros', 'location', '0.7'], ['aegean', 'location', '0.6'], ['ukraine', 'country', '0.7'], ['europe', 'continent', '0.6'], ['50 billion euros', 'organization', '0.6']]"
6,"We shielded -k. Minister, as you well know, our Armed Forces. But we have also found ways to stem the tide of power increases and imported precision. But we also found ways, despite great difficulties, despite great crises, to put into practice all that we promised in July 2019. So today, the country - the ""dry vineyard"" is a thing of the past. Just as those who did not see borders at sea or kept them open are past. Our coastguards at sea, our amazing border guards in Evros, have almost zeroed the flows of illegal migrants. The abomination of Moria and Samos has been replaced by humane accommodation structures. Our islands, which I will also have the opportunity to visit in this beautiful election period, have long been relieved.","Θωρακίσαμε -κ. Υπουργέ το γνωρίζετε καλά- παράλληλα τις Ένοπλές μας Δυνάμεις. Αλλά βρήκαμε και τους τρόπους να αναχαιτίσουμε τις αυξήσεις στο ρεύμα και την εισαγόμενη ακρίβεια. Αλλά βρήκαμε και τρόπους, παρά τις μεγάλες δυσκολίες, παρά τις μεγάλες κρίσεις, να κάνουμε πράξη όλα όσα υποσχεθήκαμε τον Ιούλιο του 2019. Έτσι σήμερα, η χώρα - «ξέφραγο αμπέλι» είναι παρελθόν. Όπως παρελθόν είναι όσοι δεν έβλεπαν σύνορα στην θάλασσα ή τα κρατούσαν ανοιχτά. Οι λιμενικοί μας στη θάλασσα, οι εκπληκτικοί μας συνοριοφύλακες στον Έβρο, σχεδόν μηδένισαν τις ροές παρανόμων μεταναστών. Το αίσχος της Μόριας και της Σάμου, το αντικατέστησαν ανθρώπινες δομές φιλοξενίας. Τα νησιά μας, τα οποία θα έχω και αυτά την ευκαιρία να επισκεφθώ σε αυτή την όμορφη προεκλογική περίοδο, έχουν εδώ και καιρό ανακουφιστεί.",political agenda,migration,other,0.0,0.0,0.0,"[['k. minister', 'person', '0.8'], ['armed forces', 'group of people', '0.6'], ['july 2019', 'date', '0.8'], ['coastguards', 'group of people', '0.6'], ['border guards', 'group of people', '0.6'], ['evros', 'location', '0.8'], ['moria and samos', 'location', '0.6'], ['humane accommodation structures', 'organization', '0.6'], ['islands', 'location', '0.6']]"
7,"And the fence on Evros continues to spread, despite the furious reaction of those who fight it. They are the ones who were the first in Europe to rush, to be the first in Europe to table amendments in the European Parliament to prevent Europe from funding such a deterrent project. From here, from Xanthi, you are sending them a message: they can say these things in Brussels, but they should not come and say them here, in Thrace, in Xanthi, in Rhodope, in Evros.","Και ο φράχτης στον Έβρο συνεχίζει να απλώνεται, παρά την λυσσασμένη αντίδραση όσων τον πολεμούν. Είναι αυτοί που έσπευσαν, έτρεξαν πρώτοι στην Ευρώπη να καταθέτουν τροπολογίες στο Ευρωπαϊκό Κοινοβούλιο για να μην χρηματοδοτεί, προσέξτε, η Ευρώπη, ένα τέτοιο αποτρεπτικό έργο. Να το πληρώνουμε, δηλαδή, όλοι εμείς.Από εδώ, από την Ξάνθη, τους στέλνετε μήνυμα: αυτά να τα λένε στις Βρυξέλλες, αλλά να μην έρθουν να τα πουν εδώ, στη Θράκη, στην Ξάνθη, στη Ροδόπη, στον Έβρο.",political agenda,migration,evros fence,-0.3,0.1,0.0,"[['evros', 'location', '1'], ['europe', 'country', '1'], ['european parliament', 'organization', '1'], ['xanthi', 'location', '1'], ['thrace', 'location', '1'], ['rhodope', 'location', '1'], ['evros', 'location', '1']]"
8,"And of course, in the same period, recognizing the fact that our Armed Forces for a decade have been substantially underinvested, we have steeled our national defense.I was on a tour of Boeotia on Tuesday, the day before yesterday, and while I was speaking in Schimatari, I was listening to the Rafale taking off from Tanagra. Twenty-four we will have by the end of the year. Along with 84 upgraded F-16s. Yesterday, at the presentation of our programme, among the many photos I showed was one that I was very moved by. It is the first Belharra frigate, which is being completed in the French shipyards and will be delivered to our Navy in 2025.","Και βέβαια, στο ίδιο διάστημα, αναγνωρίζοντας το γεγονός ότι οι Ένοπλες Δυνάμεις μας εδώ και μια δεκαετία ουσιαστικά υπολείπονταν σε πραγματικές επενδύσεις, χαλυβδώσαμε την εθνική μας άμυνα.Βρέθηκα -έχω ξεχάσει και τις ημέρες- την Τρίτη, προχθές, σε μια περιοδεία στη Βοιωτία και την ώρα που μιλούσα στο Σχηματάρι, άκουγα τα Rafale να απογειώνονται από την Τανάγρα. Είκοσι-τέσσερα θα έχουμε μέχρι το τέλος του έτους. Μαζί με 84 αναβαθμισμένα F-16. Χθες, στην παρουσίαση του προγράμματός μας, ανάμεσα στις πολλές φωτογραφίες που έδειξα ήταν και μια φωτογραφία που εμένα με συγκινεί πολύ. Είναι η πρώτη φρεγάτα Belharra, η οποία ολοκληρώνεται στα γαλλικά ναυπηγεία και θα παραδοθεί στο Πολεμικό μας Ναυτικό το 2025.",political agenda,other,other,0.0,0.0,0.0,"[['armed forces', 'organization', '1.0'], ['boeotia', 'location', '1.0'], ['schimatari', 'location', '1.0'], ['rafale', 'organization', '1.0'], ['tanagra', 'location', '1.0'], ['f-16', 'organization', '1.0'], ['belharra', 'organization', '1.0'], ['french', 'organization', '1.0'], ['navy', 'organization', '1.0'], ['2025', 'date', '1.0']]"
9,"Here, in our remote Thrace, the members of the Armed Forces know how much we have strengthened the army with modern armoured vehicles, with ammunition, but also with increases in salaries and allowances for our servicemen and women on the front line.But, they also know that the workers in our shipyards, which have been revived, know that we are also supporting this sector of the economy, because our shipyards are also reviving and growing along with the country's defence industry.We had reached the point - think of a country with such a large merchant fleet, with a navy that has to be maintained - where all our shipyards were basically under-utilised.","Εδώ, στην ακριτική μας Θράκη, τα στελέχη των Ενόπλων Δυνάμεων γνωρίζουν πόσο έχουμε ενισχύσει τον στρατό με σύγχρονα τεθωρακισμένα, με πυρομαχικά, αλλά και με αυξήσεις σε μισθούς και στα επιδόματα των ενστόλων μας που βρίσκονται στην πρώτη γραμμή.Αλλά, γνωρίζουν και οι εργαζόμενοι στα ναυπηγεία μας, τα οποία ξαναπήραν ζωή, ότι εμείς στηρίζουμε και αυτόν τον κλάδο της οικονομίας, γιατί και τα ναυπηγεία μας ξαναζούν και αναπτύσσονται μαζί με την αμυντική βιομηχανία της χώρας.Είχαμε φτάσει στο σημείο, -σκεφτείτε, μία χώρα με τόσο μεγάλο στόλο εμπορικό, με ένα πολεμικό ναυτικό το οποίο πρέπει να συντηρείται- όλα μας τα ναυπηγεία ουσιαστικά να υπολειτουργούν. ",political agenda,economy,other,0.0,0.0,0.0,"[['thrace', 'location', '1.0'], ['armed forces', 'group of people', '1.0'], ['shipyards', 'organization', '1.0'], ['servicemen', 'group of people', '1.0'], ['women', 'group of people', '1.0'], ['defence industry', 'organization', '1.0'], ['merchant fleet', 'organization', '1.0'], ['navy', 'organization', '1.0'], ['country', 'location', '1.0']]"
10,"While our diplomacy, in turn, brought its own results: the extension of our territorial waters to 12 miles in the Ionian Sea, our dual strategic alliance with France and the United States, so important, especially the agreement with the United States to make Thrace a geostrategic pole in this world, which is changing so rapidly.","Ενώ και η διπλωματία μας, με τη σειρά της, έφερε τα δικά της αποτελέσματα: την επέκταση των χωρικών μας υδάτων στα 12 μίλια στο Ιόνιο, τη διπλή στρατηγική συμμαχία μας με τη Γαλλία και τις Ηνωμένες Πολιτείες, τόσο σημαντική, ειδικά η συμφωνία με τις Ηνωμένες Πολιτείες για την ανάδειξη της Θράκης ως γεωστρατηγικού πόλου σε αυτόν τον κόσμο, ο οποίος αλλάζει τόσο γρήγορα. ",political agenda,external affairs,sea borders,0.5,0.0,0.0,"[['france', 'organization', '0.1'], ['united states', 'country', '0.3'], ['thrace', 'location', '0.1.']]"
