id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"From Democracy Square you are sending a thunderous message that New Democracy will win the elections on 21 May.
Indeed, friends, Mr Mayor, Mr Regional Governor, I am very impressed by the warm welcome you are giving me this afternoon here in Agrinio, in the heart of Aitoloakarnania. Twenty-two days before the elections, a great wave is rising, a blue wave that will bring our party a great victory. A big winner in these crucial elections of 21 May.","Από την Πλατεία Δημοκρατίας στέλνετε βροντερό μήνυμα, η Νέα Δημοκρατία θα νικήσει στις εκλογές της 21ης Μαΐου.
Πραγματικά, φίλες και φίλοι, κύριε Δήμαρχε, κύριε Περιφερειάρχα, είμαι πολύ εντυπωσιασμένος από αυτή τη θερμή υποδοχή που μου επιφυλάσσετε σήμερα το απόγευμα εδώ στο Αγρίνιο, στην καρδιά της Αιτωλοακαρνανίας. Είκοσι-δύο μέρες πριν από τις εκλογές φουσκώνει ένα μεγάλο κύμα, ένα γαλάζιο κύμα που θα φέρει την παράταξή μας μεγάλη νικήτρια. Μεγάλη νικήτρια σε αυτές τις κρίσιμες εκλογές της 21ης Μαΐου.",political agenda,elections,other,0.95,0.1,0,"[['democracy square', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['21 may', 'date', '1.0'], ['mr mayor', 'person', '1.0'], ['mr regional governor', 'person', '1.0'], ['agrinio', 'location', '1.0'], ['aitoloakarnania', 'location', '1.0']]"
2,"Friends, I had the opportunity today to drive through a large part of your county. Wherever I went, from Nafpaktos to Messolonghi, here in Agrinio, I see and feel this great coalescence of forces around New Democracy. This is the demand of the citizens that the course we have laid down over these four years should continue. To continue to make our country stronger, to continue on the road to prosperity, not to risk everything we have achieved in this difficult four-year period.","Φίλες και φίλοι, είχα την ευκαιρία σήμερα να διατρέξω ένα μεγάλο μέρος του νομού σας. Όπου κι αν πήγα, από τη Ναύπακτο μέχρι το Μεσολόγγι, εδώ στο Αγρίνιο, βλέπω και αισθάνομαι αυτή τη μεγάλη συσπείρωση των δυνάμεων γύρω από τη Νέα Δημοκρατία. Αυτό το αίτημα των πολιτών η πορεία την οποία προδιαγράψαμε αυτά τα τέσσερα χρόνια να συνεχιστεί. Να συνεχίσουμε να κάνουμε την πατρίδα μας πιο ισχυρή, να συνεχίσουμε στο δρόμο της ευημερίας, να μην ρισκάρουμε όλα όσα πετύχαμε αυτή τη δύσκολη τετραετία.",political agenda,economy,other,0.8,0.1,0,"[['nafpaktos', 'location', '0.5'], ['messolonghi', 'location', '0.5'], ['agrinio', 'location', '0.5'], ['new democracy', 'political party', '0.9'], ['citizens', 'group of people', '0.7'], ['country', 'country', '0.8'], ['four years', 'date', '0.5'], ['prosperity', 'organization', '0.4']]"
3,"I remember, friends, when I was in Aitoloakarnania before the 2019 elections, you remember I was talking to you and asking you to sign a Truth Agreement, a new relationship of trust between citizens and politicians, a relationship of trust that is based first and foremost on consistency of words and actions. I told you then that I wanted to commit myself to certain simple things. I told you that I would reduce taxes for every Greek woman and every Greek man, and we reduced taxes for each and every one of them.","Θυμάμαι, φίλες και φίλοι, όταν βρέθηκα στην Αιτωλοακαρνανία πριν από τις εκλογές του 2019, θυμάστε τότε σάς μιλούσα και σάς ζητούσα να συνυπογράψουμε μια Συμφωνία Αλήθειας, μια νέα σχέση εμπιστοσύνης μεταξύ πολιτών και πολιτικών, μια σχέση εμπιστοσύνης η οποία στηρίζεται πρώτα και πάνω από όλα στη συνέπεια λόγων και πράξεων. Τότε σας είχα πει ότι θέλω να δεσμευτώ για ορισμένα απλά πράγματα. Σας είχα πει ότι θα μειώσω τους φόρους για κάθε Ελληνίδα και για κάθε Έλληνα και μειώσαμε τους φόρους για την καθεμία και τον καθέναν.",political agenda,economy,tax cuts,0.5,0,0.2,"[['aitoloakarnania', 'location', '1.0'], ['2019 elections', 'date', '1.0'], ['truth agreement', 'organization', '0.6'], ['greek', 'country', '1.0']]"
4,"I told you that I want to put Greece back on a path of dynamic recovery so that we can put the difficult decade of memoranda behind us, create more jobs, bring more investment to our country, more well-paid jobs. And today the country is going from record to record in attracting foreign investment.","Σας είχα πει ότι θέλω να ξαναβάλω την Ελλάδα σε μια τροχιά δυναμικής ανάκαμψης για να μπορέσουμε να αφήσουμε πίσω μας τη δύσκολη δεκαετία των μνημονίων, να δημιουργήσουμε περισσότερες θέσεις εργασίας, να φέρουμε περισσότερες επενδύσεις στην πατρίδα μας, περισσότερες καλοπληρωμένες δουλειές. Και σήμερα η χώρα πηγαίνει από ρεκόρ σε ρεκόρ στην προσέλκυση ξένων επενδύσεων.",political agenda,economy,investments,0.9,0,0,"[['greece', 'country', '1.0']]"
5,"I told you that I want a strong and secure Greece that will protect its borders and safeguard our national independence in practice and not in words. Not a ""closed vineyard"", as a friend behind me says, and he is right because this is the Greece I remind you that we received in 2019.","Σάς είχα πει ότι θέλω μία Ελλάδα ισχυρή και ασφαλή που θα προστατεύει τα σύνορά της και θα διαφυλάξει την εθνική μας ανεξαρτησία στην πράξη και όχι στα λόγια. Όχι «ξέφραγο αμπέλι», που λέει ένας φίλος από πίσω, και έχει δίκιο γιατί αυτή την Ελλάδα σας θυμίζω ότι παραλάβαμε το 2019.",political agenda,national security,borders,0.5,0.1,0,"[['greece', 'location', '1.0'], ['2019', 'date', '1.0']]"
6,"Speaking of the migration issue, it is worth noting that today the leader of the opposition was in Chios, which was at the centre of the refugee problem in 2015, and he did not find a single word to say about the refugee issue, because probably no one wants to remember what he was saying, that the sea ""has no borders"" and that everyone can enter our country without being checked.","Μιας και μιλάμε για το μεταναστευτικό, αξίζει να σημειώσω ότι σήμερα ο αρχηγός της αξιωματικής αντιπολίτευσης βρέθηκε στη Χίο, η οποία ήταν στο επίκεντρο του προσφυγικού προβλήματος το 2015 και δεν βρήκε μία κουβέντα να πει για το προσφυγικό ζήτημα, γιατί μάλλον δεν θέλει κανείς να θυμηθεί αυτά τα οποία έλεγε, ότι η θάλασσα «δεν έχει σύνορα» και ότι όλοι μπορούν να μπαίνουν στην πατρίδα μας χωρίς να ελέγχονται.",criticism,migration,other,-0.7,0.2,0,"[['chios', 'location', '1.0'], ['2015', 'date', '1.0'], ['opposition', 'group of people', '0.6'], ['leader', 'person', '0.6'], ['refugee', 'group of people', '0.6'], ['sea', 'location', '0.6'], ['country', 'country', '0.6.']]"
7,"But those days, friends, are well and truly in the past. The country has been reinvigorated. Citizens are feeling more optimistic, they have more confidence in their abilities, and that is why this ballot on 21 May is so important.","Αυτές οι εποχές όμως ανήκουν, φίλες και φίλοι, για τα καλά στο παρελθόν. Η χώρα έχει αναθαρρήσει. Οι πολίτες αισθάνονται μεγαλύτερη αισιοδοξία, έχουν μεγαλύτερη εμπιστοσύνη στις δυνατότητές τους και γι’ αυτό και αυτή η κάλπη της 21ης Μαΐου έχει τόσο μεγάλη σημασία.",political agenda,elections,other,0.8,0,0,"[['may', 'date', '100%'], ['citizens', 'group of people', '70%'], ['21 may', 'date', '70%']]"
8,"We have left behind us four years of great difficulties. I will not hide from you that when you put your trust in me and I first sat in the Maximus building, I too did not imagine how many different crises we would have to manage during this four-year period. The truth is that we have had many difficult and many unexpected events, from the refugee crisis to the pandemic and from the crises with Turkey to the energy crisis and Russia's war in Ukraine.","Αφήσαμε πίσω μας μία τετραετία με μεγάλες δυσκολίες. Δεν σας κρύβω ότι κι εγώ, όταν με εμπιστευτήκατε και έκατσα για πρώτη φορά στο Μέγαρο Μαξίμου, δεν φανταζόμουν πόσες διαφορετικές κρίσεις θα χρειαστεί να διαχειριστούμε αυτή την τετραετία. Η αλήθεια είναι ότι μας έτυχαν πολλά δύσκολα και πολλά απρόοπτα, από το προσφυγικό μέχρι την πανδημία και από τις κρίσεις με την Τουρκία μέχρι την ενεργειακή κρίση και τον πόλεμο της Ρωσίας στην Ουκρανία.",political agenda,pandemic,energy crisis,-0.6,0,0,"[['maximus', 'organization', '0.8'], ['turkey', 'location', '0.9'], ['russia', 'location', '0.8'], ['ukraine', 'location', '0.7']]"
9,"I could be here in front of you today and say, ""You know, we had a lot of things to do to keep the country safe, we couldn't deliver on our election commitments."" I'm not telling you that because it's simply not true. We were able to keep the ship of the country safe and keep our election commitments.","Θα μπορούσα, σήμερα, να είμαι εδώ μπροστά σας και να σας πω «ξέρετε, είχαμε πολλά πράγματα να κάνουμε για να κρατήσουμε ασφαλή τη χώρα, δεν μπορέσαμε να υλοποιήσουμε τις προεκλογικές μας δεσμεύσεις». Δεν σας το λέω γιατί απλούστατα δεν είναι αλήθεια. Μπορέσαμε και το σκάφος της πατρίδας να κρατήσουμε ασφαλές και να τηρήσουμε τις προεκλογικές μας δεσμεύσεις.",political agenda,elections,other,0.8,0,0,"[['today', 'date', '0.6'], ['country', 'location', '0.8']]"
10,"That is why the time has now come - 22 days before the elections - not to talk so much about the past but to talk more about the future. I always refer briefly to what we have achieved during these four years, not to remind you of things you know. You, each and every one of you individually, know whether your life today was better than it was in 19, whether the market is moving at a better pace than it was in 19, whether our country in general feels stronger and more secure. I say this to demonstrate that consistency of words and deeds is the best credential for people to trust us again for what we want to do in the next four years.","Γι’ αυτό έχει έρθει τώρα η ώρα -22 ημέρες πριν από τις εκλογές- να μην μιλήσουμε τόσο για το παρελθόν αλλά να μιλήσουμε περισσότερο για το μέλλον. Αναφέρομαι πάντα εν συντομία σε αυτά τα οποία πετύχαμε αυτή την τετραετία, όχι για να σας θυμίσω πράγματα τα οποία γνωρίζετε. Εσείς, η κάθε μία και ο κάθε ένας ξεχωριστά, ξέρετε αν σήμερα η ζωή σας ήταν η καλύτερη από ό,τι ήταν το ’19, αν η αγορά κινείται σε καλύτερους ρυθμούς από ό,τι κινούνταν το ’19, αν γενικά η χώρα μας αισθάνεται πιο ισχυρή και πιο ασφαλής. Τα λέω αυτά για να καταδείξω ότι η συνέπεια λόγων και πράξεων είναι το καλύτερο διαπιστευτήριο για να μας εμπιστευτούν και πάλι οι πολίτες γι’ αυτά που θέλουμε να κάνουμε την επόμενη τετραετία.",political agenda,elections,other,0.7,0,0,"[['elections', 'date', '1.0'], ['four years', 'date', '1.0'], ['19 (presumably 1990s)', 'date', '0.5'], ['country', 'location', '1.0']]"
