id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good morning. Thank you for this warm welcome. Today, here in Evpali, in Dorida, it is a sunny day. As sunny as May 21 will be for our party and for our country.I am very impressed by your presence here today.It gives me strength to continue this struggle with you, to keep the country firmly on the path of progress, development, progress and national self-confidence.Now, look here, I am accompanied by so many ladies and I want to remind the ladies we have here, the women we have with us, that for the first time yesterday we announced a State Electoral List with eight women and seven men. Three women in elected positions.","Καλημέρα σας. Ευχαριστώ γι΄ αυτή τη θερμή υποδοχή. Σήμερα, εδώ, στο Ευπάλιο, στη Δωρίδα, είναι μία ηλιόλουστη μέρα. Όπως ηλιόλουστη θα είναι και η 21η Μαΐου για την παράταξή μας και για την πατρίδα μας.Με εντυπωσιάζει πάρα πολύ η παρουσία σας σήμερα εδώ, μου δίνει δύναμη να συνεχίσουμε μαζί αυτόν τον αγώνα, για να κρατήσουμε σταθερά τη χώρα στην τροχιά της προόδου, της ανάπτυξης, της προκοπής, της εθνικής αυτοπεποίθησης.Τώρα, κοιτάξτε εδώ, συνοδεύομαι από πάρα πολλές κυρίες και θέλω να θυμίσω στις κυρίες που έχουμε εδώ, στις γυναίκες που έχουμε μαζί μας, ότι για πρώτη φορά χθες ανακοινώσαμε ένα ψηφοδέλτιο Επικρατείας με οκτώ γυναίκες και επτά άντρες. Τρεις γυναίκες σε εκλόγιμες θέσεις.",political agenda,elections,other,0.8,0,0,"[['evpali', 'location', '1.0'], ['dorida', 'location', '1.0'], ['may 21', 'date', '1.0'], ['our party', 'political party', '1.0'], ['our country', 'country', '1.0'], ['ladies', 'group of people', '1.0'], ['women', 'group of people', '1.0'], ['state electoral list', 'organization', '1.0']]"
2,"Friends, I have started this march in this election period and my intention is to tour every corner of our country. You see, we are not letting a day go by; some others are having leisurely three days, we are going from village to village, from town to town, to carry the message of victory. But above all to talk about the future of our country and about what the great stakes of the May 21 elections are.Because we say every time, in every election, that every election is crucial. But I would say that this election has a special significance, a special criticality. For the simple reason that four years together, united, state and society, we have achieved and accomplished a great deal.","Φίλες και φίλοι, έχω ξεκινήσει αυτή την πορεία σε αυτή την προεκλογική περίοδο και πρόθεσή μου είναι να γυρίσω κάθε γωνιά της πατρίδας μας. Βλέπετε εμείς δεν αφήνουμε μέρα να πάει χαμένη.Κάποιοι άλλοι κάνουν χαλαρά τριήμερα, εμείς γυρνάμε από χωριό σε χωριό, από πόλη σε πόλη, για να μεταφέρουμε το μήνυμα της νίκης. Αλλά κυρίως να μιλήσουμε για το αύριο της πατρίδας μας και για το ποιο τελικά είναι το μεγάλο στοίχημα των εκλογών της 21ης Μαΐου.Διότι λέμε κάθε φορά, σε κάθε εκλογική αναμέτρηση, ότι κάθε εκλογή είναι κρίσιμη. Αλλά θα έλεγα ότι αυτή η εκλογή έχει μία ιδιαίτερη σημασία, μία ιδιαίτερη κρισιμότητα. Για τον απλούστατο λόγο ότι τέσσερα χρόνια μαζί, ενωμένοι, πολιτεία και κοινωνία, καταφέραμε και πετύχαμε πολλά.",political agenda,infrastructure,election spending,0.6,0,0,"[['friends', 'group of people', '0.6'], ['may 21', 'date', '0.4']]"
3,"We have overcome unprecedented crises, we have kept society on its feet, we have kept Greece on its feet, we have put the economy on a growth track and at the same time, despite the great difficulties, we have also implemented all our central pre-election commitments, and I am extremely proud of that.In 2019, I looked you in the eye and asked you to sign a truth agreement. I pledged to you that I would reduce taxes and contributions, that I would support growth, that I would create jobs, that I would support the primary sector, that I would turn Greece into a major construction site, that I would protect the borders of the country, that I would support the Armed Forces.And I ask you if there is a single one of these pledges that we have not put into practice. We have fully implemented our 2019 election programme. And at the same time we managed a series of unprecedented crises.","Ξεπεράσαμε πρωτοφανείς κρίσεις, κρατήσαμε την κοινωνία όρθια, κρατήσαμε την Ελλάδα ψηλά, βάλαμε την οικονομία σε τροχιά ανάπτυξης και ταυτόχρονα, παρά τις μεγάλες δυσκολίες, υλοποιήσαμε και όλες τις κεντρικές προεκλογικές μας δεσμεύσεις και γι΄ αυτό είμαι εξαιρετικά υπερήφανος.Το 2019, σας κοίταξα στα μάτια και σας ζήτησα να υπογράψουμε μία συμφωνία αλήθειας. Δεσμεύτηκα απέναντί σας ότι θα μειώσω φόρους και εισφορές, ότι θα στηρίξω την ανάπτυξη, θα δημιουργήσω θέσεις εργασίας, θα στηρίξω τον πρωτογενή τομέα, θα μετατρέψω την Ελλάδα σ’ ένα μεγάλο εργοτάξιο, θα προστατεύσω τα σύνορα της πατρίδος, θα στηρίξω τις Ένοπλες Δυνάμεις.Και ρωτώ αν υπάρχει έστω και μία από αυτές τις δεσμεύσεις, την οποία δεν κάναμε πράξη. Υλοποιήσαμε στο ακέραιο το προεκλογικό μας πρόγραμμα του 2019. Και ταυτόχρονα διαχειριστήκαμε μία σειρά από πρωτοφανείς κρίσεις.",political agenda,education,tax cuts,0.8,0,0,"[['greece', 'location', '1.0'], ['2019', 'date', '1.0'], ['armed forces', 'organization', '0.8']]"
4,"When the Greek people put their trust in me, in July 2019, I could not have imagined how many difficulties we would have to face. From the refugee invasion of Evros in March 2020, to the pandemic crisis, from a neighbour who was constantly causing problems in the Aegean and the Eastern Mediterranean, to now, the imported crisis of insecurity as a result of Russia's war of invasion in Ukraine. If we had not spent more than EUR 50 billion to keep society and the economy on its feet during the coronavirus, we would be in a much more difficult situation today.","Όταν με εμπιστεύθηκε ο ελληνικός λαός, τον Ιούλιο του 2019, ούτε εγώ φανταζόμουν, πόσες δυσκολίες θα χρειαζόταν να αντιμετωπίσουμε. Από την προσφυγική εισβολή στον Έβρο, το Μάρτιο του 2020, μέχρι την κρίση της πανδημίας, από έναν γείτονα ο οποίος μονίμως προκαλούσε προβλήματα στο Αιγαίο και στην Ανατολική Μεσόγειο μέχρι τώρα, την εισαγόμενη κρίση ακρίβειας, ως αποτέλεσμα του πολέμου της εισβολής της Ρωσίας στην Ουκρανία.Κι όμως, φίλες και φίλοι, στηρίξαμε την κοινωνία. Εάν δεν είχαμε δαπανήσει παραπάνω από 50 δισεκατομμύρια ευρώ για να κρατήσουμε την κοινωνία και την οικονομία όρθιες κατά τη διάρκεια του κορονοϊού, σήμερα θα ήμασταν σε πολύ πιο δύσκολη κατάσταση.",political agenda,pandemic,other,-0.2,0,0,"[['greek people', 'group of people', '1.0'], ['july 2019', 'date', '1.0'], ['evros', 'location', '0.8'], ['pandemic crisis', 'event', '1.0'], ['aegean', 'location', '0.9'], ['eastern mediterranean', 'location', '0.8'], ['russia', 'organization', '0.9'], ['ukraine', 'location', '0.7'], ['eur 50 billion', 'organization', '0.9'], ['coronavirus', 'event', '1.0']]"
5,"We were able at the same time, and in the face of imported precision, to support electricity bills. I remember 18 months ago, our big concern was what to do about the electricity bills, which were going up all the time, but we came in and taxed the big power companies and we were able to subsidise all the household bills, the small businesses, to keep electricity prices down.","Μπορέσαμε ταυτόχρονα, και απέναντι στην εισαγόμενη ακρίβεια, να στηρίξουμε τους λογαριασμούς του ρεύματος. Θυμάμαι πριν από 18 μήνες, η μεγάλη μας έννοια ήταν τι θα κάνουμε με τους λογαριασμούς του ηλεκτρικού, οι οποίοι αυξάνονταν συνέχεια.Ήρθαμε, όμως, φορολογήσαμε τις μεγάλες εταιρείες παραγωγής ενέργειας και μπορέσαμε και επιδοτήσαμε όλους τους λογαριασμούς των νοικοκυριών, των μικρών επιχειρήσεων, ώστε να συγκρατήσουμε τις τιμές του ρεύματος.",political agenda,energy,electricity,,0,0,"[['18 months ago', 'date', '1.0'], ['power companies', 'organization', '0.7'], ['household bills', 'organization', '0.5'], ['small businesses', 'group of people', '0.5'], ['electricity prices', 'political party', '0.1']]"
6,"But we have done all this, friends, while keeping the country on a growth track. Because if our economy is not growing fast, we are not going to achieve real convergence with Europe. We will not improve incomes, we will not have money left over for social policy, nor for supporting local government.","Τα κάναμε όμως όλα αυτά, φίλες και φίλοι, κρατώντας ταυτόχρονα τη χώρα σε τροχιά ανάπτυξης. Διότι αν η οικονομία μας δεν αναπτύσσεται γρήγορα, δεν πρόκειται να πετύχουμε πραγματική σύγκλιση με την Ευρώπη. Δεν θα βελτιώσουμε τα εισοδήματα, δεν θα περισσεύουν χρήματα για κοινωνική πολιτική, ούτε για την στήριξη της Τοπικής Αυτοδιοίκησης.",political agenda,economy,economic equity,0.5,0,0,"[['1. europe', 'location', '0.75'], ['2. friends', 'group of people', '0.5'], ['3. country', 'country', '0.75']]"
7,"And the Mayor and all the Mayors in the country are well aware that never in the last forty years have there been more resources available, either for the Region or for Local Government, to do major infrastructure projects. From the biological treatment plants that are so important here in your region and of course for Lake Mornos, to the planning of major infrastructure projects that will bring every corner of our country out of isolation. That is my goal. The young people-I see that you have a lot of youth here in your villages and that makes me very happy. If the youth are to be able to stay in their villages and in their homeland, they need first and foremost good education and then good jobs. I ask you today if there is another party in the country that has a clear plan on how we can take Greece forward.","Κι εδώ το γνωρίζουν καλά και ο Δήμαρχος και όλοι οι Δήμαρχοι στη χώρα, ότι ποτέ τα τελευταία σαράντα χρόνια δεν υπήρχαν περισσότεροι πόροι διαθέσιμοι, είτε για την Περιφέρεια, είτε για την Τοπική Αυτοδιοίκηση, για να γίνουν σημαντικά έργα υποδομής. Από τους βιολογικούς καθαρισμούς που τόσο σημαντικοί είναι εδώ στην περιοχή σας και φυσικά για τη Λίμνη του Μόρνου, μέχρι το σχεδιασμό μεγάλων έργων υποδομής που θα βγάλουν κάθε γωνιά της πατρίδας μας από την απομόνωση. Αυτός είναι ο δικός μου στόχος. Τα νέα παιδιά -βλέπω ότι έχετε πολύ νεολαία εδώ στα χωριά σας και αυτό με χαροποιεί ιδιαίτερα. Για να μπορεί να μείνει η νεολαία στα χωριά της και στον τόπο της, χρειάζονται πρώτα και πάνω από όλα καλή εκπαίδευση και μετά καλές δουλειές. Σας ρωτώ σήμερα εάν υπάρχει στη χώρα άλλο κόμμα, το οποίο να έχει ξεκάθαρο σχέδιο, για το πώς μπορούμε να πάμε την Ελλάδα μπροστά. ",political agenda,elections,other,0.5,0,0,"[['mayor', 'person', '0.9'], ['mayors', 'group of people', '0.8'], ['local government', 'organization', '0.7'], ['region', 'location', '0.6'], ['lake mornos', 'location', '0.6'], ['greece', 'country', '0.8'], ['the last forty years', 'date', '0.6']]"
8,"Three days ago, I presented our plan for Greece 2027 in an event that lasted an hour and a half - it's worth watching - and it's a plan that is well thought out, it's costed, it emphasises all the areas where our country has comparative advantages. It is a plan that has secured funding and, above all, it is a realistic plan. The last thing I am going to do, friends, is to look you in the eye and tell you things that I know cannot be done.  I am invested in political credibility. I'm not going to back away from the truth deal that we have signed.","Εγώ πριν από τρεις μέρες, σε μια εκδήλωση που κράτησε μιάμιση ώρα -αξίζει να τη δείτε- παρουσίασα το σχέδιό μας για την Ελλάδα του 2027.Είναι ένα σχέδιο το οποίο είναι μελετημένο, είναι κοστολογημένο, δίνει έμφαση σε όλους τους τομείς όπου η χώρα μας έχει συγκριτικά πλεονεκτήματα. Με εξασφαλισμένη χρηματοδότηση και κυρίως, είναι ένα σχέδιο ρεαλιστικό. Το τελευταίο που πρόκειται να κάνω, φίλες και φίλοι, είναι να σας κοιτάξω στα μάτια και να σας τάξω πράγματα τα οποία ξέρω ότι δεν μπορούν να γίνουν.  Έχω επενδύσει στην πολιτική αξιοπιστία. Δεν πρόκειται να κάνω πίσω από τη συμφωνία αλήθειας την οποία έχουμε υπογράψει.",political agenda,economy,other,0.6,0,0,"[['greece', 'country', '1.0'], ['greece 2027', 'date', '1.0'], ['friends', 'group of people', '0.8'], ['political party', 'organization', '0.5'], ['truth deal', 'organization', '0.3']]"
9,"What we commit to we know we can deliver. How to raise wages more. We know which taxes we want to cut, we know how we can support the primary sector. And since you are talking to me about the primary sector, because I am in a region that is primarily agricultural and we are talking about our relations with Europe, you know, I would like to remind you that I am the one who managed to negotiate a rural development programme for the country, without any loss for our farmers and livestock farmers. A new NSRF for the region as a whole. It was just over 190 million in your Region's NSRF and through our own negotiations we took it to 426 million euros. These are projects for everyone. It is at the discretion of the Regional Governor and the Region how to allocate them.","Αυτά για τα οποία δεσμευόμαστε ξέρουμε ότι μπορούμε να τα κάνουμε πράξη. Πώς θα αυξήσουμε παραπάνω τους μισθούς. Ξέρουμε ποιους φόρους θέλουμε να μειώσουμε, ξέρουμε πώς μπορούμε να στηρίξουμε τον πρωτογενή τομέα. Και μιας και μου μιλάτε για πρωτογενή τομέα, γιατί είμαι σε μια περιοχή η οποία είναι πρωτίστως αγροτική και μιλάμε για τις σχέσεις μας με την Ευρώπη, ξέρετε, θέλω να σας θυμίσω ότι εγώ είμαι αυτός ο οποίος κατάφερε και διαπραγματεύτηκε για τη χώρα ένα πρόγραμμα αγροτικής ανάπτυξης, χωρίς καμία απώλεια για τους αγρότες μας και τους κτηνοτρόφους μας. Ένα νέο ΕΣΠΑ συνολικά για την Περιφέρεια. Ήταν κάτι πάνω από 190  εκατομμύρια το ΕΣΠΑ της Περιφέρειάς σας και με δικές μας διαπραγματεύσεις το πήγαμε στα 426 εκατομμύρια ευρώ. Αυτά είναι έργα για όλους. Είναι στην κρίση του Περιφερειάρχη και της Περιφέρειας πως θα τα κατανείμει. ",political agenda,agricultural policy,other,0,0,0,[]
10,"And of course the enormous importance I attach to the Recovery Fund. 31 billion in total for our country. You will say to me, do you see this money? When the young children go to school next year, from the fifth grade onwards, there will be an interactive whiteboard in every Greek classroom. This is Recovery Fund money, this is money for the education of the next day, for how we can make our learning more meaningful, more creative. This is how European money ultimately reaches its final recipients.","Και βέβαια η τεράστια σημασία που αποδίδω στο Ταμείο Ανάκαμψης. 31 δισεκατομμύρια συνολικά για τη χώρα μας. Θα μου πείτε αυτά τα λεφτά, τα βλέπετε; Όταν τα νέα παιδιά θα πάνε σχολείο του χρόνου, από την Ε’ Δημοτικού και μετά, σε κάθε ελληνική τάξη θα υπάρχει και ένας διαδραστικός πίνακας. Αυτά είναι χρήματα του Ταμείου Ανάκαμψης, είναι για την εκπαίδευση της επόμενης μέρας, για το πώς θα μπορέσουμε να κάνουμε το μάθημά μας πιο ουσιαστικό, πιο δημιουργικό. Αυτός είναι ο τρόπος με τον οποίο ευρωπαϊκά χρήματα φτάνουν τελικά στους τελικούς τους αποδέκτες.",political agenda,elections,european recovery fund,,0,0,"[['recovery fund', 'organization', '1.0'], ['greek', 'location', '1.0'], ['european', 'organization', '0.5'], ['greek', 'group of people', '0.5'], ['recovery fund', 'money', '0.5'], ['european', 'country', '0.5']]"
