id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good month, good victorious month for our New Democracy party. Thank you from the bottom of my heart for this spectacular participation in our call. To be with you today in my municipality in Kifissia and to see among you many old friends with whom we have been marching since 2004 and have fought many victorious battles together. This battle we will win. I did not expect such a turnout today on May Day, 20 days before the national elections which will decide whether our country will continue on the path of progress, progress and national self-confidence or whether it will turn back to a past that we all want to forget.","Καλό μήνα, καλό νικηφόρο μήνα για την παράταξή μας τη Νέα Δημοκρατία. Σςα ευχαριστώ από καρδιάς γι αυτην την θεαματική συμμετοχή στο κάλεσμα μας. Να βρεθώ σήμερα κοντα σας στο δήμο μου στην Κηφισιά και να δω αναμεσα σας πολλούς παλιους φίλους με τους οποίους πορευτήκαμε από το 2004 και δώσεμα μαζι πολλές νικηφόρες μάχες. Αυτή τη μαχη θα την κερδίσουμε. Δεν περίμενα τέτοια προσέλευση σήμερα Πρωτομαγια, 20 μέρες πριν από τις εθνικες εκλογές οι οποίες θα κρίνουν αν η χώρα μας θα συνεχίσει στο δρόμο της προόδου της προκοπής της εθνικης αυτοπεποιηθησης ή αν θα γυρίσει πίσω σ ένα παρελθον το οποιο ολοι και ολες θελουμε να ξεχασουμε. ",political agenda,other,other,0.8,0.0,0.0,"[['1. new democracy party', 'organization', 'high probability'], ['2. kifissia', 'location', 'high probability'], ['3. may day', 'date', 'high probability'], ['4. 2004', 'date', 'low probability'], ['5. 20 days before the national elections', 'date', 'high probability'], ['6. country', 'location', 'high probability.']]"
2,"Spyro you said something in your introduction 4 years ago we remember that they were asking us to find them slaves and now so many companies are looking for workers and raising wages so they can find them. This is the great success of our policy.Since today is May Day - workers' day - it is perhaps also an opportunity to finally think about who the party is, who the party is, who the government is that fought for the interests of the workers.","Σπύρο είπες κάτι στην εισαγωγή σου πριν από 4 χρόνια θυμαστε ότι μας ζητούσανε να τους βρούμε δούλεια και τώρα τόσες επιχειτήσεις ψάχνυν για εργαζόμενους κι αυξάνουν τους μισθους για να μπορέσουν να τους βρουν. Αυτή είναι η μεγαλη επιτυχία της δικής μας πολιτικής.Μιας και σήμερα είναι Πρωτομαγιά -η μέρα των εργαζομένων- είναι ίσως και μια ευκαιρία να σκεφτούμε τελικά ποιο είναι το κόμμα, ποια είναι η παράταξη, ποια είναι η κυβέρνηση που αγωνίστηκε για τα συμφέροντα των εργαζόμενων.",political agenda,employment,workers' rights,0.6,0.2,0.2,"[['spyro', 'person', '0.9'], ['may day', 'date', '0.9']]"
3,Who are the ones who increased the basic wage by 20% and took it to 780 euros. Who are the ones who introduced the digital job card so that all overtime could be recorded.Who are the ones who increased maternity and paternity leave for the first time. For the first time we have paternity leave.Who are they who have strengthened labour market controls,"Ποιοι είναι αυτοί, που αύξησαν τον βασικό μισθό κατά 20% και τον πήγαν στα 780 ευρώ. Ποιοι είναι αυτοί που εισήγαγαν την ψηφιακή κάρτα εργασίας για να μπορέσουν όλες οι υπερωρίες να καταγράφονται.Ποιοι είναι αυτοί που αύξησαν τις άδειες μητρότητας και πατρότητας, για πρώτη φορά. Για πρώτη φορά έχουμε άδεια πατρότητας.Ποιοι είναι αυτοί, που ενίσχυσαν τους ελέγχους στην αγορά εργασίας",political agenda,employment,other,1.0,0.2,0.2,[]
4,"New Democracy is with May Day and Tsipras is with April Fool's Day. Because nothing but lies. He is a month behind.
Our friend tells us that pensions have been given. Mr Tsipras found a pensioner in Chios who did not receive his pension, but he did not tell us that he owed 40,000 to the funds. What the pensioners know is that pensions are now being paid in two months where they took two years to be paid.","Η Νέα Δημοκρατία είναι με την Πρωτομαγιά και ο Τσίπρας είναι με την Πρωταπριλιά. Διοτι από ψεμματα άλλο τίποτα. Έχει μέινει ένα μήνα πίσω.
Δόθηκαν συνταξεις μας λέει ο φίλος μας. Βρήκε ο κ. Τσίπρας κάποιον συνταξιουχο στη Χίο που δεν πήρε λέει την σύνταξή του αλλά δεν μας είπε ότι χρωστούσε και 40.000 στα ταμεία. Αυτό το οποίο γνωρίζουν οι συνταξιουχοι είναι ότι οι συντάξεις δίνονται πια σε δυο μήνες εκεί που θέλανε 2 χρόνια για να δοθουμε.",criticism,pensioners,pensions,-0.8,0.9,0.2,"[['new democracy', 'organization', '0.9'], ['may day', 'date', '1.0'], ['tsipras', 'person', '0.9'], [""april fool's day"", 'date', '1.0'], ['mr tsipras', 'person', '0.9'], ['chios', 'location', '0.8']]"
5,"Our economy is now an economy that is growing much faster than the eurozone's medium term, it is creating jobs, see here, the commercial centre of Kifissia and more, investments are coming to our country much more than they used to. Despite the difficulties, the country can look to the future again with optimism and self-confidence. And I assure you that none of what we have achieved has been easy. When we signed the truth agreement in 2019, I looked you in the eye and committed to 3 things: I would cut taxes and I cut taxes for all and for everyone. ENVIA, Parent Benefit, Introductory Tax Rate, Employer Contributions.","Η οικονομια μας πια είναι μια οικονομια η οποία αναπτύσετε πολύ γρηγόροτερα από το μεσο ορο της ευρωζωνης, δημιουργει θεσεις εργασίας, δείτε εδώ περα σφίζει το εμπορικό κέντρο της Κηφισιάς κι όχι μόνο, επενδύσεις ερχονται στην πατρίδα μας πολλες περισσότερες απ αυτές που ερχόντουσαν ποτε. Η χώρα μπορεί παρα τις δυσκολίες να ατενιζει και πάλι το μέλλον με αισιοδοξια και αυτοπεποιθηση. Και σας διαβεβαιωνω ότι τιποτα από όλα αυτά που πετύχαμε δεν ήταν εύκολο. Όταν το 2019 υπογραψαμε τη συμφωνια αληθειας σας είχα κοιταξει στα ματια και σας είχα δεσμευτεί για 3 πράγματα: Θα μειώσω τους φόρους και μείωσα τους φόρους για όλες και για όλους. ΕΝΦΙΑ, Γονικη Παροχή, εισαγωγικό φορολογικό συντελεστή, εργοδοτικές εισφορές. ",political agenda,other,tax cuts,0.8,0.0,0.0,"[['1. kifissia', 'location', '1.0'], ['2. greece', 'country', '1.0'], ['3. 2019', 'date', '1.0']]"
6,"I told you that I would make the country an attractive country for investment again and yes this government has created 300,000 new jobs. And when we talk about social policy, there is no policy with a bigger footprint than a policy that can lift an unemployed person out of poverty and finally give them the opportunity to get ahead, to work with a decent income. And I told you a third thing, I will make our country safe and proud again. And yes, we have fortified our borders.","Σας είχα πει ότι Θα ξανακάνω τη χώρα μια ελκυστική χώρα για επενδύσεις και ναι αυτή κυβέρνηση δημιούργησε 300.000 νέες θέσεις εργασίας. Κι όταν μιλάμε για κοινωνική πολιτική, δεν υπάρχει πολιτική με μεγαλύτερο αποτύπωμα από την πολιτική, η οποία μπορεί να βγάζει ένα άνεργο από την ανέχεια και να του δίνει επιτέλους την ευκαιρία να προκόψει, να εργαστεί με αξιοπρεπές εισόδημα. Και σας είχα πει και κάτι τρίτο, θα ξανακάνω τη χώρα μας ασφαλή και υπερήφανη. Και ναι θωρακίσαμε τα σύνορα μας.",political agenda,employment,employment,0.9,0.0,0.0,"[['country', 'location', '1.0'], ['government', 'organization', '1.0'], ['social policy', 'organization', '0.7'], ['person', 'person', '0.5'], ['policy', 'organization', '0.5'], ['unemployed person', 'person', '0.9'], ['poverty', 'organization', '0.5'], ['third thing', 'organization', '0.5'], ['borders', 'location', '1.0']]"
7,"Mr Tsipras went to Chios and did not say a word about the refugee issue. Because obviously, if this discussion were opened, people would remind him of all the nice things he said, that the sea has no borders, that everyone can enter our country without any controls. I am proud, friends, that we have implemented a strict but fair immigration policy. The country has borders and must protect them on land and sea.","Πήγε ο κ. Τσίπρας στη Χίο και δεν είπε κουβέντα για το προσφυγικό. Γιατί προφανώς αν ανοιγε αυτή η συζήτηση, θα του θύμιζαν διάφοροι όλα αυτά τα ωραία, τα οποία έλεγε ότι η θάλασσας δεν έχει σύνορα, ότι μπορούν όλοι να περνούν στην πατρίδα μας χωρίς κανέναν έλεγχο. Είμαι υπερήφανος φίλες και φίλοι που εφαρμόσαμε μια αυστηρή αλλά δίκαιη μεταναστευτική πολιτική. Η χώρα έχει σύνορα και πρέπει να τα προφυλάσσει και στη θάλασσα και στην ξηρά.",political agenda,migration,sea borders,-0.5,0.2,0.0,"[['mr tsipras', 'person', '0.95'], ['chios', 'location', '0.95'], ['refugee issue', 'group of people', '0.70'], ['country', 'location', '0.75'], ['immigration policy', 'political party', '0.60'], ['land', 'location', '0.55'], ['sea', 'location', '0.50']]"
8,Others are with cloves. I prefer roses.,Άλλοι είναι με γαρύφαλλα. Εγώ προτιμώ τα τριαντάφυλλα.,,other,other,0.5,0.0,0.0,[]
9,"So this policy of strengthening the armed forces, of strengthening the credibility of the country, a country that counts again in Europe and in the world, a country whose voice is heard not only when it speaks about our national interests, when it speaks about important European issues. This is a country today that is more on its feet and I am really very impressed.","Αυτή την πολιτική λοιπόν,  της ενίσχυσης των ενόπλων δυνάμεων, της ενίσχυσης της αξιοπιστίας της χώρας, μια χώρα η οποία μετρά και πάλι στην Ευρώπη και στον κόσμο μια χώρα της οποίας η φωνή  ακούγεται όχι μόνο όχι μόνο όταν μιλάει για τα εθνικά μας συμφέροντα, όταν μιλάει για τα σημαντικά ευρωπαϊκά ζητήματα. Αυτή η χώρα είναι μια χώρα σήμερα η οποία πατάει πιο καλά στα πόδια της και πραγματικά μου κάνει πολύ εντύπωση. ",political agenda,other,defense spending,0.9,0.0,0.0,"[['europe', 'location', '0.9'], ['world', 'location', '0.8'], ['national', 'group of people', '0.5'], ['european', 'group of people', '0.5'], ['country', 'location', '0.5']]"
10,"I was watching - maybe you saw them too - the SYRIZA advertising campaign spots, grey and black everywhere. And I wonder if this is the Greece that Greek citizens are experiencing today. The answer is ""no"", my friends; the Greece of grey and misery was their Greece that we left behind for good in 2019. Ours is a more optimistic, brighter Greece.","Έβλεπα -ίσως τα είδατε και εσείς- τα σποτάκια της διαφημιστικής καμπάνιας του ΣΥΡΙΖΑ, γκρίζο και μαύρο παντού. Και αναρωτιέμαι αν αυτή είναι η Ελλάδα την οποία βιώνουν σήμερα οι Έλληνες πολίτες. Η απάντηση είναι “όχι”, φίλες και φίλοι.Η Ελλάδα του γκρίζου και της μιζέριας ήταν η δική τους Ελλάδα που την αφήσαμε για τα καλά πίσω το 2019. Η δική μας Ελλάδα είναι πιο αισιόδοξη, πιο φωτεινή.",political agenda,elections,campaigning,0.8,0.0,0.1,"[['syriza', 'organization', '0.9'], ['greece', 'country', '1'], ['greek citizens', 'group of people', '0.9'], ['2019', 'date', '1']]"
