id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for the very warm welcome in Nikaia, in Piraeus. From here we send the message of the great victory in the elections of 21 May. The message that the country must continue to move forward with stability and security, with prosperity and with confidence in the future. A better future, which can only be guaranteed by our great party, New Democracy.I think that all of us together today can make a bet, which I know we are in a position to win. To bring New Democracy first in Piraeus and especially first here in Nikaia.","Ευχαριστώ για την πολύ θερμή υποδοχή στη Νίκαια, στη Β΄ Πειραιά. Από δω στέλνουμε το μήνυμα της μεγάλης νίκης στις εκλογές της 21ης Μαΐου. Το μήνυμα ότι η χώρα πρέπει να συνεχίσει να πορεύεται με σταθερότητα και με ασφάλεια, με προκοπή και με αυτοπεποίθηση στο μέλλον. Ένα καλύτερο μέλλον, που μπορεί να το εγγυηθεί μόνο η μεγάλη μας παράταξη, η Νέα Δημοκρατία.Νομίζω, ότι όλοι μαζί σήμερα, μπορούμε να βάλουμε ένα στοίχημα, το οποίο ξέρω ότι είμαστε σε θέση να το κερδίσουμε. Να φέρουμε τη Νέα Δημοκρατία πρώτη στη Β΄ Πειραιά και ειδικά πρώτη εδώ στη Νίκαια.",political agenda,elections,campaigning,0.6,0,0,"[['nikaia', 'location', '1.0'], ['piraeus', 'location', '1.0'], ['21 may', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['piraeus', 'location', '1.0'], ['nikaia', 'location', '1.0']]"
2,"I come, friends, from a very nice visit I made to the shipyards of Perama and I am referring specifically to our shipbuilding zone, because it marks the commitment we have given all these last four years to job creation. I have seen shipyards that are bustling with life, more than 10,000 people working in Perama, the shipyards of Elefsina have been saved by this Government from certain closure, 700 jobs have been saved, another 1,300 will be created, and that, my friends, is how we understand progressive social policy in practice. And I mention this because you know many people claim and wear the mantle of progressive, but I wonder if there is a more progressive policy than one that creates jobs with good wages and lifts people out of unemployment. And I refer specifically to this parameter, because only New Democracy has proven over time that it can bring growth, bring investment and bring more and better paid jobs.","Έρχομαι, φίλες και φίλοι, από μία πολύ ωραία επίσκεψη, την οποία έκανα στα ναυπηγεία του Περάματος και αναφέρομαι ειδικά στη ναυπηγοεπισκευαστική μας ζώνη, διότι σηματοδοτεί την προσήλωση την οποία δώσαμε όλα αυτά τα τελευταία τέσσερα χρόνια στη δημιουργία θέσεων εργασίας. Είδα ναυπηγεία τα οποία σφύζουν από ζωή, παραπάνω από 10.000 άνθρωποι δουλεύουν στο Πέραμα, τα ναυπηγεία της Ελευσίνας σώθηκαν από αυτή την Κυβέρνηση από βέβαιο κλείσιμο, 700 θέσεις εργασίας διασώθηκαν, άλλες 1.300 θα δημιουργηθούν.Κι έτσι αντιλαμβανόμαστε, φίλες και φίλοι, στην πράξη την προοδευτική κοινωνική πολιτική. Και αναφέρομαι σε αυτό διότι ξέρετε πολλοί επικαλούνται και φορούν τον μανδύα του προοδευτικού, αλλά αναρωτιέμαι εάν τελικά υπάρχει πιο προοδευτική πολιτική από αυτήν η οποία δημιουργεί θέσεις εργασίας με καλά πληρωμένους μισθούς και βγάζει κόσμο από την ανεργία. Και αναφέρομαι ειδικά σε αυτήν την παράμετρο, διότι μόνο η Νέα Δημοκρατία έχει αποδείξει διαχρονικά ότι μπορεί να φέρει την ανάπτυξη, να φέρει τις επενδύσεις και να φέρει περισσότερες και πιο καλά πληρωμένες θέσεις εργασίας.",political agenda,employment,job security,0.8,0,0,"[['perama', 'location', '1.0'], ['elefsina', 'location', '1.0'], ['government', 'organization', '0.9'], ['new democracy', 'political party', '0.8']]"
3,"And, of course, I am happy because I am in a square here, which is also identified with the way we perceive major infrastructure projects in our country. Here, the Metro, which we had the opportunity to inaugurate, brought Nikaia out of its isolation and connected it to the centre of Athens. I would like to tell you that similar major projects are being launched throughout the country. Thessaloniki will very soon have its own ultra-modern Metro, and here in Athens the Metro will be extended further westwards, and we will have a new line connecting one end of the city with the other. Because this ultimately means growth and prosperity, many major projects that improve the daily lives of citizens. Large, medium and small, of course, because don't forget that here the municipalities in your region have received more than 100 million resources to be used.","Και, βέβαια, χαίρομαι γιατί βρίσκομαι σε μία πλατεία εδώ, η οποία είναι ταυτισμένη και με τον τρόπο με τον οποίον αντιλαμβανόμαστε τα μεγάλα έργα υποδομής στην πατρίδα μας. Εδώ το Μετρό, το οποίο εμείς είχαμε την ευκαιρία να εγκαινιάσουμε, έβγαλε τη Νίκαια από την απομόνωση, τη σύνδεσε με το κέντρο της Αθήνας. Και αντίστοιχα μεγάλα έργα θέλω να σας πω ότι δρομολογούνται σε όλη την πατρίδα. Η Θεσσαλονίκη πολύ σύντομα θα αποκτήσει το δικό της υπερσύγχρονο Μετρό, εδώ στην Αθήνα το Μετρό θα επεκταθεί περισσότερο προς τα δυτικά, θα έχουμε μία καινούρια γραμμή η οποία θα συνδέει τη μία άκρη της πόλης με την άλλη. Διότι αυτό τελικά σημαίνει ανάπτυξη και προκοπή, πολλά μεγάλα έργα τα οποία βελτιώνουν την καθημερινότητα των πολιτών. Μεγάλα, μεσαία και μικρά βέβαια, γιατί μην ξεχνάτε ότι εδώ οι Δήμοι της περιοχής σας έχουν εισπράξει παραπάνω από 100 εκατομμύρια πόρους προς αξιοποίηση.",political agenda,infrastructure,other,0.8,0,0,"[['nikaia', 'location', '0.8'], ['athens', 'location', '0.8'], ['metro', 'organization', '0.8'], ['thessaloniki', 'location', '0.8'], ['greece', 'country', '0.7'], ['municipalities', 'group of people', '0.6']]"
4,"What I do is for you to judge. One thing you should know is that we have given local government the most financial tools it has ever had at its disposal to implement critical projects that ultimately improve your quality of life. So we have done our duty, as we have supported social structures, we have supported health structures, we have built the Health Centre in Keratsini, which is a model Health Centre for how we perceive public health in our country in the next day. We have strengthened the policing departments, because I know that this is an issue that concerns you very much. We have, in other words, bent over backwards to the problems of your own regions.","Το τι κάνω, θα το κρίνετε εσείς. Ένα πρέπει να γνωρίζετε, ότι εμείς έχουμε δώσει στην Τοπική Αυτοδιοίκηση τα περισσότερα χρηματοδοτικά εργαλεία τα οποία είχε ποτέ στη διάθεσή της για να υλοποιήσει κρίσιμα έργα, τα οποία τελικά βελτιώνουν τη δική σας ποιότητα ζωής. Εμείς, λοιπόν, το καθήκον μας το κάναμε, όπως στηρίξαμε τις κοινωνικές δομές, στηρίξαμε τις δομές υγείας, φτιάξαμε το Κέντρο Υγείας στο Κερατσίνι, το οποίο είναι ένα πρότυπο Κέντρο Υγείας για το πώς αντιλαμβανόμαστε την επόμενη μέρα την δημόσια υγεία στη χώρα μας. Ενισχύσαμε τα τμήματα αστυνόμευσης, γιατί ξέρω ότι είναι ένα ζήτημα το οποίο σας απασχολεί πάρα πολύ. Σκύψαμε, με άλλα λόγια, πάνω στα προβλήματα των δικών σας περιοχών.",political agenda,other,other,0.5,0,0,"[['1. keratsini', 'location', '1.0'], ['2. country', 'country', '1.0']]"
5,"Did we fix everything? No. But never, my friends, did I promise miracles.  I promised a lot of hard work, and I can look you in the eye today and say, ""yes, we have been faithful to all the campaign commitments we made to you when I was in your district before the 2019 elections.""","Τα διορθώσαμε όλα; Όχι. Ουδέποτε όμως, φίλες και φίλοι, έταξα θαύματα.  Υποσχέθηκα πολλή και σκληρή δουλειά και μπορώ σήμερα να σας κοιτάξω στα μάτια και να σας πω, «ναι, ήμασταν συνεπείς σε όλες τις προεκλογικές δεσμεύσεις τις οποίες σας δώσαμε όταν βρέθηκα στην περιοχή σας πριν από τις εκλογές του 2019».",political agenda,elections,campaigning,0.5,0,0,"[['1. friends', 'group of people', '0.6'], ['2. 2019 elections', 'date', '0.7']]"
6,"And with the same fervour, with the same enthusiasm I want to continue, friends, because we have many plans for Greece for the next four years, how to increase our wages, how to have better health care. How we will continue to shield Greece. And I think that has a special importance here in Nice, in the refugee Nice. You know very well that this government has defended the national sovereignty of the country and protected its sovereign rights. It guarded the borders. And it sent the message of a strong Greece, which will always face all crises from a position of confidence, with good and strong alliances. This is how we understand our country's role in the wider region.","Και με την ίδια θέρμη, με τον ίδιο ενθουσιασμό θέλω να συνεχίσουμε, φίλες και φίλοι, διότι έχουμε πολλά σχέδια για την Ελλάδα της επόμενης τετραετίας, για το πώς θα αυξήσουμε τους μισθούς μας, πώς θα έχουμε μια καλύτερη Υγεία. Πώς θα εξακολουθούμε να θωρακίζουμε την Ελλάδα. Και αυτό νομίζω ότι έχει μια ξεχωριστή σημασία εδώ, στη Νίκαια της προσφυγιάς. Ξέρετε πολύ καλά ότι αυτή η κυβέρνηση υπερασπίστηκε την εθνική κυριαρχία της χώρας και προστάτεψε τα κυριαρχικά της δικαιώματα. Φύλαξε τα σύνορα. Και έστειλε το μήνυμα μιας ισχυρής Ελλάδος, η οποία πάντα θα αντιμετωπίζει όλες τις κρίσεις από θέση αυτοπεποίθησης, με καλές και ισχυρές συμμαχίες. Έτσι αντιλαμβανόμαστε το ρόλο της χώρας μας στην ευρύτερη περιοχή.",political agenda,national security,other,0.6,0,0,"[['greece', 'country', '1.0'], ['nice', 'location', '1.0'], ['government', 'organization', '1.0'], ['greece', 'group of people', '0.5'], ['four years', 'date', '1.0']]"
7,"And this course, friends, this course of progress, this course of progress, this course of progress must under no circumstances be interrupted in the next elections. And this is the great stake that we all have to win. We have achieved a lot in these four years. We have gone through great difficulties: from the pandemic, the refugee crisis, the crisis with Turkey, the war in Ukraine, the imported boom in price. But we have kept the country firmly on the path of progress. And that is precisely what this election is all about. Whether we will keep moving forward or whether we will roll back.","Και αυτή η πορεία, φίλες και φίλοι, αυτή η πορεία προκοπής, αυτή η πορεία προόδου δεν πρέπει σε καμία περίπτωση να ανακοπεί στις επόμενες εκλογές. Και αυτό είναι και το μεγάλο στοίχημα το οποίο καλούμαστε όλες και όλοι να κερδίσουμε. Πετύχαμε πολλά αυτά τα τέσσερα χρόνια. Περάσαμε μέσα από μεγάλες δυσκολίες: από την πανδημία, το προσφυγικό, την κρίση με την Τουρκία, τον πόλεμο στην Ουκρανία, την εισαγόμενη έκρηξη ακρίβειας. Κρατήσαμε, όμως, τη χώρα σταθερά στην πορεία της προόδου. Και αυτό ακριβώς είναι και το ζητούμενο αυτών των εκλογών. Αν θα συνεχίσουμε να πηγαίνουμε μπροστά ή αν θα κυλήσουμε πίσω.",political agenda,elections,other,0.4,0.2,0,"[['not specified', 'friends'], ['progress', 'group of people', '3%'], ['progress', 'group of people', '3%'], ['progress', 'group of people', '3%'], ['elections', 'date', '100%'], ['country', 'location', '100%'], ['four years', 'date', '100%'], ['pandemic', 'organization', '100%'], ['refugee crisis', 'organization', '100%'], ['turkey', 'location', '100%'], ['ukraine', 'location', '100%'], ['boom in price', 'organization', '100%'], ['country', 'location', '100%'], ['election', 'date', '100%'], ['progress', 'group of people', '3%'], ['forward', 'organization', '100%'], ['roll back', 'organization', '100%']]"
8,"And whether we will continue - I was listening to a friend, because it was Labour Day the day before yesterday and I was wondering: who is more liberal, the one who gave us the minimum wage at 650 euros or the one who took the minimum wage to 780 euros and pledges to bring it to 950 euros in the next four years?","Και αν θα συνεχίσουμε -ακούω ένα φίλο, επειδή ήταν και προχθές η εργατική Πρωτομαγιά και αναρωτιόμουν: ποιος τελικά είναι πιο φιλεργατικός, αυτός που μας παρέδωσε τον κατώτατο μισθό στα 650 ευρώ ή αυτός που πήγε τον κατώτατο μισθό στα 780 ευρώ και δεσμεύεται ότι θα τον φτάσει στα 950 ευρώ μέσα στην επόμενη τετραετία;",political agenda,employment,other,0.5,0.2,0.2,"[['labour day', 'date', '1.0'], ['labour', 'political party', '0.5'], ['650 euros', 'organization', '0.2'], ['780 euros', 'organization', '0.2'], ['950 euros', 'organization', '0.2']]"
9,"Friends, but because I am here in Nice, an area with very strong political symbolism, I cannot help but comment on recent developments. And I am referring specifically to the decision of the Supreme Court Chamber to ban the Golden Dawn killers from contesting the national elections.We have raised a mound of democracy. The regulation that we passed in Parliament has been tested in practice and has had the expected results. And I am proud today, as a democratic, progressive citizen, that it was the New Democracy party that took the lead and won the battle. It was a battle for democracy that we won today.","Φίλες και φίλοι, όμως επειδή βρίσκομαι εδώ στη Νίκαια, μια περιοχή με πολύ έντονο πολιτικό συμβολισμό, δεν μπορώ να μην κάνω και ένα σχόλιο για τις πρόσφατες εξελίξεις. Και αναφέρομαι συγκεκριμένα στην απόφαση του Τμήματος του Αρείου Πάγου να απαγορεύσει την κάθοδο των φονιάδων της Χρυσής Αυγής στις εθνικές εκλογές.Υψώσαμε ένα ανάχωμα Δημοκρατίας. Η ρύθμιση την οποία ψηφίσαμε στη Βουλή δοκιμάστηκε στην πράξη και είχε τα προσδοκόμενα αποτελέσματα. Και είμαι υπερήφανος σήμερα, ως δημοκρατικός, προοδευτικός πολίτης, που η παράταξη της Νέας Δημοκρατίας ήταν αυτή η οποία πρωτοστάτησε και κέρδισε τη μάχη. Ήταν μια μάχη για τη Δημοκρατία την οποία κερδίσαμε σήμερα.",political agenda,democracy,far-right,0.6,0.2,0,"[['nice', 'location', '0.85'], ['supreme court chamber', 'organization', '0.8'], ['golden dawn', 'political party', '0.7'], ['parliament', 'organization', '0.6'], ['new democracy party', 'political party', '0.7']]"
10,"But I wonder, how do those who were absent from this battle that we all had to fight together feel today? SYRIZA never voted for the legislation in Parliament, on which the arguments of the Supreme Court Chamber were based. It refused to submit a memorandum to the Supreme Court, arguing the obvious, that essentially behind the party that was contesting the elections is a criminal organisation that has been convicted of using criminal violence. He was able, listen to this, because there was a last big effort to have SYRIZA file a memo together with New Democracy and together with PASOK.Think how strong our position would be if the three major parties came to court together and asserted the obvious. And yet, the supposedly progressive and left-wing Syriza chose to stand against this front of common sense and democracy that we put up. Together with Mr Varoufakis, who, Mr Varoufakis told us: ""the party of Kasidiaris must not be excluded from the Parliament"".","Και αναρωτιέμαι όμως, πώς αισθάνονται σήμερα αυτοί οι οποίοι ήταν απόντες από αυτή τη μάχη την οποία έπρεπε να τη δώσουμε όλοι μαζί; Ο ΣΥΡΙΖΑ δεν ψήφισε ποτέ τη νομοθετική ρύθμιση στη Βουλή, πάνω στην οποία πάτησε η επιχειρηματολογία του Τμήματος του Αρείου Πάγου. Αρνήθηκε να καταθέσει υπόμνημα στον Άρειο Πάγο υποστηρίζοντας το αυτονόητο, ότι ουσιαστικά πίσω από το κόμμα το οποίο διεκδικούσε την κάθοδο στις εκλογές κρύβεται μία εγκληματική οργάνωση που έχει καταδικαστεί για τη χρήση εγκληματικής βίας. Είχε τη δυνατότητα, ακούστε το αυτό, διότι έγινε μία τελευταία μεγάλη προσπάθεια να καταθέσει ο ΣΥΡΙΖΑ υπόμνημα μαζί με τη Νέα Δημοκρατία και μαζί με το ΠΑΣΟΚ.Σκεφτείτε πόσο ισχυρή θα ήταν η θέση μας αν τα τρία μεγάλα κόμματα προσέρχονταν μαζί στο δικαστήριο και ισχυρίζονταν το αυτονόητο. Και όμως, επέλεξε ο δήθεν προοδευτικός και αριστερός ΣΥΡΙΖΑ να είναι απέναντι από αυτό το μέτωπο κοινής λογικής και Δημοκρατίας, το οποίο ορθώσαμε εμείς. Μαζί με τον κ. Βαρουφάκη, ο οποίος κ. Βαρουφάκης μάς είπε: «δεν πρέπει να αποκλειστεί το κόμμα του Κασιδιάρη από τη Βουλή».",criticism,democracy,abstention,-0.5,0.8,0.2,"[['syriza', 'organization', '1.0'], ['parliament', 'organization', '0.6'], ['supreme court chamber', 'organization', '0.6'], ['new democracy', 'political party', '0.6'], ['pasok', 'political party', '0.6'], ['syriza', 'organization', '1.0'], ['mr varoufakis', 'person', '1.0'], ['kasidiaris', 'person', '1.0'], ['parliament', 'location', '0.6'], ['greece', 'country', '1.0']]"
