id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Mr President, ladies and gentlemen, thank you for this very warm welcome. The last time I visited your beautiful island I was unable, due to pressure on my schedule, to come and see you in Lixouri. I had, however, committed myself then that on my next visit I would come to shake your hand and talk to you. And as you know, I have kept my commitments, I am with you today and I thank you for your warm response.","Κύριε Πρόεδρε, κυρίες και κύριοι, σας ευχαριστώ γι’ αυτή την πολύ θερμή υποδοχή. Την προηγούμενη φορά που επισκέφθηκα το όμορφο νησί σας δεν είχα καταφέρει, λόγω πίεσης στο πρόγραμμα, να έρθω να σας δω στο Ληξούρι. Είχα δεσμευθεί, όμως, τότε, ότι στην επόμενη επίσκεψή μου θα έρθω να σας σφίξω το χέρι, να σας μιλήσω. Κι όπως ξέρετε τηρώ τις δεσμεύσεις μου, είμαι σήμερα μαζί σας και σας ευχαριστώ για τη δική σας θερμή ανταπόκριση.",political agenda,other,other,0.6,0.0,0.0,"[['mr president', 'person', '0.95'], ['ladies and gentlemen', 'group of people', '0.95'], ['lixouri', 'location', '0.85'], ['today', 'date', '0.95']]"
2,"The President commemorated the historical relations of my father, Konstantinos Mitsotakis, with Kefalonia. It is true that his closest associate was the late Nikos Linardatos, who always spoke with great love for his country and I believe that he also contributed to many things that happened at that time. However, I want you to know that today you have before you a man who loves Kefalonia deeply, as I have spent more than ten summers here. From the age of 18 at least until I was 30, I used to come to Kourkoumelata for holidays with very good friends from the island and I have, I believe, a very good knowledge of the problems and the important development opportunities that exist here in Kefalonia.","Μνημόνευσε ο Πρόεδρος τις ιστορικές σχέσεις του πατέρα μου, του Κωνσταντίνου Μητσοτάκη, με την Κεφαλονιά. Είναι αλήθεια, ότι στενότατος συνεργάτης του υπήρξε ο αείμνηστος Νίκος Λιναρδάτος, ο οποίος πάντα μιλούσε με πολλή αγάπη για τον τόπο του και πιστεύω ότι έβαλε κι αυτός ένα λιθαράκι για πολλά πράγματα τα οποία έγιναν εκείνη την εποχή. Όμως, θέλω να γνωρίζετε ότι σήμερα έχετε μπροστά σας έναν άνθρωπο ο οποίος αγαπά βαθιά την Κεφαλονιά, καθώς εδώ έχω περάσει παραπάνω από δέκα καλοκαίρια. Από τα 18 μου τουλάχιστον μέχρι τα 30 ερχόμουν ανελλιπώς για διακοπές στα Κουρκουμελάτα με πολύ καλούς φίλους από το νησί και έχω, πιστεύω, μια πολύ καλή γνώση των προβλημάτων αλλά και των σημαντικών αναπτυξιακών ευκαιριών που παρουσιάζονται εδώ στην Κεφαλονιά.",political agenda,other,other,0.5,0.0,0.0,"[['konstantinos mitsotakis', 'person', '0.8'], ['kefalonia', 'location', '0.9'], ['nikos linardatos', 'person', '0.8'], ['country', 'group of people', '0.6'], ['kourkoumelata', 'location', '0.7'], ['kefalonia', 'location', '0.9']]"
3,"Mayor, indeed, I think you're right when you say that we have dealt with the problems of local government - this is a regional government - without looking at colours. We supported the municipalities and the regions, because we know very well that you are the first point of contact between the citizen and the state. And if you have sufficient financial tools, you will be able to make the lives of your citizens better.Kefalonia was hit by a series of disasters, the wounds of the 2014 earthquake were unfortunately not healed by the previous government with the speed they should have been and of course we had to add to this an unprecedented natural disaster, that of Janos.  ","Δήμαρχε, πράγματι, νομίζω ότι έχεις δίκιο όταν λες ότι εμείς αντιμετωπίσαμε τα προβλήματα της Τοπικής Αυτοδιοίκησης -κυρία Περιφερειάρχη- χωρίς να κοιτάμε χρώματα. Στηρίξαμε τους Δήμους και τις Περιφέρειες, διότι γνωρίζουμε πολύ καλά ότι εσείς είστε το πρώτο σημείο επαφής του πολίτη με το κράτος. Κι αν εσείς έχετε επαρκή χρηματοδοτικά εργαλεία τελικά θα μπορέσετε να κάνετε τη ζωή των δημοτών σας καλύτερη.Η Κεφαλονιά χτυπήθηκε από μια σειρά από καταστροφές, οι πληγές του σεισμού του 2014 δυστυχώς δεν γιατρεύτηκαν από την προηγούμενη κυβέρνηση με την ταχύτητα την οποία θα έπρεπε και βέβαια έπρεπε να προσθέσουμε και σε αυτό μία πρωτοφανή φυσική καταστροφή, αυτή του Ιανού.  ",,other,natural disasters,0.25,0.0,0.0,"[['mayor', 'person', '1.0'], ['municipalities', 'group of people', '0.9'], ['regions', 'group of people', '0.9'], ['citizen', 'group of people', '0.8'], ['state', 'organization', '0.7'], ['kefalonia', 'location', '1.0'], ['2014', 'date', '1.0'], ['janos', 'location', '0.9']]"
4,"I want you to know that never before has the state moved faster to repair the damage. I am not saying that we did everything perfectly, I am not saying that everything was done at the pace and speed that citizens might have expected. But we have certainly achieved a significant improvement in the state's response, so that citizens and local government know that when a major natural disaster strikes, the state will ultimately be there to help.","Θέλω να ξέρετε ότι ουδέποτε το κράτος έχει κινηθεί με μεγαλύτερη ταχύτητα για την αποκατάσταση των ζημιών. Δεν λέω ότι τα κάναμε όλα τέλεια, δεν λέω ότι έγιναν όλα με τους ρυθμούς και τις ταχύτητες που οι πολίτες μπορεί να προσδοκούσαν. Αλλά σίγουρα έχουμε πετύχει μία σημαντικότατη βελτίωση στην ανταπόκριση του κράτους, ώστε να γνωρίζουν οι πολίτες αλλά και η Τοπική Αυτοδιοίκηση ότι όταν χτυπάει μία μεγάλη φυσική καταστροφή το κράτος τελικά θα είναι κοντά και θα είναι αρωγός.",political agenda,civil protection,natural disasters,0.6,0.0,0.0,[]
5,"That is what we have done and the Mayor knows that he has secured significant resources from the Antonis Tritsis Programme. Important projects are being carried out, rural road projects, for example, that have never been done in this area here in your municipality, so that we can also meet the needs of the primary sector. But there are still challenges for the next day. You made a reference to your hospital and I want you to know that we will support your hospital. It is a small hospital but it can become a model of a small hospital as we envision it, meeting the basic needs of the population. And in doing so, reflecting the emphasis we want to place on quality public health care for all.","Αυτό κάναμε και ο Δήμαρχος ξέρει ότι έχει εξασφαλίσει σημαντικούς πόρους από το Πρόγραμμα «Αντώνης Τρίτσης». Γίνονται έργα σημαντικά, έργα αγροτικής οδοποιίας, για παράδειγμα, που δεν είχαν γίνει ποτέ στην έκταση αυτή, εδώ στον Δήμο σας, για να καλύψουμε και τις ανάγκες του πρωτογενούς τομέα. Υπάρχουν, όμως, ακόμα προκλήσεις για την επόμενη μέρα. Κάνατε μία αναφορά στο νοσοκομείο σας και θέλω να ξέρετε ότι θα στηρίξουμε το νοσοκομείο σας. Είναι ένα μικρό νοσοκομείο αλλά μπορεί να γίνει ένα υπόδειγμα μικρού νοσοκομείου όπως το οραματιζόμαστε, καλύπτοντας τις βασικές ανάγκες του πληθυσμού. Και αποτυπώνοντας με αυτό τον τρόπο την έμφαση την οποία θέλουμε να δώσουμε σε μια ποιοτική δημόσια υγεία για όλες και για όλους.",political agenda,health,other,0.6,0.0,0.0,"[['mayor', 'person', '0.5'], ['antonis tritsis programme', 'organization', '0.5'], ['municipality', 'location', '0.5'], ['primary sector', 'group of people', '0.5'], ['hospital', 'organization', '0.5'], ['population', 'group of people', '0.5'], ['public health care', 'organization', '0.5']]"
6,"The same applies to the hospital in Argostoli, which I had the opportunity to visit on my previous visit. I was pleased to learn that the new emergency departments are already in operation and are exemplary. Why am I saying this? Because, you see, we intend to invest in public health as a whole. It is a central commitment of mine that the next four years will be a four-year period of substantial recovery of the NHS, and that of course means that you must be able to access quality health care wherever you are, depending on the structures that we have, which we must support. And as part of a very ambitious programme, which includes many more recruitments, we will recruit 10,000 nurses and doctors over the next four years to meet the needs of the National Health System. With extra resources for our hospitals, for our health centres. What has already been done in Argostoli, the modernisation of the emergency departments, the first point of contact between the citizen and the hospital, will be done in 80 hospitals in the country, and 156 health centres will be able to be completely renovated.","Το ίδιο ισχύει και για το νοσοκομείο του Αργοστολίου, το οποίο είχα την ευκαιρία να επισκεφτώ στην προηγούμενή μου επίσκεψη. Με χαρά πληροφορήθηκα ότι τα νέα τμήματα επειγόντων περιστατικών ήδη λειτουργούν και είναι υποδειγματικά. Γιατί το λέω αυτό; Διότι, βλέπετε, ότι έχουμε σκοπό να επενδύσουμε συνολικά στη δημόσια υγεία. Αποτελεί μία κεντρική μου δέσμευση ότι η επόμενη τετραετία θα είναι η τετραετία της ουσιαστικής ανόρθωσης του ΕΣΥ.Και αυτό φυσικά σημαίνει ότι πρέπει να μπορείτε να έχετε πρόσβαση σε ποιοτική υγεία όπου και αν βρίσκεστε, ανάλογα με τις δομές τις οποίες έχουμε, τις οποίες πρέπει να στηρίξουμε. Και στα πλαίσια ενός πολύ φιλόδοξου προγράμματος, το οποίο συμπεριλαμβάνει πολλές περισσότερες προσλήψεις, θα προσλάβουμε 10.000 νοσηλευτές και γιατρούς την επόμενη τετραετία για τις ανάγκες του Εθνικού Συστήματος Υγείας. Με παραπάνω πόρους για τα νοσοκομεία μας, για τα κέντρα υγείας. Αυτό που ήδη έγινε στο Αργοστόλι, ο εκσυγχρονισμός των τμημάτων επειγόντων περιστατικών, το πρώτο σημείο επαφής δηλαδή του πολίτη με το νοσοκομείο, θα γίνει σε 80 νοσοκομεία της χώρας, καθώς και 156 κέντρα υγείας θα μπορέσουν να ανακαινιστούν πλήρως.",political agenda,health,public health system,0.8,0.0,0.0,"[['argostoli', 'location', '1.0'], ['nhs', 'organization', '1.0'], ['national health system', 'organization', '1.0'], ['156', 'group of people', '1.0'], ['80', 'group of people', '1.0'], ['10', '000', 'group of people', '1.0']]"
7,"Among the interventions, I repeat, that we will support is the complete modernisation of your hospital here in Lixouri. But it is not only the interventions that we want to make in health care. We are well aware of the issue of workers' housing and I believe that we have initiated a solution to a problem that has been lingering. There are other issues that we need to address. We will very soon complete the dredging of the harbour. We need, as I understand it, a desalination plant that can ensure that you have sufficient quantities of water, drinking water for the general needs of your municipality.","Μέσα στις παρεμβάσεις, επαναλαμβάνω, που θα στηρίξουμε είναι και ο πλήρης εκσυγχρονισμός του δικού σας νοσοκομείου εδώ στο Ληξούρι. Αλλά δεν είναι μόνο οι παρεμβάσεις τις οποίες θέλουμε να κάνουμε στην υγεία. Το θέμα των εργατικών κατοικιών το γνωρίζουμε καλά και πιστεύω ότι έχουμε δρομολογήσει μια επίλυση για ένα πρόβλημα το οποίο χρονίζει. Υπάρχουν και άλλα ζητήματα τα οποία πρέπει να αντιμετωπίσουμε. Θα ολοκληρώσουμε πολύ σύντομα το έργο της εκβάθυνσης του λιμανιού. Χρειαζόμαστε από ό,τι καταλαβαίνω μια μονάδα αφαλάτωσης η οποία θα μπορεί να εξασφαλίζει ότι θα έχετε ικανές ποσότητες νερού, πόσιμου νερού για τις ανάγκες γενικά του δήμου σας.",political agenda,other,other,0.0,0.0,0.0,"[['lixouri', 'location', '0.75'], ['municipality', 'location', '0.5'], ['harbour', 'location', '0.5'], ['workers', 'group of people', '0.5'], ['health care', 'organization', '1.0'], ['desalination plant', 'organization', '0.75']]"
8,"I would like to make a special mention of the work that we are doing in the social field, the structures that you have here, the very important structures that you have for supporting people with disabilities. We have put a lot of emphasis on our social face and these are initiatives that we want to continue.","Να κάνω μια ξεχωριστή μνεία στη δουλειά την οποία κάνουμε στο κοινωνικό πεδίο, στις δομές που έχετε εδώ, τις πολύ σημαντικές δομές που έχετε για την υποστήριξη των ατόμων με αναπηρία. Έχουμε δώσει μεγάλη έμφαση στο κοινωνικό μας πρόσωπο και αυτές είναι πρωτοβουλίες τις οποίες θέλουμε να συνεχίσουμε.",political agenda,social state,vulnerable citizens,0.7,0.0,0.0,"[['1. disabilities', 'group of people', '0.6'], ['2. social field', 'organization', '0.4'], ['3. structures', 'organization', '0.4'], ['4. social face', 'organization', '0.4'], ['5. initiatives', 'organization', '0.4']]"
9,"I have spoken to you, as you can see, about our plans for the future, because I would really like this election campaign, until it ends on 21 May, to be a campaign in which we can really talk about the future and not about the past.  I am not interested at this moment in getting into any confrontation with our party opponents. Everyone is being judged. Mr Tsipras presented his programme yesterday. I believe that he has as much credibility as everything he has said in the past. People remember very well what he said in the past and what he did in the end.","Σας μίλησα, όπως βλέπετε, για τα σχέδιά μας για το μέλλον, διότι πράγματι θα ήθελα αυτή η προεκλογική εκστρατεία, έως ότου ολοκληρωθεί την 21η Μαΐου, να είναι μια εκστρατεία για την οποία πραγματικά θα μπορούμε να μιλήσουμε για το μέλλον και όχι για το παρελθόν.  Δεν με ενδιαφέρει αυτή τη στιγμή να έρθω σε καμία αντιπαράθεση με τους κομματικούς μας αντιπάλους. Όλοι κρίνονται. Ο κ. Τσίπρας κατέθεσε χθες το πρόγραμμά του. Θεωρώ, ότι έχει τόση αξιοπιστία, όση όλων όσα είχε τάξει στο παρελθόν. Οι πολίτες θυμούνται πολύ καλά τι έλεγε στο παρελθόν και τι έκανε τελικά. ",criticism,elections,other,-0.2,0.0,0.0,"[['21 may', 'date', '0.95'], ['tsipras', 'person', '0.85']]"
10,"We want to be judged independently for what we have done this four years and for what we want to do in the next four years. And indeed, the President was right when he said that we have had a lot in this four-year period. And certainly when I was elected Prime Minister of this country in July 2019, I could not have imagined that during my tenure I would have to deal with a pandemic, an immigration invasion, a war in Ukraine, an imported crisis of insecurity. We had a lot of things happen to us, but I'm proud because we kept the country safe, we kept the country's steering wheel stable, and Greece is in a much better shape today than it was in 2019.","Εμείς θέλουμε να κριθούμε αυτοτελώς γι’ αυτά τα οποία κάναμε αυτή την τετραετία και γι’ αυτά τα οποία θέλουμε να κάνουμε την επόμενη τετραετία. Και πράγματι, ο Πρόεδρος είχε δίκιο όταν είπε, ότι αυτή την τετραετία μάς έτυχαν πολλά. Και σίγουρα κι εγώ όταν εκλέχθηκα Πρωθυπουργός της χώρας τον Ιούλιο του 2019, δεν μπορούσα να φανταστώ ότι στη διάρκεια της θητείας μου θα έπρεπε να αντιμετωπίσω μία πανδημία, μία μεταναστευτική εισβολή, έναν πόλεμο στην Ουκρανία, μία εισαγόμενη κρίση ακρίβειας. Μας έτυχαν πολλά, είμαι, όμως, υπερήφανος γιατί κρατήσαμε τη χώρα ασφαλή, το τιμόνι της χώρας σταθερό και η Ελλάδα είναι σήμερα σε πολύ καλύτερη κατάσταση απ’ ό,τι ήταν το 2019.",political agenda,pandemic,other,0.75,0.0,0.0,"[['president', 'person', '0.8'], ['prime minister', 'person', '0.8'], ['ukraine', 'location', '0.8'], ['greece', 'country', '0.8'], ['july 2019', 'date', '0.7'], ['four years', 'date', '0.5']]"
