id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats of Patras, allies from Achaia, from all over Western Greece, thank you for this impressive welcome. I will again be the Prime Minister with your strong mandate on 21 May.A big hand for our amazing youth, the ONNEDites. And good luck in the student elections. Again the GOP will be in the lead, because it always shows the way forward, the way of progress, progress, prosperity.","Νεοδημοκράτισσες και Νεοδημοκράτες της Πάτρας, συμμαχητές από την Αχαΐα, από όλη τη Δυτική Ελλάδα, σας ευχαριστώ γι’ αυτό το εντυπωσιακό καλωσόρισμα. Θα είμαι και πάλι ο Πρωθυπουργός με τη δική σας ισχυρή εντολή την 21η Μαΐου.Ένα μεγάλο χειροκρότημα για την καταπληκτική νεολαία μας, τις ΟΝΝΕΔίτισσες και τους ΟΝΝΕΔίτες. Και καλή επιτυχία στις φοιτητικές εκλογές. Πάλι πρωτοπόρα θα είναι η ΔΑΠ, γιατί πάντα δείχνει το δρόμο μπροστά, το δρόμο της προόδου, της προκοπής, της ευημερίας.",political agenda,elections,other,,0.2,0,"[['young democrats of patras', 'organization', '0.8'], ['achaia', 'location', '0.5'], ['western greece', 'location', '0.5'], ['prime minister', 'title', '0.8'], ['21 may', 'date', '0.6'], ['onnedites', 'group of people', '0.6'], ['gop', 'political party', '0.8.']]"
2,"Friends, Mr. Regional Governor, dear fellow candidates, we are together again after a short time. In the meantime, however, I see that the crowd has grown and the pulse has increased, so that your presence here today turns my optimism into confidence. Yes, on 21 May this spring brings a new victory, a new four-year term for a self-reliant Greece and a self-reliant New Democracy.So, on the occasion of this slogan, I will address all the people of Patras and Patrina, come and let us make the big bet together that this time Achaia will be blue.","Φίλες και φίλοι, κ. Περιφερειάρχα, αγαπητοί συνυποψήφιοι, βρισκόμαστε και πάλι μαζί ύστερα από λίγο καιρό. Στο μεταξύ, όμως, βλέπω ότι το πλήθος μεγάλωσε και ο παλμός δυνάμωσε, ώστε η παρουσία σας σήμερα να μετατρέπει την αισιοδοξία μου σε σιγουριά. Ναι, την 21η Μαΐου η φετινή άνοιξη φέρνει και τη νέα νίκη, τη νέα τετραετία της αυτοδύναμης Ελλάδας και της αυτοδύναμης Νέας Δημοκρατίας.Θα απευθυνθώ, λοιπόν, με αφορμή αυτό το σύνθημα, σε όλους τους Πατρινούς και τις Πατρινές, ελάτε να βάλουμε μαζί το μεγάλο στοίχημα να είναι αυτή τη φορά γαλάζια και η Αχαΐα.",political agenda,elections,other,0.55,0,0,"[['1. friends', 'group of people', '1.0'], ['2. mr. regional governor', 'person', '0.9'], ['3. fellow candidates', 'group of people', '0.8'], ['4. new democracy', 'political party', '1.0'], ['5. patras', 'location', '1.0'], ['6. patrina', 'location', '1.0'], ['7. achaia', 'location', '1.0'], ['8. greece', 'country', '1.0'], ['9. 21 may', 'date', '1.0']]"
3,"Because once upon a time the figures of the past said that Patras and Achaia were the strongholds of other powers. But the momentum of the present and the hope of the future are now changing things. I see it everywhere. And what has happened in four years has erased old differences and forged a broad current of progress, a river that is uniting again to say ""no"" to a second time to misfortune and give a second mandate to progress.","Γιατί κάποτε οι αριθμοί του παρελθόντος έλεγαν πως Πάτρα και Αχαΐα ήταν τα προπύργια άλλων δυνάμεων. Όμως η ορμή του παρόντος και η ελπίδα του μέλλοντος αλλάζουν πια τα πράγματα. Το βλέπω παντού. Και όσα έγιναν σε τέσσερα χρόνια έσβησαν παλιές διαφορές και σφυρηλάτησαν ένα πλατύ ρεύμα προόδου, ένα ποτάμι το οποίο ενώνεται ξανά για να πει «όχι» σε μία δεύτερη φορά στη συμφορά και να δώσει δεύτερη εντολή στην προκοπή.",political agenda,elections,other,0.8,0,0,"[['patras', 'location', '0.9'], ['achaia', 'location', '0.9']]"
4,"Because indeed, friends, I have said it many times and I mean it, I will say it again here in Patras: the next elections will be the most crucial elections of the post-communist era. They will decide whether we will go forward or turn back, whether we will risk new adventures of ungovernability or whether we will continue on the path of security and prosperity, as we have been going these four years, with a captain and crew on board the national ship who have shown that they can weather great storms, such as those we have gone through and overcome together.","Γιατί πράγματι, φίλες και φίλοι, το έχω πει πολλές φορές και το εννοώ, θα το ξαναπώ εδώ στην Πάτρα: οι επόμενες εκλογές θα είναι οι πιο κρίσιμες της Μεταπολίτευσης. Αυτές θα κρίνουν αν θα πάμε μπροστά ή αν θα γυρίσουμε πίσω, αν θα ρισκάρουμε νέες περιπέτειες ακυβερνησίας ή αν θα συνεχίσουμε στον δρόμο της σιγουριάς και της ευημερίας, όπως πορευτήκαμε αυτά τα τέσσερα χρόνια, έχοντας κυβερνήτη και πλήρωμα στο εθνικό σκάφος που έδειξαν ότι μπορούν να δαμάζουν μεγάλες τρικυμίες, όπως αυτές που περάσαμε και ξεπεράσαμε όλες και όλοι μαζί.",political agenda,elections,other,0.4,0.6,0,"[['patras', 'location', '1.0'], ['elections', 'date', '1.0'], ['post-communist era', 'date', '1.0'], ['ungovernability', 'organization', '0.3'], ['national ship', 'organization', '0.5']]"
5,"Just remember what we had to deal with during these four years: first the migratory invasions in Evros. Almost simultaneously, the pandemic storm for more than two years. Today, just today, the World Health Organisation has officially closed this traumatic cycle. Daily threats from our neighbours in the Aegean Sea, immediately after the Russian attack on Ukraine, which caused a global energy crisis and a global precision.","Για θυμηθείτε λίγο τι έπρεπε να διαχειριστούμε αυτή την τετραετία: πρώτα τις μεταναστευτικές εισβολές στον Έβρο. Σχεδόν ταυτόχρονα την καταιγίδα της πανδημίας επί δύο και πλέον χρόνια. Σήμερα, μόλις, ο Παγκόσμιος Οργανισμός Υγείας έκλεισε και επίσημα αυτόν τον τραυματικό κύκλο. Καθημερινές απειλές των γειτόνων μας στο Αιγαίο, αμέσως μετά τη ρωσική επίθεση στην Ουκρανία, που προκάλεσε μία παγκόσμια ενεργειακή κρίση αλλά και μία παγκόσμια ακρίβεια.",political agenda,other,sea borders,-0.6,0.2,0,"[['evros', 'location', '1.0'], ['world health organisation', 'organization', '1.0'], ['aegean sea', 'location', '1.0'], ['russia', 'country', '1.0'], ['ukraine', 'country', '1.0']]"
6,"And yet, in the face of all this, our economy has remained standing and our society, yes, despite the efforts of some to divide, has remained strong and united. It is true that no government has ever been called upon to manage so many obstacles in so little time. But it is equally true that in that time, state and citizens, together, have made difficulties into opportunities. With the country facing the waves to navigate the waves to calm waters, but without missing for a moment the destination that the government boldly charted in July 2019.","Κι όμως, απέναντι σε όλα αυτά η οικονομία μας έμεινε όρθια και η κοινωνία μας, ναι, παρά την προσπάθεια κάποιων να διχάσουν, έμεινε δυνατή και ενωμένη. Είναι αλήθεια πως καμία κυβέρνηση δεν κλήθηκε να διαχειριστεί τόσα πολλά εμπόδια σε τόσο λίγο χρόνο. Αλλά το ίδιο αλήθεια είναι ότι σε αυτό το διάστημα πολιτεία και πολίτες, μαζί, κάναμε τις δυσκολίες, ευκαιρίες. Με τη χώρα να αντιμετωπίζει τα κύματα για να οδηγηθεί σε ήρεμα νερά, χωρίς ωστόσο να χάσει ούτε στιγμή τον προορισμό που η κυβέρνηση χάραξε με τόλμη τον Ιούλιο του 2019.",political agenda,economy,other,0.6,0,0,"[['july 2019', 'date', '1.0'], ['government', 'organization', '0.8'], ['citizens', 'group of people', '0.7'], ['society', 'group of people', '0.6'], ['country', 'location', '0.6']]"
7,"When I spoke again here, in Patras, four years ago, let us remember together what I had committed to. Less taxes and more investment and new jobs. I made a commitment to you for a country with impregnable borders, with dynamic growth, with better incomes. A country that would take care of the most vulnerable, but also a country that would get off the sidelines and elevate its place in the diplomatic arena.","Όταν μίλησα πάλι εδώ, στην Πάτρα, πριν από τέσσερα χρόνια, ελάτε να θυμηθούμε μαζί για τι είχα δεσμευτεί. Λιγότεροι φόροι και περισσότερες επενδύσεις και νέες δουλειές. Είχα δεσμευτεί απέναντί σας για μία χώρα με απόρθητα σύνορα, με δυναμική ανάπτυξη, με καλύτερα εισοδήματα. Μία χώρα που θα φροντίζει τους πιο ευάλωτους, αλλά και έναν τόπο που θα ξεφεύγει από το περιθώριο των εξελίξεων και θα αναβαθμίσει τη θέση του στο διπλωματικό στερέωμα.",political agenda,other,borders,0.8,0,0,"[['patras', 'location', '0.9'], ['four years ago', 'date', '0.5'], ['country', 'location', '0.6']]"
8,"So let's go and see all the things I have committed to. Have we done them? The answer is, yes, we did. Four years later, you know very well. I expect a similar answer from you now.","Για πάμε να δούμε, λοιπόν, όλα αυτά για τα οποία δεσμεύτηκα. Τα κάναμε; Η απάντηση είναι, ναι, τα κάναμε. Τέσσερα χρόνια μετά, ξέρετε καλά. Περιμένω αντίστοιχη απάντηση από εσάς τώρα.",political agenda,elections,other,0.4,0,0,[]
9,"This great party of ours, for us, gentlemen, who are timeless UNNEDites, we know that we have always based our strength on the younger generation. And do not listen to anything, those who say ""the young generation is not with us"". You are proving the opposite.","Αυτή η μεγάλη μας παράταξη, για εμάς, κύριοι συνάδελφοι, που είμαστε διαχρονικοί ΟΝΝΕΔίτες, ξέρουμε ότι πάντα στηρίζαμε τη δύναμή μας στη νέα γενιά. Και μην ακούτε τίποτα, αυτούς που λένε «η νέα γενιά δεν είναι μαζί μας». Εσείς αποδεικνύετε το αντίθετο.",political agenda,elections,other,,0,0,"[['unnedites', 'group of people', '1.0'], ['unned', 'organization', '1.0']]"
10,"So let's go back to what I had four years ago and what we did. We eliminated fifty taxes. We cut taxes. I told you that I was going to reduce the ENVIA. How much? 30%. And I reduced it how much? 35%. For all owners. Import tax rate. Where did we get it? At 22%. Where is it today? At 9%.No one, except the very rich, pays parental benefit tax anymore. You can freely pass on property to your children and grandchildren. No one pays solidarity tax, and contributions have been reduced by four points.","Πάμε, λοιπόν, να ξαναδούμε τι σας είχα πριν από τέσσερα χρόνια και τι κάναμε. Καταργήσαμε πενήντα φόρους. Μειώσαμε εισφορές. Σας είχα πει ότι θα μειώσω τον ΕΝΦΙΑ. Πόσο; 30%. Και τον μείωσα πόσο; 35%. Για όλους τους ιδιοκτήτες. Εισαγωγικός φορολογικός συντελεστής. Πού τον παραλάβαμε; Στο 22%. Που είναι σήμερα; Στο 9%.Κανείς, παρά μόνο οι πολύ πλούσιοι, δεν πληρώνει πια φόρο γονικής παροχής. Μπορείτε να μεταβιβάζετε ελεύθερα την περιουσία στα παιδιά σας και στα εγγόνια σας. Κανείς δεν πληρώνει εισφορά αλληλεγγύης, ενώ οι εισφορές μειώθηκαν κατά τέσσερις μονάδες.",political agenda,economy,tax cuts,0.8,0,0,[]
