id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for this very nice welcome. One thing I can say, we have a lot more people today than the last time I spoke in Chalkida. This says something about the elections of 21 May and the results of Evia.Friends, Mr. Regional Governor, Madam Mayor, it is with great pleasure that I visit once again the island of Evia and a city that I love very much.","Σας ευχαριστώ πολύ γι’ αυτή την πολύ όμορφη υποδοχή. Ένα μπορώ να πω, έχουμε πολύ περισσότερο κόσμο σήμερα από την τελευταία φορά που μίλησα στη Χαλκίδα. Αυτό κάτι λέει για τις εκλογές της 21ης Μαΐου και για τα αποτελέσματα της Εύβοιας.Φίλες και φίλοι, κύριε Περιφερειάρχα, κυρία Δήμαρχε, με πολύ μεγάλη χαρά επισκέπτομαι για ακόμα μία φορά το νησί της Εύβοιας και μια πόλη την οποία αγαπώ ιδιαίτερα.",political agenda,elections,other,0.7,0.0,0.0,"[['chalkida', 'location', '0.9'], ['21 may', 'date', '1.0'], ['evia', 'location', '1.0'], ['regional governor', 'person', '0.7'], ['madam mayor', 'person', '0.7']]"
2,"I want to start by telling you how good and productive our cooperation has been over these last four years with both the Regional Governor and the Mayor. I stress this level of cooperation because I am well aware that a number of problems cannot always be solved by the central state. They have to be solved at the level of the Region and at the level of the Municipality and the truth is that, for the first time, I would say, in the history of local government, the Regions and the Municipalities had to manage such important funds, but they put them to work for the benefit of your citizens, for the benefit of the Region. That is why I would say that I am extremely satisfied.","Θέλω να ξεκινήσω λέγοντάς σας πόσο καλή και παραγωγική ήταν η συνεργασία μας αυτά τα τελευταία τέσσερα χρόνια και με τον Περιφερειάρχη αλλά και με τη Δήμαρχο. Τονίζω αυτό το επίπεδο συνεργασίας γιατί γνωρίζω πολύ καλά ότι μία σειρά από προβλήματα δεν μπορούν να λυθούν πάντα από το κεντρικό κράτος. Πρέπει να λύνονται σε επίπεδο Περιφέρειας και σε επίπεδο Δήμου και η αλήθεια είναι ότι, για πρώτη φορά θα έλεγα στην ιστορία της αυτοδιοίκησης, οι Περιφέρειες αλλά και οι Δήμοι είχαν να διαχειριστούν τόσο σημαντικά κονδύλια, τα οποία όμως τα έβαλαν και δούλεψαν προς όφελος των δημοτών σας, προς όφελος της Περιφέρειας. Γι’ αυτό θα έλεγα ότι είμαι εξαιρετικά ικανοποιημένος.",political agenda,other,other,0.75,0.0,0.0,"[['regional governor', 'person', '0.6'], ['mayor', 'person', '0.6'], ['central state', 'organization', '0.6'], ['region', 'location', '0.6'], ['municipality', 'organization', '0.6'], ['local government', 'organization', '0.6'], ['regions', 'organization', '0.6'], ['municipalities', 'organization', '0.6']]"
3,"I must tell you that I am here today 15 days before the crucial elections of 21 May. I am absolutely sure that both Chalkida and Evia will send a message of victory in these elections. A message of victory, a message of stability, a message of progress, a message of self-confidence, for a strong Greece, which must continue on the road that we have been on for these four years, a road that, as you know, has had many difficulties, many sharp turns without the appropriate ""signalling"". We have managed many crises over these four years. From the coronavirus crisis, the refugee invasion in Evros and on our islands, an aggressive neighbour, a war in Ukraine, an energy crisis, many natural disasters, the traumatic experience of the Euboea fires in the summer of 2021.But despite the difficulties, I am proud because we kept the country standing, we supported society and Greece today is stronger than it was in 2019. And we did all this while implementing all the axes of our government's programme.","Πρέπει να σας πω ότι βρίσκομαι σήμερα εδώ 15 μέρες πριν από τις κρίσιμες εκλογές της 21ης Μαΐου. Είμαι απολύτως σίγουρος ότι και η Χαλκίδα και η Εύβοια θα στείλουν μήνυμα νίκης σε αυτές τις εκλογές. Μήνυμα νίκης, μήνυμα σταθερότητας, μήνυμα προόδου, μήνυμα αυτοπεποίθησης, για μία ισχυρή Ελλάδα, η οποία πρέπει να συνεχίσει τον δρόμο τον οποίον πορευθήκαμε αυτά τα τέσσερα χρόνια.Ένας δρόμος που, όπως ξέρετε, είχε πολλές δυσκολίες, είχε πολλές απότομες στροφές χωρίς την κατάλληλη «σηματοδότηση». Διαχειριστήκαμε πολλές κρίσεις αυτά τα τέσσερα χρόνια. Από την κρίση του κορονοϊού, την προσφυγική εισβολή στον Έβρο και στα νησιά μας, έναν επιθετικό γείτονα, έναν πόλεμο στην Ουκρανία, μία ενεργειακή κρίση, πολλές φυσικές καταστροφές, την τραυματική εμπειρία των φωτιών της Εύβοιας το καλοκαίρι του 2021.Παρά τις δυσκολίες, όμως, είμαι υπερήφανος, διότι κρατήσαμε την πατρίδα όρθια, στηρίξαμε την κοινωνία και η Ελλάδα σήμερα είναι πιο ισχυρή από ό,τι ήταν το 2019. Και τα κάναμε όλα αυτά υλοποιώντας ταυτόχρονα όλους τους άξονες του κυβερνητικού μας προγράμματος.",political agenda,elections,other,0.85,0.0,0.1,"[['chalkida', 'location', '0.6'], ['evia', 'location', '0.6'], ['greece', 'country', '0.9'], ['21 may', 'date', '0.6'], ['four years', 'date', '0.6'], ['coronavirus crisis', 'organization', '0.4'], ['refugee invasion', 'organization', '0.4'], ['evros', 'location', '0.4'], ['ukraine', 'location', '0.4'], ['euboea', 'location', '0.4'], ['summer of 2021', 'date', '0.4']]"
4,"I told you in 2019 some simple things. I told you that I would cut taxes for everyone and I cut taxes for every Greek. I told you that I would reduce contributions and I reduced contributions. I told you that I would bring in a lot of new investment and that I would highlight the comparative advantages of our country. And, yes, we have 300,000 new jobs today.","Σας είχα πει το 2019 ορισμένα απλά πράγματα. Σας είχα πει ότι θα μειώσω τους φόρους για όλες και για όλους και μείωσα τους φόρους για κάθε Ελληνίδα και για κάθε Έλληνα. Σας είχα πει ότι θα μειώσω τις εισφορές και μείωσα τις εισφορές. Σας είχα πει ότι θα φέρω πολλές νέες επενδύσεις και θα αναδείξω τα συγκριτικά πλεονεκτήματα της πατρίδας μας. Και, ναι, έχουμε 300.000 νέες θέσεις εργασίας σήμερα.",political agenda,economy,tax cuts,0.8,0.0,0.0,"[['2019', 'date', '1.0'], ['greek', 'group of people', '0.8'], ['300', '000', 'number', '1.0']]"
5,"I told you that I will always stand by society in every difficult moment. Indeed, during the coronavirus we spent more than 50 billion euros to support Greek society and Greek entrepreneurship.All the shops here that you see today, which are bustling with life, you remember, we had to close them during Covid. But we came in and paid salaries, covered rents, gave a refundable deposit, kept them alive. Just so that they can grow today, hire people and in turn contribute to the dynamic growth that we have initiated.","Σας είχα πει ότι πάντα θα στέκομαι δίπλα στο πλευρό της κοινωνίας, σε κάθε δύσκολη στιγμή. Πράγματι, στη διάρκεια του κορονοϊού δαπανήσαμε παραπάνω από 50 δισεκατομμύρια ευρώ για να στηρίξουμε την ελληνική κοινωνία και την ελληνική επιχειρηματικότητα.Όλα τα μαγαζιά εδώ, τα οποία βλέπετε σήμερα και σφύζουν από ζωή, θυμάστε, αναγκαστήκαμε να τα κλείσουμε στη διάρκεια του Covid. Ήρθαμε όμως και πληρώσαμε μισθούς, καλύψαμε ενοίκια, δώσαμε επιστρεπτέα προκαταβολή, τα κρατήσαμε ζωντανά. Ακριβώς για να μπορούν σήμερα να αναπτύσσονται, να προσλαμβάνουν κόσμο και να συνεισφέρουν και αυτά με τη σειρά τους στη δυναμική ανάπτυξη την οποία έχουμε δρομολογήσει.",political agenda,entrepreneurship,other,0.8,0.0,0.0,"[['greek society', 'group of people', '1.0'], ['greek entrepreneurship', 'organization', '1.0'], ['covid', 'date', '1.0'], ['greek', 'country', '0.9'], ['greek', 'location', '0.5']]"
6,"But I also told you something else, that I would keep the country safe, that I would protect the borders and that Greece would be a ""closed vineyard"" in the past. That we would support our Armed Forces, that we would make investments, because national independence is not subject to discounts.I have just come from the inauguration of a wonderful War Museum - it is really worth seeing - and I was impressed. It is another important addition to Chalkida as a destination in its own right and I was thinking, through this 200-year history, how important these interventions that we are making today to support our Armed Forces, to get new planes, the Rafale, which are taking off from nearby, from Tanagra, you see them flying over Evia a lot.All these were important interventions that have strengthened the country's footprint, with a voice that is now heard from Congress to Brussels. A self-confident Greece that is no longer a beggar but a participant in European developments.","Σας είχα πει, όμως, και κάτι ακόμα, ότι θα κρατήσω ασφαλή τη χώρα, θα προστατεύσω τα σύνορα και θα ανήκει στο παρελθόν η Ελλάδα «ξέφραγο αμπέλι». Ότι θα στηρίξουμε τις Ένοπλες Δυνάμεις μας, θα κάνουμε επενδύσεις, διότι η εθνική ανεξαρτησία δεν επιδέχεται εκπτώσεων.Έρχομαι τώρα από τα εγκαίνια ενός θαυμάσιου Πολεμικού Μουσείου -αξίζει τον κόπο πραγματικά να το δείτε- εντυπωσιάστηκα. Είναι μια ακόμα σημαντική προσθήκη στη Χαλκίδα ως αυτοτελή προορισμό και σκεφτόμουν, μέσα από αυτή την ιστορία 200 ετών, πόσο σημαντικές είναι αυτές οι παρεμβάσεις που κάνουμε σήμερα για να στηρίξουμε τις Ένοπλες Δυνάμεις μας, για να αποκτήσουμε καινούργια αεροπλάνα, τα Rafale, τα οποία απογειώνονται από εδώ κοντά, από την Τανάγρα, τα βλέπετε να πετούν συχνά και πάνω από την Εύβοια.Όλες αυτές ήταν σημαντικές παρεμβάσεις που ενίσχυσαν το αποτύπωμα της χώρας, με μία φωνή η οποία ακούγεται πια από το Κογκρέσο μέχρι τις Βρυξέλλες. Μία Ελλάδα με αυτοπεποίθηση που δεν είναι πια επαίτης αλλά συμμετέχει στις ευρωπαϊκές εξελίξεις.",political agenda,national security,other,0.7,0.0,0.0,"[['greece', 'country', '1.0'], ['armed forces', 'group of people', '1.0'], ['chalkida', 'location', '1.0'], ['tanagra', 'location', '1.0'], ['rafale', 'organization', '1.0'], ['congress', 'political party', '1.0'], ['brussels', 'location', '1.0'], ['european', 'organization', '1.0']]"
7,"All this is a very brief summary of a four-year project. I could go on at great length about what we have done. But I am only mentioning them by way of illustration because I want to show how important it is to be consistent in words and deeds in politics, to keep to what you have committed yourself to. Because I want to talk more about what we have to do from now on, not what we have done. Because every election must be an election for the future, not for the past.","Όλα αυτά είναι μια πολύ σύντομη περίληψη ενός έργου μιας τετραετίας. Θα μπορούσα να μιλώ πολύ ώρα για αυτά τα οποία κάναμε. Αναφέρομαι, όμως, ενδεικτικά μόνο σε αυτά γιατί θέλω να καταδείξω πόσο σημαντική είναι η συνέπεια λόγων και πράξεων στην πολιτική, να τηρείς αυτά για τα οποία έχεις δεσμευτεί. Γιατί θέλω περισσότερο να μιλήσω για αυτά τα οποία έχουμε να κάνουμε από εδώ και στο εξής, όχι αυτά τα οποία κάναμε. Διότι κάθε εκλογή πρέπει να είναι μια εκλογή για το μέλλον, όχι για το παρελθόν.",political agenda,elections,other,0.3,0.0,0.0,[]
8,"I'm opening a parenthesis. I see our political opponents for 48 hours now fighting like roosters over the political legacy of Andreas Papandreou and what happened in 1981. This debate is not our concern. We are talking about the Greece of 2023, about the Greece of 2027, about how to cut taxes, how to bring jobs, how to make our society fairer, how to strengthen the National Health System. How we will launch a series of major projects that concern, here, especially in Evia, in Chalkida.","Ανοίγω μια παρένθεση. Βλέπω τους πολιτικούς μας αντιπάλους εδώ και 48 ώρες να τσακώνονται «σαν τα κοκόρια» για την πολιτική παρακαταθήκη του Ανδρέα Παπανδρέου και τι έγινε το 1981. Δεν μας αφορά αυτή η συζήτηση. Εμείς συζητάμε για την Ελλάδα του 2023, για την Ελλάδα του 2027, για το πώς θα μειώσουμε φόρους, πώς θα φέρουμε δουλειές, πώς θα γίνει η κοινωνία μας πιο δίκαιη, πώς θα ενισχύσουμε το Εθνικό Σύστημα Υγείας. Πώς θα δρομολογήσουμε μια σειρά από μεγάλα έργα τα οποία αφορούν, εδώ, ειδικά στην Εύβοια, στη Χαλκίδα.",political agenda,other,tax cuts,,0.1,0.0,"[['andreas papandreou', 'person', '0.7'], ['greece', 'country', '0.8'], ['national health system', 'organization', '0.9'], ['evia', 'location', '0.5'], ['chalkida', 'location', '0.5']]"
9,"It's true, you have every right to have every complaint about central government, over time, I would say. You are so close to Athens and yet so far away. And of course, I cannot forget that this bridge, the beautiful bridge that I crossed once again, was the work of Constantine Mitsotakis. Some of you may have been at the inauguration - which was stressful, as I recall - but I believe that I too can now identify my name, the name of our government, with an equally important project for Chalkida: the Chalkida bypass has been contracted, the construction site will start in June. It is the most important infrastructure project for the city of Chalkida.I must tell you that we were pushed very hard - the regional governor and the mayor know that - to be able to get it out of the way, to get the relevant European approvals. It is a project that will cost more than EUR 200 million. But it will come to fruition and will provide substantial relief for the whole city of Chalkida, but it will also contribute to the development of the whole of Evia as a whole.","Είναι αλήθεια, έχετε κάθε δίκιο να έχετε κάθε παράπονο από την κεντρική εξουσία, διαχρονικά, θα έλεγα. Είστε τόσο κοντά στην Αθήνα και ταυτόχρονα τόσο μακριά. Και βέβαια, δεν μπορώ να μην ξεχάσω ότι αυτή η γέφυρα, η όμορφη γέφυρα την οποία πέρασα για ακόμα μια φορά, ήταν έργο του Κωνσταντίνου Μητσοτάκη. Κάποιοι από σας μπορεί να ήσασταν και στα εγκαίνια -που ήταν αγχωτικά από ό,τι θυμάμαι.Αλλά πιστεύω ότι μπορώ κι εγώ να ταυτίσω πια το δικό μου όνομα, το όνομα της δικής μας κυβέρνησης, με ένα εξίσου σημαντικό έργο για την Χαλκίδα: η παράκαμψη της Χαλκίδας συμβασιοποιήθηκε, το εργοτάξιο ξεκινά τον Ιούνιο. Είναι το σημαντικότερο έργο υποδομής για την πόλη της Χαλκίδος.Πρέπει να σας πω ότι μας παίδεψε πάρα πολύ -το ξέρει ο Περιφερειάρχης και η Δήμαρχος- να μπορέσουμε να το ξεμπλέξουμε, να πάρουμε τις σχετικές ευρωπαϊκές εγκρίσεις. Είναι ένα έργο το οποίο θα στοιχίσει παραπάνω από 200 εκατομμύρια. Αλλά θα γίνει πράξη και θα ανακουφίσει ουσιαστικά όλη την πόλη της Χαλκίδας, αλλά και συνολικά θα συνεισφέρει στην ανάπτυξη όλης της Εύβοιας.",political agenda,infrastructure,other,0.5,0.0,0.0,"[['athens', 'location', '0.9'], ['constantine mitsotakis', 'person', '0.9'], ['chalkida', 'location', '1.0'], ['chalkida bypass', 'organization', '0.7'], ['june', 'date', '0.8'], ['european', 'organization', '0.6'], ['eur', 'organization', '0.6'], ['evia', 'location', '0.8']]"
10,"But obviously it is not the only important project that concerns your region. I do not forget, and you do not forget, that we opened the new hospital in Chalkida in the midst of Covid, with many difficulties. A hospital that is a jewel. A hospital that is finding its rhythm and any minor difficulties and shortcomings we are here to correct. But it is a very important contribution to the city of Chalkida, to Evia as a whole and to our public health policy.","Αλλά προφανώς δεν είναι το μόνο σημαντικό έργο το οποίο αφορά την περιοχή σας. Δεν ξεχνώ, και δεν το ξεχνάτε και εσείς, ότι το νέο νοσοκομείο της Χαλκίδας το ανοίξαμε εμείς εν μέσω Covid, με πολλές δυσκολίες. Ένα νοσοκομείο το οποίο είναι ένα κόσμημα. Ένα νοσοκομείο το οποίο βρίσκει τον ρυθμό του και τις όποιες μικρές δυσκολίες και ατέλειες εδώ είμαστε να τις διορθώσουμε. Αλλά είναι μια πολύ σημαντική συνεισφορά στην πόλη της Χαλκίδας, την Εύβοια συνολικά και την πολιτική μας για την δημόσια υγεία.",political agenda,health,public health system,0.4,0.0,0.0,"[['chalkida', 'location', '1.0'], ['covid', 'date', '1.0'], ['evia', 'location', '1.0']]"
