id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for such a warm welcome. I didn't expect this, we have at least three times more people than we had the last time I was in Elefsina. I will be the Prime Minister, with your support and with New Democracy as the protagonist in West Attica, as it deserves. Because in exactly two weeks from now, on the evening of Sunday 21 May, the results will justify our great effort. There will be a big winner. New Democracy strong for a self-reliant government, for a self-reliant Greece. For the flags of New Democracy to be high, the flags of our country to be high. So that we can continue this very important work that we have started.","Ευχαριστώ γι’ αυτή την τόσο θερμή υποδοχή. Αυτό δεν το περίμενα, έχουμε   τουλάχιστον τρεις φορές παραπάνω κόσμο, απ’ όσο είχαμε την τελευταία φορά που ήμουν στην Ελευσίνα. Κι εσείς στέλνετε από εδώ το μήνυμα της νίκης.Θα είμαι ο Πρωθυπουργός, με τη δική σας στήριξη και με τη Νέα Δημοκρατία πρωταγωνίστρια στη Δυτική Αττική, όπως της αξίζει. Γιατί σε δύο εβδομάδες ακριβώς από τώρα, το βράδυ της Κυριακής 21ης Μαΐου, τα αποτελέσματα θα δικαιώσουν τη μεγάλη μας προσπάθεια. Ένας μεγάλος νικητής θα υπάρχει. Η Νέα Δημοκρατία ισχυρή για αυτοδύναμη κυβέρνηση, για μία αυτοδύναμη Ελλάδα. Για να είναι ψηλά οι σημαίες της Νέας Δημοκρατίας, ψηλά οι σημαίες της πατρίδας μας. Για να μπορέσουμε να συνεχίσουμε αυτή την πολύ σημαντική δουλειά την οποία ξεκινήσαμε.",political agenda,elections,election spending,0.7,0,0,"[['prime minister', 'person', '0.7'], ['new democracy', 'political party', '0.9'], ['west attica', 'location', '0.7'], ['sunday 21 may', 'date', '0.6'], ['greece', 'country', '0.8']]"
2,"I want to tell you how pleased I am with the overall progress that has been made in Elefsina over these four years. And the Mayor is right when he says that at our first meeting, which we had in 2019, the situation in terms of the preparation of the cultural capital was bordering on the dramatic.Despite the difficulties of the pandemic, we have succeeded. Elefsina is the cultural capital of Europe and the government stood by Elefsina to enable it to fully fulfil this very important role.","Θέλω να σας πω, πόσο χαίρομαι για τη συνολική πρόοδο, η οποία έχει γίνει στην Ελευσίνα αυτά τα τέσσερα χρόνια. Κι έχει δίκιο ο Δήμαρχος, όταν λέει ότι στην πρώτη μας συνάντηση, την οποία κάναμε το 2019, η κατάσταση ως προς την προετοιμασία της πολιτιστικής πρωτεύουσας, ήταν στα όρια του δραματικού.Παρά τις δυσκολίες της πανδημίας, τα καταφέραμε. Η Ελευσίνα είναι η πολιτιστική πρωτεύουσα της Ευρώπης και η κυβέρνηση στάθηκε δίπλα στην Ελευσίνα για να μπορέσει να εκπληρώσει στο ακέραιο αυτόν τον πολύ σημαντικό της ρόλο. ",political agenda,culture,other,0.8,0,0,"[['elefsina', 'location', '1.0'], ['mayor', 'person', '1.0'], ['2019', 'date', '1.0'], ['europe', 'country', '1.0'], ['government', 'organization', '1.0']]"
3,"And indeed 20 million were given in total, from public funds, to enable a series of very important interventions here in Elefsina, which will finally have the museum it deserves.Elefsina is not a cultural capital for a year. It should be a cultural capital for life, with the rich cultural wealth it has. And that of course means better incomes, better quality of life.","Κι όντως 20 εκατομμύρια δόθηκαν συνολικά, από δημόσιους πόρους, για να μπορέσουν να γίνουν μια σειρά από πολύ σημαντικές παρεμβάσεις εδώ στην Ελευσίνα, η οποία θα αποκτήσει -επιτέλους- το μουσείο που της αξίζει.Η Ελευσίνα δεν είναι πολιτιστική πρωτεύουσα για ένα χρόνο. Θα πρέπει να είναι πολιτιστική πρωτεύουσα για πάντα, με τον πλούσιο πολιτιστικό πλούτο τον οποίο διαθέτει. Και αυτό φυσικά συνεπάγεται καλύτερα εισοδήματα, βελτίωση της ποιότητας ζωής.",political agenda,culture,museums,0.8,0,0,"[['elefsina', 'location', '1.0'], ['public funds', 'organization', '0.6'], ['museum', 'organization', '0.4']]"
4,"You are right, Mayor, when you say that ""for us there are no front and back yards"". In Attica in particular, we have primarily supported those areas which in the past did not receive the necessary attention from the state. And I ask you, today, from Elefsina, to give me the strength to continue this work for four more years.","Έχεις δίκιο, Δήμαρχε, όταν λες ότι «για μας δεν υπάρχουν μπρος και πίσω αυλές». Ειδικά στην Αττική, κατεξοχήν στηρίξαμε εκείνες τις περιοχές οι οποίες στο παρελθόν δεν τύγχαναν της απαραίτητης προσοχής της πολιτείας. Και σάς ζητώ, σήμερα, από την Ελευσίνα, να μου δώσετε τη δύναμη για να συνεχίσουμε αυτό το έργο, για τέσσερα ακόμα χρόνια.",political agenda,elections,affordable housing,0.75,0,0,"[['mayer', 'person', '0.95'], ['attica', 'location', '0.95'], ['elefsina', 'location', '0.95'], ['the state', 'organization', '0.6'], ['four more years', 'date', '0.9']]"
5,"I came a little late to talk to you because I had a very nice meeting in the shipyards of Elefsina, which are again bustling with life. Five ships are tied to the docks and are being repaired. The large tank, which, as you know, has been sunk for many years, has now been raised and is preparing to receive the first ship on 15 June. And the workers are smiling for the first time, because they know they have a steady income to feed their families. I would say that the Elefsina shipyards symbolize the whole policy of our government on how to attract investment, on how to improve incomes, on how to reduce unemployment. How, ultimately, young children in particular will be able to claim a better future for themselves and their families.","Άργησα λίγο να έρθω να σας μιλήσω, διότι είχα μια πολύ όμορφη συνάντηση στα ναυπηγεία της Ελευσίνας τα οποία ξανά σφύζουν από ζωή. Πέντε πλοία είναι δεμένα στους ντόκους και επισκευάζονται. Η μεγάλη δεξαμενή, η οποία όπως ξέρετε ήταν βυθισμένη για πολλά χρόνια έχει πια σηκωθεί, ετοιμάζεται να υποδεχθεί το πρώτο πλοίο στις 15 Ιουνίου. Και οι εργαζόμενοι για πρώτη φορά χαμογελούν, γιατί ξέρουν ότι έχουν ένα σταθερό εισόδημα για να θρέψουν τις οικογένειές τους. Θα έλεγα ότι στα ναυπηγεία της Ελευσίνας, συμβολίζεται όλη η πολιτική της κυβέρνησής μας για το πώς θα προσελκύσουμε επενδύσεις, για το πώς θα βελτιώσουμε τα εισοδήματα, για το πώς θα μειώσουμε την ανεργία. Για το πώς τελικά θα μπορέσουν, ειδικά τα νέα παιδιά, να διεκδικήσουν ένα καλύτερο μέλλον για αυτά και για τις οικογένειές τους.",political agenda,employment,investments,0.9,0,0,"[['elefsina', 'location', '1.0'], ['five ships', 'group of people', '0.7'], ['15 june', 'date', '0.9'], ['government', 'organization', '0.6'], ['workers', 'group of people', '0.5'], ['children', 'group of people', '0.4']]"
6,"And I am proud that during these four years, despite very great difficulties, our government has put Greece on a growth track. And I have kept all the campaign commitments that I gave you when I spoke to you before the July 2019 elections, taxes are lower, contributions are lower, unemployment has fallen by 6 points.","Και είμαι  υπερήφανος που αυτά τα τέσσερα χρόνια, παρά τις πολύ μεγάλες δυσκολίες, η κυβέρνησή μας έβαλε την Ελλάδα σε μια αναπτυξιακή τροχιά. Τήρησα και όλες τις προεκλογικές δεσμεύσεις τις οποίες σας είχα δώσει, όταν μίλησα σε εσάς πριν από τις εκλογές του Ιουλίου του 2019.Οι φόροι είναι χαμηλότεροι, οι εισφορές είναι χαμηλότερες, η ανεργία έχει πέσει κατά 6 μονάδες. ",political agenda,other,austerity,0.8,0.1,0,"[['greece', 'country', '1.0'], ['july 2019', 'date', '1.0']]"
7,"For the first time in 12 years, pensions have been increased. And yes, it is our government that is correcting the abomination of the Katrougalos law. And let those still in thrall to the personal differential know that we will continue to support pensioners until the Katrougal personal differential is erased.","Για πρώτη φορά αυξήθηκαν οι συντάξεις μετά από 12 χρόνια. Και ναι, η δική μας κυβέρνηση είναι αυτή η οποία διορθώνει το έκτρωμα του νόμου Κατρούγκαλου. Και να ξέρουν όσοι ακόμα είναι δέσμιοι της προσωπικής διαφοράς ότι θα εξακολουθούμε να στηρίζουμε τους συνταξιούχους, έως ότου η προσωπική διαφορά Κατρούγκαλου σβήσει.",criticism,pensioners,pensions,0.6,0.2,0.2,"[['katrougalos', 'organization', '0.5'], ['government', 'organization', '0.8'], ['pensioners', 'group of people', '0.6'], ['katrougal', 'political party', '0.3']]"
8,"We have been through a lot in these four years, friends. Many unprecedented difficulties. A pandemic, a migrant invasion, an extremely aggressive Turkey, an energy crisis, an imported crisis of price stability.","Περάσαμε πολλά αυτά τα τέσσερα χρόνια, φίλες και φίλοι. Πολλές πρωτοφανείς δυσκολίες. Πανδημία, μεταναστευτική εισβολή, μια Τουρκία εξαιρετικά επιθετική, μια ενεργειακή κρίση, μια κρίση ακρίβειας εισαγόμενη.",political agenda,other,energy crisis,-0.6,0,0,"[['turkey', 'location', '0.5'], ['4 years', 'date', '0.5'], ['pandemic', 'organization', '0.5'], ['migrant invasion', 'organization', '0.5'], ['energy crisis', 'organization', '0.5'], ['crisis of price stability', 'organization', '0.5']]"
9,"I had and have one concern, first and foremost and non-negotiable. And that is that we will always support our weakest citizens. And I want everyone to feel that in every difficulty there is a state by their side that will come to the aid of our fellow citizens in every difficulty.","Είχα και έχω ένα μέλημα, πρώτο και αδιαπραγμάτευτο. Και αυτό είναι ότι θα στηρίζουμε πάντα τους πιο αδύναμους συμπολίτες μας. Και θέλω όλες και όλοι να αισθάνονται, ότι σε κάθε δυσκολία υπάρχει ένα κράτος δίπλα τους το οποίο θα προστρέξει να στηρίξει τους συμπολίτες μας σε κάθε δυσκολία.",political agenda,social state,vulnerable citizens,1,0,0,[]
10,"We did it during the pandemic, where we gave almost €50 billion - the most money ever given by any government - to be able to deal with the reality of closed shops, of workers who suddenly found themselves without wages. And if today our economy is growing and here in Elefsina, there is, Mayor, a dynamic market with shops that are seeing better turnover, that are hiring people. This is precisely because we were quick to support society and entrepreneurship in a difficult time.","Το κάναμε στη διάρκεια της πανδημίας, όπου δώσαμε σχεδόν 50 δισεκατομμύρια ευρώ -τα περισσότερα χρήματα που έχουν δοθεί ποτέ από οποιαδήποτε κυβέρνηση- για να μπορέσουμε να αντιμετωπίσουμε την πραγματικότητα των κλειστών καταστημάτων, των εργαζόμενων που ξαφνικά βρέθηκαν χωρίς μισθούς. Και αν σήμερα η οικονομία μας αναπτύσσεται και εδώ στην Ελευσίνα, υπάρχει, δήμαρχε, μια δυναμική αγορά με καταστήματα τα οποία βλέπουν καλύτερους τζίρους, προσλαμβάνουν κόσμο. Αυτό  ακριβώς οφείλεται στο γεγονός ότι εμείς σπεύσαμε να στηρίξουμε την κοινωνία και την επιχειρηματικότητα σε μια δύσκολη συγκυρία.",political agenda,entrepreneurship,other,0.74,0,0,"[['""elefsina', 'location', '1.0""']]"
