id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats of Arta, citizens from every corner of our beautiful Epiros, which I love so much and visit on every occasion, Mr. Regional Governor, Mr. Mayor, Mr. President. Thank you. Thank you from the bottom of my heart for this warm, this overwhelming welcome. Thank you for your impressive presence. You give me courage and strength in the great struggle that we are fighting.Less than two weeks - 13 days, in fact - separate us from May 21. From the Sunday when we will close the road to a second time to disaster. With our vote we will give a second strong mandate for progress, for a country that walks proudly, firmly, boldly and only forwards. I understand when the elections are approaching when my voice starts to turn off, but that will not prevent us from continuing to turn Greece around, to present our programme, to claim the vote of the citizens for a great victory on May 21.And I would say that especially here in Arta, Mr. Mayor, Mr. Regional Governor, the decision of the people of Arta has a double meaning. I remember that in the 2019 elections we lost the primary, here in Arta, by a few hundred votes. The message you will send here will be heard throughout Greece, we will be first and by far in Arta.","Νεοδημοκράτισσες και Νεοδημοκράτες της Άρτας, πολίτες από κάθε γωνιά της όμορφης Ηπείρου μας, την οποία τόσο πολύ αγαπώ και επισκέπτομαι σε κάθε ευκαιρία, κ. Περιφερειάρχα, κ. Δήμαρχε, κ. Πρόεδρε. Σας ευχαριστώ. Σας ευχαριστώ από καρδιάς, γι’ αυτή τη ζεστή, αυτή τη συγκλονιστική υποδοχή. Σας ευχαριστώ για την εντυπωσιακή σας παρουσία. Μου δίνετε κουράγιο και δύναμη στο μεγάλο αγώνα που δίνουμε.Λιγότερο από δύο εβδομάδες -για την ακρίβεια 13 μέρες- μας χωρίζουν από την 21η Μαΐου. Από την Κυριακή που θα κλείσουμε το δρόμο σε μια δεύτερη φορά στη συμφορά. Mε την ψήφο μας θα δώσουμε μια δεύτερη ισχυρή εντολή στην προκοπή, για μία πατρίδα που θα βαδίζει υπερήφανη, σταθερά, τολμηρά και μόνο μπροστά. Καταλαβαίνω πότε πλησιάζουν οι εκλογές από το πότε αρχίζει να κλείνει η φωνή μου, αλλά αυτό δεν θα μας εμποδίσει να συνεχίσουμε να γυρνάμε την Ελλάδα, να παρουσιάζουμε το πρόγραμμά μας, να διεκδικούμε την ψήφο των πολιτών για μια μεγάλη νίκη την 21η Μαΐου.Και θα έλεγα ότι ειδικά εδώ, στην Άρτα, κ. Δήμαρχε, κ. Περιφερειάρχα, η απόφαση των Αρτινών έχει μια διπλή σημασία. Θυμάμαι ότι στις εκλογές του 2019 χάσαμε την πρωτιά, εδώ στην Άρτα, για λίγες εκατοντάδες ψήφους. Το μήνυμα που θα στείλετε εδώ θα ακουστεί σε ολόκληρη την Ελλάδα, θα είμαστε πρώτοι και με διαφορά στην Άρτα. ",political agenda,elections,election spending,0.75,0.0,0.0,"[['young democrats of arta', 'organization', '1.0'], ['citizens', 'group of people', '0.7'], ['epiros', 'location', '1.0'], ['regional governor', 'person', '1.0'], ['mayor', 'person', '1.0'], ['president', 'person', '0.7'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0']]"
2,"And I would say that it is a message that comes separately from Athamanios, from Mr Tsipras' fellow countrymen, who know him better. So let's get ready for another defeat, at home this time. For Constantine and Helen will be celebrated by democracy, by a self-reliant New Democracy and by a self-reliant Greece.","Και θα έλεγα ότι είναι ένα μήνυμα το οποίο έρχεται ξεχωριστά από το Αθαμάνιο, από τους συγχωριανούς του κ. Τσίπρα, που τον ξέρουν καλύτερα. Ας ετοιμαστεί λοιπόν για μία ακόμα ήττα, εντός έδρας αυτή τη φορά. Γιατί Κωνσταντίνου και Ελένης θα γιορτάσει η Δημοκρατία, η αυτοδύναμη Νέα Δημοκρατία και η αυτοδύναμη Ελλάδα.",criticism,democracy,,-0.4,0.1,0.0,"[['athamanios', 'person', '0.9'], ['tsipras', 'person', '0.9'], ['new democracy', 'political party', '0.9'], ['greece', 'country', '0.9'], ['constantine', 'person', '0.5'], ['helen', 'person', '0.5']]"
3,"It will be the completion of a cycle of progress which has gone through, I would say, forty waves. The President of the Parliament, the colleagues who served our parliamentary majority know well how many difficulties we have had to deal with in this four-year period, from the migratory invasions in Evros at the beginning of 2020, more than two years of pandemic, an unprecedented energy crisis from the war in Ukraine, a global ""storm"" of precision that is still ongoing and, at the same time, the constant challenges of Turkey in the Aegean and the Eastern Mediterranean.And yet, in the face of all these separate difficulties - any one of them, not four combined, would be enough to break a government - we have raised mounds and kept society standing and united.","Θα είναι η ολοκλήρωση ενός κύκλου προόδου ο οποίος πέρασε, θα έλεγα, από σαράντα κύματα. Ο Πρόεδρος της Βουλής, οι συνάδελφοι που υπηρέτησαν την κοινοβουλευτική μας πλειοψηφία το γνωρίζουν καλά, πόσες δυσκολίες κληθήκαμε να διαχειριστούμε αυτή την τετραετία.Από τις μεταναστευτικές εισβολές στον Έβρο, στις αρχές του 2020, δύο και πλέον χρόνια πανδημίας, μια πρωτοφανή ενεργειακή κρίση από τον πόλεμο στην Ουκρανία, μια παγκόσμια «καταιγίδα» ακρίβειας η οποία διαρκεί ακόμα και, ταυτόχρονα, τις διαρκείς προκλήσεις της Τουρκίας στο Αιγαίο και στην Ανατολική Μεσόγειο.Κι όμως, απέναντι σε όλες αυτές τις ξεχωριστές δυσκολίες -μια από αυτές, όχι τέσσερις μαζί, θα αρκούσαν για να λυγίσουν μία κυβέρνηση- εμείς υψώσαμε αναχώματα και κρατήσαμε την κοινωνία όρθια και ενωμένη.",political agenda,national security,other,0.5,0.0,0.0,"[['president of the parliament', 'person', '1.0'], ['parliamentary majority', 'group of people', '0.8'], ['evros', 'location', '0.7'], ['2020', 'date', '0.9'], ['pandemic', 'organization', '0.7'], ['ukraine', 'country', '0.9'], ['turkey', 'country', '0.9'], ['aegean', 'location', '0.8'], ['eastern mediterranean', 'location', '0.8']]"
4,"We spent more than €55 billion on the coronavirus and on the energy crisis. We have supported workers, we have supported businesses, we have supported jobs. This morning I visited, among other places, Parga, which was booming and bubbling with life. And I was thinking that all those shops that are now operating on the beach and ready to welcome the tourists of this tourist season would not be operating today if it were not for the support we gave to all the small and medium-sized enterprises and workers during the difficult years of the coronavirus.","Δαπανήσαμε για τον κορονοϊό και για την αντιμετώπιση της ενεργειακής κρίσης παραπάνω από 55 δισεκατομμύρια ευρώ. Στηρίξαμε εργαζόμενους, στηρίξαμε επιχειρήσεις, στηρίξαμε θέσεις εργασίας. Σήμερα το  πρωί επισκέφτηκα ανάμεσα στα άλλα την Πάργα, η οποία ανθούσε και έσφυζε από ζωή. Και σκεφτόμουν ότι όλα αυτά τα καταστήματα τα οποία λειτουργούν σήμερα στην παραλία και είναι έτοιμα να υποδεχθούν τους τουρίστες αυτής της τουριστικής περιόδου δεν θα λειτουργούσαν σήμερα εάν δεν υπήρχε η στήριξη που δώσαμε σε όλες τις μικρομεσαίες επιχειρήσεις και στους εργαζόμενους τα δύσκολα χρόνια του κορονοϊού.",political agenda,economy,energy crisis,0.8,0.0,0.0,[]
5,"But we have also been consistent with our national obligations. We have protected our borders, which are also European borders. We have activated our diplomacy. We have strengthened our defence.But that is not all. At the same time, we have not wavered for a moment from the commitments we made when you put your trust in us in July 2019. You all remember the clear objectives we set then: lower taxes and more investment and new jobs; income support with a particular focus on the primary sector and our farmers. A more friendly and digital state, a strong Armed Forces and a country with prestige and a voice on the international stage.So I ask you, after four years, what has been the result of this effort? I think the answer can only be one: yes, with your help we have put into practice what we said.","Ήμασταν, όμως, συνεπείς και στις εθνικές μας υποχρεώσεις. Θωρακίσαμε τα σύνορά μας, που είναι ταυτόχρονα και ευρωπαϊκά σύνορα. Ενεργοποιήσαμε τη διπλωματία μας. Ενισχύσαμε την άμυνά μας.Αλλά όχι μόνο. Στο ίδιο διάστημα δεν ξεφύγαμε ούτε στιγμή από τις δεσμεύσεις που είχαμε αναλάβει όταν μας εμπιστευτήκατε τον Ιούλιο του 2019. Θυμάστε όλοι τους σαφείς στόχους που είχαμε θέσει τότε: λιγότερους φόρους και περισσότερες επενδύσεις και νέες δουλειές, στήριξη του εισοδήματος με ιδιαίτερη έμφαση στον πρωτογενή τομέα και στους αγρότες μας. Ένα κράτος πιο φιλικό και ψηφιακό, ισχυρές Ένοπλες Δυνάμεις και μια χώρα με κύρος και φωνή στο διεθνές προσκήνιο.Σας ρωτώ, λοιπόν, ύστερα από τέσσερα χρόνια, ποιος ήταν άραγε ο απολογισμός αυτής της προσπάθειας; Μία νομίζω ότι μπορεί να είναι η απάντηση: ναι, με τη δική σας βοήθεια όσα είπαμε τα κάναμε πράξη.",political agenda,other,investments,0.75,0.0,0.0,"[['european borders', 'location', '0.7'], ['diplomacy', 'organization', '0.4'], ['defence', 'organization', '0.5'], ['july 2019', 'date', '1.0'], ['taxes', 'group of people', '0.2'], ['investment', 'organization', '0.3'], ['jobs', 'group of people', '0.4'], ['income support', 'organization', '0.4'], ['farmers', 'group of people', '0.4'], ['armed forces', 'organization', '0.5'], ['country', 'location', '0.8'], ['international stage', 'location', '0.6']]"
6,"The backs of citizens have today been relieved of a burden of 7 billion. Fifty taxes and contributions have been reduced. Citizens are paying lower ENVIA, even lower than they had estimated. The tax-free rate was increased, the first rate went from 22% to 9%. The solidarity levy has been abolished. In fact, the parental benefit tax was abolished as well. And you know very well how important it is now that a parent passes on property to his or her children free of charge.","Οι πλάτες των πολιτών έχουν ελαφρυνθεί σήμερα από βάρη 7 δισεκατομμυρίων. Πενήντα φόρους και εισφορές μειώσαμε. Οι πολίτες πληρώνουν χαμηλότερο ΕΝΦΙΑ, ακόμα χαμηλότερο και από όσο υπολόγιζαν. Αυξήθηκε το αφορολόγητο, ο πρώτος συντελεστής πήγε από το 22% στο 9%. Η εισφορά αλληλεγγύης έχει καταργηθεί. Στην ουσία καταργήθηκε και ο φόρος γονικής παροχής. Και εσείς ξέρετε καλά πόσο σημαντικό πλέον είναι να μεταβιβάζει δωρεάν ένας γονιός την περιουσία στα παιδιά του.",political agenda,economy,tax cuts,0.95,0.0,0.2,[]
7,"Three hundred thousand new jobs, many of them here in Epirus.Minimum wage. I want to remind you that during the pre-election, in 2019, we estimated that it would reach 730 euros, it reached 780 euros. That is two months more per year.","Τριακόσιες χιλιάδες νέες θέσεις εργασίας, πολλές από αυτές και εδώ στην Ήπειρο.Κατώτατος μισθός. Θέλω να σας θυμίσω ότι προεκλογικά, το 2019, εκτιμούσαμε ότι θα φτάσει στα 730 ευρώ, έφτασε στα 780 ευρώ. Δύο μηνιάτικα δηλαδή παραπάνω τον χρόνο.",political agenda,employment,employment,0.8,0.0,0.0,"[['epirus', 'location', '1.0'], ['2019', 'date', '1.0']]"
8,"And for our pensioners I have been consistent in my commitment. For the first time they saw a significant increase, close to 8%, in 12 years. And a parallel boost for those still being wronged by the Katrougalos personal differential. This support will continue until the personal differential disappears for good.","Και για τους συνταξιούχους μας ήμουν συνεπής στη δέσμευσή μου. Για πρώτη φορά είδαν σημαντική αύξηση, κοντά στο 8%, μετά από 12 χρόνια. Και μία παράλληλη ενίσχυση όσων ακόμα αδικούνται από την προσωπική διαφορά Κατρούγκαλου. Αυτή η ενίσχυση θα συνεχίζεται έως ότου εξαφανιστεί οριστικά η προσωπική διαφορά.",political agenda,pensioners,pensions,0.8,0.0,0.0,"[['katrougalos', 'person', '0.75']]"
9,"But, friends, there is no economy without freedom. And obviously there is no social prosperity without national sovereignty. I am particularly proud that in the midst of great difficulties, in the space of four years, Greece has gone from being a ""scattered place"" to a homeland with borders on land, air and sea; that it has almost zeroed the flow of migrants; that it has relieved our border islands - which I will be visiting later this week. We are talking about a completely different picture in Lesvos, in Chios, in Samos, in Kos. In place of the unacceptable structures - the Moria warehouses - we have established humane accommodation facilities.","Όμως, φίλες και φίλοι, δεν υπάρχει οικονομία χωρίς ελευθερία. Και προφανώς δεν υπάρχει κοινωνική ευημερία χωρίς εθνική κυριαρχία. Είμαι ιδιαίτερα υπερήφανος γιατί εν μέσω μεγάλων δυσκολιών, μέσα σε μία τετραετία, η Ελλάδα από το τόπος «σκορποχώρι» έγινε πατρίδα με σύνορα σε γη, αέρα και θάλασσα, που έχει σχεδόν μηδενίσει τις ροές των μεταναστών, που έχει ανακουφίσει τα ακριτικά μας νησιά -τα οποία θα επισκεφτώ εντός της εβδομάδος. Μιλάμε για μία τελείως διαφορετική εικόνα στη Λέσβο, στη Χίο, στη Σάμο, στην Κω. Στη θέση απαράδεκτων δομών - κάτεργων της Μόριας, ιδρύσαμε ανθρώπινες δομές φιλοξενίας. ",political agenda,migration,sea borders,0.6,0.0,0.0,"[['greece', 'country', '1.0'], ['lesvos', 'location', '1.0'], ['chios', 'location', '1.0'], ['samos', 'location', '1.0'], ['kos', 'location', '1.0'], ['moria', 'location', '1.0']]"
10,"""Sweep it all"", we'll sweep it all. And of course, since we are talking about the continuation of the work that we have already started, let us send a message from here, from Arta, from Epirus, a message that can be heard on the edge of our homeland, in Evros. From Alexandroupoli to Ormenio, but also to Brussels: the Evros fence will be extended and will cover the entire length of our country's land border. And let those who think that our country may be vulnerable hear the message well. The answer that we have given - I want to stress this - in record time and overcoming many difficulties, with a series of important transnational agreements, the answer has a number and a name: 24 new Rafal fighters, 84 upgraded F-16s, new helicopters, new frigates already being built. The first will be delivered before the end of 2025. New armour.","«Σάρωσέ τα όλα», θα τα σαρώσουμε όλα. Θα σαρώσουμε και αυτά τα εμπόδια τα οποία μας δυσκόλεψαν την πρώτη τετραετία.Και βέβαια, μιας και μιλάμε για τη συνέχιση του έργου το οποίο ήδη έχουμε ξεκινήσει, ας στείλουμε και από δω, από την Άρτα, από την Ήπειρο, ένα μήνυμα το οποίο να ακουστεί και στην άκρη της πατρίδας μας, στον Έβρο. Από την Αλεξανδρούπολη μέχρι το Ορμένιο, αλλά να ακουστεί και στις Βρυξέλλες: ο φράχτης του Έβρου θα επεκταθεί και θα καλύψει όλο το μήκος των χερσαίων συνόρων της πατρίδας μας. Και ας ακούσουν το μήνυμα καλά και αυτοί που θεωρούν ότι η χώρα μας μπορεί να είναι ευάλωτη. Η απάντηση που δώσαμε -θέλω να το τονίσω αυτό- σε χρόνο ρεκόρ και ξεπερνώντας πολλές δυσκολίες, με μια σειρά από σημαντικές διακρατικές συμφωνίες, η απάντηση έχει αριθμό και έχει και όνομα: 24 νέα μαχητικά Ραφάλ, 84 αναβαθμισμένα F-16, νέα ελικόπτερα, νέες φρεγάτες που ήδη ναυπηγούνται. Η πρώτη θα παραληφθεί πριν το τέλος του 2025. Νέα τεθωρακισμένα. ",political agenda,other,other,0.0,0.2,0.0,"[['arta', 'location', '0.8'], ['epirus', 'location', '0.8'], ['evros', 'location', '0.8'], ['alexandroupoli', 'location', '0.8'], ['ormenio', 'location', '0.8'], ['brussels', 'location', '0.8'], ['rafal', 'organization', '0.8'], ['f-16s', 'organization', '0.8'], ['2025', 'date', '0.8']]"
