id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for this spectacular reception. Trikala sends a message of victory. We will be victorious ten days from now. And the goal, dear President, dear Kostas, dear Mayor, that I am setting here in Trikala is very high. We will not only be above the national average, we will be above the percentage we got in the 2019 elections.","Σας ευχαριστώ γι΄ αυτή τη θεαματική υποδοχή. Τα Τρίκαλα στέλνουν μήνυμα νίκης. Θα είμαστε νικητές σε δέκα μέρες από τώρα. Και ο στόχος, αγαπητέ Πρόεδρε, αγαπητέ Κώστα, αγαπητέ Δήμαρχε, που βάζω εδώ στα Τρίκαλα είναι πολύ υψηλός. Δε θα είμαστε μόνο πάνω από τον εθνικό μέσο όρο, θα είμαστε πάνω από το ποσοστό που πήραμε στις εκλογές του 2019.",political agenda,elections,election spending,0.7,0.0,0.0,"[['trikala', 'location', '1.0'], ['president', 'person', '0.5'], ['kostas', 'person', '0.5'], ['mayor', 'person', '0.5'], ['2019 elections', 'date', '1.0']]"
2,"Friends, I came here today to shake your hand, I could not, there was no way I could complete my election campaign without passing through Thessaly again and without coming especially here in Trikala, where such great things are happening. A city that is a leading player in the development of the country, with a worthy Mayor, with a worthy Regional Governor supporting it, proving that when there is excellent cooperation between local government and central government, we can improve the lives of citizens. To make them better and that, in the end, is the stake of the next day.Was the Mayor right when he said that today the dilemma of the elections is very simple: are we going to move forward on a path of prosperity, on a path of national uplift, on a path of national pride, or are we going to go back to an era of high taxes, of unstable foreign policy, of internal and external insecurity? And Trikala has already voted today. We are going steadily, boldly, forward.","Φίλες και φίλοι, ήρθα σήμερα να σας σφίξω το χέρι, δεν μπορούσα, δεν υπήρχε περίπτωση να ολοκληρώσω την προεκλογική μου εκστρατεία χωρίς να ξαναπεράσω από τη Θεσσαλία και χωρίς να έρθω ειδικά εδώ στα Τρίκαλα, που γίνονται τόσο σπουδαία πράγματα. Μια πόλη, η οποία πρωταγωνιστεί στην ανάπτυξη της χώρας, με έναν άξιο Δήμαρχο, με έναν άξιο Περιφερειάρχη που τη στηρίζει, που αποδεικνύει ότι όταν υπάρχει εξαιρετική συνεργασία μεταξύ της Αυτοδιοίκησης και της κεντρικής κυβέρνησης, μπορούμε να βελτιώσουμε τις ζωές των πολιτών. Να τις κάνουμε καλύτερες και αυτό, τελικά, είναι και το στοίχημα της επόμενης μέρας.Είχε δίκιο ο Δήμαρχος όταν είπε, ότι σήμερα το δίλημμα των εκλογών είναι πολύ απλό: θα προχωρήσουμε μπροστά σε μία πορεία ευημερίας, σε μία πορεία εθνικής ανάταξης, σε μία πορεία εθνικής υπερηφάνειας ή θα γυρίσουμε πίσω, σε μία εποχή υψηλών φόρων, ασταθούς εξωτερικής πολιτικής, εσωτερικής και εξωτερικής ανασφάλειας; Και τα Τρίκαλα σήμερα ψήφισαν ήδη. Πάμε σταθερά, τολμηρά, μπροστά. ",political agenda,elections,other,0.8,0.0,0.0,"[['trikala', 'location', '1.0'], ['thessaly', 'location', '0.8'], ['mayor', 'person', '0.8'], ['regional governor', 'person', '0.8'], ['citizens', 'group of people', '0.6'], ['central government', 'organization', '0.7'], ['elections', 'date', '0.7']]"
3,"Many of you had the opportunity, I imagine, yesterday, to watch the debate, the debate, which some of you remember saying that we were not going to a debate. So here we are, we went to a debate and we will go again to another debate if we have to.
But what did the debate show, friends? What did I learn from that experience, three hours of talking to the political leaders? That there is essentially one credible political proposal for governing the country today: the proposal of the New Democracy.On the other hand, there is a progressive shambles. They all agree on only one thing: that they do not want New Democracy to govern and Mitsotakis to be Prime Minister. The Greek people will not indulge them.","Πολλοί από εσάς είχατε την ευκαιρία φαντάζομαι, χθες, να παρακολουθήσετε την τηλεμαχία, το debate, που κάποιοι θυμάστε έλεγαν ότι δεν πάμε σε debate. Να, λοιπόν, που πήγαμε σε debate και θα ξαναπάμε και σε άλλο debate, εφόσον χρειαστεί.
Αλλά το debate τι κατέδειξε φίλες και φίλοι; Τι κατάλαβα εγώ από αυτή την εμπειρία, τρεις ώρες που συνομιλούσα με τους πολιτικούς αρχηγούς; Ότι υπάρχει σήμερα ουσιαστικά μία αξιόπιστη πολιτική πρόταση διακυβέρνησης της χώρας: η πρόταση της Νέας Δημοκρατίας.Από την άλλη υπάρχει ένας προοδευτικός αχταρμάς. Συμφωνούν σε ένα πράγμα μόνο όλοι τους: ότι δεν θέλουν τη Νέα Δημοκρατία κυβέρνηση και τον Μητσοτάκη Πρωθυπουργό. Ο ελληνικός λαός δεν θα τους κάνει το χατίρι.",criticism,elections,other,0.0,0.1,0.2,"[['mitsotakis', 'person', '0.9'], ['new democracy', 'political party', '0.9'], ['greek', 'country', '0.9']]"
4,"It's up to all of you, because as the President said, yes, you see we have a very good current, we will be victorious, but don't forget on Sunday morning, May 21, when the polls open, the polls are empty. And by the end of the day they must be filled and they must be filled with many New Democracy ballots, so that by the evening of that day one thing is certain: that the Greek people will have sent a clear message that the next government will be the government of New Democracy. So that we can continue, friends, this important effort that we started four years ago, in the midst of so many difficulties. I do not need to mention them to you. We have managed too many crises, we have kept the country safe, we have protected our borders, we have repelled all the attacks on our national sovereignty. We built alliances; our voice is heard today, from the United States Congress to Brussels. Powerful. But at the same time, I also put into practice all my central campaign commitments.","Αυτό εξαρτάται από όλους εσάς, διότι όπως είπε και ο Πρόεδρος, ναι, βλέπετε έχουμε ένα πολύ καλό ρεύμα, θα είμαστε νικητές, αλλά μην ξεχνάτε την Κυριακή το πρωί την 21η Μαΐου οι κάλπες, όταν θα ανοίξουν, είναι άδειες. Και μέχρι το τέλος της ημέρας πρέπει να έχουν γεμίσει και πρέπει να έχουν γεμίσει με πολλά ψηφοδέλτια της Νέας Δημοκρατίας, ώστε το βράδυ αυτής της ημέρας ένα να είναι σίγουρο: ότι ο ελληνικός λαός θα έχει στείλει ένα ξεκάθαρο μήνυμα, ότι η επόμενη κυβέρνηση, θα είναι η κυβέρνηση της Νέας Δημοκρατίας. Για να μπορέσουμε να συνεχίσουμε φίλες και φίλοι αυτή τη σημαντική προσπάθεια που ξεκινήσαμε πριν από τέσσερα χρόνια, εν μέσω τόσων δυσκολιών. Δεν χρειάζεται να σας τις αναφέρω. Διαχειριστήκαμε πάρα πολλές κρίσεις, κρατήσαμε τη χώρα ασφαλή, προστατεύσαμε τα σύνορά μας, αποκρούσαμε όλες τις επιβουλές στην εθνική μας κυριαρχία. Χτίσαμε συμμαχίες.Η φωνή μας σήμερα ακούγεται, από το Κογκρέσο των Ηνωμένων Πολιτειών μέχρι τις Βρυξέλλες. Ισχυρή. Αλλά ταυτόχρονα έκανα πράξη και όλες τις κεντρικές προεκλογικές μου δεσμεύσεις.",political agenda,elections,campaigning,0.6,0.0,0.0,"[['greek people', 'group of people', '1.0'], ['president', 'person', '1.0'], ['sunday morning', 'date', '1.0'], ['may 21', 'date', '1.0'], ['new democracy', 'political party', '1.0'], ['greek', 'country', '1.0'], ['united states congress', 'organization', '1.0'], ['brussels', 'location', '1.0']]"
5,"When I came to speak to you again in Thessaly in 2019, I made a central commitment to you. I had said clearly that I would cut taxes and pensions and return to the middle class what Alexis Tsipras took from you. And I made it happen. We cut taxes, we cut contributions, we supported society, entrepreneurship, the world of work during the pandemic. We supported households during the energy crisis.","Όταν είχα έρθει να μιλήσω σε εσάς πάλι στη Θεσσαλία, το 2019,  είχα αναλάβει απέναντί σας μια κεντρική δέσμευση. Είχα πει ξεκάθαρα ότι θα μειώσω τους φόρους και τις συντάξεις και θα επιστρέψω στη μεσαία τάξη, αυτά που σας πήρε ο Αλέξης Τσίπρας. Και το έκανα πράξη. Μειώσαμε τους φόρους, μειώσαμε τις εισφορές, στηρίξαμε την κοινωνία, την επιχειρηματικότητα, τον κόσμο της εργασίας στη διάρκεια της πανδημίας. Στηρίξαμε τα νοικοκυριά στη διάρκεια της ενεργειακής κρίσης.",political agenda,economy,tax cuts,0.75,0.0,0.0,"[['thessaly', 'location', '0.9'], ['2019', 'date', '0.9'], ['alexis tsipras', 'person', '0.9']]"
6,"Fifty-seven billion euros have been spent to keep Greek society on its feet. And today I am happy because I see here, my dear Mayor, a vibrant market here in Trikala. All businesses know very well that if we had not stood by them during the pandemic years, things would have been much more difficult.","Πενηντα-επτά δισεκατομμύρια ευρώ δαπανήσαμε για να κρατήσουμε όρθια την ελληνική κοινωνία. Και σήμερα χαίρομαι γιατί βλέπω εδώ, αγαπητέ μου Δήμαρχε, μια ζωντανή αγορά εδώ στα Τρίκαλα. Όλες οι επιχειρήσεις γνωρίζουν πολύ καλά ότι αν δεν είχαμε σταθεί δίπλα τους στα χρόνια της πανδημίας, τα πράγματα θα ήταν πολύ πιο δύσκολα. ",political agenda,entrepreneurship,other,0.9,0.0,0.0,"[['greek society', 'organization', '0.75'], ['trikala', 'location', '0.5']]"
7,"We did our duty. We have protected society and put the country on a stable path of development. This growth trajectory must continue at all costs. It is the one that will ultimately bring us better wages and better incomes for all. If I had committed to one thing during the election campaign in 2019, that I would cut taxes and I did it, today I look you in the eye and I am committed to one thing, and that is that I will increase wages for the public and private sector, we will reduce unemployment even further, we will bring it down below 10% and we will continue with the major development projects that are changing the face of Greece.","Κάναμε το καθήκον μας. Προστατεύσαμε την κοινωνία και βάλαμε τη χώρα σε μια σταθερή τροχιά ανάπτυξης. Αυτή η τροχιά ανάπτυξης πρέπει να συνεχιστεί πάσει θυσία. Είναι αυτή τελικά που θα μας φέρει καλύτερους μισθούς και καλύτερα εισοδήματα για όλους. Αν είχα δεσμευτεί προεκλογικά για ένα πράγμα, το 2019, ότι θα μειώσω τους φόρους και το έκανα πράξη, σήμερα σας κοιτώ στα μάτια και δεσμεύομαι για ένα πράγμα, και αυτό είναι ότι θα αυξήσω τους μισθούς για το δημόσιο και τον ιδιωτικό τομέα.Θα μειώσουμε και άλλο την ανεργία, θα τη ρίξουμε κάτω από το 10% και θα συνεχίσουμε τα μεγάλα αναπτυξιακά έργα, τα οποία αλλάζουν την όψη της Ελλάδος. ",political agenda,economy,wages,0.9,0.0,0.0,"[['greece', 'country', '1.0'], ['2019', 'date', '1.0']]"
8,"The first section of the northern axis of the E65 linking Trikala and Kalambaka will be delivered before the end of the year. It is a road that brings Trikala out of isolation. The second section, the southern part which is so important for the whole of Thessaly, will be delivered in the first three months of 2024 and the whole road will be completed by the end of 2025. I made a commitment here in Trikala during the pre-election campaign that the E65 would become a reality, and only we know how many struggles we have put in so that we can untie it and so that western Thessaly can finally come out of its isolation and unfold its development potential. From 378 million from the MIP and NSRF to 554 million available for the whole of Thessaly in the next programming period.","Το πρώτο τμήμα του βόρειου άξονα του Ε65 που θα συνδέει τα Τρίκαλα με την Καλαμπάκα θα παραδοθεί πριν από το τέλος του έτους. Είναι ένας δρόμος ο οποίος βγάζει τα Τρίκαλα από την απομόνωση. Το δεύτερο τμήμα, το νότιο κομμάτι  το οποίο είναι τόσο σημαντικό για όλη τη Θεσσαλία θα παραδοθεί τους πρώτους τρεις μήνες του 2024 και όλος ο δρόμος θα έχει ολοκληρωθεί μέχρι το τέλος του 2025. Είχα δεσμευτεί εδώ στα Τρίκαλα προεκλογικά ότι ο Ε65 θα γίνει πράξη και μόνο εμείς ξέρουμε πόσους αγώνες δώσαμε για να μπορέσουμε να τον απεμπλέξουμε και να μπορέσει επιτέλους η δυτική Θεσσαλία να βγει από την απομόνωση και να ξεδιπλώσει την αναπτυξιακή τη δυναμική. Από 378 εκατομμύρια που είχατε από ΠΕΠ και ΕΣΠΑ σε 554 εκατομμύρια διαθέσιμα για όλη τη Θεσσαλία στην επόμενη προγραμματική περίοδο.",political agenda,infrastructure,other,0.5,0.0,0.0,"[['trikala', 'location', '0.9'], ['kalambaka', 'location', '0.9'], ['thessaly', 'location', '0.8'], ['e65', 'organization', '0.7'], ['mip', 'organization', '0.6'], ['nsrf', 'organization', '0.6'], ['western thessaly', 'location', '0.5'], ['2024', 'date', '0.5'], ['2025', 'date', '0.5']]"
9,"These are all important projects. Add to that the resources of the Recovery Fund. Mr Tsipras was telling us: 'that he went and negotiated for 17 hours'.  And what did he bring us back?  A third memorandum.  I went and negotiated for 5 days and I brought back 31 billion euros from the Recovery Fund.It is money that you see in the urban renewal projects that are taking place, it is money that you will see in the major irrigation projects, major investments, the Mesochora dam will finally be completed and will add significant renewable energy generation capacity.","Όλα αυτά είναι σημαντικά έργα. Προσθέστε και σε αυτό τους πόρους του Ταμείου Ανάκαμψης. Μας έλεγε ο κ. Τσίπρας: «ότι πήγε λέει και διαπραγματεύτηκε 17 ώρες».  Και τι μας έφερε πίσω;  Ένα τρίτο μνημόνιο.  Εγώ πήγα και διαπραγματεύτηκα 5 μέρες και σας έφερα πίσω 31 δισεκατομμύρια ευρώ από το Ταμείο Ανάκαμψης.Είναι χρήματα που τα βλέπετε στις αστικές αναπλάσεις οι οποίες γίνονται, είναι χρήματα τα οποία θα τα δείτε στα μεγάλα αρδευτικά έργα, σημαντικές επενδύσεις, το φράγμα της Μεσοχώρας επιτέλους θα ολοκληρωθεί και θα προσθέσει σημαντική δυναμικότητα παραγωγής ηλεκτρικής ενέργειας από Ανανεώσιμες Πηγές Ενέργειας.",political agenda,economy,other,0.6,0.2,0.0,"[['mr tsipras', 'person', '1.0'], ['recovery fund', 'organization', '1.0'], ['third memorandum', 'organization', '0.8'], ['31 billion euros', 'organization', '0.8'], ['mesochora dam', 'location', '1.0']]"
10,"The next four years will be the four years of Renewable Energy for everyone but, mind you, not just the big ones. Rooftop solar PV, I'm changing water heaters, solar PV for our farmers, pilot programs that link solar PV to the TOEBs, so that you primary sector producers can bring down the cost of energy and where energy used to be a comparative disadvantage becomes a comparative advantage.","Η επόμενη τετραετία θα είναι η τετραετία των Ανανεώσιμων Πηγών Ενέργειας για όλους όμως, προσέξτε, όχι μόνο για τους μεγάλους. Φωτοβολταϊκά στη στέγη, αλλάζω θερμοσίφωνα, φωτοβολταϊκά για τους αγρότες μας, πιλοτικά προγράμματα τα οποία συνδέουν φωτοβολταϊκά με τους ΤΟΕΒ, ώστε να μπορέσετε οι παραγωγοί του πρωτογενούς τομέα να ρίξετε το κόστος ενέργειας και από εκεί που παλιά η ενέργεια ήταν συγκριτικό μειονέκτημα να γίνει συγκριτικό πλεονέκτημα.",political agenda,energy,wind energy,,0.0,0.0,"[['renewable energy', 'organization', '0.5'], ['rooftop solar pv', 'organization', '0.5'], ['toebs', 'organization', '0.5'], ['primary sector producers', 'group of people', '0.5']]"
