id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats of Volos, colleagues from Magnesia and Thessaly, Onnedites and Onnedites, Dapites and Dapites, Mr.Regional Governor, Mr.Mayor, friends, thank you from the bottom of my heart for this impressive reception. You are raising high the flags of victory, the great victory that is coming on May 21, next Sunday; and many congratulations to our GOP for once again winning the student elections. And I am happy because I see here in Volos all generations of the party. The veterans of the party, the old colleagues, with whom we fought hard and were close to the party in good times and in difficult times.But I also see next to us many new faces, who are joining the great blue wave that is spreading today throughout the country and which will bring in exactly 10 days from now the great victory, the second governmental term of the New Democracy.","Νεοδημοκράτισσες και Νεοδημοκράτες του Βόλου, συναγωνιστές από τη Μαγνησία και τη Θεσσαλία, Οννεδίτισσες και Οννεδίτες, Δαπίτισσες και Δαπίτες, κύριε Περιφερειάρχα, κύριε Δήμαρχε, φίλες και φίλοι, Σας ευχαριστώ από καρδιάς γι’ αυτή την εντυπωσιακή υποδοχή. Υψώνετε ψηλά τις σημαίες της νίκης, της μεγάλης νίκης που έρχεται την 21η Μαΐου, την επόμενη Κυριακή.Και πολλά συγχαρητήρια στη ΔΑΠ μας που για ακόμα μία φορά νίκησε στις φοιτητικές εκλογές. Και χαίρομαι γιατί βλέπω εδώ στο Βόλο όλες τις γενιές της παράταξης. Τους βετεράνους του κόμματος, τους παλιούς συναγωνιστές, με τους οποίους δώσαμε σκληρές μάχες και ήσασταν κοντά στην παράταξη και στις καλές και στις δύσκολες στιγμές.Αλλά βλέπω και δίπλα μας πολλά νέα πρόσωπα, που ενώνονται στο μεγάλο γαλάζιο κύμα που απλώνεται σήμερα σε όλη τη χώρα και που θα φέρει σε ακριβώς 10 μέρες από τώρα τη μεγάλη νίκη, τη δεύτερη κυβερνητική θητεία της Νέας Δημοκρατίας.",political agenda,other,other,0.6,0.2,0.0,"[['young democrats of volos', 'group of people', '1.0'], ['magnesia', 'location', '1.0'], ['thessaly', 'location', '1.0'], ['onnedites', 'group of people', '1.0'], ['dapites', 'group of people', '1.0'], ['regional governor', 'person', '1.0'], ['mayor', 'person', '1.0'], ['may 21', 'date', '1.0'], ['gop', 'political party', '1.0'], ['volos', 'location', '1.0'], ['veterans of the party', 'group of people', '1.0'], ['new democracy', 'political party', '1.0']]"
2,"You, friends, will give us this mandate. The mandate to change Greece once and for all, because some people who are here today, in Thessaly, a little further away in Larissa, are dreaming of power again, threatening us that ""the second time will be different"". Well, it will indeed be different, because everything is already different and it is certainly better than in the past. And let them come here from Volos to see that Magnesia, Greece, Thessaly, will say no a second time to disaster, giving with your vote a second strong mandate for progress.","Θα μας δώσετε εσείς, φίλες και φίλοι, αυτή την εντολή. Την εντολή να αλλάξουμε οριστικά την Ελλάδα, γιατί κάποιοι που είναι σήμερα εδώ, στη Θεσσαλία, λίγο πιο πέρα στη Λάρισα, ονειρεύονται και πάλι την εξουσία απειλώντας μας ότι «η δεύτερη φορά θα είναι αλλιώς». Ε, λοιπόν, πράγματι θα είναι αλλιώς, γιατί ήδη όλα είναι αλλιώς και σίγουρα είναι καλύτερα από το παρελθόν. Κι ας έρθουν κι εδώ από το Βόλο να δουν ότι η Μαγνησία, η Ελλάδα, η Θεσσαλία, θα πουν όχι σε μια δεύτερη φορά στη συμφορά, δίνοντας με την ψήφο σας μια δεύτερη ισχυρή εντολή στην προκοπή.",political agenda,elections,election spending,0.6,0.2,,"[['thessaly', 'location', '1.0'], ['larissa', 'location', '1.0'], ['volos', 'location', '1.0'], ['magnesia', 'location', '1.0'], ['greece', 'country', '1.0']]"
3,"Friends, some people say that these elections are crucial. Wrong, they are the most crucial elections in recent years. Because they find us at a crossroads of choice.  Not between two parties that will rule for four years, but between two worlds that will determine the national course for a decade, either by continuing on the path of certainty and progress or by risking new adventures.We have learned well and truly that governance - we who have been tested in the throes of power this four years - is not an exercise in ideology, but in the successful management of circumstance. And think of how many crises we have gone through and overcome since 2019; in early 2020 we received and dealt with the migrant invasion in Evros and protected our borders. Then we had to deal with the worst pandemic of the last century, then a war on our continent, then a global price explosion. We constantly had to face national threats.","Φίλες και φίλοι, λένε κάποιοι ότι αυτές οι εκλογές είναι κρίσιμες. Λάθος, είναι οι πιο κρίσιμες εκλογές των τελευταίων ετών. Γιατί μας βρίσκουν σε ένα σταυροδρόμι επιλογής.  Όχι ανάμεσα σε δύο κόμματα που θα κυβερνήσουν για μια τετραετία, αλλά ανάμεσα σε δύο κόσμους που θα καθορίσουν την εθνική πορεία για μια δεκαετία, είτε συνεχίζοντας στο δρόμο της σιγουριάς και της προόδου, είτε ρισκάροντας νέες περιπέτειες.Μάθαμε πια για τα καλά ότι η διακυβέρνηση -εμείς που δοκιμαστήκαμε στη βάσανο της εξουσίας αυτή την τετραετία- δεν είναι μια άσκηση ιδεολογίας, αλλά είναι η επιτυχής διαχείριση της συγκυρίας. Και σκεφτείτε πόσες κρίσεις περάσαμε και ξεπεράσαμε από το 2019.Αρχές του 2020 δεχτήκαμε και αντιμετωπίσαμε την μεταναστευτική εισβολή στον Έβρο και προστατεύσαμε τα σύνορά μας. Μετά, κληθήκαμε να διαχειριστούμε τη χειρότερη πανδημία του τελευταίου αιώνα, ύστερα έναν πόλεμο στην ήπειρό μας, μια παγκόσμια έκρηξη τιμών. Διαρκώς έπρεπε να αντιμετωπίσουμε εθνικές απειλές. ",political agenda,other,other,0.3,0.2,0.0,"[['friends', 'person', '0.7'], ['elections', 'group of people', '0.2'], ['national', 'political party', '0.5'], ['two parties', 'political party', '0.5'], ['decade', 'date', '0.2'], ['governance', 'organization', '0.3'], ['power', 'organization', '0.2'], ['crises', 'organization', '0.3'], ['2019', 'date', '0.2'], ['2020', 'date', '0.2'], ['migrant invasion', 'group of people', '0.3'], ['evros', 'location', '0.3'], ['pandemic', 'organization', '0.3'], ['war', 'organization', '0.3'], ['continent', 'location', '0.3'], ['global price explosion', 'organization', '0.3'], ['national threats', 'political party', '0.3']]"
4,"But be careful, I'm not talking here about obstacles that could have been foreseen. Because unlike the crisis of 2015, which was created by the same people who now claim that they got us out of the memoranda, after they had put us in them first with their experiments for six months, all the crises that we were called upon to manage broke out far away from Greece. And yet we overcame them. We overcame them together. When other countries are still struggling to make up for the losses of those attacks, our Greece, our homeland not only gained the lost ground but made leaps and bounds. Two side-by-side pictures are enough: the Greece of 2023 is nothing like the Greece of 2019.","Προσέξτε όμως, εδώ δεν μιλώ για εμπόδια τα οποία μπορούσαν να προβλεφθούν. Γιατί σε αντίθεση με την κρίση του 2015 την οποία την δημιούργησαν αυτοί οι ίδιοι οι οποίοι ισχυρίζονται τώρα ότι μας έβγαλαν από τα μνημόνια, αφού μας έβαλαν πρώτα σε αυτά με τους πειραματισμούς τους ένα εξάμηνο, όλες οι κρίσεις που κληθήκαμε εμείς να διαχειριστούμε ξέσπασαν μακριά από την Ελλάδα. Και όμως τις ξεπεράσαμε. Τις ξεπεράσαμε μαζί. Όταν άλλες χώρες αγωνίζονται ακόμα να αναπληρώσουν τις απώλειες εκείνων των επιθέσεων, η Ελλάδα μας, η πατρίδα μας όχι μόνο κέρδισε το χαμένο έδαφος αλλά σημείωσε άλματα. Δύο εικόνες δίπλα-δίπλα αρκούν: η Ελλάδα του 2023 δεν έχει καμία σχέση με την Ελλάδα του 2019.",political agenda,economy,other,0.7,0.0,0.0,"[['2015 crisis', 'date', '0.8'], ['greece', 'country', '1.0'], ['greek people', 'group of people', '0.8'], ['political party', 'organization', '0.8'], ['2019', 'date', '0.8'], ['2023', 'date', '0.8']]"
5,"In 2019, when I first asked you to trust me, to trust us to govern the country, I stood up to you and promised you some very specific things. Lower taxes and more investment and jobs, income support and protection for the most vulnerable, a state that is friendly and digital at home, but reliable and proud abroad, with tidy finances, where benefits will always go hand in hand with the strengths of the economy, without the immigration scourge and with an armoured defence.That is what I committed to, friends, four years ago. And I ask you: have we delivered on all our election commitments? The answer is yes. We said and did them, despite great difficulties.","Το 2019, όταν για πρώτη φορά σας ζήτησα να με εμπιστευτείτε, να μας εμπιστευτείτε στην διακυβέρνηση του τόπου, στάθηκα απέναντί σας και σας υποσχέθηκα κάποια πολύ συγκεκριμένα πράγματα. Λιγότερους φόρους και περισσότερες επενδύσεις και δουλειές, στήριξη του εισοδήματος και προστασία των πιο ευάλωτων, ένα κράτος φιλικό και ψηφιακό στο εσωτερικό, αλλά αξιόπιστο και περήφανο στο εξωτερικό, με νοικοκυρεμένα δημοσιονομικά, όπου οι παροχές θα βαδίζουν πάντα μαζί με τις αντοχές της οικονομίας, χωρίς το βραχνά του μεταναστευτικού και με θωρακισμένη άμυνα.Γι’ αυτά είχα δεσμευτεί, φίλες και φίλοι, πριν από τέσσερα χρόνια. Και σας ρωτώ: υλοποιήσαμε όλες τις προεκλογικές μας δεσμεύσεις; Η απάντηση είναι πως ναι. Τα είπαμε και τα κάναμε, παρά τις μεγάλες δυσκολίες.",political agenda,elections,tax cuts,0.6,0.0,0.0,"[['2019', 'date', '1.0'], [""'us'"", 'group of people', '0.5'], [""'country'"", 'location', '0.5'], [""'taxes'"", 'organization', '0.4'], [""'investment'"", 'organization', '0.4'], [""'jobs'"", 'organization', '0.4'], [""'income support'"", 'organization', '0.4'], [""'protection'"", 'organization', '0.4'], [""'state'"", 'organization', '0.4'], [""'economy'"", 'organization', '0.4'], [""'immigration'"", 'organization', '0.4'], [""'defence'"", 'organization', '0.4'], [""'election'"", 'organization', '0.3']]"
6,"And where are we today? Where are we today? We are paying fifty less taxes and lower contributions. From your shoulders, from the shoulders of the Greeks, a tax burden of seven billion euros has been removed. ENFIA has been reduced, not by 30% as we said, but by 35%. And from now on it will be reduced by a further 10% for all houses insured against natural disastersThe tax rate has been reduced from 22% to 9%. The solidarity contribution was abolished across the board. The tax on farmers was reduced to 50% for cooperatives. While parents can finally transfer their property to their children for free.But that's not all we did. We spent more than 55 billion, 57 billion to be precise, to deal with the imported crises of pandemic and energy costs, supporting the economy, society and work. At the same time, however, we have stimulated growth through well thought-out choices, we have reduced unemployment through investment, so this new wealth has finally returned to the citizen in the form of permanent increases.","Και πού βρισκόμαστε σήμερα; Πού είμαστε σήμερα; Πληρώνουμε πενήντα λιγότερους φόρους και χαμηλότερες εισφορές. Από τους ώμους σας, από τους ώμους των Ελλήνων έχουν αφαιρεθεί φορολογικά βάρη ύψους επτά δισεκατομμυρίων ευρώ. Ο ΕΝΦΙΑ μειώθηκε όχι κατά 30% όπως είχαμε πει, κατά 35%. Και από εδώ και στο εξής θα μειωθεί για ακόμα 10% για όλα τα σπίτια που ασφαλίζονται έναντι φυσικών καταστροφώνΟ φορολογικός συντελεστής μειώθηκε από το 22% στο 9%. Η εισφορά αλληλεγγύης καταργήθηκε καθολικά. Η φορολόγηση των αγροτών μειώθηκε στο 50% για τα συνεργατικά σχήματα. Ενώ οι γονείς μπορούν επιτέλους να μεταβιβάζουν δωρεάν τις περιουσίες τους στα παιδιά τους.Αλλά δεν κάναμε μόνο αυτό. Δαπανήσαμε παραπάνω από 55 δισεκατομμύρια, 57 δισεκατομμύρια για την ακρίβεια, για να αντιμετωπίσουμε τις εισαγόμενες κρίσεις της πανδημίας και του ενεργειακού κόστους, στηρίζοντας την οικονομία, την κοινωνία και την εργασία. Ταυτόχρονα, όμως, με μελετημένες επιλογές τονώσαμε την ανάπτυξη, με επενδύσεις μειώσαμε την ανεργία.Άρα αυτός ο νέος πλούτος επέστρεψε τελικά στον πολίτη με τη μορφή μόνιμων αυξήσεων.",political agenda,economy,tax cuts,0.8,,0.0,"[['greeks', 'group of people', '1.0'], ['enfia', 'organization', '1.0'], ['22%', 'date', '1.0'], ['9%', 'date', '1.0'], ['solidarity contribution', 'organization', '1.0'], ['cooperatives', 'organization', '1.0'], ['pandemic', 'organization', '1.0'], ['citizen', 'group of people', '1.0']]"
7,"We talk a lot about the imported price crisis. You see that things are gradually getting better in inflation as well. But when I am asked about inflation I say: look, inflation will come down at some point, but the wage increases and the tax cuts are permanent, they are here to stay, and so are the 300,000 jobs we have created. Just as permanent is the increase in the minimum wage from 650 to 780 euros; perhaps many of you do not remember, our commitment was to reach 730 euros. We went beyond that and went to EUR 780, because that is how we had to support the income of low-paid workers in the face of imported precision.","Συζητάμε πολύ για την εισαγόμενη κρίση της ακρίβειας. Βλέπετε ότι και στον πληθωρισμό τα πράγματα πάνε σταδιακά καλύτερα. Αλλά όταν ερωτώμαι για το θέμα του πληθωρισμού λέω: κοιτάξτε να δείτε, ο πληθωρισμός θα πέσει κάποια στιγμή, όμως οι αυξήσεις των μισθών και οι μειώσεις των φόρων είναι μόνιμες, ήρθαν για να μείνουν.Όπως μόνιμες είναι και οι 300.000 θέσεις εργασίας που δημιουργήσαμε. Όπως μόνιμη είναι και η αύξηση του βασικού μισθού από τα 650 στα 780 ευρώ.Ίσως δεν θυμάστε πολλοί, η δέσμευσή μας ήταν να φτάσουμε στα 730 ευρώ. Το ξεπεράσαμε και πήγαμε στα 780 ευρώ, διότι έτσι έπρεπε να στηρίξουμε το εισόδημα των χαμηλομισθωτών απέναντι στην εισαγόμενη ακρίβεια.",political agenda,employment,inflation,0.5,0.0,0.0,[]
8,"And a mention, I owe it to you, a mention for our pensioners. For the first time you have seen increases of almost 8% in 12 years. I committed to you that pensions would start to increase, and indeed they have started to increase. And because not everyone has seen the increases, because there is also the stigma of the Katrougalos personal difference, I pledged and I pledge that we will continue to support pensioners who have a personal difference until it is erased year after year.","Και μια αναφορά, το οφείλω, μια αναφορά για τους συνταξιούχους μας. Για πρώτη φορά είδατε αυξήσεις της τάξης του σχεδόν 8% ύστερα από 12 χρόνια. Σας είχα δεσμευθεί ότι οι συντάξεις θα αρχίσουν να αυξάνονται και πράγματι άρχισαν να αυξάνονται. Και επειδή τις αυξήσεις δεν τις είδαν όλοι, διότι υπάρχει και ο βραχνάς της προσωπικής διαφοράς Κατρούγκαλου, δεσμεύτηκα και δεσμεύομαι ότι θα εξακολουθούμε να στηρίζουμε τους συνταξιούχους που έχουν προσωπική διαφορά έως ότου αυτή σβήσει χρόνο με τον χρόνο.",political agenda,pensioners,pensions,0.7,0.0,0.0,"[['katrougalos', 'person', '0.8']]"
9,"And all this means that, ultimately, the average income is growing. In an economy that is growing. And it is growing much faster than the European average.Yes, in four years, look what we have achieved. We took over an economy that was growing at a quarter, look, a quarter of the European average. This is the economy that we took over. Today, the Greek economy is growing at twice the rate of the eurozone. This is the success of our economic policy. That is why the international rating agencies upgraded us 12 times, so that we reached investment grade. And this is a very important development, because it will allow the state, businesses and households to borrow on favourable terms. Investment grade, ladies and gentlemen, is not some neutral economic term that only concerns specialists. It is an engine of growth that increases the productivity and competitiveness of the country. In an environment of rising interest rates, it is important that we can borrow at the lowest possible borrowing costs.But beware, we will get the investment grade on one condition: that tomorrow we have a stable, reformist New Democracy government. And if that happens, yes, I guarantee you, we will get the investment grade before the end of the year.","Και όλα αυτά σημαίνουν ότι, τελικά, το μέσο εισόδημα μεγαλώνει. Σε μια οικονομία η οποία αναπτύσσεται. Και αναπτύσσεται πολύ πιο γρήγορα από τον ευρωπαϊκό μέσο όρο.Ναι, μέσα σε τέσσερα χρόνια προσέξτε τι πετύχαμε εμείς. Παραλάβαμε μια οικονομία η οποία αναπτυσσόταν στο 1/4, προσέξτε, του ευρωπαϊκού μέσου όρου. Αυτή είναι η οικονομία την οποία παραλάβαμε. Σήμερα, η ελληνική οικονομία αναπτύσσεται με διπλάσιο ρυθμό από την ευρωζώνη. Αυτή είναι η επιτυχία της οικονομικής μας πολιτικής. Γι’ αυτό και οι διεθνείς οίκοι αξιολόγησης μας αναβάθμισαν 12 φορές, ώστε να αγγίξουμε την επενδυτική βαθμίδα. Και είναι μια εξέλιξη αυτή πάρα πολύ σημαντική, γιατί θα επιτρέψει στο κράτος, στις επιχειρήσεις, στα νοικοκυριά να δανείζονται με ευνοϊκούς όρους. Δεν είναι, φίλες και φίλοι, η επενδυτική βαθμίδα κάποιος ουδέτερος οικονομικός όρος που αφορά μόνο τους ειδικούς. Είναι μοχλός ανάπτυξης ο οποίος αυξάνει την παραγωγικότητα και την ανταγωνιστικότητα του τόπου. Σε ένα περιβάλλον αυξημένων επιτοκίων είναι σημαντικό να μπορούμε να δανειζόμαστε με όσο το δυνατόν χαμηλότερο κόστος δανεισμού.Προσοχή, όμως, υπό μία προϋπόθεση θα πάρουμε την επενδυτική βαθμίδα: ότι αύριο θα έχουμε σταθερή, μεταρρυθμιστική κυβέρνηση της Νέας Δημοκρατίας. Και εφόσον συμβεί αυτό, ναι, σας το εγγυώμαι, θα έχουμε την επενδυτική βαθμίδα πριν το τέλος του έτους.",political agenda,economy,economic crisis,0.7,0.0,0.0,"[['new democracy', 'organization', '0.8'], ['european', 'location', '0.6'], ['greek', 'country', '0.7'], ['eurozone', 'location', '0.5'], ['investment grade', 'date', '0.9'], ['four years', 'date', '0.4']]"
10,"Allies of our great party, just as a developed economy cannot progress without cohesion in society - we have proved this in practice - so prosperity cannot come about without freedom and national sovereignty. That is why, in the same period, in this four-year period, the country has gone from being a centre for passing immigrants to a homeland with borders on land, air and sea; and after years of strengthening our Armed Forces. Active diplomacy has upgraded Greece's international standing. Tomorrow I will have the opportunity to leave here from Magnesia and go to the islands of the north-eastern Aegean, to visit Lesvos and there to see for myself that the refugee problem is now definitely a thing of the past. We have practically zeroed the flow of illegal immigrants; we have relieved our islands, we have abolished the ""fortress"" of Moria. It no longer exists; it is being replaced by a modern structure. National and European borders are guarded. We have succeeded at European level, for the first time, in getting the European Union to recognise that the focus of European immigration policy must be on guarding the external borders. And as much as this may upset some people, I will remind them: the Evros fence extends across the entire border.","Συμμαχητές της μεγάλης μας παράταξης, όπως δεν προχωρά μια ανεπτυγμένη οικονομία χωρίς συνοχή στην κοινωνία -το αποδείξαμε στην πράξη-, έτσι δεν μπορεί να προκύψει και ευημερία δίχως ελευθερία και εθνική κυριαρχία. Γι’ αυτό και στο ίδιο διάστημα, σε αυτήν την τετραετία που πέρασε, η χώρα από κέντρο διερχομένων μεταναστών έγινε πατρίδα με σύνορα σε γη, αέρα και θάλασσα.Ύστερα από χρόνια ενισχύθηκαν οι Ένοπλες Δυνάμεις μας. Η ενεργή διπλωματία  αναβάθμισε τη διεθνή θέση της Ελλάδος. Αύριο θα έχω την ευκαιρία να φύγω από εδώ από τη Μαγνησία και να πάω στα νησιά του βορειοανατολικού Αιγαίου, να επισκεφτώ τη Λέσβο και εκεί να διαπιστώσω ο ίδιος ότι το προσφυγικό πρόβλημα ανήκει πια οριστικά στο παρελθόν. Έχουμε πρακτικά μηδενίσει τις ροές των παράνομων μεταναστών.Ανακουφίσαμε τα νησιά μας, καταργήσαμε το «κάτεργο» της Μόριας. Δεν υπάρχει πια, αντικαθίσταται από μια σύγχρονη δομή. Τα εθνικά και ευρωπαϊκά σύνορα φυλάσσονται. Πετύχαμε σε ευρωπαϊκό επίπεδο, για πρώτη φορά, η Ευρωπαϊκή Ένωση να αναγνωρίσει ότι στο επίκεντρο της ευρωπαϊκής μεταναστευτικής πολιτικής πρέπει να είναι η φύλαξη των εξωτερικών συνόρων. Και όσο και αν αυτό στεναχωρεί κάποιους, εγώ θα τους το θυμίζω: ο φράχτης του Έβρου επεκτείνεται σε όλη τη μεθόριο.",political agenda,migration,other,,0.2,0.2,"[['allies', 'group of people', '0.8'], ['party', 'organization', '0.8'], ['economy', '0.6'], ['society', '0.6'], ['prosperity', '0.6'], ['freedom', '0.6'], ['national sovereignty', '0.6'], ['country', 'location', '0.8'], ['four-year period', 'date', '0.8'], ['centre', 'location', '0.6'], ['immigrants', 'group of people', '0.6'], ['homeland', 'location', '0.6'], ['borders', 'location', '0.8'], ['armed forces', 'organization', '0.6'], ['diplomacy', 'organization', '0.6'], ['greece', 'country', '0.8'], ['magnesia', 'location', '0.6'], ['islands', 'location', '0.6'], ['north-eastern aegean', 'location', '0.6'], ['lesvos', 'location', '0.6'], ['refugee problem', '0.6'], ['illegal immigrants', 'group of people', '0.6'], ['islands', 'location', '0.6'], ['fortress', 'organization', '0.6'], ['moria', 'location', '0.6'], ['national', 'political party', '0.6'], ['european', 'political party', '0.6'], ['european union', 'organization', '0.6'], ['evros fence', 'organization', '0.6']]"
