id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"The whole Aegean Sea is blue and all of Greece will be blue on the evening of May 21. Thank you from the bottom of my heart, thank you for this impressive reception and a big thank you to our ONNED, to our AAP, to our youth. I am always happy when I visit Mytilene. But today, I am doubly happy because I see that your beautiful island has now definitely and irrevocably turned the page. We have left the difficult days of the refugee crisis behind us and Lesvos looks to the future with optimism.","Όλο το Αιγαίο είναι μπλε και όλη η Ελλάδα θα είναι γαλάζια το βράδυ της 21ης Μαΐου. Σας ευχαριστώ από καρδιάς, σας ευχαριστώ γι’ αυτή την εντυπωσιακή υποδοχή και ένα μεγάλο ευχαριστώ στην ΟΝΝΕΔ μας, στη ΔΑΠ μας, στους νεολαίους μας. Χαίρομαι πάντα όταν επισκέπτομαι τη Μυτιλήνη. Σήμερα, όμως, χαίρομαι διπλά διότι βλέπω ότι το όμορφο νησί σας έχει πια οριστικά και αμετάκλητα γυρίσει σελίδα. Αφήσαμε πίσω μας τις δύσκολες μέρες του προσφυγικού και η Λέσβος ατενίζει το μέλλον με αισιοδοξία. ",political agenda,migration,other,0.7,0.0,0.0,"[['aegean sea', 'location', '0.8'], ['greece', 'country', '0.8'], ['may 21', 'date', '1.0'], ['onned', 'organization', '1.0'], ['aap', 'organization', '1.0'], ['youth', 'group of people', '0.8'], ['mytilene', 'location', '0.9'], ['lesvos', 'location', '0.9']]"
2,"I remember, friends, when I came to visit the ""hellhole"" of Moria, I had to enter with a platoon of riot police, when you had more than thirty thousand illegal immigrants, asylum seekers, here on your island and when the image in the market, where I had walked, was one of despair. I saw the desperation in your eyes then and I was committed, I looked you in the eye and said 'I will take care of this problem'. And I did. We protected our borders, because Greece has borders on land and sea. And it has an obligation to guard them.I would like you, friends, to give your loudest applause to the women and men of our Coast Guard, who carry out the difficult task of guarding the borders day and night, with absolute respect for human rights, having saved thousands of people at sea.","Θυμάμαι, φίλες και φίλοι, όταν είχα έρθει να επισκεφθώ το «κολαστήριο» της Μόριας, αναγκάστηκα τότε να εισέλθω μαζί με μία διμοιρία ΜΑΤ. Όταν είχατε παραπάνω από τριάντα χιλιάδες παράνομους μετανάστες, αιτούντες άσυλο, εδώ στο νησί σας κι όταν η εικόνα στην αγορά, στην οποία είχα περπατήσει, ήταν μια εικόνα απελπισίας. Έβλεπα τότε στα μάτια σας την απόγνωση και είχα δεσμευτεί, σας κοίταξα στα μάτια και σας είπα «το πρόβλημα αυτό θα αναλάβω να το λύσω». Και το έλυσα. Προστατεύσαμε τα σύνορά μας, διότι η Ελλάδα έχει σύνορα και στην ξηρά και στη θάλασσα. Και έχει υποχρέωση να τα φυλάει.Θα ήθελα, φίλες και φίλοι, να επιφυλάξετε το πιο δυνατό σας χειροκρότημα για τις γυναίκες και τους άνδρες του Λιμενικού μας Σώματος, που μέρα νύχτα επιτελούν τη δύσκολη αποστολή της φύλαξης των συνόρων, με απόλυτο σεβασμό στα ανθρώπινα δικαιώματα, έχοντας σώσει χιλιάδες ανθρώπους στη θάλασσα.",political agenda,migration,other,0.8,0.1,0.0,"[['moria', 'location', '1.0'], ['riot police', 'group of people', '1.0'], ['illegal immigrants', 'group of people', '1.0'], ['asylum seekers', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['coast guard', 'organization', '1.0']]"
3,"But we sent a message from day one: that Greece, which was a reception centre for migrants, is now a thing of the past. More than 600 thousand illegal immigrants had passed through your island during the four years of Syriza. In our days it is less than ten thousand.The ""hellhole"" of Moria no longer exists. The site has been given to the Municipality, the private land has been returned to its owners and I look forward to my next visit, as Prime Minister of the country, to inspect the important educational, cultural and recreational projects that will be carried out at this site.","Στείλαμε, όμως, από την πρώτη μέρα ένα μήνυμα: ότι η Ελλάδα η οποία ήταν ένα κέντρο υποδοχής μεταναστών ανήκει πια στο παρελθόν. Παραπάνω από 600 χιλιάδες παράνομοι μετανάστες είχαν περάσει από το νησί σας στα τέσσερα χρόνια του ΣΥΡΙΖΑ. Επί δικών μας ημερών είναι λιγότερο από δέκα χιλιάδες.Το «κολαστήριο» της Μόριας δεν υπάρχει πια. Ο χώρος αποδόθηκε στον Δήμο, οι ιδιωτικές εκτάσεις αποδόθηκαν στους ιδιοκτήτες τους και προσβλέπω στην επόμενή μου επίσκεψη, ως Πρωθυπουργός της χώρας, να επιθεωρήσω τα σημαντικά έργα εκπαίδευσης, πολιτισμού και αναψυχής που θα γίνουν στο χώρο αυτό.",political agenda,migration,other,0.5,0.0,0.0,"[['greece', 'location', '0.95'], ['syriza', 'political party', '0.9'], ['moria', 'location', '0.8'], ['municipality', 'organization', '0.7'], ['prime minister', 'person', '0.6'], ['country', 'country', '0.5']]"
4,"This, my friends, is just one indication of how Greece has turned the page in these four years. How much progress we have made, despite the great difficulties we have had to face. How today we really do have the right - both here in the North Aegean and in the territory as a whole - to look to the future with greater optimism. We have implemented our election programme. We have reduced taxes, we have reduced contributions, we have created jobs, we have supported the whole territory and especially here, the North Aegean, with important development projects, which we will have the opportunity to present later on. But we have also supported society, businesses and workers against all the crises that have befallen us. Ask the shopkeepers in the pedestrian precinct here what support they received from the state in the difficult days of the pandemic. We spent more than EUR 45 billion to keep businesses open, to pay wages, to give refundable and non-refundable advances. That is why we have this picture here in Mytilene today. We supported all of you against the imported precision with extraordinary subsidies on electricity. We supported our islands by demanding and achieving low VAT for all the islands that were hit by the refugee problem. That is why today we have every reason to be able to look to the future with optimism. And with only nine days from now until the national elections on 21 May, the real issue is to talk about the future, not the past.","Αυτή, φίλες και φίλοι, είναι μόνο μία ένδειξη του πώς η Ελλάδα γύρισε σελίδα αυτά τα  τέσσερα χρόνια. Το πόσο σημαντική πρόοδο κάναμε, παρά τις μεγάλες δυσκολίες που κληθήκαμε να αντιμετωπίσουμε. Το πώς πραγματικά σήμερα έχουμε το δικαίωμα - και εδώ στο Βόρειο Αιγαίο, αλλά και συνολικά στην επικράτεια - να ατενίζουμε το μέλλον με μεγαλύτερη αισιοδοξία. Υλοποιήσαμε το προεκλογικό μας πρόγραμμα. Μειώσαμε φόρους, μειώσαμε εισφορές, δημιουργήσαμε θέσεις απασχόλησης, στηρίξαμε όλη την επικράτεια και ειδικά εδώ, το Βόρειο Αιγαίο, με σημαντικά αναπτυξιακά έργα, τα οποία θα έχουμε την ευκαιρία να παρουσιάσουμε στη συνέχεια. Αλλά στηρίξαμε και την κοινωνία, τις επιχειρήσεις και τους εργαζόμενους απέναντι σε όλες τις κρίσεις που μας έτυχαν. Ρωτήστε εδώ τους μαγαζάτορες στον πεζόδρομο, τι στήριξη πήραν από την πολιτεία στις δύσκολες ημέρες της πανδημίας. Δαπανήσαμε παραπάνω από 45 δισεκατομμύρια ευρώ για να κρατήσουμε επιχειρήσεις ανοιχτές, για να πληρώσουμε μισθούς, για να δώσουμε επιστρεπτέα και μη επιστρεπτέα προκαταβολή. Γι’ αυτό υπάρχει αυτή η εικόνα σήμερα, εδώ, στη Μυτιλήνη. Στηρίξαμε όλες και όλους εσάς απέναντι στην εισαγόμενη ακρίβεια με έκτακτες επιδοτήσεις στο ρεύμα. Στηρίξαμε τα νησιά μας, διεκδικώντας και πετυχαίνοντας τον χαμηλό ΦΠΑ για όλα τα νησιά τα οποία χτυπήθηκαν από το προσφυγικό πρόβλημα. Γι’ αυτό και σήμερα έχουμε κάθε λόγο να μπορούμε να ατενίζουμε το μέλλον με αισιοδοξία. Και καθώς μένουν μόνο εννέα μέρες από τώρα μέχρι τις εθνικές εκλογές της 21ης Μαΐου, το πραγματικό ζητούμενο είναι να μιλήσουμε για το μέλλον, όχι για το παρελθόν.",political agenda,elections,tax cuts,0.8,0.1,0.0,"[['greece', 'country', '1.0'], ['north aegean', 'location', '1.0'], ['eur', 'organization', '0.7'], ['mytilene', 'location', '0.9'], ['21 may', 'date', '1.0']]"
5,"You know better than I do whether I kept the commitments I made to you, whether I respected the contract of trust that I asked you to sign in the July 2019 elections. And I kept my commitments and - above all - I kept the country safe against all the crises it faced and had to manage. We have not only shielded our borders, we have also strengthened our national defence, so that we are now sending a message to those who may think of challenging our sovereignty and our sovereign rights to think again.","Εσείς ξέρετε καλύτερα από εμένα εάν τήρησα τις δεσμεύσεις που σας έδωσα, εάν σεβάστηκα το συμβόλαιο εμπιστοσύνης που σας ζήτησα να συνυπογράψουμε στις εκλογές του Ιουλίου του 2019. Και τις δεσμεύσεις μου τήρησα και -πρωτίστως- κράτησα τη χώρα ασφαλή απέναντι σε όλες τις κρίσεις, με τις οποίες βρέθηκε απέναντι και έπρεπε να διαχειριστεί. Δεν θωρακίσαμε μόνο τα σύνορά μας, ενισχύσαμε και την εθνική μας άμυνα, έτσι ώστε στέλνουμε πια ένα μήνυμα απέναντι σε όσους μπορεί να σκέφτονται να αμφισβητήσουν την κυριαρχία μας και τα κυριαρχικά μας δικαιώματα, να το σκεφτούν ξανά.",political agenda,national security,other,0.6,0.0,0.0,"[['july 2019 elections', 'date', '1.0'], ['countries', 'group of people', '0.5'], ['national defence', 'organization', '0.5']]"
6,"But because we will have elections in Turkey in two days from now, I want to stress that the next elections are not only about the economy, not only about health, not only about the welfare state, not only about the primary sector. They are also about the country's foreign relations. Today Greece is much stronger than it was in 2019. Our Armed Forces are shielded and you, I am sure, feel much more secure when you know - you may not see them, but you can be sure and confident that they are somewhere above us - when the Rafale is now flying over the Aegean, when the upgraded F-16s are flying over the Aegean, when three new frigates will soon be added to our fleet. This is how a state strengthens its national deterrent capability. And know that we will continue to do so for the next four years without any discount. And without at the same time jeopardizing the country's fiscal objectives. We have proven that finances can be tidy and national defense can be supported at the same time. And that is what we will continue to do.","Αλλά επειδή θα έχουμε εκλογές και στην Τουρκία σε δύο μέρες από τώρα, θέλω να τονίσω ότι οι επόμενες εκλογές δεν αφορούν μόνο την οικονομία, δεν αφορούν μόνο την υγεία, το κοινωνικό κράτος, τον πρωτογενή τομέα. Αφορούν και τις εξωτερικές σχέσεις της χώρας. Σήμερα η Ελλάδα είναι πολύ πιο ισχυρή απ’ ό,τι ήταν το 2019. Οι Ένοπλες Δυνάμεις μας είναι θωρακισμένες και εσείς είμαι σίγουρος ότι αισθάνεστε πολύ μεγαλύτερη ασφάλεια όταν ξέρετε -μπορεί να μην τα βλέπετε, αλλά να είστε σίγουρες και σίγουροι ότι είναι κάπου από πάνω μας- όταν πετάνε τα Rafale πια πάνω από το Αιγαίο, όταν πετάνε τα αναβαθμισμένα F-16 πάνω από το Αιγαίο, όταν σύντομα στον στόλο μας θα προστεθούν τρεις νέες φρεγάτες. Έτσι ενισχύει ένα κράτος την εθνική αποτρεπτική του δυνατότητα. Και να ξέρετε ότι αυτό θα συνεχίσουμε να το κάνουμε και την επόμενη τετραετία  χωρίς καμία έκπτωση. Και χωρίς ταυτόχρονα να θέτουμε σε κίνδυνο τους δημοσιονομικούς στόχους της χώρας. Έχουμε αποδείξει ότι και τα οικονομικά μπορεί να είναι νοικοκυρεμένα και την εθνική άμυνα μπορούμε ταυτόχρονα να στηρίζουμε. Και αυτό θα συνεχίσουμε να κάνουμε. ",political agenda,other,other,0.3,,0.0,"[['turkey', 'location', '1.0'], ['greece', 'location', '0.9'], ['armed forces', 'group of people', '0.8'], ['rafale', 'organization', '0.7'], ['f-16s', 'organization', '0.7'], ['frigates', 'organization', '0.7']]"
7,"But, friends, the next four years will primarily be the four years in which we will have to continue the important work that we have started in these four years. In the economy we have made important steps. We are running at a growth rate much higher than the European average and this enables us to have those surpluses to support society against imported precision. I know that precision is still a problem that is plaguing us all. I also know very well that the problem of precision is not only addressed by means of emergency allowances. The Market Pass is very useful as a temporary relief, but the permanent solution to the problem of accuracy cannot be other than to increase wages for all and to support the disposable income of households. We are the ones who took the minimum wage from EUR 650 to EUR 780. We are the ones who will take the minimum wage to EUR 950 and the average wage to EUR 1 500. And remember: inflation will come down at some point. You can already see that it is already starting to decelerate. But wage increases and tax cuts are permanent. The income of Greeks will be permanently supported through a growth policy that only we, my friends, know how to launch today for our country.","Όμως, φίλες και φίλοι, η επόμενη τετραετία θα είναι πρωτίστως η τετραετία εκείνη στην οποία θα πρέπει να συνεχίσουμε τη σημαντική δουλειά την οποία ξεκινήσαμε αυτά τα τέσσερα χρόνια. Στην οικονομία κάναμε σημαντικά βήματα. Τρέχουμε με ρυθμούς ανάπτυξης πολύ υψηλοτέρους από τον ευρωπαϊκό μέσο όρο και αυτό μας δίνει την δυνατότητα να έχουμε και εκείνα τα πλεονάσματα για να στηρίζουμε την κοινωνία απέναντι στην εισαγόμενη ακρίβεια. Ξέρω ότι η ακρίβεια είναι ακόμα ένα πρόβλημα το οποίο μας ταλανίζει όλους. Ξέρω, επίσης, πολύ καλά ότι το πρόβλημα της ακρίβειας δεν αντιμετωπίζεται μόνο με έκτακτα επιδόματα. To «Market Pass» είναι πολύ χρήσιμο ως μία προσωρινή ανακούφιση, όμως η μόνιμη αντιμετώπιση του προβλήματος της ακρίβειας δεν μπορεί να είναι άλλη από την αύξηση των μισθών για όλες και για όλους και τη στήριξη του διαθέσιμου εισοδήματος των νοικοκυριών. Εμείς είμαστε αυτοί που πήραμε τον κατώτατο μισθό από τα 650 ευρώ και τον πήγαμε στα 780 ευρώ. Εμείς είμαστε αυτοί που θα πάμε τον κατώτατο μισθό έως τα 950 ευρώ και το μέσο μισθό στα 1.500 ευρώ. Και θυμηθείτε: ο πληθωρισμός κάποια στιγμή θα πέσει. Ήδη βλέπετε ότι έχει αρχίσει και αποκλιμακώνεται. Όμως οι αυξήσεις στους μισθούς και οι μειώσεις φόρων είναι μόνιμες. Το εισόδημα των Ελλήνων θα στηρίζεται μόνιμα μέσα από μία αναπτυξιακή πολιτική την οποία μόνο εμείς, φίλες και φίλοι, ξέρουμε σήμερα να δρομολογήσουμε για την πατρίδα μας.",political agenda,economy,wages,0.7,0.0,0.0,"[['european', 'location', '0.9'], ['market pass', 'organization', '0.7'], ['greeks', 'group of people', '0.8']]"
8,"But the next four years will not only be the four years of growth, it will also be the four years of a strong social Greece. Let me make a special mention of the very great importance I attach to supporting the National Health System. Today is World Nurses' Day. I want to say a very big thank you to all the workers of the National Health System who fought together to tackle an unprecedented pandemic. But we know that the National Health System needs more support. Ten thousand recruitments will be made over the next four years, four thousand of which will be nurses. I want to be absolutely sure that all the health structures in our country, not only in mainland Greece but also on our islands, are properly staffed. That there are no delays in order to have a regular surgery. That the outpatient departments of our hospitals will be able to receive patients with speed and dignity. That our health centres, which are so important, will be rebuilt and strengthened. All of these are priorities, personal priorities, for me in my second four years. Please know that because I keep my commitments, four years from now Greece will have a different and much better National Health System than it has today.","Όμως η επόμενη τετραετία δεν θα είναι μόνο η τετραετία της ανάπτυξης, θα είναι και η τετραετία της ισχυρής κοινωνικής Ελλάδας. Επιτρέψτε μου να κάνω μία ειδική μνεία στην πολύ μεγάλη σημασία την οποία αποδίδω στη στήριξη του Εθνικού Συστήματος Υγείας. Σήμερα είναι η Παγκόσμια Ημέρα των Νοσηλευτών. Θέλω να πω ένα πολύ μεγάλο ευχαριστώ σε όλες και σε όλους τους εργαζόμενους του Εθνικού Συστήματος Υγείας που αγωνίστηκαν μαζί για να αντιμετωπίσουμε μία πρωτοφανή πανδημία. Ξέρουμε, όμως, ότι το Εθνικό Σύστημα Υγείας χρειάζεται παραπάνω ενισχύσεις. Δέκα χιλιάδες προσλήψεις θα γίνουν την επόμενη τετραετία, οι τέσσερις χιλιάδες θα είναι νοσηλευτές. Έχει ήδη βγει η σχετική προκήρυξη, θα ακολουθήσουν και άλλες.Θέλω να είμαι απολύτως σίγουρος ότι όλες οι δομές υγείας στη χώρα μας, όχι μόνο στην ηπειρωτική Ελλάδα αλλά και στα νησιά μας, είναι κατάλληλα στελεχωμένες. Ότι δεν υπάρχουν καθυστερήσεις προκειμένου να γίνει ένα τακτικό χειρουργείο. Ότι τα εξωτερικά ιατρεία των νοσοκομείων μας θα μπορούν να υποδέχονται τους ασθενείς με συνθήκες ταχύτητας και αξιοπρέπειας. Ότι τα κέντρα υγείας μας, τα οποία είναι τόσο σημαντικά, θα ξανακατασκευαστούν και θα ενισχυθούν. Όλα αυτά αποτελούν προτεραιότητες, προσωπικές, για εμένα τη δεύτερη τετραετία. Να ξέρετε ότι επειδή εγώ τηρώ τις δεσμεύσεις μου, σε τέσσερα χρόνια από τώρα η Ελλάδα θα έχει ένα διαφορετικό και πολύ καλύτερο Εθνικό Σύστημα Υγείας από αυτό που έχει σήμερα.",political agenda,health,other,0.8,0.0,0.0,"[['national health system', 'organization', '0.9'], [""world nurses' day"", 'date', '0.9'], ['greece', 'country', '0.9'], ['ten thousand', 'number', '0.9'], ['four thousand', 'number', '0.9']]"
9,"A special talk about education, about our schools, about our universities. There is, you know, very important work going on in schools, which must continue. If you think about the fact that today kindergarten starts at four, our children are learning English at four, children in elementary school have the opportunity to take free zone classes that they never did in the past. Thirty-six thousand, hold that number, interactive digital whiteboards will be placed in every public school in the country, completely changing the way our children's education is delivered. For our universities, I'll just say a word about our universities. We support regional universities. We will continue to support them. We will enable them to take steps forward. To strengthen their infrastructure. To be able to connect to the local economy, to the local market. To provide our children with degrees that have real value and skills that will be useful tomorrow when they go out into the labour market.","Μια ξεχωριστή κουβέντα για την εκπαίδευση, για τα σχολεία μας, για τα πανεπιστήμιά μας. Γίνεται, ξέρετε, μια πολύ σημαντική δουλειά στα σχολεία, η οποία πρέπει να συνεχιστεί. Αν σκεφτείτε ότι σήμερα το νηπιαγωγείο ξεκινάει από τα τέσσερα, τα παιδιά μας μαθαίνουν Αγγλικά από τα τέσσερα, τα παιδιά στο Δημοτικό έχουν την δυνατότητα να κάνουν μαθήματα στην ελεύθερη ζώνη, που δεν έκαναν ποτέ στο παρελθόν. Τριάντα-έξι χιλιάδες, κρατήστε το νούμερο αυτό, διαδραστικοί ψηφιακοί πίνακες θα τοποθετηθούν σε όλα τα δημόσια σχολεία της χώρας, αλλάζοντας τελείως τον τρόπο με τον οποίο θα γίνει η εκπαίδευση των παιδιών μας. Για τα πανεπιστήμια μας θα πω μια κουβέντα μόνο. Στηρίζουμε τα περιφερειακά πανεπιστήμια. Θα εξακολουθούμε να τα στηρίζουμε. Θα τους δώσουμε την δυνατότητα να κάνουν βήματα προς τα εμπρός. Να ενισχύσουν τις υποδομές τους. Να μπορέσουν να συνδεθούν με την τοπική οικονομία, με την τοπική αγορά. Να προσφέρουν στα παιδιά μας πτυχία τα οποία να έχουν πραγματική αξία και δεξιότητες που αύριο θα σας είναι χρήσιμες, όταν θα βγουν στην αγορά εργασίας.",political agenda,education,higher education,0.9,0.0,0.0,[]
10,"And a word about the green and digital Greece that I envision. The challenges are ahead of us, friends, in terms of climate change. They are here. We know that it is a reality that we have to face. But we also know that as a country we do not want to be dependent on anyone for energy imports. We paid seven billion euros in 2022 for gas imports alone. As we boost solar and wind generation, we will produce cheaper energy and reduce our geopolitical dependencies. At the same time, I want to support all households so that they can reduce their energy footprint and ultimately pay lower electricity bills. The 'Change Water Heater' programme, for example, was launched, opened with great success. All of the 'Save money' programmes will continue. These are programs that support household disposable income because they ultimately lower the bills that you all would pay.","Και μια κουβέντα για την πράσινη και ψηφιακή Ελλάδα την οποία οραματίζομαι. Οι προκλήσεις είναι μπροστά μας, φίλες και φίλοι, όσον αφορά την Κλιματική αλλαγή. Είναι εδώ. Γνωρίζουμε ότι είναι μια πραγματικότητα την οποία πρέπει να αντιμετωπίσουμε. Γνωρίζουμε, όμως, επίσης ότι δεν θέλουμε ως χώρα να είμαστε εξαρτημένοι από κανέναν για τις εισαγωγές της ενέργειας. Πληρώσαμε το 2022 επτά δισεκατομμύρια ευρώ, μόνο για εισαγωγές φυσικού αερίου. Όσο ενισχύουμε την παραγωγή από τον ήλιο και από τον άνεμο, τόσο θα παράγουμε πιο φθηνή ενέργεια και θα μειώνουμε τις γεωπολιτικές μας εξαρτήσεις. Ταυτόχρονα, θέλω να στηρίζω όλα τα νοικοκυριά για να μπορούν να μειώνουν το ενεργειακό τους αποτύπωμα και να πληρώνουν, τελικά, χαμηλότερους λογαριασμούς ρεύματος. Το πρόγραμμα «Αλλάζω θερμοσίφωνα», ενδεικτικά αναφέρω, ξεκίνησε, άνοιξε με πολύ μεγάλη επιτυχία. Όλα τα προγράμματα του «Εξοικονομώ» θα συνεχιστούν. Αυτά είναι προγράμματα, τα οποία στηρίζουν το διαθέσιμο εισόδημα των νοικοκυριών, επειδή τελικά μειώνουν τους λογαριασμούς που όλοι σας θα πληρώνατε.",political agenda,energy,other,0.7,0.0,0.0,"[['greece', 'country', '1.0'], ['climate change', 'political party', '0.5'], ['2022', 'date', '1.0'], ['europe', 'location', '0.5']]"
