id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for this wonderful welcome. Thank you from the bottom of my heart. Mr Mayor, Mr Regional Mayor, ladies and gentlemen candidates, New Democrats, eight days from now we will be the big winners. On 21 May we will send the message of victory and progress for every Greek woman and every Greek man, and we will certainly send it from Athens. Here, from the 6th district, from Kypseli, from Fokionos Negri, where I used to come as a boy. I remember what it was like, I remember the difficulties it went through and I am glad that, just as the whole country is finding its way again, so too is Kipseli finding its way again. For a Greece of progress, of prosperity, of development, of social cohesion. There are only eight days left until the elections. I have travelled all over Greece and I will continue to fight until the last moment, until the end of the election period, to convince the Greeks that we must continue on this path of progress. That we must look ahead, we must aim high and we must not turn back to the past. We must not turn back. Because this is ultimately the great dilemma of the upcoming elections. You know better than we do how many difficulties we have gone through together during these four years. We have overcome a migrant invasion in Evros, a pandemic, an aggressive neighbour, an energy crisis, a war in Ukraine, natural disasters.","Σας ευχαριστώ γι’ αυτή την καταπληκτική υποδοχή. Σας ευχαριστώ από καρδιάς. Κύριε Δήμαρχε, κύριε Περιφερειάρχα, κυρίες και κύριοι υποψήφιοι, Νεοδημοκράτισσες και Νεοδημοκράτες, σε οκτώ μέρες από τώρα θα είμαστε οι μεγάλοι νικητές. Την 21η Μαΐου θα στείλουμε το μήνυμα της νίκης και της προκοπής για κάθε Ελληνίδα, για κάθε Έλληνα και θα το στείλουμε σίγουρα από την Αθήνα. Εδώ, από το 6ο διαμέρισμα, από την Κυψέλη, από τη Φωκίωνος Νέγρη, στην οποία ερχόμουν μικρός. Τη θυμάμαι πώς ήταν, θυμάμαι τις δυσκολίες που πέρασε και χαίρομαι που όπως όλη η χώρα ξαναβρίσκει το δρόμο της έτσι και η Κυψέλη ξαναβρίσκει το δρόμο της. Για μία Ελλάδα της προκοπής, της ευημερίας, της ανάπτυξης, της κοινωνικής συνοχής. Έχουν μείνει μόλις οκτώ μέρες μέχρι τις εκλογές. Έχω γυρίσει όλη την Ελλάδα και θα εξακολουθώ μέχρι την τελευταία στιγμή, μέχρι τη λήξη της προεκλογικής περιόδου, να αγωνίζομαι να πείσω τις Ελληνίδες και τους Έλληνες ότι πρέπει να συνεχίσουμε αυτή την πορεία προκοπής. Ότι πρέπει να κοιτάξουμε μπροστά, πρέπει να στοχεύουμε ψηλά και δεν πρέπει να γυρίσουμε με τίποτα στο παρελθόν. Δεν πρέπει να γυρίσουμε πίσω. Γιατί αυτό τελικά είναι και το μεγάλο δίλημμα των επερχόμενων εκλογών. Εσείς ξέρετε καλύτερα από εμάς πόσες δυσκολίες περάσαμε μαζί αυτή την τετραετία. Ξεπεράσαμε μία μεταναστευτική εισβολή στον Έβρο, μία πανδημία, έναν επιθετικό γείτονα, μία ενεργειακή κρίση, έναν πόλεμο στην Ουκρανία, φυσικές καταστροφές.",political agenda,,other,0.7,0.0,0.0,"[['thank you', 'person', '1.0'], ['mr mayor', 'person', '1.0'], ['mr regional mayor', 'person', '1.0'], ['new democrats', 'group of people', '1.0'], ['greeks', 'group of people', '1.0'], ['athens', 'location', '1.0'], ['6th district', 'location', '1.0'], ['kypseli', 'location', '1.0'], ['fokionos negri', 'location', '1.0'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0'], ['evros', 'location', '1.0'], ['ukraine', 'location', '1.0.']]"
2,"Despite the difficulties, we kept the country standing and society united.  We put the economy on a growth track. We are growing at more than 3% a year, twice the rate of the Eurozone, but at the same time this growth did not come by overtaxing the middle class, nor by crushing pensioners; it came by cutting taxes, by increasing pensions, by cutting contributions. We have implemented our election programme in full, despite the great difficulties. Today we have every reason to be optimistic, to be able to look to the future with more confidence. Because the Greece of the next four years can be a Greece in which everything really will change.","Παρά τις δυσκολίες κρατήσαμε τη χώρα όρθια και την κοινωνία ενωμένη.  Βάλαμε την οικονομία σε τροχιά ανάπτυξης. Αναπτυσσόμαστε με παραπάνω από 3% ετησίως, διπλάσιο ρυθμό από την Ευρωζώνη, αλλά ταυτόχρονα αυτή η ανάπτυξη δεν ήρθε με υπερφορολόγηση της μεσαίας τάξης, ούτε με τσάκισμα των συνταξιούχων ήρθε με περικοπές φόρων, με αυξήσεις στις συντάξεις, με περικοπές στις εισφορές. Υλοποιήσαμε στο ακέραιο το προεκλογικό μας πρόγραμμα, παρά τις μεγάλες δυσκολίες. Σήμερα έχουμε κάθε λόγο να είμαστε αισιόδοξοι, να μπορούμε να ατενίζουμε το μέλλον με περισσότερη αυτοπεποίθηση. Γιατί η Ελλάδα της επόμενης τετραετίας μπορεί να είναι μία Ελλάδα στην οποία πραγματικά θα αλλάξουν τα πάντα.",political agenda,other,tax cuts,0.8,0.1,,"[['greece', 'location', '1.0'], ['eurozone', 'group of people', '0.5'], ['middle class', 'group of people', '0.6'], ['pensioners', 'group of people', '0.7'], ['greece', 'country', '1.0'], ['the next four years', 'date', '0.9']]"
3,"The great importance that I attach, friends, to our programmatic speech, I want to highlight it here today, and I want to ask you, in this last week that remains before the elections, not to engage in inexpensive arguments with our political opponents, but to talk to the citizens about our own plan for the next day, for the future of our country. After all, I believe that, more or less, our opponents have probably discounted the election result. I was reading today in an opposition newspaper - it came out with a pithy headline - '53% say they do not want a second four-year term for Mitsotakis'. So 47% want a second four-year term. I see us with self-reliance on the first Sunday. And they themselves admit it.","Τη μεγάλη σημασία την οποία αποδίδω, φίλες και φίλοι, στο προγραμματικό μας λόγο, θέλω να την αναδείξω και σήμερα, εδώ, και θέλω να σας ζητήσω αυτή την τελευταία εβδομάδα η οποία μένει μέχρι τις εκλογές να μην αναλωθούμε σε ανέξοδους διαξιφισμούς με τους πολιτικούς μας αντιπάλους, αλλά να μιλήσουμε στους πολίτες για το δικό μας σχέδιο για την επόμενη μέρα, για το μέλλον της πατρίδας μας. Εξάλλου, πιστεύω, ότι λίγο-πολύ και οι αντίπαλοί μας μάλλον έχουν προεξοφλήσει το εκλογικό αποτέλεσμα. Διάβαζα, σήμερα, σε εφημερίδα της αντιπολίτευσης -βγήκε με πηχυαίο τίτλο, «53%, λέει, δεν θέλουν δεύτερη τετραετία Μητσοτάκη». Αρα 47% θέλουν δεύτερη τετραετία. Μας βλέπω με αυτοδυναμία από την πρώτη Κυριακή. Και οι ίδιοι το ομολογούν. ",political agenda,elections,election spending,0.0,0.0,0.0,"[['mitsotakis', 'person', '1.0'], ['political opponents', 'group of people', '1.0'], ['citizens', 'group of people', '1.0'], ['our country', 'location', '1.0'], ['elections', 'date', '1.0'], ['opposition newspaper', 'organization', '1.0'], ['47%', 'group of people', '1.0'], ['53%', 'group of people', '1.0'], ['first sunday', 'date', '1.0']]"
4,"So, this blue current, which I see surging and reflourishing all over the country, I am sure that it will find its expression here in Athens, too, where, Mr.Regional Governor, Mr.Mayor, very important things have been done to change the appearance of the city. But let me tell you that we have an excellent cooperation with both the Region and the Municipality for important projects, from large projects to small ones.","Αυτό, λοιπόν, το γαλάζιο ρεύμα, το οποίο το βλέπω να ξαναφουντώνει και να ξαναφουσκώνει σε ολόκληρη τη χώρα, είμαι σίγουρος ότι θα βρει την έκφρασή του κι εδώ στην Αθήνα, όπου έχουν γίνει κ. Περιφερειάρχα, κ. Δήμαρχε, πολύ σημαντικά πράγματα για να αλλάξει η όψη της πόλης. Αλλά να σας πω, ότι έχουμε μία εξαιρετική συνεργασία και με την Περιφέρεια και με τον Δήμο για σημαντικά έργα, από τα μεγάλα έργα μέχρι τα μικρά.",political agenda,infrastructure,other,0.7,0.0,0.0,"[['athens', 'location', '1.0'], ['mr. regional governor', 'person', '1.0'], ['mr. mayor', 'person', '1.0'], ['region', 'organization', '1.0'], ['municipality', 'organization', '1.0']]"
5,"The Metro, Line 4, Kipseli Station, is the biggest public project that is currently being done in the country, 1.5 billion. Nobody dared to start it, we are starting it, the ""metro"" has already been put in and started digging, the construction sites have already started. Yes, it will take time, we know, these projects are not finished overnight. But know that the moment it's finished we'll be talking about another Hive, we'll be talking about other values on your properties. I believe this will help this neighborhood as a whole, which is so identified with the fabric of our city, to breathe, to breathe and to grow primarily for the benefit of the Hive residents who have stayed, persevered and kept this neighborhood vibrant and beautiful as it is today.","Το Μετρό, η Γραμμή 4, Σταθμός Κυψέλης, είναι το μεγαλύτερο δημόσιο έργο το οποίο γίνεται σήμερα στη χώρα, 1,5 δισεκατομμύριο. Κανείς δεν τόλμησε να το βάλει μπρος, εμείς το ξεκινάμε, ο «μετροπόντικας» έχει ήδη μπει κι έχει αρχίσει και σκάβει, τα εργοτάξια έχουν ήδη ξεκινήσει. Ναι, θα πάρει χρόνο, το ξέρουμε, αυτά τα έργα δεν τελειώνουν από τη μια στιγμή στην άλλη. Αλλά να ξέρετε ότι τη στιγμή που θα τελειώσει θα μιλάμε για μια άλλη Κυψέλη, θα μιλάμε για άλλες αξίες στις περιουσίες σας. Αυτό πιστεύω ότι θα βοηθήσει συνολικά τη γειτονιά αυτή, η οποία είναι τόσο ταυτισμένη με τον ιστό της πόλης μας, να αναπνεύσει, να ανασάνει και να αναπτυχθεί πρωτίστως προς όφελος των Κυψελιωτών οι οποίοι έμειναν, επέμειναν και κράτησαν αυτή τη γειτονιά ζωντανή και όμορφη όπως είναι σήμερα.",political agenda,other,other,0.5,0.0,0.0,"[['metro', 'organization', '1.0'], ['line 4', 'organization', '0.9'], ['kipseli station', 'location', '0.8'], ['country', 'country', '0.7'], ['hive', 'organization', '0.6']]"
6,"But it's not the only project that will change the look of the area. I want to talk to you about our new vision for the new Archaeological Museum. I imagine you've already seen how the architectural competition has been completed. We are talking about a real jewel. The studies are starting immediately. When the Archaeological Museum is completed, as we envision it, it will provide a huge boost to development throughout the city centre. Again, Kypseli - and not only - will benefit from an Athens that is changing, that is becoming more friendly for its inhabitants and of course much more pleasant for its visitors.","Αλλά δεν είναι το μόνο έργο που θα αλλάξει την όψη της περιοχής. Θέλω να σας μιλήσω για το νέο όραμά μας για το νέο Αρχαιολογικό Μουσείο. Ήδη φαντάζομαι ότι έχετε δει πως ολοκληρώθηκε ο αρχιτεκτονικός διαγωνισμός. Μιλάμε για ένα πραγματικό κόσμημα. Οι μελέτες ξεκινούν άμεσα. Όταν το Αρχαιολογικό Μουσείο ολοκληρωθεί, όπως το οραματιζόμαστε, θα δώσει μια τεράστια ώθηση ανάπτυξης σε όλο το κέντρο της πόλης. Πάλι ωφελημένη θα είναι η Κυψέλη -και όχι μόνο- από μια Αθήνα η οποία αλλάζει, η οποία γίνεται πιο φιλική για τους κατοίκους της και φυσικά πολύ πιο ευχάριστη για τους επισκέπτες της.",political agenda,culture,other,0.8,0.0,0.0,"[['kypseli', 'location', '1.0'], ['athens', 'location', '1.0'], ['archaeological museum', 'organization', '1.0']]"
7,"And, of course, I cannot fail to say a word, Mr. Mayor, about the other big project that is going on here a little further away - and that was a commitment we made. Yes, Panathinaikos will finally get the stadium it deserves.  With significant funding from the state, with support from the region, with support from the municipality. The bulldozers are already in place and this is a major project, not only for Panathinaikos, but a major redevelopment project for the whole city of Athens.","Και, βέβαια, δεν μπορώ να μην πω, κ. Δήμαρχε, μια κουβέντα για το άλλο μεγάλο έργο το οποίο γίνεται εδώ λίγο πιο μακριά -και αυτή ήταν μια δέσμευσή μας. Ναι, ο Παναθηναϊκός θα αποκτήσει επιτέλους το γήπεδο που του αξίζει.  Με σημαντική χρηματοδότηση από το κράτος, με στήριξη από την Περιφέρεια, με στήριξη από τον Δήμο. Οι μπουλντόζες έχουν ήδη μπει και αυτό είναι ένα σημαντικότατο έργο, όχι μόνο για τον Παναθηναϊκό, ένα σημαντικότατο έργο ανάπλασης για όλη την πόλη της Αθήνας.",political agenda,infrastructure,other,0.6,0.0,0.0,"[['mr. mayor', 'person', '0.75'], ['panathinaikos', 'group of people', '1.0'], ['state', 'organization', '0.6'], ['region', 'location', '0.6'], ['municipality', 'organization', '0.6'], ['athens', 'location', '0.6']]"
8,"These are just a few examples of what will happen in the next four years and can happen under one condition: that New Democracy continues to hold the helm of the country. To emphasise the major priorities of the second four-year term. First and foremost, how to raise wages and improve incomes. We were the ones - look - who took the minimum wage from 650 euros and brought it up to 780 euros. You will say to me, ""Is that enough?"". I will be the first to tell you that it is not enough, because I know that today in our country wages are still low. The minimum wage can go to EUR 950 and the average wage to EUR 1 500. On inflation, I will just say one word to you. I know how big the problem of accuracy is and you know what we have done to help you. But inflation will come down at some point, but tax cuts and wage increases are here to stay. This is ultimately the way we permanently improve people's disposable income.","Λίγα μόνο παραδείγματα από αυτά τα οποία θα γίνουν την επόμενη τετραετία και μπορούν να γίνουν υπό μια, όμως, προϋπόθεση: να συνεχίσει η Νέα Δημοκρατία να κρατά σταθερά το τιμόνι της χώρας. Να δώσουμε έμφαση στις μεγάλες προτεραιότητες της δεύτερης τετραετίας. Με πρώτη και σημαντικότερη πώς θα αυξήσουμε τους μισθούς, πώς θα βελτιώσουμε τα εισοδήματα. Εμείς ήμασταν αυτοί -προσέξτε- που πήραμε τον κατώτατο μισθό από τα 650 ευρώ και τον πήγαμε στα 780 ευρώ. Θα μου πείτε, «είναι αρκετό;». Πρώτος εγώ θα σας πω πως δεν είναι αρκετό, γιατί ξέρω ότι σήμερα στην πατρίδα μας οι μισθοί είναι ακόμα χαμηλοί. Ο κατώτατος μισθός μπορεί να πάει στα 950 ευρώ και ο μέσος μισθός στα 1.500 ευρώ. Για τον πληθωρισμό, μια κουβέντα θα σας πω μόνο. Ξέρω πόσο μεγάλο πρόβλημα είναι η ακρίβεια και ξέρετε και εσείς τι έχουμε κάνει για να σας βοηθήσουμε. Ο πληθωρισμός, όμως, κάποια στιγμή θα υποχωρήσει, αλλά οι μειώσεις των φόρων και οι αυξήσεις των μισθών ήρθαν για να μείνουν. Αυτός είναι ο τρόπος τελικά που με μόνιμο τρόπο βελτιώνουμε το διαθέσιμο εισόδημα των πολιτών.",political agenda,employment,wages,0.5,0.1,0.2,"[['new democracy', 'organization', '1.0'], ['the country', 'location', '1.0'], ['four years', 'date', '1.0'], ['second four-year term', 'date', '1.0'], ['minimum wage', 'organization', '1.0'], ['eur 650', 'organization', '1.0'], ['eur 780', 'organization', '1.0'], ['eur 950', 'organization', '1.0'], ['eur 1', '500', 'organization', '1.0'], ['inflation', 'organization', '1.0'], ['accuracy', 'organization', '1.0'], ['tax cuts', 'organization', '1.0'], ['disposable income', 'organization', '1.0.']]"
9,"The next four years will be the four years in which we will continue the great changes in the state. Gov.gr is a revolution for all of us, you know it very well, but we still have to continue on this path of digitalisation, to continue on the path of better health care. The new National Health System is a big personal bet of mine. We know what difficulties we went through during the pandemic and how we kept the National Health System standing. We saw its strengths, but we also saw its weaknesses. We will recruit 10,000 doctors and nurses over the next four years. And I will move heaven and earth to ensure that these recruitments are made on merit but as soon as possible. We will rebuild all the emergency departments in our hospitals. We will rebuild our health centers. We will place a strong emphasis on the Personal Doctor, an important reform that we have implemented for the first time, and an equally strong emphasis on preventive examinations. Prevention is what saves lives, my friends.  Consider that today there are 7,000 women who have already been identified with early breast cancer because we have implemented a programme of preventive screening. These women have a very good prognosis. Their lives will literally be saved by these screenings that they have had. That's how we understand public health for all and for all, with a focus on good hospitals, to reduce waiting times, to the personal doctor, to prevention. Hold on to what I'm saying: four years from now, the National Health System will be completely different from what it is today, and you know that I keep my commitments.","H επόμενη τετραετία, θα είναι η τετραετία που θα συνεχίσουμε τις μεγάλες αλλαγές στο  κράτος. Το gov.gr είναι μία επανάσταση για όλους μας, το ξέρετε πολύ καλά, αλλά πρέπει να συνεχίσουμε ακόμα σε αυτό το δρόμο της ψηφιοποίησης, να συνεχίσουμε στο δρόμο των καλύτερων παροχών υγείας. Το νέο Εθνικό Σύστημα Υγείας είναι ένα μεγάλο προσωπικό μου στοίχημα. Ξέρουμε τι δυσκολίες περάσαμε στη διάρκεια της πανδημίας και πώς κρατήσαμε το Εθνικό Σύστημα Υγείας όρθιο. Είδαμε τα δυνατά του σημεία, είδαμε όμως και τις αδυναμίες του. Θα προσλάβουμε 10.000 γιατρούς και νοσηλευτές μέσα στην επόμενη τετραετία. Και θα κινήσω γη και ουρανό οι προσλήψεις αυτές να γίνουν με αξιοκρατικά κριτήρια αλλά το συντομότερο δυνατόν. Θα ξαναφτιάξουμε όλα τα τμήματα επειγόντων περιστατικών στα νοσοκομεία μας. Θα ξαναφτιάξουμε τα κέντρα υγείας μας. Θα δώσουμε μεγάλη έμφαση στον Προσωπικό Γιατρό, μια σημαντική μεταρρύθμιση την οποία για πρώτη φορά υλοποιήσαμε, και εξίσου μεγάλη έμφαση στις προληπτικές εξετάσεις. Η πρόληψη είναι αυτή που σώζει ζωές, φίλες και φίλοι.  Σκεφτείτε, ότι σήμερα υπάρχουν 7.000 γυναίκες οι οποίες ήδη έχουν εντοπιστεί με πρόωρο καρκίνο του μαστού επειδή εμείς υλοποιήσαμε ένα πρόγραμμα προληπτικών εξετάσεων. Αυτές οι γυναίκες έχουν πολύ καλή πρόγνωση. Θα σωθεί στην κυριολεξία η ζωή τους από αυτές τις προληπτικές εξετάσεις, τις οποίες έκαναν. Έτσι αντιλαμβανόμαστε εμείς τη δημόσια υγεία για όλες και για όλους, με έμφαση σε καλά νοσοκομεία, να μειωθούν οι χρόνοι αναμονής, στον προσωπικό γιατρό, στην πρόληψη. Κρατήστε αυτό που σας λέω: σε τέσσερα χρόνια από τώρα το Εθνικό Σύστημα Υγείας θα είναι τελείως διαφορετικό από αυτό που είναι σήμερα και ξέρετε ότι εγώ τις δεσμεύσεις μου τις τηρώ.",political agenda,health,other,0.8,0.0,0.2,"[['gov.gr', 'organization', '0.8'], ['national health system', 'organization', '0.9'], ['national health system', 'organization', '0.9'], ['10', '000', 'group of people', '0.5'], ['doctors', 'group of people', '0.7'], ['nurses', 'group of people', '0.7'], ['emergency departments', 'location', '0.7'], ['hospitals', 'location', '0.6'], ['health centers', 'location', '0.6'], ['personal doctor', 'organization', '0.6'], ['7', '000', 'group of people', '0.5'], ['early breast cancer', 'medical condition', '0.5'], ['four years from now', 'date', '0.5'], ['national health system', 'organization', '0.9.']]"
10,"I don't like to talk about things that I know I cannot deliver tomorrow, unlike some others who promise you programmes that cost more than 80 billion. But, watch out, when we challenge them and say, ""Guys, let's not argue about our programs, there's one way to see who's telling the truth, let's all come together and have a third party, independent, cost them. Don't you want the GAO? The Bank of Greece. You don't want the Bank of Greece? The Economic Council of the Parliament."" Silence. Because they know very well that they are telling you things that cannot become reality and they don't care, of course, because they know deep down that they are not going to win the elections.","Δεν μου αρέσει να τάζω πράγματα τα οποία ξέρω ότι αύριο δεν μπορώ να υλοποιήσω, σε αντίθεση με κάποιους άλλους οι οποίοι σας υπόσχονται προγράμματα τα οποία ξεπερνούν τα 80 δισεκατομμύρια σε κόστος. Αλλά, προσέξτε, όταν τους προκαλούμε και τους λέμε, «ρε παιδιά, μην τσακωνόμαστε για τα προγράμματα μας, ένας τρόπος υπάρχει να δούμε ποιος λέει την αλήθεια, ελάτε να τα πάμε όλοι μαζί να τα κοστολογήσει κάποιος τρίτος, ανεξάρτητος. Δεν θέλετε το Γενικό Λογιστήριο; Η Τράπεζα της Ελλάδος. Δεν θέλετε την Τράπεζα της Ελλάδος; Το Οικονομικό Συμβούλιο της Βουλής». Σιωπή. Γιατί ξέρουν πολύ καλά ότι σας τάζουν πράγματα τα οποία δεν μπορούν να γίνουν πραγματικότητα και δεν τους ενδιαφέρει, βέβαια, διότι κατά βάθος ξέρουν ότι δεν πρόκειται να κερδίσουν τις εκλογές.",criticism,elections,election spending,-0.7,0.0,0.1,"[['gao', 'organization', '1.0'], ['bank of greece', 'organization', '1.0'], ['economic council of the parliament', 'organization', '1.0']]"
