id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Mr.Regional Governor, Mr.Mayor, ladies and gentlemen, Young Democrats, one week left to celebrate a great electoral victory. I am very happy to be here with you today here in Lavrio. A short while ago I had the opportunity to give my interview in a place which marks not the past, but the future of Lavrio as I envision it. And, indeed, I do not forget, my Mayor, that this space was secured for the Municipality of Lavrio as a place of innovation and development by Constantine Mitsotakis. Thank you very much for the gardenia, it was - I must tell you - the favourite flower of Marika Mitsotakis, and I want to say happy birthday to all the mothers who are celebrating today. Thank you very much.","Κύριε Περιφερειάρχα, κ. Δήμαρχε, κυρίες και κύριοι, Νεοδημοκράτισσες και Νεοδημοκράτες, μία εβδομάδα έμεινε ακόμα για να γιορτάσουμε μια μεγάλη εκλογική νίκη. Χαίρομαι πάρα πολύ που βρίσκομαι σήμερα μαζί σας εδώ, στο Λαύριο. Πριν από λίγο είχα την ευκαιρία να δώσω τη διακαναλική μου συνέντευξη σ’ έναν χώρο ο οποίος σηματοδοτεί όχι το παρελθόν, αλλά το μέλλον του Λαυρίου, έτσι όπως το οραματίζομαι. Και, πράγματι, δεν ξεχνώ, Δήμαρχέ μου, ότι ο χώρος αυτός εξασφαλίστηκε για το Δήμο Λαυρίου ως ένας χώρος καινοτομίας και ανάπτυξης από τον Κωνσταντίνο Μητσοτάκη. Ευχαριστώ πολύ για τη γαρδένια, ήταν -πρέπει να σας πω- το αγαπημένο λουλούδι της Μαρίκας Μητσοτάκη και θέλω να πω χρόνια πολλά σε όλες τις μανάδες οι οποίες γιορτάζουν σήμερα. Σας ευχαριστώ πολύ.",political agenda,elections,other,0,0,0,"[['mr. regional governor', 'person', '1.0'], ['mr. mayor', 'person', '1.0'], ['young democrats', 'group of people', '1.0'], ['lavrio', 'location', '1.0'], ['municipality of lavrio', 'organization', '1.0'], ['constantine mitsotakis', 'person', '1.0'], ['marika mitsotakis', 'person', '1.0']]"
2,"Friends, there are seven days left until the elections on 21 May. You see, this election period is going by quickly, but I am glad because we have been given the opportunity until today to be able to explain to the Greek citizens our vision for Greece for the next four years. This electoral period has given us the opportunity to draw clear lines between our own political proposal and that of our opponents and, above all, to focus on the problems that interest and concern you. Because we often go to interviews and answer questions that are of interest to journalists but are not close to the real demands of the citizens. What I am interested in is to use every hour of time available to tell you how we are going to make Greece better in the next four years. We can make it much better. Because we have achieved a lot in four years, in the midst of very great difficulties, a pandemic, a refugee crisis, a neighbour who was constantly giving us problems, an energy crisis. But we kept society on its feet, we supported the world of work, we supported small and medium-sized enterprises.","Φίλες και φίλοι, έμειναν επτά μέρες μέχρι τις εκλογές της 21ης Μαΐου. Βλέπετε περνάει γρήγορα αυτή η προεκλογική περίοδος, αλλά χαίρομαι γιατί μας έχει δοθεί η ευκαιρία μέχρι σήμερα να μπορέσουμε να εξηγήσουμε στους Έλληνες πολίτες το όραμά μας για την Ελλάδα της επόμενης τετραετίας. Μας έδωσε αυτή η προεκλογική περίοδος την ευκαιρία να τραβήξουμε ξεκάθαρες διαχωριστικές γραμμές μεταξύ της δικής μας πολιτικής πρότασης και αυτής των αντιπάλων μας και κυρίως να εστιάσουμε στα προβλήματα τα οποία ενδιαφέρουν και απασχολούν εσάς. Διότι πολλές φορές πηγαίνουμε σε συνεντεύξεις και απαντούμε σε ερωτήματα τα οποία ενδιαφέρουν τους δημοσιογράφους, αλλά δεν είναι κοντά στα πραγματικά αιτήματα των πολιτών. Αυτό το οποίο ενδιαφέρει εμένα, είναι να αξιοποιήσω κάθε ώρα διαθέσιμου χρόνου για να σας πω πώς θα κάνουμε την Ελλάδα καλύτερη την επόμενη τετραετία. Μπορούμε να την κάνουμε πολύ καλύτερη. Γιατί πετύχαμε πολλά τέσσερα χρόνια, εν μέσω πολύ μεγάλων δυσκολιών, πανδημίας, προσφυγικής κρίσης, ενός γείτονα ο οποίος μονίμως μας δημιουργούσε προβλήματα, ενεργειακής κρίσης. Κρατήσαμε, όμως, όρθια την κοινωνία, στηρίξαμε τον κόσμο της εργασίας, τις μικρομεσαίες επιχειρήσεις.",political agenda,elections,energy crisis,0.45,0,0,[]
3,"We have secured the country, we have protected our borders, we have strengthened the Armed Forces, we have made Greece more credible abroad, with a voice that can be heard from Congress to Brussels. I assure you that the voice of Greece is heard today. And it is heard everywhere. In other words, we have laid the foundations for the Greece of the next four years. A Greece which, first and foremost, must be able to produce wealth and prosperity for Greeks.","Ασφαλίσαμε τη χώρα, προστατεύσαμε τα σύνορά μας, ενισχύσαμε τις Ένοπλες Δυνάμεις, κάναμε την Ελλάδα πιο αξιόπιστη στο εξωτερικό, με φωνή η οποία ακούγεται από το Κογκρέσο μέχρι τις Βρυξέλλες. Η φωνή της Ελλάδος σήμερα -σας διαβεβαιώνω- ακούγεται. Και ακούγεται παντού. Βάλαμε, με άλλα λόγια, τα θεμέλια για την Ελλάδα της επόμενης τετραετίας. Μία Ελλάδα, η οποία πρώτα και πάνω απ’ όλα πρέπει να μπορεί να παράγει πλούτο και ευημερία για τις Ελληνίδες και τους Έλληνες.",political agenda,other,defense spending,0.7,0,0,"[['greece', 'location', '1.0'], ['armed forces', 'group of people', '1.0'], ['congress', 'organization', '0.6'], ['brussels', 'location', '0.7'], ['greeks', 'group of people', '1.0']]"
4,"Here, allow me to make a reference to what the Mayor said and to highlight, through what is happening here in Lavrio, my own overall vision for Greece of growth, prosperity and well-being. Lavrion is a place that was identified with industrial production, a place identified with the demands of the labour movement and a place, at the same time, identified with the deindustrialisation and decline of the last decades. And yet, here in Lavrion today, something very important is happening. And what is happening is not only in the service sector. Yes, my Mayor, you can be absolutely sure that the marina here in Lavrio will be expanded, we will support it. Lavrio must become the first yachting gateway of Attica. Why? For the simple reason that from here the distances to go, especially to the Cyclades, are much closer, so this is something that everyone is looking for. And of course, around yachting a number of other activities are developing that give life not only to the port, but also to many professions around this industry which is so important. So important for the Greek economy and Greek tourism. But you see that suddenly we have gone from yachting to boat building. Because, indeed, it was strange how a country with such a great shipbuilding tradition, a country that has the most beautiful seas in the whole Mediterranean, why do we have to import inflatable boats and not be able to build them here?","Εδώ, επιτρέψτε μου να κάνω μία αναφορά σε αυτά τα οποία είπε ο Δήμαρχος και να αναδείξω μέσα από αυτό το οποίο συμβαίνει εδώ στο Λαύριο, το δικό μου συνολικό όραμα για την Ελλάδα της ανάπτυξης, της προκοπής και της ευημερίας. Το Λαύριο είναι ένας τόπος, ο οποίος ήταν ταυτισμένος με βιομηχανική παραγωγή, ένας τόπος ταυτισμένος με διεκδικήσεις του εργατικού κινήματος κι ένας τόπος, ταυτόχρονα, ταυτισμένος με την αποβιομηχάνιση και την παρακμή των τελευταίων δεκαετιών. Κι όμως, εδώ σήμερα στο Λαύριο γίνεται κάτι πολύ σημαντικό. Και αυτό που γίνεται δεν αφορά μόνο τον τομέα των υπηρεσιών. Ναι, Δήμαρχέ μου, μπορείς να είσαι απολύτως σίγουρος ότι η μαρίνα εδώ στο Λαύριο θα επεκταθεί, θα τη στηρίξουμε. Το Λαύριο πρέπει να γίνει η πρώτη πύλη yachting της Αττικής. Γιατί; Για τον απλούστατο λόγο ότι από εδώ οι αποστάσεις για να πάει κανείς, ειδικά στις Κυκλάδες, είναι πολύ πιο κοντινές, άρα αυτό είναι κάτι το οποίο επιζητούν όλοι. Και φυσικά, γύρω από το yachting αναπτύσσονται μια σειρά από άλλες δραστηριότητες που δίνουν ζωή όχι μόνο στο λιμάνι, αλλά και σε πολλά επαγγέλματα γύρω από αυτό τον κλάδο ο οποίος είναι τόσο σημαντικός. Τόσο σημαντικός για την ελληνική οικονομία και τον ελληνικό τουρισμό. Βλέπετε, όμως, ότι ξαφνικά από το yachting περάσαμε στην κατασκευή σκαφών. Διότι, πράγματι, ήταν παράξενο πώς μια χώρα με τόσο μεγάλη ναυπηγική παράδοση, μια χώρα που έχει τις ομορφότερες θάλασσες σε όλη τη Μεσόγειο, γιατί πρέπει να εισάγουμε φουσκωτά και να μην μπορούμε να τα κατασκευάζουμε εδώ;",political agenda,tourism,other,0,0,0,"[['lavrio', 'location', '1.0'], ['greece', 'country', '1.0'], ['mayor', 'person', '1.0'], ['attica', 'location', '1.0'], ['cyclades', 'location', '1.0'], ['greek economy', 'organization', '1.0'], ['greek tourism', 'organization', '1.0']]"
5,"We have proved that we can do that too. Just as we can produce many things in our country. So Lavrion suddenly regains the productive base it had and lost. Under different circumstances, however, and with a different potential. To produce products that are exportable and exportable. The companies that come here and invest in Lavrion are companies that, as a rule, offer much better jobs, higher wages, better working conditions for employees. Why am I saying this? To demonstrate through the example of Lavrion that the way to bring better and well-paid jobs to our country is none other than the path we have already taken. Lots of private and public investment, better jobs, well-paid workers, in better conditions, with digital job cards everywhere now, so that there is no employer abuse. In a creative environment, where businesses do well and workers can do even better.","Αποδείξαμε ότι και αυτό μπορούμε να το κάνουμε. Όπως μπορούμε να παράγουμε πολλά πράγματα στην πατρίδα μας. Έτσι το Λαύριο ξαφνικά αποκτά πάλι την παραγωγική βάση την οποία είχε και την οποία έχασε. Με άλλες συνθήκες, όμως, και με άλλη δυνατότητα. Να παράγουμε προϊόντα τα οποία να είναι εξωστρεφή και εξαγώγιμα. Οι εταιρείες που έρχονται εδώ και επενδύουν στο Λαύριο, είναι εταιρίες που κατά κανόνα προσφέρουν πολύ καλύτερες θέσεις εργασίας, υψηλότερους μισθούς, καλύτερες συνθήκες εργασίας για τους εργαζόμενους. Γιατί το λέω αυτό; Για να καταδείξω μέσα από το παράδειγμα του Λαυρίου ότι ο τρόπος να φέρουμε καλύτερες και καλά πληρωμένες δουλειές στην πατρίδα μας δεν είναι άλλος από τον δρόμο τον οποίο ήδη ακολουθήσαμε. Οι πολλές ιδιωτικές και δημόσιες επενδύσεις, οι καλύτερες θέσεις εργασίας, καλοπληρωμένοι εργαζόμενοι, σε καλύτερες συνθήκες, με ψηφιακή κάρτα εργασίας πια παντού, ώστε να μην υπάρχει κατάχρηση της εργοδοσίας. Σε ένα περιβάλλον δημιουργικό, όπου οι επιχειρήσεις πάνε καλά και οι εργαζόμενοι μπορούν να πάνε ακόμα καλύτερα.",political agenda,employment,other,0.45,0,0,"[['lavrion', 'location', '1.0']]"
6,"And, of course, this is for the private sector, because as far as the public sector is concerned, the Mayor is right to say that the local government has never seen more money than it did under the New Democracy government. Isn't that right, Mr. Regional Governor? And Patoulis is giving money here. Well, so the money has to work. And what is important is that the projects we are launching are projects that serve a central development vision. We are in very good consultation with local government and ultimately we know that many problems have to be solved locally. The state cannot come in and do everything, but through good working relationships we can build a real future of optimism and prosperity for local communities. This is our goal, our central objective for the next four years.","Και, βέβαια, αυτό αφορά τον ιδιωτικό τομέα, γιατί ως προς το Δημόσιο, έχει δίκιο ο Δήμαρχος να λέει ότι ουδέποτε η Τοπική Αυτοδιοίκηση είδε περισσότερα χρήματα από ό,τι επί Κυβέρνησης Νέας Δημοκρατίας. Έτσι δεν είναι, κ. Περιφερειάρχα; Και ο Πατούλης δίνει χρήματα εδώ. Λοιπόν, άρα τα χρήματα όμως πρέπει να πιάνουν τόπο. Και αυτό που είναι σημαντικό είναι ότι τα έργα τα οποία δρομολογούμε, είναι έργα τα οποία υπηρετούν ένα κεντρικό αναπτυξιακό όραμα. Είμαστε σε πολύ καλή συνεννόηση με την Τοπική Αυτοδιοίκηση και τελικά ξέρουμε ότι πολλά προβλήματα πρέπει να λύνονται τοπικά. Δεν μπορεί το κράτος να έρχεται να τα κάνει όλα, αλλά μέσα από καλές σχέσεις συνεργασίας μπορούμε να χτίσουμε για τις τοπικές κοινωνίες ένα πραγματικό μέλλον αισιοδοξίας και ευημερίας. Αυτός είναι ο στόχος μας, ο κεντρικός μας στόχος για την επόμενη τετραετία.",political agenda,economy,other,0.5,0,0,"[['mayor', 'person', '0.7'], ['new democracy', 'political party', '0.7'], ['mr. regional governor', 'person', '0.7'], ['patoulis', 'person', '0.7'], ['local government', 'organization', '0.7'], ['state', 'organization', '0.7'], ['local communities', 'group of people', '0.7'], ['next four years', 'date', '0.7']]"
7,"But a productive Greece must also be a socially just Greece. I want you to know that for the second four-year term, my personal bet is the complete restructuring of the National Health System. There you will see great progress and very important steps, with many investments that will be made in our hospitals. And I know, yes, that somewhere in East Attica we owe a hospital. In East Attica, why does a hospital have to be built? Because East Attica is one of the fastest growing regions in the country, with a large population growth, and we need to make sure it has the infrastructure it deserves. But it's not just the buildings that make the health facilities. We will hire 10,000 nurses and doctors over the next four years. At the same time, we will also put a very strong emphasis on the personal doctor. It's an institution that is already taking root and it's very important to know that you have a reference point, a person who knows your whole picture, your medicine. In digital tools, that your prescriptions and your tests can now come to you on mobile through ""MyHealth"". All of this is a revolution in the way we deliver health services. And, of course, in preventative screening, which I attach so much importance to, because there is nothing better that we can do than to prevent a disease before we have to treat it afterwards.","Όμως, η παραγωγική Ελλάδα πρέπει να είναι ταυτόχρονα και μία κοινωνικά δίκαιη Ελλάδα. Θέλω να ξέρετε ότι για τη δεύτερη τετραετία αποτελεί προσωπικό μου στοίχημα η πλήρης ανασύνταξη του Εθνικού Συστήματος Υγείας. Εκεί θα δείτε μεγάλη πρόοδο και πολύ σημαντικά βήματα, με πολλές επενδύσεις οι οποίες θα γίνουν στα νοσοκομεία μας. Και ξέρω, ναι, ότι κάπου στην Ανατολική Αττική χρωστάμε ένα νοσοκομείο. Στην Ανατολική Αττική, γιατί πρέπει να γίνει ένα νοσοκομείο; Γιατί η Ανατολική Αττική είναι μια από τις πιο γρήγορα αναπτυσσόμενες περιφέρειες της χώρας, με μεγάλη αύξηση πληθυσμού και πρέπει να φροντίσουμε να έχει τις υποδομές που της αξίζουν. Αλλά δεν κάνουν μόνο τα κτίρια τις παροχές υγείας. Θα προσλάβουμε 10.000  νοσηλευτές και γιατρούς μέσα στη επόμενη τετραετία. Ταυτόχρονα, θα δώσουμε πολύ μεγάλη έμφαση και στον προσωπικό γιατρό. Είναι ένας θεσμός, ο οποίος έχει ήδη αρχίσει και ριζώνει και είναι πολύ σημαντικό να ξέρετε ότι έχετε ένα σημείο αναφοράς, έναν άνθρωπο ο οποίος γνωρίζει όλη σας την εικόνα, την ιατρική. Στα ψηφιακά εργαλεία, ότι έρχονται πια οι συνταγές σας και οι εξετάσεις σας μπορούν να έρχονται στο κινητό μέσα από το «MyHealth». Όλα αυτά είναι επανάσταση για τον τρόπο με τον οποίο παρέχουμε υπηρεσίες υγείας. Και, βέβαια, στις προληπτικές εξετάσεις, στις οποίες τόσο μεγάλη σημασία αποδίδω, διότι δεν υπάρχει τίποτα καλύτερο το οποίο μπορούμε να κάνουμε, από το να προλάβουμε μία ασθένεια, πριν αναγκαστούμε να τη θεραπεύσουμε εκ των υστέρων.",political agenda,health,other,0.7,0,0,"[['greece', 'country', '1.0'], ['national health system', 'organization', '1.0'], ['east attica', 'location', '1.0'], ['10', '000', 'group of people', '0.5'], ['four years', 'date', '0.5'], ['myhealth', 'organization', '0.5']]"
8,"We did it with breast cancer very successfully. Seven thousand women have been identified with early breast cancer, they will get well, precisely because we found the cancer early. Because we went to these women, many of whom had never had a mammogram. We went to them and said, get a free mammogram at a public or private facility, and they went, they found the problem. Yes, it's not easy, we're all afraid to get screenings, but it's much better to do them and find the problem early before we run afterwards when it's too late.","Το κάναμε με τον καρκίνο του μαστού πολύ επιτυχημένα. Επτά χιλιάδες γυναίκες έχουν εντοπιστεί με πρόωρο καρκίνο του μαστού, θα γίνουν καλά, ακριβώς επειδή βρήκαμε τον καρκίνο νωρίς. Γιατί πήγαμε εμείς στις γυναίκες αυτές, πολλές από τις οποίες δεν είχαν κάνει ποτέ μαστογραφία. Εμείς πήγαμε και τους είπαμε, κάντε μια δωρεάν μαστογραφία σε δημόσια ή σε ιδιωτική δομή και πήγαν, βρήκαν το πρόβλημα. Ναι, δεν είναι εύκολο, όλοι φοβόμαστε να κάνουμε εξετάσεις, αλλά είναι πολύ καλύτερο να τις κάνουμε και να βρίσκουμε το πρόβλημα νωρίς πριν τρέχουμε μετά, όταν είναι αργά.",political agenda,health,other,0.8,0,0,"[['breast cancer', 'organization', '0.7'], ['seven thousand women', 'group of people', '0.7'], ['mammogram', 'organization', '0.6'], ['public facility', 'location', '0.8'], ['private facility', 'location', '0.8']]"
9,"To make a special mention, I see Stelios Kympouropoulos with us and I want to thank him for what he has done and is doing in the European Parliament. I want to say that the Personal Assistant that we are now implementing throughout the country, two thousand of our fellow citizens with severe disabilities will have the opportunity, with resources secured, to have a person by their side to help them in their professional and personal lives, so that we can finally free families from this burden, was a vision of Stelios. I am very happy that we were able to implement it and secure the resources, and it is further proof of how we really understand social sensitivity.","Να κάνω μία ξεχωριστή αναφορά, βλέπω μαζί μας τον Στέλιο  Κυμπουρόπουλο και θέλω να τον ευχαριστήσω για ό,τι έκανε και κάνει στην Ευρωβουλή. Θέλω να πω ότι ο Προσωπικός Βοηθός τον οποίο υλοποιούμε πια σε όλη τη χώρα, δύο χιλιάδες συμπολίτες μας με βαριά αναπηρία θα έχουν τη δυνατότητα, με πόρους εξασφαλισμένους, να έχουν έναν άνθρωπο δίπλα τους που να τους βοηθάει στην επαγγελματική και στην προσωπική τους ζωή, ώστε να αποδεσμεύσουμε επιτέλους τις οικογένειες από το βάρος αυτό, ήταν ένα όραμα του Στέλιου. Εγώ χαίρομαι πάρα πολύ που μπορέσαμε και το υλοποιήσαμε και εξασφαλίσαμε τους πόρους και είναι μία ακόμα απόδειξη του πώς αντιλαμβανόμαστε εμείς πραγματικά την κοινωνική ευαισθησία.",political agenda,social state,other,0.8,0,0,"[['stelios kympouropoulos', 'person', '1.0'], ['european parliament', 'organization', '1.0'], ['personal assistant', 'organization', '1.0'], ['country', 'location', '1.0'], ['fellow citizens', 'group of people', '1.0'], ['severe disabilities', 'group of people', '1.0'], ['professional and personal lives', 'group of people', '1.0'], ['families', 'group of people', '1.0']]"
10,"I am tired of hearing that others are more sensitive than us. Some others are, he says, more progressive than us, just because they are left-wing. No, friends, we are the real party of progress and social cohesion. We must finally speak in deeds and not in words. These, then, are just a few nuggets from our plan for the next four years. I do not want to bore you much longer, it is a beautiful Sunday and I know that you too want to go and sit down to eat with your families. To celebrate our mothers, to honor and celebrate them and to thank them for all that they have done. I should note, of course, how much importance we attach to supporting working women.","Έχω κουραστεί να ακούω ότι κάποιοι άλλοι είναι πιο ευαίσθητοι από εμάς. Κάποιοι άλλοι είναι, λέει, πιο προοδευτικοί από μας, μόνο και μόνο επειδή είναι αριστεροί. Όχι φίλες και φίλοι, εμείς είμαστε η πραγματική παράταξη της προόδου και της κοινωνικής συνοχής. Πρέπει επιτέλους να μιλάμε με έργα και όχι με λόγια. Αυτά, λοιπόν, είναι μερικά ψήγματα από το σχέδιό μας για την επόμενη τετραετία. Δεν θέλω να σας κουράσω πολύ περισσότερο, είναι μια όμορφη Κυριακή και ξέρω ότι κι εσείς θέλετε να πάτε να καθίσετε να φάτε με τις οικογένειές σας. Να γιορτάσετε τις μητέρες μας, να τις τιμάμε και να τις γιορτάζουμε και να τις ευχαριστούμε για όλα όσα έχουν κάνει. Να σημειώσω, βέβαια, πόσο μεγάλη σημασία αποδίδουμε στη στήριξη των εργαζόμενων γυναικών.",political agenda,other,other,0.2,0,0,"[['sunday', 'date', '1.0'], ['four years', 'date', '1.0'], ['mothers', 'group of people', '1.0'], ['women', 'group of people', '1.0']]"
