id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young democrats of Heraklion, fellow countrymen and women, Cretans and Cretans, This must be the biggest political gathering that has taken place in Crete for a long time and my words are too few to describe this impressive reception. It shows that, as it did a few weeks ago in Chania, so today in Heraklion, it sends the message of a great victory.I want to win a bet that we have all made together, that all of Crete will be dressed in blue on 21 May. The whole country should be blue, in the colours of the homeland and of the party for a self-reliant Greece and a self-reliant New Democracy.This election period has gone by quickly, we are about 120 hours away from the polls. But that is why I am here, for the second time in Crete, the only place I have visited twice during this election period, to take strength from our land and additional courage, from your optimism, from your smiles.Because the country requires stability in its conquests, it requires continuity in its progress and it requires consistency in the path it has charted forward. So here in Heraklion, too, it is shouting ""no to a second time in disaster"" and giving a second strong mandate for progress.We are doing our best, as only we Cretans know how to do, and on the day of Constantine and Helen, when Constantine Mitsotakis would be celebrating with us - and I see many of his old friends with us - on this day, Constantine and Helen, we welcome the great celebration of democracy, we bring the firsts to all our prefectures and we send with the waves of our sea the slogan of unity and new hope throughout the Greek territory.","Νεοδημοκράτισσες και Νεοδημοκράτες του Ηρακλείου, συμπατριώτισσες και συμπατριώτες, Κρητικές και Kρητικοί, Αυτή πρέπει να είναι η μεγαλύτερη πολιτική συγκέντρωση που έχει γίνει στην Κρήτη εδώ και πολύ καιρό και τα λόγια μου είναι λίγα για να περιγράψω αυτή την εντυπωσιακή υποδοχή. Δείχνει ότι, όπως και πριν από λίγες εβδομάδες στα Χανιά, έτσι και σήμερα στο Ηράκλειο, στέλνει το μήνυμα της μεγάλης νίκης.Θέλω να κερδίσω ένα στοίχημα που έχουμε βάλει όλοι μαζί, να ντυθεί όλη η Κρήτη στα γαλάζια την 21η Μαΐου. Όλη η χώρα να είναι μπλε, στα χρώματα της πατρίδας και της παράταξης για την αυτοδύναμη Ελλάδα και την αυτοδύναμη Νέα Δημοκρατία.Πέρασε γρήγορα αυτή η προεκλογική περίοδος, μας χωρίζουν περίπου 120 ώρες ως τις κάλπες. Αλλά γι’ αυτό είμαι εδώ, για δεύτερη φορά στην Κρήτη, το μόνο μέρος το οποίο επισκέφθηκα δύο φορές στη διάρκεια αυτής της προεκλογικής περιόδου, για να πάρω δύναμη από τη γη μας και πρόσθετο θάρρος, από τη δική σας αισιοδοξία, από το δικό σας χαμόγελο.Γιατί ο τόπος απαιτεί σταθερότητα στις κατακτήσεις του, απαιτεί συνέχεια στην πρόοδό του και απαιτεί συνέπεια στην πορεία που έχει χαράξει προς τα εμπρός. Βροντοφωνάζει, λοιπόν, και εδώ από το Ηράκλειο, όχι σε μια δεύτερη φορά στη συμφορά και δίνει δεύτερη ισχυρή εντολή στην προκοπή.Βάζουμε τα δυνατά μας, όπως μόνο εμείς οι Κρητικοί ξέρουμε να κάνουμε, και ανήμερα Κωνσταντίνου και Ελένης, όταν θα γιόρταζε μαζί μας και ο Κωνσταντίνος Μητσοτάκης -και βλέπω μαζί μας πολλούς παλιούς του φίλους-, ανήμερα, λοιπόν, Κωνσταντίνου και Ελένης, υποδεχόμαστε τη μεγάλη γιορτή της Δημοκρατίας, φέρνουμε την πρωτιά σε όλους τους νομούς μας και στέλνουμε με τα κύματα της θάλασσάς μας το σύνθημα της ενότητας και της καινούριας ελπίδας σε όλη την ελληνική επικράτεια.",political agenda,elections,other,0.6,0.1,0.2,"[['young democrats of heraklion', 'organization', '0.9'], ['cretans and cretans', 'group of people', '0.8'], ['chania', 'location', '0.7'], ['heraklion', 'location', '0.9'], ['crete', 'location', '0.9'], ['greece', 'country', '0.8'], ['new democracy', 'political party', '0.8'], ['constantine mitsotakis', 'person', '0.8'], ['constantine and helen', 'date', '0.8.']]"
2,"That is how we have managed to overcome so many difficulties in such a short time. First the migratory invasions in Evros and the Aegean, then a pandemic that lasted more than two years, then the energy crisis and the global precision of the war in Ukraine. And almost daily, notice, for almost four years, the aggressive actions of neighbouring Turkey.Against all this, we stood up with Greece stronger today than it was four years ago. With society more united. With Greeks, despite the difficulties that we still face, more optimistic.","Έτσι, άλλωστε, πετύχαμε να ξεπεράσουμε ως τώρα τόσο μεγάλες δυσκολίες σε τόσο μικρό χρόνο. Πρώτα τις μεταναστευτικές εισβολές στον Έβρο και στο Αιγαίο, μετά μια πανδημία η οποία κράτησε παραπάνω από δύο χρόνια, έπειτα την ενεργειακή κρίση και την παγκόσμια ακρίβεια από τον πόλεμο στην Ουκρανία. Και σχεδόν καθημερινά, προσέξτε, επί σχεδόν τέσσερα χρόνια, τις επιθετικές ενέργειες της γειτονικής Τουρκίας.Απέναντι σε όλα αυτά μείναμε όρθιοι με την Ελλάδα πιο ισχυρή, σήμερα, από ό,τι ήταν πριν από τέσσερα χρόνια. Με την κοινωνία πιο ενωμένη. Με τους Έλληνες παρά τις δυσκολίες που έχουμε ακόμα μπροστά μας, πιο αισιόδοξους.",political agenda,national security,energy crisis,0.86,0.1,0.0,"[['evros', 'location', '0.8'], ['aegean', 'location', '0.8'], ['pandemic', 'organization', '0.5'], ['energy crisis', 'organization', '0.5'], ['ukraine', 'location', '0.8'], ['turkey', 'location', '0.8'], ['greece', 'country', '0.8'], ['greeks', 'group of people', '0.5']]"
3,"But not only that, because at the same time we have not forgotten our commitments. Do you remember what I promised you, here, from Crete, from Heraklion, before the July 2019 elections? I promised you less taxes and contributions and more jobs. I promised you income support with care for the weakest. I pledged to you a country with secure borders and a voice that would be heard proudly abroad. Have we delivered on all that? Yes, we did. Where are we today? All of you, all of us are paying 50 less in taxes. The shoulders of the Greeks have been permanently relieved of a burden of EUR 7 billion. I told you that I would cut ENVIA by 30% and we reduced it by 35%. And 10% more from now on for insured properties. We increased the tax-free allowance. The first rate dropped from 22% to 9%. Our farmers when they cooperate pay half the tax when they cooperate. The solidarity levy was abolished and, yes, parents now transfer property to their children for free. We have, in effect, abolished the parental benefit tax.","Αλλά όχι μόνο, γιατί στο ίδιο διάστημα δεν ξεχάσαμε στιγμή τις δεσμεύσεις μας. Θυμάστε τι σας είχα υποσχεθεί, εδώ, από την Κρήτη, από το Ηράκλειο πριν από τις εκλογές του Ιουλίου του 2019; Σας είχα υποσχεθεί λιγότερους φόρους και εισφορές και περισσότερες δουλειές. Σας είχα δεσμευτεί για στήριξη του εισοδήματος με φροντίδα στους πιο αδύναμους. Σας είχα δεσμευτεί για μια χώρα με ασφαλή σύνορα και με φωνή που θα ακούγεται περήφανη στο εξωτερικό. Τα τηρήσαμε όλα αυτά; Ναι, τα τηρήσαμε. Πού είμαστε σήμερα; Όλοι σας, όλοι μας πληρώνουμε 50 λιγότερους φόρους. Οι ώμοι των Ελλήνων ελάφρωσαν μόνιμα από βάρη ύψους 7 δισεκατομμυρίων ευρώ. Σας είχα πει ότι θα κόψω τον ΕΝΦΙΑ κατά 30% και τον μειώσαμε κατά 35%. Και 10% ακόμα από εδώ και στο εξής για ασφαλισμένα ακίνητα. Αυξήθηκε το αφορολόγητο. Ο πρώτος συντελεστής έπεσε από το 22% στο 9%. Οι αγρότες μας όταν συνεργάζονται πληρώνουν μισή φορολογία. Καταργήθηκε η εισφορά αλληλεγγύης ενώ, ναι, και οι γονείς μεταβιβάζουν πλέον δωρεάν τις περιουσίες στα παιδιά τους. Καταργήσαμε, ουσιαστικά, το φόρο της γονικής παροχής.",political agenda,economy,tax cuts,0.7,0.0,0.0,"[['crete', 'location', '1.0'], ['heraklion', 'location', '1.0'], ['july 2019', 'date', '1.0'], ['greeks', 'group of people', '1.0'], ['eur', 'organization', '1.0'], ['envia', 'organization', '1.0'], ['parental benefit tax', 'organization', '1.0']]"
4,"At the same time we turned our attention to the low paid. The ones who are most challenged by imported precision. The basic wage was increased by 20%. We received it at 650 euros, it is today at 780 euros.And for our pensioner friends who are with us, you know better than I do that for the first time they have seen increases of almost 8% after 12 years. Those who are still wronged by the Katrougal personal differential are already being boosted and will continue to be boosted until the personal differential is finally erased. It is my commitment and I will keep it.We here in Crete and especially in Heraklion know what growth dynamics means for our economy. How we have created almost 300,000 jobs in four years.","Την ίδια ώρα στρέψαμε την προσοχή μας στους χαμηλόμισθους. Αυτούς οι οποίοι δοκιμάζονται περισσότερο από την εισαγόμενη ακρίβεια. Ο βασικός μισθός αυξήθηκε 20%. Τον παραλάβαμε στα 650 ευρώ, είναι σήμερα στα 780 ευρώ.Και για τους φίλους μας τους συνταξιούχους, οι οποίοι είναι μαζί μας, γνωρίζετε καλύτερα από εμένα ότι για πρώτη φορά είδαν αυξήσεις σχεδόν 8% ύστερα από 12 ολόκληρα χρόνια. Όσοι αδικούνται ακόμα από την προσωπική διαφορά Κατρούγκαλου ενισχύονται ήδη και θα εξακολουθούν να ενισχύονται έως ότου η προσωπική διαφορά σβήσει οριστικά. Είναι δέσμευσή μου και θα την τηρήσω.Εμείς, εδώ, στην Κρήτη και ειδικά στο Ηράκλειο, γνωρίζουμε τι σημαίνει αναπτυξιακή δυναμική για την οικονομία μας. Πώς δημιουργήσαμε μέσα σε τέσσερα χρόνια σχεδόν 300.000 θέσεις εργασίας.",political agenda,employment,wages,0.6,0.0,0.0,"[['crete', 'location', '1.0'], ['heraklion', 'location', '1.0'], ['katrougal', 'organization', '0.5'], ['greece', 'country', '0.5'], ['650 euros', 'date', '0.5'], ['780 euros', 'date', '0.5'], ['8%', 'date', '0.5'], ['12 years', 'date', '0.5']]"
5,"We know what it means for growth to run at twice the rate of Europe and for investment to go from record to record, just as records are being set in two areas that you and I are well aware of: oil exports and our tourism revenues.I was asking the airport manager today as I was landing in Heraklion, and he told me that in the first half of May there was an increase of 15% compared to 2022, which was already higher than in 2019.In the economy, therefore, the motto ""we said it, we did it"" applies.","Γνωρίζουμε τι σημαίνει η ανάπτυξη να τρέχει με ρυθμό διπλάσιο της Ευρώπης και οι επενδύσεις να πηγαίνουν από ρεκόρ σε ρεκόρ, όπως ρεκόρ καταγράφεται και σε δύο πεδία τα οποία και εσείς και εγώ τα γνωρίζω καλά: στις εξαγωγές στο λάδι και στα έσοδά μας από τον τουρισμό.Ρωτούσα σήμερα καθώς προσγειωνόμουν στο Ηράκλειο τον αερολιμενάρχη, μου είπε πρώτο δεκαπενθήμερο του Μαΐου αύξηση 15% σε σχέση με το 2022 το οποίο ήταν ήδη υψηλότερο σε σχέση με το 2019.Στην οικονομία, συνεπώς, ισχύει το σύνθημα «το είπαμε, το κάναμε». ",political agenda,economy,other,0.8,0.0,0.0,"[['heraklion', 'location', '1.0'], ['europe', 'location', '0.8'], ['2022', 'date', '0.7'], ['2019', 'date', '0.7']]"
6,"But the same applies to our other promises. Greece used to be a centre for migrants passing through. It has become a homeland with borders on land, air and sea. We have proved that the sea has borders too, and that we can protect those borders.Flows have been reduced to almost zero. A few days ago I was in Lesvos. Moria no longer exists. It belongs to the past. Our islanders themselves know how much of a relief this is for them. And no matter how much some people object, inside and outside Greece, I insist: the Evros fence will extend across the entire border.","Το ίδιο ισχύει όμως και με τις άλλες υποσχέσεις μας. Η Ελλάδα άλλοτε ήταν ένα κέντρο διερχομένων μεταναστών. Έγινε πια πατρίδα με σύνορα σε γη, σε αέρα και σε θάλασσα. Αποδείξαμε ότι και η θάλασσα έχει σύνορα και τα σύνορα αυτά μπορούμε να τα προστατεύουμε.Οι ροές έχουν σχεδόν μηδενιστεί. Πριν από λίγες ημέρες ήμουν στη Λέσβο. Η Μόρια δεν υπάρχει πια. Ανήκει στο παρελθόν. Οι ίδιοι οι νησιώτες μας γνωρίζουν πόσο σημαντική ανακούφιση είναι αυτό για τους ίδιους. Και όσο κι αν κάποιοι αντιδρούν, εντός και εκτός Ελλάδος, εγώ επιμένω: ο φράχτης του Έβρου θα απλωθεί σε ολόκληρη τη μεθόριο.",political agenda,migration,sea borders,0.0,0.0,0.0,"[['greece', 'location', '1.0'], ['lesvos', 'location', '1.0'], ['moria', 'location', '1.0'], ['evros', 'location', '1.0']]"
7,"And let those who will vote remember that we are not only voting for the economy, for health care. We are also voting to strengthen the country's geopolitical position, to strengthen our defence. We were the ones who in record time added 24 new Rafale fighters to the Air Force arsenal. The upgraded F-16 Vipers are already flying from the 115th Fighter Wing in Chania. Above you they are flying, no matter how often we don't see them.The first Navy frigates Belharra, the most modern, mind you, ship that will exist in the Mediterranean, are already being built in France. We will take delivery of the first one before the end of 2025.All this next to our regenerated shipyards, next to our strengthened defence industry. Because for us, the great patriotic party of the progressive centre-right, national defence is the ultimate end in itself.","Και να θυμηθούν αυτοί οι οποίοι θα ψηφίσουν ότι δεν ψηφίζουμε μόνο για την οικονομία, για την υγεία. Ψηφίζουμε και για την ενίσχυση της γεωπολιτικής θέσης της χώρας, για την άμυνά μας. Εμείς ήμασταν αυτοί που σε χρόνο ρεκόρ προσθέσαμε 24 νέα μαχητικά Rafale στο οπλοστάσιο της Πολεμικής Αεροπορίας. Τα αναβαθμισμένα F-16 Viper πετούν ήδη από την 115 Πτέρυγα Μάχης στα Χανιά. Από πάνω σας πετούν, άσχετα αν συχνά δεν τα βλέπουμε.Οι πρώτες φρεγάτες του Πολεμικού Ναυτικού Belharra, το πιο σύγχρονο, προσέξτε, πλοίο το οποίο θα υπάρχει στη Μεσόγειο, ναυπηγούνται ήδη στη Γαλλία. Θα παραλάβουμε την πρώτη πριν το τέλος του 2025.Όλα αυτά δίπλα στα αναγεννημένα ναυπηγεία μας, δίπλα στην ενισχυμένη αμυντική βιομηχανία. Διότι για εμάς, τη μεγάλη πατριωτική παράταξη της προοδευτικής κεντροδεξιάς, η εθνική άμυνα είναι ο υπέρτατος αυτοσκοπός.",political agenda,national security ,defense spending,0.7,0.2,0.0,"[['air force', 'organization', '0.5'], ['rafale fighters', 'organization', '0.5'], ['f-16 vipers', 'organization', '0.5'], ['115th fighter wing', 'organization', '0.5'], ['chania', 'location', '0.5'], ['navy', 'organization', '0.5'], ['belharra', 'organization', '0.5'], ['mediterranean', 'location', '0.5'], ['france', 'location', '0.5'], ['2025', 'date', '0.5'], ['shipyards', 'organization', '0.5'], ['defence industry', 'organization', '0.5'], ['patriotic party', 'political party', '0.5']]"
8,"All of Crete is blue and all of Crete must become blue.But be careful, the national shield has a second aspect, not only the armouring of the Armed Forces, but also diplomacy, and it is a shield that starts with strategic defence agreements with America and France, goes on to the definition of Maritime Zones with Italy and Egypt and our relations with Israel and the Arab world, to the extension of our territorial waters in the Ionian Sea and, for the first time in ten years, after much talk but nothing in practice, to the hydrocarbon exploration that we are currently carrying out southwest of Crete.The voice of our country is now being heard loud and clear in Brussels, not only in the geopolitical but also in the economic field. You know, I too went to Brussels and negotiated, not for 17 hours to bring back a 100-billion-euro memorandum, but for five days to bring home 31 billion from the Recovery Fund.Add to this money the resources of the Rural Development Programme and the 26 billion of the new NSRF, and you can see the importance of European support in the effort to revive our Greek economy.","Όλη η Κρήτη είναι μπλε και όλη η Κρήτη πρέπει να γίνει μπλε.Αλλά προσέξτε, η εθνική ασπίδα έχει και μία δεύτερη όψη, όχι μόνο τη θωράκιση των Ενόπλων Δυνάμεων, έχει και διπλωματία, και είναι μια ασπίδα που ξεκινά από στρατηγικές αμυντικές συμφωνίες με τη Αμερική και τη Γαλλία, περνά στον καθορισμό Θαλασσίων Ζωνών με την Ιταλία και την Αίγυπτο και τις σχέσεις μας με το Ισραήλ και τον Αραβικό κόσμο, για να φτάσει στην επέκταση των χωρικών μας υδάτων στο Ιόνιο και για πρώτη φορά, μετά από δέκα χρόνια, μετά από πολλά λόγια αλλά τίποτα στην πράξη, για έρευνες υδρογονανθράκων τις οποίες κάνουμε αυτή τη στιγμή νοτιοδυτικά της Κρήτης.Η φωνή της πατρίδας μας ακούγεται πια ισχυρή στις Βρυξέλλες, όχι μόνο στο γεωπολιτικό αλλά και στο οικονομικό πεδίο. Ξέρετε, πήγα και εγώ στις Βρυξέλλες και διαπραγματεύτηκα, όχι 17 ώρες για να φέρω πίσω ένα μνημόνιο 100 δισεκατομμυρίων, αλλά πέντε μέρες για να φέρω στην πατρίδα 31 δισεκατομμύρια από το Ταμείο Ανάκαμψης.Προσθέστε σε αυτά τα χρήματα τους πόρους του Προγράμματος Αγροτικής Ανάπτυξης και τα 26 δισεκατομμύρια του νέου ΕΣΠΑ για να αντιληφθείτε τη σημασία της ευρωπαϊκής στήριξης στην προσπάθεια ανάταξης της ελληνικής μας οικονομίας.",political agenda,external affairs,other,0.5,0.2,0.0,"[['crete', 'location', '1.0'], ['armed forces', 'organization', '0.5'], ['america', 'country', '1.0'], ['france', 'country', '1.0'], ['maritime zones', 'organization', '0.5'], ['italy', 'country', '1.0'], ['egypt', 'country', '1.0'], ['israel', 'country', '1.0'], ['arab world', 'group of people', '0.5'], ['ionian sea', 'location', '0.5'], ['hydrocarbon exploration', 'organization', '0.5'], ['brussels', 'location', '1.0'], ['recovery fund', 'organization', '0.5'], ['rural development programme', 'organization', '0.5'], ['nsrf', 'organization', '0.5'], ['greek', 'group of people', '0.5'], ['european', 'group of people', '0.5']]"
9,"Friends, I have tried in a few words to describe the four-year effort to lay the foundations of the new Greece that you see being built around us. And I have insisted on this very brief account to illustrate the great importance between words and deeds, what it is that ultimately distinguishes one government that is distinguished for its consistency from another government that has done the exact opposite of what it said it would do.We see at this moment the whole country has been transformed into one big construction site. In Athens, the Metro is being expanded. In Thessaloniki - I will be in our capital in two days' time - I am putting my commitment into practice. By the beginning of 2024, Thessaloniki will have the most modern Metro in Europe. We said it and we did it. Major roads are being built all over the country and here, of course, the great project of a lifetime for our Crete. A personal bet of mine, the Northern Road Axis, which is finally starting. The older ones will remember it being claimed decades ago by Constantine Mitsotakis. Well, this dream is now becoming a tangible reality for the whole of Crete. The way has been cleared for the road we have always wanted. And in a few years our whole island will be united, so that everyone can move safely from one end of the island to the other.As I was landing I could see in the background the major works that are being done at the new airport in Kastelli. The largest open construction site in the country today. More than 20% is already completed. It will be delivered on time but the studies for the development of the old airport, the ""Nikos Kazantzakis"" airport, will also proceed. We will be ready at the time of relocation to return this very important area back to the society of Heraklion. It will not take us 18 years, as it did at Elliniko, to develop the old airport.I cannot fail to mention the upgrading of the port. We still haven't seen what the port of Heraklion can offer.","Φίλες και φίλοι, προσπάθησα με λίγα λόγια να περιγράψω την προσπάθεια τεσσάρων χρόνων για να βάλουμε τα θεμέλια της νέας Ελλάδας που βλέπετε να χτίζεται γύρω μας. Και επέμεινα σε αυτό τον πολύ σύντομο απολογισμό για να καταδείξω τη μεγάλη σημασία μεταξύ των λόγων και των πράξεων, τι είναι αυτό το οποίο διακρίνει τελικά μία κυβέρνηση που διακρίνεται για τη συνέπειά της από μία άλλη κυβέρνηση η οποία έκανε τα ακριβώς ανάποδα από αυτά τα οποία έταζε.Βλέπουμε αυτή τη στιγμή όλη τη χώρα να έχει μετατραπεί σε ένα μεγάλο εργοτάξιο. Στην Αθήνα το Μετρό επεκτείνεται. Στη Θεσσαλονίκη -θα βρεθώ σε δύο ημέρες στην συμπρωτεύουσά μας- κάνω πράξη τη δέσμευσή μου. Μέχρι αρχές του 2024 η Θεσσαλονίκη θα έχει το πιο σύγχρονο Μετρό στην Ευρώπη. Το είπαμε και το κάναμε. Σημαντικούς δρόμους που κατασκευάζονται σε όλη τη χώρα αλλά και εδώ, βέβαια, το μεγάλο έργο ζωής για την Κρήτη μας. Ένα προσωπικό μου στοίχημα, τον Βόρειο Οδικό Άξονα, που επιτέλους ξεκινά. Οι μεγαλύτεροι θα θυμάστε να το διεκδικεί εδώ και πριν από δεκαετίες ο Κωνσταντίνος Μητσοτάκης. Λοιπόν, το όνειρο αυτό γίνεται πια χειροπιαστή πραγματικότητα για όλη την Κρήτη. Ο δρόμος άνοιξε για τον δρόμο που πάντα θέλαμε. Και σε λίγα χρόνια όλο μας το νησί θα ενωθεί, ώστε όλοι να κινούνται με ασφάλεια από τη μια άκρη του μέχρι την άλλη.Καθώς προσγειωνόμουν έβλεπα στο βάθος τα μεγάλα έργα τα οποία γίνονται στο νέο αεροδρόμιο στο Καστέλι. Το μεγαλύτερο ανοιχτό εργοτάξιο στη χώρα σήμερα. Παραπάνω από το 20% έχει ήδη ολοκληρωθεί. Θα παραδοθεί στην ώρα του αλλά θα προχωρήσουν και οι μελέτες για την αξιοποίηση του παλιού αεροδρομίου, του «Νίκος Καζαντζάκης». Θα είμαστε έτοιμοι τη στιγμή της μετεγκατάστασης ώστε να αποδώσουμε αυτή την πολύ σημαντική έκταση πίσω στην κοινωνία του Ηρακλείου. Δεν θα χρειαστούμε 18 χρόνια, όπως έγινε στο Ελληνικό, για να αξιοποιήσουμε το παλιό αεροδρόμιο.Δεν μπορώ να μην σταθώ στην αναβάθμιση του λιμανιού. Ακόμα δεν έχουμε δει τι μπορεί να προσφέρει το λιμάνι του Ηρακλείου.",political agenda,infrastructure,other,0.5,0.0,0.0,"[['constantine mitsotakis', 'person', '0.6'], ['crete', 'location', '0.9'], ['greece', 'country', '0.9'], ['heraklion', 'location', '0.8'], ['kastelli', 'location', '0.7'], ['metro', 'organization', '0.6'], ['nikos kazantzakis', 'person', '0.5'], ['thessaloniki', 'location', '0.8']]"
10,"But I want to say a few words about the interconnection with the Peloponnese, with the small and the big interconnection which will relieve us -Linoperamata, Atherinolakko, plants that burn polluting oil will be replaced by new energy production, by the sun and by the wind.I could mention the new wings in Venizelio that were delivered. The renovation of the University Hospital that is underway. The new courthouse in the city.The new student residences for our youth and for those who choose Crete as a study destination. Thousands of new student halls of residence will be built so that you will have access to very cheap accommodation.The GOP was again the big winner of the student elections and we thank our youth, ONNED and the GOP, who always set this nice tone at all our meetings.","Αλλά θέλω να πω δυο κουβέντες για τη διασύνδεση πια με την Πελοπόννησο, με την μικρή και την μεγάλη διασύνδεση η οποία θα μας απαλλάξει -Λινοπεράματα, Αθερινόλακκο, μονάδες που καίνε ρυπογόνο πετρέλαιο θα αντικατασταθούν πια από νέες παραγωγές ενέργειας, από τον ήλιο και από τον άνεμο.Θα μπορούσα να αναφερθώ στις νέες πτέρυγες στο Βενιζέλειο που παραδόθηκαν. Την ανακαίνιση του Πανεπιστημιακού Νοσοκομείου που δρομολογείται. Το νέο Δικαστικό Μέγαρο της πόλης.Τις νέες φοιτητικές εστίες για τη νεολαία μας αλλά και για όσους επιλέγουν την Κρήτη για προορισμό σπουδών. Χιλιάδες νέες φοιτητικές εστίες θα κατασκευαστούν ώστε να έχετε πρόσβαση σε πολύ φθηνή στέγη.Η ΔΑΠ ήταν πάλι η μεγάλη νικήτρια των φοιτητικών εκλογών και ευχαριστούμε τη νεολαία μας, την ΟΝΝΕΔ και την ΔΑΠ, που πάντα δίνουν αυτόν τον ωραίο τόνο σε όλες τις συγκεντρώσεις μας.",political agenda,infrastructure,wind energy,0.0,0.0,0.0,"[['linoperamata', 'location', '1.0'], ['atherinolakko', 'location', '1.0'], ['peloponnese', 'location', '1.0'], ['venizelio', 'organization', '1.0'], ['university hospital', 'organization', '1.0'], ['gop', 'political party', '1.0'], ['onned', 'organization', '1.0'], ['crete', 'location', '1.0']]"
