id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you for this impressive welcome. We have filled Zografou Square, we are sending the message here of a great victory. Next Sunday we will be the winners, friends, for a strong, self-reliant Greece.I am happy, friends, because my last presence in the basin before our big final rally in Thiseio on Friday evening is here in Zografou, in the largest constituency in the country, which will be painted blue on election night. Just as the whole of our country will be blue, friends, next Sunday, so that together we can send the message that this effort that we started four years ago must continue. That this truth agreement that we signed together four years ago must be renewed. And that the road we have set out on for our country is a road that must be a road of no return.","Σας ευχαριστώ γι’ αυτή την εντυπωσιακή υποδοχή. Γεμίσαμε την πλατεία Ζωγράφου, στέλνουμε το μήνυμα εδώ της μεγάλης νίκης. Την επόμενη Κυριακή θα είμαστε οι νικητές, φίλες και φίλοι, για μία Ελλάδα ισχυρή, αυτοδύναμη.Χαίρομαι, φίλες και φίλοι, γιατί η τελευταία μου παρουσία στο λεκανοπέδιο πριν την μεγάλη τελική μας συγκέντρωση στο Θησείο, την Παρασκευή το βράδυ, γίνεται εδώ στου Ζωγράφου, στη μεγαλύτερη εκλογική περιφέρεια της χώρας, η οποία θα βαφτεί γαλάζια το βράδυ των εκλογών. Όπως γαλάζια θα είναι, φίλες και φίλοι, όλη η πατρίδα μας την επόμενη Κυριακή, για να στείλουμε μαζί το μήνυμα ότι αυτή η προσπάθεια την οποία ξεκινήσαμε πριν από τέσσερα χρόνια πρέπει να συνεχιστεί. Ότι αυτή η συμφωνία αλήθειας την οποία υπογράψαμε μαζί πριν από τέσσερα χρόνια, πρέπει να ανανεωθεί. Και ότι ο δρόμος τον οποίον έχουμε χαράξει για την πατρίδα μας είναι ένας δρόμος που πρέπει να είναι δρόμος χωρίς επιστροφή.",political agenda,elections,other,0.9,0.1,0.2,"[['zografou square', 'location', '1.0'], ['greece', 'country', '1.0'], ['sunday', 'date', '1.0'], ['thiseio', 'location', '1.0']]"
2,"Because you know very well how many difficult things we have had to manage throughout these four years. I did not expect either when you trusted me and I sat in the office for the first time, in the Maximus building, that we would have to manage so many difficult, imported crises. From the pandemic to the migrant invasion, the war in Ukraine to the energy crisis, natural disasters; but, friends, we kept the country standing, society united and our country safe.","Διότι ξέρετε καλά πόσα δύσκολα χρειαστήκαμε να διαχειριστούμε όλη αυτήν την τετραετία. Ούτε εγώ περίμενα όταν με εμπιστευτήκατε και έκατσα για πρώτη φορά στο γραφείο, στο Μέγαρο Μαξίμου, ότι θα χρειαζόταν να διαχειριστούμε τόσες δύσκολες, εισαγόμενες κρίσεις. Από την πανδημία μέχρι τη μεταναστευτική εισβολή, τον πόλεμο στην Ουκρανία μέχρι την ενεργειακή κρίση, φυσικές καταστροφές.Όμως, φίλες και φίλοι, κρατήσαμε τη χώρα όρθια, την κοινωνία ενωμένη και την πατρίδα μας ασφαλή. ",political agenda,other,energy crisis,0.8,0,0,"[['maximus building', 'location', '0.6'], ['ukraine', 'country', '0.6'], ['pandemic', 'date', '0.6'], ['migrant invasion', 'group of people', '0.6'], ['energy crisis', 'date', '0.6']]"
3,"At the same time, we did not back down from implementing all our central election commitments.I was just rereading the speech I made in Thiseio before the 2019 elections. Remember a little bit back then what I had committed to. I told you that we would reduce taxes and contributions, and we reduced 50 taxes and contributions.I told you that I would make Greece a centre of investment, that we would bring in foreign investors, that we would create many new jobs, and we brought 300,000 new jobs into the Greek economy.I told you then that I would increase the minimum wage. Because all our fellow citizens, especially the low-paid, must have a share in growth. We took the minimum wage from 650 euros and raised it to 780 euros.I told you that we would correct the major weaknesses, the crime committed against pensioners by the Katrougalos law. And for the first time in 12 years, pensioners have seen increases in their pensions.And my commitment to continue to support all pensioners who are victims of the personal differential remains in full force. We will continue to support you until the personal differential is erased.","Ταυτόχρονα, δεν κάναμε πίσω από την υλοποίηση όλων των κεντρικών προεκλογικών μας δεσμεύσεων.Ξαναδιάβαζα λίγο την ομιλία την οποία είχα κάνει στο Θησείο πριν από τις εκλογές του 2019. Θυμηθείτε λίγο τότε σε τι είχα δεσμευθεί. Σας είχα πει ότι θα μειώσουμε φόρους και εισφορές και μειώσαμε 50 φόρους και εισφορές.Σας είχα πει, ότι θα κάνω την Ελλάδα κέντρο επενδύσεων, θα φέρουμε ξένους επενδυτές, θα δημιουργήσουμε πολλές νέες θέσεις εργασίας και φέραμε 300.000 νέες θέσεις εργασίας στην ελληνική οικονομία.Σας είχα πει τότε ότι θα αυξήσω τον κατώτατο μισθό. Γιατί πρέπει μερίδιο ανάπτυξης να έχουν όλοι οι συμπολίτες μας και ειδικά οι χαμηλόμισθοι. Πήραμε τον κατώτατο μισθό από τα 650 ευρώ και τον πήγαμε στα 780 ευρώ.Σας είχα πει ότι θα διορθώσουμε τις μεγάλες αδυναμίες, το έγκλημα το οποίο έγινε εις βάρος των συνταξιούχων από το νόμο Κατρούγκαλου. Και για πρώτη φορά μετά από 12 χρόνια οι συνταξιούχοι είδαν αυξήσεις στις συντάξεις τους.Και η δέσμευσή μου να εξακολουθώ να στηρίζω όλους τους συνταξιούχους που είναι θύμα της προσωπικής διαφοράς ισχύει στο ακέραιο. Θα εξακολουθούμε να σας στηρίζουμε, έως ότου η προσωπική διαφορά σβήσει.",political agenda,employment,tax cuts,0.9,0,0,"[['thiseio', 'location', '0.7'], ['2019 elections', 'date', '0.8'], ['greece', 'country', '0.6'], ['300', '000', 'group of people', '0.5'], ['650 euros', 'group of people', '0.4'], ['780 euros', 'group of people', '0.4'], ['katrougalos law', 'organization', '0.5']]"
4,"I also told you that I would protect the borders of our country, because our country has borders on land, in the air and in the sea, and I would stop our country from being a transit centre. Today, our country is a country that has borders, which it guards, and migration flows have been reduced by 90%.Finally, I told you that we will protect and defend our sovereignty and our sovereign rights. We are investing in our Armed Forces. The flag of Greece is flying high, the opinion of Greece and its voice is being heard, from Brussels to the US Congress.  We are, today, a stronger country, a country that is recognised by all as a factor of geopolitical stability in this uncertain neighbourhood in which we live.","Σας είχα πει, επίσης, ότι θα προφυλάξω τα σύνορα της πατρίδας μας, γιατί η πατρίδα έχει σύνορα και στην ξηρά και στον αέρα και στη θάλασσα, και θα σταματήσει η χώρα μας να είναι κέντρο διερχομένων. Σήμερα, η πατρίδα μας είναι μια πατρίδα η οποία έχει σύνορα τα οποία φυλάσσει και οι μεταναστευτικές ροές έχουν μειωθεί κατά 90%.Σας είχα πει, τέλος, ότι θα περιφρουρήσουμε και θα υπερασπιστούμε την κυριαρχία και τα κυριαρχικά μας δικαιώματα. Επενδύουμε στις Ένοπλες Δυνάμεις μας. Η σημαία της Ελλάδος κυματίζει ψηλά, η γνώμη της Ελλάδος και η φωνή της ακούγεται, από τις Βρυξέλλες μέχρι το αμερικανικό Κογκρέσο.  Είμαστε, σήμερα, μια χώρα πιο ισχυρή, μια χώρα η οποία αναγνωρίζεται από όλους ως παράγοντας γεωπολιτικής σταθερότητας σε αυτή την αβέβαιη γειτονιά στην οποία ζούμε.",political agenda,national security,other,0.75,0,0,"[['greece', 'country', '1.0'], ['brussels', 'location', '1.0'], ['us congress', 'group of people', '0.8'], ['armed forces', 'organization', '0.8']]"
5,"Since I am talking about geopolitical developments, I cannot fail to mention the fact that the next elections will not only concern the economy, wages, incomes, health care. I don't want to make any comment on the Turkish elections, because we will wait for the results in the second round. But you should know that we were the ones who managed an aggressive Turkey, we invested in our armed forces, we built alliances, we were able to make the Greece-Turkey issues European issues. And this policy must continue in the coming day. I hope things with Turkey will get better, I am the first to want that. But in any case the country must be ready for any eventuality. And know one thing: backtracking on issues concerning our national sovereignty and sovereign rights is not going to be done by this government. Not from New Democracy.I was particularly pleased to learn that in Himarra, Freddy Beleris managed to be elected Mayor by a narrow margin. And I hope and hope that this adventure will end quickly, because I want to repeat from here: Albania's road to Europe passes through respect for the rights of the Greek National Minority.","Μιας και μιλώ για τις γεωπολιτικές εξελίξεις, δεν μπορώ να μην κάνω μία αναφορά στο γεγονός ότι οι επόμενες εκλογές δεν θα αφορούν μόνο την οικονομία, τους μισθούς, τα εισοδήματα, την υγεία. Θα αφορούν και την εξωτερική πολιτική.Δεν θέλω να κάνω κανένα σχόλιο για τις τουρκικές εκλογές, γιατί θα αναμένουμε τα αποτελέσματα στο δεύτερο γύρο. Πρέπει να γνωρίζετε όμως ότι εμείς ήμασταν αυτοί που διαχειριστήκαμε μια επιθετική Τουρκία, εμείς επενδύσαμε στις Ένοπλες Δυνάμεις μας, εμείς χτίσαμε συμμαχίες, εμείς μπορέσαμε και κάναμε ευρωπαϊκά ζητήματα τα ζητήματα Ελλάδος - Τουρκίας. Και αυτή η πολιτική πρέπει να συνεχιστεί την επόμενη μέρα. Μακάρι τα πράγματα με την Τουρκία να πάνε καλύτερα, είμαι ο πρώτος που το θέλει. Αλλά πρέπει σε κάθε περίπτωση η πατρίδα να είναι έτοιμη για κάθε ενδεχόμενο. Και να γνωρίζετε ένα πράγμα: οπισθοχωρήσεις από ζητήματα που αφορούν την εθνική κυριαρχία και τα κυριαρχικά μας δικαιώματα δεν πρόκειται να γίνουν από αυτή την κυβέρνηση. Όχι από τη Νέα Δημοκρατία.Χάρηκα ιδιαίτερα μόλις πληροφορήθηκα ότι στη Χειμάρρα ο Φρέντι Μπελέρης κατάφερε και εξελέγη Δήμαρχος με μικρή διαφορά. Και εύχομαι και ελπίζω γρήγορα αυτή η περιπέτεια να τελειώσει, διότι θέλω να επαναλάβω και από εδώ: ο δρόμος της Αλβανίας προς την Ευρώπη περνά μέσα από το σεβασμό των δικαιωμάτων της Ελληνικής Εθνικής Μειονότητας.",political agenda,external affairs,other,0,0,0,"[['turkey', 'country', '0.9'], ['greece', 'country', '0.9'], ['european', 'location', '0.8'], ['himarra', 'location', '0.8'], ['freddy beleris', 'person', '0.7'], ['albania', 'country', '0.9'], ['greek national minority', 'group of people', 'political party', '0.7'], ['new democracy', 'political party', '0.8']]"
6,"So, friends, six days left until the elections. And I want us to use these few remaining days to talk about the future, not the past. Not to get caught up - and this is also an encouragement to our deserving cadres, we have an excellent slate here in the South Ward, an excellent slate - the encouragement to our cadres is not to get caught up in unnecessary confrontations with our party opponents; they only talk about the past. They present the image of a black Greece, which quite simply exists only in their own imaginary world. They cannot talk about the future, because they have nothing to tell you about the Greece of the future. And they are ashamed to talk about their own past, because everyone remembers the lies they told in 2015 and how they deceived the Greek people.","Μείνανε, λοιπόν, φίλες και φίλοι, έξι μέρες μέχρι τις εκλογές. Και θέλω να αξιοποιήσουμε αυτές τις λίγες μέρες που έμειναν, να μιλήσουμε για το μέλλον, όχι για το παρελθόν. Να μην αναλωθούμε -και αυτή είναι και μια παρότρυνση και προς τα άξια στελέχη μας, έχουμε ένα εξαιρετικό ψηφοδέλτιο εδώ στον Νότιο Τομέα, εξαιρετικό ψηφοδέλτιο- η παρότρυνση και προς τα στελέχη μας, είναι να μην αναλωθούμε σε αχρείαστες αντεγκλήσεις με τους κομματικούς μας αντιπάλους.Αυτοί μιλούν μόνο για το παρελθόν. Αυτοί παρουσιάζουν την εικόνα μιας Ελλάδας μαύρης, η οποία πολύ απλά υπάρχει μόνο στο δικό τους φαντασιακό κόσμο. Δεν μπορούν να μιλήσουν για το μέλλον, γιατί δεν έχουν τίποτα να σας πουν για την Ελλάδα του μέλλοντος. Και ντρέπονται να μιλήσουν για το δικό τους παρελθόν, επειδή όλοι θυμούνται τα ψέματα τα οποία έλεγαν το 2015 και πώς εξαπάτησαν τον ελληνικό λαό.",criticism,elections,other,-0.7,0.6,0,"[['friends', 'group of people', '0.7'], ['elections', 'date', '0.9'], ['future', 'date', '0.7'], ['past', 'date', '0.5'], ['cadres', 'group of people', '0.8'], ['slate', 'organization', '0.8'], ['south ward', 'location', '0.8'], ['party', 'political party', '0.7'], ['greece', 'country', '0.8'], ['2015', 'date', '0.8'], ['greek people', 'group of people', '0.7']]"
7,"But we want to talk about the future, because we have a plan for Greece for the next four years, how to improve wages, how to bring the minimum wage to 950 euros and the average wage to 1,500 euros. How we will continue on a path that will attract investment, how we will create more jobs, how we can really catch up with Europe and become Europe everywhere. The New Democracy party, the party of Constantine Karamanlis, is the party that put Greece in Europe. Our party was the party that in 2015, when some people were experimenting and brought the country to the edge of the cliff, our party was the party that kept Greece in Europe.","Εμείς, όμως, θέλουμε να μιλήσουμε για το μέλλον, γιατί εμείς έχουμε σχέδιο για την Ελλάδα της επόμενης τετραετίας, για το πώς θα βελτιώσουμε τους μισθούς, το πώς θα πάμε τον κατώτατο μισθό στα 950 ευρώ και το μέσο μισθό στα 1.500 ευρώ. Πώς θα συνεχίσουμε μια πορεία που θα προσελκύουμε επενδύσεις, πώς θα δημιουργήσουμε παραπάνω θέσεις εργασίας, πώς θα μπορέσουμε πραγματικά να συγκλίνουμε με την Ευρώπη και να γίνουμε Ευρώπη παντού. Η παράταξη της Νέας Δημοκρατίας, η παράταξη του Κωνσταντίνου Καραμανλή, είναι το κόμμα που έβαλε την Ελλάδα στην Ευρώπη. Η δική μας παράταξη ήταν το κόμμα που το 2015, όταν κάποιοι πειραματίζονταν και έφτασαν τη χώρα στο χείλος του γκρεμού, η δική μας η παράταξη κράτησε την Ελλάδα στην Ευρώπη.",political agenda,economy,other,0.5,0,0,"[['constantine karamanlis', 'person', '1.0'], ['new democracy party', 'political party', '1.0'], ['greece', 'country', '1.0'], ['europe', 'location', '1.0'], ['2015', 'date', '1.0']]"
8,"Our party will be the one that will make Greece Europe everywhere, in all sectors, in the economy, in health, which I know how much you care about. You should know that the next four years will be the four years of the radical overhaul of the National Health System. It is my personal bet that we will invest in our hospitals, that we will fill the gaps, that we will recruit 10,000 nurses and doctors in the next four years.","Η δική μας παράταξη θα είναι αυτή που θα κάνει την Ελλάδα Ευρώπη παντού, σε όλους τους τομείς, στην οικονομία, στην υγεία, που ξέρω πόσο πολύ σας ενδιαφέρει. Να ξέρετε ότι η επόμενη τετραετία θα είναι η τετραετία  της ριζικής αναμόρφωσης του Εθνικού Συστήματος Υγείας. Είναι προσωπικό μου στοίχημα να επενδύσουμε στα νοσοκομεία μας, να καλύψουμε τα κενά, να κάνουμε 10.000 προσλήψεις, νοσηλευτών πρωτίστως και γιατρών, την επόμενη τετραετία.",political agenda,health,public health system,0.6,0,0,"[['greece', 'location', '1.0'], ['europe', 'location', '1.0'], ['national health system', 'organization', '1.0'], ['10', '000 nurses and doctors', 'group of people', '1.0'], ['four years', 'date', '1.0']]"
9,"We will use the important resources of the Recovery Fund for many different actions. And since the Mayor has remembered here-and rightly so-that local government has never had more resources than it has had from this government, and I say that because those resources, lest we forget, were secured by someone and some government. In 2020, in the midst of the pandemic, I went to Brussels, I did not negotiate for 17 hours, I negotiated for five days and I brought back home €31 billion.","Θα αξιοποιήσουμε τους σημαντικούς πόρους του Ταμείου Ανάκαμψης για πολλές διαφορετικές δράσεις. Και μιας και ο Δήμαρχος θυμήθηκε εδώ -και καλά έκανε- ότι ποτέ η Τοπική Αυτοδιοίκηση δεν είχε περισσότερους πόρους από ό,τι είχε από αυτή την κυβέρνηση.Το λέω αυτό διότι αυτούς τους πόρους, για να μην ξεχνιόμαστε, κάποιος και κάποια κυβέρνηση τους εξασφάλισε. Το 2020, εν μέσω της πανδημίας, πήγα στις Βρυξέλλες, δεν διαπραγματεύτηκα 17 ώρες, διαπραγματεύτηκα πέντε μέρες και έφερα πίσω στην πατρίδα 31 δισεκατομμύρια ευρώ.",political agenda,economy,european recovery fund,0.7,0,0,"[['recovery fund', 'organization', '0.5'], ['mayor', 'person', '1.0'], ['local government', 'group of people', '0.7'], ['government', 'organization', '0.5'], ['brussels', 'location', '1.0'], ['2020', 'date', '1.0']]"
10,"And when this square comes back, think that this is European money that someone brought back to the country. And when we rebuild the emergency departments in our hospitals again you will know that this is European money.When our schools within a year, all our schools, all the schools, all the grades from grade 5 on up, will have interactive whiteboards, remember that these are Recovery Fund resources.When our disabled fellow citizens will have a Personal Assistant for the first time, 2,000 disabled fellow citizens, remember these are also European resources that our own government was able to claim, to finally put them to work for the benefit of all.","Και όταν αυτή η πλατεία ξαναγίνει, να σκέφτεστε ότι αυτά είναι χρήματα ευρωπαϊκά τα οποία κάποιος τα έφερε πίσω στη χώρα. Και όταν θα ξαναφτιάξουμε τα τμήματα επειγόντων περιστατικών στα νοσοκομεία μας πάλι θα γνωρίζετε, ότι αυτά είναι ευρωπαϊκά χρήματα.Όταν τα σχολεία μας μέσα σε ένα χρόνο, όλα τα σχολεία, όλες οι τάξεις από την Ε’ Δημοτικού και πάνω, θα έχουν διαδραστικούς πίνακες, να θυμάστε ότι αυτοί είναι πόροι του Ταμείου Ανάκαμψης.Όταν οι ανάπηροι συμπολίτες μας θα έχουν Προσωπικό Βοηθό για πρώτη φορά, 2.000 ανάπηροι συμπολίτες μας, να θυμάστε και αυτοί είναι ευρωπαϊκοί πόροι τους οποίους η δική μας η κυβέρνηση μπόρεσε και τους διεκδίκησε, για να τους βάλει τελικά να δουλέψουν προς όφελος όλων.",political agenda,social state,other,0.8,0.1,0.2,"[['european', 'location', '1.0'], ['recovery fund', 'organization', '1.0'], ['personal assistant', 'person', '0.5'], ['grade 5', 'date', '0.9'], ['2', '000 disabled fellow citizens', 'group of people', '0.8']]"
