id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Piraeus sends a message of victory and on Sunday we will celebrate the great victory of New Democracy and the victory of Olympiacos in the basketball Final Four.I am very touched by you, friends. It is truly spectacular to receive you today in Piraeus. Just four days before the elections, we are sending the same message from every corner of Greece: Greece will be blue, Piraeus will be blue, Piraeus II will be blue, Piraeus V will be blue, not only Piraeus I.To send together the message of continuing the great effort that we all started together, friends, in July 2019, when we signed the truth agreement, which we have fully respected.","Ο Πειραιάς στέλνει μήνυμα νίκης και την Κυριακή θα γιορτάσουμε τη μεγάλη νίκη της Νέας Δημοκρατίας και τη νίκη του Ολυμπιακού στο Final Four του μπάσκετ.Με συγκινείτε πάρα πολύ, φίλες και φίλοι. Είναι πραγματικά θεαματική η υποδοχή σας σήμερα στον Πειραιά. Μόλις τέσσερις μέρες πριν από τις εκλογές στέλνουμε από άκρη σε άκρη, όλη η Ελλάδα, το ίδιο μήνυμα: η Ελλάδα θα είναι γαλάζια, ο Πειραιάς θα είναι γαλάζιος, η Β΄ Πειραιά θα είναι γαλάζια, όχι μόνο η Α΄ Πειραιά.Για να στείλουμε μαζί το μήνυμα της συνέχισης της μεγάλης προσπάθειας που όλοι μαζί ξεκινήσαμε, φίλες και φίλοι, τον Ιούλιο του 2019, όταν υπογράψαμε τη συμφωνία αλήθειας την οποία τηρήσαμε στο ακέραιο.",political agenda,elections,other,0.6,0.0,0.0,"[['piraeus', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['olympiacos', 'organization', '1.0'], ['greece', 'country', '1.0'], ['july 2019', 'date', '1.0']]"
2,"Today, despite the difficulties, Greece is a better country. And yes, Piraeus is also a much better city, with a functioning Metro, with important development projects.I visited the Piraeus Tower a while ago and perhaps this is the best picture of Greece that is changing. It had been a 'carcass' for twenty years, it is being transformed into a modern building with 300 employees, with new jobs, with better wages. And as the whole of Piraeus changes, so does our country.","Σήμερα, παρά τις δυσκολίες, η Ελλάδα είναι μία καλύτερη χώρα. Και ναι, και ο Πειραιάς είναι μία πολύ καλύτερη πόλη, με Μετρό το οποίο λειτουργεί, με σημαντικά αναπτυξιακά έργα.Επισκέφθηκα πριν από λίγο τον Πύργο του Πειραιά και ίσως αυτή είναι η καλύτερη εικόνα της Ελλάδος που αλλάζει. Είχε μείνει είκοσι χρόνια «κουφάρι», μετατρέπεται σε ένα σύγχρονο κτίριο με 300 εργαζόμενους, με νέες θέσεις εργασίας, με καλύτερους μισθούς. Κι έτσι όπως αλλάζει όλος ο Πειραιάς αλλάζει και όλη η πατρίδα μας.",political agenda,infrastructure,other,0.75,0.0,0.0,"[['1. greece', 'country', '1.0'], ['2. piraeus', 'location', '1.0'], ['3. metro', 'organization', '0.5'], ['4. piraeus tower', 'organization', '0.6'], ['5. piraeus employees', 'group of people', '0.4']]"
3,"One message I want to convey to you today, here in Piraeus, is that this effort must continue. And it will only continue with a strong New Democracy, the winner of the elections on Sunday.Because indeed, friends, we have gone through ""forty waves"" during these four years. You know better than anyone how many difficulties we have had to deal with.","Ένα μήνυμα το οποίο θέλω να σας μεταφέρω σήμερα, εδώ, από τον Πειραιά, είναι ότι αυτή η προσπάθεια πρέπει να συνεχιστεί. Και θα συνεχιστεί μόνο με ισχυρή Νέα Δημοκρατία, νικήτρια στις εκλογές της Κυριακής που μας έρχεται.Γιατί πράγματι, φίλες και φίλοι, περάσαμε από «σαράντα κύματα» αυτά τα τέσσερα χρόνια. Ξέρετε καλύτερα πόσες δυσκολίες κληθήκαμε να διαχειριστούμε. ",political agenda,elections,election spending,0.25,0.0,0.0,"[['piraeus', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['sunday', 'date', '1.0']]"
4,"But I am proud that in all the difficulties the state has stood by society and by the most vulnerable.You can see here today, in Piraeus, a market that has been reinvigorated. All this is happening because in the years of the pandemic we supported workers and businesses. In the years of the energy crisis we supported the electricity bills and we have always stood by our most vulnerable fellow citizens.Do you know why? Because we are the great people's party of the country. The party that does not talk about progress in theory, but speaks in practice.","Όμως είμαι υπερήφανος ότι σε όλες τις δυσκολίες το κράτος ήταν δίπλα στην κοινωνία και δίπλα στους πιο ευάλωτους.Βλέπετε σήμερα εδώ, στον Πειραιά, μία αγορά η οποία έχει αναθαρρύσει. Όλα αυτά συμβαίνουν επειδή τα χρόνια της πανδημίας στηρίξαμε εργαζόμενους και επιχειρήσεις. Τα χρόνια της ενεργειακής κρίσης στηρίξαμε τους λογαριασμούς του ρεύματος και σταθήκαμε πάντα δίπλα στους πιο αδύναμους συμπολίτες μας.Ξέρετε γιατί; Γιατί εμείς είμαστε η μεγάλη λαϊκή παράταξη της χώρας. Η παράταξη η οποία δε μιλάει για την πρόοδο θεωρητικά, αλλά μιλάει στην πράξη.",political agenda,economy,other,0.7,0.0,0.2,"[['piraeus', 'location', '1.0'], ['the pandemic', 'date', '0.9'], ['the energy crisis', 'date', '0.9'], [""the great people's party of the country"", 'political party', '1.0']]"
5,"A while ago I saw a good friend of mine here, I had met him for the first time homeless in Piraeus. And today he has found a home through a program that this government has created, a work and housing program for our most vulnerable citizens.","Πριν από λίγο είδα εδώ έναν καλό μου φίλο, τον είχα συναντήσει για πρώτη φορά άστεγο στον Πειραιά. Και σήμερα έχει βρει σπίτι από πρόγραμμα το οποίο έφτιαξε αυτή η κυβέρνηση, πρόγραμμα εργασίας και στέγασης για τους πιο ευάλωτους συμπολίτες μας.",political agenda,housing,other,1.0,0.0,0.0,"[['1. piraeus', 'location', '1.0'], ['2. government', 'organization', '1.0']]"
6,"We have supported the defenders of labour. A friend said to me, ""Tell me what you're going to do with the Katrougal personal difference"". I said to him, ""Send the bill for the Katrougalos law to Mr Tsipras and Mr Katrougalos.We are the ones who raised pensions for the first time, and I pledge here, from Piraeus, for those pensioners who did not see an increase because of the personal difference, we will continue to support you until the personal difference is finally erased.","Στηρίξαμε τους απόμαχους της εργασίας. Ένας φίλος μου είπε, «πες μου τι θα κάνεις με την προσωπική διαφορά Κατρούγκαλου». Του λέω τον λογαριασμό για το νόμο Κατρούγκαλου να τον στείλετε στον κ. Τσίπρα και στον κύριο Κατρούγκαλο.Εμείς είμαστε αυτοί που αυξήσαμε για πρώτη φορά τις συντάξεις και δεσμεύομαι και εδώ, από τον Πειραιά, για όσους συνταξιούχους δεν είδαν αυξήσεις λόγω της προσωπικής διαφοράς, θα εξακολουθούμε να σας στηρίζουμε έως ότου η προσωπική διαφορά σβήσει οριστικά.",criticism,pensioners,pensions,0.7,0.1,0.0,"[['mr tsipras', 'person', '0.7', 'mr katrougalos', 'person', '0.7', 'piraeus', 'location', '0.7', 'defenders of labour', 'group of people', '0.7', 'katrougalos law', 'organization', '0.7', 'pensioners', 'group of people', '0.'], ['']]"
7,"So I would like to ask you, friends, to continue to encourage this great effort that we have started, this blue wave that is now swelling across the country, to continue to encourage it until the last day of the elections.There are five days left until the elections, we will have to do a good finish, we are good marathon runners but we are also good sprinters. Because I want there to be no doubt on the evening of May 21 about the will of the Greek people, about who they will put the responsibility for governing on: on New Democracy, our great party.","Θέλω λοιπόν, φίλες και φίλοι, να σας ζητήσω αυτή τη μεγάλη προσπάθεια την οποία έχουμε ξεκινήσει, αυτό το κύμα το γαλάζιο το οποίο πια φουσκώνει σε όλη την επικράτεια, να συνεχίσουμε να το ενθαρρύνουμε μέχρι την τελευταία μέρα των εκλογών.Έχουν μείνει πέντε μέρες μέχρι τις εκλογές, θα χρειαστεί να κάνουμε γερό φίνις, είμαστε καλοί μαραθωνοδρόμοι αλλά είμαστε και καλοί στο σπριντ. Γιατί θέλω το βράδυ της 21ης Μαΐου να μην υπάρχει καμία αμφιβολία για τη βούληση του ελληνικού λαού, σε ποιον θα εναποθέσουν την ευθύνη της διακυβέρνησης: στη Νέα Δημοκρατία, στη μεγάλη μας παράταξη.",political agenda,elections,other,0.61,0.2,0.0,"[['new democracy', 'political party', '1.0'], ['greek', 'country', '1.0'], ['may 21', 'date', '1.0']]"
8,"So that we can continue on this path of progress, to continue to create jobs, to increase wages, to attract investment, to turn Piraeus into a real growth engine. Continue to support our National Health System, our Education.","Για να μπορούμε να συνεχίσουμε αυτή την πορεία προόδου, να συνεχίσουμε να δημιουργούμε θέσεις εργασίας, να αυξάνουμε τους μισθούς, να προσελκύουμε επενδύσεις, να μετατρέπουμε τον Πειραιά σε πραγματική αναπτυξιακή ατμομηχανή. Να συνεχίσουμε να στηρίζουμε το Εθνικό Σύστημα Υγείας, την Παιδεία μας.",political agenda,economy,investments,0.6,0.0,0.0,"[['piraeus', 'location', '1.0'], ['national health system', 'organization', '1.0'], ['education', 'organization', '1.0']]"
9,"Today I visited a school in Piraeus and saw the first interactive whiteboards which are being installed in every Greek public school classroom from the 5th grade to the 3rd grade. Money from the Recovery Fund. A true revolution in education. You should see the smiles of the children and the smiles of the teachers and the teachers.In fact, a teacher came to see me at school and said: ""fortunately, the New Democracy government had to come in so that I could be permanently appointed in education"". We made 25,000 appointments, and all these teachers who were going from island to island, substitutes with complete job insecurity, now know that they have a stable position so that they can serve their profession.","Σήμερα επισκέφτηκα ένα σχολείο του Πειραιά και είδα τους πρώτους διαδραστικούς πίνακες οι οποίοι μπαίνουν σε κάθε ελληνική τάξη δημόσιου σχολείου από την Ε΄ Δημοτικού μέχρι την Γ΄ Λυκείου. Χρήματα του Ταμείου Ανάκαμψης. Μία πραγματική επανάσταση στην εκπαίδευση. Πρέπει να δείτε τα χαμόγελα των παιδιών και τα χαμόγελα των δασκάλων και των εκπαιδευτικών.Ήρθε και με βρήκε, μάλιστα, στο σχολείο και ένας εκπαιδευτικός και μου είπε: «ευτυχώς, έπρεπε να έρθει η κυβέρνηση της Νέας Δημοκρατίας για να διοριστώ μόνιμα στην εκπαίδευση». Κάναμε 25.000 διορισμούς, και όλοι αυτοί οι εκπαιδευτικοί που πήγαιναν από νησί σε νησί, αναπληρωτές με πλήρη εργασιακή αβεβαιότητα, τώρα πια γνωρίζουν ότι έχουν μια σταθερή θέση για να μπορούν να υπηρετούν το λειτούργημά τους.",political agenda,education,higher education,0.7,0.0,0.0,"[['piraeus', 'location', '1.0'], ['greek public school', 'organization', '1.0'], ['recovery fund', 'organization', '1.0'], ['new democracy government', 'political party', '1.0'], ['25', '000', 'date', '1.0']]"
10,"And of course, friends, I would also like to say a few words about the difficult geopolitical environment in which we find ourselves today, and why the elections that are coming up are of enormous importance not only for the economy, for health, for education, for pensions, but also of enormous importance for what will happen on the foreign policy front.I personally know very well how difficult it has been to manage Turkey over these four years. But we are the ones who kept the country strong, who invested in the Armed Forces, who built alliances from the Gulf to the Far East and from Europe to Congress. Yes, it was a great honor that I was able to speak in the United States Congress and that the voice of Greece was heard in the capital of the superpower.","Και βέβαια, φίλες και φίλοι, να πω και δυο κουβέντες για το δύσκολο γεωπολιτικό περιβάλλον στο οποίο βρισκόμαστε σήμερα, και γιατί οι εκλογές οι οποίες έρχονται έχουν τεράστια σημασία όχι μόνο για την οικονομία, για την υγεία, για την παιδεία, για τις συντάξεις, αλλά έχουν τεράστια σημασία και για το τι θα γίνει στο μέτωπο της εξωτερικής πολιτικής.Προσωπικά ξέρω πολύ καλά πόσο δύσκολη ήταν η διαχείριση της Τουρκίας αυτά τα τέσσερα χρόνια. Εμείς, όμως, είμαστε αυτοί που κρατήσαμε τη χώρα ισχυρή, που επενδύσαμε στις Ένοπλες Δυνάμεις, που χτίσαμε συμμαχίες από τον Κόλπο μέχρι την Άπω Ανατολή και από την Ευρώπη μέχρι το Κογκρέσο. Ναι, ήταν μεγάλη τιμή, ότι μπόρεσα και μίλησα στο Κογκρέσο των ΗΠΑ και ακούστηκε η φωνή της Ελλάδος στην πρωτεύουσα της υπερδύναμης.",political agenda,external affairs,other,0.5,0.0,0.0,"[['friends', 'group of people', '0.8'], ['geopolitical environment', 'organization', '0.6'], ['elections', 'date', '0.7'], ['economy', 'organization', '0.5'], ['health', 'organization', '0.4'], ['education', 'organization', '0.4'], ['pensions', 'organization', '0.4'], ['foreign policy', 'organization', '0.5'], ['turkey', 'location', '0.8'], ['armed forces', 'organization', '0.6'], ['gulf', 'location', '0.6'], ['far east', 'location', '0.5'], ['europe', 'location', '0.5'], ['congress', 'political party', '0.6'], ['united states congress', 'organization', '0.6'], ['greece', 'country', '0.8']]"
