id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you, thank you for this very beautiful, very warm welcome. You know, it is always my luck to end my election tours with a passage through Central Macedonia and especially through Pella, and because you were lucky last time, we will be the big winners on Sunday night, friends. So that we can continue on this path of recovery that we started four years ago when I asked you to sign a truth agreement.","Σας ευχαριστώ, σας ευχαριστώ για αυτή την πολύ όμορφη, την πολύ ζεστή υποδοχή. Ξέρετε, το έχω γούρι πάντα να τελειώνω τις προεκλογικές μου περιοδείες με ένα πέρασμα από την Κεντρική Μακεδονία και ειδικά από την Πέλλα.Και επειδή την προηγούμενη φορά ήσασταν γουρλήδες, έτσι και τώρα, το βράδυ της Κυριακής, εμείς θα είμαστε, φίλες και φίλοι, οι μεγάλοι νικητές. Για να μπορέσουμε να συνεχίσουμε αυτή την πορεία ανόρθωσης της χώρας την οποία ξεκινήσαμε πριν από τέσσερα χρόνια, όταν σας ζήτησα να υπογράψουμε μία συμφωνία αλήθειας.",political agenda,elections,programmatic agreement,0.6,0.0,0,"[['central macedonia', 'location', '0.8'], ['pella', 'location', '0.7'], ['sunday night', 'date', '0.5']]"
2,"We have honoured this truth agreement to the full. We implemented all our central pre-election commitments and at the same time we managed a series of unprecedented crises that would have tested any government.From the migrant invasion in Evros and the pandemic, to the war in Ukraine, to the international ""explosion"" of poverty, we managed to keep society on its feet and supported the world of work, our farmers.","Αυτή τη συμφωνία αλήθειας εμείς την τιμήσαμε και με το παραπάνω. Υλοποιήσαμε όλες τις κεντρικές μας προεκλογικές δεσμεύσεις και ταυτόχρονα διαχειριστήκαμε μία σειρά από πρωτοφανείς κρίσεις οι οποίες θα δοκίμαζαν οποιαδήποτε κυβέρνηση.Από τη μεταναστευτική εισβολή στον Έβρο και την πανδημία, μέχρι τον πόλεμο στην Ουκρανία, τη διεθνή «έκρηξη» ακρίβειας, καταφέραμε και κρατήσαμε όρθια την κοινωνία και στηρίξαμε τον κόσμο της εργασίας, τους αγρότες μας. ",political agenda,elections,evros fence,,0.0,0,"[['evros', 'location', '1.0'], ['ukraine', 'country', '1.0']]"
3,"I was looking, as I was coming, at the statistics of the financial aid we gave to the primary sector here, for Pella, for neighbouring Imathia. More than EUR 300 million was given to your two prefectures, to your two regional units, to support the primary sector. I am including natural disasters.And you know that we are making sure that we disburse money right up to the last minute so that we can support our producers, because we want a healthy, dynamic, outward-looking primary sector.I would like to remind you that last year we set a record for exports in the primary sector, more than 8 billion euros. We can produce competitive products and give our farmers and livestock farmers the prices they deserve, so that they too can look forward to a better future. It is a commitment that this policy will continue, ladies and gentlemen, in the next four years.","Έβλεπα, καθώς ερχόμουν, τα στατιστικά στοιχεία των οικονομικών ενισχύσεων που δώσαμε στον πρωτογενή τομέα εδώ, για την Πέλλα, για τη γειτονική Ημαθία. Παραπάνω από 300 εκατομμύρια ευρώ δόθηκαν στους δύο νομούς σας, στις δύο Περιφερειακές Ενότητες, για να στηρίξουμε τον πρωτογενή τομέα. Συμπεριλαμβάνω και τις φυσικές καταστροφές.Και ξέρετε ότι μέχρι τελευταία στιγμή φροντίζουμε να εκταμιεύουμε χρήματα για να μπορούμε να στηρίξουμε τους παραγωγούς μας, γιατί θέλουμε έναν πρωτογενή τομέα υγιή, δυναμικό, εξωστρεφή.Θέλω να θυμίσω ότι πέρυσι κάναμε ρεκόρ εξαγωγών στον πρωτογενή τομέα, παραπάνω από 8 δισεκατομμύρια ευρώ. Μπορούμε να παράγουμε ανταγωνιστικά προϊόντα και να έχουν οι αγρότες μας, οι κτηνοτρόφοι μας τις τιμές που τους αξίζουν, για να μπορούν να προσβλέπουν και αυτοί σε ένα καλύτερο μέλλον. Είναι δέσμευση ότι αυτή η πολιτική θα συνεχιστεί, φίλες και φίλοι, και την επόμενη τετραετία.",political agenda,agriciltural policy,other,0.8007,0.0,0,"[['pella', 'location', '1.0'], ['imathia', 'location', '1.0'], ['eur', 'organization', '0.9'], ['last year', 'date', '1.0'], ['four years', 'date', '1.0']]"
4,"So we have achieved a lot in four years, as I said, in the midst of unprecedented difficulties. We have not only shielded the economy and society, but we have also kept the country safe, and I attach great importance to this, because the coming elections are not only elections for the economy, for health, for education. They are also elections to ensure that Greece continues to be a strong power in our region. These elections are of interest to all those who want Greece to guard its borders and not to be a ""closed vineyard"".These elections are of interest to all those who want us to continue to support the Greek Armed Forces and to safeguard our national sovereignty and our national independence.","Πετύχαμε, λοιπόν, πολλά μέσα σε τέσσερα χρόνια, όπως σας είπα εν μέσω πρωτοφανών δυσκολιών. Δεν θωρακίσαμε μόνο την οικονομία και την κοινωνία, αλλά κρατήσαμε και τη χώρα ασφαλή.Σε αυτό αποδίδω εξαιρετικά μεγάλη σημασία, καθώς οι εκλογές που έρχονται δεν είναι μόνο εκλογές για την οικονομία, για την υγεία, για την παιδεία. Είναι εκλογές και για να διασφαλίσουμε ότι η Ελλάδα θα εξακολουθεί να είναι μία ισχυρή δύναμη στην περιφέρειά μας. Οι εκλογές αφορούν όλους όσοι θέλουν η Ελλάδα να φυλάει τα σύνορά της και να μην είναι «ξέφραγο αμπέλι».Οι εκλογές αυτές ενδιαφέρουν όλους όσοι θέλουν να εξακολουθούμε να στηρίζουμε τις ελληνικές Ένοπλες Δυνάμεις και να διασφαλίσουμε την εθνική μας κυριαρχία και την εθνική μας ανεξαρτησία.",political agenda,national security,borders,0.5,0.0,0,"[['greece', 'country', '1.0'], ['elections', 'date', '1.0'], ['greece armed forces', 'organization', '0.8'], ['national sovereignty', 'organization', '0.6']]"
5,"And of course, these elections are for all those who want this recovery of the Greek economy to be able to continue, so that we can continue to support the disposable income of all Greek citizens and so that we can, first and foremost, stand close to our weaker fellow citizens, those who need us most, as we have done throughout these four years.","Και βέβαια, οι εκλογές αυτές αφορούν όλους όσοι θέλουν αυτή η πορεία ανάκαμψης της ελληνικής οικονομίας να μπορέσει να συνεχιστεί, για να εξακολουθούμε να στηρίζουμε το διαθέσιμο εισόδημα όλων των Ελλήνων πολιτών και να μπορούμε, πρωτίστως, να στεκόμαστε κοντά στους πιο αδύναμους συμπολίτες μας, αυτούς που μας έχουν μεγαλύτερη ανάγκη, όπως το κάναμε καθ’ όλη τη διάρκεια αυτής της τετραετίας. ",political agenda,economy,economic equity,0.76,0.0,0,"[['greek economy', 'organization', '0.5'], ['greek citizens', 'group of people', '0.5'], ['greek', 'country', '1'], ['four years', 'date', '0.5']]"
6,"We did it in the difficult era of the coronavirus, when we supported businesses and workers. And if today the shops here in Krya Vrysi are open and looking forward to a better future, it is precisely because we supported all businesses and all workers when we were forced to shut down for health reasons.","Το κάναμε στη δύσκολη εποχή του κορονοϊού, όταν στηρίξαμε επιχειρήσεις και εργαζόμενους. Και αν σήμερα τα καταστήματα εδώ, στην Κρύα Βρύση, είναι ανοιχτά και προσβλέπουν σε ένα καλύτερο μέλλον, είναι ακριβώς επειδή εμείς στηρίξαμε όλες τις επιχειρήσεις και όλους τους εργαζόμενους όταν αναγκαστήκαμε για υγειονομικούς λόγους να κλείσουμε τη χώρα.",political agenda,entrepreneurship,other,0.73,0.0,0,"[['krya vrysi', 'location', '1.0']]"
7,"So this path of recovery must continue. My goal is really to become Europe in everything. To become Europe in terms of both incomes and wages, so that we can finally come closer to our large European family. With an economy that is growing rapidly. With wages that will be in line with Europe, with a minimum wage that will reach EUR 950 at the end of the four years, with an average wage of EUR 1 500 and with the continuation of a tax reduction policy that has produced such impressive results. We have relieved you of a total of EUR 7 billion in taxes.","Αυτή η πορεία, λοιπόν, της ανάκαμψης, πρέπει να συνεχιστεί. Ο στόχος μου είναι πραγματικά να γίνουμε Ευρώπη σε όλα. Να γίνουμε Ευρώπη και στα εισοδήματα και στους μισθούς και να μπορέσουμε έτσι να πλησιάσουμε επιτέλους τη μεγάλη ευρωπαϊκή μας οικογένεια. Με μία οικονομία η οποία θα αναπτύσσεται με γρήγορους ρυθμούς. Με μισθούς οι οποίοι θα συγκλίνουν στην Ευρώπη, με κατώτατο μισθό ο οποίος θα φτάσει τα 950 ευρώ στο τέλος της τετραετίας, με μέσο μισθό ο οποίος θα φτάνει τα 1.500 ευρώ και με συνέχιση μιας πολιτικής μείωσης των φόρων η οποία έφερε τόσο εντυπωσιακά αποτελέσματα. Σας απαλλάξαμε συνολικά από 7 δισεκατομμύρια ευρώ σε φόρους.",political agenda,economy,wages,0.8,0.0,0,"[['europe', 'location', '1.0'], ['eur', 'currency', '1.0'], ['950', 'date', '1.0'], ['1 500', 'date', '1.0'], ['7 billion', 'number', '1.0']]"
8,"This policy of tax cuts will continue. We will increase the tax-free allowance by EUR 1,000 for each child, we will reduce the presumption of income by 30% and, yes, we will abolish the tax on business income within four years, the last tax left over from the memorandum, a remnant of an era that we all want to forget.","Αυτή η πολιτική της μείωσης των φόρων θα συνεχιστεί. Θα αυξήσουμε το αφορολόγητο κατά 1.000 ευρώ για κάθε παιδί, θα μειώσουμε κατά 30% τα τεκμήρια και, ναι, θα καταργήσουμε σε ορίζοντα τετραετίας και το τέλος επιτηδεύματος, τον τελευταίο μνημονιακό φόρο ο οποίος μας έχει μείνει ακόμα, απομεινάρι από μία εποχή την οποία θέλουμε πια όλες και όλοι να ξεχάσουμε.",political agenda,economy,tax cuts,0.75,0.0,0,"[['eur', 'currency', '1.0'], ['four years', 'date', '1.0'], ['memorandum', 'organization', '0.8']]"
9,"But we will also support the National Health System. You know that in the time of the pandemic, our health workers kept society on its feet. They gave everything to deal with a crisis the likes of which we have never seen in the last 100 years.And here in Pella you know that your hospitals, your health centres have been strengthened. But we must do more. I am not satisfied with what we have done.We will recruit 10,000 nurses and doctors and we will staff all our hospitals and health centres with the staff they need. We will direct resources from the Recovery Fund to rebuild 156 health centres, to fix the emergency departments in 80 hospitals; every health structure - hold that - will remain as it is and will be strengthened. And it will have its own special character, so that citizens can seek quality care close to where they live and not have to go all the way to Thessaloniki or all the way to Athens for relatively simple medical procedures.","Θα στηρίξουμε, όμως, και το Εθνικό Σύστημα Υγείας. Ξέρετε ότι την εποχή της πανδημίας οι υγειονομικοί μας κράτησαν όρθια την κοινωνία. Έδωσαν τα πάντα για να αντιμετωπίσουν μία κρίση, όμοια της οποίας δεν είχαμε ξαναδεί ποτέ τα τελευταία 100 χρόνια.Και εδώ στην Πέλλα ξέρετε ότι έχουν ενισχυθεί τα νοσοκομεία σας, τα κέντρα υγείας σας. Πρέπει να κάνουμε περισσότερα όμως. Δεν μου αρκούν αυτά τα οποία έχουμε κάνει.Θα προσλάβουμε 10.000 νοσηλευτές και γιατρούς και θα στελεχώσουμε όλα μας τα νοσοκομεία και κέντρα υγείας με το προσωπικό που χρειάζονται. Θα κατευθύνουμε πόρους από το Ταμείο Ανάκαμψης για να ξανακατασκευάσουμε 156 κέντρα υγείας, να φτιάξουμε τα τμήματα επειγόντων περιστατικών σε 80 νοσοκομεία.Κάθε υγειονομική δομή -κρατήστε το αυτό- θα παραμείνει ως έχει και θα ενισχυθεί. Και θα αποκτήσει το δικό της ειδικό χαρακτήρα, έτσι ώστε να μπορούν οι πολίτες να αναζητούν ποιοτική περίθαλψη κοντά στον τόπο διαμονής τους και να μην αναγκάζονται να πηγαίνουν μέχρι τη Θεσσαλονίκη ή μέχρι την Αθήνα για σχετικά απλές ιατρικές πράξεις.",political agenda,health,public health system,0.8,0.0,0,"[['national health system', 'organization', '0.8'], ['pella', 'location', '0.9'], ['recovery fund', 'organization', '0.7'], ['thessaloniki', 'location', '0.9'], ['athens', 'location', '0.9']]"
10,"But I want to say one more word, friends, about the big dilemmas of the elections as they are shaping up, four days before the elections.I'm here in Krya Vrysi, but some people have got a cold sweat watching New Democracy heading towards a big victory here. And in their desperation and despair they resort to a new scenario every day.And what we have not heard. ""Government of losers"", ""government of tolerance"", now we have heard ""special purpose government"" for a few months, he says, which will clear up the wiretapping issues.I've been in politics and I've been following elections since 1981, since I was 13 years old. Never before have I seen, four days before an election, where there is only one proposal for governance and on the other hand there is total chaos.","Θέλω, όμως, φίλες και φίλοι, να πω και μία κουβέντα ακόμα για τα μεγάλα διλήμματα των εκλογών έτσι όπως αυτά διαμορφώνονται, τέσσερις μέρες πριν από τις εκλογές.Είμαι εδώ στην Κρύα Βρύση, αλλά κάποιους τους έχει πιάσει «κρύος ιδρώτας» βλέποντας εδώ τη Νέα Δημοκρατία να οδεύει προς μια μεγάλη νίκη. Και καταφεύγουν μέσα στην απελπισία τους και στην απόγνωσή τους κάθε μέρα και σε ένα καινούργιο σενάριο.Και τι δεν έχουμε ακούσει. «Κυβέρνηση ηττημένων», «κυβέρνηση ανοχής», τώρα ακούσαμε και «κυβέρνηση ειδικού σκοπού» για κάποιους μήνες, λέει, η οποία θα διαλευκάνει τα θέματα των υποκλοπών.Είμαι στην πολιτική και παρακολουθώ εκλογές από το 1981, από τότε που ήμουν 13 χρονών. Ποτέ δεν έχω ξαναδεί, τέσσερις μέρες πριν από τις εκλογές, να υπάρχει μία μόνο πρόταση διακυβέρνησης και από την άλλη να υπάρχει ο απόλυτος αχταρμάς.",criticism,elections,other,-0.4,0.6,0,"[['krya vrysi', 'location', '1'], ['new democracy', 'political party', '1'], ['government', 'organization', '1'], ['losers', 'group of people', '0.5'], ['tolerance', 'organization', '0.5'], ['special purpose government', 'organization', '0.5'], ['1981', 'date', '1'], ['13 years old', 'person', '0.5']]"
