id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Mr President, Mr Regional Mayor, Mr Mayor, Young Democrats of Thessaloniki, of our Macedonia, allow me to call you my compatriots because I am also a candidate for parliament in this city that I love so much. Victory opens from Thessaloniki. This gathering is unique. I called you compatriots because I have not forgotten that I am also a descendant of a Macedonian gladiator, because my grandfather fought in these lands. So, Cretans and Macedonians, we are one. The one that is definitely blue is our Macedonia and Thessaloniki first; this blue wave that starts from the White Tower and Thermaikos and already meets the one that has risen from Chania, from Heraklion, to spread everywhere in our homeland. You have made tonight's gathering the best prologue of Sunday. President, happy birthday, half of Greece is celebrating. But this time democracy will celebrate and the whole country will celebrate.The Sunday that is coming will be the day that will give a second mandate to progress, paving the way for a self-reliant Greece and a self-reliant New Democracy. You, the Macedonians, are the first to know how much we have gone through and overcome in such a short time.A big thank you to our ONNED and our GCP, who have always been pioneers in the great battles for quality public universities.","Κύριε Πρόεδρε, κύριε Περιφερειάρχη, κύριε Δήμαρχε, Νεοδημοκράτισσες και Νεοδημοκράτες της Θεσσαλονίκης, της Μακεδονίας μας, μου επιτρέπετε να σας αποκαλώ πια συμπατριώτες μου γιατί είμαι κι εγώ υποψήφιος βουλευτής σε αυτή την πόλη που τόσο αγαπώ. Η νίκη ανοίγει από τη Θεσσαλονίκη. Αυτή η συγκέντρωση είναι μοναδική. Από καρδιάς, σας ευχαριστώ.Σας αποκάλεσα συμπατριώτες γιατί δεν ξεχνώ ότι είμαι και απόγονος Μακεδονομάχου, γιατί στα χώματα αυτά πολέμησε ο παππούς μου. Κρήτες και Μακεδόνες λοιπόν, είμαστε ένα. Αυτή που σίγουρα είναι μπλε είναι η Μακεδονία μας και η Θεσσαλονίκη πρώτη.Αυτό το γαλάζιο κύμα που ξεκινά από τον Λευκό Πύργο και τον Θερμαϊκό και συναντά ήδη αυτό που έχει σηκωθεί από τα Χανιά, από το Ηράκλειο, για να απλωθεί παντού στην πατρίδα μας. Εσείς κάνατε την αποψινή συγκέντρωση τον καλύτερο πρόλογο της Κυριακής.Ανήμερα Κωνσταντίνου και Ελένης, άλλωστε -κ. Πρόεδρε, χρόνια πολλά- γιορτάζει η μισή Ελλάδα. Όμως αυτή τη φορά θα γιορτάσει η δημοκρατία και θα γιορτάσει όλη η χώρα.Η Κυριακή που μας έρχεται θα είναι η μέρα που θα δώσει δεύτερη εντολή στην προκοπή, ανοίγοντας το δρόμο για την αυτοδύναμη Ελλάδα και την αυτοδύναμη Νέα Δημοκρατία. Πρώτοι εσείς, οι Μακεδόνες, γνωρίζετε πόσα πολλά περάσαμε και ξεπεράσαμε μέσα σε τόσο λίγο χρόνο.Ένα μεγάλο ευχαριστώ στην ΟΝΝΕΔ μας και στη ΔΑΠ μας, που ήταν πάντα πρωτοπόροι στις μεγάλες μάχες για ποιοτικά δημόσια πανεπιστήμια.",political agenda,elections,higher education,0.4,0.0,0.0,"[['mr president', 'person', '1.0'], ['mr regional mayor', 'person', '1.0'], ['mr mayor', 'person', '1.0'], ['young democrats of thessaloniki', 'group of people', '1.0'], ['macedonia', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['macedonian', 'group of people', '1.0'], ['cretans', 'group of people', '1.0'], ['white tower', 'location', '1.0'], ['thermaikos', 'location', '1.0'], ['chania', 'location', '1.0'], ['heraklion', 'location', '1.0'], ['greece', 'country', '1.0'], ['sunday', 'date', '1.0'], ['new democracy', 'organization', '1.0'], ['onned', 'organization', '1.0'], ['gcp', 'organization', '1.0']]"
2,"So you, friends, know better in Macedonia, in Thrace, the great battles we have been called upon to win in these four years. From the migratory invasions in Evros and the waves of the pandemic, then the energy crisis and the global ""explosion"" of poverty brought about by the war in Ukraine. And almost daily, for four years now, the threats and provocations of neighbouring Turkey; and yet we have managed, we have stood up and stood together. The state, with a gigantic project that exceeded 55 billion euros, supported the economy, supported society, supported first and foremost the world of work. Three billion, Mr. Regional Governor, was directed here alone to keep the businesses of the Region alive.","Εσείς λοιπόν, φίλες και φίλοι, ξέρετε καλύτερα στη Μακεδονία, στη Θράκη μας, τις μεγάλες μάχες που κληθήκαμε να κερδίσουμε αυτά τα τέσσερα χρόνια. Από τις μεταναστευτικές εισβολές στον Έβρο και τα κύματα της πανδημίας, ύστερα την ενεργειακή κρίση και την παγκόσμια «έκρηξη» ακρίβειας που έφερε ο πόλεμος στην Ουκρανία. Και σχεδόν καθημερινά, εδώ και τέσσερα χρόνια, τις απειλές και τις προκλήσεις της γειτονικής Τουρκίας.Κι όμως τα καταφέραμε, μείναμε και όρθιοι, και ενωμένοι. Η πολιτεία, με ένα γιγαντιαίο σχέδιο το οποίο ξεπέρασε τα 55 δισ. ευρώ, στήριξε την οικονομία, στήριξε την κοινωνία, στήριξε πρώτα και πάνω απ’ όλα τον κόσμο της εργασίας. Τρία δισεκατομμύρια, κ. Περιφερειάρχη, κατευθύνθηκαν μόνο εδώ για να κρατηθούν ζωντανές οι επιχειρήσεις της Περιφέρειας.",political agenda,economy,energy crisis,0.3,0.0,0.0,"[['macedonia', 'location', '1.0'], ['thrace', 'location', '1.0'], ['evros', 'location', '1.0'], ['ukraine', 'location', '1.0'], ['turkey', 'country', '1.0'], ['regional governor', 'person', '1.0']]"
3,"Despite the repeated difficulties, at the same time everything we had agreed with the citizens in July 2019 was being put into practice, when - I remember, it was the same day again, the Thursday before the elections - I spoke at the port and asked you to sign a truth agreement.What did I promise you then that we would do? That we would cut taxes and contributions and increase investment and new jobs. That we would shield the average income, support our farmers and agricultural production, upgrade our defence and finally strengthen the prestige of our country. And, finally, I committed to building a digital, citizen-friendly state.So, in our first report, we can look our citizens in the eye and say: 'we have said and done it', despite the great difficulties, despite the crises we had to manage.","Παρά τις απανωτές δυσκολίες, το ίδιο διάστημα γίνονταν πράξη όλα όσα είχαμε συμφωνήσει με τους πολίτες τον Ιούλιο του 2019, όταν -θυμάμαι, ίδια μέρα ήταν πάλι, Πέμπτη πριν από τις εκλογές- μίλησα στο λιμάνι και σας ζήτησα να υπογράψουμε μια συμφωνία αλήθειας.Τι σας υποσχέθηκα τότε ότι θα κάνουμε; Ότι θα μειώσουμε φόρους και εισφορές και θα αυξήσουμε επενδύσεις και νέες δουλειές. Ότι θα θωρακίσουμε το μέσο εισόδημα, θα στηρίξουμε τους αγρότες μας και την αγροτική παραγωγή, θα αναβαθμίσουμε την άμυνά μας και θα ενισχύσουμε, επιτέλους, το κύρος της χώρας μας. Και, τέλος, είχα δεσμευτεί ότι θα χτίσουμε ένα κράτος ψηφιακό, φιλικό προς τον πολίτη.Ε, λοιπόν, στον πρώτο μας απολογισμό μπορούμε να κοιτάξουμε τους πολίτες στα μάτια και να πούμε: «τα είπαμε και τα κάναμε», παρά τις μεγάλες δυσκολίες, παρά τις κρίσεις που έπρεπε να διαχειριστούμε.",,employment,tax cuts,0.5,0.0,0.0,"[['july 2019', 'date', '1.0'], ['thursday', 'date', '1.0']]"
4,"So far 50 taxes have been cut, relieving citizens of permanent burdens of more than €7 billion. I said that ENVIA would be reduced by 30%, we have reduced it by 35%. The tax-free allowance has been increased. The first rate fell from 22% to 9%. The solidarity levy was abolished and we also did something that we had not committed to, which is primarily for this new generation: we zeroed out the parental benefit tax so that parents can now pass on their property to their children free of charge.In 48 months we created 300,000 new jobs and growth in our country is running at twice the rate of Europe. We are now close to investment grade, which in practice means more favourable lending to the state, businesses and households. This investment grade, so critical, my friends, to be achieved, has one condition and one condition only: a stable and reformist government on Sunday. In other words, a New Democracy government.","Μέχρι τώρα μειώθηκαν 50 φόροι, ανακουφίζοντας τους πολίτες από μόνιμα βάρη που ξεπερνούν τα 7 δισεκατομμύρια ευρώ. Είχα πει ότι ο ΕΝΦΙΑ θα μειωθεί 30%, τον μειώσαμε 35%. Το αφορολόγητο αυξήθηκε. Ο πρώτος συντελεστής έπεσε από το 22% στο 9%. Καταργήθηκε η εισφορά αλληλεγγύης και κάναμε και κάτι για το οποίο δεν είχαμε δεσμευτεί, το οποίο αφορά πρωτίστως αυτή τη νέα γενιά: μηδενίσαμε τον φόρο γονικής παροχής ώστε ο γονιός να μπορεί, πλέον, να μεταβιβάζει δωρεάν την περιουσία του στα παιδιά του.Σε 48 μήνες δημιουργήσαμε 300.000 νέες δουλειές και η ανάπτυξη στη χώρα μας τρέχει με ρυθμό διπλάσιο από την Ευρώπη. Είμαστε τώρα κοντά στην επενδυτική βαθμίδα, που στην πράξη σημαίνει ευνοϊκότερο δανεισμό κράτους, επιχειρήσεων, αλλά και νοικοκυριών. Αυτή η επενδυτική βαθμίδα, τόσο κρίσιμη φίλες και φίλοι, για να κατακτηθεί, έχει μία προϋπόθεση και μόνο: σταθερή και μεταρρυθμιστική κυβέρνηση την Κυριακή. Με άλλα λόγια κυβέρνηση της Νέας Δημοκρατίας.",political agenda,other,tax cuts,0.9,0.0,0.0,"[['envia', 'organization', '1.0'], ['new democracy', 'political party', '1.0'], ['europe', 'location', '1.0'], ['greece', 'country', '1.0'], ['48 months', 'date', '1.0'], ['€7 billion', 'date', '1.0'], ['300', '000', 'group of people', '1.0']]"
5,"But we are the great popular party of Constantine Karamanlis and we know that there can be no dynamic economy without a cohesive society. That is why the minimum wage went from 650 euros to 780 euros. Two months more every year. But also the pensioners - I will come back to what Mr Katrougalos told us - the pensioners have seen... No need for disapproval, the best disapproval is your vote at the ballot box on the coming Sunday.The pensioners who are with us have seen increases for the first time in 12 years, and those who are still wronged by the Katrougalos personal difference will continue to be strengthened until it is finally erased.","Εμείς, όμως, είμαστε η μεγάλη λαϊκή παράταξη του Κωνσταντίνου Καραμανλή και ξέρουμε ότι δεν γίνεται δυναμική οικονομία χωρίς συνεκτική κοινωνία. Γι’ αυτό και ο κατώτατος μισθός πήγε από τα 650 ευρώ στα 780 ευρώ. Δύο μηνιάτικα παραπάνω κάθε χρόνο. Αλλά και οι συνταξιούχοι -θα έρθω στη συνέχεια σε αυτά τα οποία μας είπε ο κ. Κατρούγκαλος-, οι συνταξιούχοι είδαν… Δεν χρειάζονται αποδοκιμασίες, η καλύτερη αποδοκιμασία είναι η ψήφος σας στην κάλπη την Κυριακή που έρχεται.Οι συνταξιούχοι που είναι μαζί μας είδαν για πρώτη φορά αυξήσεις ύστερα από 12 χρόνια και όσοι αδικούνται ακόμα από την προσωπική διαφορά Κατρούγκαλου θα εξακολουθούν να ενισχύονται έως ότου αυτή σβήσει οριστικά.",political agenda,pensioners,,0.7,0.0,0.0,"[['constantine karamanlis', 'person', '1'], ['mr katrougalos', 'person', '1'], ['sunday', 'date', '1']]"
6,"Finally, and perhaps most importantly, there is no hope without a proud homeland. Thus, in four years, a country of ""dry vineyards"" was transformed into a state with borders on land, air and sea. Illegal flows of migrants have been reduced to almost zero. The East Aegean islands were relieved. Moria is now a thing of the past. And, in defiance of some, the fence on Evros is being extended across the national and European border. This is our response to Turkey's provocations.","Τέλος, ίσως το πιο σημαντικό, δεν υπάρχει ελπίδα χωρίς περήφανη πατρίδα. Έτσι, μέσα σε τέσσερα χρόνια μια χώρα «ξέφραγο αμπέλι» μετατράπηκε σε κράτος με σύνορα στη στεριά, στον αέρα και στη θάλασσα. Οι παράνομες ροές μεταναστών σχεδόν μηδενίστηκαν. Τα νησιά του Ανατολικού Αιγαίου ανακουφίστηκαν. Η Μόρια είναι πλέον παρελθόν. Και, σε πείσμα ορισμένων, ο φράχτης στον Έβρο επεκτείνεται σε όλη την εθνική και ευρωπαϊκή μεθόριο. Αυτή είναι η δική μας απάντηση στις προκλήσεις της Τουρκίας.",criticism,migration,sea borders,0.5,0.2,0.0,"[['moria', 'location', '0.6'], ['evros', 'location', '0.9'], ['turkey', 'country', '0.8'], ['east aegean islands', 'location', '0.7'], ['four years', 'date', '0.4']]"
7,"It is a shield that on one side has the strengthening of our Armed Forces: 24 new Rafale fighters, 84 upgraded F-16 Vipers, three new frigates - the most modern ships in the Eastern Mediterranean, the first to be delivered by the end of 2025 -, new corvettes, helicopters, armoured vehicles. And, before the end of the decade, the first Greek F-35s. All this alongside our regenerated shipyards and our upgraded defence industry.","Είναι μια ασπίδα που στη μία της όψη έχει την ενίσχυση των Ένοπλων Δυνάμεών μας: 24 νέα μαχητικά Rafale, 84 αναβαθμισμένα F-16 Viper, τρεις νέες φρεγάτες -τα πιο σύγχρονα πλοία στην Ανατολική Μεσόγειο, η πρώτη θα παραληφθεί μέχρι το τέλος του 2025-, νέες κορβέτες, ελικόπτερα, τεθωρακισμένα. Και, πριν το τέλος της δεκαετίας, τα πρώτα ελληνικά F-35. Όλα αυτά δίπλα στα αναγεννημένα ναυπηγεία μας και στην αναβαθμισμένη αμυντική μας βιομηχανία.",political agenda,national security,defense spending,0.9,0.0,0.0,"[['rafale', 'organization', '0.7'], ['f-16 vipers', 'organization', '0.7'], ['eastern mediterranean', 'location', '0.7'], ['end of 2025', 'date', '0.7'], ['corvettes', 'organization', '0.7'], ['f-35s', 'organization', '0.7'], ['greek', 'country', '0.7']]"
8,"While on the other side of this shield, which we have erected, has the imprints of our active diplomacy: strategic agreements with France and the United States, the extension of our territorial waters to 12 nautical miles in the Ionian Sea, maritime zone agreements with Italy and Egypt and the transformation of Greece into a European energy hub. These are the fingerprints of our active diplomatic policy over the last four years, and of course, with Greece's voice once again being heard loudly everywhere, from the Arab world and capitals around the world to Brussels, and from Israel to the United States Congress.","Ενώ στην άλλη της πλευρά αυτή η ασπίδα, την οποία έχουμε υψώσει, έχει τα αποτυπώματα της ενεργού διπλωματίας μας: στρατηγικές συμφωνίες με Γαλλία και Ηνωμένες Πολιτείες, επέκταση των χωρικών μας υδάτων στα 12 ναυτικά μίλια στο Ιόνιο, συμφωνίες για θαλάσσιες ζώνες με Ιταλία και Αίγυπτο και μετατροπή της Ελλάδος σε ευρωπαϊκό ενεργειακό κόμβο. Αυτά είναι τα αποτυπώματα της ενεργού διπλωματικής μας πολιτικής την τελευταία τετραετία, και βέβαια, με τη φωνή της Ελλάδος να ακούγεται και πάλι δυνατή παντού, από τον αραβικό κόσμο και τις πρωτεύουσες όλου του κόσμου μέχρι τις Βρυξέλλες, και από το Ισραήλ μέχρι το Κογκρέσο των Ηνωμένων Πολιτειών.",political agenda,external affairs,other,0.7,0.0,0.0,"[['france', 'organization', '0.6'], ['united states', 'country', '0.7'], ['ionian sea', 'location', '0.5'], ['italy', 'country', '0.6'], ['egypt', 'country', '0.6'], ['greece', 'country', '0.8'], ['arab world', 'location', '0.4'], ['brussels', 'location', '0.6'], ['israel', 'country', '0.6'], ['united states congress', 'organization', '0.5']]"
9,"Friends, Thessalonikians, Macedonians, I am sure that you too, especially here in Thessaloniki, in the Region of Central Macedonia, see Greece changing around you. You see the huge development potential that the city of Thessaloniki has, the huge projects that are being launched. Never in the history of Thessaloniki has there been such an active interest in completing basic infrastructure projects which the city has needed for decades.The Flyover, which has already been put out to tender, the new cancer hospital, the new paediatric hospital, 17 new schools, new student residences, the redevelopment of this site of the International Fair, the new pier at the port, the Holocaust Museum, the new courts, the sites of the Ziaka and Pavlos Melas camps, our major interventions for Western Thessaloniki.These are just a few of the 30 projects which are specific to the urban complex of Thessaloniki. They are projects that have been launched, final studies have been carried out, they have specific timetables, they have secured funding so that they will be ready, most of them, by 2027. And of course they are part of our development plan for Central Macedonia, which I had the opportunity to present a few months ago.","Φίλες και φίλοι, Θεσσαλονικείς, Μακεδόνες, είμαι σίγουρος ότι κι εσείς, ειδικά εδώ στη Θεσσαλονίκη, στην Περιφέρεια Κεντρικής Μακεδονίας, βλέπετε την Ελλάδα η οποία αλλάζει γύρω σας. Βλέπετε την τεράστια αναπτυξιακή δυναμική που έχει η πόλη της Θεσσαλονίκης, τα τεράστια έργα τα οποία δρομολογούνται. Ποτέ στην ιστορία της Θεσσαλονίκης δεν υπήρξε τόσο ενεργό ενδιαφέρον για να ολοκληρωθούν βασικά έργα υποδομής τα οποία η πόλη τα χρειαζόταν εδώ και δεκαετίες.Το Flyover, το οποίο ήδη έχει δημοπρατηθεί, το νέο αντικαρκινικό νοσοκομείο, το νέο παιδιατρικό νοσοκομείο, 17 καινούργια σχολεία, καινούργιες φοιτητικές εστίες, η ανάπλαση αυτού του χώρου της Διεθνούς Έκθεσης, ο νέος προβλήτας στο λιμάνι, το Μουσείο Ολοκαυτώματος, τα νέα δικαστήρια, οι χώροι στα στρατόπεδα «Ζιάκα» και «Παύλου Μελά», οι σημαντικές μας παρεμβάσεις για τη Δυτική Θεσσαλονίκη.Πρόκειται για μερικά μόνο από τα 30 έργα τα οποία αφορούν ειδικά το πολεοδομικό συγκρότημα της Θεσσαλονίκης. Είναι έργα τα οποία έχουν δρομολογηθεί, έχουν γίνει οριστικές μελέτες, έχουν συγκεκριμένα χρονοδιαγράμματα, έχουν εξασφαλισμένη χρηματοδότηση ώστε να είναι έτοιμα, τα περισσότερα, έως το 2027. Και βέβαια ενταγμένα στο αναπτυξιακό μας σχέδιο για την Κεντρική Μακεδονία, το οποίο είχα την ευκαιρία να παρουσιάσω πριν από λίγους μήνες.",political agenda,other,other,0.8,0.0,0.0,"[['thessalonikians', 'group of people', '1.0'], ['macedonians', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['thessaloniki', 'location', '1.0'], ['central macedonia', 'location', '1.0'], ['flyover', 'organization', '1.0'], ['cancer hospital', 'organization', '1.0'], ['paediatric hospital', 'organization', '1.0'], ['schools', 'organization', '1.0'], ['student residences', 'organization', '1.0'], ['international fair', 'organization', '1.0'], ['port', 'organization', '1.0'], ['holocaust museum', 'organization', '1.0'], ['courts', 'organization', '1.0'], ['ziaka camps', 'organization', '1.0'], ['pavlos melas camps', 'organization', '1.0'], ['western thessaloniki', 'location', '1.0'], ['central macedonia', 'location', '1.0'], ['2027', 'date', '1.0']]"
10,"I will not repeat it, but today I will focus on one intervention in which I believe that everything is reflected, the huge differences that we have with our opponents, the developmental and social dimension of our government's policy, but also my personal vision for Thessaloniki and the entire Region.This intervention is none other than the city's Metro, the most modern and beautiful in Europe. I visited it this morning, and soon you will all be using it. I will not hide from you that I felt a great thrill. We have struggled a lot to get the Metro off the ground. And today we are now absolutely certain that the Metro is becoming a reality, and you see every day the distance between words and deeds. You see the distance between tangible works and painted canvases. But you also see the hypocrisy, that a better everyday transport system would ""destroy our ancient treasures"".I went to the Venizelos station. Thessaloniki now has both a Metro and an ancient city. Many congratulations are due to all those who worked to make this project a reality. The Metro proves that with planning and hard work any ambitious goal is possible, which ultimately improves the local economy, provides jobs, facilitates first and foremost travel, frees the city from pollutants and finally breaks the isolation between districts, eliminating inequalities.Now that we are delivering the first part of the project - hold on to what I am saying, the first part - the systematic work begins to extend the Metro to north-west Thessaloniki, as I have committed to do; in other words, the Metro is a project that declares who is ultimately truly progressive and who is not. Who is progressive in words and who is progressive in deeds, in actions. We do not talk about our deeds, we talk in our deeds, and that is the big difference between us and our political opponents.","Δεν θα το επαναλάβω, θα σταθώ όμως σήμερα ξεχωριστά σε μία παρέμβαση στην οποία πιστεύω ότι τελικά καθρεφτίζονται τα πάντα, οι τεράστιες διαφορές που έχουμε με τους αντιπάλους μας, η αναπτυξιακή και κοινωνική διάσταση της πολιτικής της κυβέρνησής μας, αλλά και το προσωπικό μου όραμα για τη Θεσσαλονίκη και ολόκληρη την Περιφέρεια.Η παρέμβαση αυτή δεν είναι άλλη από το Μετρό της πόλης, το πιο σύγχρονο και όμορφο της Ευρώπης. Το επισκέφτηκα σήμερα το πρωί, σύντομα θα το χρησιμοποιείτε και όλοι εσείς. Δεν σας κρύβω ότι αισθάνθηκα μεγάλη συγκίνηση. Παλέψαμε πολύ για να «ξεκολλήσουμε» το Μετρό. Και σήμερα είμαστε πια απολύτως βέβαιοι, το Μετρό γίνεται πράξη και εσείς διαπιστώνετε καθημερινά την απόσταση ανάμεσα στα λόγια και τις πράξεις. Διαπιστώνετε την απόσταση ανάμεσα σε χειροπιαστά έργα και στους ζωγραφισμένους μουσαμάδες. Διαπιστώνετε όμως και την υποκρισία, ότι τάχα μία καλύτερη μεταφορική καθημερινότητα θα «κατέστρεφε τους αρχαίους θησαυρούς μας».Πήγα στο σταθμό της «Βενιζέλου». Η Θεσσαλονίκη έχει τώρα και Μετρό και αρχαία. Αξίζουν πολλά συγχαρητήρια σε όλους όσοι εργάστηκαν για να γίνει πράξη αυτό το έργο. Το Μετρό αποδεικνύει ότι με σχέδιο και δουλειά γίνεται δυνατός κάθε φιλόδοξος στόχος, που βελτιώνει τελικά την τοπική οικονομία, προσφέρει θέσεις εργασίας, διευκολύνει πρώτα και πάνω απ’ όλα τις μετακινήσεις, απαλλάσσει την πόλη από ρύπους και τέλος σπάει την απομόνωση μεταξύ συνοικιών, καταργώντας ανισότητες.Τώρα που παραδίδουμε το πρώτο κομμάτι του έργου -σταθείτε σε αυτό που λέω, το πρώτο κομμάτι-, αρχίζει η συστηματική δουλειά για να επεκταθεί το Μετρό στη βορειοδυτική Θεσσαλονίκη, όπως έχω δεσμευτεί.Με άλλα λόγια, το Μετρό είναι ένα έργο που δηλώνει ποιος είναι τελικά αληθινά προοδευτικός και ποιος όχι. Ποιος είναι προοδευτικός στα λόγια και ποιος είναι προοδευτικός με έργα, με πράξεις. Εμείς δεν μιλάμε για τα έργα μας, μιλάμε με τα έργα μας, και αυτή είναι η μεγάλη διαφορά από τους πολιτικούς μας αντιπάλους.",political agenda,other,other,0.8,0.1,0.0,"[['thessaloniki', 'location', '1.0'], ['europe', 'location', '0.7'], ['venezelos', 'location', '1.0'], ['thessaloniki', 'location', '1.0'], ['metro', 'organization', '1.0'], ['thessaloniki region', 'location', '1.0']]"
