id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Young Democrats of Athens, Onnedites, Dapites, thank you for this amazing welcome.We meet again in the same place, four years after the triumph of 2019 and a few hours before the new great victory of the New Democracy.All of Greece is blue today, all of Athens is blue, and we are all here together again, in the heart of Athens and all of Greece, ready to give a second mandate to progress. One that is sealed by our impressive rally, much bigger than the one we had in 2019.Thank you for your pulse, your optimism. Thank you, above all, for your faith in today and in the future of our country.","Νεοδημοκράτισσες και Νεοδημοκράτες της Αθήνας, Οννεδίτισσες και Οννεδίτες, Δαπίτισσες και Δαπίτες, σας ευχαριστώ γι’ αυτή την καταπληκτική υποδοχή.Συναντιόμαστε και πάλι στο ίδιο μέρος, τέσσερα χρόνια από το θρίαμβο του 2019 και λίγες ώρες πριν από τη νέα μεγάλη νίκη της Νέας Δημοκρατίας.Όλη η Ελλάδα είναι μπλε σήμερα, όλη η Αθήνα είναι μπλε και είμαστε όλοι μαζί ξανά εδώ, στην καρδιά της Αθήνας και όλης της Ελλάδας, έτοιμοι να δώσουμε δεύτερη εντολή στην προκοπή. Αυτή που σφραγίζει η εντυπωσιακή μας συγκέντρωση, πολύ μεγαλύτερη από αυτή που κάναμε το 2019.Σας ευχαριστώ για τον παλμό σας, την αισιοδοξία σας. Σας ευχαριστώ, κυρίως, για την πίστη σας στο σήμερα και στο αύριο της πατρίδας μας.",political agenda,elections,other,0.8,0.0,0.0,"[['young democrats of athens', 'group of people', '1.0'], ['onnedites', 'political party', '0.6'], ['dapites', 'political party', '0.6'], ['greece', 'country', '1.0'], ['athens', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['2019', 'date', '0.8']]"
2,"A lot has happened in these four years. All of us have faced unprecedented crises, but we have also faced critical stakes, which we have won and emerged victorious again.Your love gives me strength, and I thank you from the bottom of my heart. Four years ago, united and strong, we laid the foundations of a new country.With the help of the Greek people, we will continue the important work we have begun. And the day after tomorrow, on the day after tomorrow, on the day of Constantine and Helen, we will continue to build the new Greece. We renew our appointment with the future.","Πολλά μεσολάβησαν αυτά τα τέσσερα χρόνια. Όλοι μας ήρθαμε αντιμέτωποι με κρίσεις πρωτόγνωρες, αλλά και με στοιχήματα κρίσιμα, που τα κερδίσαμε και βγήκαμε πάλι νικητές.Η αγάπη σας μου δίνει δύναμη, σας ευχαριστώ από καρδιάς. Πριν από τέσσερα χρόνια, ενωμένοι και δυνατοί, βάλαμε τα θεμέλια μίας νέας χώρας.Με τη βοήθεια του ελληνικού λαού θα συνεχίσουμε το σημαντικό έργο το οποίο ξεκινήσαμε. Και μεθαύριο, ανήμερα Κωνσταντίνου και Ελένης, συνεχίζουμε την οικοδόμηση της νέας Ελλάδας. Ανανεώνουμε το ραντεβού μας με το μέλλον.",political agenda,elections,other,0.7,0.0,0.0,"[['greek people', 'group of people', '0.8'], ['new country', 'location', '0.5'], ['greece', 'country', '0.9'], ['constantine and helen', 'date', '0.6'], ['future', 'location', '0.4']]"
3,"I was happy, as I was coming and crossing this huge crowd, to see old fighters and new friends of the party around me.I know the capital well, as a member of the Parliament of Athens for 20 years now. I can assure you that this blue river is indeed unprecedented for our city. And this overwhelming presence is not only incomparably greater, it is also incomparably more dynamic than the one in 2019.I remember very well, friends, this gathering four years ago, when I stood on the very same platform under the shadow of the Acropolis. I did not promise you miracles then, but a lot of work and concrete actions.","Χαίρομαι, καθώς ερχόμουν και διέσχιζα αυτό το τεράστιο πλήθος, έβλεπα γύρω μου παλιούς αγωνιστές αλλά και νέους φίλους της παράταξης.Ξέρω καλά την πρωτεύουσα, ως βουλευτής Β΄ Αθήνας 20 χρόνια τώρα. Μπορώ να σας βεβαιώσω, αυτό το γαλάζιο ποτάμι είναι πράγματι πρωτόγνωρο για την πόλη μας. Και αυτή η συγκλονιστική σας παρουσία δεν είναι απλά ασύγκριτα μεγαλύτερη, είναι και ασύγκριτα πιο δυναμική από την αντίστοιχη του 2019.Θυμάμαι, φίλες και φίλοι, πολύ καλά αυτή τη συγκέντρωση πριν από τέσσερα χρόνια, όταν στάθηκα στο ίδιο ακριβώς βήμα υπό τον ίσκιο της Ακρόπολης. Δεν σας είχα υποσχεθεί τότε θαύματα, αλλά πολλή δουλειά και συγκεκριμένες πράξεις.",political agenda,other,other,0.7,0.0,0.0,"[['parliament of athens', 'organization', '1.0'], ['2019', 'date', '1.0'], ['acropolis', 'location', '1.0']]"
4,"From exactly the same position, then, I was emphasizing verbatim: ""important for us is the guarding of our borders and dealing with migration. Because Greece has borders on land and in the air, and these borders must be guarded."" ""we will reduce taxes on individuals and businesses"", because it is a measure that benefits citizens and at the same time has a developmental character.Four years later, everyone can judge the consistency between our words and our deeds. I have honoured the former and put the latter into practice. I have remained true to my duty; and with the same strength that we implemented what we said yesterday, we will do tomorrow what we are planning today. I ask you again today to renew the truth agreement that we first signed in 2019.I will not stop trying until this agreement becomes the final contract of the country with a better future for all. I sign this before you tonight, closing a cycle but beginning a new era.On Sunday night, New Democracy will be the first government to achieve a second major consecutive election victory in years.","Από την ίδια ακριβώς θέση, τότε, τόνιζα επί λέξει: «σημαντική για εμάς είναι η  φύλαξη των συνόρων μας και η αντιμετώπιση του μεταναστευτικού. Γιατί η Ελλάδα έχει σύνορα στη στεριά και στον αέρα και τα σύνορα αυτά πρέπει να φυλάσσονται».Και μπροστά σας εδώ, στον ίδιο χώρο, δεσμευόμουν και έλεγα επί λέξει: «θα μειώσουμε φόρους στα φυσικά πρόσωπα και στις επιχειρήσεις», γιατί είναι μέτρο που ωφελεί τους πολίτες και ταυτόχρονα έχει αναπτυξιακό χαρακτήρα.Τέσσερα χρόνια μετά, μπορούν όλοι να κρίνουν τη συνέπεια ανάμεσα στα λόγια και στα έργα μας. Τίμησα τα πρώτα και έκανα πράξη τα δεύτερα. Έμεινα πιστός στο καθήκον μου.Και με την ίδια δύναμη που υλοποιήσαμε όσα είπαμε χθες, έτσι και αύριο θα κάνουμε πράξη όσα σχεδιάζουμε σήμερα. Σας ζητώ και σήμερα να ανανεώσουμε τη συμφωνία αλήθειας που υπογράψαμε για πρώτη φορά το 2019.Δεν θα πάψω να προσπαθώ μέχρι η συμφωνία αυτή να γίνει το οριστικό συμβόλαιο της πατρίδας με ένα καλύτερο μέλλον για όλους. Το υπογράφω αυτό σήμερα μπροστά σας απόψε, που κλείνει ένας κύκλος αλλά ξεκινά μία νέα εποχή.Το βράδυ της Κυριακής, η Νέα Δημοκρατία θα είναι η πρώτη κυβέρνηση που ύστερα από χρόνια θα πετυχαίνει δεύτερη μεγάλη συνεχή εκλογική νίκη.",political agenda,elections,,0.6,0.0,0.0,"[['greece', 'location', '1.0'], ['new democracy', 'political party', '1.0'], ['2019', 'date', '1.0']]"
5,"In the meantime, we have faced everything from the migratory invasions in Evros to the pandemic, from the Russian invasion of Ukraine and international precision to the challenges of Turkey.They were unprecedented challenges, but challenges that we overcame all together, while at the same time, we were laying the foundations for what we promised in 2019.We do not care what our opponents do, we only care that we will be the winners on Sunday night.","Έχοντας στο μεταξύ αντιμετωπίσει τα πάντα, από τις μεταναστευτικές εισβολές στον Έβρο μέχρι την πανδημία και από την ρωσική εισβολή στην Ουκρανία και τη διεθνή ακρίβεια μέχρι τις προκλήσεις της Τουρκίας.Ήταν προκλήσεις χωρίς προηγούμενο, προκλήσεις, όμως, που τις ξεπεράσαμε όλες και όλοι μαζί, ενώ ταυτόχρονα, θεμελιώναμε όσα υποσχεθήκαμε το 2019.Εμάς δεν μας ενδιαφέρει τι κάνουν οι αντίπαλοί μας, μας ενδιαφέρει μόνο ότι εμείς θα είμαστε οι νικητές το βράδυ της Κυριακής.",criticism,elections,evros fence,0.2,0.1,0.0,"[['evros', 'location', '0.75'], ['russian', 'organization', '0.75'], ['ukraine', 'country', '0.75'], ['turkey', 'country', '0.75'], ['sunday night', 'date', '0.75']]"
6,"So what we promised you, we have done. Less taxes and contributions, more investment and new jobs, with benefits that will always be in line with the strength of the economy, a friendly and digital state at home but reliable and proud abroad, without the burden of immigration and with an armoured defence.This is what I have talked to you about from this platform. And where are we today? To be able to say: ""we said it and we did it"". We are paying 50 fewer taxes, and 7 billion in taxes have been lifted from your shoulders. ENVIA has been reduced, not by 30% as we said, but by 35%. The first rate has fallen from 22% to 9%. We have abolished the solidarity contribution for everyone and parents now pass on their property to their children free of charge.","Αυτά που σας υποσχεθήκαμε, λοιπόν, τα κάναμε πράξη. Λιγότεροι φόροι και εισφορές, πιο πολλές επενδύσεις και νέες δουλειές, με παροχές που θα συμβαδίζουν πάντα με τις αντοχές της οικονομίας, ένα κράτος φιλικό και ψηφιακό στο εσωτερικό αλλά αξιόπιστο και περήφανο στο εξωτερικό, χωρίς τον βραχνά του μεταναστευτικού και με θωρακισμένη άμυνα.Γι’ αυτά σας είχα μιλήσει από αυτό το βήμα. Και πού βρισκόμαστε σήμερα; Να μπορούμε να λέμε: «τα είπαμε και τα κάναμε πράξη». Πληρώνουμε 50 λιγότερους φόρους, από τους ώμους σας έχουν αφαιρεθεί βάρη 7 δισεκατομμυρίων. Ο ΕΝΦΙΑ μειώθηκε, όχι κατά 30% που είχαμε πει, αλλά κατά 35%. Ο πρώτος συντελεστής έπεσε από το 22% στο 9%. Καταργήσαμε για όλους την εισφορά αλληλεγγύης και οι γονείς μεταβιβάζουν πλέον στα παιδιά τους δωρεάν την περιουσία τους.",political agenda,,tax cuts,0.8,0.0,0.0,[]
7,"And not only that. During the successive crises - and I am very proud of this because we are the great people's party with a social footprint - we supported the economy, society and labour, but we also stimulated growth, with investments that reduced unemployment, and some of this wealth returned to society in the form of permanent increases. By stimulating entrepreneurship we created 300,000 new jobs, primarily for young people and for those who want to return home from abroad.The minimum wage went from 650 to 780 euros. Our pensioners saw for the first time in 12 years an increase of almost 8%. And those who are wronged by the Katrougalos personal difference will continue to be supported by our government until this difference is finally erased.","Και όχι μόνο αυτό. Στη διάρκεια των διαδοχικών κρίσεων -και είμαι πολύ υπερήφανος γι’ αυτό διότι εμείς είμαστε η μεγάλη λαϊκή παράταξη με κοινωνικό αποτύπωμα-, στηρίξαμε την οικονομία, την κοινωνία και την εργασία.Τονώσαμε όμως και την ανάπτυξη, με επενδύσεις που μείωσαν την ανεργία και μέρος αυτού του πλούτου γύρισε στην κοινωνία με τη μορφή μόνιμων αυξήσεων. Με την τόνωση της επιχειρηματικότητας δημιουργήσαμε 300.000 νέες δουλειές, πρωτίστως για τα νέα παιδιά και γι’ αυτούς που θέλουν να γυρίσουν από το εξωτερικό στην πατρίδα τους.Ο κατώτατος μισθός πήγε από τα 650 στα 780 ευρώ. Οι συνταξιούχοι μας είδαν για πρώτη φορά μετά από 12 χρόνια αυξήσεις σχεδόν 8%. Και όσοι αδικούνται από την προσωπική διαφορά Κατρούγκαλου θα συνεχίσουν να ενισχύονται από την κυβέρνησή μας μέχρι αυτή η διαφορά να σβήσει οριστικά.",political agenda,employment,investments,0.9,0.0,0.0,"[['""we""', 'group of people', '1.0'], ['""great people\'s party""', 'organization', '1.0'], ['""economy""', 'organization', '0.3'], ['""society""', 'organization', '0.3'], ['""labour""', 'organization', '0.3'], ['""entrepreneurship""', 'organization', '0.6'], ['""young people""', 'group of people', '1.0'], ['""katrougalos personal difference""', 'organization', '0.4'], ['""government""', 'organization', '0.5']]"
8,"We were able to do so and we were freed from European supervision. We paid off the IMF loans two years earlier, we were upgraded 12 times. And, yes, we are one step away from investment grade -an extremely important development, it will allow you all to borrow at a lower cost of money. Something that with a New Democracy government, I guarantee, will become a reality within the first 100 days.","Μπορέσαμε έτσι και απελευθερωθήκαμε από την ευρωπαϊκή εποπτεία. Ξεπληρώσαμε δύο χρόνια πιο πριν τα δάνεια του ΔΝΤ, αναβαθμιστήκαμε 12 φορές. Και, ναι, είμαστε ένα βήμα από την επενδυτική βαθμίδα -εξαιρετικά σημαντική εξέλιξη, θα επιτρέπει σε όλους σας να δανείζεστε με χαμηλότερο κόστος χρήματος. Κάτι που με κυβέρνηση της Νέας Δημοκρατίας, το εγγυώμαι, θα γίνει πραγματικότητα μέσα στις πρώτες 100 μέρες.",political agenda,economy,interest rates,0.85,0.1,0.0,"[['european', 'location', '0.8'], ['imf', 'organization', '0.8'], ['new democracy', 'political party', '0.8'], ['100 days', 'date', '0.8']]"
9,"But I am equally proud that in the same period the place - ""scorpion village"" has ceased to be a centre for migrants passing through. Illegal flows have been reduced to almost zero. The disgrace of Moria is a thing of the past, while the national and European borders exist, no matter how much some people pretended not to see them.And the fence on Evros, which some people fought fiercely against, is being extended and made a reality by our government.","Αλλά είμαι εξίσου υπερήφανος που στο ίδιο διάστημα ο τόπος - «σκορποχώρι» έπαψε να αποτελεί κέντρο διερχομένων μεταναστών. Οι παράνομες ροές σχεδόν μηδενίστηκαν. Το αίσχος της Μόριας είναι παρελθόν, ενώ τα εθνικά και ευρωπαϊκά σύνορα υπάρχουν όσο κι αν κάποιοι έκαναν πως δεν τα έβλεπαν.Και ο φράχτης στον Έβρο, τον οποίο κάποιοι πολέμησαν λυσσαλέα, επεκτείνεται και γίνεται πράξη με την δική μας κυβέρνηση. ",political agenda,migration,other,-0.2,0.0,0.0,"[['moria', 'location', '0.9'], ['evros', 'location', '0.9'], ['european', 'organization', '0.6'], ['government', 'organization', '0.6']]"
10,"Of course, we know that there is no prosperity without national sovereignty. The one that is protected - and when you don't see them, I assure you they are there and flying - by 24 new Rafale fighters, 84 upgraded F-16s, and from 2028 F-35s. Three new frigates, new corvettes, because alongside our reborn defence industry are our reborn shipyards; we have breathed life back into the shipbuilding zone. We have saved people from unemployment. We got the shipyards going again. Do you know why? Because - we make no secret of it - for us, national defence is the ultimate end in itself. A non-negotiable priority for our great patriotic party.","Βέβαια, εμείς γνωρίζουμε ότι δεν υπάρχει ευημερία χωρίς εθνική κυριαρχία. Αυτήν που προστατεύουν -και όταν δεν τα βλέπετε σας διαβεβαιώνω ότι είναι εκεί και πετάνε- 24 νέα μαχητικά Rafale, 84 αναβαθμισμένα F-16, και από το 2028 F-35. Τρεις νέες φρεγάτες, νέες κορβέτες, γιατί δίπλα στην αναγεννημένη αμυντική μας βιομηχανία υπάρχουν και τα αναγεννημένα ναυπηγεία μας.Ξαναδώσαμε ζωή στη ναυπηγοεπισκευαστική ζώνη. Σώσαμε ανθρώπους από την ανεργία. Βάλαμε μπρος ξανά τα ναυπηγεία. Ξέρετε γιατί; Γιατί -δεν το κρύβουμε- για εμάς η εθνική άμυνα είναι ο υπέρτατος αυτοσκοπός. Αδιαπραγμάτευτη προτεραιότητα για τη μεγάλη πατριωτική μας παράταξη.",political agenda,national security,defense spending,0.75,0.2,0.0,[]
