id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Hello! Thank you very much for your presence and for your welcome here in beautiful Kos, in democratic Kos, in the democratic Dodecanese. It is a great pleasure to be here tonight among you. And today I believe that all of us are present and present here today in a great invitation, a democratic invitation. A democratic call for the change that will come with the vote of the Greek people on 21 May. I am very happy but also moved to be here in Kos, in the Dodecanese. I know and you know that this democratic invitation today, this very nice gathering, is missing a piece of our heart, a man, a great comrade who loved his country, who served his principles and ideas with vigour and dedication for his entire life: Nektarios Santorinios, whom we lost recently, and who, as Minister of Island Policy, did very important things for the Dodecanese and all the islands. So the struggle that we will be fighting for the Dodecanese and for the whole country will also be his struggle. And I would like to begin my speech by announcing that in his memory and in his honour, I will be a candidate in the Dodecanese, trying to fill this very large gap, but also trying to honour a place that has always been a pioneer in the democratic struggles of our people.","Γεια σας! Σας ευχαριστώ θερμά για την παρουσία σας και για την υποδοχή σας, εδώ στην όμορφη Κω, στη δημοκρατική Κω, στα δημοκρατικά Δωδεκάνησα. Είναι μεγάλη η χαρά μου να βρίσκομαι απόψε εδώ, ανάμεσά σας. Και σήμερα πιστεύω ότι όλες και όλοι είμαστε εδώ παρόντες και παρούσες σ’ ένα μεγάλο προσκλητήριο, δημοκρατικό προσκλητήριο. Το δημοκρατικό προσκλητήριο για την αλλαγή που θα έρθει με την ψήφο του ελληνικού λαού στις 21 του Μάη. Είμαι πολύ χαρούμενος αλλά και συγκινημένος που είμαι εδώ στην Κω, στα Δωδεκάνησα. Ξέρω και ξέρετε κι εσείς ότι απ’ αυτό το προσκλητήριο το σημερινό, το δημοκρατικό, απ’ αυτή την πολύ ωραία συγκέντρωσή μας, λείπει ένα κομμάτι από την καρδιά μας, ένας άνθρωπος, ένας σπουδαίος σύντροφος που αγάπησε τον τόπο του, υπηρέτησε με σθένος και αφοσίωση τις αρχές και τις ιδέες του για ολόκληρη τη ζωή του: Ο Νεκτάριος Σαντορινιός, που τον χάσαμε πρόσφατα, και που ως υπουργός Νησιωτικής Πολιτική, έκανε πολύ σημαντικά πράγματα για τα Δωδεκάνησα και όλα τα νησιά. Ο αγώνας που θα δώσουμε λοιπόν για τα Δωδεκάνησα αλλά και για τη χώρα ολόκληρη, θα είναι και δικός του αγώνας. Και θέλω, ξεκινώντας την ομιλία μου, να σας ανακοινώσω ότι στη μνήμη του και προς τιμήν του, θα είμαι εγώ υποψήφιος στα Δωδεκάνησα, προσπαθώντας να αναπληρώσω αυτό το πολύ μεγάλο κενό, αλλά προσπαθώντας και να τιμήσω έναν τόπο που ήταν πάντοτε πρωτοπόρος στους δημοκρατικούς αγώνες του λαού μας. ",political agenda,elections,other,0.9,0,0,"[['kos', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['greek', 'country', '1.0'], ['21 may', 'date', '1.0'], ['nektarios santorinios', 'person', '1.0'], ['dodecanese', 'location', '1.0']]"
2,"Nektarios, whom we lost so unjustly, had an important vision. An important vision that we put into practice, but today the government of the New Democracy is discrediting it. The transport equivalent for the islands and our islanders, who we do not want to be second-class citizens. This measure, a breath of fresh air for the island country, has been left exposed with delays in payments and an uncertain future by the current government. Delays in payments to beneficiaries starting from 8 months and very often exceeding a year. In practice, these delays mine the smooth operation of the transport equivalence scheme, with the unstated political aim of devaluing it, devaluing a measure that has been embraced by islanders from the very first moment, precisely because it responds to their real needs. These delays do not even allow for a proper evaluation of this innovative, radical reform. In any case, to give you a measure of comparison, the 156 million per year that SYRIZA had budgeted for its implementation in 2019 alone is almost the same as the total amount that the New Democracy government claims to have spent over four years. What we budgeted for the first year, they will have spent for four full years. To give you a measure of comparison, how they are trying to discredit this measure. So we, in the vision and memory of Nektarios, will put it back into practice. And we will put it into practice.","Ο Νεκτάριος λοιπόν, που χάσαμε τόσο άδικα, είχε ένα όραμα σημαντικό. Ένα όραμα σημαντικό που το κάναμε πράξη, αλλά σήμερα το απαξιώνει η κυβέρνηση της Νέας Δημοκρατίας. Το μεταφορικό ισοδύναμο για τα νησιά και τους νησιώτες μας, που δεν θέλουμε να είναι πολίτες β’ κατηγορίας. Αυτό το μέτρο, μέτρο πνοής για τη νησιωτική χώρα, έχει αφήσει έκθετο με καθυστερήσεις στις πληρωμές και με άδηλο μέλλον η σημερινή κυβέρνηση. Καθυστερήσεις στις πληρωμές των δικαιούχων που ξεκινούν από 8 μήνες και πολύ συχνά ξεπερνούν τον ένα χρόνο. Στην πράξη, οι καθυστερήσεις αυτές ναρκοθετούν την ομαλή λειτουργία του μεταφορικού ισοδύναμου, με ανομολόγητο πολιτικό σκοπό την απαξίωσή του, την απαξίωση ενός μέτρου που έχουν αγκαλιάσει από την πρώτη στιγμή οι νησιώτες, ακριβώς διότι απαντά στις πραγματικές τους ανάγκες. Οι καθυστερήσεις αυτές δεν επιτρέπουν καν την ορθή αξιολόγηση αυτής της καινοτόμου, ριζοσπαστικής μεταρρύθμισης. Σε κάθε περίπτωση, για να έχετε ένα μέτρο σύγκρισης, το ποσό των 156 εκατομμυρίων κατ’ έτος που είχε προϋπολογίσει ο ΣΥΡΙΖΑ για την εφαρμογή του, μόνο το έτος 2019, είναι σχεδόν το ίδιο με το συνολικό ποσό που ισχυρίζεται ότι θα έχει δαπανήσει η κυβέρνηση της Νέας Δημοκρατίας, τέσσερα ολόκληρα χρόνια. Όσα προϋπολογίσαμε εμείς για τον πρώτο χρόνο, αυτοί θα έχουν δώσει για τέσσερα ολόκληρα χρόνια. Για να έχετε ένα μέτρο σύγκρισης, πώς προσπαθούν να απαξιώσουν αυτό το μέτρο. Εμείς λοιπόν στο όραμα και στη μνήμη του Νεκτάριου, θα το θέσουμε ξανά σε εφαρμογή. Και θα το κάνουμε πράξη. ",political agenda,economy,other,-0.5,0.2,0,"[['nektarios', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['islanders', 'group of people', '1.0'], ['syriza', 'political party', '1.0'], ['greece', 'country', '1.0'], ['2019', 'date', '1.0']]"
3,"And we will put into practice another of his visions that he did not have time to complete: after the transport equivalent, we will bring the health equivalent. This is a targeted package of interventions to combat health inequality between the island region and the centre. This package includes: First, the priority development of strong public health structures and services in the islands, with upgrading the salary scale of health personnel, with the tenure of health workers in service, with permanent recruitment, with the implementation of a specific framework of incentives (salary, housing, tax and administrative) for the staffing and retention of NHS people in the island regions. Secondly, the utilisation of even the private sector not contracted with EOPYY in island regions, when the public sector is unable to meet the need, by directly compensating citizens for the services they use, with the main criterion being to relieve them of additional health costs. Thirdly, a full guarantee by the State of access by islanders to the necessary health services outside their place of residence, where the necessary services are not provided either by the NHS or by the private sector in an island region. The full assumption of responsibility includes covering the relevant costs of travel and accommodation in the most complete part, whether island or central Greece, which has structures, health units and hospitals. Fourthly, zero contribution to the pharmaceutical costs of chronic patients (diabetics, heart patients, etc.) living on the islands. This is the package of measures that we are committed to implement, to make our islanders citizens citizens of equal opportunities and equal rights with all other citizens. Because fairness everywhere means, above all, equal access to health care for all citizens throughout the territory. And that means priority for our islands, priority for island Greece. The Greece of the front line. This is what we want to fight for, this is what we want to serve.","Και θα κάνουμε πράξη κι ένα άλλο όραμά του που δεν πρόλαβε να ολοκληρώσει ο ίδιος: Μετά το μεταφορικό ισοδύναμο, θα φέρουμε και το υγειονομικό ισοδύναμο. Πρόκειται για μια στοχευμένη δέσμη παρεμβάσεων για την καταπολέμηση της υγειονομικής ανισότητας μεταξύ της νησιωτικής Περιφέρειας και του κέντρου. Στη δέσμη αυτή συμπεριλαμβάνονται: Πρώτον, η κατά προτεραιότητα ανάπτυξη ισχυρών δημόσιων δομών και υπηρεσιών υγείας στα νησιά, με αναβάθμιση του μισθολογίου του υγειονομικού προσωπικού, με μονιμοποίηση των υγειονομικών που υπηρετούν, με μόνιμες προσλήψεις, με εφαρμογή ειδικού πλαισίου κινήτρων (μισθολογικών, στεγαστικών, φορολογικών και διοικητικών) για τη στελέχωση και παραμονή των ανθρώπων του ΕΣΥ στις νησιωτικές περιοχές. Δεύτερον, η αξιοποίηση ακόμη και του μη συμβεβλημένου με τον ΕΟΠΥΥ ιδιωτικού τομέα στις νησιωτικές περιοχές, όταν ο δημόσιος τομέας αδυνατεί να καλύψει την ανάγκη, με απευθείας αποζημίωση των πολιτών για τις υπηρεσίες που χρησιμοποιούν, έχοντας ως βασικό κριτήριο την ελάφρυνσή τους από πρόσθετες δαπάνες υγείας. Τρίτον, η πλήρης εγγύηση από την πολιτεία της πρόσβασης των νησιωτών στις απαιτούμενες υπηρεσίες υγείας εκτός τόπου κατοικίας τους, εφόσον οι αναγκαίες υπηρεσίες δεν παρέχονται ούτε από το ΕΣΥ, ούτε από τον ιδιωτικό τομέα σε μία νησιωτική περιοχή. Η πλήρης ανάληψη της ευθύνης περιλαμβάνει την κάλυψη της σχετικής δαπάνης μετακίνησης και διαμονής στο πληρέστερο μέρος, είτε νησιωτικό, είτε της Κεντρικής Ελλάδας που έχει δομές, μονάδες Υγείας και Νοσοκομεία. Τέταρτον, η μηδενική συμμετοχή στη φαρμακευτική δαπάνη των χρόνιων ασθενών (διαβητικών, καρδιοπαθών κ.α.) που ζουν στα νησιά. Αυτή είναι η δέσμη μέτρων που δεσμευόμαστε ότι θα υλοποιήσουμε, να καταστήσουμε τους νησιώτες μας πολίτες ίσων ευκαιριών και ίσων δικαιωμάτων με όλους τους υπόλοιπους πολίτες. Γιατί δικαιοσύνη παντού σημαίνει πάνω απ’ όλα ίσες δυνατότητες πρόσβασης στην Υγεία για όλους τους πολίτες σε όλη την επικράτεια. Και αυτό σημαίνει προτεραιότητα στα νησιά μας, προτεραιότητα στη νησιωτική Ελλάδα. Την Ελλάδα της πρώτης γραμμής. Γι' αυτήν θέλουμε ν’ αγωνιστούμε, αυτή θέλουμε να υπηρετήσουμε. ",political agenda,health,public health system,0.62,0,0,"[['islands', 'location', '0.7'], ['nhs', 'organization', '1.0'], ['eopyy', 'organization', '0.6'], ['state', 'organization', '0.5'], ['greece', 'country', '1.0'], ['diabetics', 'group of people', '0.6'], ['heart patients', 'group of people', '0.6']]"
4,"Friends, citizens of Kos, less than a month is left from the day when we all expect that the people, with their vote, will take the big step towards justice and change. The day when they will say a decisive no to the regime of inexactitude, scandals, interceptions and corruption. To the Mitsotakis regime. And the big and decisive yes to SYRIZA - Progressive Alliance and the progressive government. And I am sure that nothing will be the same in this country on the evening of May 21. Greece will leave behind four difficult, four hard years. It will leave behind insecurity, worry, anxiety and will take a first but decisive step towards hope and certainty. The first step towards justice everywhere in this country. It is this thought, this vision, that I see is mobilising more and more people in every corner of our country, wherever I have been in recent days, from one end to the other. Because Greek society is moving every day from scepticism, from reflection, from anger, to decision. And from decision to participation. We know. We can. We will get Greece out of this swamp. And I want to tell you that this is a pinnacle moment, the moment of the people's verdict, above all the unity of a people. A people united by two words inscribed in its very identity. One word is our national anthem itself. And the other is the reason why this people is known from all over the world. One word is Freedom, the second word is Democracy. Freedom and Democracy. Freedom and democracy always lead us to the great dilemmas of the times. They have too many struggles, too many sacrifices, too much history behind them for anyone to desecrate them and subordinate them to personal self-interest.","Φίλες και φίλοι, πολίτες της Κω, έμεινε λιγότερο από ένας μήνας από τη μέρα εκείνη που προσδοκάμε όλοι, ο λαός με τη ψήφο του κάνει το μεγάλο βήμα προς τη δικαιοσύνη και την αλλαγή. Τη μέρα εκείνη που θα πει το αποφασιστικό όχι στο καθεστώς της ακρίβειας, των σκανδάλων, των υποκλοπών και της διαφθοράς. Στο καθεστώς Μητσοτάκη. Και το μεγάλο και αποφασιστικό ναι στον ΣΥΡΙΖΑ- Προοδευτική Συμμαχία και στην προοδευτική κυβέρνηση. Και είμαι βέβαιος ότι τίποτε δεν θα είναι ίδιο σ’ αυτή τη χώρα, το βράδυ της 21ης Μαΐου. Η Ελλάδα θα αφήσει πίσω της τέσσερα δύσκολα, τέσσερα σκληρά χρόνια. Θα αφήσει πίσω της την ανασφάλεια, την ανησυχία, την αγωνία και θα κάνει ένα πρώτο αλλά αποφασιστικό βήμα προς την ελπίδα αλλά και τη σιγουριά. Το πρώτο βήμα για δικαιοσύνη παντού σ’ αυτό τον τόπο. Αυτή η σκέψη, αυτό το όραμα είναι που, όπως βλέπω, κινητοποιεί όλο και περισσότερους ανθρώπους σε κάθε γωνιά της πατρίδας μας, όπου βρίσκομαι τις τελευταίες μέρες, απ’ άκρη σε άκρη. Γιατί η ελληνική κοινωνία περνάει κάθε μέρα από τον σκεπτικισμό, τον προβληματισμό, τον θυμό, στην απόφαση. Και από την απόφαση στη συμμετοχή. Ξέρουμε. Μπορούμε. Θα βγάλουμε την Ελλάδα απ’ αυτό τον βάλτο. Και θέλω να σας πω ότι αυτή είναι μια κορυφαία στιγμή, η στιγμή της λαϊκής ετυμηγορίας, πάνω απ’ όλα ενότητας ενός λαού. Ενός λαού που τον ενώνουν δύο λέξεις εγγεγραμμένες στην ίδια του την ταυτότητα. Η μία λέξη, είναι ο ίδιος ο Εθνικός μας Ύμνος. Και η άλλη είναι ο λόγος για τον οποίο γνωρίζουν αυτό το λαό απ’ άκρη σ’ άκρη, σε όλο τον κόσμο. Η μία λέξη είναι η Ελευθερία, η δεύτερη λέξη είναι η Δημοκρατία. Η Ελευθερία και η Δημοκρατία. Η ελευθερία και η δημοκρατία πάντοτε μας οδηγούν στα μεγάλα διλήμματα των καιρών. Έχουν πολλούς αγώνες, πολλές θυσίες, πολλή ιστορία πίσω τους για να μπορεί οποιοσδήποτε να τις βεβηλώνει και να τις υποτάσσει σε προσωπικές ιδιοτέλειες. ",political agenda,elections,corruption,0.55,0.2,0.5,"[['kos', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['syriza - progressive alliance', 'political party', '1.0'], ['greece', 'country', '1.0'], ['may 21', 'date', '1.0'], ['greek society', 'group of people', '1.0'], ['freedom', 'concept', '1.0'], ['democracy', 'concept', '1.0']]"
5,"I heard Mr Mitsotakis say in the last few days that the simple proportional representation is a trap for SYRIZA. And it does not, he says, harm New Democracy, but it harms democracy itself. And I wonder: I wonder how much fear this opinion exudes? How much fear in the face of the sovereign people. Because what does it mean, other than fear, when a Prime Minister, indeed, who is supposed to enjoy the esteem of the people, denounces the simplest and most honest electoral system that has ever existed, the electoral system that ensures the authentic expression of political correlations, the equal participation of citizens in decisions, the fairness of the vote? The truth is simple. That's how they've gotten comfortable for decades. They said they had self-ruling governments when in reality they had minority governments in the Greek people. That's how they've been comfortable for decades. Miserable policies imposed by miserable means and with the people participating as little as, once every four years. As much as it takes to perpetuate their power. So it is this ""as much as"" of the governments of the arrogant, supposedly self-reliant but minority governments, that has brought Greece to the rocks. It was autocratic governments that bankrupted us. It was autocratic governments that arrogantly drove society to the brink of despair. So instead of the political system being trained in dialogue and cooperation, in respect for the will of the people, our people should have been trained in the distortion of their will.","Άκουσα τις προηγούμενες μέρες κ. Μητσοτάκη να λέει ότι η απλή αναλογική είναι παγίδα του ΣΥΡΙΖΑ. Και δεν βλάπτει, λέει, τη Νέα Δημοκρατία, αλλά βλάπτει την ίδια τη δημοκρατία. Και αναρωτιέμαι: Άραγε, πόσο φόβο αποπνέει αυτή η άποψη; Φόβο μπροστά στον κυρίαρχο λαό. Γιατί, τι άλλο σημαίνει, εκτός από φόβο, όταν ένας πρωθυπουργός, μάλιστα, που υποτίθεται ότι χαίρει της εκτίμησης του λαού, καταγγέλλει το πιο απλό και τίμιο εκλογικό σύστημα που υπήρξε ποτέ, το εκλογικό εκείνο σύστημα που διασφαλίζει την αυθεντική αποτύπωση των πολιτικών συσχετισμών, την ισότιμη συμμετοχή του πολίτη στις αποφάσεις, τη δικαιοσύνη στη ψήφο; Η αλήθεια είναι απλή. Έτσι βολεύονταν εδώ και δεκαετίες. Έλεγαν ότι έχουν αυτοδύναμες κυβερνήσεις ενώ στην πραγματικότητα είχαν μειοψηφικές κυβερνήσεις στον ελληνικό λαό. Έτσι βολεύονταν, επί δεκαετίες. Άθλιες πολιτικές που επιβάλλονται με άθλια μέσα και με τον λαό να συμμετέχει τόσο όσο, μια φορά κάθε τέσσερα χρόνια. Τόσο όσο χρειάζεται για να διαιωνιστεί η εξουσία τους. Είναι, λοιπόν, αυτό το «τόσο όσο» των κυβερνήσεων των αλαζονικών, των δήθεν αυτοδύναμων αλλά μειοψηφικών, είναι που έφερε την Ελλάδα στα βράχια. Αυτοδύναμες ήταν οι κυβερνήσεις που μας χρεοκόπησαν. Αυτοδύναμες ήταν οι κυβερνήσεις που με αλαζονεία οδήγησαν την κοινωνία στα πρόθυρα της απελπισίας. Αντί λοιπόν το πολιτικό σύστημα να εκπαιδευτεί στον διάλογο και τη συνεργασία, στον σεβασμό της θέλησης του λαού, έπρεπε σώνει και καλά ο λαός μας να εκπαιδευτεί στη στρέβλωση της βούλησης του. ",criticism,democracy,other,-0.9,0.4,0.6,"[['mr mitsotakis', 'person', '1.0'], ['syriza', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['prime minister', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0']]"
6,"Well, it's time for a big change. And this big change has to do with the model, with the way of governance. The time has come to say ""no more"" to this distortion of the will of the Greek people. In these elections there will be no tricks, no bonuses to multiply votes. There will be no votes and no two-tier citizens. On 21 May, what you vote for at the ballot box will be voted for in Parliament. That is why the mandate that SYRIZA will receive as the first party in the May 21 elections will be a clear mandate, it will be an authentic and crystal clear mandate. It will be a mandate to form a strong, progressive government. Because strong is the authentic desire of an entire people, not the distortion of it through filters. Only this democratic desire, the popular majority, can and will provide certainty and stable, long-lasting government. This popular majority will seal the great change and become the embryo of justice in our land. And justice cannot be so much either. For where there is no justice, injustice reigns, the arrogance of power, the impunity of the oligarchy. Justice must be a universal principle. Otherwise it does not exist. Justice must be everywhere. In the economy, in society, in the state. Justice is the foundation stone of the Greece we want to build. Because the Greece we have lived these four years does not deserve anyone who lives, works, studies, dreams with honesty and dignity in this country.","Ε, λοιπόν, ήρθε η στιγμή για μια μεγάλη αλλαγή. Και αυτή η μεγάλη αλλαγή έχει να κάνει και με το μοντέλο, με τον τρόπο διακυβέρνησης. Ήρθε η στιγμή να πούμε «όχι πια» σ’ αυτή τη στρέβλωση της βούλησης του ελληνικού λαού. Σε αυτές τις εκλογές δεν υπάρχουν κόλπα, δεν θα υπάρχουν μπόνους που θα πολλαπλασιάζουν τις ψήφους. Δεν θα υπάρχουν ψήφοι και πολίτες δύο ταχυτήτων. Την 21η Μάη ό,τι ψηφίζεις στην κάλπη, βγαίνει στη Βουλή. Γι’ αυτό και η εντολή που θα λάβει ο ΣΥΡΙΖΑ ως το πρώτο κόμμα στις εκλογές της 21ης του Μάη, θα είναι μια εντολή καθαρή, θα είναι μια εντολή αυθεντική και κρυστάλλινη. Θα είναι εντολή να σχηματίσει ισχυρή, προοδευτική κυβέρνηση. Γιατί ισχυρή είναι η αυθεντική επιθυμία ενός ολόκληρου λαού και όχι η παραμόρφωσή της μέσα από φίλτρα. Μόνο αυτή η δημοκρατική επιθυμία, η λαϊκή πλειοψηφία, μπορεί να δώσει και θα δώσει σιγουριά και σταθερή κυβέρνηση μακράς πνοής. Αυτή η λαϊκή πλειοψηφία θα σφραγίσει τη μεγάλη αλλαγή και θα γίνει ο εμβρυουλκός της δικαιοσύνης στον τόπο μας. Και η δικαιοσύνη δεν μπορεί ούτε αυτή να είναι τόσο όσο. Γιατί όπου δεν υπάρχει δικαιοσύνη, βασιλεύει η αδικία, η αλαζονεία της εξουσίας, η ασυδοσία της ολιγαρχίας. Η δικαιοσύνη πρέπει να είναι αρχή καθολική. Αλλιώς δεν υπάρχει. Η δικαιοσύνη πρέπει να είναι παντού. Στην οικονομία, στην κοινωνία, στο κράτος. Η δικαιοσύνη είναι η θεμέλια λίθος της Ελλάδας που θέλουμε να χτίσουμε. Γιατί η Ελλάδα που ζήσαμε αυτά τα τέσσερα χρόνια, δεν αξίζει σε κανέναν που ζει, εργάζεται, σπουδάζει, ονειρεύεται με εντιμότητα και αξιοπρέπεια σ’ αυτόν τον τόπο. ",political agenda,elections,injustice,0.6,0.1,0.2,"[['greek people', 'group of people', '1.0'], ['syriza', 'political party', '1.0'], ['parliament', 'organization', '1.0'], ['may 21', 'date', '1.0'], ['greece', 'country', '1.0']]"
7,"So I have here today in Kos to bring to all of you, citizens of Kos, of the Dodecanese, news about Mr Mitsotakis, who is afraid as the days go by and we reach the crisis of the people, he is very afraid and he shows it: So the time and the day of change is coming. The day is coming when the voices of all will unite. The voices of the people who have unjustly lost their own people in the pandemic. We are the country with the worst death toll in proportion to our population.","Έχω λοιπόν σήμερα εδώ στην Κω να μεταφέρω σε όλους εσάς, πολίτες της Κω, των Δωδεκανήσων, να μεταφέρω νέα για τον κύριο Μητσοτάκη που φοβάται όσο περνούν οι μέρες και φτάνουμε στην κρίση του λαού, φοβάται πολύ και το δείχνει: Έρχεται λοιπόν η ώρα και η μέρα της αλλαγής. Έρχεται η μέρα που οι φωνές όλων θα ενωθούν. Οι φωνές των ανθρώπων που έχασαν άδικα τους δικούς τους ανθρώπους στην πανδημία. Είμαστε η χώρα με τον χειρότερο αριθμό νεκρών στην αναλογία του πληθυσμού μας.",criticism,pandemic,other,-0.5,0,0.2,"[['kos', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['people', 'group of people', '1.0'], ['the day', 'date', '1.0'], ['country', 'country', '1.0']]"
8,The time has come to unite the voices of those who work unpaid twelve-hour days. Those whose lives are being dominated by the collection agencies. Those whose homes are in imminent danger of foreclosure because the first home is no longer protected.,"Έρχεται η ώρα να ενωθούν οι φωνές αυτών που δουλεύουν απλήρωτα δωδεκάωρα. Αυτών που δυναστεύουν τις ζωές τους οι εισπρακτικές εταιρείες. Αυτών που κινδυνεύουν άμεσα τα σπίτια τους με πλειστηριασμό, διότι δεν προστατεύεται πια η πρώτη κατοικία.",political agenda,economy,foreclosures,-0.6,0,0.5,[]
9,"These young children with dreams for tomorrow and with determination for life, who these days are in their homes studying, working hard because they are competing in the national exams and dreaming of tomorrow. But they too have the right to vote and we need to talk to these children. We need to give them perspective, we need to give them a future, we need to listen to what they have to say.","Αυτών των νέων παιδιών με όνειρα για το αύριο και με αποφασιστικότητα για τη ζωή, που τούτες τις μέρες βρίσκονται στα σπίτια τους και διαβάζουν, δουλεύουν σκληρά γιατί διαγωνίζονται στις πανελλαδικές εξετάσεις και κάνουν όνειρα για το αύριο. Αλλά έχουν κι αυτά δικαίωμα ψήφου και πρέπει να μιλήσουμε σε αυτά τα παιδιά. Να δώσουμε προοπτική, να δώσουμε μέλλον, να τους ακούσουμε τι έχουν να μας πουν.",political agenda,education,youth,0.8,0,0,"[['national exams', 'organization', '0.6'], ['tomorrow', 'date', '0.6']]"
10,"So the time has come for all these voices from all over the country to come together and say two words: That's it! No more injustice, no more obscenity, no more indecency, no more dignity! And I can say more next to injustice, obscenity, indecency, injustice, injustice. I can also add the word 'insecurity', because that is what the average citizen is experiencing today: Insecurity. But I would also like to say 'enough' to those who believe that this society, this state, belongs to them. So let's say that it doesn't belong to them, it belongs to the Greek people, so that's it for family rule! We are a normal European country where the people decide!","Έρχεται λοιπόν η ώρα, όλες αυτές οι φωνές απ’ άκρη σ’ άκρη της χώρας να ενωθούν και να πουν δυο λέξεις: Ως εδώ! Δεν πάει άλλο με την αδικία, με την αισχροκέρδεια, με την αναξιοπρέπεια, δεν πάει άλλο! Και μπορώ να πω κι άλλα δίπλα στην αδικία, στην αισχροκέρδεια, την αναξιοπρέπεια. Μπορώ να προσθέσω και τη λέξη “ανασφάλεια”, γιατί αυτό βιώνει σήμερα ο μέσος πολίτης: Ανασφάλεια. Αλλά να πω κι ένα “ως εδώ”, μ’ αυτούς που πιστεύουν ότι αυτή η κοινωνία, αυτό το κράτος τους ανήκει. Να πούμε λοιπόν ότι δεν ανήκει σ’ αυτούς, ανήκει στον ελληνικό λαό, άρα ως εδώ και με την οικογενειοκρατία! Είμαστε μια κανονική ευρωπαϊκή χώρα που ο λαός αποφασίζει! ",criticism,corruption,injustice,0.8,0.2,0.3,"[['country', 'greece', '1.0'], ['group of people', 'greek people', '1.0'], ['organization', 'european', '1.0']]"
