id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you very much for this very warm welcome here in Chios. In a gathering that I did not expect to be so large at noon on Saturday. But the gathering is twice as big as I expected, because you Chians go two by two. And so two-by-two we're also going to the ballot box to bring change. For the country to breathe again. Because this ""two-by-two"" some people misunderstand it, they make fun of it, but it has a lot of substance. What does two-two mean? It means one standing next to the other. It means one supports the other. It means solidarity. It means strength in unity. That's what it means. It was wise of the Chians to first put this out. Merchants, open minds, refugees in this place, they made progress. And I think that's what we need today. We need that sense of solidarity, of unity, of collectivity that will give us strength. Because only together can we bring change in our lives, in our country, in our government.","Σας ευχαριστώ θερμά για αυτή την πολύ ζεστή υποδοχή εδώ στη Χίο. Σε μια συγκέντρωση που δεν την περίμενα να είναι τόσο μεγάλη μεσημεριάτικα Σαββάτου. Αλλά η συγκέντρωση είναι διπλή από ό,τι περίμενα, διότι εσείς οι Χιώτες πηγαίνετε δυό-δυό. Και έτσι δυό-δυό θα πάμε και στην κάλπη για να φέρουμε την αλλαγή. Για να ανασάνει η χώρα. Γιατί αυτό το ""δυό-δυό"" κάποιοι το παρεξηγούν, το κοροϊδεύουν αλλά έχει πολύ μεγάλη ουσία. Δυό-δυό τι σημαίνει; Σημαίνει ο ένας στέκεται δίπλα στον άλλον. Σημαίνει ο ένας στηρίζει τον άλλον. Σημαίνει αλληλεγγύη. Σημαίνει ισχύ στην ενότητα. Αυτό σημαίνει. Ήταν σοφοί οι Χιώτες που το πρωτοβγάλαν αυτό. Έμποροι, ανοικτά μυαλά, πρόσφυγες σ'αυτόν εδώ τον τόπο, κάνανε προκοπή. Και νομίζω ότι αυτό χρειαζόμαστε σήμερα. Χρειαζόμαστε αυτή την αίσθηση της αλληλεγγύης, της ενότητας, της συλλογικότητας που θα μας δώσει δύναμη. Γιατί μόνο όλοι μαζί μπορούμε να φέρουμε την αλλαγή στη ζωή μας, στον τόπο, στην κυβέρνηση. ",political agenda,elections,other,0.8,0.0,0.0,"[['chios', 'location', '1.0'], ['chians', 'group of people', '1.0'], ['country', 'country', '1.0']]"
2,"And if some younger people forgot, they have now been reminded by this government, which was the worst government of the right since the post-war period. Because this is not a government of the right, this is a government of big interests. It was right what was heard and even first heard in the Greek Parliament from the lips of the late Fofi Gennimata who had said ""Maximou S.A."" So it is not just a right-wing government.","Και αν κάποιοι νεότεροι ξεχάσανε τους το θύμισε τώρα αυτή η κυβέρνηση που ήταν η χειρότερη κυβέρνηση της Δεξιάς από την μεταπολίτευση και μετά. Διότι αυτή δεν είναι μια κυβέρνηση της Δεξιάς, αυτή είναι μια κυβέρνηση των μεγάλων συμφερόντων. Ήταν σωστό αυτό που ακούστηκε και μάλιστα πρωτοακούστηκε στην ελληνική Βουλή από τα χείλη της Αείμνηστης Φώφης Γεννηματά είχε πει ""Μαξίμου Α.Ε."" Δεν είναι λοιπόν απλά μια δεξιά κυβέρνηση. ",criticism,corruption,other,-0.6,0.3,0.2,"[['government', 'organization', '0.8'], ['fofi gennimata', 'person', '0.9'], ['greek parliament', 'organization', '0.7'], ['maximou s.a.', 'organization', '0.5']]"
3,"And I'm also addressing conservative people. Voters, years of New Democracy who are embarrassed by the illegal wiretapping case. They were watching half of the political system inside the Maximou Mansion, breaking down any notion of democratic legitimacy and the rule of law.  ","Και απευθύνομαι και σε συντηρητικούς ανθρώπους. Ψηφοφόρους, χρόνια της Νέας Δημοκρατίας που αισθάνονται ντροπή με την υπόθεση των παράνομων παρακολουθήσεων. Παρακολουθούσαν το μισό πολιτικό σύστημα μέσα στο Μέγαρο Μαξίμου, καταλύοντας κάθε έννοια δημοκρατικής νομιμότητας και κράτους δικαίου.  ",criticism,corruption,wiretapping,-0.8,0.1,0.0,"[['new democracy', 'organization', '0.7'], ['maximou mansion', 'location', '0.8']]"
4,"They feel ashamed when they see their income shrinking, their income being saved in the first 20 days of the month and they don't have enough to make it through the month.","Αισθάνονται ντροπή όταν βλέπουνε να συρρικνώνεται το εισόδημα, να σώνεται το εισόδημα στις πρώτες 20 μέρες του μήνα να μην έχουν να βγάλουν το μήνα. ",criticism,economy,other,-0.6,0.0,0.0,[]
5,"They feel ashamed when they see that Greece is the most expensive country in Europe in terms of the wholesale price of electricity. Paying the most expensive petrol in the whole of Europe and the middle class being fed with coupons in the supermarket, that is the reality today. Those who came out in '19 to say that they were coming to give the middle class a perspective, have reduced the middle class to living on coupons.","Αισθάνονται ντροπή όταν βλέπουν η Ελλάδα να είναι η ακριβότερη χώρα στην Ευρώπη, στην χονδρική τιμή του ρεύματος. Να πληρώνουμε την ακριβότερη βενζίνη σε όλη την Ευρώπη και να έχει καταντήσει η μεσαία τάξη να τρέφεται με κουπόνια στο σουπερμάρκετ, αυτή είναι η πραγματικότητα σήμερα. Αυτοί που βγήκαν το '19 να λένε οτι έρχονται να δώσουν προοπτική στη μεσαία τάξη, κατάντησαν τη μεσαία τάξη να ζει με κουπόνια. ",criticism,economy,cost of living,-0.8,0.3,0.0,"[['greece', 'location', '1.0'], ['europe', 'location', '1.0'], ['middle class', 'group of people', '1.0'], [""'19"", 'date', '1.0']]"
6,Change is the great desire of the great majority of the Greek people and I will say it once again. The many want change and the many will make their wish come true at the ballot box on May 21. On election night the lies end. Because we have heard a lot of lies for four years now.,"Η αλλαγή είναι η μεγάλη επιθυμία, της μεγάλης πλειοψηφίας του ελληνικού λαού και θα το πω άλλη μια φορά. Οι πολλοί θέλουν την αλλαγή και οι πολλοί θα κάνουν την επιθυμία τους πράξη, στην κάλπη της 21ης του Μάη. Το βράδυ των εκλογών τελειώνουν τα ψέματα. Γιατί πολλά ψέματα ακούσαμε τέσσερα χρόνια τώρα. ",criticism,elections,election spending,0.3,0.1,0.6,"[['greek people', 'group of people', '1.0'], ['may 21', 'date', '1.0']]"
7,"But why do many people want change? The many want change because they have seen their income shrink. Those who earn up to 700 euros a month have lost 40% of their purchasing power, but they are not alone. And a family with an income of 1500 and 2000 euros is finding it difficult to make ends meet. It is difficult to make ends meet because the inelastic needs now cover a very large proportion of the family budget. So we are saying that this must and can change and we have a plan to give breath and perspective. This plan of course puts a limit on the profitability of a few and powerful people who have seen at the same time that households are struggling to make their monthly earnings, they have seen their earnings egg on the face of the table and have a twenty-year record. 15 listed companies on the Athens Stock Exchange had profits of over a billion each. and you see all this you know. These strange, famous coupons given to citizens, the pass. We have a pass everywhere. Pass to go to the supermarket. Pass to go to the gas station. Pass to pay for electricity. Everywhere I hear a pass. But you don't go. You don't go anywhere with a pass. So these are the reality, this trick, this mechanism. It's a mechanism of income redistribution.  ","Γιατί όμως οι πολλοί θέλουν την αλλαγή; Οι πολλοί θέλουν την αλλαγή διότι είδαν το εισόδημά τους να συρρικνώνεται. Όσοι παίρνουν ως 700 ευρώ το μήνα, έχουν χάσει το 40% της αγοραστικής τους δύναμης. αλλά δεν είναι μόνο αυτοί. Και μια οικογένεια με εισόδημα 1500 και 2000 ευρώ δυσκολεύεται να τα βγάλει πέρα. Δυσκολεύεται να τα βγάλει πέρα διότι οι ανελαστικές ανάγκες καλύπτουν πια ένα πολύ μεγάλο ποσοστό του οικογενειακού προϋπολογισμού. Λέμε λοιπόν ότι αυτό πρέπει και μπορεί να αλλάξει και έχουμε σχέδιο να δώσουμε ανάσα και προοπτική. Το σχέδιο αυτό βεβαίως βάζει όριο στην κερδοφορία κάποιων λίγων και ισχυρών που είδαν την ίδια στιγμή που τα νοικοκυριά δυσκολεύονται να βγάλουν το μήνα τα κέρδη τους να αυγατίζουν και να έχουν ρεκόρ εικοσαετίας. 15 εισηγμένες επιχειρήσεις στο χρηματιστήριο της Αθήνας είχαν κέρδη πάνω από ένα δισεκατομμύριο η καθεμιά. και τα βλέπετε όλα αυτά τα ξέρετε. Αυτά τα περίεργα, τα περίφημα κουπόνια που δίδονται στους πολίτες, τα pass. Έχουμε παντού και από ένα pass. Pass για να πας στο σουπερμάρκετ. Pass για να πας στο βενζινάδικο. Pass για να πληρώσεις το ρεύμα. Παντού ακούω ένα pass. Αλλά δεν πας. Πουθενά δεν πας με τα pass. Αυτοί λοιπόν η πραγματικότητα, αυτό το τέχνασμα, αυτός ο μηχανισμός. Είναι ένας μηχανισμός αναδιανομής του εισοδήματος.  ",political agenda,economy,cost of living,-0.4,0.0,0.2,"[['people', 'group of people', '1.0'], ['income', '1.0'], ['family', 'group of people', '1.0'], ['budget', '1.0'], ['plan', '1.0'], ['profitability', '1.0'], ['companies', 'organization', '1.0'], ['athens stock exchange', 'organization', '1.0'], ['citizens', 'group of people', '1.0'], ['supermarket', 'location', '1.0'], ['gas station', 'location', '1.0'], ['electricity', '1.0'], ['income redistribution', '1.0']]"
8,"What exactly is going on? Mr. Mitsotakis' government is one of the few governments in the European Union that is keeping indirect taxes high when inflation has gone up. It has approached and exceeded 10%, and especially on consumer food products it has remained above 10% for months. Even now at 14%. What does ""keeping VAT and indirect taxes high with such inflation"" mean? It means that where the state used to take, when the prices of goods, a product made 10 €, it took 24. Now that it had gone to 20 euros, it will get 48. An increase of 4 and a half billion in the public coffers by maintaining at these high prices the value added tax. Four and a half billion in state obscenity. And what does that money do? They are supposedly giving subsidies, but the subsidies do not go into the pockets of the citizens, they go to pay the bills and keep these gentlemen's prices high in supermarkets and petrol stations and electricity. So in reality they are plundering consumers' money from the high VAT, mainly the middle classes and the weak, that is to say the vast majority, so that this money can go into the pockets of 5 large energy companies, 2-3 refineries and, of course, all the business groups that have set up cartels in the food sector. This is the picture in Greek society today.  ","Τι ακριβώς συμβαίνει; Κρατάει η κυβέρνηση του κύριου Μητσοτάκη από τις λίγες κυβερνήσεις στην Ευρωπαϊκή Ένωση, υψηλά τους έμμεσους φόρους, όταν ο πληθωρισμός πήρε την ανηφόρα. Προσέγγισε και ξεπέρασε το 10%, και ειδικά στα προϊόντα διατροφής μαζικής κατανάλωσης παραμένει πάνω από 10% για μήνες. Ακόμα και τούτη την ώρα στο 14%. Τι σημαίνει ""διατηρείται υψηλός ο ΦΠΑ και οι έμμεσοι φόροι με ένα τέτοιο πληθωρισμό""; Σημαίνει ότι εκεί που το κράτος έπαιρνε, όταν οι τιμές των προϊόντων, ένα προϊόν έκανε 10 €, έπαιρνε 24. Τώρα που είχε πάει στα 20 ευρώ, θα παίρνει 48. Αύξηση κατά 4μιση δισεκατομμύρια στα δημόσια ταμεία από την διατήρηση σε αυτές τις υψηλές τιμές του φόρου προστιθέμενης αξίας. Τεσσεράμιση δισεκατομμύρια κρατική αισχροκέρδεια. Και τι τα κάνουν αυτά τα χρήματα; Τα δίνουν δήθεν επιδοτήσεις, αλλά οι επιδοτήσεις δεν μπαίνουν στην τσέπη των πολιτών, πηγαίνουν για να πληρωθούν λογαριασμοί και να κρατάνε αυτοί οι κύριοι υψηλά τις τιμές και στα σούπερ μάρκετ και στα πρατήρια της βενζίνης και στο ηλεκτρικό ρεύμα. Άρα στην πραγματικότητα λεηλατούν από τον υψηλό ΦΠΑ τα χρήματα των καταναλωτών, κυρίως των μεσαίων και των αδύναμων, δηλαδή της μεγάλης πλειοψηφίας για να πηγαίνουν αυτά τα χρήματα στις τσέπες 5 μεγάλων ενεργειακών εταιρειών, 2-3 διυλιστηρίων και βεβαίως όλων των επιχειρηματικών ομίλων που έχουν φτιάξει καρτέλ στο χώρο των τροφίμων. Αυτή ειναι η εικόνα σήμερα στην ελληνική κοινωνία.  ",criticism,economy,other,-0.9,0.0,0.1,"[['mr. mitsotakis', 'person', '1.0'], ['european union', 'organization', '1.0'], ['greek society', 'location', '1.0']]"
9,"And what are my friends preparing to happen in the next few months for the middle class? What are they preparing to happen to the middle class next? What's coming is a great tsunami of foreclosures. First home foreclosures. 4,200,000 Greeks. Almost half of the Greeks, half of Greece, have debts, red debts, bad debts to banks, to funds, to social security funds and to the tax authorities. Half of Greece is in debt. Mr Mitsotakis received the public debt at 356 billion from the Syriza government, took it up to 400 billion, raised it to 50 billion, and the private debt? He raised it by 40 billion. And the current account balance, i.e. exports, imports, the deficit increased tenfold. This is not the picture they want to give us of the economy that they present too many times in the media. The critical thing is the picture of the real economy. what does that mean? The picture of our pocketbooks. You know it, you are experiencing it, we are all, most of us, a large majority, going through great economic hardship. So the question is how to give perspective, breath, support to the real economy, to people, to society; that is the big issue.","Και τι ετοιμάζουν φίλες και φίλοι να συμβεί το επόμενο διάστημα για την μεσαία τάξη; Τι ετοιμάζουν να συμβεί στη μεσαία τάξη το επόμενο διάστημα; Αυτό το οποίο έρχεται είναι ένα μεγάλο τσουνάμι πλειστηριασμών. Πλειστηριασμών πρώτης κατοικίας. 4.200.000 Έλληνες. Οι μισοί Έλληνες σχεδόν, η μισή Ελλάδα, έχουνε χρέη, κοκκινισμένα χρέη, μη εξυπηρετούμενες οφειλές σε τράπεζες, σε funds, σε ασφαλιστικά ταμεία και στην εφορία. Η μισή Ελλάδα χρωστάει. Ο κύριος Μητσοτάκης παρέλαβε το δημόσιο χρέος στα 356 δισεκατομμύρια από την κυβέρνηση του ΣΥΡΙΖΑ, το έφτασε στα 400, το ανέβασε 50 δισ. και το ιδιωτικό χρέος; Το ανέβασε 40 δισ. Είναι πραγματικότητα. Και το ισοζύγιο τρεχουσών συναλλαγών, δηλαδή εξαγωγές, εισαγωγές, το έλλειμμα δεκαπλασιάστηκε. Δεν είναι η εικόνα που θέλουν να μας δώσουν για την οικονομία αυτή που παρουσιάζουν πάρα πολλές φορές στα μέσα ενημέρωσης. Το κρισιμότερο είναι η εικόνα της πραγματικής οικονομίας. τι σημαίνει αυτό; Η εικόνα της τσέπης μας. Το ξέρετε, το βιώνετε, το περνάμε όλοι, οι περισσότεροι, μεγάλη πλειοψηφία, μεγάλες οικονομικές δυσκολίες. Το ζήτημα λοιπόν είναι πώς θα δοθεί προοπτική, ανάσα, στήριξη στην πραγματική οικονομία, στους ανθρώπους, στην κοινωνία; αυτό είναι το μεγάλο θέμα. ",political agenda,economy,foreclosures,-0.9,0.2,0.2,"[['mr mitsotakis', 'person', '0.8'], ['syriza', 'political party', '0.7'], ['greece', 'country', '1.0'], ['4', '200', '000 greeks', 'group of people', '0.6'], ['social security funds', 'organization', '0.7'], ['tax authorities', 'organization', '0.6']]"
10,"And the question is: is there a perspective; is there a possibility; is there a plan? Is there a solution? We say yes, there is, with a government that is concerned about the ordinary everyday citizen and not the cartels, not the big interests, not the few and powerful. So this government will fall. A few days left. We will have a great victory of the people and they will be rubbing their eyes on the night of May 21.","Και το ερώτημα είναι: υπάρχει προοπτική; υπάρχει δυνατότητα; υπάρχει σχέδιο; Υπάρχει λύση; Εμείς λέμε ναι, υπάρχει με μια κυβέρνηση που θα έχει έγνοια τον απλό καθημερινό πολίτη και όχι τα καρτέλ, όχι τα μεγαλα συμφέροντα, όχι τους λιγους και ισχυρούς. Η κυβέρνηση λοιπόν αυτή θα πέσει. Λίγες μέρες μείνανε. Θα έχουμε μια μεγάλη νίκη του λαού και θα τρίβουν τα μάτια τους το βράδυ της 21ης του Μάη. ",political agenda,elections,election spending,0.76,0.2,0.8,"[['may 21', 'date', '1.0'], ['government', 'organization', '0.9'], ['cartels', 'group of people', '0.5'], ['big interests', 'organization', '0.5'], ['people', 'group of people', '0.9']]"
