id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Hello citizens of Menidi! I want to say a big thank you for your warm welcome. And I want to say that I am touched to be here, in the heart of the Pontian return, where the heart of the Pontian Hellenism in Attica beats, where I am facing our fellow citizens. And, of course, for the great honour and pleasure of being introduced by a Pontian - and what a Pontian! - Poppy Tsapanidou, so that we can talk together today, both about the crucial election contest before us, but also about what justice can mean for the thousands of our fellow citizens who came back from the former Soviet Union, and about what justice towards history can mean. What Pontian Hellenism deserves.","Γεια σας πολίτες του Μενιδίου! Θέλω να πω ένα μεγάλο ευχαριστώ για τη θερμή σας υποδοχή. Και θέλω να πω ότι είμαι συγκινημένος που βρίσκομαι εδώ, στην καρδιά της ποντιακής παλιννόστησης, εδώ που χτυπά η καρδιά του Ποντιακού Ελληνισμού στην Αττική, που βρίσκομαι απέναντι σε συμπολίτες μας. Και βεβαίως για τη μεγάλη τιμή και χαρά που είχα να με προλογίσει μια Ποντία –και τι Ποντία!- η Πόπη Τσαπανίδου, για να μιλήσουμε σήμερα μαζί, τόσο για την κρίσιμη εκλογική αναμέτρηση που έχουμε μπροστά μας, όσο όμως και για το τι μπορεί να σημαίνει δικαιοσύνη για τους χιλιάδες συμπολίτες μας που ήρθαν παλιννοστούντες από την πρώην Σοβιετική Ένωση, αλλά και για το τι μπορεί να σημαίνει δικαιοσύνη απέναντι στην Ιστορία. Αυτό που δικαιούται ο Ποντιακός Ελληνισμός.",political agenda,other,other,0.7,0.0,0.0,"[['menidi', 'location', '1.0'], ['pontian', 'group of people', '1.0'], ['pontian hellenism', 'group of people', '1.0'], ['attica', 'location', '1.0'], ['poppy tsapanidou', 'person', '1.0'], ['soviet union', 'location', '1.0']]"
2,"And I think that, in this critical period that we are going through, the message of justice and the need for our country to have justice again is the most critical message. And I will say from the outset that it is the first step on a path of justice, the political change that we need. The political change that the country needs and the progressive governance that is the vision, the hope and the prospect of resurrection of Greek society.","Και θεωρώ ότι, αυτή την κρίσιμη περίοδο που διανύουμε, το μήνυμα της δικαιοσύνης και η ανάγκη να αποκτήσει ξανά η χώρα μας δικαιοσύνη, είναι το πιο κρίσιμο μήνυμα. Και θα πω από την αρχή ότι είναι το πρώτο βήμα σ’ έναν δρόμο δικαιοσύνης, η πολιτική αλλαγή που έχουμε ανάγκη. Η πολιτική αλλαγή που έχει ανάγκη ο τόπος και η προοδευτική διακυβέρνηση που είναι το όραμα, η ελπίδα, αλλά και η προοπτική ανάστασης της ελληνικής κοινωνίας.",political agenda,justice,injustice,0.65,0.0,0.0,"[['greek', 'country', '1.0'], ['greek society', 'group of people', '1.0']]"
3,"And this is not, if you like, a matter of a party objective. This is a need. It is a social, economic, cultural, national need, I would say. Because it is not justice all that we have been experiencing for four years. It is not justice the enormous redistribution of wealth that has taken place in the last few years in the most provocative way. It is not justice that families are being wiped out by auctions for debts of a few thousand euros, while the party that passes these laws on the removal of protection for first homes and the bankruptcy law owes 400 million to the banks, both borrowed and unpaid. It is not justice for the prices of electricity, fuel and supermarkets. A few businesses, a few ""day labourers"" are making millions, billions and people can't make ends meet. It is not justice for the vast majority of the middle class to live on vouchers and for some 'day labourers' to profit.","Και αυτό δεν είναι, αν θέλετε, ένα ζήτημα που αφορά έναν κομματικό στόχο. Αυτό είναι ανάγκη. Είναι ανάγκη κοινωνική, οικονομική, πολιτιστική, εθνική, θα έλεγα. Γιατί δεν είναι δικαιοσύνη όλα αυτά τα οποία ζούμε εδώ και 4 χρόνια. Δεν είναι δικαιοσύνη η τεράστια αναδιανομή του πλούτου που γίνεται τα τελευταία χρόνια με τον πιο προκλητικό τρόπο. Δεν είναι δικαιοσύνη να ξεσπιτώνονται οικογένειες με τους πλειστηριασμούς για χρέη λίγων χιλιάδων ευρώ, ενώ το κόμμα που ψηφίζει αυτούς τους νόμους για την άρση προστασίας της πρώτης κατοικίας και τον πτωχευτικό, να χρωστά 400 εκατομμύρια στις τράπεζες, δανεικά και αγύριστα. Δεν είναι δικαιοσύνη οι τιμές στο ρεύμα, τα καύσιμα, το σούπερ μάρκετ. Κάποιες λίγες επιχειρήσεις, κάποιοι «ημέτεροι» κερδίζουν εκατομμύρια, δισεκατομμύρια και ο κόσμος δεν μπορεί να τα βγάλει πέρα. Δεν είναι δικαιοσύνη η συντριπτική πλειοψηφία της μεσαίας τάξης να ζει με κουπόνια και κάποιοι «ημέτεροι» να κερδοσκοπούν.",criticism,other,economic equity,-0.9,0.2,0.5,"[['not', 'undefined', '1.00'], ['four years', 'date', '1.00'], ['last few years', 'date', '1.00']]"
4,"And, to put it in your own language, the Pontian language, some zha were broken and others were marukundan. So we cannot go on like this, the government washing its hands, relying on the market to supposedly solve our problems or, even worse, supporting obscenity. We are told that the crisis is imported. But the obscenity is Greek and it has the signature of the government of Mr Mitsotakis. And of course, it is not fair to keep indirect taxation, VAT, the special tax on fuel at these high levels when prices are going up. Because it is one thing for someone with an income of EUR 700, 800, 1 500 to pay the same tax, but it is another thing for someone with an income of EUR 3 000, 4 000 and 5 000. So that is not justice.","Και, για να το πω και στη δική σας γλώσσα την ποντιακή, άλλα ζα σπάουνταν κι άλλα μαρουκούνταν. Δεν μπορεί λοιπόν να συνεχίσουμε έτσι, η κυβέρνηση να νίπτει τας χείρας της, να επαφίεται στην αγορά που δήθεν θα μας λύσει τα προβλήματα ή, ακόμα χειρότερα, να στηρίζει την αισχροκέρδεια. Μας είπαν ότι η κρίση είναι εισαγόμενη. Αλλά η αισχροκέρδεια είναι ελληνική κι έχει την υπογραφή της κυβέρνησης του κ. Μητσοτάκη. Και βεβαίως, δεν είναι δικαιοσύνη να διατηρείται σ’ αυτά τα ύψη η έμμεση φορολόγηση, ο ΦΠΑ, ο ειδικός φόρος των καυσίμων, όταν οι τιμές έχουν πάρει την ανηφόρα. Διότι άλλο είναι να πληρώνει τον ίδιο φόρο αυτός που έχει εισόδημα 700, 800, 1.500 ευρώ και άλλο αυτοί που έχουν εισοδήματα 3.000, 4.000 και 5.000. Δεν είναι λοιπόν αυτό δικαιοσύνη. ",criticism,economy,other,-0.5,0.0,0.0,"[['pontian', 'language', '1.0'], ['greek', 'nationality', '0.5'], ['mitsotakis', 'person', '1.0'], ['eur', 'currency', '1.0']]"
5,"Just as it is not justice to monitor the leadership of the Armed Forces at times of national sensitivity. And this should not be done by Erdoğan in Turkey, but by Mitsotakis in Greece, from within the Maximou building. It is not justice to plunder the public coffers with direct commissions, to divide and share the people's clothes.","Όπως δεν είναι δικαιοσύνη να παρακολουθείται η  ηγεσία των Ενόπλων Δυνάμεων σε στιγμές εθνικά ευαίσθητες. Και αυτό να μην το κάνει ο Ερντογάν στην Τουρκία, αλλά να το κάνει ο Μητσοτάκης στην Ελλάδα, μέσα από το Μέγαρο Μαξίμου. Δεν είναι δικαιοσύνη να λεηλατούν τα δημόσια ταμεία με τις απευθείας αναθέσεις, να μοιράζουν και να μοιράζονται τα ιμάτια του λαού.",criticism,corruption,corruption,-0.75,0.1,0.0,"[['erdoğan', 'person', '0.5'], ['mitsotakis', 'person', '0.5'], ['maximou building', 'location', '1.0'], ['turkey', 'country', '0.5'], ['greece', 'country', '0.5']]"
6,"It is not fair that Greece is at the bottom of the league table in wages but at the top of the league table in supermarket prices across Europe. It is not justice that tens of thousands of their own people should lose their lives in a rail accident that is clearly due to a lack of concern for public infrastructure and people's safety, and that the Prime Minister should rush to blame the tragedy on the stationmaster. But who? The one they themselves bribed into the job, untrained and without experience.","Δεν είναι δικαιοσύνη η Ελλάδα να είναι στις τελευταίες θέσεις στους  μισθούς αλλά στις πρώτες θέσεις στις τιμές στα σούπερ μάρκετ σε όλη την Ευρώπη. Δεν είναι δικαιοσύνη να χάνουν δεκάδες χιλιάδες τους δικούς τους ανθρώπους, σ’ ένα σιδηροδρομικό δυστύχημα που οφείλεται καθαρά στην αδιαφορία για τις δημόσιες υποδομές και την ασφάλεια των ανθρώπων και να σπεύδει ο πρωθυπουργός να φορτώσει την τραγωδία στο σταθμάρχη. Ποιον όμως; Αυτόν που οι ίδιοι με ρουσφέτι έβαλαν στη θέση του, ανεκπαίδευτο και χωρίς προϋπηρεσία.",criticism,infrastructure,other,-0.8,0.0,0.2,"[['greece', 'country', '1.0'], ['europe', 'location', '1.0'], ['tens of thousands', 'group of people', '1.0'], ['rail accident', 'event', '1.0'], ['prime minister', 'person', '1.0'], ['stationmaster', 'person', '1.0']]"
7,"But let me say that justice is not only about the issues that I have mentioned, the issues of the economy, the issues of society, the institutions. The issue of justice is first and foremost about our dignity. Justice means first and foremost respect for who each of us is and what each of us represents. Respect for the history that each of us and individually all of us together have. Practical respect, respect in action and not in words.","Αλλά επιτρέψτε μου να πω ότι η δικαιοσύνη δεν αφορά μόνο τα θέματα που σας ανέπτυξα, τα θέματα της οικονομίας, τα θέματα της κοινωνίας, τους θεσμούς. Το ζήτημα της δικαιοσύνης αφορά πρωτίστως τη αξιοπρέπειά μας. Δικαιοσύνη σημαίνει πρώτα και κύρια σεβασμός στο ποιος είναι και τι εκπροσωπεί ο καθένας από μας. Ο σεβασμός στην Ιστορία που έχει ο καθένας από εμάς και ξεχωριστά όλοι μαζί. Ο έμπρακτος σεβασμός, ο σεβασμός στην πράξη και όχι στα λόγια.",political agenda,human rights,other,0.75,0.0,0.0,"[['justice', 'concept', '0.3'], ['economy', 'concept', '0.3'], ['society', 'concept', '0.3'], ['institutions', 'concept', '0.3'], ['dignity', 'concept', '0.5'], ['history', 'concept', '0.5']]"
8,"We are here today to honour the history of the Pontic Hellenism and its great contribution to the course of our country and the history of our country. We are here today to give a clear message that this history of the Pontian Hellenism is not about the past, but about the present and especially the future of our country. It is about our education, it is about our culture, it is about our citizens' housing and insurance rights, it is about our diplomatic relations.  It is, in short, about our identity.","Είμαστε σήμερα λοιπόν εδώ, για να τιμήσουμε την ιστορία του Ποντιακού Ελληνισμού και  τη μεγάλη συνεισφορά του στην πορεία της χώρας μας και στην Ιστορία της χώρας μας. Είμαστε σήμερα εδώ για να δοθεί ένα σαφές μήνυμα, ότι η ιστορία αυτή του Ποντιακού Ελληνισμού, δεν αφορά το παρελθόν, αλλά αφορά το παρόν και κυρίως το μέλλον του τόπου μας. Αφορά την παιδεία μας, αφορά τον πολιτισμό μας, τα δικαιώματα στέγασης και τ’ ασφαλιστικά δικαιώματα των πολιτών μας. αφορά και τις διπλωματικές μας σχέσεις.  Αφορά θα έλεγα, με δυο λόγια, την ταυτότητά μας.",political agenda,other,other,0.6,0.0,0.0,"[['pontic hellenism', 'group of people', '1.0'], ['country', 'location', '1.0'], ['pontian hellenism', 'group of people', '1.0'], ['education', 'organization', '0.7'], ['culture', 'organization', '0.7'], ['housing', 'organization', '0.7'], ['insurance rights', 'organization', '0.7'], ['diplomatic relations', 'organization', '0.7'], ['identity', 'organization', '0.7']]"
9,"We therefore honour the history of Pontic Hellenism that begins in the times of myth and the first Greek colonisations, when the ""rough"" Pontus, i.e. the inhospitable sea, was transformed into a hospitable one, i.e. the Black Sea. During this period the Greeks created more than 70 cities and towns throughout its periphery. But the region which over the centuries will have the most consistent historical continuity and massiveness in terms of population will be the Asia Minor Pontos. It is there that the city-states will first be established, and in the Middle Ages it will constitute ""deep Greece"", as the Kingdom of Pontus is referred to by Arab chroniclers. And there, in 1204, the empire of Trabzon, of the great Komnenoi, will be created. But even after the fall of Trebizond to the Ottoman Empire, 8 years after the fall of Constantinople, Pontian Hellenism will remain alive and will rise again in the second half of the 19th century.","Τιμούμε λοιπόν την ιστορία του Ποντιακού Ελληνισμού που αρχίζει στους χρόνους του μύθου και στους πρώτους ελληνικούς αποικισμούς, όταν ο «άξενος» Πόντος, δηλαδή η αφιλόξενη θάλασσα, μετατράπηκε σε φιλόξενη, δηλαδή σε Εύξεινο Πόντο. Την περίοδο που οι Έλληνες δημιούργησαν πάνω από 70 πόλεις και κωμοπόλεις σε όλη την περιφέρειά του. Αλλά η περιοχή η οποία στο διάβα των αιώνων θα έχει την πιο σταθερή ιστορική συνέχεια και μαζικότητα σε επίπεδο πληθυσμού, θα είναι ο μικρασιατικός Πόντος. Εκεί θα δημιουργηθούν πρώτα οι πόλεις κράτη, ενώ στα χρόνια του μεσαίωνα θα αποτελέσει τη “βαθιά Ελλάδα”, όπως αναφέρουν το Βασίλειο του Πόντου οι Άραβες χρονικογράφοι. Και εκεί, το 1204 θα δημιουργηθεί η αυτοκρατορία της Τραπεζούντας, των μεγάλων Κομνηνών. Αλλά και μετά την πτώση της Τραπεζούντας στην Οθωμανική Αυτοκρατορία, 8 χρόνια μετά την άλωση της Πόλης, ο Ποντιακός Ελληνισμός θα παραμείνει ζωντανός και θα ξανανθίσει στο δεύτερο μισό του 19ου αιώνα.",,other,other,0.5,0.0,0.0,"[['pontic hellenism', 'group of people', '0.9'], ['greek', 'group of people', '0.8'], ['pontus', 'location', '0.8'], ['black sea', 'location', '0.7'], ['asia minor pontos', 'location', '0.8'], ['middle ages', 'date', '0.5'], ['kingdom of pontus', 'organization', '0.6'], ['arab', 'group of people', '0.7'], ['trabzon', 'location', '0.9'], ['komnenoi', 'organization', '0.6'], ['ottoman empire', 'organization', '0.6'], ['constantinople', 'location', '0.8'], ['pontian hellenism', 'organization', '0.8'], ['19th century', 'date', '0.5.']]"
10,"Of course, we all know the tragic continuation of this brilliant story. In a devastating period with millions of dead, marked by the rise of the Young Turks in 1908, the First World War, the collapse of the Ottoman Empire and the Great Powers' conflicts over the region, the claim of political self-determination by Hellenism and, as it turned out, the destructive and delusional hopes created around the Asia Minor campaign. And above all, the genocide suffered by Hellenism and other non-Muslim populations, such as the Assyrians, whose representative we have with us today, by the Ottoman and Turkish states from 1914 to 1923.","Βέβαια, όλοι ξέρουμε την τραγική συνέχεια αυτής της λαμπρής ιστορίας. Σε μια καταστροφική περίοδο με εκατομμύρια νεκρούς, που σηματοδοτήθηκε από την άνοδο των Νεότουρκων το 1908, τον Α’ Παγκόσμιο Πόλεμο, την κατάρρευση της Οθωμανικής Αυτοκρατορίας και τις συγκρούσεις των Μεγάλων Δυνάμεων για την περιοχή, τη διεκδίκηση της πολιτικής αυτοδιάθεσης από τον Ελληνισμό και όπως, αποδείχθηκε, τις καταστροφικές και απατηλές ελπίδες που δημιουργήθηκαν γύρω από τη μικρασιατική εκστρατεία. Και κυρίως, τη γενοκτονία που υπέστη ο Ελληνισμός και άλλοι μη μουσουλμανικοί πληθυσμού, όπως οι Ασσύριοι που εκπρόσωπό τους έχουμε σήμερα μαζί μας, από το οθωμανικό και τουρκικό κράτος, το 1914 μέχρι το 1923.",,human rights,other,-0.9,0.0,0.0,"[['young turks', 'group of people', '0.7'], ['first world war', 'date', '0.7'], ['ottoman empire', 'organization', '0.6'], ['great powers', 'group of people', '0.6'], ['hellenism', 'group of people', '1.0'], ['asia minor', 'location', '0.7'], ['genocide', 'political party', '0.4'], ['hellenism', 'group of people', '0.9'], ['assyrians', 'group of people', '0.6'], ['ottoman', 'organization', '0.6'], ['turkish', 'organization', '0.6'], ['1914', 'date', '0.6'], ['1923', 'date', '0.6']]"
