id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Hello friends, citizens of Drapetsona, Keratsini, all of Piraeus! It is a great pleasure to be here with you today and I would like to thank you for your great gathering today, for your very important presence and for your warm welcome. I would like to thank Tania, Fotis, the contributors to today's concert, which is dedicated to the Labour Day. In a place that means a lot to the people of Drapetsona and Keratsini and all of Piraeus. But it also means a lot to us, who have fought to keep this space from the clutches of speculative interests and to return it to the people.","Γεια σας φίλες και φίλοι, πολίτες της Δραπετσώνας, του Κερατσινίου, όλου του Πειραιά! Είναι μεγάλη μου η χαρά να βρίσκομαι σήμερα εδώ μαζί σας και θέλω να σας ευχαριστήσω για τη μεγάλη σημερινή σας συγκέντρωση για την πολύ σημαντική παρουσία σας και για τη θερμή σας υποδοχή. Να ευχαριστήσω την Τάνια, τον Φώτη, τους συντελεστές της σημερινής συναυλίας, που είναι αφιερωμένη στην εργατική Πρωτομαγιά. Σε έναν χώρο που σημαίνει πολλά για τους κατοίκους της Δραπετσώνας και του Κερατσινίου και όλου του Πειραιά. Αλλά σημαίνει πολλά και για εμάς, που δώσαμε τον αγώνα για να κρατήσουμε αυτό τον χώρο από τα νύχια των κερδοσκοπικών συμφερόντων και για να τον αποδώσουμε στον λαό.",political agenda,elections,other,0.4,0,0,"[['tania', 'person', '0.7'], ['fotis', 'person', '0.7'], ['labour day', 'date', '0.7'], ['drapetsona', 'location', '1.0'], ['keratsini', 'location', '1.0'], ['piraeus', 'location', '1.0']]"
2,"I am very happy and proud that this area has become a place of respite, a place of recreation for thousands of citizens here in the districts of Piraeus, the popular districts of Piraeus. And it is a great pleasure, honour and pride for me to be here today, today being May Day. Because on May Day we don't go to flower shows. We honour the workers' struggles, we honour the people of labour on May Day. May Day is not a flower show, but a legacy of the struggles and sacrifices of working class, working people for justice and progress in this country.","Είμαι πολύ χαρούμενος και περήφανος που αυτός ο χώρος έχει γίνει χώρος ανάσας, αναψυχής για χιλιάδες πολίτες εδώ των συνοικιών του Πειραιά, των λαϊκών συνοικιών του Πειραιά. Και είναι μεγάλη χαρά, η τιμή και περηφάνια να βρίσκομαι εγώ εδώ σήμερα που είναι Πρωτομαγιά. Γιατί την Πρωτομαγιά δεν πηγαίνουμε εμείς σε εκθέσεις λουλουδιών. Τιμούμε τους εργατικούς αγώνες, τιμούμε τους ανθρώπους του μόχθου την Πρωτομαγιά. Η Πρωτομαγιά δεν είναι μια έκθεση για λουλούδια, αλλά παρακαταθήκες αγώνων και θυσιών της εργατικής τάξης, των εργαζομένων για δικαιοσύνη και προκοπή σε αυτό τον τόπο.",political agenda,employment,working class,0.85,0,0,"[['piraeus', 'location', '1.0'], ['may day', 'date', '1.0'], ['working class', 'group of people', '0.8'], ['working people', 'group of people', '0.8'], ['justice', 'organization', '0.7']]"
3,"That is why we choose to celebrate May Day here in Drapetsona. Because we cannot settle for the idea that ""in Drapetsona we will no longer have life"". In all the popular neighbourhoods of our country, we want to have life, not only in Kifissia, Ekali and Glyfada. Everywhere, all citizens should have life, the workers should have life. Workers to have life and rights, so that we can have all and sundry, so that all and sundry can have a job with dignity, wages with dignity, live with dignity. To have breathing and recreational spaces where they can be and spend their leisure time not locked up in the four showers. Yes, that is our policy, to give dignity and justice to all and sundry. ""Justice everywhere"". That is our message.","Γι' αυτό εμείς επιλέγουμε την Πρωτομαγιά να τη γιορτάσουμε εδώ στη Δραπετσώνα. Γιατί εμείς δεν μπορούμε να βολευτούμε με την ιδέα ότι «στη Δραπετσώνα πια δεν θα έχουμε ζωή». Σε όλες τις λαϊκές γειτονιές της χώρας μας, θέλουμε να έχουμε ζωή, όχι μονάχα στην Κηφισιά, στην Εκάλη και στη Γλυφάδα. Παντού, όλοι οι πολίτες να έχουν ζωή, οι εργαζόμενοι να έχουν ζωή. Οι εργαζόμενοι να έχουν ζωή και δικαιώματα, για να μπορούμε να έχουμε όλοι και όλες, να έχουν όλοι και όλες μια δουλειά με αξιοπρέπεια, μισθούς με αξιοπρέπεια, να ζουν με αξιοπρέπεια. Να έχουν χώρους ανάσας και ψυχαγωγίας όπου να μπορούν να βρίσκονται και να περνάνε τον ελεύθερό τους χρόνο όχι κλεισμένοι στα τέσσερα ντουβάρια. Ναι, αυτή είναι η δική μας πολιτική, να δώσουμε αξιοπρέπεια και δικαιοσύνης σε όλους και σε όλες. «Δικαιοσύνη παντού». Αυτό είναι το μήνυμά μας.",political agenda,employment,working class,0.7,0.1,0.2,"[['drapetsona', 'location', '1.0'], ['kifissia', 'location', '1.0'], ['ekali', 'location', '1.0'], ['glyfada', 'location', '1.0'], ['workers', 'group of people', '1.0'], ['citizens', 'group of people', '1.0'], ['may day', 'date', '1.0']]"
4,"Friends, citizens of Drapetsona and Keratsini, May Day is a day of remembrance and honour of the great labour struggles all over the world. Since bloody Chicago in 1886, May Day has marked the march of the working class, of wage labor, to win a place in the sun. It marks the difficult struggles of millions of people for social justice. It symbolizes the assault of the infernos of the earth on the sky of history.","Φίλες και φίλοι, πολίτες της Δραπετσώνας, του Κερατσινίου η Πρωτομαγιά είναι ημέρα μνήμης και τιμής των μεγάλων εργατικών αγώνων σε όλο τον κόσμο. Από το ματωμένο Σικάγο του 1886 η Πρωτομαγιά σημαδεύει τη πορεία της εργατικής τάξης, της μισθωτής εργασίας, να κερδίσει μια θέση στον ήλιο. Σημαδεύει τους δύσκολους αγώνες εκατομμυρίων ανθρώπων για κοινωνική δικαιοσύνη. Συμβολίζει την έφοδο των κολασμένων της γης στον ουρανό της ιστορίας.",political agenda,employment,working class,0.7,0,0,"[['chicago', 'location', '0.5'], ['may day', 'date', '1.0'], ['drapetsona', 'location', '0.5'], ['keratsini', 'location', '0.5'], ['working class', 'group of people', '1.0'], ['millions of people', 'group of people', '1.0'], ['social justice', 'concept', '1.0']]"
5,"But also in our country, in Greece, May Day is a milestone in the march of the workers' movement, the march of the ideas of social liberation and socialism. Nothing was conquered in this land, in this country without struggle and sacrifice. Struggles and sacrifices mark our May Days and give energy to this day to their liberating meaning. The murder of Paraskevaidis at the May Day celebrations in 1924, which was met with bayonets, the murder of Toussis and 11 others on the bloody May Day of '36 in Thessaloniki, which inspired Yannis Ritsos to create ""Epitaph"", the 200 executed in Kaisariani. This is our history. A history of struggles and sacrifices. But of course there were others who struggled and sacrificed in years of leisure, when words like ""democracy"", ""social justice"", ""socialism"" and even ""trade unionism"" meant persecution, exile and imprisonment, sometimes even death.","Αλλά και στην πατρίδα μας, στην Ελλάδα, οι Πρωτομαγιές είναι σταθμοί στην πορεία του εργατικού κινήματος, την πορεία των ιδεών της κοινωνικής απελευθέρωσης και του σοσιαλισμού. Τίποτε δεν κατακτήθηκε σε αυτό τον τόπο, σε αυτή τη χώρα χωρίς αγώνες και θυσίες. Οι αγώνες και οι θυσίες σημαδεύουν τις Πρωτομαγιές μας και δίνουν μέχρι σήμερα ενέργεια στο απελευθερωτικό τους νόημα. Η δολοφονία του Παρασκευαΐδη στον εορτασμό της Πρωτομαγιάς το 1924, που αντιμετωπίστηκε με τις ξιφολόγχες, η δολοφονία του Τούση και άλλων 11 στη ματωμένη Πρωτομαγιά του ’36 στη Θεσσαλονίκη, που ενέπνευσε τον Γιάννη Ρίτσο για να δημιουργήσει τον «Επιτάφιο», οι 200 εκτελεσμένοι της Καισαριανής. Αυτή είναι η ιστορία μας. Ιστορία αγώνων και θυσιών. Αλλά βεβαίως κι άλλες και άλλοι που αγωνίστηκαν και θυσιάστηκαν σε χρόνια δίσεκτα, που λέξεις όπως «δημοκρατία», «κοινωνική δικαιοσύνη», «σοσιαλισμός», ακόμα και «συνδικαλισμός», συνεπάγονταν διώξεις, εξορίες και φυλακίσεις, κάποτε ακόμα και θάνατο.",political agenda,employment,workers' rights,0,0.2,0,"[['greece', 'location', '1.0'], ['may day', 'date', '1.0'], [""workers' movement"", 'group of people', '1.0'], ['social liberation', 'group of people', '0.8'], ['socialism', 'organization', '1.0'], ['paraskevaidis', 'person', '0.7'], ['toussis', 'person', '0.7'], ['yannis ritsos', 'person', '1.0'], ['kaisariani', 'location', '1.0'], ['democracy', 'organization', '0.8'], ['social justice', 'organization', '0.8'], ['trade unionism', 'organization', '0.8']]"
6,"This is our history, this is our legacy. That is why we say to all and to all: we come from far away and we will go far away. We are not a flare of the moment, we come from far away, we will go far away. We represent the struggles and sacrifices of our people for justice, freedom, democracy and progress. That is why we are the only ones who know and can bring change to this land.","Αυτή είναι η ιστορία μας, αυτή είναι η παρακαταθήκη μας. Γι' αυτό λέμε σε όλες και σε όλους: ερχόμαστε από πολύ μακριά και θα πάμε πολύ μακριά. Δεν είμαστε εμείς μια φωτοβολίδα της στιγμής, ερχόμαστε από μακριά, θα πάμε πολύ μακριά. Εκπροσωπούμε τους αγώνες και τις θυσίες του λαού μας για δικαιοσύνη, ελευθερία, δημοκρατία, προκοπή. Γι' αυτό και είμαστε οι μόνοι που ξέρουμε και  μπορούμε να φέρουμε την αλλαγή σε αυτό τον τόπο.",political agenda,democracy,other,0.8,0,0,[]
7,"But May Day is not only about history and memory. It is about what has happened, but also about what needs to happen, what needs to change. History and memory fuel today's struggles. I was reading the other day and thought it appropriate to remind you of what the resolution of the first workers' May Day, organised in 1893 by Stavros Kallergis' Socialist Association, said, among other things. 1893, 130 years ago! Among other things it said:
""On Sunday the shops should be closed all day long and the workers should rest.
Workers should work for 8 hours a day and minors should be prohibited from working.
A pension shall be granted to workers who are sick and disabled for the maintenance of themselves and their families.","Πρωτομαγιά όμως δεν είναι μονάχα ιστορία και μνήμη. Είναι όσα έγιναν, αλλά και όσα θα πρέπει να γίνουν, όσα θα πρέπει να αλλάξουν. Η ιστορία και η μνήμη τροφοδοτούν τους σημερινούς αγώνες. Διάβαζα προχθές και έκρινα σκόπιμο να σας θυμίσω τι έλεγε μεταξύ άλλων το Ψήφισμα της πρώτης εργατικής Πρωτομαγιάς, που οργάνωσε το 1893 ο Σοσιαλιστικός Σύλλογος του Σταύρου Καλλέργη. 1893, 130 χρόνια πριν! Μεταξύ άλλων έλεγε:
«Την Κυριακήν να κλείνονται τα καταστήματα καθ' όλην την ημέραν και οι εργάται να αναπαύονται.
Οι εργάται να εργάζονται επί 8 ώρας την ημέραν και να απαγορευθεί η εργασία εις τους ανηλίκους.
Να απονέμεται σύνταξις εις τους εργάτας παθόντας και καταστάντας ανικάνους προς συντήρηση εαυτών και της οικογενείας των»",political agenda,employment,workers' rights,0.4,0,0,"[['may day', 'date', '1.0'], ['stavros kallergis', 'person', '0.9'], ['socialist association', 'organization', '0.8']]"
8,"So look, 130 years ago, how tragically relevant these demands of the trade union movement are, how relevant they are today, these timeless gains. Why? Because it is not enough to go for conquests with struggles and sacrifices. One must be able to struggle and keep these conquests standing. And of course what determines each time whether these conquests will be maintained, strengthened and respected is the social and political correlations that determine much in our lives, it is not enough to have trade union action.","Για δείτε, λοιπόν, 130 χρόνια πριν, πόσο τραγικά επίκαιρα είναι αυτά τα αιτήματα του εργατικού συνδικαλιστικού κινήματος, πόσο επίκαιρα είναι αυτά σήμερα, αυτές οι διαχρονικές κατακτήσεις. Γιατί; Γιατί δεν αρκεί κανείς να προχωρά σε κατακτήσεις με αγώνες και θυσίες. Πρέπει με αγώνες να μπορεί και να διατηρεί όρθιες αυτές τις κατακτήσεις. Και βεβαίως αυτό που καθορίζει κάθε φορά αν αυτές οι κατακτήσεις θα διατηρούνται, θα ενισχύονται, θα τηρούνται είναι οι κοινωνικοί και οι πολιτικοί συσχετισμοί που καθορίζουν πολλά στη ζωή μας, δεν αρκεί η συνδικαλιστική δράση.",political agenda,employment,workers' rights,0.1,0,0,"[['trade union movement', 'group of people', '1.0'], ['conquests', 'group of people', '0.7'], ['sacrifices', 'group of people', '0.7'], ['social and political correlations', 'organization', '0.7']]"
9,"In our time, nothing can be taken for granted. Nothing can be taken for granted, especially when neoliberal capitalism challenges every right to work, every shred of dignity and security for the worker, every idea of even social justice. The current government, the Mitsotakis government, which is inspired by extreme neoliberal concepts and considers inequality to be a natural phenomenon, has even gone so far as to abolish the eight-hour working day as an institution. An iconic conquest for which rivers of blood have been shed, all over the world, not only in Greece.
8 hours of work.
8 hours of rest.
8 hours of leisure
These were the demands of workers' struggles and conquests a century ago.","Στην εποχή μας τίποτα δεν είναι δεδομένο. Τίποτα δεν είναι δεδομένο, ιδιαίτερα όταν ο νεοφιλελεύθερος καπιταλισμός αμφισβητεί κάθε δικαίωμα στην εργασία, κάθε ίχνος αξιοπρέπειας και ασφάλειας για τον εργαζόμενο, κάθε ιδέα ακόμη και κοινωνικής δικαιοσύνης. Η σημερινή κυβέρνηση, η κυβέρνηση Μητσοτάκη, που εμφορείται από ακραίες νεοφιλελεύθερες αντιλήψεις και θεωρεί την ανισότητα φυσικό φαινόμενο, έφτασε ακόμη και να καταργήσει θεσμικά το οκτάωρο. Μια εμβληματική κατάκτηση για την οποία έχουν χυθεί ποταμοί αίματος, σε όλο τον κόσμο όχι μονάχα στην Ελλάδα.
8 ώρες δουλειά.
8 ώρες ανάπαυση
8 ώρες ελεύθερος χρόνος
Αυτά ήταν τα αιτήματα των εργατικών αγώνων και οι κατακτήσεις έναν αιώνα πριν.",criticism,employment,other,-0.9,0.5,0.3,"[['mitsotakis government', 'organization', '0.8'], ['greece', 'country', '0.8'], ['workers', 'group of people', '0.6']]"
10,"And today we are in a normalcy where young workers and all workers are not working 8 hours. We have unpaid 12-hour days, black uninsured work, wages for a family to live half the month and the other half to freeze and vegetate. And of course one can only see creative leisure time for today's worker, education, culture, art, creative daily life for workers and working women as black humour or luxury. Well, we say that this must change and will change with the power of the social majority. At the conclusion of my speech the lights went down.","Και σήμερα βρισκόμαστε σε μια κανονικότητα, όπου οι νέοι εργαζόμενοι και όλοι οι εργαζόμενοι δεν δουλεύουν 8 ώρες. Έχουμε απλήρωτα δωδεκάωρα, μαύρη ανασφάλιστη εργασία, αμοιβές για να ζει μια οικογένεια τον μισό μήνα και τον άλλο μισό να ξεπαγιάζει και να φυτοζωεί. Και βεβαίως μόνο ως μαύρο χιούμορ ή ως πολυτέλεια μπορεί κανείς να δει το δημιουργικό ελεύθερο χρόνο για το σημερινό εργαζόμενο, τη μόρφωση, τον πολιτισμό, την τέχνη, τη δημιουργική καθημερινότητα για τους εργαζόμενους και τις εργαζόμενες. Ε, λοιπόν λέμε ότι αυτό πρέπει να αλλάξει και θα αλλάξει με τη δύναμη της κοινωνικής πλειοψηφίας. Στον επίλογο της ομιλίας μου έπεσαν τα φώτα.",political agenda,employment,other,-0.9,0,0,"[['1. workers', 'group of people', '1.0'], ['2. family', 'group of people', '0.7'], ['3. workers and working women', 'group of people', '0.8'], ['4. social majority', 'group of people', '0.6'], ['5. art', 'organization', '0.7'], ['6. conclusion', 'date', '0.7']]"
