id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I want to thank you all for being here today, in a very symbolic place, in the Lavrio Technology Park, which was once a place that was full of the life of people of toil and work, who dug the earth to make wealth. And today is an important day for us here in this symbolic place. Because today, to you and to all Greek citizens who are watching us, we will present our programme, we will present to the Greek people, but especially to every democratic and progressive citizen, what we call the Contract of Change. A contract of justice and stability. Because the time of the big decisions, as you know, is approaching. The time when history is being written is approaching. And it is the conviction of all of us that the time has come again, the time to bring great change to the lives and daily lives of citizens. It is our duty to all of us to be present in this new rendezvous with history. But this time we must prepare ourselves properly, with vision and with a plan. With a programme that is realistic but at the same time feasible.","Θέλω να σας ευχαριστήσω όλους και όλες που βρίσκεστε σήμερα εδώ, σ’ έναν ιδιαίτερα συμβολικό χώρο, στο Τεχνολογικό Πάρκο του Λαυρίου, που ήταν κάποτε ένας χώρος που έσφυζε από ζωή ανθρώπων του μόχθου και της δουλειάς, που έσκαβαν τη γη για να βγάλουν πλούτο. Και είναι σήμερα μια σημαντική μέρα για μας εδώ, σ’ αυτό τον συμβολικό χώρο. Γιατί σήμερα σ’ εσάς αλλά και σε όλους τους Έλληνες πολίτες που μας παρακολουθούν, θα παρουσιάσουμε το πρόγραμμά μας, θα παρουσιάσουμε στον ελληνικό λαό αλλά ιδιαίτερα σε κάθε δημοκρατικό και προοδευτικό πολίτη, αυτό που ονομάζουμε Συμβόλαιο Αλλαγής. Ένα συμβόλαιο δικαιοσύνης και σταθερότητας. Γιατί η ώρα των μεγάλων αποφάσεων, όπως ξέρετε, πλησιάζει. Η ώρα που γράφεται η ιστορία πλησιάζει. Και πεποίθηση όλων μας είναι ότι έχει έρθει και πάλι, η ώρα να φέρουμε μια μεγάλη αλλαγή στη ζωή και στην καθημερινότητα των πολιτών. Έχουμε χρέος να δώσουμε όλες και όλοι το παρών σ’ αυτό το νέο ραντεβού με την Ιστορία. Προετοιμασμένοι όμως αυτή τη φορά κατάλληλα, με όραμα αλλά και με σχέδιο. Με πρόγραμμα ρεαλιστικό αλλά ταυτόχρονα και υλοποιήσιμο. ",political agenda,elections,other,0.5,0.0,0.0,"[['lavrio technology park', 'location', '0.8'], ['greek citizens', 'group of people', '0.7'], ['greek people', 'group of people', '0.6'], ['democratic and progressive citizen', 'group of people', '0.6'], ['contract of change', 'organization', '0.8'], ['history', 'date', '0.5'], ['citizens', 'group of people', '0.7']]"
2,"So we are not here today to present you a science fiction project in a fake futuristic artificial intelligence environment, but a Contract that encapsulates a dialogue that has been going on for years with all social groups. With the social majority. And a Contract that mirrors the wills of the social majority, but also the necessary breakthroughs to lead these wills to concrete and measurable measures of justice. A Contract whose articles have been shaped by many experts, many scientists, truly excellent, not in the sense that New Democracy has introduced into the political life of the country, technocrats and experts who put the interests of the many above all else. Not excellent in the sense that they are coming to staff an executive state, but a democratic, social state at the service of the citizen. That makes a big difference. A realistic and achievable contract. Because what we expect is not only change in the government of the country, but also in our lives, in the everyday life of the people.","Εμείς, λοιπόν, σήμερα δεν θα σας παρουσιάσουμε εδώ ένα πρόγραμμα επιστημονικής φαντασίας, σε ένα ψεύτικο φουτουριστικό περιβάλλον τεχνητής νοημοσύνης, αλλά ένα Συμβόλαιο που συμπυκνώνει έναν διάλογο χρόνων, με όλες τις κοινωνικές ομάδες. Με την κοινωνική πλειοψηφία. Κι ένα Συμβόλαιο που καθρεφτίζει τις θελήσεις της κοινωνικής πλειοψηφίας, αλλά και τις αναγκαίες τομές για να οδηγήσουν αυτές οι θελήσεις σε συγκεκριμένα και μετρήσιμα μέτρα δικαιοσύνης. Ένα Συμβόλαιο που στη διαμόρφωσή των άρθρων του έχουν συμβάλλει πολλοί ειδικοί, πολλοί επιστήμονες, πραγματικά άριστοι, όχι με την έννοια αυτή που εισήγαγε στην πολιτική ζωή του τόπου η Νέα Δημοκρατία, τεχνοκράτες και ειδικοί που βάζουν πάνω απ’ όλα το συμφέρον των πολλών. Όχι άριστοι με την έννοια ότι έρχονται να στελεχώσουν ένα επιτελικό κράτος, αλλά ένα δημοκρατικό, κοινωνικό κράτος στην υπηρεσία του πολίτη. Έχει μεγάλη διαφορά αυτό. Ένα Συμβόλαιο ρεαλιστικό και υλοποιήσιμο. Γιατί αυτό που προσδοκούμε δεν είναι να έρθει η αλλαγή μονάχα στη κυβέρνηση του τόπου αλλά και στη ζωή μας, στην καθημερινότητα των ανθρώπων. ",political agenda,elections,academic research,0.7,0.1,0.0,"[['new democracy', 'organization', '0.6'], ['democratic', 'political party', '0.6'], ['citizen', 'group of people', '0.6']]"
3,"So that every Greek can plan their future, plan their life safely. To feel again that they have a government they trust. And that requires a plan, it requires documentation, it requires vision. I would say that our programme is a contract that is about changing the daily lives of citizens. A true Contract for change. Because I think that all of us, all of us who are in society, feel what comes out of the daily contact with citizens. That it can't go on any longer. No more of precision, no more of corruption and corruption, no more of the crony state, no more of the blue grasshoppers who have attacked public wealth, no more of the parastate, no more of the family state, no more of the generalised state of corruption and injustice, no more of the family state. It is time to say 'so much for all that'. Greece cannot belong to the rich and powerful. Greece does not belong to a few families who share its wealth and clothing. Greece can only belong to all of us, to all Greeks.","Για να μπορεί κάθε Ελληνίδα και κάθε Έλληνας να προγραμματίσει το μέλλον του, να προγραμματίσει τη ζωή του με ασφάλεια. Να ξανανιώσει ότι έχει μια κυβέρνηση που εμπιστεύεται. Και αυτό απαιτεί σχέδιο, απαιτεί τεκμηρίωση, απαιτεί όραμα. Το πρόγραμμά μας θα έλεγα ότι είναι ένα Συμβόλαιο που αφορά αλλαγή της καθημερινής ζωής των πολιτών. Ένα αληθινό Συμβόλαιο αλλαγής. Γιατί νομίζω ότι όλοι και όλες, όσοι βρισκόμαστε μέσα στην κοινωνία, συναισθανόμαστε αυτό που βγαίνει από την καθημερινή επαφή με τους πολίτες. Ότι δεν πάει άλλο. Δεν πάει άλλο με την ακρίβεια, δεν πάει άλλο με τη διαφθορά και τη διαπλοκή, δεν πάει άλλο με το κράτος των κολλητών, με τις γαλάζιες ακρίδες που εφόρμησαν στο δημόσιο πλούτο, με το παρακράτος, με την οικογενειοκρατία, με τη γενικευμένη κατάσταση διαφθοράς και αδικίας, με την οικογενειοκρατία. Ήρθε η ώρα να πούμε ένα «ως εδώ σε όλα αυτά». Η Ελλάδα δεν μπορεί να ανήκει στους πλούσιους και τους ισχυρούς. Η Ελλάδα δεν ανήκει σε λίγες οικογένειες που διαμοιράζουν τον πλούτο και τα ιμάτιά της. Η Ελλάδα δεν μπορεί παρά να ανήκει σε όλους μας, σε όλους τους Έλληνες.",criticism,corruption,corruption,0.6,0.6,0.6,"[['greek', 'nationality', '1.0'], ['contract for change', 'organization', '1.0'], ['greece', 'country', '1.0'], ['greek', 'nationality', '1.0'], ['greeks', 'group of people', '0.9'], ['government', 'organization', '0.6'], ['precision', 'date', '0.1']]"
4,"That is why, in the new appointment that we have on May 21 - if I may use the term, it is a historic appointment, an appointment with history anew - we want to invite all democratic and progressive citizens to be there for this appointment. To say together the big YES to Change. The big YES to cooperation. The big YES to security, certainty and stability. The big YES to progress and development of the country. To a Greece that will once again become a model of democracy for all of Europe and the world. All of us, democrats and progressive citizens, I believe that we have a responsibility and an obligation: on Sunday night, May 21, the oligarchs, the powerful, the establishment should not celebrate again, but the Greek people should take to the streets and celebrate. And we know that this will only happen with a great victory for SYRIZA, which will also be a victory for our people, a victory for democracy and justice. A victory that will pave the way the next day for the formation of a government of progressive cooperation. You know that elections by proportional representation are not elections of loose votes. They are elections that will produce a government for the next four years. On May 21, we will vote for the government that will govern us for the next four years. And, as everything indicates, the first and third parties will be able to form a government on May 22, since they will probably - I often say probably - have a parliamentary majority.  That is why SYRIZA's first place in the May 21 elections is a crucial condition. It is a precondition for political change. And a precondition for the formation of a government of progressive cooperation. Which we want, of course, to be supported by as many progressive forces as possible, but above all to be supported by every democrat and progressive citizen in our country. So that together we can change the country. To change our lives. To bring democracy back to power and justice everywhere. In the lives of all of us.","Γι’ αυτό και στο νέο ραντεβού που έχουμε στις 21 του Μάη -ας μου επιτραπεί ο όρος, είναι ένα ιστορικό ραντεβού, ένα ραντεβού με την Ιστορία εκ νέου-, θέλουμε να καλέσουμε όλους τους δημοκρατικούς και τους προοδευτικούς πολίτες να είναι εκεί σ’ αυτό το ραντεβού. Να πούμε όλοι μαζί το μεγάλο ΝΑΙ στην Αλλαγή. Το μεγάλο ΝΑΙ στη συνεργασία. Το μεγάλο ΝΑΙ στην ασφάλεια, τη σιγουριά, τη σταθερότητα. Το μεγάλο ΝΑΙ στην πρόοδο και την εξέλιξη της χώρας. Στην Ελλάδα που θα αποτελέσει και πάλι πρότυπο δημοκρατίας για όλη την Ευρώπη και για το κόσμο. Όλοι εμείς, δημοκράτες και προοδευτικοί πολίτες, πιστεύω ότι έχουμε μία ευθύνη και υποχρέωση: Την Κυριακή το βράδυ, στις 21 του Μάη, να μην πανηγυρίζουν ξανά οι ολιγάρχες, οι ισχυροί, το κατεστημένο, αλλά να βγει στους δρόμους και να πανηγυρίσει ο ελληνικός λαός. Και αυτό ξέρουμε ότι θα συμβεί μόνο με μια μεγάλη νίκη του ΣΥΡΙΖΑ, που θα αποτελέσει ταυτόχρονα και νίκη του λαού μας, νίκη της δημοκρατίας και της δικαιοσύνης. Μια νίκη που θα ανοίξει τον δρόμο την επόμενη ημέρα για συγκρότηση κυβέρνησης προοδευτικής συνεργασίας. Ξέρετε, οι εκλογές της απλής αναλογικής δεν είναι εκλογές χαλαρής ψήφου. Είναι εκλογές που θα βγάλουν κυβέρνηση για τα επόμενα τέσσερα χρόνια. Στις 21 του Μάη, θα ψηφίσουμε για την κυβέρνηση που θα μας κυβερνά τα επόμενα τέσσερα χρόνια. Κι όπως όλα δείχνουν, ο πρώτος με τον τρίτο θα μπορούν στις 22 Μαΐου να σχηματίσουν κυβέρνηση, αφού κατά πάσα πιθανότητα -κατά πάσα βεβαιότητα λέω εγώ συχνά- θα έχουν τη κοινοβουλευτική πλειοψηφία.  Γι’ αυτό και είναι κρίσιμη συνθήκη η πρωτιά του ΣΥΡΙΖΑ στις εκλογές της 21ης του Μάη. Αποτελεί προϋπόθεση για την πολιτική αλλαγή. Και προϋπόθεση για τη συγκρότηση κυβέρνησης προοδευτικής συνεργασίας. Που θέλουμε, βεβαίως, να στηριχτεί από όσες περισσότερες προοδευτικές δυνάμεις, κυρίως όμως να στηριχτεί από κάθε δημοκράτη και προοδευτικό πολίτη στον τόπο μας. Για να μπορέσουμε μαζί να αλλάξουμε τη χώρα. Να αλλάξουμε τις ζωές μας. Για φέρουμε ξανά τη δημοκρατία στην εξουσία και τη δικαιοσύνη παντού. Στις ζωές όλων μας.",political agenda,elections,other,0.8,0.5,0.1,"[['may 21', 'date', '1.0'], ['greece', 'country', '1.0'], ['syriza', 'political party', '1.0'], ['europe', 'location', '1.0'], ['sunday night', 'date', '1.0']]"
5,"So we know and we can change the course of the country. We know and we can bring about the change that will give breath to the many. And the Contract we present today is intended to serve that purpose. It is, I would argue, the Road Map of the next progressive government. But it is also a Contract with society, which contains our commitments to a government of progressive cooperation for the long term. Our proposal for a common programme of governance. And on 21 May, obviously, we will ask the Greek people to ratify this Contract by their vote. So let everyone know from today onwards that by voting for SYRIZA-PROGRESSIVE ALLIANCE on May 21, they are simultaneously putting their signature to this Contract that we will present to you today. Because this is the programmatic basis on which we will call on the day after the elections, with the strong support of the Greek people, the progressive forces of the country to agree. Openly, transparently, without backroom deals under the table. Transparently and openly. For a government of stability and longevity. To put into practice the basic fourfold interventions that the social majority needs: Wage increases, price reductions, debt regulation and a fair and efficient state alongside the citizen. The Contract for Change that I am presenting to you today has 11 articles. Many of them will be made by commitments into action in the first 50 days of progressive governance. So that the citizen can see immediate breath and support in their lives. Change. To see that something is changing for the better immediately and to see that a path of justice for the country is immediately beginning. But other articles, such as those concerning the major and necessary breakthroughs and reforms in the state, will bring results gradually, over a period of four years.","Ξέρουμε λοιπόν και μπορούμε να αλλάξουμε την πορεία της χώρας. Ξέρουμε και μπορούμε να φέρουμε την αλλαγή που θα δώσει ανάσα στους πολλούς. Και το Συμβόλαιο που παρουσιάζουμε σήμερα, αυτό τον σκοπό καλείται να υπηρετήσει. Είναι, θα έλεγα, ο Οδικός Χάρτης της επόμενης προοδευτικής κυβέρνησης. Είναι όμως ταυτόχρονα κι ένα Συμβόλαιο με την κοινωνία, που εμπεριέχει τις δεσμεύσεις μας για μια κυβέρνηση προοδευτικής συνεργασίας μακράς πνοής. Τη δική μας πρόταση για το κοινό πρόγραμμα διακυβέρνησης. Και την 21η Μαΐου, προφανώς, θα ζητήσουμε από τον ελληνικό λαό με την ψήφο του να επικυρώσει αυτό το Συμβόλαιο. Να ξέρει λοιπόν από σήμερα και στο εξής η καθεμιά και ο καθένας ότι ψηφίζοντας ΣΥΡΙΖΑ-Προοδευτική Συμμαχία την 21η του Μάη, βάζει ταυτόχρονα την υπογραφή του σε αυτό το Συμβόλαιο που θα σας παρουσιάσουμε σήμερα. Διότι αυτή είναι η προγραμματική βάση πάνω στην οποία θα καλέσουμε την επομένη των εκλογών, έχοντας την ισχυρή στήριξη του ελληνικού λαού, τις προοδευτικές δυνάμεις του τόπου να συμφωνήσουν. Ανοιχτά, διάφανα, χωρίς παρασκηνιακές συμφωνίες κάτω από το τραπέζι. Διάφανα και ανοιχτά. Για μια κυβέρνηση σταθερότητας και μακράς πνοής. Για να γίνει πράξη το βασικό τετράπτυχο παρεμβάσεων που έχει ανάγκη η κοινωνική πλειοψηφία: Αύξηση μισθών, μείωση τιμών, ρύθμιση χρεών κι ένα δίκαιο αποτελεσματικό κράτος δίπλα στον πολίτη. Το Συμβόλαιο Αλλαγής που σας παρουσιάζω σήμερα, έχει 11 άρθρα. Πολλά από αυτά θα γίνουν από δεσμεύσεις πράξη τις πρώτες 50 μέρες της προοδευτικής διακυβέρνησης. Για να μπορεί να δει ο πολίτης άμεσα στη ζωή του, ανάσα και στήριξη. Αλλαγή. Να δει ότι κάτι αλλάζει προς το καλύτερο άμεσα και να δει ότι άμεσα ξεκινά μια πορεία δικαιοσύνης για τον τόπο. Άλλα όμως άρθρα, όπως αυτά που αφορούν τις  μεγάλες και αναγκαίες τομές και μεταρρυθμίσεις στο κράτος, θα φέρουν αποτελέσματα σταδιακά, σε διάστημα τετραετίας.",political agenda,elections,election spending,0.8,0.0,0.0,"[['syriza-progressive alliance', 'political party', '1.0'], ['greek', 'country', '1.0'], ['21 may', 'date', '1.0'], ['citizen', 'group of people', '0.9'], ['greek people', 'group of people', '0.8'], ['next progressive government', 'organization', '0.5'], ['government', 'organization', '0.4']]"
6,"However, all our interventions and all our commitments serve a great national goal: To make Greece a normal European country. Which means to converge with the average of the eurozone countries in terms of income, health services, education, the welfare state, the level of labour relations, public infrastructure, citizen's security. This requires a plan for generous public and private investment in human capital, infrastructure, welfare state structures and, in particular, public health structures. And at the same time it requires a major shift in the production model. Investment in innovation, in the production of quality products, in technological support for business activities, in high added value. Our central commitment, therefore, to achieve this is to redirect the resources of the Recovery and Resilience Fund, which until now have been lavishly allocated to a few business groups, without leaving a real development, employment and social footprint. Let us therefore redirect the resources of the Recovery and Resilience Fund so that we do not squander this great opportunity for the country.","Όλες ωστόσο οι παρεμβάσεις και όλες μας οι δεσμεύσεις υπηρετούν έναν μεγάλο εθνικό στόχο: Να γίνει η Ελλάδα μια κανονική Ευρωπαϊκή χώρα. Που σημαίνει να συγκλίνει με τον μέσο όρο των χωρών της ευρωζώνης στο εισόδημα, τις υπηρεσίες υγείας, την Παιδεία, το κοινωνικό κράτος, στο επίπεδο των εργασιακών σχέσεων, στις δημόσιες υποδομές, στην ασφάλεια του πολίτη. Αυτό απαιτεί ένα σχέδιο γενναίων δημόσιων και ιδιωτικών επενδύσεων στο ανθρώπινο κεφάλαιο, τις υποδομές, τις δομές του κοινωνικού κράτους και ιδίως τις δομές της Δημόσιας Υγείας. Και ταυτόχρονα απαιτεί μια μεγάλη στροφή στο παραγωγικό μοντέλο. Επένδυση στην καινοτομία, στην παραγωγή ποιοτικών προϊόντων, την τεχνολογική υποστήριξη των επιχειρηματικών δράσεων, στην υψηλή προστιθέμενη αξία. Κεντρική μας δέσμευση, λοιπόν, για να το πετύχουμε αυτό είναι να ανακατευθύνουμε τους πόρους του Ταμείου Ανάκαμψης και Ανθεκτικότητας, που μέχρι σήμερα χορηγούνται αφειδώς σε ελάχιστους επιχειρηματικούς ομίλους, χωρίς να αφήνουν πραγματικό αναπτυξιακό, εργασιακό και κοινωνικό αποτύπωμα. Να ανακατευθύνουμε λοιπόν τους πόρους του Ταμείου Ανάκαμψης και Ανθεκτικότητας, ώστε να μη σπαταλήσουμε αυτή τη μεγάλη για τη χώρα ευκαιρία.",political agenda,economy,investments,0.6,0.0,0.0,"[['greece', 'country', '1.0'], ['european', 'group of people', '0.8'], ['eurozone', 'organization', '0.8'], ['labour', 'group of people', '0.6'], ['public health', 'organization', '0.6'], ['recovery and resilience fund', 'organization', '0.6']]"
7,"With this in mind, I have the honour and pleasure to present to you immediately the 11 articles of the Contract of Change. Article 1: From the first days of progressive government, we have been legislating to raise wages and incomes. We are raising the minimum wage, from 1 July 2023, to 880 euros in the private sector and we are introducing an annual indexation at the rate of inflation of the previous year. We unfreeze the triennials to achieve an immediate generous increase in the average wage. We increase public sector wages, effective July 1, '23, by 10%.","Με αυτό ως δεδομένο, έχω τη τιμή και τη χαρά να σας παρουσιάσω ευθύς αμέσως, τα 11 άρθρα του Συμβολαίου Αλλαγής. Άρθρο 1ο: Από τις πρώτες ημέρες της προοδευτικής διακυβέρνησης νομοθετούμε για την αύξηση μισθών και εισοδημάτων. Αυξάνουμε τον κατώτατο μισθό, από 1η Ιουλίου του 2023, στα 880 ευρώ στον ιδιωτικό τομέα και θεσμοθετούμε την ετήσια τιμαριθμική αναπροσαρμογή στο ύψος του πληθωρισμού του προηγούμενου έτους. Ξεπαγώνουμε τις τριετίες ώστε να επιτευχθεί άμεση γενναία αύξηση του μέσου μισθού. Αυξάνουμε τους μισθούς στον δημόσιο τομέα, από 1ης Ιουλίου του ’23, κατά 10%. ",political agenda,employment,other,0.5,0.0,0.0,"[['contract of change', 'organization', '1.0'], ['progressive government', 'group of people', '0.6'], ['minimum wage', 'organization', '0.5'], ['private sector', 'organization', '0.5'], ['inflation', 'organization', '0.4'], ['triennials', 'organization', '0.3'], ['public sector', 'organization', '0.5'], ['july 1', 'date', '0.9']]"
8,"We immediately restore the 13th pension and pay 2.5 million pensioners and over four years the retroactive payments that the Mitsotakis government deprived them of. We grant the 7.5% increase for 2023 to all pensioners, regardless of the existence of a personal difference and permanently include all pensioners in the annual increase mechanism. We establish a tax-free threshold of €10,000 for all individuals for income from employment and include all individuals in the single tax scale, regardless of their form of employment. We abolish the business tax.","Επαναφέρουμε άμεσα τη 13η σύνταξη και αποδίδουμε σε 2,5 εκατομμύρια συνταξιούχους και σε βάθος τετραετίας τα αναδρομικά που τους στέρησε η κυβέρνηση Μητσοτάκη. Χορηγούμε την αύξηση του 7,5% για το 2023 σε όλους τους συνταξιούχους, ανεξαρτήτως της ύπαρξης προσωπικής διαφοράς και εντάσσουμε μόνιμα όλους τους συνταξιούχους στον ετήσιο μηχανισμό αύξησης. Θεσπίζουμε αφορολόγητο στα 10.000 ευρώ για όλα τα φυσικά πρόσωπα, για εισοδήματα από την εργασία τους και εντάσσουμε στην ενιαία κλίμακα φορολόγησης όλα τα φυσικά πρόσωπα, ανεξαρτήτως μορφής απασχόλησης. Καταργούμε το τέλος επιτηδεύματος.",political agenda,pensioners,pensions,0.9,0.0,0.0,"[['mitsotakis government', 'organization', '0.5'], ['2023', 'date', '0.5'], ['greece', 'country', '1'], ['€10', '000', 'organization', '0.5']]"
9,"Article 2: From the very first days we have been legislating to deal effectively with price inflation, to contain and reduce prices. We reduce VAT on food to 6%. For essential products (baby food, milk, bread), we are moving to a zero VAT rate. We reduce the VAT on fuel to the minimum rate provided for by European legislation and abolish the VAT refund on agricultural and livestock oil for our farmers and livestock farmers.  We are strengthening the control mechanisms and introducing intensive controls on the markets, with very strict controls, in order to break up the cartels. We are introducing extraordinary taxation of accumulated excess profits and sky-high profits and we are introducing a cap on the profitability of companies in sectors that systematically show excess profits. We promote energy communities for self-production and self-consumption of electricity, with the aim of having at least 50% of new licences for energy communities and self-production. Because today, unfortunately, the government has discredited this great reform of SYRIZA and is giving access to the grid only to large companies.  We are restoring the transport equivalent, another great reform that we made for our islanders. We are restoring it because it has been discredited and we are restoring the regularity of payments and extending the beneficiaries.  Finally, we are reducing the cost of the monthly unlimited travel card for public transport from 27 euros today to 10 euros.","Άρθρο 2ο: Από τις πρώτες μέρες νομοθετούμε για την αποτελεσματική αντιμετώπιση της ακρίβειας, τη συγκράτηση και μείωση των τιμών. Μειώνουμε τον ΦΠΑ στα τρόφιμα στο 6%. Για προϊόντα δε ζωτικής σημασίας (παιδικές τροφές, γάλα, ψωμί), πηγαίνουμε σε μηδενικό συντελεστή ΦΠΑ. Μειώνουμε τον ΕΦΚ στα καύσιμα στον κατώτατο συντελεστή που προβλέπει η ευρωπαϊκή νομοθεσία και καταργούμε την απόδοση ΕΦΚ για το αγροτικό και κτηνοτροφικό πετρέλαιο, για τους αγρότες και τους κτηνοτρόφους μας.  Ενισχύουμε τους ελεγκτικούς μηχανισμούς και θεσπίζουμε εντατικούς ελέγχους στις αγορές, με πολύ αυστηρούς ελέγχους, για να σπάσουμε τα καρτέλ. Προχωράμε σε έκτακτη φορολόγηση συσσωρευμένων υπερκερδών και ουρανοκατέβατων κερδών και θεσπίζουμε πλαφόν στην κερδοφορία εταιριών κλάδων που παρουσιάζουν συστηματικά υπερκέρδη. Προωθούμε τις ενεργειακές κοινότητες για την αυτοπαραγωγή και αυτοκατανάλωση ηλεκτρικού ρεύματος, με στόχο να φτάσουμε να έχουμε τουλάχιστον το 50% των νέων αδειών να αφορά ενεργειακές κοινότητες και αυτοπαραγωγή. Διότι σήμερα η κυβέρνηση, δυστυχώς, αυτή τη μεγάλη μεταρρύθμιση του ΣΥΡΙΖΑ την έχει απαξιώσει και δίνει πρόσβαση στο δίκτυο μόνο στις μεγάλες επιχειρήσεις.  Αποκαθιστούμε το μεταφορικό ισοδύναμο, άλλη μια μεγάλη μεταρρύθμιση που κάναμε εμείς για τους νησιώτες μας. Το αποκαθιστούμε γιατί έχει απαξιωθεί και επαναφέρουμε την κανονικότητα των πληρωμών και διευρύνουμε τους δικαιούχους.  Μειώνουμε, τέλος, το κόστος της μηνιαίας κάρτας απεριορίστων διαδρομών στις Δημόσιες συγκοινωνίες από 27 που είναι σήμερα, στα 10 ευρώ.",political agenda,economy,prices,0.7,0.0,0.0,"[['syriza', 'political party', '1.0'], ['european legislation', 'organization', '1.0'], ['energy communities', 'group of people', '0.9'], ['islanders', 'group of people', '0.8'], ['public transport', 'organization', '0.8']]"
10,"Article 3: From the first days of progressive governance, we have been making bold interventions to regulate debts and protect first homes, commercial housing and agricultural land. We are regulating private debt to insurance funds and the tax authorities, with the cancellation of part of the basic debt for debts created after the outbreak of the health crisis, and with 120 instalments for the repayment of the remaining debt. Those who lost the 2019 arrangement will also be eligible to join the scheme. We immediately suspend first home auctions for properties up to 300,000 euros. We submit to Parliament the comprehensive plan to replace the bankruptcy law of the New Democracy, with permanent measures to regulate debts and protect first homes, commercial housing and agricultural land. We are legislating a framework of rules for the supervision and taxation of the activities of funds holding red loans.  Legislate a binding framework for an out-of-court settlement mechanism with mandatory creditor participation. The mechanism, as we presented it at a special event a few days ago, is simple and automatic, through an online platform, and gives two options for settlement: a short-term one (5 to 10 years), with a large write-off of the nominal value of the loan (40% to 60%); a long-term one (up to 35 years), with payment of the objective value of the mortgaged property in low instalments and a fixed interest rate of 2%. In each case, we provide for a state subsidy of up to 50% of the instalment with extended social criteria. We are reintroducing the possibility of recourse to the courts in the event of failure to settle out of court, with a short specific time limit for adjudication.","Άρθρο 3ο: Από τις πρώτες ημέρες της προοδευτικής διακυβέρνησης, προχωράμε σε γενναίες παρεμβάσεις για τη ρύθμιση χρεών και την προστασία πρώτης κατοικίας, επαγγελματικής στέγης και αγροτικής γης. Ρυθμίζουμε το ιδιωτικό χρέος σε Ασφαλιστικά Ταμεία και Εφορία, με διαγραφή μέρους της βασικής οφειλής, για χρέη που δημιουργήθηκαν μετά το ξέσπασμα της υγειονομικής κρίσης, και με 120 δόσεις για την αποπληρωμή του υπολοίπου χρέους. Δικαίωμα ένταξης στο σχήμα θα έχουν και όσοι απώλεσαν τη ρύθμιση του 2019. Αναστέλλουμε άμεσα τους πλειστηριασμούς πρώτης κατοικίας για ακίνητα έως 300.000 ευρώ. Καταθέτουμε στη Βουλή το συνολικό σχέδιο αντικατάστασης του πτωχευτικού νόμου της Νέας Δημοκρατίας, με μόνιμα μέτρα ρύθμισης χρεών και προστασίας της πρώτης κατοικίας, επαγγελματικής στέγης και αγροτικής γης. Νομοθετούμε πλαίσιο κανόνων εποπτείας και φορολόγησης των δραστηριοτήτων των funds που κατέχουν κόκκινα δάνεια.  Νομοθετούμε δεσμευτικό πλαίσιο εξωδικαστικού μηχανισμού ρύθμισης με υποχρεωτικότητα συμμετοχής του πιστωτή. Ο μηχανισμός, όπως τον παρουσιάσαμε σε ειδική εκδήλωση πριν από λίγες μέρες, είναι απλός και αυτόματος, μέσω ηλεκτρονικής πλατφόρμας και δίνει δύο εναλλακτικές επιλογές ρύθμισης: Μια βραχυχρόνια (5 έως 10 έτη), με μεγάλη διαγραφή της ονομαστικής αξίας του δανείου (40% έως 60%). Μια μακροχρόνια (έως 35 έτη), με καταβολή της αντικειμενικής αξίας του ενυπόθηκου ακινήτου σε χαμηλές δόσεις και με σταθερό επιτόκιο 2%. Σε κάθε περίπτωση, προβλέπουμε κρατική επιδότηση έως και 50% της δόσης με διευρυμένα κοινωνικά κριτήρια. Επαναφέρουμε τη δυνατότητα προσφυγής στη δικαστική οδό σε περίπτωση αδυναμίας ρύθμισης στο εξωδικαστικό στάδιο, με μια σύντομη ειδική προθεσμία εκδίκασης.",political agenda,debt,debt regulations,0.5,0.0,0.0,"[['parliament', 'organization', '1.0'], ['new democracy', 'political party', '0.9'], ['2019 arrangement', 'date', '0.8'], ['greece', 'country', '0.8'], ['health crisis', 'date', '0.8'], ['300', '000 euros', 'date', '0.7'], ['a few days ago', 'date', '0.7'], ['2%', 'date', '0.7'], ['35 years', 'date', '0.7'], ['the basic debt', 'organization', '0.6'], ['120 instalments', 'date', '0.6'], ['funds holding red loans', 'organization', '0.6'], ['online platform', 'organization', '0.6'], ['50%', 'organization', '0.6']]"
