id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Tripoli, thank you for this warm welcome here in your city. And although there are many of you in broad daylight, like many of you, we will finally be at the ballot box to bring the great change that the country needs. Because the many want change. They want a change in their lives in their everyday lives. No more. So much for obscenity. Enough with injustice. Enough of corruption. Enough with family rule. We want the next day for our country to be a day of hope and perspective, to support the living forces of society. To support the workers, the people of labour, the people of creation, the farmers, the young people who are leaving and emigrating, not only from their regions, but also from the country. We want to create the conditions for a government of progressive cooperation, a long-term government that will give stability, that will give justice, that will fight the great inequalities.","Πολίτες της Τρίπολης, σας ευχαριστώ για αυτή τη θερμή υποδοχή εδώ στην πόλη σας. Και παρότι μέρα μεσημέρι είστε πολλοί και πολλές, όπως πολλοί και πολλές θα είμαστε τελικά στην κάλπη για να φέρουμε τη μεγάλη αλλαγή που έχει ανάγκη ο τόπος. Διότι οι πολλοί θέλουν την αλλαγή. Θέλουν μια αλλαγή στη ζωή τους στην καθημερινότητά τους. Δεν πάει άλλο. Ως εδώ με την αισχροκέρδεια. Ως εδώ, με την αδικία. Ως εδώ, με τη διαφθορά. Ως εδώ με την οικογενειοκρατία. Θέλουμε η επόμενη μέρα για τον τόπο μας να είναι μια μέρα ελπίδας και προοπτικής, να στηρίξουμε τις ζωντανές δυνάμεις της κοινωνίας. Να στηρίξουμε τους εργαζόμενους, τους ανθρώπους του μόχθου, τους ανθρώπους της δημιουργίας, τους αγρότες, τους νέους ανθρώπους που φεύγουνε και μεταναστεύουν, όχι μόνο από τις περιοχές τους, αλλά και από τη χώρα. Θέλουμε να δημιουργήσουμε τις προϋποθέσεις για μια κυβέρνηση προοδευτικής συνεργασίας, μακράς πνοής που θα δώσει σταθερότητα, που θα δώσει δικαιοσύνη, που θα καταπολεμήσει τις μεγάλες ανισότητες. ",political agenda,elections,inequality,0.8,0.2,0.4,"[['tripoli', 'location', '1'], ['citizens', 'group of people', '1'], ['country', 'country', '1'], ['ballot box', 'organization', '0.7'], ['injustice', 'organization', '0.5'], ['corruption', 'organization', '0.5'], ['family rule', 'organization', '0.5'], ['workers', 'group of people', '0.8'], ['people of labour', 'group of people', '0.8'], ['people of creation', 'group of people', '0.8'], ['farmers', 'group of people', '0.8'], ['young people', 'group of people', '0.8'], ['government', 'organization', '0.8'], ['progressive cooperation', 'political party', '0.6'], ['inequalities', 'organization', '0.5']]"
2,"Because for 4 years now, unfortunately, the country has gone backwards very much backwards. Inequalities have increased rapidly. I remember in 2019, Mr Mitsotakis came here to your city of Tripoli in May 19. And what did he say? That he would be, he said, the prime minister of all Greeks. When she becomes Prime Minister, he said, she will be the Prime Minister of all Greeks. And four years later it turned out what? That she was not of all Greeks. He was the prime minister of the powerful, of the rich, who became richer during this whole period. He was the creator of obscenity. Middle class he promised to support, living on food stamps. Coupons at the supermarket, coupons for electricity, coupons to go to the gas station. So, the Prime Minister of obscenity.","Γιατί 4 χρόνια τώρα δυστυχώς η χώρα πήγε προς τα πίσω πολύ προς τα πίσω. Οι ανισότητες αυξήθηκαν ραγδαία. Θυμάμαι το 2019, είχε έρθει εδώ στην πόλη σας στην Τρίπολη τον Μάιο του '19 ο κύριος Μητσοτάκης. Και τι είχε πει; Ότι θα είναι, λέει η πρωθυπουργός όλων των Ελλήνων. Αμά γίνει πρωθυπουργός, είχε πει, θα είναι όλων των Ελλήνων. Και 4 χρόνια μετά αποδειχθηκε τι; Ότι τελικά δεν ήταν όλων των Ελλήνων. Ήταν ο πρωθυπουργός των ισχυρών, των πλουσίων, που γίναν πλουσιότεροι όλη αυτή την περίοδο. Ήταν ο δημιουργός της αισχροκέρδειας. Μεσαία τάξη της οποίας υποσχέθηκε ότι θα στηρίξει, ζει με κουπόνια. Κουπόνια στο σούπερ μάρκετ, κουπόνια στο ρεύμα, κουπόνια για να πας στο πρατήριο της βενζίνης. Ο πρωθυπουργός λοιπόν, της αισχροκέρδειας.",criticism,economy,inequality,-0.9,0.6,0.0,"[['mr mitsotakis', 'person', '0.9'], ['greeks', 'group of people', '0.8'], ['prime minister', 'political party', '0.6'], ['middle class', 'group of people', '0.7'], ['tripoli', 'location', '0.8'], ['greece', 'country', '0.9'], ['may 19', 'date', '0.8']]"
3,"But he turned out to be the prime minister of the crows. The crows, the ones he even had in his electoral team. The Bats, all those who run around taking people's lives and property. 700,000 properties mortgaged to the funds. To the party, which owes 400 million to the banks and doesn't give a damn. They rush to take the property of citizens for 5 and 10,000 euros. While I'm on the subject of crows, let me tell you more... Other animals of our animal kingdom. Ε; Other animals of our animal kingdom. So, in addition to the crows, there were the grasshoppers. He was also the prime minister of the blue locusts. The locusts who plundered the public wealth. He doubled the post-employees. He doubled the managerial positions in all public utilities. Increase their salaries. Put the public power company, after depriving it of the ability to operate in the public interest, the blue golden boys to give themselves fat salaries and bonuses. And he has created this raid by the blue salaried workers, the locusts, with direct awards of EUR 10 billion. To companies that were being set up three days before the rigged tenders. And while I'm on the subject of locusts, I shouldn't forget...","Αλλά αποδείχθηκε ο πρωθυπουργός των κοράκων. Των κοράκων, εκείνων που είχε ακόμα και στην εκλογική του ομάδα. Των Πάτσηδων, όλων εκείνων που τρέχουνε να πάρουνε το βιος και την περιουσία των πολιτών. 700.000 ακίνητα υποθηκευμένα στα funds. Στο κόμμα, που χρωστάει 400 εκατομμύρια στις τράπεζες και δεν δίνει δεκάρα. Σπεύδει να πάρει την περιουσία των πολιτών για 5 και 10.000 €. Μιας και μίλησα για κόρακες να πω και για άλλα ... Άλλα ζώα του ζωικού μας βασιλείου. Ε; Άλλα ζωντανά του ζωικού μας βασιλείου. Εκτός από τα κοράκια λοιπόν ήταν και οι ακρίδες. Ήταν και ο πρωθυπουργός των γαλάζιων ακρίδων. Οι ακρίδες που λεηλάτησαν το δημόσιο πλούτο. Διπλασίασε τους μετακλητούς υπαλλήλους. Διπλασίασε τις διευθυντικές θέσεις σε όλες τις δημόσιες επιχειρήσεις κοινής ωφέλειας. Αυξήστε τους μισθούς τους. Έβαλε στη δημόσια επιχείρηση ηλεκτρισμού, αφού της στέρησε τη δυνατότητα να λειτουργεί για το δημόσιο συμφέρον, τα γαλάζια golden boys να δίνουνε παχυλούς μισθούς στους εαυτούς τους και μπόνους. Και έφτιαξε αυτή την επιδρομή των γαλάζιων ημετέρων, των ακρίδων, με τις απευθείας αναθέσεις ύψους 10 δισεκατομμυρίων ευρώ. Σε εταιρείες που φτιάχνονταν 3 μέρες πριν τους στημένους διαγωνισμούς. Και μιας και μίλησα και για ακρίδες να μην ξεχάσω...",criticism,corruption,bankers,-1.0,0.8,0.0,"[['crows', 'group of people', '1.0'], ['bats', 'group of people', '1.0'], ['party', 'organization', '1.0'], ['banks', 'organization', '1.0'], ['citizens', 'group of people', '1.0'], ['grasshoppers', 'group of people', '1.0'], ['blue locusts', 'group of people', '1.0'], ['public power company', 'organization', '1.0'], ['blue golden boys', 'group of people', '1.0'], ['blue salaried workers', 'group of people', '1.0'], ['eur 10 billion', 'date', '1.0']]"
4,"Not to mention the bugs. He was also the prime minister of the bugs. This unprecedented scandal of illegal wiretapping, which half the political system was listening in on from his office in the Maximus building. So therefore not prime minister of all Greeks. Prime Minister of the locusts, of the blue, Prime Minister of the crows, Prime Minister of the crows, Prime Minister of the rich and powerful, Prime Minister of obscenity. But not prime minister of all Greeks.","Να μην ξεχάσω και τους κοριούς. Ήταν και ο πρωθυπουργός των κοριών. Αυτό το πρωτοφανές σκάνδαλο των παράνομων παρακολουθήσεων, που άκουγε το μισό πολιτικό σύστημα μέσα από το γραφείο του το Μέγαρο Μαξίμου. Άρα λοιπόν όχι πρωθυπουργός όλων των Ελλήνων. Πρωθυπουργός των ακρίδων, των γαλάζιων, πρωθυπουργός των κοριών, πρωθυπουργός των κοράκων, πρωθυπουργός των πλουσίων και ισχυρών, πρωθυπουργός της αισχροκέρδειας. Όχι όμως πρωθυπουργός όλων των Ελλήνων. ",criticism,corruption,wiretapping,-0.7,0.6,0.0,"[['maximus building', 'location', '0.8'], ['greek', 'country', '0.6']]"
5,"The middle class has been discredited. Workers were targeted. They even abolished the eight-hour day, overtime is hardly paid anymore. It's a jungle in the workplace.","Η μεσαία τάξη απαξιώθηκε. Οι εργαζόμενοι στοχοποιήθηκαν. Κατήργησαν ακόμα και το οκτάωρο, τις υπερωρίες πια δεν τις πληρώνεται σχεδόν κανείς. Ζούγκλα επικρατεί στο εργασιακό τοπίο. ",criticism,employment,workers' rights,-0.7,0.0,0.0,"[['the middle class', 'group of people', '0.6'], ['workers', 'group of people', '0.7']]"
6,"Young people were targeted even during the pandemic period. They were responsible for the spread of the virus. Barriers were put up to their education, barriers were put up to their daily lives, to their ability to stay in this country and to dream. This is the situation today, four years later.","Νέοι άνθρωποι στοχοποιήθηκαν ακόμα και την περίοδο της πανδημίας. Αυτοί ήταν υπεύθυνοι για τη διάδοση του ιού. Μπήκαν φραγμοί στη μόρφωση, μπήκαν φραγμοί στην καθημερινότητά τους, στη δυνατότητα να μείνουν σε αυτό τον τόπο και να ονειρευτούν. Αυτή είναι η κατάσταση σήμερα, 4 χρόνια μετά. ",criticism,pandemic,youth,-0.8,0.2,0.0,"[['young people', 'group of people', '1.0'], ['barriers', 'organization', '0.2'], ['country', 'location', '0.2'], ['four years later', 'date', '0.4']]"
7,"And we say that now comes the crucial moment for the Greek people to choose how they will see the dawn on May 22. Who will be the government that will be called upon to take over the fate of the country for the next four years? Some people are trying to convince us that these elections, because they are elections of parity of vote, elections of simple proportional representation, are elections of loose voting. They are wrong. We have a simple proportional representation election, but that doesn't mean we haven't had a simple proportional representation election. Whoever comes first will form the government the next day. He will have the ability to form a government. Simple proportional representation gives parity of vote. Simple logic obliges us to make the vote count. And a SYRIZA - Progressive Alliance primary on the evening of May 21 means political change.  It is the warning of political change means that the next day we will form a government of longevity and stability on a program of convergence with the progressive forces of the country, on a progressive program, which we presented in the past few days and yesterday we released the 11 articles of the contract of change. That is what we called it. Contract of Change. We want to conclude a contract of change first and foremost with the Greek people. Everyone should know that by voting for SYRIZA - Progressive Alliance on 21 May, they are signing these 11 commitments, these 11 articles that concern our lives, our everyday life, our future. I have tried many times to explain that a vote for SYRIZA Progressive Alliance for a progressive government means 4 basic things, a wage increase, debt regulation, price reduction and a fair, efficient, strong welfare state. That is what I analysed yesterday.","Κι εμείς λέμε ότι τώρα έρχεται η κρίσιμη στιγμή να επιλέξει ο ελληνικός λαός πώς θα του ξημερώσει στις 22 του Μάη. Ποια θα είναι η κυβέρνηση που θα κληθεί να αναλάβει τις τύχες του τόπου για την επόμενη τετραετία; Κάποιοι προσπαθούν να μας πείσουν ότι αυτές οι εκλογές, επειδή είναι εκλογές ισοτιμίας της ψήφου, εκλογές απλής αναλογικής, είναι εκλογές χαλαρής ψήφου. Είναι λάθος. Έχουμε εκλογές απλής αναλογικής, αλλά αυτό δεν σημαίνει ότι δεν είχε εκλογές απλής λογικής. Αυτός που θα έρθει πρώτος θα σχηματίσει κυβέρνηση την επόμενη μέρα. Θα έχει τη δυνατότητα να σχηματίσει κυβέρνηση. Η απλή αναλογική δίνει την ισοτιμία της ψήφου. Η απλή λογική μας υποχρεώνει να έχει αντίκρισμα η ψήφος. Και πρωτιά του ΣΥΡΙΖΑ - Προοδευτική Συμμαχία το βράδυ της 21 του Μάη σημαίνει πολιτική αλλαγή.  Είναι η προειδοποίηση για την πολιτική αλλαγή σημαίνει ότι την επόμενη μέρα θα συγκροτήσουμε κυβέρνηση μακράς πνοής και σταθερότητας σε ένα πρόγραμμα σύγκλισης με τις προοδευτικές δυνάμεις του τόπου, σε ένα προοδευτικό πρόγραμμα, το οποίο παρουσιάσαμε τις προηγούμενες μέρες και χθες δώσαμε στη δημοσιότητα τα 11 άρθρα του συμβολαίου αλλαγής. Έτσι το ονομάσαμε. Συμβόλαιο αλλαγής. Συμβόλαιο αλλαγής θέλουμε να συνάψουμε πρώτα απ όλα με τον ελληνικό λαό. Να ξέρει ο καθένας και η καθεμιά ότι ψηφίζοντας ΣΥΡΙΖΑ - προοδευτική συμμαχία στις 21 του Μάη, υπογράφει αυτές τις 11 δεσμεύσεις, αυτά τα 11 άρθρα που αφορούν τη ζωή μας, την καθημερινότητά μας, το μέλλον μας. Έχω πολλές φορές προσπαθήσει να εξηγήσω ότι ψήφος στον ΣΥΡΙΖΑ Προοδευτική Συμμαχία για προοδευτική κυβέρνηση σημαίνει 4 βασικά πράγματα, αύξηση μισθών, ρύθμιση χρεών, μείωση τιμών και ένα δίκαιο, αποτελεσματικό, ισχυρό κοινωνικό κράτος. Αυτά ανέλυσα χθες.",political agenda,elections,other,0.5,0.2,0.0,"[['greek people', 'group of people', '1.0'], ['may 22', 'date', '1.0'], ['government', 'organization', '1.0'], ['elections', 'organization', '1.0'], ['proportional representation', 'organization', '1.0'], ['syriza - progressive alliance', 'political party', '1.0'], ['may 21', 'date', '1.0'], ['progressive forces', 'group of people', '1.0'], ['contract of change', 'organization', '1.0'], ['wage increase', 'organization', '1.0'], ['debt regulation', 'organization', '1.0'], ['price reduction', 'organization', '1.0'], ['welfare state', 'organization', '1.0']]"
8,"Presenting the contract of change to all citizens, all democratic citizens, all progressive citizens. And of course a wage increase means immediate legislation so that from the first of July we have €880 minimum wage. Unfreezing the triennials, so that the average wage can be increased.","Παρουσιάζοντας το συμβόλαιο αλλαγής σε όλους τους πολίτες, όλους τους δημοκρατικούς πολίτες, σ' όλους τους προοδευτικούς πολίτες. Και βεβαίως αύξηση μισθών σημαίνει άμεσα νομοθέτηση, ώστε από την πρώτη του Ιούλη να έχουμε 880 € τον κατώτατο μισθό. Ξεπάγωμα των τριετιών, ώστε να αυξηθεί ο μέσος μισθός. ",political agenda,employment,wages,1.0,0.0,0.2,"[['democratic citizens', 'group of people', '0.6'], ['progressive citizens', 'group of people', '0.6'], ['july', 'date', '0.6'], ['€880', 'none', '0.5 (not a named entity but a specific amount)']]"
9,"The return of the thirteenth pension to pensioners, which Mr Mitsotakis took away when he said that this was peanuts - but he has taken it away four years ago. Payment of retroactive payments following the decision of the Council of State, which Mr Mitsotakis also illegally withheld.","Απόδοση της δέκατης τρίτης σύνταξης στους συνταξιούχους που τη στέρησε ο κύριος Μητσοτάκης τότε που έλεγε ότι αυτά είναι ψίχουλα - αλλά τη στέρησε τέσσερα χρόνια τώρα. Απόδοση και των αναδρομικών μετά την απόφαση του Συμβουλίου Επικρατείας, που επίσης παρανόμως στέρησε ο κύριος Μητσοτάκης. ",criticism,pensioners,pensions,,0.1,0.0,"[['mr mitsotakis', 'person', '1.0'], ['pensioners', 'group of people', '1.0'], ['council of state', 'organization', '1.0.']]"
10,"A 10% increase also for civil servants as of 1/7/2023 who have not seen an increase for 14 years. Restraint and price cuts means we will immediately reduce the value added tax on food to 6% and for basic necessities we will have zero VAT for as long as this horrific inflationary crisis lasts. It means reducing excise duty to the minimum level provided for by the European Union and abolishing the excise duty refund, the excise duty refund for farmers and livestock farmers.","Αύξηση 10% και στους δημοσίους υπαλλήλους από τη 1/7/2023 που έχουν να δούνε αυξήσεις εδώ και 14 χρόνια. Συγκράτηση και μείωση τιμών σημαίνει ότι άμεσα θα μειώσουμε το φόρο προστιθέμενης αξίας στα τρόφιμα στο 6% και για τα τρόφιμα βασικής άμεσης ανάγκης θα έχουμε μηδενικό ΦΠΑ όσο διαρκεί αυτή η τρομακτική πληθωριστική κρίση. Σημαίνει μείωση του ειδικού φόρου κατανάλωσης στο κατώτατο επίπεδο που προβλέπει η Ευρωπαϊκή Ένωση και κατάργηση της απόδοσης ειδικού φόρου κατανάλωσης, της επιστροφής ειδικού φόρου κατανάλωσης για τους αγρότες και τους κτηνοτρόφους.",political agenda,economy,other,0.6,0.0,0.0,"[['civil servants', 'group of people', '1.0'], ['value added tax', 'organization', '1.0'], ['european union', 'organization', '1.0'], ['farmers', 'group of people', '1.0'], ['livestock farmers', 'group of people', '1.0']]"
