id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Hello compatriots. Thank you for this warm welcome here in Arta. It is a great pleasure to know that every time we meet. And I see the passion and determination on your faces and I am sure that on May 21 we will surprise them. We will have a great victory for SYRIZA Progressive Alliance, a great victory for democracy, a great victory for the people.","Γεια σας συμπατριώτες και συμπατριώτισσες. Σας ευχαριστώ για αυτή τη θερμή υποδοχή εδώ στην Aρτα. Είναι μεγάλη χαρά μου το ξέρετε κάθε φορά που ανταμώνουμε. Και βλέπω το πάθος και την αποφασιστικότητα στο πρόσωπό σας και βεβαιώνομαι ότι στις 21 του Μάη θα τους εκπλήξουμε. Θα έχουμε μια μεγάλη νίκη του ΣΥΡΙΖΑ Προοδευτική Συμμαχία, μια μεγάλη νίκη της δημοκρατίας, μια μεγάλη νίκη του λαού.",political agenda,elections,election spending,0.85,0.0,0.2,"[['arta', 'location', '1.0'], ['syriza progressive alliance', 'political party', '1.0'], ['may 21', 'date', '1.0']]"
2,"I want you to forgive me for being a little late in coming. But you know I don't travel on the state plane and with Greek taxpayers' money. I did not travel on the state plane for the election campaign, not even when I was Prime Minister, because I did not believe and I do not believe that this state is owned by anyone. Others have been born princes and have the feeling that they own the state and the country. I come from a humble mountain village in Tzoumerka, but I am proud of my origins. I may not be from a fireplace, but we had a fireplace in the family home and we lit them and I know how fireplaces are lit.","Θέλω να με συγχωρέσετε που καθυστέρησα λίγο να έρθω. Αλλά εγώ ξέρετε δεν ταξιδεύω με το κρατικό αεροπλάνο και με τα λεφτά των ελλήνων φορολογουμένων. Εγώ δεν ταξίδευα με το κρατικό για την προεκλογική εκστρατεία, ούτε όταν ήμουνα πρωθυπουργός, γιατί εγώ δεν πίστευα και δεν πιστεύω ότι αυτό το κράτος είναι ιδιοκτησία κανενός. Άλλοι έχουν γεννηθεί πρίγκιπες και έχουν την αίσθηση ότι το κράτος και η χώρα τους ανήκει. Εγώ κατάγομαι από ένα ταπεινό ορεινό χωριό στα Τζουμέρκα, αλλά είμαι περήφανος για την καταγωγή μου. Μπορεί να μην είμαι από τζάκι, αλλά είχαμε τζάκι στο πατρικό σπίτι και τα ανάβαμε και ξέρω πώς ανάβουν τα τζάκια.",criticism,elections,other,0.2,0.6,0.0,"[['tzoumerka', 'location', '1.0'], ['greek', 'country', '0.8'], ['prime minister', 'group of people', '0.5'], ['state', 'group of people', '0.5']]"
3,"So I am with you again to send this message. The message of victory and change, but above all the message that for us there are no citizens, no regions, no B regions. And I want to thank you both for your presence, but also for the fact that you have shown over the years that you appreciate everything that SYRIZA as a government has done for your country, for our country. The prefecture of Arta was a law erased from the map for many, many decades and we tried to bring it out of isolation. In the four years of our government 111 million euros from public funds went to projects in the prefecture of Arta in cooperation with the region and local government. We did not care if the mayors of the region were our own partisans we cared about giving support and breath to this place. And it wasn't just what was valued in money and funds. It was also the development and breath projects that were done for the place that cannot be valued in financial terms. We completed the two major roads in the Olympic Road and the Ionian Road and now you don't need 5 hours to go to Athens from Arta, you arrive in 3 and a half hours. We have put into practice the great vision of the people of Arta, to establish an agricultural school here in Arta and to make the city a city of 3 university schools.We have advanced the great development plan for the delimitation of the river Arachthos. Projects which can put your place back on the map of the territory.","Είμαι λοιπόν ξανά μαζί σας για να στείλω αυτό το μήνυμα. Το μήνυμα της νίκης και της αλλαγής, αλλά κυρίως το μήνυμα ότι για εμάς δεν υπάρχουν πολίτες, περιφέρειες, περιοχές Β κατηγορίας. Και θέλω να σας ευχαριστήσω και για την παρουσία σας, αλλά και για το γεγονός ότι αποδείξατε όλα αυτά τα χρόνια πως εκτιμήσατε όλα όσα έκανε ο ΣΥΡΙΖΑ ως κυβέρνηση για τον τόπο σας για τον τόπο μας. Ο νομός της Άρτας ήταν ένας νόμος σβησμένος απ το Χάρτη για πάρα πολλές δεκαετίες και εμείς προσπαθήσαμε να τον βγάλουμε από την απομόνωση. Τα 4 χρόνια της δικής μας διακυβέρνησης 111 εκατομμύρια ευρώ από τα δημόσια ταμεία πήγαν για έργα στο νομό της Άρτας σε συνεργασία με την περιφέρεια και την τοπική αυτοδιοίκηση. Δεν μας ένοιαζε αν περιφερειάρχης οι δήμαρχοι ήταν δική μας κομματικοι μας ένοιαξε να δώσουμε στήριγμα και πνοή σε αυτό τον τόπο. Και δεν ήταν μόνο αυτά που αποτιμούνται σε χρήματα και σε κονδύλια. Ήταν και τα έργα ανάπτυξης και πνοής που γίναν για τον τόπο και δεν μπορούν να αποτιμηθούν με οικονομικούς όρους. Ολοκληρώσαμε τους δυο μεγάλους οδικούς άξονες στην Ολυμπία οδό και την Ιονία οδό και πλέον δεν θέλεις 5 ώρες να πας στην Αθήνα από την άρτα φτάνεις σε 3 τρεισήμισι ώρες. Κάναμε πράξη το μεγάλο όραμα των Αρτινών, να ιδρυθεί γεωπονική σχολή εδώ στην άρτα και να γίνει άρτια η πόλη 3 πανεπιστημιακών σχολών.Προχωρήσαμε μεγάλο το μεγάλο αναπτυξιακό σχέδιο για την οριοθέτηση του αράχθου ποταμού. Έργα τα οποία μπορούν να βάλουν ξανά τον τόπο σας στον χάρτη της επικράτειας. ",political agenda,infrastructure,other,0.5,0.0,0.0,"[['syriza', 'political party', '1.0'], ['arta', 'location', '1.0'], ['111 million euros', 'currency', '1.0'], ['olympic road', 'location', '1.0'], ['ionian road', 'location', '1.0'], ['athens', 'location', '1.0'], ['3 and a half hours', 'date', '1.0'], ['3 university schools', 'organization', '1.0'], ['river arachthos', 'location', '1.0']]"
4,"But for 4 years now, what has the New Democracy government been doing? For 4 years now you would think they have a vindictive attitude towards Arta, towards the continent as a whole, but especially towards Artia, you would think they want to get revenge because Arta has been unlucky for them. So they say it has produced a Prime Minister with the left and they can't stand that. And what did they do? So they have devalued the Faculty of Agriculture for 4 years now by abolishing one of its 2 departments. They cancelled the planning for the agri-food technology park at the Faculty of Agriculture. They cancelled the planning for the mountain park at Cross in Theodorian have left the bypass road on the Athamanius Theodorian road. Just like we left it.","4 χρόνια τώρα όμως, τι κάνει η κυβέρνηση της Νέας Δημοκρατίας; 4 χρόνια τώρα Θαρρείς πως έχουν μια εκδικητική στάση με την άρτα με την ήπειρο συνολικά, αλλά ιδιαίτερα με την άρτια θαρρείς πως θέλουν να πάρουν τη ρεβάνς γιατί η Άρτα έχει κατ αυτούς την ατυχία. Έτσι λένε να έχει βγάλει έναν Πρωθυπουργό με την Αριστερά και αυτό δεν το αντέχουν. Και τι κάνανε; Απαξίωσαν λοιπόν 4 χρόνια τώρα τη γεωπονική σχολή, καταργώντας το ένα από τα 2 τμήματα της. Ακύρωσαν τον σχεδιασμό για το τεχνολογικό αγροδιατροφικό πάρκο στην Γεωπονική Σχολή. Ακυρώσανε το σχεδιασμό για το ορεινό πάρκο στο Σταυρό στα Θεοδώριανα έχουν αφήσει το δρόμο της παράκαμψης στον δρόμο αθαμανίου θεοδωριάνων. Έτσι ακριβώς όπως τον αφήσαμε και εμείς. ",criticism,infrastructure,other,-0.6,0.2,0.2,"[['new democracy', 'political party', '1.0'], ['arta', 'location', '0.8'], ['artia', 'location', '0.6'], ['prime minister', 'person', '0.7'], ['faculty of agriculture', 'organization', '0.9'], ['cross in theodorian', 'location', '0.6'], ['athamanius theodorian', 'location', '0.6']]"
5,"But the main thing they have done in these 4 years?It is that they have discredited the public hospital. One of the most important regional hospitals in your city has been left without doctors, without staffing, without infrastructure. It is unthinkable that there is no doctor on duty in the radiology department of the Arta hospital. They say that this is only a matter of circumstance, and we reply if you mean that it is only a matter of circumstance because in 20 days things will change and we will support Arta and this place again.Then yes, it is a matter of circumstance. But their disparagement of your county is not a matter of chance. And if some younger people forget, they remind us with their works for 4 years now.","Το κυριότερο όμως που έχουν κάνει αυτά τα 4 χρόνια;Είναι ότι έχουν απαξιώσει το δημόσιο νοσοκομείο. Ένα από τα σημαντικότερα περιφερειακά νοσοκομεία στην πόλη σας το έχουν αφήσει χωρίς γιατρούς, χωρίς στελέχωση, χωρίς υποδομές. Είναι αδιανόητο να μην υπάρχει εφημερεύων γιατρός στο ακτινοδιαγνωστικό τμήμα του νοσοκομείου της Άρτας. Λένε ότι αυτό είναι συγκυριακό, τους απαντάμε αν εννοείτε ότι είναι συγκυριακό γιατί σε 20 ημέρες τα πράγματα αλλάζουν και τα ξανά στηρίξουμε την Άρτα και τον τόπο αυτόν.Τον περήφανο αυτόν τόπο τότε ναι, είναι συγκυριακό. Η απαξίωσή τους όμως για τον νομό σας δεν είναι συγκυριακή. Και αν ξεχνάνε κάποιοι νεότεροι μας το θυμίζουν αυτοί με τα έργα τους 4 χρόνια τώρα.",criticism,health,other,-0.8,0.0,0.2,"[['arta hospital', 'organization', '0.6'], ['arta', 'location', '0.3'], ['county', 'location', '1.0'], ['4 years', 'date', '1.0']]"
6,"The rural world, the livestock world is groaning. Prices have gone to God. The cost of production has skyrocketed farm oil, fertilizer, electricity. Farm supplies. Our ranchers and farmers who have a lot of them in our county here are not able to stand on their own two feet and want a better outlook for the next day.","Ο αγροτικός κόσμος, ο κτηνοτροφικός κόσμος στενάζει. Οι τιμές έχουν πάει στο Θεό. Το κόστος της παραγωγής έχει εκτιναχθεί το αγροτικό πετρέλαιο, τα λιπάσματα, το ρεύμα. Τα αγροτικά εφόδια. Οι κτηνοτρόφοι και οι αγρότες μας που έχει πολλούς τέτοιους ο νομός μας εδώ δεν έχουν τη δυνατότητα να σταθούν στα πόδια τους και θέλουν μια καλύτερη προοπτική για την επόμενη μέρα.",criticism,agricultural policy,other,-0.8,0.0,0.2,"[['ranchers', 'group of people', '0.85'], ['farmers', 'group of people', '0.85'], ['county', 'location', '0.85']]"
7,"So we are saying to all citizens who are currently facing deadlocks, we are saying one thing, the elections on the 21st of this month are not a slack vote. It is an election that produces a government and have no doubt about it. The first party and the third party will be able to form a government on May 22. So is it critical who will be first in this election? And it is crucial. Who will be first? Because make no mistake, if Mr Mitsotakis is first, he will not let this opportunity to form a government go to waste. His government spokesman said it clearly yesterday that he will use the exploratory mandate to form a government. Today, he tried to muddy the waters by saying that he will not cooperate with Mr Androulakis's Kinal. Believe them, I do not believe a word they say, do not believe them if they are the first party, even by half a point, New Democracy will want to take this opportunity to form a rag-tag government by blackmail, by pressure and even by defections. As it is well known that this family knows the knowhow.","Εμείς λοιπόν, σε όλους τους πολίτες που βρίσκονται σήμερα μπροστά σε αδιέξοδα, λέμε ένα πράγμα, οι εκλογές της 21ης του μήνα δεν είναι εκλογές χαλαρής ψήφου. Είναι εκλογές που βγάζουνε κυβέρνηση και μην έχετε καμιά αμφιβολία. Το πρώτο με το τρίτο κόμμα, θα έχουν τη δυνατότητα να συγκροτήσουν κυβέρνηση στις 22 του Μάη. Είναι κρίσιμο λοιπόν ποιος θα είναι πρώτος σε αυτές τις εκλογές; Και είναι κρίσιμος. Ποιος θα είναι πρώτος; Γιατί μη γελιέστε αν ο κύριος Μητσοτάκης είναι πρώτος, δεν θα αφήσει να πάει χαμένη αυτή η ευκαιρία θα συγκροτήσει η κυβέρνηση. Το είπε καθαρά χθες ο κυβερνητικός του εκπρόσωπος ότι θα αξιοποιήσει τη διερευνητική εντολή για να σχηματίσει κυβέρνηση. Σήμερα προσπάθησε να θολώσει τα νερά, λέγοντας ότι δεν θα συνεργαστεί με το ΚΙΝΑΛ του κυρίου Ανδρουλάκη. Τους πιστεύετε, εγώ δεν πιστεύω λέξη απ όσα λένε, μην τους πιστεύετε αν είναι πρώτο κόμμα, έστω και με μισή μονάδα η Νέα Δημοκρατία θα θελήσει να πάρει αυτή την ευκαιρία για να φτιάξει κυβέρνηση κουρελού με εκβιασμούς, με πιέσεις ακόμα και με αποστασίες. Όπως είναι γνωστό ότι αυτή η οικογένεια γνωρίζει το knowhow. ",criticism,elections,election spending,-0.5,0.4,0.1,"[['mr mitsotakis', 'person', '0.9'], ['may 22', 'date', '0.9'], ['mr androulakis', 'person', '0.9'], ['kinal', 'political party', '0.9'], ['new democracy', 'political party', '0.9.']]"
8,"The only thing that can thwart this plan is the Syriza Progressive Alliance's primary election victory. It is a clear victory on May 21 that will pave the way for change that will pave the way for a government of progressive cooperation. And by appealing to all citizens, by appealing to all citizens, we want to pose the real dilemmas of the ballot box. The dilemma of this ballot box is one. We change or we keep sinking, the bill will continue to not come out. Will households continue to save their income in the third week of the month, not being able to pay the electricity, not being able to go to the supermarket, or will we give households a breather by raising wages by lowering prices by regulating debts.","Το μόνο που μπορεί να ματαιώσει αυτό το σχέδιο είναι η πρωτιά στις εκλογές του ΣΥΡΙΖΑ Προοδευτική Συμμαχία είναι η νίκη. Είναι η καθαρή νίκη στις 21 του Μάη που θα ανοίξει το δρόμο για την αλλαγή που θα ανοίξει το δρόμο για κυβέρνηση προοδευτικής συνεργασίας. Και απευθυνόμενοι σε όλους τους πολίτες, απευθυνόμενοι σε όλους τους πολίτες, θέλουμε να θέσουμε τα πραγματικά διλήμματα της κάλπης. Το δίλημμα αυτής της κάλπης είναι ένα. Αλλάζουμε ή συνεχίζουμε να βουλιάζουμε, θα συνεχίσει ο λογαριασμός να μη βγαίνει. Θα συνεχίσουν τα νοικοκυριά να σώνεται το εισόδημά τους στην τρίτη Εβδομάδα του μήνα, να μην μπορούν να πληρώσουν το ρεύμα, να μην μπορούν να πάνε στο σούπερ μάρκετ ή θα δώσουμε ανάσα στα νοικοκυριά με αύξηση των μισθών με μείωση των τιμών με ρύθμιση των χρεών.",political agenda,elections,austerity,0.5,0.1,0.0,"[['syriza progressive alliance', 'organization', '1.0'], ['may 21', 'date', '1.0'], ['government', 'organization', '0.5'], ['citizens', 'group of people', '1.0'], ['ballot box', 'organization', '0.5'], ['wages', 'organization', '0.5'], ['prices', 'organization', '0.5']]"
9,"Are we going to let the Mitsotakis plan for 700,000 for 700,000 mortgaged houses to be auctioned the day after the elections or are we going to impose conditions and rules of justice to save the property of the middle class with fair regulations? These are the crucial dilemmas of the ballot box and against these dilemmas of the ballot box. I will condense them into a dilemma on the 21st, whoever comes out first makes the government Ara. On the 21st, the dilemma is Mitsotakis or change? Mitsotakis or SYRIZA Progressive Alliance and Progressive Co-operation government from the next day. And against this dilemma, fellow countrymen and women. I believe that the vast majority of the Greek people have decided why; because they feel that they can't take it anymore, because they feel that they can't take it anymore with the obscenity, with the corruption, with the eavesdropping and illegal surveillance, with the direct assignments, they can't take it anymore with the family rule, with the injustice, the widespread injustice that prevails in our everyday life and in our lives. And we believe that this is as far as we can go and that we must make the decision and act for the political change that the country needs.","Θα αφήσουμε το σχέδιο Μητσοτάκη για 700.000 για 700.000 υποθηκευμένα σπίτια να βγουν στον πλειστηριασμό την επομένη των εκλογών ή θα επιβάλλουμε όρους και κανόνες δικαιοσύνης να σώσουμε την περιουσία της μεσαίας τάξης με δίκαιες ρυθμίσεις; Αυτά είναι τα κρίσιμα διλήμματα της κάλπης και απέναντι σε αυτά τα διλήμματα της κάλπης. Εγώ θα τα συμπυκνώσω με ένα δίλημμα στις 21 του μηνός, όποιος βγει πρώτος φτιάχνει η κυβέρνηση Αρα. Στις 21 του μηνός το δίλημμα είναι Μητσοτάκης ή αλλαγή; Μητσοτάκης ή ΣΥΡΙΖΑ Προοδευτική συμμαχία και κυβέρνηση Προοδευτικής Συνεργασίας από την επόμενη μέρα. Και απέναντι σε αυτό το δίλημμα συμπατριώτες και συμπατριώτισσες. Πιστεύω ότι η μεγάλη πλειοψηφία του ελληνικού λαού έχει αποφασίσει γιατί; γιατί αισθάνεται ότι δεν πάει άλλο πια, γιατί αισθάνεται ότι δεν πάει άλλο με την ακρίβεια με την αισχροκέρδεια, με τη διαφθορά, με τις υποκλοπές και τις παράνομες παρακολουθήσεις με τις απευθείας αναθέσεις δεν πάει άλλο πια με την οικογενειοκρατία, με την αδικία, την εκτεταμένη αδικία που επικρατεί στην καθημερινότητά μας και στη ζωή μας. Και αυτό το δεν πάει άλλο αυτό το ως εδώ πιστεύουμε ότι πρέπει να γίνει η απόφαση και πράξη για την πολιτική αλλαγή που έχει ανάγκη ο τόπος. ",political agenda,transparency,mortgages,,0.9,0.5,"[['mitsotakis', 'person', '1.0'], ['progressive alliance', 'group of people', '1.0'], ['progressive co-operation', 'organization', '1.0'], ['syriza', 'political party', '1.0'], ['greek', 'country', '1.0'], ['21st', 'date', '1.0']]"
10,"I am sure that your law will once again not only give SYRIZA the lead, but will produce results that will be reminiscent of other times. We are being blamed these days. Why is SYRIZA really talking? With the slogans of the 80s, it hurts them that we are talking about change. Because these slogans are not the property of anyone. The great conquests of the popular movement and the democratic party in our country belong to all democratic citizens and if these slogans have once again become topical, it is the right that is to blame for not changing. The right of Mr Mitsotakis, who surpassed even his father in the three years 90, 93. So that's why now. What we are asking of the citizens, what we are asking of the Greek people is that they should be frightened by their vote and their attitude on the night of the elections on the twenty-first of May, because on that night two things can happen. Either the cartels and the establishment will be celebrating those who regulate obscenity prices. The powers that be who have made billions in the crisis were the democratic people to take to the streets and celebrate a great victory for the great change the country needs.","Είμαι βέβαιος ότι ο νόμος σας για άλλη μια φορά όχι απλά θα δώσει την πρωτιά στον ΣΥΡΙΖΑ, αλλά θα δώσει αποτελέσματα που θα θυμίζουν άλλες εποχές. Μας κατηγορούν αυτές τις μέρες. Γιατί αλήθεια ο ΣΥΡΙΖΑ μιλάει; Με τα συνθήματα της δεκαετίας του 80, τους πονάει που μιλάμε για την αλλαγή. Διότι τα συνθήματα αυτά δεν αποτελούν ιδιοκτησία κανενός. Οι μεγάλες κατακτήσεις του λαϊκού κινήματος και της δημοκρατικής παράταξης στον τόπο μας ανήκουν σε όλους τους δημοκράτες πολίτες και αν τα συνθήματα αυτά έχουν γίνει για άλλη μια φορά επίκαιρα, γι αυτό ευθύνεται η δεξιά που δεν άλλαξε. Η Δεξιά του κυρίου Μητσοτάκη που ξεπέρασε και τον πατέρα του την τριετία 90, 93. Γι αυτό λοιπόν τώρα. Αυτό που ζητάμε από τους πολίτες αυτό που ζητάμε από τον ελληνικό λαό είναι με την ψήφο και τη στάση του να τους τρομάξει το βράδυ των εκλογών της εικοστής πρώτης του Μάη, διότι το βράδυ εκείνο δυο τινά μπορεί να συμβούν. Είτε να πανηγυρίζουν τα καρτέλ το κατεστημένο αυτοί που ρυθμίζουν τις τιμές αισχροκέρδειας. Οι ισχυροί που έχουν βγάλει δισεκατομμύρια στην κρίση ήταν να πανηγυρίζει ο δημοκρατικός λαός να βγει στους δρόμους και να πανηγυρίσει για μια μεγάλη νίκη για τη μεγάλη αλλαγή που έχει ανάγκη ο τόπος.",political agenda,elections,election spending,0.4,0.6,0.6,"[['syriza', 'organization', '1.0'], ['80s', 'date', '1.0'], ['democratic party', 'organization', '1.0'], ['greek', 'country', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['90', 'date', '1.0'], ['93', 'date', '1.0'], ['twenty-first of may', 'date', '1.0']]"
11,"Seeing you, I am sure that the second will happen. And I'm sure the second one will happen. No matter what the parrots of the system say on your TV sets, remember. We lost in 2019.What did they say? But did we get 32 the 100 E's? What was the average of the polls published 2 days before Friday that the Atheophobes didn't? The 15 days ago they gave us 24.5, we got 31.5, we were only off by 7 points respectively it was 15 and in the election the referendum was off by 20 points.","Βλέποντάς σας είμαι βέβαιος ότι θα συμβεί το δεύτερο. Και είμαι βέβαιος ότι θα συμβεί το δεύτερο. Ό,τι και να λένε τα παπαγαλάκια του συστήματος στους τηλεοπτικούς σας δέκτες, θυμηθείτε. Το 2019 χάσαμε.Τι έλεγαν; Πήραμε όμως 32 τα 100 Ε; Ποιος ήταν ο μέσος όρος των μετρήσεων που δημοσιεύθηκαν 2 μέρες πριν την Παρασκευή οι Αθεόφοβοι όχι; Η 15 μέρες πριν 24,5 μας έδιναν, πήραμε 31,5, έπεσαν έξω μόνο 7 μονάδες αντιστοίχως έγινε και το 15 και στις εκλογές το δημοψήφισμα βγήκαν 20 μονάδες έξω. ",criticism,media,election spending,0.0,0.0,0.0,"[['2019', 'date', '1.0'], ['tv', 'organization', '0.5'], ['2019', 'date', '1.0'], ['32', 'group of people', '0.5'], ['100', 'group of people', '0.5'], ['2 days before friday', 'date', '0.5'], ['atheophobes', 'political party', '0.5'], ['15 days ago', 'date', '0.5'], ['24.5', 'number', '0.5'], ['31.5', 'number', '0.5'], ['7', 'number', '0.5'], ['15', 'number', '0.5'], ['20', 'number', '0.5']]"
