id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I want to thank you from the bottom of my heart for this warm, human welcome here in Preveza. For your presence here. Fellow citizens of Preveza, it is a great pleasure to be here with you. It is a great pleasure to see this passion, this optimism, this faith. Today at noon in Arta, now in Preveza, wherever I go, wherever I am these days, I am not looking for people to greet me. The streets are full, the squares are full, they are full of optimism. They are filled with self-confidence. Others are looking for people to greet them.","Θέλω να σας ευχαριστήσω απο τα βαθη της καρδιάς γι αυτή τη ζεστή, την ανθρώπινη υποδοχή εδώ στην Πρεβεζα. Για την παρουσία σας εδώ. Συμπατριώτες ηπειρώτες και ηπειρωτισσες πολιτες της Πρέβεζας, είναι μεγάλη η χαρά μου να βρίσκομαι απεναντι σας. Είναι μεγάλη η χαρά μου να βλέπω αυτό το πάθος, αυτήν την αισιοδοξία, αυτήν την πίστη. Σήμερα το μεσημέρι στην Αρτα, τώρα στην Πρέβεζα, όπου πηγαίνω όπου βρίσκομαι αυτές τις μέρες δεν ψάχνω να βρω ανθρώπους να με χαιρετήσουν. Είναι γεμάτοι οι δρόμοι, γεμάτες οι πλατείες, είναι γεμάτοι με αισιοδοξία. Είναι γεμάτοι με αυτοπεποιθηση. Άλλοι ψάχνουν ανθρώπους να τους χαιρετήσουν.",political agenda,elections,other,0.8,0.0,0.0,"[['preveza', 'location', '1.0'], ['arta', 'location', '1.0']]"
2,"Precisely because this slogan to get rid of the worst right-wing government that has ruled since the post-war period is the feeling of the vast majority of people regardless of what they voted for in previous elections. And we're not just appealing to the left and progressives. We are addressing all Greeks, centre left, centre right, and we are saying to them what you feel, that is, that this terrible widening of inequalities, this daily pain of not even being able to go to the supermarket, of not being able to pay the electricity bills, of not being able to fill the car's tank with petrol, this daily pain has to stop.","Ακριβώς γιατί αυτό το σύνθημα να φυγει η χειρότερη κυβερνηση της δεξίας που κυβερνάει από τη μεταπολίτευση και μετά, είναι το συναίσθημα της μεγάλης πλειοψηφίας των ανθρώπων ανεξάρτητα από το τι έχουν ψηφίσει τις προηγούμενες εκλογές. Κι εμέις δεν απευθυνόμαστε μονάχα στους αριστερούς και στους προοδευτικούς. Απευθυνόμαστε σε όλους τους Έλληνες, κεντρώους αριστερούς δεξιους και τους λέμε αυτο το οποίο αισθάνεστε δηλ ότι δεν πάει με αυτήν την τρομακτική διευρυνση των ανισοτήτων, με αυτήν την καθημερινη οδυνη που δεν μπορούμε να πάμε ούτε στο σουπερμαρκετ που δεν μπορούμε να πληρώσουμε τους λογαριασμούς του ρεύματος, που δεν μπορούμε να γεμίσουμε το ρεζερβουαρ του αυτοκινητου με βενζίνη, αυτή η καθημερινη οδύνη πρέπει να σταματήσει. ",political agenda,economy,cost of living,0.7,0.1,0.5,"[['right-wing government', 'organization', '0.1'], ['post-war period', 'date', '0.1'], ['left', 'group of people', '0.1'], ['progressives', 'group of people', '0.1'], ['greeks', 'group of people', '0.1'], ['centre left', 'group of people', '0.1'], ['centre right', 'group of people', '0.1'], ['inequalities', 'group of people', '0.1'], ['supermarket', 'location', '0.1'], ['electricity bills', 'group of people', '0.1'], ['car', 'group of people', '0.1'], ['petrol', 'group of people', '0.1']]"
3,"No longer can households in the third week of the month be unable to afford the salary and income disappear before the third week of the month. The Greek people, the vast majority of them, feel. A feeling that can be expressed in just two words, huh? And we believe that everything that is happening around us has not succeeded. We may be told that punctuality is imported, but obscenity is not imported at all. The obscenity has the stamp of Mr Mitsotakis and his government, because it is not possible for our country to be the country with the most expensive electricity price in the whole of Europe. It is not possible for our country to be the country with the most expensive price of petrol in Europe. It is not possible for us to have the lowest per capita income in the whole of Europe, together with Bulgaria, that is, to have the lowest wages in Europe, but for our supermarket prices to be in competition with those found in Germany, in France, in countries with high wages","Δεν μπορεί αλλο πια τα νοικοκυριά την τρίτη εβδομάδα του μήνα να μην μπορούν να ανταπεξέλθουν ο μισθός και το εισόδημα να εξανεμίζεται πριν βγει η τρίτη εβδομάδα του μήνα. Ο ελληνικός λαός, η μεγάλη του πλειοψηφία αισθάνεται. Μία ένα συναίσθημα που βγαίνει με δυο λέξεις μόνο ε; ως εδώ ως εδώ, με αυτή την κατάσταση που μας πνίγει ως εδώ με την αισχροκέρδεια ως εδώ, με την ακρίβεια ως εδώ, με την οικογενειοκρατία ως εδώ με τη διαφθορά και τις απευθείας αναθέσεις ως εδώ με τη γενικευμένη αδικία. Και εμείς πιστεύουμε ότι όλα όσα συμβαίνουν γύρω μας δεν έτυχαν πέτυχαν. Μπορεί να μας λένε ότι η ακρίβεια είναι εισαγόμενη, αλλά η αισχροκέρδεια δεν είναι καθόλου εισαγόμενη. Η αισχροκέρδεια εχει τη σφραγίδα του κυρίου Μητσοτάκη και της κυβέρνησής του, διότι δεν είναι δυνατόν η χώρα μας να είναι η χώρα με την ακριβότερη τιμή του ρεύματος σε όλη την Ευρώπη. Δεν είναι δυνατόν η χώρα μας να είναι η χώρα με την ακριβότερη τιμή της βενζίνης. Σε όλη την Ευρώπη δεν είναι δυνατόν να έχουμε το χαμηλότερο κατά κεφαλήν εισόδημα εμείς μαζί με τη Βουλγαρία, δηλαδή να έχουμε τους χαμηλότερους μισθούς στην Ευρώπη, αλλά οι τιμές στο σούπερ μάρκετ να είναι συναγωνιστής μας με αυτές που βρίσκει κανείς στη Γερμανία, στη Γαλλία, στις χώρες με υψηλούς μισθούς ",political agenda,economy,cost of living,-0.6,0.0,0.5,"[['greek people', 'group of people', '0.8'], ['mr mitsotakis', 'person', '0.7'], ['government', 'organization', '0.6'], ['europe', 'location', '0.9'], ['bulgaria', 'country', '0.8'], ['germany', 'country', '0.8'], ['france', 'country', '0.8']]"
4,"And I say it worked and it didn't work. Because at the same time that the vast majority of households can't afford it, we see this record profitability in excess profits.We see companies, not many fifteen or so on the stock exchange, having record profitability for twenty years with over a billion each, we see energy companies saving 3.6 billion in 22 years, refineries two and a half billion in the banks, another two and a half billion in the banks, another over 10 billion. The excess profits in 2022. At a time when the vast majority of households can't afford it. And what is Mr Mitsotakis doing to address this situation. Not only does he not tax the excess profits, but he keeps the value added tax the excise tax high with indirect taxes in order to plunder the income of the middle class and the weak to fill the public coffers with super revenues to give some allowances with which he asks us to pay for electricity, supermarket, gasoline. He promised 19 that he would support the middle class, and that is what he has done to the middle class. To live with coupons coupons for the supermarket, coupons for electricity, coupons for petrol everywhere, a You go everywhere, but in the end you go nowhere You go nowhere, you don't go with Mitsotakis's policy Because it is a policy that supports only the powerful, the cartels, the rich and not the great social majority, because it is a policy that supports only the powerful, the cartels, the rich and not the great social majority.","Και λέω πέτυχε και όχι έτυχε. Διότι την ίδια στιγμή που η συντριπτική πλειοψηφία των νοικοκυριών δεν μπορεί να ανταπεξέλθει, βλέπουμε αυτό το ρεκόρ της κερδοφορίας στα υπερκέρδη.Βλέπουμε επιχειρήσεις, όχι πολλές καμιά δεκαπενταριά στο χρηματιστήριο αξιών να έχουνε ρεκόρ κερδοφορίας εικοσαετίας με πάνω από ένα δις κάθε μία βλέπουμε τις ενεργειακές εταιρείες να έχουν εξοικονομήσει κέρδη 3,6 δις το 22 τα διυλιστήρια δυόμισι δις στις τράπεζες, άλλα τόσα πάνω από 10 δις. Τα υπερκέρδη το 2022. Τη στιγμή που η μεγάλη πλειοψηφία των νοικοκυριών δεν μπορεί να τα βγάλει πέρα. Και τι κάνει ο κύριος Μητσοτάκης για να αντιμετωπίσει αυτή την κατάσταση. Όχι μόνο δεν φορολογεί τα υπερκέρδη, αλλά κρατάει το φόρο προστιθέμενης αξίας τον ειδικό φόρο κατανάλωσης υψηλά με έμμεσους φόρους προκειμένου να λεηλατεί το εισόδημα της μεσαίας τάξης και των αδύναμων να γεμίζει τα δημόσια ταμεία με υπέρ έσοδα για να δίνει κάποια επιδόματα με τα οποία μας καλεί να πληρώσουμε το ρεύμα, το σουπερμάρκετ, τη βενζίνη. Εταξε το 19 ότι θα στηρίξει τη μεσαία τάξη και που κατάντησε τη μεσαία τάξη. Να ζει με κουπόνια κουπόνια για το σούπερ μάρκετ, κουπόνια για το ρεύμα, κουπόνια για τη βενζίνη παντου, Ένα Πας πας παντού, αλλά τελικά πουθενά Δεν πας πουθενά, Δεν πας με την πολιτική Μητσοτάκη Γιατί είναι μια πολιτική, υποστηρίζει μονάχα τους ισχυρούς, τα καρτέλ, τους πλούσιους και όχι τη μεγάλη κοινωνική πλειοψηφία. ",criticism,economy,banking profits,-0.8,0.7,0.7,"[['mitsotakis', 'person', '2.0'], ['energy companies', 'organization', '1.0'], ['refineries', 'organization', '1.0'], ['stock exchange companies', 'organization', '1.0'], ['banks', 'organization', '1.0'], ['middle class', 'group of people', '1.0'], ['public coffers', 'organization', '1.0'], ['greece', 'country', '1.0'], ['2022', 'date', '1.0']]"
5,"So we have.I want to dedicate this slogan to the friends of the other progressive forces in the country and tell them that if there is one legacy of our people's struggles and conquests for change for democracy, it is to remember that our enemy is not the other progressive forces. Our enemy is one of Mr Mitsotakis' right-wing. He is our enemy. He is our opponent.",Εμεις λοιπόν έχουμε.Θέλω να αφιερώσω αυτό το σύνθημα στους φίλους και στις φίλες των υπόλοιπων προοδευτικών δυνάμεων στη χώρα και να τους πω αν υπάρχει μια παρακαταθήκη από τους αγώνες και τις κατακτήσεις του λαού μας για την αλλαγή για τη δημοκρατία είναι να θυμόμαστε ότι ο εχθρός μας απέναντί μας δεν είναι οι άλλες προοδευτικές δυνάμεις. Εχθρός μας είναι ένας η Δεξιά του κυρίου Μητσοτάκη. Αυτός είναι ο εχθρός μας. Αυτός είναι αντίπαλος μας.,criticism,democracy,far-right,-0.4,0.5,0.2,"[['mr mitsotakis', 'person', '0.7'], ['progressive forces', 'group of people', '1.0'], ['the country', 'location', '0.8'], ['democracy', 'organization', '0.6'], ['right-wing', 'political party', '0.6']]"
6,"And of course, if some people have forgotten what our Right means, they have reminded us with their policies over these four years. They reminded us with their policies we left the public debt big but regulated 356 billion amount is regulated today? 406 billion. The Mitsotakis government increased the public debt by 50 billion, the private debt by 40 billion and increased the current account balance tenfold, the trade balance, that is, our exports are much less, 10 times less than imports than in 2019. These are the successes of the Mitsotakis government.","Και βεβαίως, αν κάποιοι ξεχάσανε τι σημαίνει Δεξιά μας, μας το θύμισαν με τις πολιτικές τους αυτά τα 4 χρόνια. Μας το θύμισαν με τις πολιτικές τους αφήσαμε ρυθμισμένο το δημόσιο χρέος μεγάλο αλλά ρυθμισμένο 356 δισεκατομμύρια ποσό είναι σήμερα; 406 δισεκατομμύρια. Κυβέρνηση Μητσοτάκη αύξησε 50 δις το δημόσιο χρέος 40 δις το ιδιωτικό χρέος και δεκαπλασίασε το ισοζύγιο τρεχουσών συναλλαγών, το εμπορικό ισοζύγιο δηλαδή οι εξαγωγές μας είναι πολύ λιγότερες, 10 φορές λιγότερες σε σχέση με τις εισαγωγές από ότι το 2019. Αυτές είναι οι επιτυχίες της κυβέρνησης Μητσοτάκη.",criticism,debt,other,-0.5,0.2,0.0,"[['mitsotakis', 'person', '0.8']]"
7,"And he has other successes. 10 billion in direct awards and closed tenders to companies that were made 3 days before the money was given corruption everywhere has turned the country into a vast corruption house. Everybody knows everybody. We know that there is no justice in the country and all this in a context of authoritarianism of democracy with surveillance. Shrinking of the European rule of law, illegal surveillance taking place next door to the Prime Minister's Office, half the political system under surveillance and information. Information in position 108 and yesterday we made a great leap from position 108 to position 107, congratulations to Mr Mitsotakis and his government.","Και έχει και άλλες επιτυχίες. 10 δισεκατομμύρια απευθείας αναθέσεις και κλειστοί διαγωνισμοί σε εταιρείες που φτιάχνανε 3 μέρες πριν δοθούν τα χρήματα διαφθορά παντού έχουν μετατρέψει τη χώρα σε ένα απέραντο διαφθορείο. Όλοι γνωρίζουνε όλοι. Γνωρίζουμε ότι δεν υπάρχει δικαιοσύνη στη χώρα και όλα αυτά σε ένα πλαίσιο αυταρχικοποίησης της δημοκρατίας με παρακολουθήσεις. Συρρίκνωση του ευρωπαϊκού κράτους δικαίου, παράνομες παρακολουθήσεις που γινόντουσαν στη διπλανή πόρτα του Πρωθυπουργικού Γραφείου, το μισό πολιτικό σύστημα υπό παρακολούθηση και η πληροφόρηση. Η ενημέρωση στη θέση 108 και χθες κάναμε ένα μεγάλο άλμα απο τη θεση 108 πήγαμε στη θέση 107 συγχαρητήρια στον κύριο Μητσοτάκη και στην κυβέρνηση του.",criticism,other,corruption,-0.5,0.0,0.0,"[['mr mitsotakis', 'person', '1.0'], ['his government', 'group of people', '0.9'], ['european rule of law', 'organization', '0.8'], [""prime minister's office"", 'organization', '0.7'], ['political system', 'group of people', '0.6'], ['country', 'location', '0.5'], ['yesterday', 'date', '0.4']]"
8,"So we are addressing all citizens and we are telling them that these elections are crucial for their daily lives. We are not only asking for a change of government, we are asking and seeking to bring change in the lives of citizens, in the everyday life of citizens and we submitted the day before yesterday an 11 article contract, which we call to sign together on May 21. We and the democratic progressive citizens, the Greek people, so that everyone knows when they vote for Syriza on May 21 what they are voting for. What exactly they are voting for, and it will be the basis on which we will call on progressive forces to form a government of progressive cooperation the day after the elections, because this country must be governed with stability by a long-term government, but one that will change people's lives and everyday life.","Εμείς λοιπόν, απευθυνόμαστε σε όλους τους πολίτες και τους λέμε ότι αυτές οι εκλογές είναι κρίσιμες για τη ζωή τους στην καθημερινότητά τους. Δεν ζητάμε μονάχα μια κυβερνητική αλλαγή, ζητάμε και επιδιώκουμε να φέρουμε την αλλαγή στη ζωή των πολιτών, στην καθημερινότητα των πολιτών και καταθέσαμε προχθές ένα συμβόλαιο συμβόλαιο 11 άρθρων, το οποίο καλούμε να υπογράψουμε μαζί στις 21 του Μάη. Εμείς και οι δημοκρατικοί προοδευτικοί πολίτες, ο ελληνικός λαός.Για να γνωρίζει ο καθένας και η καθεμιά όταν θα ψηφίζει ΣΥΡΙΖΑ στις 21 του Μάη τι ακριβώς ψηφίζει; Για τι ακριβώς ψηφίζει και θα είναι η βάση πάνω στην οποία θα καλέσουμε την επόμενη των εκλογών προοδευτικές δυνάμεις για τη συγκρότηση κυβέρνησης προοδευτικής συνεργασίας, διότι αυτή η χώρα πρέπει να κυβερνηθεί με σταθερότητα με μια κυβέρνηση μακράς πνοής, η οποία όμως θα αλλάξει τη ζωή και την καθημερινότητα των ανθρώπων. ",political agenda,elections,other,0.4,0.0,0.0,"[['citizens', 'group of people', '1.0'], ['elections', 'date', '1.0'], ['government', 'organization', '1.0'], ['citizens', 'group of people', '1.0'], ['citizens', 'group of people', '1.0'], ['contract', 'organization', '1.0'], ['may 21', 'date', '1.0'], ['democratic progressive citizens', 'group of people', '1.0'], ['greek people', 'group of people', '1.0'], ['syriza', 'political party', '1.0'], ['may 21', 'date', '1.0'], ['progressive forces', 'group of people', '1.0'], ['government', 'organization', '1.0'], ['progressive cooperation', 'group of people', '1.0'], ['elections', 'date', '1.0'], ['country', 'location', '1.0']]"
9,"And what do they say? These 11 articles of our contract, the 11 articles of our contract say above all this fourfold. Many times in my meetings I say so that we can easily understand what SYRIZA will bring the next day? Wage increases, price reductions, debt regulation and a just strong welfare state, an effective state next to the citizen. We invite, we invite all citizens to study our proposals; we invite the progressive forces to take a stand on this programme and tell us where they disagree; Mr Mitsotakis is trying to discredit it. Every time we hear a proposal that wants to support society, we are told one thing: where will you find the money, eh? They cost up our programme three times over, supposedly to prove that it is unrealistic. But who, E they cost it 3 times over 4 years, 3 times over 4 years and instead of telling the truth that it costs 4 years? EUR 22 billion, five and a half million a year it costs, they said it costs 80. Once they told us 25 then they said 45 then they said 45 then 85 with 70 they have also lost count, but I wonder, you atheophobes, one year you gave 50 billion in subsidies to day labourers subsidies that did not work and you are afraid that we will give 80 in four years?","Και τι λένε; Αυτά τα 11 άρθρα του συμβολαίου μας, τα 11 άρθρα του συμβολαίου μας λένε πάνω από όλα αυτό το τετράπτυχο. Πολλές φορές στις συγκεντρώσεις μου λέω για να κατανοούμε με εύκολο τρόπο τι θα φέρει ο ΣΥΡΙΖΑ την επόμενη μέρα; Αύξηση μισθών, μείωση τιμών, ρύθμιση χρεών και ένα δίκιο ισχυρό κοινωνικό κράτος, αποτελεσματικό κράτος δίπλα στον πολίτη. Καλούμε, καλούμε όλους τους πολίτες να μελετήσουν τις προτάσεις μας.Καλούμε τις προοδευτικές δυνάμεις να τοποθετηθούν πάνω σε αυτό το πρόγραμμα και να μας πουν που διαφωνούν ο κύριος Μητσοτάκης προσπαθεί να το απαξιώσει. Κάθε φορά που ακούγεται μια πρόταση που θέλει να στηρίξει την κοινωνία μας λένε ένα πράγμα που θα βρείτε τα λεφτά ε; Κοστολόγησαν µ 3 φορές επάνω το πρόγραμμά μας δήθεν για να αποδείξουν ότι είναι μη ρεαλιστικο. Ποιοι όμως, Ε το κοστολόγησαν 3 φορές στην τετραετία, 3 φορές πάνω σε βάθος τετραετίας και αντί να πουν την αλήθεια ότι κοστίζει στην τετραετία; 22 δισεκατομμύρια ευρώ, πεντέμισι εκατομμύρια κατ έτος στοιχίζει είπαν ότι στοιχίζει 80. Κάποτε μας είπαν 25 μετά είπαν 45 μετά 85 με τα 70 έχουν χάσει και αυτή το μέτρημα, αλλά αναρωτιέμαι αθεόφοβοι εσείς ένα χρόνο δώσατε 50 δισεκατομμύρια σε επιδοτήσεις σε ημέτερους επιδοτήσεις που δεν έπιασαν τόπο και φοβάστε ότι εμείς θα δώσουμε 80 σε 4 χρόνια; ",criticism,economy,debt regulations,0.5,0.0,0.0,"[['syriza', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['eur', 'currency', '1.0'], ['4 years', 'date', '1.0'], ['22 billion', 'currency', '1.0'], ['5 and a half million', 'currency', '1.0'], ['50 billion', 'currency', '1.0'], ['day labourers', 'group of people', '1.0']]"
10,"Are you afraid because you know that what we are saying?They resonate with Greek society and above all Greek society knows that this time SYRIZA Progressive Alliance is asking for the only chance to govern on the basis of its programme, because all the Greek people know that we governed in 15, 19 not with our own programme, but with the constraints of the Troika, when they were shouting ""Yerun the hard way"" and ""Souble the hard way"". We governed with these constraints. And we got Greece out of bankruptcy and we cleaned up their own mess and we regulated the debt and we left 37 billion in the public coffers. The only government that has been in the country since the post-war period that no one could claim that it didn't deliver the goods that it delivered chaos. We were the only government that governed with honesty and made sure that we did what was good for the country in the public interest, defying the costs, both political and in relation to the fact that we took the country out of the memoranda and left the debt and in relation to the fact that we took difficult decisions in order to defend the patriotic interest. And where are all those Macedonian gladiators of that period who have been hiding all these years, telling us that we betrayed Macedonia in order to save pensions?","Φοβάστε γιατί ξέρετε ότι αυτά τα οποία λέμε εμείς;Έχουν απήχηση στην ελληνική κοινωνία και κυρίως η ελληνική κοινωνία γνωρίζει ότι ο ΣΥΡΙΖΑ Προοδευτική συμμαχία αυτή τη φορά ζητάει την μοναδική ευκαιρία να κυβερνήσει με βάση το πρόγραμμά του, γιατί όλος ο ελληνικός λαός γνωρίζει ότι εμείς το 15, 19 κυβερνήσαμε όχι με το δικό μας πρόγραμμα, αλλά με τους καταναγκασμούς της τρόικα, όταν αυτοί φωνάζανε γερά Γερούν και βάστα Σόιμπλε. Εμείς κυβερνήσαμε με αυτούς τους καταναγκασμούς. Και βγάλαμε την Ελλάδα από τη χρεοκοπία και καθαρίσαμε τα δικά τους άπλυτα και ρυθμίσαμε το χρέος και αφήσαμε 37 δισεκατομμύρια στα δημόσια ταμεία. Η μόνη κυβέρνηση που πέρασε στον τόπο από τη μεταπολίτευση και μετά, που δεν μπορούσε κανείς να ισχυριστεί ότι δεν παρέδωσε τα πράγματα στρωμένα ότι παρέλαβε χάος. Εμείς είμασταν η μόνη κυβέρνηση που κυβέρνησε με εντιμότητα και φρόντισε να κάνει το καλό για τον τόπο για το δημόσιο συμφέρον, αψηφώντας το κόστος, το πολιτικό και σε σχέση με το γεγονός ότι βγάλαμε τη χώρα από τα μνημόνια και αφήσαμε το χρέος και σε σχέση με το γεγονός ότι πήραμε δύσκολες αποφάσεις προκειμένου να υπερασπιστούμε το πατριωτικό συμφέρον. Και που είναι άραγε όλοι αυτοί οι μακεδονομάχοι εκείνης της περιόδου που κρύφτηκαν όλα αυτά τα χρόνια που μας λέγανε ότι προδώσαμε τη Μακεδονία για να σώσουμε τις συντάξεις;",criticism,debt,troika,0.0,0.2,0.1,"[['syriza progressive alliance', 'organization', '0.75'], ['troika', 'organization', '0.5'], ['greece', 'country', '0.75'], ['37 billion', 'date', '0.5'], ['post-war period', 'date', '0.5'], ['macedonian gladiators', 'group of people', '0.5'], ['macedonia', 'location', '0.5'], ['pensions', 'date', '0.25']]"
