id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Today you are giving a message of victory, our gathering here in Kozani today shows the way to the great victory on May 21. The change that we so need in our lives in our everyday life will come. It will come not only in government. It will come in our daily lives and that is the message that your presence and your determination, your fighting momentum, is giving us today. It points the way to change, the way to great victory. You can be sure that on the evening of 21 May it will be the people who will celebrate, not the cartels, not the powerful, not the interests.","Σήμερα δίνετε μήνυμα νίκης, η σημερινή μας συγκέντρωση εδώ στην Κοζάνη δείχνει το δρόμο προς τη μεγάλη νίκη στις 21 του Μάη. Η αλλαγή που τόσο έχουμε ανάγκη στη ζωή μας στην καθημερινότητά μας θα έρθει. Θα έρθει όχι μόνο στην κυβέρνηση. Θα έρθει στην καθημερινότητά μας και αυτό είναι το μήνυμα που δίνουμε σήμερα η παρουσία σας και η αποφασιστικότητά σας, η αγωνιστική σας δυναμική. Δείχνει το δρόμο προς την αλλαγή, το δρόμο προς τη μεγάλη νίκη. Να είστε βέβαιοι το βράδυ της 21ης του Μάη θα πανηγυρίζει ο λαός και όχι τα καρτέλ, Όχι ισχυροι, όχι τα συμφέροντα. ",political agenda,elections,austerity,0.75,0,0.6,"[['kozani', 'location', '1.0'], ['may 21', 'date', '1.0'], ['government', 'organization', '0.5'], ['21 may', 'date', '1.0'], ['people', 'group of people', '1.0'], ['cartels', 'organization', '1.0'], ['powerful', 'group of people', '1.0'], ['interests', 'organization', '0.5']]"
2,"Friends, citizens of Kozani, I want to thank you for your overwhelming presence and reception today. It is a reception that reminds us of other days, days of great triumphs for the democratic party and days that we remembered when here in Kozani we gave the message of victory and brought SYRIZA first, so we will bring SYRIZA Progressive Alliance first again in Kozani and throughout Greece on 2 Sundays from today. Citizens of Kozani, citizens of Kozani, today I want to speak to you from the heart in an election rally, different from the others, as you can see, I speak from the chest. I have no papers in front of me to read to you because I want to tell you what I believe from the depths of my heart. And I believe that your law, Western Macedonia, your region is an underprivileged region and an underprivileged prefecture and it is time for us together to put the region of Western Macedonia back on the map. Because there are no first and second class citizens.","Φίλες και φίλοι πολίτες της Κοζάνης, θέλω να σας ευχαριστήσω για τη συγκλονιστική η σημερινή σας παρουσία και την υποδοχή. Είναι μια υποδοχή που θυμίζει άλλες μέρες, μέρες μεγάλων Θριάμβων για τη δημοκρατική παράταξη και μέρες που θυμηθήκαμε και εμείς όταν εδώ στην Κοζάνη δίναμε το μήνυμα της νίκης φέραμε πρώτο τον ΣΥΡΙΖΑ, έτσι θα ξαναφέρουμε πρώτο το ΣΥΡΙΖΑ Προοδευτική συμμαχία στην Κοζάνη και σε όλη την Ελλάδα σε 2 Κυριακές από σήμερα. Πολίτες της κοζάνης, πολίτες της Κοζάνης, θέλω σήμερα να σας μιλήσω από καρδιάς σε μια προεκλογική συγκέντρωση, διαφορετική από τις άλλες, όπως βλέπετε, εγώ μιλάω από στήθους. Δεν έχω χαρτιά μπροστά μου να σας διαβάζω γιατί θέλω να σας πω αυτά που πιστεύω μέσα από τα βάθη της καρδιάς μου. Και πιστεύω ότι ο νόμος σας, η Δυτική Μακεδονία, η περιφέρεια σας είναι μια αδικημένη περιφέρεια και ένας αδικημένος νομός και ήρθε η ώρα μαζί να ξαναβάλουμε στο Χάρτη την περιφέρεια της Δυτικής Μακεδονίας. Γιατί δεν υπάρχουν πολίτες πρώτης και δεύτερης κατηγορίας. ",political agenda,elections,other,0.7,0,0.2,"[['kozani', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['progressive alliance', 'organization', '1.0'], ['greece', 'country', '1.0'], ['2 sundays from today', 'date', '1.0'], ['western macedonia', 'location', '1.0']]"
3,"It's time to talk again about working people, about working people and it's time to formulate a plan where no one is left behind. Mitsotakis promised in 19 better jobs, better pensions, better wages, and what he has achieved, because it is a feat, is that our country has a negative lead in everything in Europe. What he managed to do was to make the middle class that he was supposedly going to support live on supermarket vouchers, coupons to pay for electricity coupons to pay for petrol. What it succeeded in doing was to cheat the pensioners who were deprived of EUR 7 billion. By abolishing the thirteenth pension that we introduced and then he said it was a soul, but he abolished it and by depriving them of the retroactive payments decided by the Council of State. What it also managed to do was to target young people and young workers, abolishing the eight-hour week, introducing unpaid overtime and targeting youth, putting barriers to education, to access to higher education.","Ήρθε η ώρα να ξαναμιλήσουμε για τους ανθρώπους του μόχθου, για τους ανθρώπους της εργασίας και ήρθε η ώρα να διαμορφώσουμε ένα σχέδιο που κανένας δεν θα μένει πίσω. Ο Μητσοτάκης έταξε το 19 καλύτερες δουλειές, καλύτερες συντάξεις, καλύτερους μισθούς και αυτό το οποίο κατάφερε γιατί περί κατορθώματος πρόκειται, είναι η χώρα μας να έχει αρνητικές πρωτιές σε όλα στην Ευρώπη. Αυτό που κατάφερε ήταν τη μεσαία τάξη που δήθεν θα υποστήριζε να την κάνει να ζει με κουπόνια κουπόνια για το σούπερ μάρκετ, κουπόνια για να πληρώσει το ρεύμα κουπόνια για να πληρώσει τη βενζίνη. Αυτό που κατάφερε ήταν να εξαπατήσει τους συνταξιούχους που τους στέρησε 7 δισεκατομμύρια ευρώ. Καταργώντας τη δέκατη τρίτη σύνταξη που εμείς θεσπίσαμε και τότε έλεγε ότι είναι ψυχούλα, αλλά την κατήργησε και στερώντας τους τα αναδρομικά που τα αποφάσισε το Συμβούλιο της Επικρατείας. Αυτό που κατάφερε επίσης ήταν να στοχοποιήσει τις νέες και τους νέους τους εργαζόμενους, καταργώντας το οκτάωρο, θεσπίζοντας απλήρωτες υπερωρίες και στοχοποιώντας τη νεότητα, βάζοντας φραγμούς στη μόρφωση, στην πρόσβασή τους στην τριτοβάθμια εκπαίδευση.",criticism,economy,working class,-0.9,0.2,0,"[['mitsotakis', 'person', '1.0'], ['europe', 'location', '1.0'], ['council of state', 'organization', '1.0'], ['greece', 'country', '1.0'], ['19', 'date', '1.0']]"
4,"But he also targeted the residents of Western Macedonia and especially the residents of Kozani. And I think that what he did. Both with the privatization of the PPC. Just before the energy crisis came, but also with the no plan for the forcible de-lignification, it was not just a crime for Western Macedonia and Kozani. It was a national crime, it was a national crime, because it was largely due to the fact that Greece has the most expensive electricity price in the whole of Europe. This is not justified. That is where the fact is due. That we are today on the verge of energy poverty and energy insecurity. Citizens of Western Macedonia, citizens of Kozani. You know and we know how difficult it is to face complex challenges such as the climate crisis. We knew this and before we prepared a plan for the energy transition. We had prepared a plan that gave a smooth transition to the new era, to renewable energy sources, but not to gas. A plan that had a horizon of 2032 and Mr Mitsotakis came along and suddenly said that the plan for denuclearisation would be completed by 23.23 He gave an interview to the German newspaper Bild and explained what that plan was. It was a plan for German companies to do business. But the energy crisis came and it was running. He was running to cover up the uncovered, to CONTROL the uncovered. It drove the lignite plants to closure. How could he possibly bring them back in a short time? So this plan could not, to a large extent, the Mitsotakis no plan did not secure any substantial European resources for the energy transition and left the citizens of an entire region of Western Macedonia at the mercy. This non-plan is largely responsible for the electricity prices, but it is mainly responsible to a large extent. For the rapid increase in unemployment in your county and your region.","Στοχοποίησε όμως και τους κατοίκους της Δυτικής Μακεδονίας και ιδιαίτερα τους κατοίκους της Κοζάνης. Και θεωρώ ότι αυτό που έκανε. Τόσο με την ιδιωτικοποίηση της ΔΕΗ. Λίγο πριν έρθει η ενεργειακή κρίση, όσο όμως και με το σχέδιο μη σχέδιο για τη βίαιη απολιγνιτοποίηση, δεν ήταν απλά ένα έγκλημα για τη Δυτική Μακεδονία και την Κοζάνη. Ήταν ένα εθνικό έγκλημα, ήταν ένα εθνικό έγκλημα, διότι εκεί οφείλεται σε μεγάλο βαθμό το γεγονός ότι η Ελλάδα έχει την ακριβότερη τιμή ηλεκτρικού ρεύματος σε όλη την Ευρώπη. Δεν δικαιολογείται αυτό. Εκεί οφείλεται το γεγονός. Ότι βρισκόμαστε σήμερα στα όρια της ενεργειακής φτώχειας και της ενεργειακής ανασφάλειας. Πολίτες της Δυτικής Μακεδονίας, πολίτες της Κοζάνης. Ξέρετε και ξέρουμε πόσο δύσκολο είναι να αντιμετωπίσει σύνθετες προκλήσεις, όπως την κλιματική κρίση. Το γνωρίζαμε αυτό και πριν είχαμε ετοιμάσει ένα σχέδιο για την ενεργειακή μετάβαση. Είχαμε ετοιμάσει ένα σχέδιο που έδινε ομαλή μετάβαση στη νέα εποχή, στις ανανεώσιμες πηγές ενέργειας, όμως όχι στο αέριο. Ένα σχέδιο που είχε ορίζοντα το 2032 και ήρθε ο κύριος Μητσοτάκης και είπε ξαφνικά για απολιγνιτοποίηση θα τελειώσει θα ολοκληρωθεί το 23 τι σχέδιο ήταν αυτό.Έδωσε μια συνέντευξη στη γερμανική Bild και εξήγησε τι σχέδιο ήταν αυτό. Ήταν ένα σχέδιο για να κάνουν μπίζνες οι γερμανικές εταιρείες. Ήρθε όμως η ενεργειακή κρίση και έτρεχε. Έτρεχε να καλύψει τα ακάλυπτα, να ΣΥΜΜΑΖΈΨΕΙ τα αμάζευτα. Οδήγησε τις λιγνιτικές μονάδες σε κλείσιμο. Πώς θα μπορούσε άραγε να τις επαναφέρει σε σύντομο χρονικό διάστημα; Δεν μπορούσε αυτό λοιπόν το σχέδιο σε μεγάλο βαθμό το μη σχέδιο Μητσοτάκη δεν εξασφαλισε κανένα ουσιαστικό ευρωπαϊκό πόρο για την ενεργειακή μετάβαση και άφησε άφησε στο έλεος τους πολίτες μιας ολόκληρης περιφέρειας Δυτικής Μακεδονίας. Αυτό το μη σχέδιο ευθύνεται εν πολλοίς και για τις τιμές του ρεύματος, κυρίως όμως ευθύνεται σε μεγάλο βαθμό. Για τη ραγδαία αύξηση της ανεργίας στο νομό σας και στην περιφέρειά σας. ",criticism,energy,electricity,-0.7,0.2,0,"[['kozani', 'location', '1.0'], ['western macedonia', 'location', '1.0'], ['greece', 'country', '1.0'], ['europe', 'location', '1.0'], ['2032', 'date', '1.0'], ['mitsotakis', 'person', '1.0'], ['ppc', 'organization', '1.0'], ['german', 'organization', '1.0']]"
5,"The Syriza government in really difficult circumstances? It is complete. The fifth station in Ptolemaida. Set. The relocation of Akrini and all relocations. It was the SYRIZA government that established the institution of energy communities so that we could tackle energy poverty and make communities the small communities of everyday people, communities of self-producers and self-consumers. It was the SYRIZA government that brought in the reduced social tariff for electricity for the residents of your region; but also for businesses.","Η κυβέρνηση του ΣΥΡΙΖΑ σε δύσκολες πραγματικά συνθήκες; Ολοκλήρωσε. Τον πέμπτο σταθμό στην Πτολεμαϊδα. Ρυθμίστε. Τη μετεγκατάσταση της ακρινής και όλες τις μετεγκαταστάσεις. Η κυβέρνηση του ΣΥΡΙΖΑ ήταν αυτή που θέσπισε τον θεσμό των ενεργειακών κοινοτήτων για να μπορέσουμε να αντιμετωπίσουμε την ενεργειακή φτώχεια και για να κάνουμε τις κοινότητες τις μικρές των καθημερινών ανθρώπων, κοινότητες αυτόπαραγωγών και αυτόκαταναλωτών. Η κυβέρνηση του ΣΥΡΙΖΑ ήταν αυτή που έφερε το μειωμένο κοινωνικό τιμολόγιο για το ρεύμα για τους κατοίκους της περιοχής σας.Αλλά και για τις επιχειρήσεις. ",political agenda,energy,electricity,0.5,0,0.1,"[['syriza', 'organization', '1.0'], ['ptolemaida', 'location', '1.0'], ['akrini', 'location', '0.5'], ['syriza', 'political party', '0.8'], ['energy communities', 'group of people', '0.7'], ['everyday people', 'group of people', '0.5'], ['self-producers', 'group of people', '0.5'], ['self-consumers', 'group of people', '0.5']]"
6,"It was the government of SYRIZA that, in very difficult fiscal conditions, the most difficult that the country has ever faced. We received a bankrupt country, however. We managed to support the public hospitals, which at the time were in complete disrepair. Remember two and a half million of our fellow citizens were outside the public hospitals because they were uninsured, and we said no citizen can be left out of public health care because they have not regulated their insurance contributions. Mr Georgiades was then putting €5 in the outpatient clinics and saying he would not take the credit. Paul Thomsen, do you remember that? That's what we lived through together.","Η κυβέρνηση του ΣΥΡΙΖΑ ήταν αυτή που σε πολύ δύσκολες δημοσιονομικά συνθήκες τις δυσκολότερες που έχει βρεθεί ο τόπος. Παραλάβαμε μια χώρα χρεοκοπημένη, εντούτοις. Καταφέραμε να στηρίξουμε τα δημόσια νοσοκομεία, που τότε ήταν υπό πλήρη διάλυση. Θυμηθείτε δυόμισι εκατομμύρια συμπολίτες μας ήταν εκτός των νοσοκομείων των δημόσιων, διότι ήταν ανασφάλιστοι και εμείς είπαμε κανένας πολίτης δεν μπορεί να μένει έξω από τη δημόσια υγεία επειδή δεν έχει ρυθμίσει τις ασφαλιστικές του εισφορές. Ο κύριος Γεωργιάδης τότε έβαζε 5 € στα εξωτερικά ιατρεία και έλεγε δεν θα μου πάρει τη δόξα. Ο Πολ Τόμσεν, τα θυμάστε αυτά; Αυτά ζήσαμε μαζί. ",political agenda,health,bankruptcy,0.5,0,0,"[['syriza', 'organization', '1.0'], ['public hospitals', 'group of people', '1.0'], ['two and a half million', 'group of people', '1.0'], ['mr georgiades', 'person', '1.0'], ['paul thomsen', 'person', '1.0']]"
7,"The SYRIZA government was also the one that gave an important development perspective to your country with the reconstruction of the University of Western Macedonia, which today is a university with 7 faculties, 22 departments in the 5 major capitals of your region with 35,000 students.","Η κυβέρνηση του ΣΥΡΙΖΑ επίσης ήταν αυτή που έδωσε μια προοπτική αναπτυξιακή σημαντική στον τόπο σας με την ανασυγκρότηση του Πανεπιστημίου Δυτικής Μακεδονίας, που σήμερα είναι ένα πανεπιστήμιο με 7 σχολές, 22 τμήματα στις 5 μεγάλες πρωτεύουσες της περιφέρειάς σας με 35.000 φοιτητές. ",political agenda,education,other,0.7,0,0,"[['syriza', 'organization', '0.9'], ['university of western macedonia', 'organization', '0.8'], ['region', 'location', '0.6'], ['faculty', 'group of people', '0.4'], ['department', 'organization', '0.6'], ['capital', 'location', '0.4'], ['students', 'group of people', '0.4']]"
8,"What did the New Democracy government do during these four years? Apart from the plan for forcible de-lignification, what else did it do? What did it do with the public hospitals? We saw during the pandemic period, We were building local health units. They want to close down public hospitals and turn them into health centres and we had the worst death rate in Europe. In proportion to our population.","Τι έκανε η κυβέρνηση της Νέας Δημοκρατίας τα 4 αυτά χρόνια; Πέρα από το σχέδιο για τη βίαιη απολιγνιτοποίηση, Τι άλλο έκανε; Τι έκανε με τα δημόσια νοσοκομεία; Είδαμε την περίοδο της πανδημίας, Εμείς φτιάχναμε τοπικές μονάδες υγείας. Αυτοί θέλουν να κλείσουνε δημόσια νοσοκομεία και να τα μετατρέψουν σε κέντρα υγείας και είχαμε την αρνητική πρωτιά σε όλη την Ευρώπη με τους χειρότερους αριθμούς σε θανάτους. Αναλογικά με τον πληθυσμό μας.",criticism,health,public health system,-0.7,0.1,0.2,"[['new democracy', 'organization', '1.0'], ['europe', 'location', '1.0'], ['public hospitals', 'organization', '0.9'], ['local health units', 'organization', '0.8']]"
9,"What else did he do? He set the minimum admissions base so that the regional universities would slowly begin to wither away. 20,000 students every year are left out of higher education with this minimum admissions base. And so your university also has a number of faculties that no longer have students, because their goal is to slowly devalue the public university and send young kids out as customers. Clientele to private colleges that is their plan.","Τι άλλο έκανε; Θέσπισε την ελάχιστη βάση εισαγωγής για να αρχίσουν σιγά σιγά να μαραζώνουν τα περιφερειακά πανεπιστήμια. 20.000 μαθητές κάθε χρόνο μένουν εκτός από την τριτοβάθμια εκπαίδευση, με αυτή την ελάχιστη βάση εισαγωγής. Και άρα το πανεπιστήμιο σας έχει και αυτό μια σειρά από σχολές οι οποίες δεν έχουν πια φοιτητές, διότι στόχος τους είναι σιγά σιγά να απαξιώσουν το δημόσιο πανεπιστήμιο και να στέλνουν τα νέα παιδιά πελατεία. Πελατεία στα ιδιωτικά κολέγια αυτό είναι το σχέδιο τους. ",criticism,education,higher education,-0.8,0,0.4,"[['regional universities', 'organization', '0.8'], ['20', '000 students', 'group of people', '0.7'], ['higher education', 'organization', '0.6'], ['university', 'organization', '0.6'], ['faculties', 'organization', '0.5'], ['public university', 'organization', '0.6'], ['private colleges', 'organization', '0.6.']]"
10,"And while I'm talking about the kids, the news. While I'm talking about the minimum input base, because I know that even as we're here fighting the good fight for the election battle. There are thousands of kids who are in their homes studying to take the ELLs and I want a commitment to both those kids and their families with a progressive government on the 22nd. From these exams, the minimum entrance requirement will be removed. No artificial barrier to education, no artificial barrier. To young people to study in a public university.","Και μιας και μιλάω για τα παιδιά, τα νέα. Μιας και μιλάω για την ελάχιστη βάση εισαγωγής, γιατί ξέρω ότι ούτε την ώρα που εμείς εδώ δίνουμε τον αγώνα τον καλό για τη μάχη των εκλογών. Υπάρχουν χιλιάδες παιδιά που είναι στα σπίτια τους και διαβάζουν για να δώσουμε ελλαδικές εξετάσεις και θέλω μια δέσμευση και σε αυτά τα παιδιά και στις οικογένειές τους με προοδευτική κυβέρνηση στις 22 του μήνα. Από αυτές τις εξετάσεις θα καταργηθεί η ελάχιστη βάση εισαγωγής. Κανένας τεχνητός φραγμός στη μόρφωση, κανένας τεχνητός φραγμός. Στους νέους ανθρώπους για να σπουδάσουν σε ένα δημόσιο πανεπιστήμιο. ",political agenda,education,higher education,0,0,0,"[['ells', 'organization', '0.5'], ['progressive government', 'organization', '0.5'], ['22nd', 'date', '0.5'], ['public university', 'organization', '0.5']]"
