id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Hello! Citizens of Lamia, thank you very much for this welcome, for your presence, for your overwhelming presence here today. You are giving the message of victory. In 15 days the nightmare will end. In 15 days, the much-needed change will come. SYRIZA wins the elections and the road opens for a government of progressive cooperation. I want to thank you warmly for your presence and your welcome. I want to thank you warmly for this overwhelming presence that gives the message of victory and change. Wherever I am all these days and I am every day and in a different corner of our country, the message is one, no more. This is it. That's it, with the denigration. Enough with the targeting. Enough with the indifference. Enough with the arrogance. So much for obscenity. So much for family rule. So much for injustice. It is time to bring justice back to this country and to give hope and perspective to the new generation, to the people of labour and creativity, to the middle class, to the people, the champions of work, who have been targeted over the years by their policies. And the truth is that for four years now, in everything that we have been through and we have gone through great difficulties, this government has failed.","Γεια σας! Πολίτες της Λαμίας, σας ευχαριστώ θερμά για αυτή την υποδοχή, για την παρουσία, τη συγκλονιστική σας σήμερα εδώ. Δίνετε το μήνυμα της νίκης. Σε 15 μέρες τελειώνει ο εφιάλτης. Σε 15 μέρες έρχεται η πολυπόθητη αλλαγή. Ο ΣΥΡΙΖΑ κερδίζει τις εκλογές και ανοίγει ο δρόμος για μια κυβέρνηση προοδευτικής συνεργασίας. Θέλω να σας ευχαριστήσω θερμά για την παρουσία σας και την υποδοχή σας. Θέλω να σας ευχαριστήσω θερμά για αυτή τη συγκλονιστική παρουσία που δίνει το μήνυμα της νίκης και της αλλαγής. Όπου και αν βρεθώ όλες αυτές τις μέρες και βρίσκομαι κάθε μέρα και σε διαφορετική γωνιά της πατρίδας μας, το μήνυμα είναι ένα, δεν πάει άλλο. Ως εδώ. Ως εδώ, με την απαξίωση. Ως εδώ, με τη στοχοποίηση. Ως εδώ, με την αδιαφορία. Ως εδώ, με την αλαζονεία. Ως εδώ, με την αισχροκέρδεια. Ως εδώ με την οικογενειοκρατία. Ως εδώ με την αδικία. Ήρθε η ώρα να ξαναφέρουμε σε αυτό τον τόπο τη δικαιοσύνη και να δώσουμε ελπίδα, προοπτική, στη νέα γενιά, στους ανθρώπους του μόχθου και της δημιουργίας, στη μεσαία τάξη, στους ανθρώπους, τους απόμαχους της δουλειάς που στοχοποίησαν όλα αυτά τα χρόνια με τις πολιτικές τους. Και η αλήθεια είναι ότι 4 χρόνια τώρα σε ό,τι κρίσιμο περάσαμε και περάσαμε μεγάλες δυσκολίες, η κυβέρνηση αυτή απέτυχε. ",criticism,elections,austerity,,0.2,0.0,"[['lamia', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['15 days', 'date', '1.0']]"
2,"It failed to manage the pandemic. We are the worst country in all of Europe in terms of deaths in proportion to our population. We had 37,000 casualties from the pandemic because our public hospitals were left without doctors and staff. We are at our worst. They failed to manage the pandemic.",Απέτυχε να διαχειριστεί την πανδημία. Είμαστε η χειρότερη χώρα σε όλη την Ευρώπη σε θανάτους σε αναλογία με τον πληθυσμό μας. 37.000 απώλειες είχαμε από την πανδημία γιατί τα δημόσια νοσοκομεία μας έμειναν δίχως γιατρούς και προσωπικό. Είμαστε σε χειρότερο σημείο. Αποτύχανε να διαχειριστούν την πανδημία.,criticism,pandemic,public health system,-0.95,0.2,0.0,"[['europe', 'location', '1.0'], ['37', '000', 'date', '1.0'], ['public hospitals', 'organization', '0.8'], ['doctors', 'group of people', '0.6'], ['staff', 'group of people', '0.6']]"
3,They failed to manage the energy crisis. We are the country with the most expensive electricity price in the whole European Union. The country with the most expensive petrol.,Αποτύχανε να διαχειριστούν την ενεργειακή κρίση. Είμαστε η χώρα με την ακριβότερη τιμή ρεύματος σε όλη την Ευρωπαϊκή Ένωση. Η χώρα με την ακριβότερη βενζίνη.,criticism,energy,electricity,-0.75,0.1,0.0,"[['european union', 'organization', '0.9'], ['country', 'location', '0.8'], ['european union', 'organization', '0.9'], ['country', 'location', '0.8']]"
4,"They also failed to manage the crisis of price, the inflationary crisis. We have the highest prices in the supermarket, food inflation remains at 14%. They have failed in all the critical areas. They say accuracy is imported. But the truth is, and we all know it well, that accuracy may be imported, but obscenity is Greek. The obscenity has the signature of the Mitsotakis Government.","Απέτυχαν να διαχειριστούν και την κρίση της ακρίβειας, την πληθωριστική κρίση. Έχουμε τις ακριβότερες τιμές στο σούπερ μάρκετ, ο πληθωρισμός στα τρόφιμα παραμένει στο 14%. Απέτυχαν σε όλα τα κρίσιμα. Λένε ότι η ακρίβεια είναι εισαγόμενη. Η αλήθεια όμως είναι και την ξέρουμε όλοι καλά ότι η ακρίβεια μπορεί να είναι εισαγόμενη, αλλά η αισχροκέρδεια είναι ελληνική. Η αισχροκέρδεια έχει την υπογραφή της κυβέρνησης Μητσοτάκη.",criticism,economy,inflation,-0.8,0.2,0.2,"[['mitsotakis government', 'organization', '0.8'], ['greece', 'country', '0.5'], ['14%', 'date', '0.6']]"
5,"Four years ago they promised the Greek people better days. You will all remember. Better jobs, better wages, better pensions and a staff state. I wonder where all that went 4 years later? The better jobs became jobs with unpaid overtime and the abolition of the statutory eight-hour period. The best wages became a reduction, disappearance of income from the third week of the month.","Πριν από 4 χρόνια έταξαν στον ελληνικό λαό καλύτερες μέρες. Θα θυμάστε όλοι. Καλύτερες δουλειές, καλύτερους μισθούς, καλύτερες συντάξεις και επιτελικό κράτος. Που πήγαν άραγε όλα αυτά 4 χρόνια μετά; Οι καλύτερες δουλειές έγιναν δουλειές με απλήρωτες υπερωρίες και κατάργηση του θεσμοθετημένου οκταώρου. Οι καλύτεροι μισθοί έγινε μείωση, εξαφάνιση του εισοδήματος από την τρίτη εβδομάδα του μήνα. ",criticism,employment,other,-0.6,0.1,0.0,"[['greek people', 'group of people', '1.0'], ['greek', 'location', '0.7'], ['four years ago', 'date', '1.0'], ['better jobs', 'organization', '0.7'], ['better wages', 'organization', '0.7'], ['better pensions', 'organization', '0.7'], ['staff state', 'organization', '0.7'], ['eight-hour period', 'organization', '0.7'], ['third week of the month', 'organization', '0.7']]"
6,"According to eurostat data, households with an income of up to €700 have seen their purchasing power decline by 40%. €700 4 years ago was worth 40% more than it is today. But not only incomes up to €700. And that is the big crime. This is where the middle class, in whose name Mr Mitsotakis won the elections, has come to live on coupons, coupons to pay for electricity, coupons to go to the supermarket, coupons to pay for petrol. Everywhere there is a pass, but in the end you don't go anywhere with Mr Mitsotakis' pass.","Σύμφωνα με τα στοιχεία της eurostat, νοικοκυριά με εισόδημα έως 700 € έχουν δει μείωση της αγοραστικής τους δύναμης στο 40%. Τα 700 € 4 χρόνια πριν είχαν 40% μεγαλύτερη αξία από ό,τι έχουν σήμερα. Αλλά όχι μονάχα τα εισοδήματα έως 700 €. Και αυτό είναι το μεγάλο έγκλημα. Εδώ έχει καταντήσει η μεσαία τάξη, στο όνομα της οποίας κέρδισε τις εκλογές ο κύριος Μητσοτάκης, να ζει με κουπόνια, κουπόνια για να πληρώσει το ρεύμα, κουπόνια για να πάει στο σούπερ μάρκετ, κουπόνια για να πληρώσει τη βενζίνη. Παντού υπάρχει και ένα pass, αλλά τελικά πουθενά δεν πας με τα pass του κυρίου Μητσοτάκη.",criticism,economy,cost of living,-0.6,0.2,0.0,"[['eurostat', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0']]"
7,"According to OECD data, Greece in 2022, in Greece in 2022, the average real wage not only did not increase, but decreased by 7.4%. These are the accomplishments of the Mitsotakis government, not to mention its accomplishments in relation to the erosion of the rule of law, the rules of democracy, the illegal surveillance, the information 108 that our country is sliding down and is an embarrassment to all of Europe. Not to mention direct awards and closed tenders. The blue golden boys, with their fat salaries, public agencies, direct commissions and closed tenders of 10 billion euros in the last year and a half. This is the picture of Greece in 2023, 4 years after Mr Mitsotakis took office.","Σύμφωνα με τα στοιχεία του ΟΟΣΑ, η Ελλάδα το 2022, στην Ελλάδα το 2022, ο μέσος πραγματικός μισθός όχι μόνο δεν αυξήθηκε, αλλά μειώθηκε 7,4%. Αυτά είναι τα κατορθώματα της κυβέρνησης Μητσοτάκη για να μη μιλήσουμε για τα κατορθώματά της σε σχέση με την καταρράκωση του κράτους δικαίου, τους κανόνες της δημοκρατίας, με τις παράνομες παρακολουθήσεις, με την ενημέρωση 108 που κατρακυλά η χώρα μας και είναι ντροπή σε όλη την Ευρώπη. Για να μη μιλήσουμε και να μη θυμηθούμε τις απευθείας αναθέσεις και τους κλειστούς διαγωνισμούς. Τα γαλάζια golden boys, με τους παχυλούς μισθούς, τους δημόσιους οργανισμούς, τις απευθείας αναθέσεις και τους κλειστούς διαγωνισμούς 10 δισεκατομμυρίων ευρώ τον τελευταίο ενάμιση χρόνο. Αυτή είναι η εικόνα της Ελλάδας το 2023, 4 χρόνια μετά την ανάληψη της διακυβέρνησης από τον κύριο Μητσοτάκη.",criticism,corruption,other,-0.9,0.2,0.0,"[['greece', 'country', '2'], ['oecd', 'organization', '1'], ['mitsotakis', 'person', '2'], ['europe', 'location', '1'], ['blue golden boys', 'group of people', '1'], ['2022', 'date', '2'], ['7.4%', 'date', '1'], ['10 billion euros', 'organization', '1'], ['2023', 'date', '1']]"
8,"And the staff state has become the biggest joke. The executive state is a state that frightens citizens, a state that creates insecurity among citizens and you know, you are experiencing this very well here in Lamia, where you see how they have devalued your public hospital, a public hospital that is on the verge of collapse now. We left in 2015, we took over 76 doctors, we left 111. Today there are less than 100 in 2019 before the pandemic. There was, there were 7 pulmonologists. Today one in the hospital in Lamia. There were 6 pediatricians. Today one and one on a block at the Lamia hospital. There were 10 doctors in the emergency room. Today there are only 4 and we have had a pandemic and this pandemic that we have had was supposed to mobilise us, to strengthen rather than weaken the public health system, but this is Mitsotakis' policy.","Και το επιτελικό κράτος έχει γίνει το μεγαλύτερο ανέκδοτο. Το επιτελικό κράτος είναι ένα κράτος που φοβίζει τους πολίτες, ένα κράτος που γεννά ανασφάλεια στους πολίτες και το ξέρετε, το βιώνετε πολύ καλά αυτό και εδώ στη Λαμία, όπου βλέπετε πως απαξίωσαν το δημόσιο νοσοκομείο σας, ένα δημόσιο νοσοκομείο που είναι στα όρια της κατάρρευσης πλέον. Αφήσαμε το 2015, παραλάβαμε 76 γιατρούς, αφήσαμε 111. Σήμερα είναι λιγότεροι από 100 το 2019 πριν την πανδημία. Υπήρχε, υπήρχαν 7 πνευμονολόγοι. Σήμερα ένας στο νοσοκομείο της Λαμίας. Υπήρχαν 6 παιδίατροι. Σήμερα ένας και ένας με μπλοκάκι στο νοσοκομείο της Λαμίας. Υπήρχαν 10 γιατροί στα επείγοντα περιστατικά. Σήμερα υπάρχουν μόνο 4 και περάσαμε πανδημία και υποτίθεται ότι αυτή η πανδημία που περάσαμε έπρεπε να μας κινητοποιήσει, να ενισχύσουμε αντί να αποδυναμώσουμε το δημόσιο σύστημα υγείας, αλλά αυτή είναι η πολιτική Μητσοτάκη. ",criticism,health,other,-0.8,0.5,0.1,"[['lamia', 'location', '1.0'], ['public hospital', 'organization', '1.0'], ['2015', 'date', '1.0'], ['111', 'number', '1.0'], ['2019', 'date', '1.0'], ['7 pulmonologists', 'group of people', '1.0'], ['6 pediatricians', 'group of people', '1.0'], ['10 doctors', 'group of people', '1.0'], ['4', 'number', '1.0'], ['pandemic', 'event', '1.0'], ['mitsotakis', 'person', '1.0']]"
9,"Anything public is left to be abandoned and devalued in order to feed private and big interests at the same time. Because the big issue we have to deal with is the widening inequalities and injustice that has become the norm in this country. And if some people, if some people forget, here comes Mr. Mitsotakis' policies. It means callousness, it means arrogance, it means not caring about ordinary everyday people, it means favouring big interests alone, because at a time when the vast majority of households see the supermarket as a nightmare and income running out in the third week of the month, 15 big companies listed on the Athens Stock Exchange have a 20-year profitability record of over a billion in profits, each in 2022.","Οτιδήποτε δημόσιο το αφήνει στην εγκατάλειψη και την απαξίωση για να σιτίζει την ίδια ώρα τα ιδιωτικά και τα μεγάλα συμφέροντα. Γιατί το μεγάλο ζήτημα που έχουμε να αντιμετωπίσουμε είναι οι διευρυμένες ανισότητες και η αδικία που έχει γίνει κανόνας σε αυτή τη χώρα. Και αν κάποιοι, αν κάποιοι ξεχνάνε, έρχεται η πολιτική του κυρίου Μητσοτάκη. Σημαίνει αναλγησία, σημαίνει αλαζονεία, σημαίνει ότι δεν νοιάζονται για τους απλούς καθημερινούς ανθρώπους, σημαίνει εύνοια μεγάλων συμφερόντων και μόνο, διότι τη στιγμή που η μεγάλη πλειοψηφία των νοικοκυριών βλέπει το σούπερ μάρκετ ως εφιάλτη και το εισόδημα να τελειώνει την τρίτη εβδομάδα του μήνα, 15 μεγάλες εταιρείες εισηγμένες στο Χρηματιστήριο Αθηνών έχουν ρεκόρ κερδοφορίας εικοσαετίας με πάνω από ένα δισεκατομμύριο κέρδη, η καθεμία μέσα στο 2022.",criticism,economy,inequality,-0.8,0.6,0.4,"[['mitsotakis', 'person', '0.8'], ['athens stock exchange', 'organization', '0.8'], ['greece', 'country', '1.0'], ['2022', 'date', '1.0']]"
10,"This is the reality today of great inequalities and I want to address today the pensioners who were promised that their pensions would be increased and were told that it was a pittance - the thirteenth pension that SYRIZA gave in conditions of fiscal austerity and cruelty. Where did this thirteenth pension go? They abolished it. Where are the retroactive payments to which they are entitled, which the Council of State decided to award them? They were never awarded. 7 billion euros have been taken away from pensioners by the abolition of the thirteenth pension and the retroactive payments that were not given in this four-year period.","Αυτή είναι η πραγματικότητα σήμερα των μεγάλων ανισοτήτων και θέλω να απευθυνθώ σήμερα στους συνταξιούχους που τους έταξαν ότι θα αυξηθούν οι συντάξεις τους και τους έλεγαν ότι είναι ψίχουλα - η δέκατη τρίτη σύνταξη που σε συνθήκες δημοσιονομικής αυστηρότητας και σκληρότητας έδωσε ο ΣΥΡΙΖΑ. Που πήγε αυτή η δέκατη τρίτη σύνταξη; Την κατήργησαν. Που είναι τα αναδρομικά που δικαιούνται, που αποφάσισε το Συμβούλιο της Επικρατείας να τους αποδώσει; Δεν αποδόθηκαν ποτέ. 7 δισεκατομμύρια ευρώ στερήθηκαν οι συνταξιούχοι από την κατάργηση της δέκατης τρίτης σύνταξης και τα αναδρομικά που δεν δόθηκαν σε αυτή την τετραετία.",criticism,pensioners,pensions,-0.8,0.0,0.2,"[['syriza', 'organization', '1.0'], ['council of state', 'organization', '0.9'], ['greece', 'country', '0.9'], ['7 billion euros', 'date', '0.6']]"
