id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Alexandroupolis, thank you for this warm welcome. You have filled me with beautiful spring flowers, because spring is also coming in the political life of the country, and spring is also coming in our lives. On 21 May we will celebrate it. On May 21, the great, or long-awaited change that we expect in our lives will come, and that is the message I am getting, going from place to place these days, almost everywhere in our country, almost everywhere. Wherever I find myself, wherever I stand, this message that is being sent today and you are sending from here, from Evros, the message of change, is a message that is going through, permeating Greece and permeating the citizens, regardless of what they voted in previous elections. Because this is not a political slogan, it is a deep desire. It is not just about the need for change in government, it is about the need for a great change in our everyday life.","Πολίτες της Αλεξανδρούπολης, σας ευχαριστώ για αυτή τη ζεστή υποδοχή. Με γεμίσατε με όμορφα λουλούδια της άνοιξης, γιατί έρχεται η άνοιξη και στην πολιτική ζωή του τόπου, έρχεται η άνοιξη και στη ζωή μας. Στις 21 του Μάη θα τη γιορτάσουμε. Στις 21 του Μάη θα έρθει η μεγάλη, ή πολυπόθητη αλλαγή που προσδοκούμε στη ζωή μας και αυτό είναι το μήνυμα που λαμβάνω, πηγαίνοντας αυτές τις μέρες απ' άκρη σ' άκρη, σχεδόν παντού στον τόπο μας, σχεδόν παντού. Όπου και αν βρεθώ, όπου και αν σταθώ αυτό το μήνυμα που στέλνεται σήμερα και εσείς από εδώ, από τον Έβρο, το μήνυμα της αλλαγής, είναι ένα μήνυμα που περνάει, διαπερνά την Ελλάδα και διαπερνά τους πολίτες, ανεξάρτητα από το τι ψήφισαν στις προηγούμενες εκλογικές αναμετρήσεις. Διότι αυτό δεν είναι ένα πολιτικό σύνθημα, είναι μια βαθιά επιθυμία. Δεν αφορά μονάχα την ανάγκη αλλαγής στην κυβέρνηση, αφορά την ανάγκη μιας μεγάλης αλλαγής στην καθημερινότητά μας.",political agenda,elections,other,0.4,0,0,"[['alexandroupolis', 'location', '0.95'], ['may 21', 'date', '0.95'], ['greece', 'country', '0.9']]"
2,"Because it doesn't go any further. The Greek citizens cannot continue on this downhill slide, with no income coming in on the third week of the month. They cannot continue in this generalized injustice, inequality, obscenity. The country cannot be run by three families. We cannot continue with family rule. We cannot continue to see young children in this country with no prospect of living here with dignity and planning their future away from the place they loved, the place they were born. The place that raised them. These are the big issues that we want to put on the table and talk about in these few days left until the ballot box. Because we are told, Mr Mitsotakis and New Democracy tell us, that Greece has moved forward in these four years, and we are asking ourselves in which area exactly has Greece moved forward? What are the successes of this government? Has it gone forward and has it managed to have successes in all the critical issues that this government has faced?","Διότι δεν πάει άλλο. Δεν μπορούν οι έλληνες πολίτες να συνεχίσουν σε αυτή την κατηφόρα, να μη βγαίνει το εισόδημα την τρίτη εβδομάδα του μήνα. Δεν μπορούν να συνεχίσουν σε αυτή τη γενικευμένη αδικία, τις ανισότητες, την αισχροκέρδεια. Δεν μπορεί τη χώρα να την κυβερνάνε 3 οικογένειες δεν μπορεί να συνεχίσουμε με την οικογενειοκρατία. Δεν μπορεί να συνεχίσουμε βλέποντας τα νέα παιδιά σε αυτό τον τόπο, να μην έχουν προοπτική να ζήσουν εδώ με αξιοπρέπεια και να σχεδιάζουν το μέλλον τους μακριά από τον τόπο που αγάπησαν, γεννήθηκαν. Τον τόπο που τους μεγάλωσε. Αυτά είναι τα μεγάλα ζητήματα, τα οποία θέλουμε να θέσουμε επί τάπητος και να κουβεντιάσουμε αυτές τις λίγες μέρες που μείνανε μέχρι την κάλπη. Διότι μας λένε, μας λέει ο κύριος Μητσοτάκης και η Νέα Δημοκρατία ότι πήγε μπροστά η Ελλάδα αυτά τα 4 χρόνια και εμείς αναρωτιόμαστε σε ποιο ακριβώς τομέα πήγε η Ελλάδα μπροστά; Ποιες είναι οι επιτυχίες αυτής της κυβέρνησης; Πήγε άραγε μπροστά και κατάφερε να έχει επιτυχίες σε όλα τα κρίσιμα ζητήματα που αντιμετώπισε αυτή η κυβέρνηση; ",criticism,economy,inequality,-0.65,0,0.3,"[['greek citizens', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['new democracy', 'political party', '1.0'], ['mr mitsotakis', 'person', '1.0']]"
3,"Did he go ahead and have successes in the pandemic crisis where we are the worst in the western world in terms of deaths, in terms of population ratio? We have surpassed Bolsonaro's Brazil. 37 000 of our fellow citizens died because the national health system was abandoned.","Πήγε μπροστά και κατάφερε να έχει επιτυχίες στην κρίση της πανδημίας που είμαστε οι χειρότεροι στο δυτικό κόσμο σε θανάτους, σε αναλογία πληθυσμού; Ξεπεράσαμε τη Βραζιλία του Mπολσονάρο. 37.000 συμπολίτες μας έχασαν τη ζωή τους, διότι το εθνικό σύστημα υγείας έμεινε εγκαταλελειμμένο.",criticism,pandemic,public health system,-0.8,0,0,"[['bolsonaro', 'person', '0.5'], ['brazil', 'country', '0.5'], ['37 000', 'date', '0.5'], ['national health system', 'organization', '0.5']]"
4,"Have we moved forward and succeeded in tackling the energy crisis? To be the country with the most expensive electricity price in the whole of Europe, the most expensive price at the petrol pump in the whole of Europe, while we are competing with Bulgaria and Slovakia on wages and have the lowest per capita income? We have Bulgarian wages and London prices in supermarkets. A household cannot be left out. It's a nightmare in the supermarket. So have we done well and has this government succeeded in dealing with the inflationary crisis of price inflation, with a food inflation that is still today, a year, a year and a half after it spiked, still in double digits? Where exactly have we succeeded and what exactly have we achieved? But we are told that accuracy is imported. Yes, accuracy is imported, but obscenity is Greek and has the stamp of Mr Mitsotakis. Because at a time when the average household cannot or has difficulty paying for electricity, the energy companies are getting rich. At a time when the average household, in the third week of the month, is running out of money, 15 listed companies on the stock exchange have a 20-year record with profits of over a billion euros each. These are the successes of the Mitsotakis government. It has made the rich and powerful richer and stronger. But it has made the middle classes, poor and the poor, poorer, and this generalised injustice cannot continue.","Πήγαμε μπροστά άραγε και πετύχαμε στην αντιμετώπιση της κρίσης της ενεργειακής; Να είμαστε η χώρα με την ακριβότερη τιμή ρεύματος σε όλη την Ευρώπη, με την ακριβότερη τιμή στην αντλία της βενζίνης σε όλη την Ευρώπη, τη στιγμή που συναγωνιζόμαστε με τη Βουλγαρία, τη Σλοβακία στους μισθούς, έχουμε το χαμηλότερο κατά κεφαλήν εισόδημα; Έχουμε μισθούς Βουλγαρίας και τιμές Λονδίνου στα σούπερ μάρκετ. Δεν μπορεί να περάσει απέξω ένα νοικοκυριό. Είναι εφιάλτης στο σούπερ μάρκετ. Πήγαμε καλά λοιπόν και πέτυχε αυτή η κυβέρνηση στην αντιμετώπιση της πληθωριστικής κρίσης της ακρίβειας, με έναν πληθωρισμό στα τρόφιμα να παραμένει ακόμα και σήμερα, ένα χρόνο, ενάμιση μετά την εκτίναξη του, σε διψήφια ποσοστά; Πού ακριβώς πετύχαμε και τι ακριβώς πετύχαμε; Μας λένε όμως η ακρίβεια είναι εισαγόμενη. Ναι, η ακρίβεια είναι εισαγόμενη, αλλά η αισχροκέρδεια είναι ελληνική και έχει τη σφραγίδα του κυρίου Μητσοτάκη. Διότι τη στιγμή που το μέσο νοικοκυριό δεν μπορεί ή δυσκολεύεται να πληρώσει το ρεύμα, οι ενεργειακές εταιρείες πλουτίζουν. Τη στιγμή που το μέσο νοικοκυριό, την τρίτη εβδομάδα του μήνα ξεμένει από χρήματα, 15 εισηγμένες εταιρείες στο χρηματιστήριο έχουν ρεκόρ εικοσαετίας με κέρδη πάνω από ένα δισεκατομμύριο η καθεμιά. Αυτές είναι οι επιτυχίες της κυβέρνησης Μητσοτάκη. Έκανε τους πλούσιους και τους ισχυρούς, πλουσιότερους και ισχυρότερους. Έκανε όμως τους μεσαίους, φτωχούς και τους φτωχούς, φτωχότερους και αυτή η γενικευμένη αδικία δεν μπορεί να συνεχιστεί.",criticism,economy,,-0.9,0.2,0,"[['bulgaria', 'country', '1.0'], ['slovakia', 'country', '1.0'], ['london', 'location', '1.0'], ['europe', 'location', '1.0'], ['mitsotakis', 'person', '1.0'], ['mitsotakis government', 'organization', '1.0']]"
5,"Do you remember what Mr Mitsotakis said 4 years ago to become Prime Minister? He promised the middle class support. Today the middle class is reduced to living on vouchers. Coupons for the supermarket, coupons for electricity, coupons for petrol. Do you remember what he used to promise pensioners? Better pensions he was promising. And what exactly happened? What exactly happened? What exactly? How do pensioners live today? He abolished the thirteenth pension introduced by Syriza as soon as we came out of the memoranda, then he said it was peanuts. But he abolished it. And he does not give the retroactive payments for the supplementary pensions and the bonuses, although he promised to give them, even though the decision of the Council of State came out. A total of 7 billion less for pensioners in the last four years. But that's not all he cut. So let's assume that the money and the pensions remained the same and the pensions in the pensioners' pockets. What is the value of a €600, €700 pension today and what was it worth 4 years ago? Let me answer you on the basis of official eurostat figures, which say that households with an income of up to €700 have lost 40% of their purchasing power in a year and a half. The €700 in 19 was 40% more valuable. They were potentially enabling an outsider to be able, with dignity, to get a gift for his grandchild. Today they do not even give him this opportunity of dignity, because he does not even have to pay the stream.","Θυμάστε τι έταζε ο κύριος Μητσοτάκης 4 χρόνια πριν για να γίνει πρωθυπουργός; Έταζε στην μεσαία τάξη στήριξη. Σήμερα η μεσαία τάξη κατάντησε να ζει με κουπόνια. Κουπόνια για το σούπερ μάρκετ, κουπόνια για το ρεύμα, κουπόνια για τη βενζίνη. Θυμάστε τι έταζε στους συνταξιούχους; Καλύτερες συντάξεις έταζε. Και τελικα τι εγινε ακριβως; Τι εγινε ακριβως; Τι ακριβώς; Πώς ζούνε σήμερα οι συνταξιούχοι; Κατάργησε τη δέκατη τρίτη σύνταξη που θέσπισε ο ΣΥΡΙΖΑ αμέσως μόλις βγήκαμε από τα μνημόνια, τότε έλεγε ότι είναι ψίχουλα. Την κατάργησε όμως. Και δεν δίνει τα αναδρομικά για τις επικουρικές και τα δώρα, ενώ είχε υποσχεθεί ότι θα τα δώσει, ενω βγηκε η αποφαση του Συμβουλιου της Επικρατειας. Συνολικά 7 δισεκατομμύρια λιγότερα στους συνταξιούχους την τετραετία που μας πέρασε. Αλλά δεν είναι μονάχα αυτά που έκοψε. Ας υποθέσουμε λοιπόν ότι παρέμειναν ίδια τα χρήματα και οι συντάξεις στην τσέπη των συνταξιούχων. Τι αξία έχει μια σύνταξη 600 €, 700 € σήμερα και τι αξία είχε 4 χρόνια πριν; Να σας απαντήσω με βάση τα επίσημα στοιχεία της eurostat που λέει ότι νοικοκυριά με εισόδημα έως 700 €, μέσα σε ενάμιση χρόνο, χασάν το 40% της αγοραστικής τους δύναμης. Τα 700 € το 19 είχαν 40% μεγαλύτερη αξία. Έδιναν ενδεχομένως τη δυνατότητα σε έναν απόμαχο της δουλειάς να μπορεί με αξιοπρέπεια, να πάρει ένα δώρο στο εγγόνι του. Σήμερα δεν του δίνουν ούτε αυτή την ευκαιρία της αξιοπρέπειας, διότι δεν έχει ουτε να πληρωσει το ρευμα. ",criticism,pensioners,pensions,-0.9,0,0,"[['mr mitsotakis', 'person', '0.9'], ['prime minister', 'political party', '0.5'], ['middle class', 'group of people', '0.8'], ['syriza', 'organization', '0.7'], ['council of state', 'organization', '0.6'], ['pensioners', 'group of people', '0.9'], ['households', 'group of people', '0.7'], ['eurostat', 'organization', '0.5'], ['€', 'date', '0.5']]"
6,"These are the successes of the Mitsotakis government. And in the face of this policy, we say: there is another way, there is another perspective, there is the perspective of a programme and a plan, which we have submitted to the knowledge of the Greek people, so that everyone knows it when they go to vote, but we have also submitted it to the knowledge of all the progressive forces of the country. It is the contract of change that we presented for the next day, a contract of 11 articles, a contract with the people. And I will say briefly in just 4 axes what runs through this contract. Wage increases, price reductions, debt regulation and a fair, efficient, strong welfare state alongside the citizen. This is the fourfold principle of our policy.","Αυτές είναι οι επιτυχίες της κυβέρνησης Μητσοτάκη. Και απέναντι σε αυτή την πολιτική, εμείς λέμε: υπάρχει άλλος δρόμος, υπάρχει άλλη προοπτική, υπάρχει η προοπτική ενός προγράμματος και ενός σχεδίου, το οποίο καταθέσαμε στη γνώση του ελληνικού λαού, ώστε να γνωρίζει ο καθένας και η καθεμιά όταν πάει να ψηφίσει αλλά το καταθέσαμε και στη γνώση όλων των προοδευτικών δυνάμεων του τόπου. Είναι το συμβόλαιο αλλαγής που παρουσιάσαμε για την επόμενη μέρα, ένα συμβόλαιο 11 άρθρων, ένα συμβόλαιο με το λαό. Και θα πω επιγραμματικά σε 4 μόνο άξονες αυτό που διαπερνά αυτό το συμβόλαιο. Αύξηση μισθών, μείωση τιμών, ρύθμιση χρεών και ένα δίκαιο αποτελεσματικό, ισχυρό κοινωνικό κράτος δίπλα στον πολίτη. Αυτό είναι το τετράπτυχο της δικής μας πολιτικής. ",political agenda,social state,debt regulations,0.4,0,0.2,"[['mitsotakis government', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['progressive forces', 'group of people', '0.9'], ['country', 'location', '0.7'], ['contract of change', 'organization', '1.0'], ['11 articles', 'date', '0.7'], ['people', 'group of people', '1.0'], ['wage increases', 'organization', '0.6'], ['price reductions', 'organization', '0.6'], ['debt regulation', 'organization', '0.6'], ['welfare state', 'organization', '0.6'], ['citizen', 'group of people', '0.7']]"
7,"A few days ago the Organisation for Economic Co-operation and Development, the OECD, issued a report with its conclusions on the course of the European economies. A report which in fact trashes the whole narrative of the Mitsotakis government that promised better jobs and made workers work unpaid overtime. No more eight-hour days anywhere, abolished the labour inspectorate, no more standing by the worker to find their right. And of course they promised better jobs and better wages, right? That was one of the key promises, better wages. And then the OECD came along. And what does the OECD say? That Greece and the Mitsotakis government is the only government that in the last four years, because it's the only country that in the last four years not only, not only, I'm not talking about the minimum wage now, the average wage has been reduced. In the 3 years 19-21 it was the only country in Europe where we had a decrease in the average nominal wage. For 2022, despite the increases in the nominal wage, Greece was among the only 3 countries in Europe that had a 7.5% decrease in the average real wage. These are the results of the Mitsotakis government. These are the results that are irrefutable with figures, with numbers, with the stamp of international organisations. And of course, when he went on a television programme, he said: I refute the OECD. Of course, it is not in his interest to talk in terms of figures. He contradicts the OECD. He only wants to talk to Mr Avtia and Mr Portosalte. It is not just them that he does not deny, it is the international organisations that he denies. So we say deny what you want. The irrefutable criterion is the pocket of each and every one of us, of households, of working people and of working people. That is the irrefutable criterion. And there one need not be a leftist, a rightist or a centrist, because one understands, one understands one's own strengths, one understands how one lives, the difficulty of making ends meet.","Πριν από λίγες μέρες ο Οργανισμός Οικονομικής Συνεργασίας και Ανάπτυξης, ο ΟΟΣΑ, έβγαλε μια έκθεση με τα συμπεράσματά του για την πορεία των ευρωπαϊκών οικονομιών. Μια έκθεση η οποία στην πραγματικότητα κάνει σμπαράλια όλο το αφήγημα της κυβέρνησης Μητσοτάκη που έταξε καλύτερες δουλειές και έβαλε τους εργαζόμενους να δουλεύουν απλήρωτες υπερωρίες. Δεν υπάρχει πια οκτάωρο πουθενά, κατήργησε το σώμα επιθεώρησης εργασίας, να μην υπάρχει κανένας δίπλα στον εργαζόμενο για να βρει το δίκιο του. Και βεβαίως έταξαν καλύτερες δουλειές και καλύτερους μισθούς, ε; Αυτή ήταν μια από τις βασικές υποσχέσεις, οι καλύτεροι μισθοί. Και ήρθε λοιπόν ο ΟΟΣΑ. Και τι λέει ο ΟΟΣΑ; Ότι η Ελλάδα και η κυβέρνηση Μητσοτάκη είναι η μόνη κυβέρνηση που και τα 4 τελευταία χρόνια, γιατί είναι η μόνη χώρα που τα 4 χρόνια μειώθηκε όχι μόνο, όχι μόνο, δεν μιλάω για τον κατώτατο τώρα, μειώθηκε ο μέσος μισθός. Τα 3 χρόνια 19-21 ήταν η μόνη χώρα ευρωπαική όπου είχαμε μείωση του μέσου ονομαστικού μισθού. Για το 2022, παρά τις αυξήσεις του ονομαστικού μισθού, η Ελλάδα ήταν στις 3 μονάχα χώρες της Ευρώπης που είχε μείωση του μέσου πραγματικού μισθού κατά 7.5 %. Αυτά είναι τα αποτελέσματα της κυβέρνησης Μητσοτάκη. Αυτά είναι τα αποτελέσματα τα αδιάψευστα με νούμερα, με αριθμούς, με τη σφραγίδα διεθνών οργανισμών. Και βέβαια, όταν βγήκε σε μια τηλεοπτική εκπομπή, είπε: διαψεύδω τον ΟΟΣΑ. Βέβαια, δεν το συμφέρει να μιλάει με στοιχεία. Διαψεύδει τον ΟΟΣΑ. Μόνο θέλει να μιλάει με τον κύριο Αυτιά και τον κύριο Πορτοσάλτε. Μόνο αυτούς δεν διαψεύδει, τους διεθνούς οργανισμούς τους διαψεύδει. Εμείς λοιπόν λέμε διαψεύστε ό,τι θέλετε. Αδιάψευστο κριτήριο είναι η τσέπη του καθενός και της καθεμιάς, των νοικοκυριών, των ανθρώπων του μόχθου και της εργασίας. Αυτό είναι το αδιάψευστο κριτήριο. Και εκεί δεν χρειάζεται κανείς να είναι ούτε αριστερός, ούτε δεξιός, ούτε κεντρώος, διότι καταλαβαίνει, καταλαβαίνει τις δυνάμεις του, καταλαβαίνει πως ζει, τη δυσκολία να τα βγάλει πέρα. ",criticism,economy,other,-0.9,0.8,0,"[['organisation for economic co-operation and development', 'organization', '1.0'], ['mitsotakis government', 'group of people', '1.0'], ['labour inspectorate', 'organization', '0.7'], ['greece', 'country', '1.0'], ['europe', 'location', '1.0'], ['2022', 'date', '1.0'], ['mr avtia', 'person', '1.0'], ['mr portosalte', 'person', '1.0']]"
8,"And I want you to give me the opportunity, since I am here in Alexandroupolis today, to address the people of Evrita, to address the people here, the citizens of the border region, and to tell you that Mr Mitsotakis would not have loved you so much. Do not think so. He comes here very often to take pictures on the fence, but he did not love you. He comes here to do propaganda, not to support you, because for four years now he has done nothing of substance for Evros. Nothing substantial has progressed. He is coming to reproduce the familiar propaganda, the familiar propaganda from the old right-wing years. That they are of a high national opinion and there are some Greeks of low national opinion. As if the borders are their property. As if there are Greeks who do not consider them inviolable. Not with financial sacrifices, heavier sacrifices. But I want to tell you, Evritis, citizens of the frontier, that this party has gotten used to us. We are used to them playing the nationalists and lions when things are calm. But when things get tough, they turn from lions to lambs, from roosters to hens. This is what happened when the Turkish ship Oruc Reis was violating the country's sovereign rights and they told us that it was being blown away and that it was not carrying out any surveys because it was noisy and they could not record the cables. We, on the other hand, who did not think of posing and taking pictures on the fence, were the ones who, when the Barbaros was violating the sovereign rights of the country, were across the way with the frigate Nikiforos Fokas and said it would not pass. We don't make lions out of the easy ones. And we don't do the lambs when it's hard. But those who insist on selling nationalism. And do you remember what they did during the Prespa agreement? But the day before yesterday Zoran Zaev sent a letter. Not to me. He sent it to Mitsotakis and said: You are a great friend of mine, because everything Tsipras did, you follow everything, faithfully. You, you, Mr Mitsotakis, who said it was a treacherous agreement, honoured it and kept it and you did the right thing, but that is your hypocrisy. That is the hypocrisy.","Και θέλω να μου δώσετε τη δυνατότητα μιας και είμαι σήμερα εδώ στην Αλεξανδρούπολη, να απευθυνθώ και στους Εβρίτες, να απευθυνθώ και στους ανθρώπους εδώ τους πολίτες της παραμεθορίου και να σας πω ότι ο κύριος Μητσοτάκης δεν θα σας αγάπησε τόσο πολύ. Μη νομίζετε. Έρχεται πολύ συχνά εδώ για να βγάζει φωτογραφίες στο φράχτη, αλλά δεν σας αγάπησε. Έρχεται για να κάνει προπαγάνδα και όχι για να σας στηρίξει, διότι 4 χρόνια τώρα δεν έκανε τίποτα ουσιαστικό για τον Έβρο. Τίποτα ουσιαστικό δεν προχώρησε. Έρχεται για να αναπαράξει τη γνωστή προπαγάνδα, τη γνωστή από τα παλιά χρόνια της δεξιάς. Ό,τι τάχα μου αυτοί είναι υψηλού εθνικού φρονήματος και υπάρχουν κάποιοι Έλληνες χαμηλού εθνικού φρονήματος. Λες και τα σύνορα είναι δική τους ιδιοκτησία. Λες και υπάρχουν Έλληνες που δεν τα θεωρούν απαραβίαστα. Όχι με θυσίες οικονομικές, βαρύτερες θυσίες. Αλλά θέλω να σας πω Εβρίτες και Εβρίτισσες, Πολίτες της παραμεθορίου, ότι μας έχει συνηθίσει αυτή η παράταξη. Μας έχουν συνηθίσει να κάνουνε τους εθνικόφρονες και τους λέοντες, όταν τα πράγματα είναι ήρεμα. Όταν τα πράγματα όμως ζορίζουν, μεταμορφώνονται από λέοντες σε αμνούς, από κόκορες σε όρνιθες. Αυτό έγινε και όταν το τουρκικό πλοίο Oruc Reis παραβίαζε τα κυριαρχικά δικαιώματα της χώρας και αυτοί μας έλεγαν ότι το παίρνει ο αέρας και δεν κάνει έρευνες, διότι έχει φασαρία και δεν μπορούν να καταγράψουν τα καλώδια. Εμείς από την άλλη που δεν σκεφτήκαμε να ποζάρουμε και να βγάλουμε φωτογραφίες στον φράχτη, ήμασταν αυτοί που όταν το Barbaros παραβίαζε τα κυριαρχικά δικαιώματα της χώρας, ήμασταν απέναντι με τη φρεγάτα Νικηφόρος Φωκάς και είπαμε δεν θα περάσει. Δεν κάνουμε εμείς τους λέοντες στα εύκολα. Και τους αμνούς στα δύσκολα. Αλλά αυτοί οι οποίοι επιμένουν να πουλάνε εθνικοφροσύνη. Και θυμάστε τι κάνανε την περίοδο της συμφωνίας των Πρεσπών; Αλλά προχθές έστειλε ένα γράμμα ο Ζόραν Ζάεφ. Όχι σε μένα. Το στειλε στον Μητσοτάκη και έλεγε: Είσαι μεγάλος φίλος μου, διότι όλα όσα έκανε ο Τσίπρας, τα ακολουθείς όλα, πιστά. Εσύ, εσύ κύριε Μητσοτάκη που έλεγες ότι είναι μια προδοτική συμφωνία, την τίμησες και την τήρησες και σωστά έκανες, αλλά αυτή είναι η υποκρισία σας. Αυτή είναι η υποκρισία. ",criticism,national security,borders,-0.7,0.9,0,"[['alexandroupolis', 'location', '1.0'], ['evrita', 'location', '0.7'], ['evros', 'location', '0.8'], ['barbaros', 'organization', '0.5'], ['nikiforos fokas', 'organization', '0.6'], ['oruc reis', 'organization', '0.5'], ['zoran zaev', 'person', '1.0'], ['mitsotakis', 'person', '1.0'], ['greeks', 'group of people', '0.9'], ['prespa', 'location', '0.5']]"
9,"And today we see the government spokesman, Mr.Skertos, coming out and saying that a long-standing national claim, because our claims are not only against Turkey - a long-standing national claim, the claim for reparations from the period of the German occupation and the occupation loan is no longer a claim for our country. Whereas four years ago, SYRIZA had brought all the pieces together in Parliament and we signed a joint agreement that we would claim the German reparations, even if it was €1, as the late Manolis Glezos used to say, and even if it was €1, we have the right and the obligation to claim it. So here are the great nationalists, the easy ones who become sheep and vultures in the difficult ones. That is the reality. So I, from here, from Evros, want to address all Evrites and say that we will not allow anyone to think that citizens who vote for New Democracy are more patriotic than those who vote and are at the heart of the progressive and democratic party of our country.","Και βλέπουμε σήμερα να έρχεται ο κυβερνητικός εκπρόσωπος, ο κύριος Σκέρτσος, και να βγαίνει και να λέει ότι μια πάγια εθνική διεκδίκηση, γιατί δεν είναι οι διεκδικήσεις μας μόνο απέναντι στην Τουρκία - μια πάγια εθνική διεκδίκηση, η διεκδίκηση των αποζημιώσεων από την περίοδο της γερμανικής κατοχής και του κατοχικού δανείου δεν αποτελεί πια διεκδίκηση για τη χώρα μας. Ενώ 4 χρόνια πριν, ο ΣΥΡΙΖΑ είχε φέρει όλα τα κομμάτια μαζί στη Βουλή και υπογράψαμε από κοινού ότι θα διεκδικήσουμε τις γερμανικές επανορθώσεις και 1 € να ήτανε, όπως έλεγε ο αείμνηστος Μανώλης Γλέζος, και 1 € να είναι, έχουμε δικαίωμα και υποχρέωση να το διεκδικήσουμε. Να λοιπόν οι μεγάλοι εθνικόφρονες, στα εύκολα που γίνονται αμνοί και όρνιθες στα δύσκολα. Αυτή είναι η πραγματικότητα. Εγώ λοιπόν από δω, απ τον Έβρο, θέλω να απευθυνθώ σε όλους τους Εβρίτες και να πω ότι δεν θα επιτρέψουμε σε κανέναν να θεωρεί ότι είναι περισσότερο πατριώτες οι πολίτες που ψηφίζουν Νέα δημοκρατία από αυτούς που ψηφίζουν και βρίσκονται στην καρδιά της προοδευτικής και δημοκρατικής παράταξης του τόπου μας.",political agenda,external relations,other,-0.3,0.1,0,"[['mr.skertos', 'person', '0.7'], ['syriza', 'political party', '0.9'], ['parliament', 'organization', '0.7'], ['manolis glezos', 'person', '0.8'], ['evros', 'location', '0.9'], ['new democracy', 'political party', '0.9']]"
10,"But I want to say, to say something more important, if you like. To say that the best defence for the border regions of our country, such as Evros, is development and the enhancement of the well-being of the people. And Evros has been abandoned these four years. Where are these programmes that we have managed to draw up in the face of great difficulties. The special infrastructure programme of EUR 26 million, with critical infrastructure projects for Evros, has been abandoned. Where is the plan that we jointly agreed with the Balkan leaders for the railway link between the ports of northern Greece and the ports of Bulgaria? That plan has been abandoned. Where are the projects that would have been carried out in the port of Alexandroupolis, with the sale of the port? The port was sold, we did not see any projects. Where is the project that we had signed for the environmental rehabilitation of the mine in Kirki, EUR 5 million. It would have brought jobs, jobs to the local economy. That was abandoned as well. A number of projects were abandoned.","Θέλω όμως να πω, να πω και κάτι πιο σημαντικό, αν θέλετε. Να πω ότι η καλύτερη άμυνα για τις παραμεθόριες περιοχές της πατρίδας μας, όπως είναι ο Έβρος, είναι η ανάπτυξη και η ενίσχυση της ευημερίας των ανθρώπων. Και ο Έβρος εγκαταλείφθηκε αυτά τα 4 χρόνια. Που είναι τα προγράμματα αυτά που μέσα σε πολύ μεγάλες δυσκολίες εμείς καταφέραμε να εκπονήσουμε. Το ειδικό πρόγραμμα υποδομών, ύψους 26 εκατομμυρίων, με κρίσιμα έργα υποδομής για τον Έβρο έχει εγκαταλειφθεί. Που είναι το σχέδιο που από κοινού με τους ηγέτες των Βαλκανίων είχαμε συνομολογήσει για τη σιδηροδρομική διασύνδεση των λιμανιών της Βόρειας Ελλάδας με τα λιμάνια της Βουλγαρίας. Εγκαταλείφθηκε το σχέδιο αυτό. Που είναι τα έργα που θα γινόντουσαν στο λιμάνι της Αλεξανδρούπολης, με την πώληση του λιμανιού; Πουλήθηκε το λιμάνι, έργα δεν είδαμε. Που είναι το έργο το οποίο είχαμε υπογράψει για την περιβαλλοντική αποκατάσταση του μεταλλείου στην Κίρκη, 5 εκατομμύρια ευρώ. Θα έδινε δουλειά, δουλειές στην τοπική οικονομία. Εγκαταλείφθηκε και αυτό. Μια σειρά από έργα εγκαταλείφθηκαν. ",criticism,infrastructure,borders,-0.6,0,0,"[['evros', 'location', '1.0'], ['eur', 'organization', '1.0'], ['balkan', 'group of people', '0.9'], ['greece', 'country', '0.9'], ['bulgaria', 'country', '0.8'], ['alexandroupolis', 'location', '0.8'], ['kirki', 'location', '0.8'], ['26 million', 'date', '0.5'], ['5 million', 'date', '0.5.']]"
