id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Kavala, I think your gathering today is a very big message, a strong message to those who think that these elections will be a walk in the park for the forces that have made our lives black. In this election we will see a better day. I see it here today in your rally, in your faces. It is a big surprise to me that this is a big rally, bigger than any other rally we have had here in Kavala. And it is a response to those who cannot recognize that SYRIZA has deep roots in society. That SYRIZA on May 21 can be first and by far and make the hope for a great change in this country a reality.","Πολίτες της Καβάλας, η σημερινή σας συγκέντρωση νομίζω είναι ένα πολύ μεγάλο μήνυμα, ένα δυνατό μήνυμα σε όσους νομίζουν ότι οι εκλογές αυτές θα είναι ένας περίπατος για τις δυνάμεις που έχουν κάνει μαύρη τη ζωή μας. Στις εκλογές αυτές θα δούμε μια καλύτερη μέρα. Το βλέπω σήμερα εδώ στη συγκέντρωσή σας, στα πρόσωπά σας. Είναι μια μεγάλη έκπληξη για εμένα η μεγάλη συγκέντρωση αυτή, μεγαλύτερη από κάθε άλλη συγκέντρωση που έχουμε κάνει εδώ στην Καβάλα. Και είναι μια απάντηση σε αυτούς που δεν μπορούν να αναγνωρίσουν ότι ο ΣΥΡΙΖΑ έχει βαθιές ρίζες μέσα στην κοινωνία. Ότι ο ΣΥΡΙΖΑ στις 21 του Μάη μπορεί να είναι πρώτος και με διαφορά και να κάνει πράξη την ελπίδα για μια μεγάλη αλλαγή σε αυτό τον τόπο. ",political agenda,elections,election spending,0.7,0,0.2,"[['kavala', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['may 21', 'date', '1.0'], ['greek society', 'group of people', '0.8'], ['citizens of kavala', 'group of people', '0.6']]"
2,"I want to thank you warmly, to thank you for your passion, for your presence, for your fighting spirit. And I must tell you how happy and joyful I feel every time I come to this city. It is a part of my childhood memories, half of my heart belongs here to you, to beautiful Kavala, to your place, to our place. I also want to say that it is a pleasure and an honour for me to be here in this place, which, apart from being a place of personal memories, is also a place of great struggles. Because we cannot forget that Kavala is synonymous with the working class, the city of the tobacco worker, the city that has fought and struggled for decades, in dark and difficult times.
The city where the first big strike in the Balkans took place in 1896. But also the city that today is re-coloured with the colour of the struggle of the workers in the fertiliser and oil industries of Kavala. A struggle of which we are all proud, a struggle that we want to be vindicated and we are committed to vindicate. A struggle for work and dignity. Work and dignity! Yes, we are not asking for anything more, but we will only win this dignity through struggle and through our vote on 21 May. I want us all to shout this slogan nine days from today. On May 21, with the result of the elections, our people should celebrate, the cartels and the powerful should not celebrate, the interests should not celebrate. That is why we are seeking and we believe that we will certainly succeed in achieving a great victory for SYRIZA, which will mean a victory for the people and a victory for democracy.","Θέλω να σας ευχαριστήσω θερμά, να σας ευχαριστήσω για το πάθος σας, για την παρουσία σας, για την αγωνιστικότητά σας. Και πρέπει να σας πω πόσο ευτυχισμένος και χαρούμενος νιώθω κάθε φορά που έρχομαι σε αυτή την πόλη. Είναι ένα κομμάτι από τις παιδικές μου αναμνήσεις, το μισό της καρδιάς μου ανήκει εδώ σε εσάς, στην όμορφη Καβάλα, στον τόπο σας, στον τόπο μας. Θέλω να πω επίσης ότι είναι για εμένα χαρά αλλά και τιμή να βρίσκομαι εδώ σε αυτό τον τόπο, που, πέρα από τόπο αναμνήσεων προσωπικών, είναι κι ένας τόπος μεγάλων αγώνων. Γιατί δεν μπορούμε να ξεχνάμε ότι η Καβάλα είναι συνώνυμο της εργατικής τάξης, η πόλη του καπνεργάτη, η πόλη που έδωσε αγώνες και μάχες για δεκαετίες, μαύρες δύσκολες εποχές. Η πόλη που έγινε η πρώτη μεγάλη απεργία στα Βαλκάνια το 1896. Αλλά και η πόλη που σήμερα ξαναχρωματίζεται με το χρώμα του αγώνα των εργαζομένων στα λιπάσματα και στα πετρέλαια της Καβάλας. Έναν αγώνα για τον οποίο όλοι είμαστε περήφανοι, έναν αγώνα που θέλουμε να δικαιωθεί και δεσμευόμαστε να δικαιωθεί. Έναν αγώνα για δουλειά και αξιοπρέπεια. Δουλειά και αξιοπρέπεια! Ναι, δεν ζητάμε κάτι παραπάνω, αλλά αυτή την αξιοπρέπεια θα την κερδίσουμε μονάχα μέσα από αγώνες και μέσα από την  ψήφο μας στις 21 του Μάη. Θέλω αυτό το σύνθημα να το φωνάξουμε όλοι μαζί σε εννιά μέρες από σήμερα. Στις 21 του Μάη με το αποτέλεσμα των εκλογών να πανηγυρίζει ο λαός μας, να μην πανηγυρίζουν τα καρτέλ και οι ισχυροί, να μην πανηγυρίζουν τα συμφέροντα. Γι' αυτό επιδιώκουμε και πιστεύουμε, είναι βέβαιο ότι θα τα καταφέρουμε να έχουμε μια μεγάλη νίκη του ΣΥΡΙΖΑ, που θα σημαίνει νίκη του λαού και νίκη της δημοκρατίας.",political agenda,elections,election spending,0.8,0,0.1,"[['kavala', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['balkans', 'location', '0.5'], ['may 21', 'date', '1.0']]"
3,"Citizens of Kavala, what I think everyone is expecting today, because many people say - of course they were saying this before they saw your gathering today - that ""the climate of this election is more subdued than in other elections"". But what every citizen - and I can assure you of this, I have been all over the country these days - is that something will finally change in their lives. The basic feeling for every citizen, whether they voted for us or for other parties in the last election, whether they are left-wing or right-wing or centrist, the basic feeling, if they are not privileged, of course, if they do not have a vested interest in believing that things should continue as they are, the basic feeling for the majority of citizens is one: Enough is enough! No more obscenity. No more arrogance. No more of this indifference. Enough with family rule. Enough with injustice. This is the basic feeling from coast to coast all over the country. And this feeling has to do with the fact that for four years now injustice has become the status quo in our country.","Πολίτες της Καβάλας, αυτό που προσδοκά, πιστεύω, σήμερα ο καθένας και η καθεμιά, γιατί λένε πολλοί -βέβαια το έλεγαν πριν δουν τη σημερινή σας συγκέντρωση- ότι «το κλίμα αυτό των εκλογών είναι πιο υποτονικό, από άλλες εκλογικές αναμετρήσεις». Αυτό όμως που προσδοκά κάθε πολίτης -και σας βεβαιώνω γι' αυτό, έχω βρεθεί από άκρη σε άκρη σε όλη τη χώρα τούτες τις μέρες- είναι να αλλάξει κάτι επιτέλους στη ζωή του. Το βασικό συναίσθημα για κάθε πολίτη, είτε ψήφισε εμάς είτε άλλα κόμματα στις προηγούμενες εκλογές, είτε είναι Αριστερός είτε Δεξιός είτε Κεντρώος, το βασικό συναίσθημα, αν δεν είναι προνομιούχος βεβαίως, αν δεν έχει κάποια συμφέροντα για να πιστεύει ότι πρέπει να συνεχιστούν τα πράγματα έτσι, το βασικό συναίσθημα για την πλειοψηφία των πολιτών είναι ένα: Ως εδώ, πια! Ως εδώ πια, με την αισχροκέρδεια. Ως εδώ πια με την αλαζονεία. Ως εδώ πια με την αδιαφορία. Ως εδώ πια με την οικογενειοκρατία. Ως εδώ πια με την αδικία. Αυτό είναι το βασικό συναίσθημα από άκρη σε άκρη σε όλη τη χώρα. Και αυτό το συναίσθημα έχει να κάνει με το γεγονός ότι τέσσερα χρόνια τώρα η αδικία έγινε καθεστώς στον τόπο μας. ",political agenda,justice,injustice,0.8,0.2,0,"[['kavala', 'location', '1.0'], ['citizen', 'group of people', '1.0'], ['election', 'date', '1.0'], ['country', 'location', '1.0'], ['left-wing', 'political party', '1.0'], ['right-wing', 'political party', '1.0'], ['centrist', 'political party', '1.0']]"
4,"And I want to remind you what Mr Mitsotakis promised in 2019: support for the middle class, better wages, better jobs and an executive -again!- state. And what did he do four years later? He made the rich richer, that's what he achieved. But the poor poorer and the middle poorer.  He reduced the middle class to living on food stamps. Vouchers to go to the supermarket, vouchers to put gas in the car, vouchers to pay for electricity. Income ends in the 3rd week of the month for most families, most households, overtime is unpaid, the eight-hour day is gone. Where are the best jobs?","Και θέλω να σας θυμίσω τι έταξε ο κ. Μητσοτάκης το 2019: στήριξη της μεσαίας τάξης, καλύτερους μισθούς, καλύτερες δουλειές και επιτελικό -πανάθεμά τον!- κράτος. Και τι έκανε τέσσερα χρόνια μετά; Έκανε τους πλούσιους πλουσιότερους, αυτό το κατάφερε. Αλλά τους φτωχούς φτωχότερους και τους μεσαίους φτωχούς.  Κατάντησε τη μεσαία τάξη να ζει με κουπόνια. Κουπόνια για να πάει στο σούπερ μάρκετ, κουπόνια για να βάλει βενζίνη, κουπόνια για να πληρώσει το ρεύμα. Το εισόδημα τελειώνει την 3η εβδομάδα του μήνα για τις περισσότερες οικογένειες, τα περισσότερα νοικοκυριά, οι υπερωρίες είναι απλήρωτες, το οκτάωρο είναι παρελθόν. Πού είναι οι καλύτερες δουλειές; ",criticism,employment,cost of living,-0.9,0.5,0,"[['mr mitsotakis', 'person', '1.0'], ['middle class', 'group of people', '0.5'], ['rich', 'group of people', '0.5'], ['poor', 'group of people', '0.5'], ['middle', 'group of people', '0.5'], ['families', 'group of people', '0.5'], ['households', 'group of people', '0.5'], ['overtime', 'organization', '0.5'], ['eight-hour day', 'organization', '0.5'], ['supermarket', 'location', '0.5'], ['car', 'location', '0.5'], ['electricity', 'location', '0.5'], ['month', 'date', '0.5']]"
5,"Pensioners are now without dignity. He was supposedly saying that what SYRIZA was giving was peanuts, but he took away the 13th pension that we introduced when we came out of the memoranda and abolished it, he never gave the retroactive pension, despite the decision of the Council of State. 7 billion less to pensioners in these four years. But, most importantly, a pension of 700 euros four years ago had 40% more purchasing power. Today, this pension is not even enough for electricity, rent, basic obligations. So, the workaholics are plunged into insecurity, because today they cannot afford even a single gift for their grandchildren, and this life of insecurity is not worth it, neither for the workaholics nor for the young people. For none of our fellow citizens is this prospect of destitution worth it.","Οι συνταξιούχοι είναι πια χωρίς αξιοπρέπεια. Έλεγε δήθεν ότι ήταν ψίχουλα αυτά που έδινε ο ΣΥΡΙΖΑ, αλλά στέρησε τη 13η σύνταξη που εμείς τη θεσπίσαμε όταν βγήκαμε από τα μνημόνια και κατάργησε, δεν έδωσε ποτέ τα αναδρομικά, παρά την απόφαση του Συμβουλίου της Επικρατείας. 7 δισ. λιγότερα στους συνταξιούχους αυτά τα τέσσερα χρόνια. Αλλά, το κυριότερο, μια σύνταξη των 700 ευρώ τέσσερα χρόνια πριν είχε 40% μεγαλύτερη αγοραστική δύναμη. Σήμερα αυτή η σύνταξη δεν φτάνει ούτε για το ρεύμα, το νοίκι, τις βασικές υποχρεώσεις. Άρα, βυθίστηκαν οι απόμαχοι της δουλειάς στην αναξιοπρέπεια, διότι σήμερα δεν έχουν τη δυνατότητα ούτε ένα δώρο να πάρουν στα εγγόνια τους και δεν αξίζει αυτή η ζωή της αναξιοπρέπειας, ούτε για τους απόμαχους της δουλειάς, ούτε για τις νέες και τους νέους. Για κανέναν συμπολίτη μας δεν αξίζει αυτή η προοπτική της αναξιοπρέπειας.",criticism,pensioners,other,-0.8,0,0,"[['pensioners', 'group of people', '1.0'], ['syriza', 'political party', '1.0'], ['council of state', 'organization', '1.0'], ['greece', 'country', '1.0'], ['four years ago', 'date', '1.0'], ['today', 'date', '1.0']]"
6,"He ordered a staff state and we saw the staff state in the tragedy of Tempe, in this unspeakable crime. Because they appointed a man who was not even qualified to hold the lives of 57 people in his hands by party buffoonery. This is the staff state that we were ordered into. This is what we were ordered to do.","Έταξε επιτελικό κράτος και το είδαμε το επιτελικό κράτος στην τραγωδία των Τεμπών, σε αυτό το ανείπωτο έγκλημα. Γιατί διόρισαν με κομματικό ρουσφέτι έναν άνθρωπο που δεν είχε καν ειδίκευση για να κρατάει στα χέρια του τις ζωές 57 ανθρώπων. Αυτό είναι το επιτελικό κράτος που μας έταξε. Αυτά μας έταξε.",criticism,corruption,other,-0.8,0,0.2,"[['tempe', 'location', '0.9'], ['57', 'group of people', '0.8']]"
7,"But what has made us so long? He took over in 2019 a country that had regained its footing. You know that we took over empty funds, a bankrupt country, under memoranda. And we managed, through great difficulties, to get the country onto the markets, to get out of the memoranda, to regulate the debt and to leave 37 billion in the public coffers.","Τι μας έφτιαξε όμως τόσο καιρό; Παρέλαβε το 2019 μια χώρα που είχε ξαναβρεί τον βηματισμό της. Γνωρίζετε ότι εμείς παραλάβαμε άδεια Ταμεία, χρεοκοπημένη χώρα, μέσα στα μνημόνια. Και καταφέραμε μέσα από μεγάλες δυσκολίες να βγάλουμε τη χώρα στις αγορές, να βγούμε εκτός μνημονίων, να ρυθμίσουμε το χρέος και να αφήσουμε 37 δισ. στα δημόσια ταμεία.",criticism,debt,austerity,0.8,0,0,"[['2019', 'date', '0.7'], ['37 billion', 'number', '0.4']]"
8,"And I ask myself: if we were governing in the conditions like Mitsotakis governed, who found everything ready, the country on rails, if we were governing not with the obligation to raise 40 billion to get the country out of the gutter with its head breathing, but with the freedom to spend more than 60 billion, as he did, I wonder what the country's image would be?","Και αναρωτιέμαι: αν εμείς κυβερνούσαμε σε συνθήκες όπως κυβέρνησε ο Μητσοτάκης που τα βρήκε όλα έτοιμα, τη χώρα σε ράγες, αν εμείς κυβερνούσαμε όχι με την υποχρέωση να μαζέψουμε 40 δισ. για να βγει η χώρα έξω από τον βούρκο με το κεφάλι να αναπνέει, αλλά με ευχέρεια να δαπανήσουμε πάνω από 60 δισ., όπως έκανε αυτός, αναρωτιέμαι ποια θα ήταν η εικόνα της χώρας; ",criticism,economy,austerity,0.3,0.2,0,"[['mitsotakis', 'person', '0.8']]"
9,"Would this be the picture in public hospitals without nurses and without doctors? Would this be the country in our schools with 30% being substitutes? Would this be the country in our universities? Would this be the country of the welfare state? You know very well: it would be a different picture and a different country. That is why when he says that the dilemma is forward or backward, we say: unfortunately, in 19 the middle class and the majority of the Greek people were deceived and the country took many steps backwards.","Θα ήταν αυτή η εικόνα στα δημόσια νοσοκομεία χωρίς νοσηλευτές και χωρίς γιατρούς; Θα ήταν αυτή η χώρα στα σχολεία μας με το 30% να είναι αναπληρωτές; Θα ήταν αυτή η χώρα στα πανεπιστήμια; Θα ήταν αυτή η χώρα του κοινωνικού κράτους; Το ξέρετε πολύ καλά: θα ήταν διαφορετική η εικόνα και διαφορετική η χώρα. Γι' αυτό όταν λέει ότι το δίλημμα είναι μπροστά ή πίσω, του απαντάμε: δυστυχώς το ’19 εξαπατήθηκε η μεσαία τάξη και η πλειοψηφία του ελληνικού λαού και πήγε πολλά βήματα πίσω η χώρα.",criticism,public sector,other,-0.8,0.2,0.2,"[['public hospitals', 'organization', '0.5'], ['nurses', 'group of people', '0.8'], ['doctors', 'group of people', '0.8'], ['country', 'location', '0.6'], ['schools', 'organization', '0.5'], ['substitutes', 'group of people', '0.5'], ['universities', 'organization', '0.5'], ['welfare state', 'organization', '0.6'], ['greek people', 'group of people', '0.7'], ['greek', 'country', '0.7'], ['19', 'date', '0.6']]"
10,"But today we have a reality to deal with. Because four years later, what is he leaving behind? A country that has 50 billion more public debt in these four years. A country that has 40 billion more private debt in these four years and almost half of the Greeks - look, 4,250,000 Greeks, half of Greece - are in debt, have bad debts to the banks, to the tax authorities, to the social security funds. And 700,000 households are worried that tomorrow they will lose their house in the auctions. Because 700,000 mortgaged houses are currently in the hands of the funds of Mr Mitsotakis' friends, such as Mr Patsis, who had him in his parliamentary team and did exactly this job. He was a crow, going around taking people's lives, threatening them that he would take their house so that he could take and make a profit from their debts.
In these four years, friends, we have seen the greatest redistribution of income from the many to the powerful and the day laborers, with accuracy galloping, with the average wage falling, with indirect taxation reaping the harvest.","Σήμερα όμως έχουμε μια πραγματικότητα να διαχειριστούμε. Διότι τέσσερα χρόνια μετά, τι μας αφήνει πίσω του; Μια χώρα που έχει 50 δισ. μεγαλύτερο δημόσιο χρέος, αυτά τα τέσσερα χρόνια. Μια χώρα που έχει 40 δισ. μεγαλύτερο ιδιωτικό χρέος, αυτά τα τέσσερα χρόνια και σχεδόν τους μισούς Έλληνες -προσέξτε, 4.250.000 Έλληνες, η μισή Ελλάδα-, να χρωστάει, να έχει μη εξυπηρετούμενες οφειλές στις τράπεζες, στην Εφορία, στα ασφαλιστικά ταμεία. Και 700.000 νοικοκυριά να αγωνιούν αν αύριο θα χάσουν το σπίτι τους στους πλειστηριασμούς. Διότι 700.000 ενυπόθηκες κατοικίες βρίσκονται τούτη την ώρα στα χέρια των funds των φίλων του κ. Μητσοτάκη, όπως του κ. Πάτση που τον είχε στην κοινοβουλευτική του ομάδα και έκανε ακριβώς αυτή τη δουλειά. Κοράκι ήταν, πήγαινε και έπαιρνε το βιός των ανθρώπων, τους απειλούσε ότι θα τους πάρει το σπίτι για να πάρει και να βγάλει κέρδη από τα χρέη τους. Αυτά τα τέσσερα χρόνια, φίλες και φίλοι, ζήσαμε τη μεγαλύτερη αναδιανομή εισοδήματος από τους πολλούς στους ισχυρούς και στους ημέτερους, με την ακρίβεια να καλπάζει, με τον μέσο μισθό να μειώνεται, με την έμμεση φορολογία να θερίζει. ",criticism,debt,other,-0.9,0.2,0.2,"[['greeks', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['mr patsis', 'person', '1.0']]"
