id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Trikala. I would like to thank you for this warm, fierce welcome you have given me. Thank you from the bottom of my heart. Your presence here today in Trikala in broad daylight shows that those who have discounted that next Sunday the cartels and the powerful and the interests will be celebrating are wrong. Next Sunday the Greek people will be celebrating, and it is your presence and today's rally. This is the real poll for us. The real poll that shows that the desire of the great majority of the Greek people is that next Sunday a great change will come to our country and to our lives.","Πολίτες των Τρικάλων. Θέλω να σας ευχαριστήσω για αυτή τη θερμή, τη μαχητική υποδοχή που επιφυλάξατε. Να σας ευχαριστήσω από τα βάθη της καρδιάς μου. Η σημερινή σας παρουσία εδώ Τα Τρίκαλα μέρα μεσημέρι φανερώνει ότι κάνουν λάθος όσοι έχουν προεξοφλήσει ότι την άλλη Κυριακή θα πανηγυρίζουν τα καρτέλ και οι ισχυροί και τα συμφέροντα. Την άλλη Κυριακή θα πανηγυρίζει ο ελληνικός λαός και είναι η παρουσία σας και η σημερινή συγκέντρωση. Η πραγματική δημοσκόπηση για μας αυτή είναι η αληθινή δημοσκόπηση. Η αληθινή δημοσκόπηση που δείχνει ότι η επιθυμία της μεγάλης πλειοψηφίας του ελληνικού λαού είναι την επόμενη Κυριακή να έρθει μια μεγάλη αλλαγή στον τόπο μας και στη ζωή μας. ",political agenda,other,election spending,0.85,0.0,0.5,"[['trikala', 'location', '1.0'], ['greek', 'country', '1.0'], ['next sunday', 'date', '1.0'], ['greek people', 'group of people', '1.0']]"
2,"I'm going around the country these days. I'm all over Greece and the feeling I'm getting from all the people, whether they were at the polls in our last election, right, left or centre, is that they are asking for a big change in their lives. Some say yes, but the climate is not reminiscent of the climate of other times. The answer is They are already determined to make their anger a political act and decision with their vote. To make their anger a political act and decision with their vote.","Γυρνάω αυτές τις μέρες  όλη τη χώρα. Βρίσκομαι απ άκρη σ άκρη σε όλη την Ελλάδα και το συναίσθημα που διαπιστώνω σε όλους τους ανθρώπους, ανεξάρτητα αν βρέθηκαν στις κάλπες τις δικές μας στις προηγούμενες εκλογές, από δεξιούς, αριστερούς και κεντρώους, είναι ότι ζητάνε να έρθει μια μεγάλη αλλαγή στη ζωή τους. Λένε κάποιοι ναι, αλλά το κλίμα δεν θυμίζει το κλίμα άλλων εποχών. Η απάντηση είναι Είναι ήδη αποφασισμένος ο κόσμος να κάνει την οργή του πολιτική πράξη και απόφαση με την ψήφο του. Να κάνει το θυμό του πολιτική πράξη και απόφαση με την ψήφο του. ",political agenda,other,populism,-0.4,0.2,0.2,"[['greece', 'location', '1.0'], ['election', 'political party', '1.0']]"
3,"Because for 4 years now injustice has become the status quo in our country. For 4 years now, what the Mitsotakis government has managed to do is to widen inequalities, to make the rich and powerful richer, the poor poorer and the middle class poorer. Remember what he promised the Greek people four years ago. He promised better jobs, better wages, better pensions. He promised a staff state. He promised that he would support the middle class and what have we been living with for four years now; what is he leaving behind? Four years later, four years of unified government that took back the country that robbed the country of possibilities from the country that robbed possibilities from society. Middle class that he was supposedly going to support has come to live on food stamps. Coupons at the supermarket, coupons to pay for electricity, coupons to pay for gasoline.","Γιατί 4 χρόνια τώρα η αδικία έγινε καθεστώς στον τόπο μας. 4 χρόνια τώρα αυτά που κατάφερε η κυβέρνηση Μητσοτάκη ήταν να διευρύνει τις ανισότητες, να κάνει τους  πλούσιους και τους ισχυρούς πλουσιότερους, τους φτωχούς φτωχότερους και τους μεσαίους φτωχούς. Θυμηθείτε τι έταξε πριν από τέσσερα χρόνια στον ελληνικό λαό. Έταξε καλύτερες δουλειές, καλύτερους μισθός, καλύτερες συντάξεις. Έταξε επιτελικό κράτος. Έταξε ότι θα στηρίξει τη μεσαία τάξη και τι ζούμε τέσσερα χρόνια τώρα; τι αφήνει πίσω του; 4 χρόνια μετά, τέσσερα χρόνια ενιαίας διακυβέρνησης που πήγε πίσω τη χώρα που στέρησε δυνατότητες από τη χώρα που στέρησε δυνατότητες από την κοινωνία. Μεσαία τάξη που δήθεν θα υποστήριζε έχει καταντήσει να ζει με κουπόνια. Κουπόνια στο σουπερμάρκετ, κουπόνια, να πληρώσει το ρεύμα, κουπόνια, να πληρώσει τη βενζίνη. ",criticism,,inequality,-0.9,0.2,0.8,"[['mitsotakis government', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['middle class', 'group of people', '0.9'], ['food stamps', 'organization', '0.6'], ['supermarket', 'location', '0.6'], ['electricity', 'organization', '0.6'], ['gasoline', 'organization', '0.6'], ['country', 'country', '0.4] (note: ""country"" is referred to multiple times but does not just refer to a standalone entity', 'so it only has a lower probability)']]"
4,"The best jobs became unpaid overtime and the abolition of the eight-hour day. The best wages became income reductions. According to OECD data, Greece was the only European country that in the three years 19-21 had a reduction in nominal average wages and in 2022 had a reduction in real average wages as well. According to Eurostat data, a family with a household living on an income of up to 700 euros had seen a 40% reduction in purchasing power.","Οι καλύτερες δουλειές έγιναν απλήρωτες υπερωρίες και κατάργηση του οκταώρου. Οι καλύτεροι μισθοί έγιναν μειώσεις στο εισόδημα. Σύμφωνα με τα στοιχεία του ΟΟΣΑ, η Ελλάδα ήταν η μόνη ευρωπαϊκή χώρα που την τριετία 19-21 είχε μείωση του ονομαστικού μέσου μισθού και το 2022 είχε μείωση επίσης του πραγματικού μέσου μισθού. Σύμφωνα με τα στοιχεία της Eurostat, μια οικογένεια μ ένα νοικοκυριό που ζει με εισόδημα έως 700 ευρώ είχε δει, έχει δει μείωση της αγοραστικής δύναμης 40%. ",criticism,employment,wages,-0.8,0.0,0.0,"[['oecd', 'organization', '1.0'], ['greece', 'country', '1.0'], ['european', 'location', '0.5'], ['eurostat', 'organization', '1.0']]"
5," And addressing today the pensioners, the people, the workers, the workers, men and women, who are now living without dignity. And I say to them, where are those promises that you were given that they would keep the 13th pension that Syriza gave you? And then they were saying that they are crumbs where are the promises of retroactive payments after the decision of the Council of State? Seven billion euros less for pensioners from the Mitsotakis government and most importantly for those with pensions up to 700 euros with the reduction in purchasing power. 700 euros in the pocket is not enough for the second, not the third week of the month. What is there to pay for? Electricity bills, rents, what to pay."," Και απευθυνόμενος σήμερα στους συνταξιούχους, τους ανθρώπους, τους απόμαχους της εργασίας, άντρες και γυναίκες, που ζούνε πια χωρίς αξιοπρέπεια. Και τους λέω πού είναι εκείνες οι υποσχέσεις που σας έδιναν ότι θα διατηρήσουν την 13η σύνταξη που έδωσε ο ΣΥΡΙΖΑ; Και τότε λέγανε ότι είναι ψίχουλα που είναι οι υποσχέσεις για τα αναδρομικά μετά την απόφαση του Συμβουλίου Επικρατείας; Εφτά δισεκατομμύρια ευρώ λιγότερα στους συνταξιούχους από την κυβέρνηση Μητσοτάκη και το κυριότερο γι αυτούς που έχουν συντάξεις ως 700 ευρώ με τη μείωση της αγοραστικής δύναμης. Τα 700 ευρώ στην τσέπη δε φτάνουν ούτε για τη δεύτερη, όχι για την τρίτη εβδομάδα του μήνα. Τι να το πληρώσει κανείς; Τους λογαριασμούς του ρεύματος, τα ενοίκια, τι να πληρώσει;. ",criticism,pensioners,pensions,-1.0,0.0,0.8,"[['syriza', 'political party', '0.5'], ['council of state', 'organization', '0.5'], ['mitsotakis government', 'organization', '0.5'], ['greece', 'country', '1.0']]"
6,"So what the Greek people, the vast majority of them, the social majority, are asking for today is breath and dignity. We are not asking for much. We are asking for a life with dignity for Greeks, and that is what we will do. That is what we will do with your vote on 21 May.","Αυτό λοιπόν που ζητά σήμερα ελληνικός λαός, η μεγάλη του πλειοψηφία, η κοινωνική πλειοψηφία, είναι ανάσα και αξιοπρέπεια. Δεν ζητάμε πολλά. Μια ζωή με αξιοπρέπεια για τους Έλληνες και τις Ελληνίδες ζητάμε και αυτό θα κάνουμε πράξη. Αυτό θα κάνουμε πράξη με τη δική σας ψήφο στις 21 του Μαΐου. ",political agenda,elections,austerity,0.8,0.0,0.2,"[['greek people', 'group of people', '1.0'], ['greeks', 'group of people', '0.8'], ['21 may', 'date', '0.8']]"
7,"But the most shocking thing for the citizens of Trikala is that these four years, at a time when, as I said before, the third week of the month cannot come out and the income is being saved, is the widening of injustice and inequalities. Because at the same time as the average household feels the grip of bankruptcy tightening, fifteen large listed companies have a twenty-year record of profitability with over a billion each. And that didn't happen. It succeeded.","Το πιο συγκλονιστικό όμως πολίτες των Τρικάλων είναι ότι αυτά τα τέσσερα χρόνια, την ώρα που όπως είπα πιο πριν δεν μπορεί να βγει η τρίτη εβδομάδα του μήνα και σώνεται το εισόδημα είναι η διεύρυνση της αδικίας και των ανισοτήτων. Διότι την ίδια στιγμή που το μέσο νοικοκυριό αισθάνεται να του σφίγγει ο κλοιός της χρεοκοπίας, δεκαπέντε μεγάλες εισηγμένες στο χρηματιστήριο επιχειρήσεις έχουν ρεκόρ κερδοφορίας εικοσαετίας με πάνω από ένα δισεκατομμύριο η καθεμιά. Και αυτό δεν έτυχε. Πέτυχε. ",political agenda,economy,inequality,-0.8,0.1,0.1,"[['trikala', 'location', '1.0'], ['fifteen large listed companies', 'group of people', '1.0']]"
8,"This is the Mitsotakis plan. The bleeding of the middle and the many and the support of the few and the powerful. Because the greatest redistribution of income in the past four years has been through the maintenance of low wages, but mainly through the maintenance of high indirect taxation, while prices have gone uphill. Four and a half billion euros more in the public purse from VAT alone to give subsidies. But these subsidies, as you well know, do not go into the pockets of households. The subsidies go directly to pay the energy companies to keep the price of electricity high. The subsidies go directly to go to pay high petrol prices, to go to pay high supermarket prices.","Αυτό είναι το σχέδιο Μητσοτάκη. Η αφαίμαξη των μεσαίων και των πολλών και η στήριξη των λίγων και ισχυρών. Διότι η μεγαλύτερη αναδιανομή εισοδήματος έγινε την τετραετία που μας πέρασε μέσα από τη διατήρηση των χαμηλών μισθών, κυρίως όμως μέσα από τη διατήρηση υψηλής έμμεσης φορολογίας, ενώ οι τιμές έχουν πάρει την ανηφόρα. Τεσσεράμισι δισεκατομμύρια ευρώ περισσότερα στο δημόσιο ταμείο από τον ΦΠΑ μόνο για να δίνει επιδοτήσεις. Αλλά οι επιδοτήσεις αυτές πολύ καλά γνωρίζετε ότι δεν πάνε στην τσέπη των νοικοκυριών. Οι επιδοτήσεις πηγαίνουν απευθείας για να πληρώνουν τις ενεργειακές εταιρείες να κρατάνε ψηλά την τιμή του ρεύματος. Οι επιδοτήσεις πηγαίνουν απευθείας για να πηγαίνουν να πληρώνουμε ψηλά τη βενζίνη, να πηγαίνουμε να πληρώνουμε ψηλά τις τιμές σουπερμάρκετ. ",criticism,economy,other,-0.85,0.8,0.8,"[['mitsotakis', 'person', '1.0']]"
9,"Mitsotakis' Greece is one country. It has become a country with Bulgarian salaries and British prices. That is the reality. We have the lowest per capita income in Europe, but the highest prices in Europe. The highest price of electricity, the highest price of petrol.","Η Ελλάδα του Μητσοτάκη είναι μια χώρα. Κατάντησε να είναι μια χώρα που έχει μισθούς Βουλγαρίας και τιμές Βρετανίας. Αυτή είναι η πραγματικότητα. Έχουμε το χαμηλότερο κατά κεφαλήν εισόδημα στην Ευρώπη, αλλά τις υψηλότερες τιμές στην Ευρώπη. Την υψηλότερη τιμή του ρεύματος, την υψηλότερη τιμή της βενζίνης. ",criticism,economy,other,-0.75,0.2,0.5,[]
10,"So we are addressing today not only progressive citizens, but all citizens, all Greeks, and we are telling them that there is a way to protect income. Is there a way to deal with the tide of inexactitude? Is there a way to get out of the crisis we are in today, by supporting not only the weak but also the middle class? Because this way has to do with the plan that we have presented to Greek society, to the Greek people. The contract of change, as we said in its 11 articles.","Εμείς λοιπόν απευθυνόμαστε σήμερα όχι μονάχα στους προοδευτικούς πολίτες, αλλά σε όλους τους πολίτες, σε όλες τις Ελληνίδες και τους Έλληνες και τους λέμε ότι υπάρχει τρόπος να προστατευτεί το εισόδημα. Υπάρχει τρόπος να αντιμετωπίσουμε τη λαίλαπα της ακρίβειας; Υπάρχει τρόπος να βγούμε από την κρίση που βρισκόμαστε σήμερα, στηρίζοντας όχι μόνο τους αδύναμους, αλλά και τη μεσαία τάξη; Γιατί ο τρόπος αυτός έχει να κάνει με το σχέδιο που καταθέσαμε στην ελληνική κοινωνία, στον ελληνικό λαό. Το συμβόλαιο αλλαγής, όπως το είπαμε με τα 11 άρθρα του. ",political agenda,economy,economic crisis,0.1,0.2,0.2,"[['progressive citizens', 'group of people', '0.60'], ['greeks', 'group of people', '0.60'], ['greek society', 'group of people', '0.60'], ['greek people', 'group of people', '0.60'], ['middle class', 'group of people', '0.60'], ['contract of change', 'organization', '0.60']]"
