id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Volos, thank you for this great gathering, for this warm welcome.  Your presence here today in the port of Volos is a message, a decisive message, the most irrefutable message. Next Sunday it will be the people who will celebrate, not the cartels. The people will be celebrating and it will be a victory for democracy and not for the powerful. And I want to thank you from the bottom of my heart for your presence today, because Volos, Magnesia is giving us another great, another impressive rally, which shows the way to victory next Sunday. Because we have no choice but to win. It is a matter of life. It is a question of dignity. It is a matter of our children's future.","Πολίτες του Βόλου σας ευχαριστώ γι' αυτή τη μεγάλη συγκέντρωση, γι’ αυτή τη θερμή υποδοχή.  Η σημερινή σας παρουσία εδώ στο λιμάνι του Βόλου είναι ένα μήνυμα, ένα μήνυμα αποφασιστικό, το πιο αδιάψευστο μήνυμα. Την άλλη Κυριακή θα πανηγυρίζει ο λαός και όχι τα καρτέλ. Θα πανηγυρίζει ο λαός και θα είναι νίκη της δημοκρατίας και όχι των ισχυρών. Και θέλω να σας ευχαριστήσω από καρδιάς για τη σημερινή σας παρουσία, διότι ο Βόλος, η Μαγνησία μας δίνει άλλη μια μεγάλη, άλλη μια εντυπωσιακή συγκέντρωση, που δείχνει τον δρόμο προς τη νίκη την άλλη Κυριακή. Γιατί δεν έχουμε άλλη επιλογή από τη νίκη. Είναι ζήτημα ζωής. Είναι ζήτημα αξιοπρέπειας. Είναι ζήτημα που αφορά το μέλλον των παιδιών μας. ",political agenda,elections,election spending,0.6,0.0,0.6,"[['volos', 'location', '1.0'], ['sunday', 'date', '1.0'], ['volos', 'organization', '1.0'], ['magnesia', 'location', '1.0']]"
2,"Friends, citizens of Volos, our motto is justice everywhere. But this is our vision and our plan at the same time. And here in Volos one understands what the struggle for justice can mean. Volos is identified and Magnesia for the struggles for social justice. The first Labour Centre in the country was founded here in 1908. It was here that the historic tobacco workers' strike took place in 1909, which, despite the violent and bloody intervention of the gendarmerie, was victorious. It was here that the workers achieved better wages and shorter working hours through their struggles. In Magnesia, too, pages of heroism and sacrifice were written by the National Resistance. Again today here in Magnesia we will lead the struggle to bring justice back to our land.","Φίλες και φίλοι, πολίτες του Βόλου, το σύνθημά μας είναι δικαιοσύνη παντού. Αλλά αυτό είναι το όραμα και το σχέδιό μας ταυτόχρονα. Και εδώ στον Βόλο καταλαβαίνει κανείς τι μπορεί να σημαίνει αγώνας για δικαιοσύνη. Ο Βόλος είναι ταυτισμένος και η Μαγνησία για τους αγώνες για κοινωνική δικαιοσύνη. Εδώ ιδρύθηκε το 1908 το πρώτο Εργατικό Κέντρο στη χώρα. Εδώ έγινε το 1909 η ιστορική απεργία των καπνεργατών που, παρά τη βίαιη και αιματηρή επέμβαση της χωροφυλακής, υπήρξε νικηφόρα. Εδώ οι εργάτες πέτυχαν με τους αγώνες τους καλύτερα μεροκάματα και λιγότερες ώρες δουλειάς. Στη Μαγνησία επίσης γράφτηκαν σελίδες ηρωισμού και θυσίας από την Εθνική Αντίσταση. Και πάλι σήμερα εδώ η Μαγνησία θα πρωτοστατήσει στον αγώνα για να ξανάρθει η δικαιοσύνη στον τόπο μας. ",political agenda,social state,other,0.5,0.0,0.0,"[['volos', 'location', '1.0'], ['magnesia', 'location', '1.0'], ['labour centre', 'organization', '0.5'], ['national resistance', 'group of people', '1.0']]"
3,"And your presence here today proves it. On May 21, Magnesia will once again put SYRIZA-Progressive Alliance first at the polls and pave the way for the great victory. It will pave the way for change. But I want to tell you that what we keep saying these days is that this May 21 vote is a vote for our lives. And this slogan, this slogan for change, is not a slogan that we say to rehash the slogans of yesterday. It is not a slogan that is about yesterday and the past. But it is a slogan that is about what is in the hearts and souls of the citizens of this country.","Και η σημερινή σας παρουσία το αποδεικνύει. Στις 21 του Μάη η Μαγνησία θα βγάλει για άλλη μια φορά, ξανά πρώτο στις κάλπες τον ΣΥΡΙΖΑ-Προοδευτική Συμμαχία και θα ανοίξει τον δρόμο για τη μεγάλη νίκη. Θα ανοίξει τον δρόμο για την αλλαγή. Θέλω όμως να σας πω ότι αυτό που τούτες τις μέρες λέμε διαρκώς, ότι αυτή η ψήφος της 21ης του Μάη είναι ψήφος για τη ζωή μας. Και αυτό το σύνθημα, το σύνθημα για την αλλαγή, δεν είναι ένα σύνθημα το οποίο το λέμε για να μηρυκάσουμε τα συνθήματα του χθες. Δεν είναι σύνθημα που αφορά το χθες και το παρελθόν. Αλλά είναι ένα σύνθημα το οποίο αφορά αυτό που έχουν στην ψυχή τους και στην καρδιά τους οι πολίτες αυτού του τόπου. ",political agenda,elections,election spending,0.4,0.2,0.0,"[['may 21', 'date', 'high'], ['magnesia', 'location', 'medium'], ['syriza-progressive alliance', 'political party', 'high'], ['yesterday', 'date', 'low']]"
4,"Because what else do people want today, regardless of whether they voted for Syriza, or ND, even in the past? Regardless of whether they are left-wing, centrist, or even right-wing. What they are asking for is a big change in their lives. Change is what today's young people who work unpaid twelve-hour days want. The shopkeeper who's being hounded by the collection agencies. The retiree who struggles to give his grandchildren an allowance. The working mother who, with two trips to the supermarket to get the necessities for her child, sees her month's paycheck slip away.","Διότι τι άλλο θέλουν σήμερα οι πολίτες, ανεξάρτητα από το εάν ψήφισαν το ΣΥΡΙΖΑ, ή τη ΝΔ, ακόμα, στο παρελθόν; Ανεξάρτητα από το εάν είναι Αριστεροί, Κεντρώοι, ή και Δεξιοί. Αυτό που ζητάνε είναι μια μεγάλη αλλαγή στη ζωή τους. Αλλαγή θέλει σήμερα ο νέος που δουλεύει απλήρωτα δωδεκάωρα. Ο καταστηματάρχης που τον κυνηγάνε οι εισπρακτικές εταιρείες. Ο συνταξιούχος που πασχίζει να δώσει ένα χαρτζιλίκι στα εγγόνια του. Η εργαζόμενη μητέρα, που με δυο επισκέψεις στο σούπερ μάρκετ για να πάρει τα απαραίτητα για το παιδί της, βλέπει να φεύγει ο μισθός του μήνα.",political agenda,economy,cost of living,0.375,0.0,0.0,"[['syriza', 'organization', '0.8'], ['nd', 'organization', '0.8']]"
5,"The doctors and nurses who sacrificially keep our hospitals standing. The students who are currently studying to take the national exams, but who are afraid of falling into the grip of the minimum entrance requirements.","Οι γιατροί και οι νοσηλευτές που κρατάνε με αυτοθυσία όρθια τα νοσοκομεία μας. Οι μαθητές και οι μαθήτριες που τούτες τις ώρες διαβάζουν για να δώσουν τις εξετάσεις τις πανελλαδικές, αλλά τρέμουν μην πέσουν στη μέγγενη της ελάχιστης βάσης εισαγωγής. ",political agenda,health,higher education,,0.0,0.0,"[['doctors', 'person', '0.85'], ['nurses', 'group of people', '0.8'], ['students', 'group of people', '0.8'], ['national exams', 'event', '0.6'], ['minimum entrance requirements', 'event', '0.6']]"
6,"The farmers, the stockbreeders who are anxious whether they will be able to continue producing on their land, or whether they will leave the countryside.","Οι αγρότες, οι κτηνοτρόφοι που αγωνιούν εάν θα μπορέσουν να συνεχίσουν να παράγουν στη γη τους, ή θα φύγουν από την ύπαιθρο. ",political agenda,agricultural policy,other,-0.5,0.0,0.0,"[['the farmers', 'group of people', '0.7', ''], ['the stockbreeders', 'group of people', '0.7']]"
7,"So that's the feeling that everybody has. And especially, let's not forget this, 700,000 households who are worried that they might lose their homes in the auctions the next day.
So what are these people asking for? These people are asking for their lives to be changed. These people are asking for injustice to stop being the status quo in this country. This world is asking to have a chance to breathe, to live with dignity.","Αυτό είναι το συναίσθημα λοιπόν που έχουν όλοι. Και κυρίως, μην το ξεχάσουμε και αυτό, 700.000 νοικοκυριά που αγωνιούν ότι μπορεί να χάσουν τα σπίτια τους στους πλειστηριασμούς την επόμενη μέρα. Τι ζητάει λοιπόν αυτός ο κόσμος; Αυτός ο κόσμος ζητάει να αλλάξει η ζωή του. Αυτός ο κόσμος ζητάει να σταματήσει να είναι καθεστώς σε αυτό τον τόπο η αδικία. Αυτός ο κόσμος ζητάει να έχει μια ευκαιρία να ανασάνει, να ζήσει με αξιοπρέπεια. ",political agenda,housing,foreclosures,0.85,0.1,0.2,"[['700', '000 households', 'group of people', '0.7'], ['country', 'country', '0.5.'], ['these people', 'group of people', '0.7']]"
8,"So we do not repeat the slogans of the past. But we want to put into practice the feeling, the desire, the expectation of today for thousands of Greeks, for the great majority of Greek citizens. And I am sure that these feelings and aspirations that I have described to you, as the days go by, will be translated into a political decision. A decision to vote.","Δεν μηρυκάζουμε λοιπόν τα συνθήματα του παρελθόντος. Αλλά θέλουμε να κάνουμε πράξη το συναίσθημα, την επιθυμία, την προσδοκία του σήμερα για χιλιάδες Έλληνες και Ελληνίδες, για τη μεγάλη πλειοψηφία των Ελλήνων πολιτών. Και είμαι βέβαιος ότι αυτά τα συναισθήματα και οι προσδοκίες που σας περιέγραψα, όσο περνάνε οι μέρες, μεταφράζονται σε απόφαση πολιτική. Σε απόφαση ψήφου.",political agenda,elections,abstention,0.6,0.0,0.0,"[['greeks', 'group of people', '0.8'], ['greek citizens', 'group of people', '0.8'], ['political decision', 'organization', '0.6'], ['vote', 'organization', '0.6']]"
9,"This is as far as the vast majority of our people say. This is the end of arrogance, this is the end of indifference, this is the end of obscenity, this is the end of family rule, this is the end of the parastate, this is the end of injustice.
With your vote, the worst right-wing since the post-war era will be gone. It's up to you. It is up to the Greek people next Sunday to finally end not only, not just the right, but a regime. Because the regime that has ruled us for four years is a regime that has a very strong element of family rule. And this regime, I believe, is not tolerated even by the traditional South-West voters. The honest conservative voters.","Έως εδώ λέει η μεγάλη πλειοψηφία του λαού μας. Ως εδώ με την αλαζονεία, ως εδώ με την αδιαφορία, ως εδώ με την αισχροκέρδεια, ως εδώ με την οικογενειοκρατία, ως εδώ με το παρακράτος, ως εδώ με την αδικία.Εσείς γερά με την ψήφο σας θα φύγει η χειρότερη δεξιά από τη μεταπολίτευση και μετά. Είναι στο χέρι σας. Είναι στο χέρι του ελληνικού λαού την άλλη Κυριακή να τελειώσουμε οριστικά όχι μόνο, όχι απλά με τη Δεξιά, αλλά με ένα καθεστώς. Γιατί αυτό που μας κυβερνά τέσσερα χρόνια είναι ένα καθεστώς που έχει πολύ έντονο το στοιχείο της οικογενειοκρατίας. Και αυτό το καθεστώς, πιστεύω, δεν το ανέχονται ακόμα και οι ψηφοφόροι οι παραδοσιακοί της ΝΔ. Οι έντιμοι συντηρητικοί ψηφοφόροι. ",criticism,elections,other,-0.65,0.9,0.7,"[['greek people', 'group of people', '1.0'], ['right-wing', 'political party', '0.75'], ['post-war era', 'date', '0.5'], ['greek', 'country', '0.7'], ['sunday', 'date', '0.5'], ['south-west', 'location', '0.7']]"
10,"So we say it's time to bring that change. I heard just before I came to talk to you on the news bulletin Mr Mitsotakis speaking today to some of his few friends in the centre of Kypseli, in Athens. And I heard him say ""we have a big current"". And I wonder how it is that this big current is only seen by Mr. Mitsotakis' courtiers and Mr. Mitsotakis himself and not seen by people in their daily lives? Where is this great current? Did none of you see it in the squares, in the workplaces, in the villages that you go to here in the Region. Did no one see it where the young people are in the places of entertainment? Where did you see this great stream? The only big, very big current is the PPC bills that come to every house, every household and have the stamp of Mr Mitsotakis.","Λέμε λοιπόν ότι ήρθε η ώρα να φέρουμε αυτή την αλλαγή. Άκουσα λίγο πριν έρθω να σας μιλήσω στο δελτίο των ειδήσεων τον κ. Μητσοτάκη να μιλάει σήμερα σε κάποιους λιγοστούς φίλους του στο κέντρο της Κυψέλης, στην Αθήνα. Και τον άκουσα να λέει “έχουμε μεγάλο ρεύμα”. Και αναρωτιέμαι αυτό το μεγάλο ρεύμα πώς γίνεται και το βλέπουν μονάχα οι αυλοκόλακες του κ. Μητσοτάκη και ο ίδιος ο κ. Μητσοτάκης και δεν το βλέπουν οι άνθρωποι στην καθημερινή τους ζωή; Πού είναι αυτό το μεγάλο ρεύμα; Μην το είδε κανένας από εσάς στις πλατείες, στους χώρους δουλειάς, στα χωριά που πηγαίνετε εδώ στην Περιφέρεια. Μην το είδε κανείς εκεί που οι νέες και οι νέοι βρίσκονται στους χώρους της διασκέδασης; Πού το είδε αυτό το μεγάλο ρεύμα; Το μόνο ρεύμα μεγάλο, πολύ μεγάλο είναι οι λογαριασμοί της ΔΕΗ που έρχονται σε κάθε σπίτι, σε κάθε  νοικοκυριό και έχουν την σφραγίδα του κ. Μητσοτάκη. ",criticism,elections,other,-0.6,0.0,0.0,"[['mr mitsotakis', 'person', '0.8'], ['kypseli', 'location', '0.7'], ['athens', 'location', '0.7'], ['ppc', 'organization', '0.6']]"
