id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Agrinio. Today, with your gathering today, Aitoloakarnania gives a definitive answer. On 21 May the people will win, on 21 May democracy will win. Whoever. Anyone who had doubts about what is the real victory performance in the coming elections, has only to see what is happening here today, in Democracy Square, in the heart of Agrinio. Today, from here in Agrinio, with your magnificent gathering today, we begin the seven-day battle for the final victory, for the great victory of our people on May 21. From Democracy Square, here in Agrinio, democracy is fighting back, to bring down the vicious regime that governs us, to get rid of the worst right-wing government since the post-communist period, to put society back on its feet, to bring back democracy in power and justice everywhere, in society and in our country. And the message that you are sending today, the message that Agrinio is sending today is one: Mr Mitsotakis, next Sunday you are finally leaving the Maximou building. Next Sunday, change is coming. Next Sunday, with the victory of our people on 21, we win and on 22 we form a government of progressive cooperation.","Πολίτες του Αγρινίου. Σήμερα με τη σημερινή σας συγκέντρωση, η Αιτωλοακαρνανία δίνει απάντηση οριστική. Στις 21 του Μάη θα νικήσει ο λαός, στις 21 του Μάη θα νικήσει η δημοκρατία. Όποιος. Όποιος είχε αμφιβολία για το ποια είναι η πραγματική παράσταση νίκης στις εκλογές που έρχονται, δεν έχει παρά να δει τι ακριβώς συμβαίνει σήμερα εδώ, στην Πλατεία Δημοκρατίας, στην καρδιά του Αγρινίου. Σήμερα από δω από το Αγρίνιο, με τη μεγαλειώδη σημερινή σας συγκέντρωση, ξεκινάμε τη μάχη των 7 ημερών για την τελική νίκη, για τη μεγάλη νίκη του λαού μας στις 21 του Μάη. Από τη Πλατεία Δημοκρατίας, εδώ στο Αγρίνιο, η δημοκρατία αντεπιτίθεται, για να ρίξουμε το φαύλο καθεστώς που μας κυβερνάει, για να φύγει η χειρότερη Δεξιά κυβέρνηση από τη Μεταπολίτευση και μετά, για να ξαναστήσουμε την κοινωνία στα πόδια της, για να ξαναφέρουμε τη δημοκρατία στην εξουσία και τη δικαιοσύνη παντού, στην κοινωνία και στη χώρα μας. Και το μήνυμα το μήνυμα που στέλνετε σήμερα το μήνυμα που στέλνει το Αγρίνιο σήμερα είναι ένα: κύριε Μητσοτάκη, την άλλη Κυριακή εγκαταλείπετε οριστικά το Μέγαρο Μαξίμου. Την άλλη Κυριακή έρχεται η αλλαγή. Την άλλη Κυριακή με τη νίκη του λαού μας στις 21 κερδίζουμε και στις 22 σχηματίζουμε κυβέρνηση προοδευτικής συνεργασίας. ",political agenda,elections,election spending,0.8,0.5,0.5,"[['agrinio', 'location', '1.0'], ['aitoloakarnania', 'location', '1.0'], ['may 21', 'date', '1.0'], ['democracy square', 'location', '1.0'], ['democracy', 'organization', '1.0'], ['agrinio', 'location', '1.0'], ['may 21', 'date', '1.0'], ['democracy square', 'location', '1.0'], ['may 21', 'date', '1.0'], ['mitsotakis', 'person', '1.0'], ['maximou building', 'location', '1.0'], ['22', 'date', '1.0'], ['progressive cooperation', 'organization', '1.0']]"
2,"And we begin the hard work, the hard work of bringing change and justice into people's lives. Because Greece and the Greeks do not deserve 4 years of arrogance, but 4 years of indifference, 4 years of extreme corruption, 4 years of family rule, 4 years of obscenity, 4 years of generalized injustice. And this citizens of Agrinio are becoming every day conscious of the majority of our people, who no longer want to live under siege by worry, insecurity and anxiety. And now there is no longer any doubt about who cares and who is indifferent about who works for the public interest and who works for the interests of the powerful.","Και ξεκινάμε το δύσκολο έργο, το δύσκολο έργο να φέρουμε την αλλαγή και τη δικαιοσύνη στις ζωές των ανθρώπων. Γιατί δεν αξίζουν στην Ελλάδα και στους Έλληνες, αλλά 4 χρόνια αλαζονείας, αλλά 4 χρόνια αδιαφορίας, άλλα 4 χρόνια ακραίας διαφθοράς, άλλα 4 χρόνια οικογενειοκρατίας, άλλα 4 χρόνια αισχροκέρδειας, άλλα 4 χρόνια γενικευμένης αδικίας. Και αυτό πολίτες του Αγρινίου γίνεται κάθε μέρα συνείδηση της πλειοψηφίας του λαού μας, που δεν θέλει πια να ζει έτσι πολιορκημένος από την ανησυχία, την ανασφάλεια, την αγωνία. Και τώρα πια δεν υπάρχει αμφιβολία για το ποιος νοιάζεται και ποιος αδιαφορεί για το ποιος δουλεύει για το δημόσιο συμφέρον και ποιος δουλεύει για το συμφέρον των ισχυρών. ",criticism,corruption,corruption,-0.5,0.2,0.0,"[['greece', 'country', '1.0'], ['greeks', 'group of people', '1.0'], ['agrinio', 'location', '1.0']]"
3,"It has been proven for four years now that Mr Mitsotakis does not care about the many but only about the few and the powerful. 8 years ago they handed over to SYRIZA an economy in tatters, a society on its knees, a country devastated, plunged into bankruptcy, with troikas and overseers and they received, after hard work, a country out of the memoranda, in the markets with 12 quarters of growth, with the public debt regulated and with 37 billion in the public coffers. Why? So that Mr Mitsotakis can finally eat from the ready-made, so that he can squander what we have achieved with enormous sacrifices and difficulties on direct assignments to day labourers and subsidies for the obscenity of the powerful.","Ο κύριος Μητσοτάκης πια είναι αποδεδειγμένο, εδώ και 4 χρόνια, δεν νοιάζεται για τους πολλούς παρά μονάχα για τους λίγους και τους ισχυρούς. Παρέδωσαν πριν από 8 χρόνια στο ΣΥΡΙΖΑ μια οικονομία διαλυμένη, μια κοινωνία γονατισμένη, μια χώρα ρημαγμένη, βυθισμένη στη χρεοκοπία, με τρόικες και επιτηρητές και παρέλαβαν, ύστερα από σκληρή δουλειά, μια χώρα έξω από τα μνημόνια, μέσα στις αγορές με 12 τρίμηνα ανάπτυξης με ρυθμισμένο το δημόσιο χρέος και με 37 δισεκατομμύρια στα δημόσια ταμεία. Γιατί; Για να τρώει τελικά από τα έτοιμα ο κύριος Μητσοτάκης, για να σπαταλάει όσα μαζί με τεράστιες θυσίες και δυσκολίες κατακτήσαμε να τα σπαταλάει σε απευθείας ανάθεση σε ημέτερους και σε επιδοτήσεις της αισχροκέρδειας των ισχυρών. ",criticism,other,austerity,-0.9,0.9,0.9,[]
4,"And what he is really delivering today, in a few days when he will be forced to hand over the Maximou mansion, he is really delivering Parallai, a four years later, where he found everything laid out and ready. 50 billion more in public debt, 40 billion more in private debt and half of Greece, 4,250,000 Greeks with bad debts to the tax authorities, the banks, the social security funds. And 700,000 households worrying if the next day they will lose their house at auction, since Mr Mitsotakis has improvised by passing their mortgaged properties to the funds.","Και τι παραδίδει αλήθεια σήμερα σε λίγες μέρες που θα αναγκαστεί να παραδώσει το μέγαρο Μαξίμου, την Παράλλη την παραδίδει αλήθεια, μια τετραετία μετά, όπου τα βρήκε όλα στρωμένα και έτοιμα. 50 δισεκατομμύρια μεγαλύτερο το δημόσιο χρέος, 40 δισεκατομμύρια, μεγαλύτερο το ιδιωτικό χρέος και τη μισή Ελλάδα, 4.250.000 Έλληνες με μη εξυπηρετούμενες οφειλές στην εφορία στις τράπεζες, στα ασφαλιστικά ταμεία. Και 700.000 νοικοκυριά να αγωνιούν αν την επόμενη μέρα θα χάσουν το σπίτι τους στον πλειστηριασμό, αφού ο κύριος Μητσοτάκης έχει αυτοσχέδιο περνώντας τα ενυπόθηκα ακίνητα τους στα funds. ",criticism,debt,mortgages,-0.9,,0.5,"[['maximou mansion', 'location', '0.8'], ['parallai', 'location', '0.6'], ['greece', 'country', '0.9'], ['tax authorities', 'organization', '0.6'], ['banks', 'organization', '0.7'], ['social security funds', 'organization', '0.7'], ['mr mitsotakis', 'person', '0.8']]"
5,"What else does it deliver? It delivers us a broken National Health System with a negative record of 37,000 of our fellow human beings who were unjustly lost in the pandemic. A negative record that ranks our country worse than even Bolsonaro's Brazil, in proportion to our population. Why? Why instead of strengthening? Our hospitals with doctors and nurses, instead of building intensive care units, he told us that it is the same for patients whether they are in or out of intensive care units, and I am well aware of the heavy price paid by Agrinio, Aitoloakarnania, here with your hospital being among the worst indicators of the abandonment of indifference by the Mitsotakis government.","Τι άλλο μας παραδίδει; Μας παραδίδει ένα διαλυμένο Εθνικό Σύστημα Υγείας με αρνητικό ρεκόρ 37.000 συνανθρώπων μας που χάσαμε άδικα στην πανδημία. Ένα αρνητικό ρεκόρ που κατατάσσει τη χώρα μας χειρότερη ακόμα και από τη Βραζιλία του Mπολσονάρο, αναλογικά με τον πληθυσμό μας. Γιατί; Γιατί αντί να ενισχύσει; Τα νοσοκομεία μας με γιατρούς και νοσηλευτές, αντί να φτιάξει μονάδες εντατικής θεραπείας, μας έλεγε ότι είναι το ίδιο για τους ασθενείς αν είναι εντός ή εκτός των μονάδων εντατικής θεραπείας και γνωρίζω καλά πόσο βαρύ τίμημα πλήρωσε το Αγρίνιο, η Αιτωλοακαρνανία, εδώ με το νοσοκομείο σας να είναι στους χειρότερους δείκτες της εγκατάλειψης της αδιαφορίας από την κυβέρνηση Μητσοτάκη.",criticism,other,other,-0.8,0.0,0.0,"[['national health system', 'organization', '1.0'], [""bolsonaro's brazil"", 'country', '1.0'], ['agrinio', 'location', '1.0'], ['aitoloakarnania', 'location', '1.0'], ['mitsotakis government', 'political party', '1.0']]"
6,It also delivers us. It also delivers us an education with tens of thousands of children out of the universities so that colleges and private individuals can plough their profits on the basis of the minimum enrolment that Mr Mitsotakis has created so that every year children are cut off from the people's families and the schools in the regional universities are closed and wither away. He left us. Schools without permanent teachers with 30% being substitutes and universities without university professors but with university police officers.,"Μας παραδίδει επίσης. Μας παραδίδει επίσης μια παιδεία με δεκάδες χιλιάδες παιδιά έξω από τα πανεπιστήμια για να μπορούν να αυγατίζουν τα κέρδη τους, τα κολέγια και ιδιώτες με τη βάση την ελάχιστη εισαγωγής που έφτιαξε ο κύριος Μητσοτάκης ώστε κάθε χρόνο να κόβονται τα παιδιά από τις λαϊκές οικογένειες και να κλείνουνε να μαραζώνουν οι σχολές στα περιφερειακά πανεπιστήμια. Μας άφησε. Σχολεία χωρίς μόνιμους καθηγητές με το 30% να είναι αναπληρωτές και πανεπιστήμια χωρίς πανεπιστημιακούς καθηγητές, αλλά με πανεπιστημιακούς αστυνόμους. ",criticism,education,higher education,-0.8,0.0,0.0,"[['mr mitsotakis', 'person', '1.0'], ['universities', 'organization', '0.5'], ['colleges', 'organization', '0.5'], ['private individuals', 'group of people', '0.5'], ['schools', 'organization', '1.0'], ['regional universities', 'organization', '0.5'], ['university police officers', 'organization', '0.5']]"
7,"It also gives us, what else, the labour jungle of unpaid overtime and the abolition of the eight-hour working day for workers, the constant reduction of the average wage and the purchasing power of households. The day before yesterday, the Organisation for Economic Cooperation and Development produced some indicators, irrefutable indicators relating to Greece. Mr Mitsotakis refuted them too. He only agrees with what the 108 briefing, which has recently become 107, only agrees with what is said on the channels. The parrots of the government propaganda. But, however, international organizations and their pointers tell the truth. So what did the OASA tell us the other day? That Greece was the only European country that in the three years 2019 - 2021 had a decrease in nominal wages, in the average nominal wage, and in 2022 had a decrease in the average real wage of 7.5%.","Μας παραδίδει επίσης, τι άλλο, την εργασιακή ζούγκλα των απλήρωτων υπερωριών και της κατάργησης του οκταώρου για τους εργαζόμενους, τη διαρκή μείωση του μέσου μισθού και της αγοραστικής δύναμης των νοικοκυριών. Προχθές ο Οργανισμός Οικονομικής Συνεργασίας και Ανάπτυξης έβγαλε κάποιους δείκτες, αδιάψευστους δείκτες που αφορούν την Ελλάδα. Τους διέψευσε και αυτούς ο κύριος Μητσοτάκης. Μόνο με τα όσα λέει η ενημέρωση 108, που εσχάτως έγινε 107, συμφωνεί μονάχα με όσα λένε στα κανάλια. Οι παπαγάλοι προπαγανδιστές της κυβερνητικής προπαγάνδας. Όμως, όμως, οι διεθνείς οργανισμοί και οι δείχτες τους λένε την αλήθεια. Τι μας είπε Λοιπόν ο ΟΑΣΑ προχθές; Οτι η Ελλάδα ήταν η μόνη ευρωπαϊκή χώρα που την τριετία 2019 - 2021 είχε μείωση του ονομαστικού μισθού, του μέσου ονομαστικού μισθού, και το 2022 είχε μείωση και του μέσου πραγματικού μισθού κατά 7,5%. ",criticism,employment,other,-1.0,0.0,0.0,"[['labour', 'organization', 'organization', 'economic cooperation and development', 'greece', 'mitsotakis', '108 briefing', 'government', 'oasa', 'european country']]"
8,"What does this mean, citizens of Agrinio? It means that where we were promised better jobs and better wages and support for the middle class, the middle class has been reduced to living on vouchers, needing vouchers to go to the supermarket, to pay for electricity, to put petrol in petrol stations. But what else were we being told, remember 19? They promised better days to the defenders of work, to the pensioners. And what happened to all those years? According to what Eurostat says, pensioners with pensions of up to €700 a month have seen their purchasing power fall by 40%. The pension they were receiving in 19 is 40% less in terms of its purchasing value. The pensioner today does not have the dignity of being able to give a gift to his grandchild. And what else have those who have the audacity to wag their finger at us done to pensioners? When they told us that we supposedly betrayed Macedonia in order to save pensions, when they told us these miserable things, those who now went hand in hand and honoured the agreement that we made while serving our patriotic duty. So those who then told us that the 13th pension was a pittance, abolished the 13th pension and even took away retroactive payments from pensioners, despite the decision of the Council of State. 7 billion in total was taken away from pensioners in this four-year period.","Τι σημαίνει αυτό, πολίτες του Αγρινίου; Σημαίνει ότι εκεί που μας έταζαν καλύτερες δουλειές και καλύτερους μισθούς και στήριξη στη μεσαία τάξη κατάντησαν τη μεσαία τάξη να ζει με κουπόνια, να χρειάζεται κουπόνια για να πάει στο σούπερ μάρκετ, να πληρώσει το ρεύμα, να βάλει βενζίνη στα πρατήρια της βενζίνης. Τι άλλο μας έταζαν, όμως, θυμάστε το 19; Έταξαν καλύτερες μέρες τους απόμαχους της δουλειάς, στους συνταξιούχους. Και τι απέγινε τελικά όλα αυτά τα χρόνια; Σύμφωνα με όσα λέει η Eurostat, συνταξιούχοι με σύνταξη ως 700 € μηνιαίως είδαν την αγοραστική τους δύναμη να μειώνεται κατά 40%. Η σύνταξη που έπαιρναν το 19 είναι 40% λιγότερη σε ό,τι αφορά την αγοραστική της αξία. Ο συνταξιούχος σήμερα δεν έχει την αξιοπρέπεια να μπορεί να κάνει ένα δώρο στο εγγόνι του. Και τι άλλο έκαναν στους συνταξιούχους αυτοί που έχουν το θράσος να μας κουνούν το δάχτυλο; Όταν μας λέγανε ότι εμείς προδώσαμε δήθεν τη Μακεδονία για να σώσουμε τις συντάξεις, όταν μας λέγανε αυτές τις αθλιότητες, αυτοί που τώρα πήγαν χέρι χέρι και τήρησαν και τιμήσανε τη συμφωνία που εμείς κάναμε υπηρετώντας το πατριωτικό μας καθήκον. Αυτοί λοιπόν, που τότε μας έλεγαν ότι είναι ψίχουλα η 13η σύνταξη, την κατήργησαν 13η σύνταξη και έκοψαν στέρησαν ακόμα και τα αναδρομικά από τους συνταξιούχους, παρά την απόφαση του Συμβουλίου της Επικρατείας. 7 δισεκατομμύρια στο σύνολο στέρησαν από τους συνταξιούχους αυτή την τετραετία.",criticism,other,pensions,-0.8,0.2,0.7,"[['agrinio', 'location', '1.0'], ['eurostat', 'organization', '1.0'], ['macedonia', 'country', '0.5'], ['council of state', 'organization', '1.0']]"
9,"What else? Mr Mitsotakis is handing us a booty state with the blue grasshoppers occupying positions in all the public utilities and giving themselves bonuses with appointments outside the AESEP, with a doubling of the number of temporary employees and with complete disregard and indifference even for the security of the citizen. With the most indisputable proof of this being Tempe, an unspeakable tragedy. The result of the political immorality of a regime that let the railways fall apart. And a few days before the accident, it had no shame. The minister in charge shouting shame in parliament when SYRIZA MPs told him that he had left the railways in tatters and that there were risks to passenger safety. And today, today, this minister, the minister of Tempi, is again a candidate of Mr Mitsotakis' choice, to be washed up in the pool of Siloam. But Mr Mitsotakis told us at the time. That it was a human error that the stationmaster was to blame for all this. Who really appointed this stationmaster with a party buffet? Unqualified, unqualified, unqualified, untrained? Who appointed him? And afterwards made him permanent.","Τι άλλο; Μας παραδίδει ο κύριος Μητσοτάκης ένα κράτος λάφυρο με τις γαλάζιες ακρίδες να καταλαμβάνουν θέσεις σε όλες τις ΔΕΚΟ και να δίνουν μπόνους στον εαυτό τους με διορισμούς εκτός ΑΣΕΠ, με διπλασιασμό των μετακλητών και με πλήρη απαξίωση και αδιαφορία ακόμα και για την ασφάλεια του πολίτη. Με πιο αδιαμφισβήτητη απόδειξη για αυτό τα Τέμπη, μια ανείπωτη τραγωδία. Αποτέλεσμα της πολιτικής ανηθικότητας ενός καθεστώτος που άφησε τους σιδηροδρόμους να διαλύονται. Και λίγες μέρες πριν το δυστύχημα δεν είχε ντροπή. Ο υπεύθυνος υπουργός να φωνάζει μέσα στη Βουλή ντροπή, όταν οι βουλευτές του ΣΥΡΙΖΑ του έλεγαν ότι έχει αφήσει το σιδηρόδρομο διαλυμένο και εγκυμονούνται κίνδυνοι για την ασφάλεια των επιβατών. Και σήμερα, σήμερα, αυτός ο υπουργός, ο υπουργός των Τεμπών, είναι ξανά υποψήφιος με επιλογή του κυρίου Μητσοτάκη, για να ξεπλυθεί στην κολυμβήθρα του Σιλωάμ. Μας είπε όμως ο κύριος Μητσοτάκης τότε. Ότι ήταν ένα ανθρώπινο λάθος που τα έκανε όλα αυτά ο σταθμάρχης έφταιγε. Ποιος αλήθεια τον διόρισε αυτό το σταθμάρχη με κομματικό ρουσφέτι; Χωρίς να έχει προσόντα, χωρίς να έχει προϋπηρεσία, ανεκπαίδευτο; Ποιος τον διόρισε; Και εκ των υστέρων τον μονιμοποίησε. ",criticism,other,other,-0.8,0.4,0.2,"[['mr mitsotakis', 'person', '1.0'], ['aesep', 'organization', '1.0'], ['tempe', 'location', '1.0'], ['syriza', 'political party', '1.0'], ['parliament', 'organization', '1.0'], ['siloam', 'location', '1.0']]"
10,"Friends and friends citizens of Agrinio. This is the image of indifference and arrogance that the Mitsotakis government and Mr Mitsotakis himself have shown throughout the four years. He knew nothing and everything was someone else's fault. He knew nothing himself. He needs more proof. To realize that we can't go on with this understatement any longer. Citizens of Agrinio, citizens of Aitoloakarnania, next Sunday we have a chance. We have the opportunity at the ballot box. We have the opportunity to punish those who, for four years now, with their arrogance and indifference, have led us into a painful situation, but we also have the opportunity to pave the way for a progressive government, a government of progressive cooperation, not only to punish, but to take responsibility to put society back on its feet, to reinvigorate the economy, to change this framework of inequalities and to breathe life into the dreams of the new generation, the hopes of the great majority of society. ","Φίλες και φίλοι πολίτες του Αγρινίου. Αυτή την εικόνα της αδιαφορίας και της αλαζονείας η κυβέρνηση Μητσοτάκη και ο ίδιος ο κύριος Μητσοτάκης την έδειχνε σε όλη την τετραετία. Τίποτα δεν ήξερε και για όλα κάποιος άλλος έφταιγε. Τίποτα δεν ήξερε ο ίδιος. Χρειάζεται άλλη απόδειξη. Για να συνειδητοποιήσουμε ότι δεν πάει άλλο με αυτήν την υποτιμητική συμπεριφορά. Πολίτες του Αγρινίου, πολίτες της Αιτωλοακαρνανίας, την επόμενη Κυριακή έχουμε την ευκαιρία. Έχουμε την ευκαιρία στην κάλπη. Να τιμωρήσουμε αυτούς που 4 χρόνια τώρα, με την αλαζονεία και την αδιαφορία τους μας οδήγησαν σε μια κατάσταση οδυνηρή, αλλά έχουμε και την ευκαιρία να ανοίξουμε το δρόμο σε μια προοδευτική κυβέρνηση, κυβέρνηση προοδευτικής συνεργασίας, όχι μόνο για να τιμωρήσουμε, αλλά για να αναλάβουμε την ευθύνη να ξαναστήσουμε την κοινωνία στα πόδια της, να ξανατονώσουμε την οικονομία να, να αλλάξουμε αυτό το πλαίσιο των ανισοτήτων και να δώσουμε πνοή πνοή στα όνειρα της νέας γενιάς, στις ελπίδες της μεγάλης κοινωνικής πλειοψηφίας. ",political agenda,other,election spending,-0.6,0.2,0.2,"[['agrinio', 'location', '0.9'], ['mitsotakis', 'person', '1.0'], ['mitsotakis', 'person', '1.0'], ['aitoloakarnania', 'location', '0.9']]"
