id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"So it is a closed stadium, to accommodate your optimism, to accommodate the message of victory and change that Giannina is giving today! It is the best, the truest show of victory, your gathering today! It gives the message of victory! The prefecture of Ioannina and the whole of Epirus will give the SYRIZA-Progressive Alliance a first place in six days from today!  Six days left, citizens of Ioannina. Five and one, as we used to say in the old days in the Army. Five and one for the great Change! Five and one for the great victory! It is a message of reversal that you are giving today. On Sunday the lies end. Greece is turning the page. Days of justice, days of democracy, days of meritocracy are dawning. The days of the people are dawning again. This is the message, I assure you, that I take to every corner of our country and to every rally, in every city, from Alexandroupolis to Crete, from Corfu to the Dodecanese. Every rally is proof of victory.  The best show of victory is our contact with the people. Because we are always in the world. Today we were spoiled by the weather, because if we hadn't had a rainfall report, we would have had a rain of people in your big square here in Ioannina and we can't fit in this closed gym, it's full inside and outside. But in every meeting we have, it is clear that on the coming Sunday we are going for a great victory for democracy, a great victory for the people.","Είναι λοιπόν ένα κλειστό γήπεδο, για να χωρέσει την αισιοδοξία σας, για να χωρέσει το μήνυμα της νίκης και της Αλλαγής που δίνουν σήμερα τα Γιάννενα! Είναι η καλύτερη, η πιο αληθινή παράσταση νίκης η σημερινή σας συγκέντρωση! Δίνει το μήνυμα της νίκης! Ο νομός Ιωαννίνων και όλη η Ήπειρος θα δώσουν πρωτιά στον ΣΥΡΙΖΑ-Προοδευτική Συμμαχία, σε έξι μέρες από σήμερα!  Έξι μέρες έμειναν, πολίτες των Ιωαννίνων. Πέντε και μία, που λέγαμε παλιά στον Στρατό. Πέντε και μία για τη μεγάλη Αλλαγή! Πέντε και μία για τη μεγάλη νίκη! Είναι μήνυμα ανατροπής αυτό που δίνετε σήμερα. Την Κυριακή τελειώνουν τα ψέματα. Η Ελλάδα γυρίζει σελίδα. Ξημερώνουν μέρες δικαιοσύνης, μέρες δημοκρατίας, μέρες αξιοκρατίας. Ξημερώνουν ξανά μέρες του λαού. Αυτό είναι το μήνυμα, σας διαβεβαιώνω, που προσλαμβάνω σε κάθε γωνιά της πατρίδας μας και σε κάθε συγκέντρωση, σε κάθε πόλη, από την Αλεξανδρούπολη ως την Κρήτη, από την Κέρκυρα ως τα Δωδεκάνησα. Κάθε συγκέντρωση είναι και μία απόδειξη νίκης.  Η καλύτερη παράσταση νίκης είναι η επαφή μας με τον κόσμο. Διότι εμείς είμαστε συνέχεια μέσα στον κόσμο. Σήμερα μας τα χάλασε ο καιρός, διότι αν δεν είχαμε δελτίο βροχόπτωσης, θα είχαμε βροχή από κόσμο στη μεγάλη σας πλατεία εδώ στα Γιάννενα και δεν μας χωράει αυτό το κλειστό γυμναστήριο, είναι γεμάτο μέσα κι έξω. Σε κάθε μας συγκέντρωση, όμως, φαίνεται καθαρά ότι την Κυριακή που μας έρχεται, πάμε για μια μεγάλη νίκη της Δημοκρατίας, μια μεγάλη νίκη του λαού. ",political agenda,elections,other,1.0,0.1,0.2,"[['giannina', 'location', '0.9'], ['ioannina', 'location', '1.0'], ['epirus', 'location', '0.9'], ['syriza-progressive alliance', 'political party', '1.0'], ['greece', 'country', '1.0'], ['alexandroupolis', 'location', '1.0'], ['crete', 'location', '1.0'], ['corfu', 'location', '1.0'], ['dodecanese', 'location', '1.0'], ['sunday', 'date', '1.0']]"
2,"Why? Because the vast majority of Greek society, the vast majority of ordinary people, say one thing, feel one thing and put out one thing, two words: Enough! That's it, no more! No more arrogance! No more indifference! No more of this unworthiness! No more of family rule! No more inequality! No more generalized injustice! And in case some younger people have forgotten, the worst government of the Right since the post-communist era, the government of Mr Mitsotakis, has come to remind us what exactly the Right means. Mr Mitsotakis is telling us, friends, that Greeks want to go forward, not back. Do you know something? I agree with him, he is right. Only instead of telling the Greeks, he should tell them every morning in his mirror that the country should go forward and not go backwards. Because he is the man who took over a country that, after great adventures, had regained stability outside the memoranda. With its debt settled, its coffers full, its society on its feet and a strong outlook for its economy. And of course, all this happened because we governed with integrity in the most difficult moments of our recent history. And we managed to make the sacrifices of the Greek people pay off. And what has Mr Mitsotakis done for four years now? He pulled the handbrake with both hands and turned around. He has taken us back to dark times, to a country where workers work unpaid 12-hour days, to a country that has come to have Bulgarian wages and British prices. Because that is what is happening in Greece today.","Γιατί; Γιατί η συντριπτική πλειοψηφία της ελληνικής κοινωνίας, η συντριπτική πλειοψηφία των απλών ανθρώπων, ένα πράγμα  λέει, ένα πράγμα αισθάνεται και ένα πράγμα βγάζει προς τα έξω, δυο λέξεις: Ως εδώ! Ως εδώ, δεν πάει άλλο! Δεν πάει άλλο με την αλαζονεία! Δεν πάει άλλο με την αδιαφορία! Δε πάει άλλο με την αναξιοκρατία! Δεν πάει άλλο με τη οικογενειοκρατία! Δεν πάει άλλο με τις ανισότητες! Δεν πάει άλλο με τη γενικευμένη αδικία! Κι αν κάποιοι νεότεροι ξέχασαν, ήρθε η χειρότερη κυβέρνηση της Δεξιάς από τη Μεταπολίτευση και μετά, η κυβέρνηση του κ. Μητσοτάκη, να θυμίσει τι ακριβώς σημαίνει Δεξιά. Μας λέει, φίλες και φίλοι, ο κ. Μητσοτάκης ότι οι Έλληνες, θέλουν να πάνε μπροστά και όχι να γυρίσουν πίσω. Ξέρετε κάτι; Συμφωνώ μαζί του, δίκιο έχει. Μόνο που αντί να τα λέει στους Έλληνες, πρέπει να τα λέει κάθε πρωί στον καθρέφτη του, ότι πρέπει η χώρα να πάει μπροστά και όχι να γυρίσει πίσω. Γιατί είναι ο άνθρωπος που παρέλαβε μια χώρα που, μετά από μεγάλες περιπέτειες, είχε ξαναβρεί τη σταθερότητά της, έξω από τα μνημόνια. Με ρυθμισμένο το χρέος, με γεμάτα τα Ταμεία, με όρθια την κοινωνία και ισχυρή προοπτική για την οικονομία της. Και βεβαίως όλα αυτά έγιναν διότι με εντιμότητα κυβερνήσαμε στις πιο δύσκολες στιγμές της πρόσφατης ιστορίας μας. Και καταφέραμε τις θυσίες του ελληνικού λαού να τους δώσουμε αντίκρισμα. Και τι έκανε ο κ. Μητσοτάκης τέσσερα χρόνια τώρα; Τράβηξε χειρόφρενο και με τα δυο χέρια και έκανε αναστροφή. Μας γύρισε πίσω σε σκοτεινές εποχές, σε μια χώρα όπου οι εργαζόμενοι δουλεύουν απλήρωτα 12ωρα, σε μια χώρα που έχει καταντήσει να έχει μισθούς Βουλγαρίας, και τιμές Βρετανίας. Γιατί αυτό γίνεται σήμερα στην Ελλάδα. ",criticism,economy,austerity,-0.8,0.9,0.5,"[['greek society', 'location', '1.0'], ['greek people', 'group of people', '1.0'], ['right', 'political party', '0.8'], ['mr mitsotakis', 'person', '1.0'], ['greeks', 'group of people', '1.0'], ['country', 'location', '1.0'], ['post-communist era', 'date', '0.6'], ['bulgarian', 'country', '0.6'], ['british', 'country', '0.6'], ['greece', 'country', '1.0']]"
3,"In a country where the government is raping democracy and monitoring half of the political system, even the leadership of the military.","Σε μια χώρα που η κυβέρνηση βιάζει τη Δημοκρατία και παρακολουθεί το μισό πολιτικό σύστημα, ακόμα και την ηγεσία του στρατεύματος. ",criticism,democracy,judicial independence,-0.8,0.0,0.0,"[['government', 'organization', '0.7'], ['democracy', 'political party', '0.6'], ['political system', 'group of people', '0.6'], ['leadership', 'group of people', '0.6'], ['military', 'organization', '0.8']]"
4,In a country with broken public hospitals and record pandemic losses.,Σε μια χώρα με διαλυμένα δημόσια νοσοκομεία και με ρεκόρ απωλειών στην πανδημία.,criticism,health,other,-0.8,0.0,0.0,"[['country', 'country', '1.0'], ['public hospitals', 'location', '0.9'], ['pandemic losses', 'group of people', '0.7']]"
5,In a country where they are closing university schools to open up the clientele for colleges.,Σε μια χώρα που κλείνουν πανεπιστημιακές σχολές για να ανοίξει η πελατεία για τα κολλέγια.,criticism,education,higher education,-0.5,0.0,0.2,[]
6,In a country where information is silenced and propaganda flourishes with state money.,Σε μια χώρα που η ενημέρωση φιμώνεται και η προπαγάνδα ανθίζει με κρατικό χρήμα.,criticism,media,press freedom,-0.8,0.0,0.0,"[['country', 'location', '1.0']]"
7,"This is the Greece of Mr Mitsotakis. The Greece that has hurt and hurt every Greek for four years now. It has hurt every young person and every young person who is struggling to make ends meet, to open a home and to start a family. Because the salary ends on the 15th of the month. It has hurt every worker who is forced to work in the sun for a salary that does not even cover basic needs. Hurt every young mother who faces the dilemma every month of what to cut out of her child's diet because the prices of basic necessities have gone through the roof.","Αυτή είναι η Ελλάδα του κ. Μητσοτάκη. Η Ελλάδα που πλήγωσε και πληγώνει κάθε Έλληνα, τέσσερα χρόνια τώρα. Πλήγωσε κάθε νέα και κάθε νέο, που πασχίζει να τα βγάλει πέρα, να ανοίξει σπίτι και να κάνει οικογένεια. Γιατί ο μισθός τελειώνει στις 15 του μήνα. Πλήγωσε κάθε εργαζόμενο που αναγκάζεται να δουλεύει ήλιο με ήλιο για έναν μισθό που δεν καλύπτει ούτε τις στοιχειώδεις ανάγκες. Πλήγωσε κάθε νέα μητέρα που κάθε μήνα αντιμετωπίζει το δίλημμα τι να πρέπει να κόψει από τη διατροφή του παιδιού της, γιατί οι τιμές στα είδη πρώτης ανάγκης έχουν πάει στα ύψη. ",criticism,economy,other,-0.8,0.3,0.0,"[['mr mitsotakis', 'person', '0.8'], ['greek', 'location', '0.9'], ['greek', 'group of people', '0.3'], ['young person', 'group of people', '0.6'], ['young person', 'person', '0.4'], ['worker', 'group of people', '0.4'], ['young mother', 'person', '0.5']]"
8,"It has hurt every honest businessman who is being hounded by debt collectors and the state not only refuses to make a reasonable arrangement for his debts, but threatens to take everything away through bankruptcy.","Πλήγωσε κάθε έντιμο επιχειρηματία που τον κυνηγάν οι εισπρακτικές και το κράτος όχι απλά αρνείται να του κάνει μια λογική ρύθμιση για τα χρέη, αλλά τον απειλεί ότι θα του τα πάρει όλα μέσω του πτωχευτικού.",criticism,debt,bankruptcy,-0.8,0.0,0.0,"[['state', 'organization', '0.75'], ['bankruptcy', 'organization', '0.9']]"
9,"And it has hurt again and again those who worked hard to buy the right to dignity when they retire. The pensioners, who were cheated with the 13th pension, cheated with the retroactive pension and have been robbed of over 7 billion over the last four years.","Και πλήγωσε ξανά και ξανά αυτούς που μόχθησαν για να αγοράσουν το δικαίωμα της αξιοπρέπειας, όταν βγουν στη σύνταξη. Τους συνταξιούχους, που τους εξαπάτησε με τη 13η σύνταξη, τους εξαπάτησε με τα αναδρομικά και τους έχει στερήσει πάνω από 7 δισεκατομμύρια τα τελευταία τέσσερα χρόνια.",criticism,pensioners,other,-0.9,0.0,0.0,"[['pensioners', 'group of people', '1.0'], ['13th pension', 'organization', '0.8'], ['retroactive pension', 'organization', '0.8'], ['over 7 billion', 'organization', '0.6'], ['last four years', 'date', '1.0']]"
10,"But the time has come, citizens of Ioannina, the time has come to close these great wounds in the body of society once and for all with our participation at the polls on Sunday and with our vote on Sunday. The Greece that is hurting us is finally over in six days from today. And the Greece that we deserve dawns seven days from today. Next Monday we will have a different reality in our country. And this different reality will come with the victory of SYRIZA, which will also be a victory for Change, because it will immediately pave the way for the formation of a progressive government of cooperation, with the aim of restoring justice for all and everywhere.","Ήρθε όμως  η ώρα, πολίτες των Ιωαννίνων, ήρθε η ώρα αυτές τις μεγάλες πληγές στο σώμα της κοινωνίας, να τις κλείσουμε οριστικά με τη συμμετοχή μας  στις κάλπες την Κυριακή και με την ψήφο μας την Κυριακή. Η Ελλάδα που μας πληγώνει τελειώνει οριστικά σε έξι μέρες από σήμερα. Και η Ελλάδα που μας αξίζει, ξημερώνει σε επτά μέρες από σήμερα. Την άλλη Δευτέρα θα έχουμε μια διαφορετική πραγματικότητα στην πατρίδα μας. Και θα έρθει αυτή η διαφορετική πραγματικότητα με τη νίκη του ΣΥΡΙΖΑ, που θα είναι ταυτόχρονα και νίκη της Αλλαγής, διότι θα ανοίξει τον δρόμο ευθύς αμέσως για τον σχηματισμό προοδευτικής κυβέρνησης συνεργασίας, με στόχο να ξαναφέρει στον τόπο τη  δικαιοσύνη για όλους και παντού. ",political agenda,elections,election spending,0.7,0.2,0.0,"[['ioannina', 'location', '1.0'], ['greece', 'country', '1.0'], ['sunday', 'date', '1.0'], ['monday', 'date', '1.0'], ['syriza', 'political party', '1.0'], ['change', 'organization', '1.0']]"
