id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Igoumenitsa, thank you very much for this great welcome, for this great gathering, in broad daylight, here in Igoumenitsa. I am very touched by the reception you have given me.
And this reception, this rally, like other rallies we have held all these days, shows the true show of victory. A few days from today, six days from now, next Sunday, it will not be the cartels and the vested interests who will be celebrating, it will be the ordinary people, the people who will be celebrating the victory of democracy, the return of justice to our land. And we will not deny anything in particular. We all know it. We all know what the reality is, because we see it by talking to the people every day, the citizens of toil, the people of creation, the producers, the farmers, the stockbreeders, the small and medium-sized entrepreneurs. There is no longer anyone who does not want a great change in their lives, a great change in their everyday life, more justice and prosperity. That is why I believe that what we call 'change' is no longer a slogan. It is an expectation, it is a hope, it is a feeling of jubilation for the great majority of our people. Because people are now saying one thing. That's it. No more obscenity. Enough of family rule. Enough of inequality. Enough with the indifference. Enough of the arrogance of power and enough of injustice.","Πολίτες της Ηγουμενίτσας, σας ευχαριστώ θερμά για αυτή τη μεγάλη υποδοχή, για αυτή τη μεγάλη συγκέντρωση, μέρα μεσημέρι, εδώ στην Ηγουμενίτσα. Είναι μεγάλη η συγκίνησή μου για την υποδοχή που μου επιφυλάξατε.
Και αυτή η υποδοχή, αυτή η συγκέντρωση, όπως και άλλες συγκεντρώσεις που έχουμε κάνει όλες αυτές τις μέρες, δείχνει την πραγματική παράσταση νίκης. Σε λίγες μέρες από σήμερα, σε 6 μέρες, την ερχόμενη Κυριακή, δεν θα πανηγυρίζουν τα καρτέλ και τα συμφέροντα, θα πανηγυρίζει ο απλός λαός, θα πανηγυρίζει ο λαός τη νίκη της δημοκρατίας, την επιστροφή της δικαιοσύνης στον τόπο μας. Και δεν θα διαψεύσουμε κάτι ιδιαίτερο. Όλοι το γνωρίζουμε. Όλοι, ξέρουμε ποια είναι η πραγματικότητα, διότι τη βλέπουμε συνομιλώντας με τους ανθρώπους καθημερινά με τους πολίτες του μόχθου, τους ανθρώπους της δημιουργίας, τους παραγωγούς, τους αγρότες, τους κτηνοτρόφους, τους μικρομεσαίους επιχειρηματίες. Δεν υπάρχει κανείς πια που να μην επιθυμεί μια μεγάλη αλλαγή στη ζωή του, μια μεγάλη αλλαγή στην καθημερινότητα του, περισσότερη δικαιοσύνη και προκοπή. Για αυτό πιστεύω ότι δεν είναι πια σύνθημα αυτό που λέμε ""αλλαγή"". Είναι προσδοκία, είναι ελπίδα, είναι συναίσθημα αγαλλίασης για τη μεγάλη πλειοψηφία του λαού μας. Γιατί ο κόσμος πια λέει ένα πράγμα. Ως εδώ. Ως εδώ με την αισχροκέρδεια. Ως εδώ με την οικογενειοκρατία. Ως εδώ με τις ανισότητες. Ως εδώ με την αδιαφορία. Ως εδώ με την αλαζονεία της εξουσίας και ως εδώ με την αδικία.",political agenda,democracy,inequality,0.95,0.0,0.5,"[['igoumenitsa', 'location', '1.0'], ['sunday', 'date', '1.0'], ['democracy', 'organization', '0.7'], ['justice', 'organization', '0.5'], ['cartels', 'group of people', '0.3'], ['ordinary people', 'group of people', '0.5'], ['toil', 'group of people', '0.3'], ['creation', 'group of people', '0.3'], ['producers', 'group of people', '0.3'], ['farmers', 'group of people', '0.3'], ['stockbreeders', 'group of people', '0.3'], ['entrepreneurs', 'group of people', '0.3'], ['prosperity', 'organization', '0.3'], ['change', 'political party', '0.3'], ['family rule', 'organization', '0.3'], ['inequality', 'organization', '0.3'], ['indifference', 'organization', '0.3'], ['arrogance of power', 'organization', '0.3'], ['injustice', 'organization', '0.3']]"
2,"Citizens of Igoumenitsa and Thesprotia, for 4 years now you have known first-hand what abandonment and devaluation means. For 4 years now your law has in fact been off the map. And I would like to say a few words about what has happened, about what has not happened in these four years, but I do not know where to start, where to begin and where to end. Let me start with your port, which has been sold off without any real consideration, which we have been asking for many, many days now to give us the concession contract and they have done everything in opacity and they don't say, they don't show what exactly they sold and what exactly they got? The port of Igoumenitsa, the marina in Plataria and Sivota, the fishing shelter in Sayada and, most importantly, they do not tell us why, even what they were forced to support after our pressure and commitments, the concession of the port's land area to the citizens of Igoumenitsa. Why are they not implementing it?","Πολίτες της Ηγουμενίτσας και της Θεσπρωτίας, 4 χρόνια τώρα γνωρίσατε από πρώτο χέρι τι σημαίνει εγκατάλειψη και απαξίωση. 4 χρόνια τώρα ο νόμος σας έχει στην πραγματικότητα βγει έξω από το χάρτη. Και θέλω να πω δυο λόγια για όσα γίναν, για όσα δεν έγιναν αυτά τα 4 χρόνια, αλλά δεν ξέρω από πού να αρχίσω, που να ξεκινήσω και που να τελειώσω. Να ξεκινήσω από το λιμάνι σας που το ξεπουλήσανε χωρίς κανένα ουσιαστικό αντάλλαγμα που ζητάμε εδώ και πάρα πολλές μέρες να μας δώσουν τη σύμβαση παραχώρησης και τα έχουν κάνει όλα μέσα στην αδιαφάνεια και δεν λένε, δεν δείχνουν τι ακριβώς πουλήσανε και τι ακριβώς πήρανε; Το λιμάνι της Ηγουμενίτσας, τη μαρίνα στην Πλαταριά και στα Σύβοτα, το αλιευτικό καταφύγιο στη Σαγιάδα και το κυριότερο, δεν μας λένε για ποιο λόγο, ακόμα και αυτό που αναγκάστηκαν να υποστηρίξουν μετά από τις δικές μας πιέσεις και δεσμεύσεις, την παραχώρηση της χερσαίας ζώνης του λιμανιού στους πολίτες της Ηγουμενίτσας. Για ποιο λόγο δεν το υλοποιούν;",criticism,other,hospital privatization,-0.8,0.0,0.4,"[['igoumenitsa', 'location', '1.0'], ['thesprotia', 'location', '1.0'], ['plataria', 'location', '1.0'], ['sivota', 'location', '1.0'], ['sayada', 'location', '1.0'], ['citizens', 'group of people', '1.0'], ['port of igoumenitsa', 'location', '1.0'], ['concession contract', 'organization', '1.0'], [""concession of the port's land area"", 'organization', '1.0']]"
3,"Let's remember, let's remember the new university department here that was created was a TEI and we made it a university department of translation and interpretation, which was established as a university department in 2018 with the reform of the higher education map and in 19 they closed it and Igoumenitsa is left without a department, without young children, without a university department and students. The city has now become a city that lacks the freshness and vitality of young people. What else can we remember?","Να θυμηθούμε, να θυμηθούμε το νέο τμήμα πανεπιστημιακό εδώ που δημιουργήθηκε ήταν ΤΕΙ και εμείς το κάναμε πανεπιστημιακό τμήμα μετάφρασης και διερμηνείας, το οποίο ιδρύθηκε ως πανεπιστημιακό τμήμα το 2018 με την αναμόρφωση του χάρτη της τριτοβάθμιας εκπαίδευσης και το 19 το έκλεισαν και έχει μείνει η Ηγουμενίτσα χωρίς τμήμα, χωρίς νέα παιδιά, χωρίς πανεπιστημιακό τμήμα και φοιτητές. Η πόλη έγινε πια μια πόλη που δεν έχει τη φρεσκάδα και τη ζωντάνια των νέων ανθρώπων. Τι άλλο να θυμηθούμε;",political agenda,education,higher education,-0.7,0.0,0.0,"[['tei', 'organization', '0.8'], ['igoumenitsa', 'location', '0.9'], ['2018', 'date', '0.8'], ['19', 'date', '0.5']]"
4,"Should we remember and see the abandonment of the health structures in these four years, when we strengthened the public hospital with a new CT scanner for the first time, a new MRI scanner, an emergency department and despite the fact of the pandemic, today it has fewer doctors and nurses and cannot function?","Να θυμηθούμε και να δούμε τα 4 αυτά χρόνια την εγκατάλειψη των δομών υγείας που εμείς ενισχύσαμε το δημόσιο νοσοκομείο με νέο αξονικό τομογράφο για πρώτη φορά, νέο μαγνητικό τομογράφο, τμήμα επειγόντων περιστατικών και παρά το γεγονός της πανδημίας, σήμερα έχει λιγότερους γιατρούς και νοσηλευτές και δεν μπορεί να λειτουργήσει;",criticism,health,public health system,0.0,0.0,0.0,"[['public hospital', 'organization', '0.5'], ['ct scanner', 'organization', '0.5'], ['mri scanner', 'organization', '0.5'], ['emergency department', 'organization', '0.5'], ['pandemic', 'date', '0.5'], ['doctors', 'group of people', '0.5'], ['nurses', 'group of people', '0.5']]"
5,"Let us remember the devaluation of the people, the producers, the farmers and the farmers where I was in 2021,
I stood next to them. I went and met them, the tangerine producers, tangerine growers and they had the big issue then that they raised with me. That they weren't getting compensation for the wounds they had because of the bad weather. They never received any compensation, but now they are not even receiving the aid provided for by the OPECPEPE. And the big question for the farmers and producers in your county is no longer whether or not they will get any aid, but whether they will continue to stay in the countryside and produce in their own land, to have their fields, to sow them and their animals to produce cheese, milk, cheese to have the products, the livestock products, because the big question now is how they will bear the cost of production. The cost of production has skyrocketed. The energy costs have dragged all of them down. And what are they going to do now? How will they be able to stay in their country if the Mitsotakis government continues for another four years to give everything to the middlemen. 300 % is the difference between the prices that the producer sells in the field and what the consumer finds on the shelf.","Να θυμηθούμε την απαξίωση των ανθρώπων, των παραγωγών, των κτηνοτρόφων και των αγροτών που το 2021 εγώ βρέθηκα,
βρέθηκα δίπλα τους. Πήγα και τους συνάντησα, τους παραγωγούς μανταρινιού, μανταρινοπαραγωγούς καί είχαν τότε το μεγάλο θέμα που μου έθεσαν. Ότι δεν παίρνανε αποζημιώσεις για τις πληγές που είχαν λόγω των κακών καιρικών συνθηκών. Δεν πήραν ποτέ αποζημιώσεις, αλλά τώρα δεν παίρνουν ούτε τις ενισχύσεις, τις προβλεπόμενες από τον ΟΠΕΚΕΠΕ. Και το μεγάλο ερώτημα για τους κτηνοτρόφους και τους παραγωγούς του νομού σας δεν είναι πια αν θα πάρουν κάποια ενίσχυση ή όχι, αλλά αν θα συνεχίσουν να μένουν στην ύπαιθρο και να παράγουν στον τόπο τους, να έχουν τα χωράφια τους, να τα σπέρνουν και τα ζώα τους να βγάζουνε τυρί, γάλα, τυρί να έχουνε τα προϊόντα, τα κτηνοτροφικά, διότι το μεγάλο θέμα είναι πια πώς θα αντέξουν το κόστος της παραγωγής. Το κόστος της παραγωγής έχει εκτοξευθεί. Το ενεργειακό κόστος του συμπαρέσυρε όλους αυτούς. Και τι θα κάνουν τώρα; Πώς θα μπορέσουν να μείνουν στον τόπο τους, αν συνεχίσει για άλλα 4 χρόνια η κυβέρνηση Μητσοτάκη να δίνει τα πάντα στους μεσάζοντες. 300 % είναι η διαφορά των τιμών που πουλάει ο παραγωγός στο χωράφι, από αυτήν που βρίσκει ο καταναλωτής στο ράφι.",political agenda,other,other,-0.8,0.0,0.2,"[['2021', 'date', '1.0'], ['tangerine producers', 'group of people', '1.0'], ['tangerine growers', 'group of people', '1.0'], ['opecpepe', 'organization', '1.0'], ['county', 'location', '1.0'], ['mitsotakis government', 'organization', '1.0']]"
6,"What else can we remember about the devaluation of this law 4 years ago, apart from what I said about the rural world, about health, about the citizens here in Igoumenitsa, in relation to their port? For the small and medium-sized entrepreneurs, shall we say? Who have seen their bills skyrocket? Debts choking them? Not even being able to get out of a bank, because banks only give loans to those who can prove that they don't need to take out a loan? What else can I remember?","Τι άλλο να θυμηθούμε για την απαξίωση αυτού του νόμου 4 χρόνια τώρα, πέρα από αυτά που είπα για τον αγροτικό κόσμο, για την υγεία, για τους πολίτες εδώ της ηγουμενίτσας, σε σχέση με το λιμάνι τους; Για τους μικρομεσαίους επιχειρηματίες, να πούμε; Που είδανε τους λογαριασμούς να αυξάνονται κατακόρυφα; Τα χρέη να τους πνίγουν; Να μην μπορούν να περάσουν ούτε έξω από μια τράπεζα, διότι τα δάνεια οι τράπεζες δίνουν μονάχα σε όσους μπορούν να αποδείξουν ότι δεν χρειάζονται να πάρουν δάνειο; Τι άλλο να θυμηθώ; ",criticism,economy,austerity,-0.8,0.0,0.1,"[['igoumenitsa', 'location', '1.0'], ['greece', 'country', '1.0'], ['4 years ago', 'date', '1.0']]"
7,"But I think the most important thing to say about your place is that it is a demographically ageing place. The villages in the municipalities, in the municipality of Filiata and in the municipality of Souliou, are villages that are actually becoming ghosts, as time goes by and they become ghosts, because people in the periphery cannot have a basic income, they cannot have a future, they cannot have a perspective. So who is going to provide answers to all this?","Νομίζω όμως ότι το πιο σημαντικό που πρέπει να πούμε για τον τόπο σας είναι ότι είναι ένας τόπος που δημογραφικά γερνάει. Τα χωριά στους δήμους, στο Δήμο Φιλιατών και στο δήμο Σουλίου είναι χωριά τα οποία στην πραγματικότητα γίνονται φαντάσματα, όσο περνάει ο καιρός και γίνονται φαντάσματα, διότι οι άνθρωποι στην περιφέρεια δεν μπορούν να έχουν ένα στοιχειώδες εισόδημα, δεν μπορούν να έχουν μέλλον, δεν μπορούν να έχουν προοπτική. Ποιος λοιπόν θα δώσει απαντήσεις για όλα αυτά; ",political agenda,employment,other,-0.6,0.0,0.0,"[['filiata', 'location', '0.8'], ['souliou', 'location', '0.8.']]"
8,"And of course I must also remember the mockery, the great mockery of our fellow citizens from northern Epirus, who have had their pensions cut off. In 2012, Mr Samaras, then we came along, and once we came out of the memoranda, we restored it in 2019, and for four years now it has been frozen. 4 years now. And now they've opened up a platform for them to make statements. The mockery and hypocrisy at its peak.","Και να θυμηθώ βεβαίως και την κοροϊδία, τη μεγάλη κοροϊδία που αφορά τους βορειοηπειρώτες συμπολίτες μας, που τους κόψανε τη σύνταξη. Το 2012 ο κύριος Σαμαράς, μετά ήρθαμε εμείς και μόλις βγήκαμε από τα μνημόνια, την αποκαταστήσαμε το 2019 και 4 χρόνια τώρα είναι παγωμένη. 4 χρόνια τώρα. Και τώρα προεκλογικά τους ανοίξανε μια πλατφόρμα για να κάνουν δηλώσεις. Η κοροϊδία και η υποκρισία στο απόγειο της. ",criticism,pensioners,pensions,-0.5,0.1,0.0,"[['northern epirus', 'location', '1.0'], ['mr samaras', 'person', '1.0'], ['we', 'group of people', '1.0'], ['memoranda', 'organization', '1.0'], ['platform', 'organization', '1.0']]"
9,"So we. I want to address the citizens of Thesprotia and say that we do not believe that there are second-class citizens. In the most difficult circumstances, we did everything we could to put this law back on the map. And we did everything we could, not only with major development projects, but also with small everyday projects. We gave 21 million only through the Philodemos 1 and 2 programmes to the municipalities of Thesprotia. If there is a bulldozer still operating in your prefecture today, it is because four years ago the SYRIZA government gave funding to local government to do projects. But 4 years ago absolutely nothing happened and what is worse? They excluded Thesprotia from the Recovery Fund, from the billions of the Recovery Fund, because the doctrine of the Mitsotakis government is that all resources should go to the few and powerful. All resources to the centre and nothing for the periphery.","Εμείς λοιπόν. Θέλω να απευθυνθώ στους πολίτες της Θεσπρωτίας και να τους πω ότι δεν πιστεύουμε πως υπάρχουν πολίτες δεύτερης κατηγορίας. Στις πιο δύσκολες συνθήκες εμείς κάναμε ότι μπορούσαμε για να ξαναβάλουμε στο χάρτη αυτόν τον νόμο. Και κάναμε ότι μπορούσαμε, όχι μόνο με μεγάλα αναπτυξιακά έργα, αλλά και με μικρά καθημερινά έργα. 21 εκατομμύρια δώσαμε μονάχα μέσα από τα προγράμματα Φιλόδημος 1 και 2 στους δήμους της Θεσπρωτίας. Αν υπάρχει σήμερα κάποια μπουλντόζα που ακόμα λειτουργεί στο νομό σας είναι επειδή πριν από 4 χρόνια η κυβέρνηση του ΣΥΡΙΖΑ έδωσε χρηματοδότηση στην τοπική αυτοδιοίκηση για να γίνουν έργα. 4 χρόνια όμως δεν έγινε απολύτως τίποτα και το χειρότερο; Αποκλείσανε τη Θεσπρωτία από το Ταμείο Ανάκαμψης, από τα δισεκατομμύρια του Ταμείου Ανάκαμψης, διότι δόγμα της κυβέρνησης Μητσοτάκη είναι όλοι οι πόροι να πηγαίνουν σε λίγους και ισχυρούς. Όλοι οι πόροι στο κέντρο και τίποτα για την περιφέρεια.",criticism,other,other,-0.7,0.0,0.0,"[['thesprotia', 'location', '1.0'], ['syriza', 'political party', '0.8'], ['philodemos 1 and 2', 'organization', '0.8'], ['recovery fund', 'organization', '0.8'], ['mitsotakis', 'person', '0.7']]"
10,"So we are committed to reversing this course, this reality. We want to work for the many and especially the weak, the middle class. Remember what they told you in '19, that they would come to support the middle class. And what has the middle class become today? Living on food stamps. Coupons to go to the supermarket, coupons to pay the electricity bills, coupons to go to the gas station to get gas. Our lives have become a pass. A pass for every use. Pass, pass, pass, pass, but you're not going anywhere. So it is time for us to give Mr Mitsotakis a pass and say to him 'it is time to go home'. But I think that these days Mr Mitsotakis must be very busy. He is making his last trips from one end of Greece to the other in the state plane, because from next Monday he will not be able to use it. And he's also very busy there at Maximus.","Εμείς λοιπόν, δεσμευόμαστε ότι θέλουμε να αντιστρέψουμε αυτή την πορεία αυτή την πραγματικότητα. Εμείς θέλουμε να δουλέψουμε για τους πολλούς και κυρίως τους αδύναμους, τη μεσαία τάξη. Θυμηθείτε τι σας λέγανε το '19, οτι θα ρθουν για να στηρίξουν τη μεσαία τάξη. Και που κατάντησε η μεσαία τάξη σήμερα; Να ζει με κουπόνια. Κουπόνια για να πας στο σούπερ μάρκετ, κουπόνια για να πληρώσεις τους λογαριασμούς του ρεύματος, κουπόνια για να πας στο βενζινάδικο, να βάλεις βενζίνη. Έχει γίνει η ζωή μας ένα pass. Pass για κάθε χρήση. Pass, pass, pass αλλά πουθενά δεν πας. Ήρθε η ώρα λοιπόν να δώσουμε και εμείς ένα pass στον κύριο Μητσοτάκη και να του πούμε ""ήρθε η ώρα σπίτι σου να πας"". Πιστεύω όμως ότι αυτές τις μέρες ο κύριος Μητσοτάκης πρέπει να είναι πολύ απασχολημένος. Κάνει τα τελευταία του ταξίδια από άκρη σ' άκρη στην Ελλάδα με το κρατικό αεροπλάνο, διότι από την άλλη Δευτέρα δεν θα μπορεί να το χρησιμοποιεί. Και έχει και πολύ μεγάλη δουλειά εκεί στο Μαξίμου. ",criticism,economy,austerity,-0.8,0.2,0.0,"[[""''19"", 'date', '1.0'], ['middle class', 'group of people', '0.7'], ['greece', 'country', '1.0'], ['maximus', 'organization', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['state plane', 'organization', '0.5']]"
