id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Thessaloniki, there are meetings where the speaker speaks, there are meetings where he talks to the crowd, there are meetings where the crowd talks, and this is such a meeting today! Today Thessaloniki gives the message of victory. It is a victory performance today. Thessaloniki today is showing us victory, the road to victory. On Sunday the lies end. It is the time of Change, it is the time to put our country back where we left it, on the path of justice, on the path of Democracy. Citizens of Thessaloniki, I would like to thank you warmly for your magnificent presence today. Your magnificent presence here at the Thessaloniki International Fair, in its hospitable surroundings, which shows that we have a great battle ahead of us on Sunday. But this battle will end with the victory of the people and of democracy. Greece is turning a new page, the days of justice, the days of democracy, the days of dignity, the days of the people are dawning again.","Πολίτες της Θεσσαλονίκης, υπάρχουν συγκεντρώσεις όπου μιλάει ο ομιλητής, υπάρχουν συγκεντρώσεις όπου συνομιλεί με το πλήθος, υπάρχουν και συγκεντρώσεις που μιλάει το πλήθος και αυτή είναι μια τέτοια συγκέντρωση σήμερα! Σήμερα η Θεσσαλονίκη δίνει το μήνυμα της νίκης. Είναι παράσταση νίκης η σημερινή μας συγκέντρωση. Η Θεσσαλονίκη σήμερα μας δείχνει τη νίκη, τον δρόμο της νίκης. Την Κυριακή τελειώνουν τα ψέματα. Ήρθε η ώρα της Αλλαγής, ήρθε η ώρα να ξαναστήσουμε την πατρίδα μας από εκεί που την αφήσαμε, στον δρόμο της δικαιοσύνης, στον δρόμο της Δημοκρατίας. Πολίτες της Θεσσαλονίκης, θέλω να σας ευχαριστήσω θερμά γι' αυτή τη μεγαλειώδη παρουσία σας σήμερα. Τη μεγαλειώδη παρουσία σας εδώ στη Διεθνή Έκθεση Θεσσαλονίκης, στον φιλόξενο χώρο της, που αναδεικνύει ότι την Κυριακή έχουμε μπροστά μας μια μεγάλη μάχη. Αλλά αυτή η μάχη θα τελειώσει με τη νίκη του λαού και της δημοκρατίας. Η Ελλάδα γυρίζει σελίδα, ξημερώνουν μέρες δικαιοσύνης, μέρες δημοκρατίας, μέρες αξιοπρέπειας, ξημερώνουν ξανά μέρες του λαού. ",political agenda,elections,other,0.8,0.0,0.2,"[['thessaloniki', 'location', '1.0'], ['sunday', 'date', '1.0'], ['change', 'organization', '1.0'], ['democracy', 'organization', '1.0'], ['greece', 'country', '1.0']]"
2,"And the countdown has begun for the Mitsotakis regime. Five days are left for the Greek people to sign the Contract of Change, change with democracy and justice. And I believe that after our rally here in Thessaloniki today, I say, if he asks us, let's not be rude. Let's send help to get his stuff out of Maximou. Let him pick up the Predator wires, the wiretaps and the illegal wiretaps. Because from Monday, the Maximus Mansion will reopen its doors to democracy, it will become the headquarters of our great effort to bring Change and Justice to the land.","Και η αντίστροφη μέτρηση έχει αρχίσει για το καθεστώς του κ. Μητσοτάκη. Πέντε μέρες έμειναν για να υπογράψει ο ελληνικός λαός με την ψήφο του το Συμβόλαιο της Αλλαγής, την αλλαγή με δημοκρατία και δικαιοσύνη. Και πιστεύω ότι μετά τη σημερινή μας συγκέντρωση εδώ στη Θεσσαλονίκη, λέω, αν μας το ζητήσει, να μη φανούμε αγενείς. Να στείλουμε βοήθεια να μαζέψει τα πράγματά του από το Μαξίμου. Να μαζέψει και τα καλώδια του Predator, των υποκλοπών και των παράνομων παρακολουθήσεων. Γιατί από Δευτέρα το Μέγαρο Μαξίμου θα ανοίξει ξανά τις πόρτες του στη Δημοκρατία, θα γίνει το επιτελείο της μεγάλης μας προσπάθειας για να φέρουμε στον τόπο την Αλλαγή και τη δικαιοσύνη.",criticism,elections,other,-0.2,0.0,0.0,"[['mitsotakis', 'person', '0.9'], ['greek people', 'group of people', '0.9'], ['thessaloniki', 'location', '0.9'], ['maximou', 'location', '0.8'], ['monday', 'date', '0.9'], ['maximus mansion', 'location', '0.9']]"
3,"Citizens of Thessaloniki, a few days ago the outgoing Prime Minister, in one of his public appearances, asked us to judge and compare. He asked citizens to judge and compare New Democracy with Syriza, Mr Mitsotakis himself, his boss, with me. So I say, he said it very well, to judge and compare. Of course, he avoids like the devil avoids a direct comparison in a TV debate between the two of us, face to face. And he's probably right, as we saw the other day, in the showdown with the six, he missed a tough question and started to testify without a stick. Since he wants us to judge and compare we say: fine, let's judge and compare. So let's go!","Πολίτες της Θεσσαλονίκης, πριν από λίγες μέρες ο απερχόμενος πρωθυπουργός σε μια από τις δημόσιες παρουσίες του, ζήτησε να κρίνουμε και να συγκρίνουμε. Από τους πολίτες, ζήτησε να κρίνουν και να συγκρίνουν τη Νέα Δημοκρατία με τον ΣΥΡΙΖΑ, τον ίδιο τον κ. Μητσοτάκη την αφεντιά του, με εμένα. Και εγώ λοιπόν λέω πολύ ωραία τα είπε, να κρίνουμε και να συγκρίνουμε. Ο ίδιος βέβαια σαν τον διάολο το λιβάνι αποφεύγει μια απευθείας σύγκριση σε μια τηλεοπτική αναμέτρηση οι δυο μας, ενώπιος ενωπίω. Και μάλλον καλά κάνει, καθώς είδαμε προχθές, στην αναμέτρηση με τους έξι, δεν πρόλαβε να γίνει μια ζόρικη ερώτηση και άρχισε να μαρτυράει δίχως ξύλο. Αφού θέλει να κρίνουμε και να συγκρίνουμε λέμε λοιπόν: ωραία, ας κρίνουμε και ας συγκρίνουμε. Πάμε λοιπόν! ",criticism,elections,other,0.0,0.2,0.2,"[['thessaloniki', 'location', '1.0'], ['prime minister', 'person', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['mitsotakis', 'person', '1.0'], ['me', 'person', '1.0']]"
4,"You, Mr Mitsotakis, your Party, you have bankrupted the country, you have plunged the economy into the swamp and society into despair. We brought the country out of bankruptcy, we freed it from the memoranda and the guardianship. You left the funds empty so that we could not even pay our pensions. We handed them over to you full, you found them with 37 billion thanks to our respect for the last euro of the Greek citizen, thanks to our clean hands. And above all you have plundered society.","Εσείς κ. Μητσοτάκη, η Παράταξή σας, χρεοκοπήσατε τη χώρα, βυθίσατε την οικονομία στον βάλτο και την κοινωνία στην απόγνωση. Εμείς βγάλαμε τη χώρα από τη χρεοκοπία, την απελευθερώσαμε από τα μνημόνια και την επιτροπεία. Εσείς αφήσατε τα Ταμεία άδεια να μην μπορούμε να πληρώσουμε ούτε τις συντάξεις. Εμείς σας τα παραδώσαμε γεμάτα, τα βρήκατε με 37 δισεκατομμύρια χάρη στον σεβασμό μας για το τελευταίο ευρώ του Έλληνα πολίτη, χάρη στα καθαρά μας χέρια. Και κυρίως εσείς λεηλατήσατε την κοινωνία. ",criticism,economy,austerity,,0.9,0.0,"[['mitsotakis', 'person', '0.9'], ['party', 'political party', '0.9'], ['country', 'location', '0.8'], ['economy', 'organization', '0.5'], ['society', 'group of people', '0.5'], ['memoranda', 'organization', '0.6'], ['guardianship', 'organization', '0.6'], ['funds', 'organization', '0.6'], ['pensions', 'organization', '0.5'], ['greek citizen', 'group of people', '0.6']]"
5,"We supported society and delivered it upright in the midst of a storm. Despite the fiscal squeeze, we strengthened the National Health System, we opened the doors of health care to 2.5 million uninsured citizens who did not even have access to public hospitals.","Εμείς στηρίξαμε την κοινωνία  και την παραδώσαμε όρθια εν μέσω θυέλλης. Παρά τη δημοσιονομική ασφυξία, ενισχύσαμε το Εθνικό Σύστημα Υγείας, ανοίξαμε τις πόρτες της υγείας σε 2,5 εκατομμύρια ανασφάλιστους συμπολίτες μας, που δεν είχαν πρόσβαση ούτε στα δημόσια νοσοκομεία. ",political agenda,health,public health system,0.8,0.0,0.0,"[['national health system', 'organization', '0.8'], ['2.5 million', 'group of people', '0.6'], ['public hospitals', 'organization', '0.6']]"
6,"We distributed dividends for three years to pensioners and the vulnerable. We established, as soon as the country was freed from the memoranda, the 13th pension.","Μοιράσαμε μερίσματα για τρία χρόνια στους συνταξιούχους και τους ευάλωτους. Θεσπίσαμε, μόλις απελευθερώθηκε η χώρα από τα μνημόνια, τη 13η σύνταξη. ",political agenda,pensioners,pensions,1.0,0.0,0.0,"[['1. pensioners', 'group of people', '100%'], ['2. vulnerable', 'group of people', '100%'], ['3. country', 'location', '100%'], ['4. memoranda', 'organization', '100%'], ['5. 13th pension', 'organization', '100%']]"
7,We gave the first increase in the minimum wage in years.,Δώσαμε την πρώτη μετά από χρόνια αύξηση στον βασικό μισθό.,political agenda,employment,wages,0.5,0.0,0.0,[]
8,"We restored the labour regime, we strengthened public education.","Αποκαταστήσαμε το εργασιακό καθεστώς, ενισχύσαμε τη δημόσια παιδεία. ",political agenda,education,employment,0.5,0.0,0.0,[]
9,"What did you do during these four years, despite the fact that you found everything in order? You have destroyed rights, incomes and lives. You had the opportunity to share from the ready-made we left you, but you preferred to divide it among yourselves, your blue locusts and your sponsors. We governed with the obligation to raise almost 40 billion in the treasury to bring the country out of bankruptcy. You, with the leeway because of the pandemic, to spend 60 billion. And I wonder, friends, citizens of Thessaloniki: What would Greece look like today if we, instead of being obliged to raise 40, governed with the freedom to spend 60? We would have decent public hospitals with doctors and nurses, we would have schools and universities with teachers and professors and a reliable welfare state.","Εσείς τι κάνατε αυτά τα τέσσερα χρόνια, παρά το ότι τα βρήκατε όλα στρωμένα; Γκρεμίσατε δικαιώματα, εισοδήματα και ζωές. Είχατε τη δυνατότητα να μοιράσετε από τα έτοιμα που σας αφήσαμε, αλλά προτιμήσατε να τα μοιραστείτε μεταξύ σας, οι γαλάζιες ακρίδες και οι σπόνσορες σας. Εμείς κυβερνήσαμε με την υποχρέωση να μαζέψουμε 40 δισεκατομμύρια σχεδόν στο δημόσιο ταμείο, για να βγει η χώρα από τη χρεοκοπία. Εσείς, με την ευχέρεια λόγω της πανδημίας, να δαπανήσετε 60 δισεκατομμύρια. Και αναρωτιέμαι, φίλες και φίλοι, πολίτες της Θεσσαλονίκης: Πώς θα ήταν η Ελλάδα σήμερα αν εμείς αντί για υποχρέωση να μαζέψουμε 40, κυβερνούσαμε με την ευχέρεια να δαπανήσουμε 60; Θα είχαμε αξιοπρεπή δημόσια νοσοκομεία με γιατρούς και νοσηλευτές, θα είχαμε σχολεία και πανεπιστήμια με δασκάλους και καθηγητές και ένα αξιόπιστο κοινωνικό κράτος.",criticism,economy,other,-0.8,0.2,0.0,"[['thessaloniki', 'location', '1.0'], ['greece', 'country', '1.0'], ['blue locusts', 'group of people', '0.6'], ['citizens of thessaloniki', 'group of people', '1.0']]"
10,"But you, Mr Mitsotakis, preferred to make them direct assignments to cronies and subsidies to the obscenity cartel. Health, education, electricity, water, yes, they are not commodities. They belong to the people and will be public. Yes, that is the lesson of the pandemic as well. Health is not a commodity. We will not allow water to be privatised, as is the intention of Mr Mitsotakis for the next four years.","Εσείς, κ. Μητσοτάκη, όμως προτιμήσατε να τα κάνετε απευθείας αναθέσεις σε κολλητούς και επιδοτήσεις στο καρτέλ της αισχροκέρδειας. Η Υγεία, η Παιδεία, το ρεύμα, το νερό, ναι, δεν είναι εμπόρευμα. Ανήκουν στον λαό και θα είναι δημόσια. Ναι, αυτό είναι το δίδαγμα και από την πανδημία. Δεν είναι η υγεία εμπόρευμα. Δεν θα αφήσουμε να ιδιωτικοποιηθεί το νερό, όπως είναι στις προθέσεις του κ. Μητσοτάκη για την επόμενη τετραετία. ",criticism,privatization,privatization of public goods,-0.7,0.0,0.0,"[['mr mitsotakis', 'person', '0.9'], ['cartel', 'group of people', '0.5'], ['pandemic', 'date', '0.8'], ['mr mitsotakis', 'person', '0.9']]"
