id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Heraklion, I have come to this square many times. But this time, I feel it, you feel it too, the time for change has come! You are signing it today here in Heraklion! Crete is signing it! Crete is signing the Contract of Change with your presence today. Because at every critical turn in history, Crete has always been ahead. And today is such a moment. History calls Crete and Crete calls History! This Sunday, for the second time in 30 years, Crete is again chasing a Mitsotakis from the Maximou Mansion! Citizens of Heraklion, wherever I have been these days, one thing is the feeling of the people: enough is enough! Enough with the arrogance! Enough with obscenity! Enough of this indifference! So much for family rule! Enough of injustice! And today, this is the message you are giving here in Heraklion. Or, to put it another way, as you say it here in Crete, ""no more bullying""!","Πολίτες του Ηρακλείου, έχω έρθει πολλές φορές σ’ αυτήν εδώ την πλατεία. Τούτη τη φορά όμως, το νιώθω, το νιώθετε κι εσείς, ήρθε η ώρα της Αλλαγής! Το υπογράφετε σήμερα εσείς εδώ, στο Ηράκλειο! Το υπογράφει η Κρήτη! Η Κρήτη σήμερα με την παρουσία σας υπογράφει το Συμβόλαιο της Αλλαγής. Διότι σε κάθε κρίσιμη στροφή της Ιστορίας, η Κρήτη ήταν πάντοτε μπροστά. Και σήμερα είναι μια τέτοια στιγμή. Η Ιστορία καλεί την Κρήτη και η Κρήτη καλεί την Ιστορία! Αυτή την Κυριακή, για δεύτερη φορά μετά από 30 χρόνια, η Κρήτη ξαναδιώχνει έναν Μητσοτάκη από το Μέγαρο Μαξίμου! Πολίτες του Ηρακλείου, όπου κι αν έχω βρεθεί αυτές τις μέρες, ένα είναι το συναίσθημα των ανθρώπων: Ως εδώ! Ως εδώ με την αλαζονεία! Ως εδώ με την αισχροκέρδεια! Ως εδώ με την αδιαφορία! Ως εδώ με την οικογενειοκρατία! Ως εδώ με την αδικία! Και σήμερα, αυτό το μήνυμα δίνετε εδώ στο Ηράκλειο. Ή, για να το πούμε αλλιώς, όπως το λέτε εσείς εδώ στην Κρήτη, «δεν νταγιαντούμε άλλο»! ",criticism,elections,other,0.8,0.2,0.2,"[['heraklion', 'location', '1.0'], ['crete', 'location', '1.0'], ['contract of change', 'organization', '0.7'], ['mitsotakis', 'person', '0.7'], ['maximou mansion', 'location', '0.7'], ['citizens of heraklion', 'group of people', '1.0'], ['crete', 'country', '1.0'], ['sunday', 'date', '1.0']]"
2,"And to recall the words of a beautiful song sung by your fellow countryman, Garganourakis, ""Words and years lost"", these words and years lost, it is time to charge this Sunday to the ballot box. The big words about prosperity, about better wages, about lower taxes, about protecting the middle class. But also the four years that have hurt us.","Και για να θυμηθώ τα λόγια ενός ωραίου τραγουδιού που τραγουδά ο συντοπίτης σας, ο Γαργανουράκης, «Τα λόγια και τα χρόνια τα χαμένα», αυτά τα λόγια και τα χρόνια τα χαμένα, ήρθε η ώρα να χρεώσουμε αυτή την Κυριακή στην κάλπη. Τα λόγια τα μεγάλα για την ευημερία, για τους καλύτερους μισθούς, για τους λιγότερους φόρους, για την προστασία της μεσαίας τάξης. Αλλά και τα χρόνια αυτά τα τέσσερα που μας πλήγωσαν.",political agenda,elections,middle class,-0.5,0.1,0.2,"[['garganourakis', 'person', '0.75'], ['sunday', 'date', '0.9']]"
3,"The sad pan-European pandemic, the billions of direct awards, the propaganda of ""Information 107"" with the Petsas lists, the interceptions and the parastate, the precision that brought households and businesses to their knees, the houses and property marked by the crows, the youth that were so unjustly lost in Tempe two months ago. None of this, I assure you and we pledge, will be forgotten. And none of this will be allowed to happen again.","Η θλιβερή πανευρωπαϊκή πρωτιά της πανδημίας, τα δισεκατομμύρια των απευθείας αναθέσεων, η προπαγάνδα της «Ενημέρωσης 107» με τις λίστες Πέτσα, οι υποκλοπές και το παρακράτος, η ακρίβεια που γονάτισε τα νοικοκυριά και τις επιχειρήσεις, τα σπίτια και οι περιουσίες που έβαλαν σημάδι τα κοράκια, τα νιάτα που χάθηκαν τόσο άδικα στα Τέμπη πριν από δυο μήνες. Τίποτα απ’ αυτά, σας διαβεβαιώνω και δεσμευόμαστε, δεν θα ξεχαστεί. Και τίποτα απ’ αυτά δεν θα επιτρέψουμε να ξανασυμβεί. ",criticism,corruption,other,-0.6,0.2,0.2,"[['information 107', 'organization', '0.75'], ['petsas', 'person', '0.5'], ['tempe', 'location', '0.5.']]"
4,"Change, my friends, citizens of Heraklion, is not a slogan that we have learned from the past. It is a demand of society, of the everyday man, the man of work, the small and medium-sized businessman, the farmer, the stockbreeder, the young man, every man who wants to live and breathe in this country. Greece will turn the page. And your gathering today confirms it. It is the most reliable poll. Just like the rallies we held in Thessaloniki, Ioannina, Volos, Agrinio, all over Greece.","Η Αλλαγή, φίλες και φίλοι, πολίτες του Ηρακλείου, δεν είναι ένα σύνθημα που το μηρυκάζουμε από το παρελθόν. Είναι απαίτηση της κοινωνίας, του καθημερινού ανθρώπου, τους ανθρώπου της εργασίας, του μικρομεσαίου, του αγρότη, του κτηνοτρόφου, του νέου, κάθε ανθρώπου που θέλει να ζήσει, να αναπνεύσει σε αυτή τη χώρα.Η Αλλαγή είναι απαίτηση, η δικαιοσύνη είναι ανάγκη, η αξιοκρατία είναι υποχρέωση. Η Ελλάδα θα γυρίσει σελίδα. Και η συγκέντρωσή σας σήμερα το επιβεβαιώνει. Είναι η πιο αξιόπιστη δημοσκόπηση. Όπως και οι συγκεντρώσεις που κάναμε στη Θεσσαλονίκη, στα Γιάννενα, τον Βόλο, το Αγρίνιο, σε όλη την Ελλάδα.",political agenda,elections,other,0.5,0.2,0.2,"[['heraklion', 'location', '1.0'], ['greece', 'country', '1.0'], ['thessaloniki', 'location', '1.0'], ['ioannina', 'location', '1.0'], ['volos', 'location', '1.0'], ['agrinio', 'location', '1.0']]"
5,"And you know what is also very reliable proof of victory, reliable as long as it doesn't get? The fear and panic of Mr. Mitsotakis these days. The fear and panic that he can't hide. And it shows who he is, how he thinks and how he reacts, now that the snakes of defeat have been feeding on him. As soon as he was faced with a bit of a tough question in this debate - which he didn't want the two of us to go to in any way, and it's probably a good thing the man did, but he thought he was going to hide behind the other four - as soon as a tough question was asked, he confessed on his own to the wiretapping scandal.","Και ξέρετε ποια είναι επίσης πολύ αξιόπιστη απόδειξη της νίκης, αξιόπιστη όσο δεν παίρνει; Ο φόβος και ο πανικός του κ. Μητσοτάκη αυτές τις μέρες. Ο φόβος και ο πανικός που δεν κρύβεται. Και δείχνει αυτός ο φόβος ποιος είναι, πώς σκέφτεται και πώς αντιδρά, τώρα που τον έχουν ζώσει τα φίδια της ήττας. Μόλις ήρθε αντιμέτωπος με μια λίγο ζόρικη ερώτηση σ’ αυτό το debate -που δενν ήθελε να πάμε οι δυο μας με τίποτα, και μάλλον καλά έκανε ο άνθρωπος, αλλά πίστεψε πως θα κρυφτεί πίσω από τους άλλους τέσσερις-, μόλις έγινε μια ζόρικη ερώτηση, ομολόγησε από μόνος του το σκάνδαλο των υποκλοπών.",criticism,accountability,wiretapping,-0.5,0.2,0,"[['mitsotakis', 'person', '0.9']]"
6,"As soon as Androulakis said that he wants to see those who framed him in jail, I said the obvious, that we will conduct a preliminary inquiry to investigate in depth the biggest scandal of the post-revolution, as if he had been electrocuted. And he said yesterday - he did not say, he was crying - that we want to put him in jail. But why is this man so innocent that he did not know, that he did not hear, that he did not see? Is he afraid of justice, which never stops for a moment to say that he trusts it? Why does a man so very innocent behave like a guilty man? But unfortunately, friends, he has done something much worse, which shows his true face.","Μόλις ο Ανδρουλάκης είπε ότι θέλει να δει στη φυλακή αυτούς που τον παγίδενυσαν κι εγώ το αυτονόητο, ότι θα κάνουμε Προανακριτική για να ερευνηθεί σε βάθος το μεγαλύτερο σκάνδαλο της Μεταπολίτευσης,  λες και τον χτύπησε ηλεκτρικό ρεύμα. Και δήλωσε χτες -δεν δήλωσε, έκλαιγε- ότι θέλουμε να τον βάλουμε στη φυλακή. Μα, γιατί εξανίσταται αυτός ο τόσο αθώος που δεν ήξερε, που δεν άκουσε, που δεν είδε; Μήπως φοβάται τη Δικαιοσύνη που δεν σταματά στιγμή να λέει πως την εμπιστεύεται; Γιατί συμπεριφέρεται σαν ένοχος ένας άνθρωπος τόσο πολύ αθώος; Δυστυχώς όμως, φίλες και φίλοι, έκανε κάτι πολύ χειρότερο, που δείχνει το αληθινό του πρόσωπο. ",criticism,justice,corruption,-0.8,0,0,"[['androulakis', 'person', '0.9'], ['post-revolution', 'political party', '0.6'], ['yesterday', 'date', '0.8']]"
7,"He did not hesitate yesterday to say that the lawsuit filed by the relatives of the victims of the accident in Tempe constitutes an instrumentalisation of this accident. And I wonder: Instrumentalisation by the people who lost their children? We were told today that he did not say that. I want to read to you here, word for word, what he said: ""I'm sorry that this issue is being instrumentalized in this way just days before the election. And I believe that the justified anger of the victims' relatives also does not justify this kind of behaviour.""","Δεν δίστασε χθες να πει ότι η μήνυση των συγγενών των θυμάτων του δυστυχήματος στα Τέμπη, συνιστά εργαλειοποίηση αυτού του δυστυχήματος. Και αναρωτιέμαι: Εργαλειοποίηση από τους ανθρώπους που έχασαν τα παιδιά τους; Μας είπαν σήμερα ότι δεν το είπε έτσι. Θέλω να σας το διαβάσω εδώ, λέξη λέξη τι είπε: «Λυπάμαι που το ζήτημα αυτό εργαλειοποιείται με τέτοιο τρόπο λίγες μέρες πριν τις εκλογές. Και πιστεύω ότι και ο δικαιολογημένος θυμός των συγγενών των θυμάτων δεν δικαιολογεί τέτοιου είδους συμπεριφορές». ",criticism,justice,other,-0.4,0.2,0.2,"[['tempe', 'location', '1.0'], ['election', 'date', '1.0']]"
8,"I watched and re-watched that statement, because I couldn't believe my ears. That is what he said, without shame on the part of the person responsible for the tragedy and for covering up the tragedy. She went so far as to insult in the most brutal and inhuman way those who have lost their children. And I wonder: How much lower can a prime minister stoop? How much lower can a human being sink? Let's forget about politics here. Because, precisely, this man does not care, does not feel! And it is unfair for Greece and the Greeks to have a prime minister who does not understand, who does not feel the pain, who cannot feel the anguish of the people, who cannot care about ordinary, everyday people, who cannot care about their grief, their anguish.","Την έβλεπα και την ξανάβλεπα αυτή τη δήλωση, γιατί δεν πίστευα στ’ αυτιά μου. Αυτά είπε, δίχως να ντρέπεται ο υπόλογος για την τραγωδία και για τη συγκάλυψη της τραγωδίας. Κι έφτασε να προσβάλλει με τον πιο βάναυσο και απάνθρωπο τρόπο αυτούς που έχασαν τα παιδιά τους. Και αναρωτιέμαι: Πόσο πιο χαμηλά μπορεί να πέσει ένας πρωθυπουργός; Πόσο πιο χαμηλά μπορεί να πέσει ένας άνθρωπος; Ας ξεχάσουμε εδώ την πολιτική. Διότι, ακριβώς, δεν νοιάζεται, δεν νιώθει αυτός ο άνθρωπος! Και είναι άδικο για την Ελλάδα και τους Έλληνες να έχει έναν πρωθυπουργό που δεν καταλαβαίνει, που δεν νιώθει τον πόνο, που δεν μπορεί να νιώσει την αγωνία των ανθρώπων, που δεν μπορεί να νοιαστεί για τους απλούς, καθημερινούς ανθρώπους, να νοιαστεί το πένθος τους, την αγωνία τους.",criticism,accountability,other,-0.9,0.6,0.5,"[['greece', 'country', '1.0'], ['greeks', 'group of people', '1.0'], ['prime minister', 'person', '1.0']]"
9,"doesn't feel and doesn't care. Those two words are what characterize him; he doesn't care about the people at work. If he did care, he would not impose the labor jungle; he would not abolish the eight-hour workweek; he would not institute unpaid overtime; he would not dismantle the Labor Inspectorate so that workers would have no one to rely on.","δεν νιώθει και δεν νοιάζεται. Αυτές οι δυο λέξεις είναι που τον χαρακτηρίζουν. δεν νοιάζεται για τους ανθρώπους της εργασίας. Αν νοιαζόταν, δεν θα επέβαλλε την εργασιακή ζούγκλα. δεν θα καταργούσε το οκτάωρο. δεν θα θέσπιζε απλήρωτες υπερωρίες. δεν θα διέλυε το Σώμα Επιθεώρησης Εργασίας, να μην έχουν οι εργαζόμενοι πού να στηριχθούν. ",criticism,employment,workers' rights,-0.8,0,0,"[['labor inspectorate', 'organization', '0.7']]"
10,"does not care about the households, otherwise he would not lead them to despair. 40% reduced purchasing power for those households with an income of up to 700 euros. Eurostat finds this, not SYRIZA. Drastically reduced nominal and real wages in '22. The OECD finds this, not Syriza.","δενν νοιάζεται για τα νοικοκυριά, αλλιώς δενν θα τα οδηγούσε στην απόγνωση. 40% μειωμένη αγοραστική δύναμη, για όσα νοικοκυριά έχουν εισόδημα ως 700 ευρώ. Η Eurostat το διαπιστώνει, όχι ο ΣΥΡΙΖΑ. Δραστικά μειωμένος ο ονομαστικός αλλά και ο πραγματικός μισθός το ’22. Ο ΟΟΣΑ το διαπιστώνει, όχι ο ΣΥΡΙΖΑ. ",criticism,economy,cost of living,-1,0.2,0.2,"[['eurostat', 'organization', '100%'], ['syriza', 'political party', '100%'], [""'22"", 'date', '100%'], ['oecd', 'organization', '100%'], ['euro', 'currency', '100%']]"
