id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Athens, today's gathering is a victory performance. It is the largest rally we have ever held in the Constitution! Today in Syntagma, the heart of Justice, of Democracy, of Change is beating! And it is a message to all of Greece, the message we are sending here today, all of us together. On Sunday, Greece turns a page. On Sunday we say finally end to the regime of injustice, end to the regime of obscenity, end to the regime of inequality! On Sunday, justice returns to our country. On Sunday the people speak and the people rewrite history. History will be written on May 21 on Sunday, with your vote!","Πολίτες της Αθήνας, η σημερινή μας συγκέντρωση, κρίνει την παράσταση νίκης. Είναι η μεγαλύτερη συγκέντρωση που έχουμε πραγματοποιήσει ποτέ στο Σύνταγμα! Σήμερα στο Σύνταγμα, χτυπάει η καρδιά της Δικαιοσύνης, της Δημοκρατίας, της Αλλαγής! Και είναι μήνυμα σε όλη την Ελλάδα, το μήνυμα που στέλνουμε σήμερα εδώ όλες και όλοι μαζί. Την Κυριακή στην Ελλάδα γυρίζει σελίδα. Την Κυριακή λέμε οριστικά τέλος στο καθεστώς της αδικίας, τέλος στο καθεστώς της αισχροκέρδειας, τέλος στο καθεστώς των ανισοτήτων! Την Κυριακή επιστρέφει  στην πατρίδα μας η δικαιοσύνη. Την Κυριακή μιλά  ο λαός και ο λαός ξαναγράφει  ιστορία. Θα γραφεί την 21η του Μάη η Ιστορία την Κυριακή, με τη δική σας ψήφο!",political agenda,elections,other,1,0.6,0.2,"[['citizens', 'group of people', '1.0'], ['athens', 'location', '1.0'], ['constitution', 'organization', '0.8'], ['syntagma', 'location', '1.0'], ['greece', 'country', '1.0'], ['sunday', 'date', '1.0']]"
2,"Our gathering today is the greatest proof to those who believe that the Greek people are ready to live another four years with the nightmare of inefficiency, inequalities, obscenity, and parastatalism. And we see it now everywhere, wherever we are, all over Greece. Hope has now become a decision. Because our people cannot bear another four years of arrogance, another four years of indifference, another four stone years. Because we can no longer bear the injustice that poisons and destroys our lives.","Η σημερινή μας συγκέντρωση είναι η μεγαλύτερη απόδειξη σε όσους πιστεύουν ότι ο ελληνικός λαός είναι έτοιμος να ζήσει άλλα τέσσερα χρόνια με τον εφιάλτη της ακρίβειας, των ανισοτήτων, της  αισχροκέρδειας, του παρακράτους. Και το βλέπουμε πια παντού, όπου και αν βρεθούμε, σε όλη την Ελλάδα. Η ελπίδα έχει γίνει πια απόφαση. Γιατί δεν αντέχει ο λαός μας άλλα τέσσερα χρόνια αλαζονείας, άλλα τέσσερα χρόνια αδιαφορίας, άλλα τέσσερα πέτρινα χρόνια. Γιατί δεν αντέχεται πια, η αδικία που δηλητηριάζει και καταστρέφει τις ζωές μας. ",criticism,elections,injustice,-0.8,0.1,0,"[['greek people', 'group of people', '0.9'], ['greece', 'country', '0.9'], ['arrogance', 'political party', '0.7'], ['injustice', 'political party', '0.7']]"
3,Families are being wiped out for a few thousand euros at the behest of the party that owes 400 million in loans and unpaid loans to the banks. It is no longer tolerable for property to be looted by the funds with the complicity of the state.,Να ξεσπιτώνονται οικογένειες για λίγες χιλιάδες ευρώ κατ’ εντολή το κόμματος που χρωστάει 400 εκατομμύρια δανεικά κι αγύριστα στις Τράπεζες. Δεν αντέχεται άλλο να  λεηλατούνται περιουσίες από τα funds με τη συνενοχή του κράτους.,criticism,debt,other,-0.9,0,0,"[['families', 'group of people', '0.8'], ['party', 'political party', '0.6'], ['banks', 'organization', '0.5'], ['state', 'organization', '0.4.']]"
4,Disaggregate the income for each household on the 3rd week of the month.,"Να εξαϋλώνεται το εισόδημα για κάθε νοικοκυριό, την 3η βδομάδα του μήνα.",criticism,economy,other,,0,0,[]
5,"The pension should not be enough for the pensioner to pay for electricity and the supermarket, so that he can decently give a gift to his grandchildren.","Να μη φτάνει η σύνταξη στο συνταξιούχο για το ρεύμα και το σούπερ μάρκετ, για να μπορέσει με αξιοπρέπεια να κάνει ένα δώρο στα εγγόνια του.",criticism,pensioners,other,-0.5,0,0,[]
6,This deficit of dignity cannot be tolerated! Young people should not be able to live in their own homes. The worker should not be able to have hours and rights. The small businessman cannot keep his business.,Δεν αντέχεται αυτό το έλλειμμα της αξιοπρέπειας! Να μη μπορούν οι νέες και οι νέοι να ζήσουν στο δικό τους σπίτι. Να μη μπορεί ο εργαζόμενος να έχει ωράρια και δικαιώματα. Να μη μπορεί ο μικρομεσαίος επιχειρηματίας να κρατήσει την επιχείρησή του.,criticism,employment,workers' rights,-0.8,0,0,"[['young people', 'group of people', '0.8'], ['the worker', 'person', '0.8'], ['the small businessman', 'organization', '0.8']]"
7,"Because the assault on the public interest can no longer be tolerated. To sell off the public power supply, water, education, health care, the railway, museums, antiquities, every public structure of social protection.","Γιατί δεν αντέχεται άλλο η επέλαση στο δημόσιο συμφέρον. Να ξεπουλάνε τη ΔΕΗ, το νερό, την Παιδεία, την Υγεία, τον ΟΣΕ, τα μουσεία, τα αρχαία, κάθε δημόσια δομή κοινωνικής προστασίας.",criticism,privatization,hospital privatization,-0.9,0.2,0,"[['public interest', 'organization', '0.5'], ['public power supply', 'organization', '0.7'], ['water', 'organization', '0.3'], ['education', 'organization', '0.3'], ['health care', 'organization', '0.3'], ['railway', 'organization', '0.5'], ['museums', 'organization', '0.3'], ['antiquities', 'organization', '0.3'], ['social protection', 'organization', '0.5']]"
8,"Because the dismantling of the NHS cannot be tolerated. The thousands of lives lost in the pandemic, many needlessly outside the ICUs.","Γιατί δεν αντέχεται η διάλυση του ΕΣΥ. Οι χιλιάδες ζωές που χάθηκαν στη πανδημία, πολλές άδικα έξω από τις ΜΕΘ.",criticism,health,public health system,-0.8,0,0,"[['nhs', 'organization', '0.9'], ['icus', 'group of people', '0.8'], ['pandemic', 'event', '0.6']]"
9,"Because the artificial barriers that your Mitsotakis government puts up to knowledge with the Minimum Admission Base, which unfairly drives 20,000 children out of universities every year, are not tolerated. Why? So that the colleges have a clientele.","Γιατί δεν αντέχονται οι τεχνητοί φραγμοί που σας βάζει η κυβέρνηση Μητσοτάκη στη γνώση με την Ελάχιστη Βάση Εισαγωγής, που διώχνει άδικα έξω από τα πανεπιστήμια 20.000 παιδιά κάθε χρόνο. Γιατί; Για να έχουν πελατεία τα κολλέγια.",criticism,education,higher education,-0.8,0.1,0.2,"[['mitsotakis', 'person', '0.9'], ['government', 'organization', '0.6'], ['minimum admission base', 'organization', '0.5'], ['universities', 'organization', '0.8'], ['colleges', 'organization', '0.6']]"
10,"Because this decadence, injustice, corruption, the arrogance of power can no longer be tolerated. In short, because this regime of injustice, the Mitsotakis regime, can no longer be tolerated. The time has therefore come for the worst right-wing government since the post-independence period to put a definitive end to it for our country.","Γιατί δεν αντέχεται άλλο αυτή η παρακμή, η  αδικία, η διαφθορά, η  έπαρση της εξουσίας. Με δυο λόγια, γιατί δεν αντέχεται άλλο πια αυτό το καθεστώς της αδικίας, το καθεστώς Μητσοτάκη. Ήρθε η ώρα λοιπόν η χειρότερη κυβέρνηση της Δεξιάς από τη Μεταπολίτευση να αποτελέσει οριστικά τέλος για την πατρίδα μας. ",criticism,corruption,injustice,-0.8,0.9,0,"[['mitsotakis', 'person', '0.7'], ['right-wing government', 'group of people', '0.6'], ['post-independence period', 'date', '0.5'], ['country', 'location', '0.4']]"
