id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Citizens of Achaia! Yesterday Athens decided. Today Patras seals the Contract of Change! Our gathering today leaves no more questions, no more possibilities. On Sunday the nightmare ends, change dawns! I would like to thank you from the bottom of my heart for this sensational rally and this message of victory, this message of victory that you are giving here today from democratic Achaia. I have chosen to close from here, from Patras, this election campaign, this election race, from Patras, Achaia, Western Greece, where the Right has always been and will always be in the minority. Because the message I am sending is that on Sunday they will be in the minority all over Greece! On Sunday, with the vote of the Greek people, we say good night to Mr Mitsotakis and we say good morning to Change! To a new Greece of hope, certainty and perspective.","Πολίτες της Αχαΐας! Χθες η Αθήνα αποφάσισε. Σήμερα η Πάτρα σφραγίζει το Συμβόλαιο της Αλλαγής! Η σημερινή μας συγκέντρωση, δεν αφήνει πια κανένα ερώτημα, κανένα άλλο ενδεχόμενο. Την Κυριακή ο εφιάλτης τελειώνει, η αλλαγή ξημερώνει! Θέλω να σας ευχαριστήσω θερμά από τα βάθη της καρδιάς μου γι' αυτή τη συγκλονιστική συγκέντρωση και αυτό το μήνυμα της νίκης, το σάλπισμα της νίκης που δίνετε σήμερα εδώ, από τη δημοκρατική Αχαΐα. Επέλεξα να κλείσω από δω, από την Πάτρα, αυτή την προεκλογική καμπάνια, αυτόν τον προεκλογικό αγώνα, από την Πάτρα, την Αχαΐα, τη Δυτική Ελλάδα, όπου η Δεξιά ήταν και θα είναι πάντα μειοψηφία. Γιατί το μήνυμα που στέλνω είναι ότι την Κυριακή θα είναι σε όλη την Ελλάδα μειοψηφία! Την Κυριακή, με την ψήφο του ελληνικού λαού λέμε καληνύχτα στον κ. Μητσοτάκη και λέμε καλημέρα στην Αλλαγή! Σε μια νέα Ελλάδα ελπίδας, σιγουριάς, προοπτικής.",political agenda,other,other,0.7,0.2,0.5,"[['citizens', 'group of people', '1.0'], ['achaia', 'location', '1.0'], ['athens', 'location', '1.0'], ['patras', 'location', '1.0'], ['contract of change', 'organization', '1.0'], ['sunday', 'date', '1.0'], ['achaia', 'location', '1.0'], ['greece', 'country', '1.0'], ['mitsotakis', 'person', '1.0'], ['change', 'organization', '1.0'], ['new greece', 'location', '1.0']]"
2,"Citizens of Achaia, today with your presence here, we are sending a message to all of Greece that we will not be terrorized by terrorists. We will terrorize them with our vote on Sunday. From here, from the castle of the great democratic party, we are standing up today against injustice, against insecurity. And we extend the hand of unity and cooperation to every democrat, every progressive citizen of our country. To those who have walked along other paths, perhaps, but always in the same direction. Towards justice, towards democracy, towards progress, towards change. And we say to them, we say to every democratic and progressive citizen today: We are not here to repeat or rewrite history. We are here to open together from Monday a new chapter in the history of our country! The chapter of change in Greece in the third decade of the 21st century. The chapter of the progressive government of cooperation that will open on Monday, after the vote of our people on Sunday. A government that will redeem the country from the worst right-wing government since the post-independence period and open the chapter of collective progress for a people who are asking for justice, for the younger generations who are hungry for better days, for a better life.","Πολίτες της Αχαΐας, σήμερα με την παρουσία σας εδώ, δίνουμε σε όλη την Ελλάδα το μήνυμα ότι δεν θα μας τρομοκρατήσουν οι τρομοκράτες. Εμείς θα τους τρομοκρατήσουμε με την ψήφο μας την Κυριακή. Από εδώ, από το κάστρο της μεγάλης δημοκρατικής Παράταξης, υψώνουμε σήμερα ανάστημα στην αδικία, ανάστημα στην ανασφάλεια. Και απλώνουμε το χέρι της ενότητας και της συνεργασίας σε κάθε δημοκράτη, κάθε προοδευτικό πολίτη της πατρίδας μας. Σε αυτούς που βαδίσαμε ίσως από άλλα μονοπάτια, αλλά πάντοτε προς τον ίδιο προσανατολισμό. Προς τη δικαιοσύνη, προς τη Δημοκρατία, προς την προκοπή, προς την Αλλαγή. Και τους λέμε, λέμε σε κάθε δημοκρατικό και προοδευτικό πολίτη σήμερα: Δεν είμαστε εδώ για να επαναλάβουμε ή να ξαναγράψουμε την ιστορία. Είμαστε εδώ για να ανοίξουμε μαζί από Δευτέρα ένα νέο κεφάλαιο στην ιστορία της πατρίδας μας! Το κεφάλαιο της αλλαγής στην Ελλάδα της τρίτης δεκαετίας του 21ου αιώνα. Το κεφάλαιο της προοδευτικής κυβέρνησης συνεργασίας που θα ανοίξει τη Δευτέρα, μετά την ψήφο του λαού μας την Κυριακή. Μιας κυβέρνησης που θα λυτρώσει τη χώρα από τη χειρότερη κυβέρνηση της Δεξιάς από τη μεταπολίτευση και θα ανοίξει το κεφάλαιο της συλλογικής προόδου για έναν λαό που ζητά δικαιοσύνη, για τις νεότερες γενιές που διψούν για καλύτερες μέρες, για μια καλύτερη ζωή.",political agenda,elections,election spending,0.8,0.2,0.0,"[['achaia', 'location', '1.0'], ['greece', 'country', '1.0'], ['sunday', 'date', '1.0'], ['castle of the great democratic party', 'organization', '1.0'], ['democrat', 'group of people', '0.8'], ['progressive citizen', 'group of people', '0.8'], ['the democratic party', 'organization', '0.6'], ['justice', 'organization', '0.6'], ['independence period', 'organization', '0.5']]"
3,"Citizens of Patras, for four years an entire society has experienced the doctrine of shock from the man who promised better jobs, better wages and care for the middle class. And where did he, four years later, reduce the middle class to? He reduced it to living on food stamps. Supermarket vouchers, electricity vouchers, petrol vouchers.","Πολίτες της Πάτρας, επί τέσσερα χρόνια μια ολόκληρη κοινωνία βίωσε το δόγμα του σοκ, από αυτόν που υποσχέθηκε καλύτερες δουλειές, καλύτερους μισθούς και φροντίδα για τη μεσαία τάξη. Και πού κατάντησε, τέσσερα χρόνια μετά, τη μεσαία τάξη; Την κατάντησε να ζει με τα κουπόνια. Κουπόνια για το σούπερ μάρκετ, κουπόνια για το ρεύμα, κουπόνια για τη βενζίνη. ",criticism,employment,austerity,-0.9,0.1,0.2,"[['patras', 'location', '1.0'], ['middle class', 'group of people', '0.5'], ['supermarket', 'organization', '0.5'], ['electricity', 'organization', '0.5'], ['petrol', 'organization', '0.5']]"
4,"But here we are today, at the last turn before the polls, in his last interview on his beloved SKY, he let slip and told us what his plan is for the middle class. His plan is, watch what he said, to punish and crush, that is what he said, those are the words he used, to punish and crush the borrowers who managed to save their homes from the Katseli law. That is what he said verbatim. And so we understood why in the last few hours he has been insisting so much that supposedly we have a hidden agenda in our programme. Because he wants this distraction to make people look the other way while he is getting ready to take away their property, to take away their houses in the auctions. And if some younger people did not remember or some older people forgot, he came to remind us what the right-wing means, the worst right-wing government since the post-war period, the government of Mr Mitsotakis. So we say it clearly from George Square today, so that all of Greece can hear it: On Sunday, Mitsotakis' plans for the largest redistribution of property that has ever taken place in the country since the Second World War, for 700,000 auctions of first homes, for 700,000 evictions, on Sunday, the Greek people will thwart these plans!","Και να όμως που σήμερα, στην τελευταία στροφή πριν τις κάλπες, στην τελευταία του συνέντευξη στον αγαπημένο του ΣΚΑΪ, του ξέφυγε και μας μαρτύρησε ποιο είναι το σχέδιό του για τη μεσαία τάξη. Το σχέδιό του είναι, προσέξτε τι είπε, να τιμωρήσει και να τσακίσει, αυτό είπε, αυτές τις λέξεις χρησιμοποίησε, να τιμωρήσει και να τσακίσει τους δανειολήπτες που κατάφεραν να σώσουν τα σπίτια τους από τον νόμο Κατσέλη. Αυτά είπε επί λέξει. Και έτσι καταλάβαμε γιατί τις τελευταίες ώρες επιμένει τόσο πολύ ότι δήθεν εμείς έχουμε κρυφή ατζέντα στο πρόγραμμά μας. Γιατί θέλει με τον αντιπερισπασμό αυτό να κοιτάζουν οι πολίτες αλλού την ώρα που αυτός θα ετοιμάζεται για να τους πάρει τις περιουσίες, για να τους πάρει τα σπίτια στους πλειστηριασμούς. Κι αν κάποιοι νεότεροι δεν θυμόντουσαν ή κάποιοι παλαιότεροι ξεχάσανε, ήρθε να μας θυμίσει τι σημαίνει Δεξιά, η χειρότερη κυβέρνηση της Δεξιάς από τη Μεταπολίτευση, η κυβέρνηση του κ. Μητσοτάκη. Το λέμε λοιπόν καθαρά από τη Πλατεία Γεωργίου, σήμερα, να το ακούσει ολόκληρη η Ελλάδα: Την Κυριακή τα σχέδια Μητσοτάκη για τη μεγαλύτερη αναδιανομή περιουσίας που έχει γίνει ποτέ στον τόπο από τον Β’ Παγκόσμιο Πόλεμο, για 700.000 πλειστηριασμούς πρώτης κατοικίας, για 700.000 εξώσεις, την Κυριακή τα σχέδια αυτά τα ματαιώνει ο ελληνικός λαός! ",criticism,housing,electronic auctions,,0.8,0.2,"[['katseli law', 'organization', '0.6'], ['george square', 'location', '0.9'], ['mitsotakis', 'person', '1'], ['greek people', 'group of people', '0.8'], ['greece', 'country', '1'], ['second world war', 'date', '0.9'], ['sunday', 'date', '1']]"
5,"Because with their vote, the people will evict Mr Mitsotakis from the Maximou building this Sunday. Not Mr. Mitsotakis from the middle class! And I want to say it clearly: After yesterday's rally in Athens, after all the rallies we have held, which have nothing to do with this climate that the propaganda wants to create for us, which wants to terrorize hope, and after our rally here in Patras today, it is now obvious: Go away, Mr Mitsotakis. Today Patras is telling you. Go away! Pack your things from now on. Rip out the Predator cables there in Maximou! Gather the evidence of the crime. From Monday, the Maximus Megaron goes from being a centre of illegal surveillance to the headquarters of the Republic. It is once again becoming the headquarters of a progressive government that will take on the difficult task of getting society back on its feet, getting the economy back on its feet, and restoring hope to the vast majority of society.","Γιατί με την ψήφο του, ο λαός θα κάνει έξωση στον κύριο Μητσοτάκη από το Μέγαρο Μαξίμου, αυτή την Κυριακή. Όχι ο κ. Μητσοτάκης από τη μεσαία τάξη! Και θέλω να το πω καθαρά: Μετά τη χθεσινή συγκέντρωση στην Αθήνα, μετά από όλες τις συγκεντρώσεις που κάναμε, που δεν έχουν καμία σχέση μ’ αυτό το κλίμα που θέλει να μας δημιουργήσει η προπαγάνδα που θέλει να τρομοκρατήσει την ελπίδα αλλά και μετά από τη σημερινή μας συγκέντρωση εδώ στην Πάτρα, είναι πλέον φανερό: Φύγατε κύριε Μητσοτάκη. Σας το λέει σήμερα η Πάτρα. Φύγατε! Μαζέψτε από τώρα τα πράγματά σας. Ξηλώστε τα καλώδια του Predator εκεί στο Μαξίμου! Μαζέψτε τα πειστήρια του εγκλήματος. Από Δευτέρα το Μέγαρο Μαξίμου από κέντρο παράνομων παρακολουθήσεων γίνεται ξανά το στρατηγείο της Δημοκρατίας. Γίνεται ξανά το στρατηγείο μιας προοδευτικής κυβέρνηση που θα αναλάβει το δύσκολο έργο να ξαναστήσει την κοινωνία στα πόδια της, να ανορθώσει την οικονομία, να ξαναφέρει την ελπίδα στη μεγάλη κοινωνική πλειοψηφία. ",political agenda,elections,election spending,-0.4215,0.1,0.2,"[['mr mitsotakis', 'person', '0.9'], ['athens', 'location', '0.9'], ['patras', 'location', '0.9'], ['maximou building', 'location', '0.7'], ['predator', 'organization', '0.7'], ['republic', 'organization', '0.7']]"
6,"The Greeks will not give Mr Mitsotakis a pass. They will not give a pass for what he has done in these four years in order to make the next four years worse. But really, how can they forgive him?","Οι Ελληνίδες και οι Έλληνες δεν θα δώσουν συγχωροχάρτι στον κ. Μητσοτάκη. Δεν θα δώσουν συγχωροχάρτι για όσα έκανε αυτά τα τέσσερα χρόνια, προκειμένου να κάνει χειρότερα τα επόμενα τέσσερα. Αλλά αλήθεια, πώς μπορούν να τον συγχωρήσουν; ",criticism,other,austerity,-0.6,0.3,0.2,"[['mitsotakis', 'person', '0.9'], ['greeks', 'group of people', '0.9'], ['next four years', 'date', '0.6']]"
7,"For the 37,000 who perished in the pandemic, and our hospitals that it is leaving in collapse.","Για τους 37.000 που χάθηκαν στην πανδημία, και τα νοσοκομεία μας που τα αφήνει υπό κατάρρευση. ",,health,public health system,-0.8,0.0,0.0,[]
8,For the salary that ends in the third week of the month. For the obscenity that is sweeping the income.,Για τον μισθό που τελειώνει την τρίτη εβδομάδα του μήνα. Για την αισχροκέρδεια που σαρώνει το εισόδημα. ,,other,wages,-0.8,0.0,0.0,[]
9,"For robbing pensioners. The 13th pension and the retroactive payments he cut off, 7 billion in 4 years.","Για τη ληστεία στους συνταξιούχους. Τη 13η σύνταξη και τα αναδρομικά που τους έκοψε, 7 δισεκατομμύρια μέσα σε 4 χρόνια.",criticism,pensioners,pensions,-0.8,0.0,0.0,"[['pensioners', 'group of people', '1.0'], ['pension', 'date', '1.0'], ['retroactive payments', 'date', '1.0']]"
10,How can they forgive him for the thousands of kids he left out of our universities with the Minimum Admission Base? How can they forgive him for the blue grasshopper onslaught on the public wealth?,"Πώς μπορούν να τον συγχωρήσουν για τα χιλιάδες παιδιά που άφησε έξω από τα πανεπιστήμιά μας, με την Ελάχιστη Βάση Εισαγωγής; Πώς μπορούν να τον συγχωρήσουν για την επέλαση των γαλάζιων ακρίδων στον δημόσιο πλούτο;",criticism,education,other,-0.7,0.0,0.5,"[['1. minimum admission base', 'organization', '0.5'], ['2. blue grasshopper onslaught', 'group of people', '0.3 (assuming this is a metaphorical phrase and not referring to actual grasshoppers)']]"
