id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you Pericles, thank you all.","Ευχαριστώ Περικλή, ευχαριστώ όλες και όλους.",political agenda,other,other,,0,0,"[['pericles', 'person', '0.8']]"
2,"I will take the opportunity of something Pericles said, that they are talking about our programme, they are talking about our proposals, they are in a frenzy with the executioner.
But what is interesting is that the only way they can deal with our proposals, the executioner, Ulysses, the energy exchange proposals, is not to criticise them but to indulge in black propaganda. If you see Daily Capital All the mouthpieces of the oligarchy what do they say about Demeter? You will see that one fifteen-year-old student, if he or she had read the demitra for 10 minutes, would know that what they say is a lie. You can criticize all policies and in the demitra and Ulysses there are criticisms you can make.","Θα αδράξω την ευκαιρία από κάτι που είπε ο Περικλής, ότι μιλάνε για το πρόγραμμα μας, μιλάνε για τις προτάσεις μας, έχουνε πάθει παροξυσμό με τη δήμητρα.
Αυτό που έχει ενδιαφέρον όμως είναι ο μόνος τρόπος να αντιμετωπίσουν τις προτάσεις μας, τη δήμητρα, τον Οδυσσέα, τις προτάσεις για το χρηματιστήριο ενέργειας δεν είναι να ασκήσουν κριτική σε αυτά αλλα να επιδοθούν στη μαύρη προπαγάνδα. Αν δείτε Καθημερινή κάπιταλ Όλα τα φερέφωνα της ολιγαρχίας τι λένε για τον δημητρά; Θα δείτε ότι ενας η μία Δεκαπεντάχρονος μαθητής ή μαθήτρια, αν το είχε διαβάσει το δήμητρα 10 λεπτά, θα ήξερε ότι αυτά που λένε είναι ψέματα. Μπορείς να κάνεις κριτική σε όλες τις πολιτικές και στη δήμητρα και στον Οδυσσέα υπάρχουν κριτικές που μπορείς να κάνεις. ",criticism,media,other,0,0.3,0.1,"[['pericles', 'person', '0.9'], ['ulysses', 'person', '0.9'], ['daily capital', 'organization', '0.8'], ['demeter', 'organization', '0.8'], ['oligarchy', 'group of people', '0.7'], ['fifteen-year-old student', 'person', '0.6']]"
3,"The fact that they engage in blatant lying blatant lying? It shows how panic has gotten the better of them. Why? We have no problem when they take down Hercules for selling red loans, to exercise to read the bill, to look at exactly what is being done, to describe to you exactly what is being done and to criticize strongly, denouncing criticism of what is being done, of what Hercules is doing, not what Hercules is not doing. They engage in criticism of what the executioner is not doing because they have no arguments and they don't care. Ultimately, all you care about is Goebbels' tactics.","Το γεγονός ότι επιδίδονται σε κατάφωρα ψέματα κατάφωρα ψέματα; Δείχνει πόσο πανικός τους έχει καταβάλει. Γιατί; Εμείς δεν έχουμε πρόβλημα όταν αυτοί κατεβάζουν τον Ηρακλή για την πώληση των κόκκινων δανείων, να ασκήσουμε να διαβάσουμε το νομοσχέδιο, να κοιτάξουμε ακριβώς τι γίνεται, να περιγράψουμε σε εσάς ακριβώς τι γίνεται και να ασκήσουμε κριτική εντονότατη κριτική, καταγγελτική κριτική σε αυτό που γίνεται, σε αυτό που κάνει ο Ηρακλής, όχι σε αυτό που δεν κάνει Ηρακλής. Εκείνοι επιδίδονται κριτικής σε αυτό που δεν κάνει η δήμητρα γιατί δεν έχουν επιχειρήματα και δεν τους νοιάζει. Σε τελική ανάλυση, το μόνο που σε ενδιαφέρει είναι η τακτική του Γκέμπελς. ",criticism,media,other,-0.7,0,0,"[['hercules', 'organization', '0.7'], ['goebbels', 'person', '0.7']]"
4,"Goebbels was the first teacher of propaganda and he said one thing: To keep the voice of the opponents, the opponents of the Nazis, from being heard, you take a big lie The bigger the better and keep repeating it over and over again. This is written in Goebbels' propaganda manual. The New Democracy and PASOK and SYRIZA are engaged in the full full implementation of Goebbels' propaganda doctrine, as far as we are concerned, it strengthens us, it makes us feel that something good must be done, it can't be. It can't, if we didn't do something good we will be severely criticized.","Ο Γκέμπελς ήταν ο πρώτος διδάξας της προπαγάνδας και έλεγε ένα πράγμα: Για να μην ακούγεται η φωνή των αντιπάλων, των αντιπάλων των Ναζί, παίρνετε ένα μεγάλο ψέμα Όσο μεγαλύτερο τόσο καλύτερα και συνεχώς να το επαναλαμβάνετε ξανά και ξανά. Αυτό είναι γραμμένο στο εγχειρίδιο προπαγάνδας του Γκέμπελς. Η νέα δημοκρατία και το ΠΑΣΟΚ και ο ΣΥΡΙΖΑ επιδίδονται στην πλήρη πλήρη Εφαρμογή του δόγματος προπαγάνδας του Γκέμπελς, όσο αφορά εμάς, αυτό μας ενισχύει, μας κάνει να νιώθουμε ότι κάτι καλό πρέπει να κάνουμε, δεν μπορεί. Δεν μπορεί, αν δεν κάναμε κάτι καλό θα μας κάνει μια σοβαρή κριτική.",criticism,democracy,other,-0.8,1,0,"[['goebbels', 'person', '1.0'], ['nazis', 'organization', '1.0'], ['new democracy', 'group of people', '1.0'], ['pasok', 'group of people', '1.0'], ['syriza', 'group of people', '1.0']]"
5,"Before I go on Let me in the atmosphere which the periklis created read the names of our candidates in the 2 counties of the region, Kavala and Drama.
Because it is of great importance and for me personally it is a very great joy that not only do we have with us the people with whom we started with day 25, Diem 25 even before day 25 started from 2016 17 18, but we have new fellow travellers, we have new supporters, new comrades that we had walked together.
Then that first five months in the spring, the Greek spring that the Trojans were talking about and shaking. We parted ways because of disagreements, but the fact that we are together today shows that our disagreements were not strategic, they were tactical disagreements; plus we have what it takes. What a leftist, a leftist needs; the ability to put aside our egos, our bitterness, our counter-arguments and to embrace each other again and move forward together in the common frontal united struggle.","Πριν συνεχίσω Επιτρέψτε μου στο κλίμα Το οποίο δημιούργησε ο περικλής να Διαβάζω τα ονόματα των υποψηφίων μας στους 2 νομούς της περιοχής, στην Καβάλα και στη δράμα.
Γιατί έχει μεγάλη σημασία και για μένα προσωπικά αποτελεί πολύ μεγάλη χαρά ότι όχι, όχι μόνο έχουμε μαζί μας τους ανθρώπους με τους οποίους ξεκίνησε με το μέρα 25, το Diem 25 ακόμα πριν ξεκινήσει το μέρα 25 από 2016 17 18, αλλά έχουμε και νέους συνοδοιπόρους, έχουμε και νέους συμπαραστάτες, νέους συντρόφους που είχαμε πορευτεί μαζί.
Τότε εκείνο το πρώτο πεντάμηνο την άνοιξη, την ελληνική άνοιξη που λέγανε και τρέμανε οι τροϊκανοί. Χώρισαν οι δρόμοι μας λόγω διαφωνιών, αλλά το γεγονός ότι είμαστε μαζί σήμερα Καταδεικνύει ότι οι διαφωνίες μας δεν ήταν στρατηγικής σημασίας, Ήταν διαφωνίες τακτικής.Συν ότι έχουμε αυτό που χρειάζεται. Που χρειάζεται ένας αριστερός, μια αριστερή.Τη δυνατότητα να βάζουμε στην άκρη tο εγώ μας, τις πικρίες μας, τις αντεγκλήσεις μας και να ξα να αγκαλιαζόμαστε και να προχωράμε μαζί στον κοινό μετωπικό ενιαίο αγώνα. ",political agenda,elections,impunity,0.6,0,0,"[['kavala', 'location', '1.0'], ['drama', 'location', '1.0'], ['diem 25', 'political party', '1.0'], ['trojans', 'group of people', '0.7'], ['greek', 'country', '0.9'], ['five months', 'date', '0.7']]"
6,"That's why I want to welcome here today and locally this alliance for rupture under the umbrella of Day 25, which is expressed in terms of faces, because as feminists said in the 70's, the personal is also political. Here in the constituency of Kavala we start with bright from apostolaki apostolaki, bright who are you are here? She's abroad, we send our love to Germany. Despina Damianidou, Despina Damianidou. She's not here either. George Ioannidis, George is here. Michael Makarios. Kostas dwarf together we are from the first moment of day 25. As with Michael. George Passas. There he is. And now I'm moving on to the constituency of Drama, Maria Neofotistou. And Maria is missing. The girls don't want us to strike today. Apostle Prokova. Apostle. And Anastasios Hadjilazarou. Resurrection.","Για αυτό Θέλω να χαιρετίσω εδώ σήμερα και σε τοπικό επίπεδο αυτή τη συμμαχία για τη ρήξη Υπό την ομπρέλα του μέρα 25, η οποία εκφράζεται όσο αφορά τα πρόσωπα, γιατί όπως λέγανε οι φεμινίστριες δεκαετία του 70 το προσωπικό είναι και πολιτικό Στα εξής ονόματα. Εδώ στην εκλογική περιφέρεια της Καβάλας ξεκινάμε με την φωτεινή από αποστολάκη αποστολακάκη, φωτεινή που είσαι είναι εδώ; Είναι στο εξωτερικό φωτεινή σου στέλνουμε την αγάπη μας στη Γερμανία.Δέσποινα Δαμιανίδου, Δέσποινα Δαμιανίδου.Ούτε αυτηείναι εδώ. Γιώργος Ιωαννίδης, ο Γιώργος είναι εδώ.Μιχαλης μακαριου. Κώστας νάνος μαζί είμαστε από την πρώτη στιγμή του μέρα 25. Όπως και με τον Μιχάλη.Γιώργος Πάσσας.Να τος. Και τώρα περνάω στην εκλογική περιφέρεια Δράμας Μαρία Νεοφώτιστου. Και η Μαρία λείπει. Τα κορίτσια δεν μας θέλουν σήμερα να απεργούν απόστολος προκόβας.Απόστολε.Και αναστάσιος χατζηλαζάρου.Ανάσταση.",political agenda,elections,other,0,0,0,"[['day 25', 'organization', '1.0'], ['kavala', 'location', '1.0'], ['apostolaki', 'person', '0.9'], ['germany', 'country', '0.9'], ['despina damianidou', 'person', '0.9'], ['george ioannidis', 'person', '0.9'], ['michael makarios', 'person', '0.9'], ['kostas dwarf', 'person', '0.9'], ['george passas', 'person', '0.9'], ['drama', 'location', '0.9'], ['maria neofotistou', 'person', '0.9'], ['apostle prokova', 'person', '0.9'], ['anastasios hadjilazarou', 'person', '0.9']]"
7,"I was listening to Mitsotakis the other day saying, remember the imaginative thing he found against us, ""How many hangmen will make a souvlaki? Did you hear that? The same day he had said something else to the laid off people here in your area he had said E what do we do? That's the market. Interesting, isn't it? The market works too well when it brings in revenue to Mitsotakis Inc. And the cost is the layoffs. In other words, we have a regime now that is not just exploitative. Capitalism has always been exploitative is the essence of capitalism. But here it is not pure capitalism. Think about it, we have a Patchwork, a mixture of socialism for the oligarchy and hard market for the rest of us; the rest of us, the have-nots, the have-nots, the weakest, the working class, the middle class, the lower middle class, the unemployed, the disabled, the retired, are thrown into the Roman arena of the market market arena, in which the lions tear their flesh. That is the market system, but for the oligarchs there is no competition. There is no such thing as the Roman arena. The great theorists of liberalism, the great proponents of capitalism, so to speak, have always thought, what they said, Adam Smith, for example, said that the good thing about capitalism is that competition between capitalists forces them to convert their own greed. Everybody is greedy, Adam Smith said, but because of the competition between them like mobsters undermining each other eventually the market forces the capitalists to serve the social interest. This is the ideology of the right.","Άκουγα τον Μητσοτάκη τις προάλλες να λέει, θυμάστε το ευφάνταστο αυτό που βρήκε εναντίον μας λέει Πόσες δήμητρεςς θα κάνει ένα σουβλάκι; Το ακούσατε αυτό; Την ίδια μέρα είχε πει και κάτι άλλο στους απολυμένους εδώ στην περιοχή σας είχε πει Ε τι να κάνουμε; Έτσι είναι η αγορά.Ενδιαφέρον αυτό, έτσι; Η αγορά λειτουργεί πάρα πολύ καλά όταν αποφέρει προσόδους στη Μητσοτάκης Α Ε. Και το κόστος της είναι οι απολύσεις Των πολλών. Με άλλα λόγια, έχουμε ένα καθεστώς πλέον το οποίο δεν είναι απλά εκμεταλλευτικό. Πάντα ο καπιταλισμός εκμεταλλευτικός ήταν είναι η ουσία του καπιταλισμού. Όμως εδώ δεν είναι αμιγώς καπιταλισμός. Για σκεφτείτε το έχουμε ένα Συνονθύλευμα, μια μίξη σοσιαλισμού για την ολιγαρχία και σκληρής αγοράς για τους υπόλοιπους.Οι υπόλοιποι, οι μη έχοντες, οι μη κατέχοντες, Οι πιο αδύναμοι, η εργατική τάξη, οι μικρομεσαίοι,Οι άνεργοι, οι άνθρωποι με ειδικές ανάγκες, οι συνταξιούχοι, ρίχνονται στην αρένα τη ρωμαϊκή αρένα της αγοράς της αγοράς, εντός της οποίας τα λιοντάρια τους ξεσκίζουν τις σάρκες. Αυτό είναι το σύστημα της αγοράς, αλλά για τους ολιγάρχες δεν υπάρχει ανταγωνισμός. Δεν υπάρχει η ρωμαϊκή αρένα. Οι μεγάλοι θεωρητικοί του φιλελευθερισμού, οι μεγάλοι υποστηρικτές του καπιταλισμού, να το πω έτσι, θεωρούσαν πάντα, τι έλεγαν, ο Άνταμ Σμιθ για παράδειγμα, έλεγε ότι το καλό με τον καπιταλισμό είναι ότι ο ανταγωνισμός μεταξύ των καπιταλιστών τους αναγκάζει να μετατρέψουν τη δική τους πλεονεξία. Ο καθένας είναι πλεονέκτης, έλεγε ο Άνταμ Σμιθ, αλλά λόγω του ανταγωνισμού μεταξύ τους σαν τους μαφιόζους που υπονομεύουν ο ένας τον άλλον τελικά αναγκάζει η αγορά τους καπιταλιστές να εξυπηρετούν το κοινωνικό συμφέρον. Αυτό είναι το ιδεολόγημα της δεξιάς. ",criticism,economy,other,-0.5,0.5,0.1,"[['mitsotakis', 'person', '0.9'], ['mitsotakis inc.', 'organization', '0.8'], ['roman', 'location', '0.7'], ['adam smith', 'person', '0.7']]"
8,"What market? The energy exchange? In a stock market really in New York in the New York Stock Exchange, in the London Stock Exchange, every day there are losers and winners.There are thousands of gamblers playing They make bets They borrow to get some They finish their day and can't sleep at night because they are losers Some are sailing on a sea of happiness because they have made millions of billions. This is how a real market, a stock market, works. It's odious and this stock market is misanthropic, but that's what a stock market is.","Ποια αγορά; Το χρηματιστήριο ενέργειας; Σε ένα χρηματιστήριο πραγματικά στη Νέα Υόρκη στο χρηματιστήριο της Νέας Υόρκης, στο χρηματιστήριο του Λονδίνου, κάθε μέρα υπάρχουν χαμένοι και κερδισμένοι.Υπάρχουν χιλιάδες παίκτες παίζουν Βάζουν στοιχήματα δανείζονται για να πάρουν κάποιοι τελειώνουν την ημέρα τους και δεν μπορούν να κοιμηθούν το βράδυ γιατί είναι χαμένοι κάποιοι Πλέουν σε πελάγη ευτυχίας γιατί έχουν βγάλει εκατομμύρια δισεκατομμύρια. Έτσι λειτουργεί μια πραγματική αγορά, ένα χρηματιστήριο. Απεχθές είναι και αυτό το χρηματιστήριο μισανθρωπικό είναι, αλλά αυτό αυτό είναι χρηματιστήριο. ",criticism,energy,other,0,0,0,"[['new york stock exchange', 'organization', '1.0'], ['london stock exchange', 'organization', '1.0'], ['new york', 'location', '1.0']]"
9,"What Alexis Tsipras set up with, you remember him, with my friend, my former friend, and my colleague, my former colleague, George Stathakis. Where Stathakis was coming out and saying that now from now on the electricity is going to be a lot and it's going to be cheap. The energy exchange. What is the energy exchange? An energy exchange with 5,000 people competing with is not an energy exchange, do you know what it is? It's a coffee shop. They sit 5 in a cafe. It's not a coffee shop, it's electronic. It's like doing a zoom or a skype, a watchapp. Every morning And they say the price to put on these donkeys here that we're going to steal and loot them? Someone says let's put 350 euros a kilowatt hour on them, the other one says, ""No, let's not overdo it then, let's make it 330, they get along with each other. This is the energy exchange. This is the Roman arena, in which the rules of the market tear the flesh from the capitalists! Nonsense. They're getting along. Capitalism is a market that resembles a Roman arena for the workers only for the workers only for the many, but here we have gone too far, we have socialism for the oligarchs, because that's what it is. A whole state works for them. They don't produce products to sell on the market to take a risk and say that their profit is a reward for their risk, dear boy. What risk is bardinoyannis taking in the energy exchange? Pigeon.","Αυτό που έστησε ο Αλέξης Τσίπρας με, τον θυμάστε, με το φίλο μου, τέως φίλο μου, και συνάδελφό μου, τέως συνάδελφό μου, τον Γιώργο Σταθάκη. Που έβγαινε ο Σταθάκης και έλεγε ότι τώρα από δω και πέρα το ρεύμα θα είναι πολύ και θα είναι και φτηνό. Το χρηματιστήριο ενέργειας. Τι είναι το χρηματιστήριο ενέργειας; Ένα χρηματιστήριο ενέργειας με 5 ανθρώπους 5000 που να ανταγωνίζονται με δεν είναι χρηματιστήριο, ξέρετε τι είναι; Καφενείο. Κάθονται 5 σε ένα καφενείο. Δεν είναι καφενείο, είναι ηλεκτρονικό. Είναι σαν να κάνουν ένα zoom ή ένα skype, ένα watchapp. Κάθε πρωί Και λένε την τιμή να βάλουμε σε αυτά τα γαϊδούρια εδώ που θα τους κλέψουμε και θα τους λεηλατήσουμε; Κάποιος λέει να τους βάλουμε 350 € την κιλοβατώρα λέει ο άλλος ρε σεις Όχι να μην το παρακάνουμε τότε, ας το κάνουμε 330, τα βρίσκουν μεταξύ τους. Αυτό είναι το χρηματιστήριο ενέργειας. Αυτή είναι η ρωμαϊκή αρένα, μέσα στην οποία οι κανόνες της αγοράς ξεσκίζουν τις σάρκες των καπιταλιστων! Ανοησίες. Τα βρίσκουνε. Ο καπιταλισμός είναι μια αγορά που να θυμίζει ρωμαϊκή αρένα μόνο για τους εργαζόμενους μόνο για τους πολλούς, αλλά εδώ το έχουμε παρακάνει, έχουμε σοσιαλισμό για τους ολιγάρχες, γιατί αυτό είναι. Ένα ολόκληρο κράτος δουλεύει για αυτούς. Δεν παράγουν προιόντα να τα πουλάνε στην αγορά να παίρνουν ένα ρίσκο και να πεις ότι το κέρδος τους είναι μια ανταμοιβή για το ρίσκο τους βρε παιδί μου. Ποιο ρίσκο παίρνει βαρδινογιάννης στο χρηματιστήριο ενέργειας; Περιστέρης. ",criticism,energy,other,-0.6,0,0,"[['alexis tsipras', 'person', '0.9'], ['george stathakis', 'person', '0.9'], ['energy exchange', 'organization', '0.6'], ['country', 'coffee shop', 'location', '0.6'], ['roman arena', 'organization', '0.6'], ['capitalism', 'political party', '0.6'], ['socialism', 'political party', '0.6'], ['state', 'organization', '0.6']]"
10,"May Day when you open after May Day, the PPC bill, you will see that the supply fee, the supply fee that goes to the Deddee. The deddee is the part of the old PPP that they cut off.They broke it from the old single PPP and it is what carries the electricity from the generating plants to your house or your shop. That fee which is currently 52 cents a kilowatt hour will go to 444 cents a kilowatt hour 4 € and 44. That is 752%. It is a monopoly increase and it was decided by the decree with Mitsotakis. He could say 1000%. What is it, where do you see it in the market?There is a market here, a monopoly, it's a company and it's not just one company. Friends and friends, fellow travellers, comrades. The company that Mitsotakis S.A. sold to a criminal organisation called Macquarie.
An Australian fake bank an Australian corporation something like a giant goal that engages in criminal acts against peoples one after another. One after another.","Πρωτομαγιά όταν ανοίξετε μετά την Πρωτομαγιά, το λογαριασμό της ΔΕΗ, θα δείτε ότι το τέλος παροχής,το πάγιο παροχής που πάει στο Δεδδηε. Ο δεδδηε είναι το κομμάτι της παλιάς ΔΕΗ που το κόψανε.Το έσπασαν από την παλιά ενιαία ΔΕΗ και είναι αυτό το οποίο μεταφέρει το ρεύμα από τις μονάδες παραγωγής στο σπίτι σας ή στο μαγαζί σας. Το τέλος αυτό το οποίο σήμερα είναι 52 λεπτά, την κιλοβατώρα θα πάει στα 444 λεπτά την κιλοβατώρα 4 € και 44. Αυτό είναι 752%. Είναι μια αύξηση μονοπώλιο και την αποφάσισε ο δεδδηε με τον Μητσοτάκη. Θα μπορούσε να πει 1000%. Ποια είναι, πού τη βλέπετε εσείς στην αγορά;Υπάρχει αγορά εδώ μονοπωλιο, μια εταιρεία είναι και δεν είναι μόνο μια εταιρεία. Φίλες και φίλοι, συνοδοιπόροι, συντρόφισσες και σύντροφοι. Η εταιρεία που μητσοτακης Α Ε την πούλησε σε μια εγκληματική οργάνωση που ονομάζεται Μακουόρι.
Μια αυστραλέζικη ψευτοτράπεζα μια αυστραλέζικη εταιρία κάτι σαν τεράστιο γκολ που επιδίδεται σε εγκληματικές πράξεις εναντίον λαών τη μία μετά την άλλη. Τη μία μετά την άλλη.",criticism,energy,electricity,-1,0,0,"[['may day', 'date', '1.0'], ['ppc', 'organization', '1.0'], ['deddee', 'organization', '0.6'], ['ppp', 'political party', '0.4'], ['mitsotakis', 'person', '1.0'], ['macquarie', 'organization', '1.0'], ['australia', 'country', '1.0']]"
