id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good evening Larissa good evening to all. Hero said I speak from the heart, let me speak from the bottom of my heart because with Hero. Last time we were together. It was in the plenary of the House of Representatives when together we voted against the memoranda with a left-wing progressive face then we left our positions. Hera because it is very good that she left her parliamentary position at the time when others. From one place to another with the yes to everything to the Troika, to all those that send our children abroad, that desertify our country that make this country a debt serfdom in which not only all the predators of the earth indulge with imaginative scientifically-philosophical fury, but has become a cheap shooting range from Alexandroupolis to Souda in a war here in our region where people are being killed just to serve war criminals from Putin to Washington and Texas. ","Καλησπέρα Λάρισα καλησπέρα σε όλες και όλους. Η Ηρώ είπε ότι μιλάω από καρδιάς, επιτρέψτε μου να μιλήσω από τα βάθη της καρδιάς μου γιατί με την Ηρώ. Τελευταία φορά που ήμασταν μαζί. Ήτανε στην Ολομέλεια της Βουλής τότε που μαζί καταψηφίσαμε τα μνημόνια με αριστερό προοδευτικό πρόσωπο πρόσημο τότε που αφήσαμε τις θέσεις μας. Η Ηρώ διότι είναι πολύ καλά ότι άφησε τη βουλευτική της θέση την ώρα που άλλοι. Από θεσούλα σε θεσούλα με το ναι σε όλα στην τρόικα, σε όλα εκείνα τα οποία στέλνουν τα παιδιά μας στο εξωτερικό, που ερημοποιούν τη χώρα μας που καθιστούν αυτή τη χώρα μια χρεοδουλοπαροικία στην οποία όχι μόνο επιδίδονται με ευφάνταστη επιστημονικοφανή μανία όλα τα αρπακτικά της γης, αλλά έχει γίνει και ένα πεδίο βολής φτηνό από την Αλεξανδρούπολη μέχρι τη Σούδα σε ένα πόλεμο εδώ στην περιφέρειά μας που σκοτώνονται άνθρωποι μόνο και μόνο για να εξυπηρετούνται εγκληματίες πολέμου από τον Πούτιν μέχρι την Ουάσιγκτον και το Τέξας. ",criticism,other,troika,-0.67,0.0,0.2,"[['larissa', 'location', '1.0'], ['hero', 'person', '1.0'], ['house of representatives', 'organization', '1.0'], ['troika', 'organization', '1.0'], ['alexandroupolis', 'location', '1.0'], ['souda', 'location', '1.0'], ['putin', 'person', '1.0'], ['washington', 'location', '1.0'], ['texas', 'location', '1.0']]"
2,"We are here, Day 25 Alliance for Rupture, all those who in 2015 stood up in front of the hell of capitulation, in front of those who in 2015 stood up in front of a real necessary struggle of the Greek people, a brave no when all of you rose up against the channels of the interconnectedness, against the terrorism of Mario Draghi, Mega, Antenna, the whole system. You stood up and said oh. That night. They did it yes. Unfortunately, and I'm also making a self-criticism and I think we all are. We didn't get to stand up and rally. To become a fist, to go against both our former comrades and the entire memorandum meme establishment. That is why it is a great joy now because we are together again. Because after the first consultative congress of Mera 25 we proved that we did not enter parliament to take a position. We entered the parliament to be the catalyst for this convergence, not only with Hera, but with the comrades of popular unity that I see you here with comrades who are not in popular unity who are not in Mera who are non-aligned of the left, of the water movements. Of the movements for wind turbines on the mountain tops for the Acheloos. For the immigrants, for all the things that are hurting this country and ultimately making it unsustainable.","Είμαστε εδώ Μέρα 25 συμμαχία για τη ρήξη όλοι εκείνοι και όλοι εκείνες που το 2015 σταθήκαμε όρθιοι μπροστά στη λαίλαπα της συνθηκολόγησης, μπροστά σε εκείνους που ένα πραγματικό απαραίτητο αγώνα του ελληνικού λαού, ένα γενναίο όχι τότε που όλοι εσεις ξεσηκωθήκατε κόντρα στα κανάλια της διαπλοκής κόντρα στην τρομοκρατία του Μάριο Ντράγκι, του Mega, του Αντεννα, ολόκληρου του συστήματος. Σταθήκατε ορθιοι και είπατε όχi. Eκείνο το βράδυ. Το κάνανε ναι. Δυστυχώς, kαι κάνω και μια αυτοκριτική και νομίζω ότι όλοι την κάνουμε. Δεν καταφέραμε εμείς που σταθήκαμε όρθιοι να συνασπιστούμε. Να γίνουμε μια γροθιά, να πάμε κόντρα και στους τέως συντρόφους και σε ολόκληρο το μνημόνιο μνημονιακό κατεστημένο. Γι αυτό είναι μεγάλη χαρά τώρα γιατί είμαστε μαζί πάλι. Γιατί μετά από το πρώτο διαβουλευτικό συνέδριο του Mέρα 25 αποδείξαμε ότι δεν μπήκαμε στη Βουλή για να πάρουμε μια θέση. Μπήκαμε στη Βουλή για να είμαστε ο καταλύτης για αυτή τη σύγκλιση, όχι μόνο με την Ηρώ, αλλά με τους συντρόφους της λαϊκής ενότητας που σας βλέπω εδώ μαζί με συντρόφους που δεν είναι στη λαϊκή ενότητα που δεν είναι στο Mέρα που είναι ανένταχτοι της αριστεράς, των κινημάτων για το νερό. Των κινημάτων για τις ανεμογεννήτριες πάνω στις βουνοκορφές για τον Αχελώο. Για τους μετανάστες, για όλα αυτά τα οποία πληγώνουν αυτή τη χώρα και τελικά την καθιστούν μη βιώσιμη. ",political agenda,democracy,other,0.0,0.2,0.2,"[['day 25 alliance for rupture', 'organization', '1.0'], ['greek people', 'group of people', '1.0'], ['mario draghi', 'person', '0.8'], ['mega', 'organization', '0.8'], ['antenna', 'organization', '0.8'], ['consultative congress', 'organization', '0.8'], ['mera 25', 'organization', '0.8'], ['parliament', 'organization', '0.8'], ['hera', 'organization', '0.8'], ['popular unity', 'organization', '0.8'], ['left', 'group of people', '0.8'], ['water movements', 'organization', '0.8'], ['acheloos', 'location', '0.8'], ['immigrants', 'group of people', '0.8'], ['country', 'location', '0.6']]"
3,"Why friends? To talk seriously? A country in which the official narrative is the exact opposite of reality. A country in which the difference, the gap, the chaos between what is happening and what they say is happening when it is so huge, so huge this gap this country has no future. In countries that are walking in a sustainable way there is a convergence between reality and propaganda, some relationship, some relevance. Here we have Goebbels, what did he say, we are what was his basic project as far as propaganda is concerned? To confuse the people, to reverse the truth, to reverse the truth you have to take a big lie the bigger the better and tell it over and over again. They make it a bigger lie that Greece is viable within the memorandum straitjacket, the European framework, as they call it, which has nothing to do with a European framework. Right? Because this European framework does not apply to Germany, it does not even apply to Portugal. It only applies to Greece, but it is not a European framework, it is a Memorandum framework, it is a Troika framework.","Γιατί φίλες και φίλοι; Να μιλάμε σοβαρά; Μια χώρα στην οποία το επίσημο αφήγημα είναι ακριβώς το αντίθετο από την πραγματικότητα. Μια χώρα στην οποία η διαφορά, το χάσμα, το χάος μεταξύ αυτού που συμβαίνει και αυτό που λένε ότι συμβαίνει όταν είναι τέτοιο τεράστιο, τόσο τεράστιο αυτό το χάσμα αυτή η χώρα δεν έχει μέλλον. Σε χώρες που Βαδίζουν με βιώσιμο τρόπο υπάρχει μια σύγκλιση μεταξύ της πραγματικότητας και της προπαγάνδας, κάποια σχέση, κάποια συνάφεια. Εδώ έχουμε Γκέμπελς, τι έλεγε, Είμαστε ποιο ήταν το βασικό του πρόταγμα όσο αφορά την προπαγάνδα; Για να μπερδέψεις τον λαό, για να ανατρέψεις την αλήθεια, για να την αντιστρέψει την αλήθεια πρέπει να πάρεις ένα μεγάλο ψέμα όσο πιο μεγάλο, τόσο πιο καλά και να το λες ξανά και ξανά. Αυτό κάνουνε πιο μεγάλο ψέμα ότι η Ελλάδα είναι βιώσιμη εντός του μνημονιακού ζουρλομανδύα, του ευρωπαικού πλαισίου, όπως το λένε, το οποίο δεν έχει καμία σχέση με ευρωπαϊκό πλαίσιο. Έτσι; Γιατί αυτό το ευρωπαϊκό πλαίσιο δεν ισχύει για τη Γερμανία, δεν ισχύει ούτε καν για την Πορτογαλία. Ισχύει μόνο για την Ελλάδα, αλλά δεν ευρωπαικό, είναι μνημονιακό, είναι τρόικανικό πλαίσιο.",criticism,democracy,troika,-0.9,0.5,0.5,"[['goebbels', 'person', '0.5'], ['greece', 'country', '1'], ['germany', 'country', '1'], ['portugal', 'country', '1'], ['troika', 'organization', '0.5']]"
4,"Look. You've all lived. The 13 stone years of memorandum. Our children are either gone, about to leave, or staying. Bits of hordes, bits of hordes of hired labor, no prospects, no dreams. Without the ability to imagine the future is not what it was in my generation. At least the future has become bleak for the youth. Why is this true? Why is this true? Look.","Κοιτάξτε. Όλοι έχετε ζήσει. Τα 13 πέτρινα μνημονιακά χρόνια. Τα παιδιά μας είτε έχουν φύγει, είτε ετοιμάζονται να φύγουν είτε μένουν. Κομμάτια ορδών, μέρη ορδών ενοικιαζόμενης εργασίας, χωρίς προοπτικές, χωρίς όνειρα. Χωρίς τη δυνατότητα να φανταστούν το μέλλον δεν είναι αυτό που ήταν στη δική μου γενιά. Τουλάχιστον το μέλλον έχει γίνει ζοφερό για την νεολαία. Γιατί ισχύει αυτό; Γιατί ισχύει αυτό; Κοιτάξτε.",political agenda,economy,austerity,-0.6,0.0,0.0,"[['13 stone years', 'date', '0.85'], ['youth', 'group of people', '0.75']]"
5,"The first years after the 2010 memorandum, the bankruptcy because this ruling class of the country bankrupted the country. They said of course we got along well together and they bankrupted it. They loaded it with loans and took them abroad. They built fortunes and when the bubble burst. The entire cost of that bubble was passed on to the weaker citizens. That's what happened in 2010. For 5 years 6, this country was a model of collapse. With the exception of. A handful of oligarchs, some bankers who were bailed out by the loans of the troika and they were doing very well, but it was a handful, even the bourgeois ruling class, the richest of the Greeks, property rich, meaning you go to Kolonaki, Athens or the northern suburbs of Athens and you see people who are well-off with property, with apartments, with houses, with apartment buildings, with apartment buildings, they were suffering. Not as much as the working class, not as many women. The youth operator but they too had estates. They can't rent their apartments they can't sell them. There was no market, they paid ENVAT and had no income. In other words, for 5-6 years from 2010 onwards, all Greeks pretty much suffered together. Others much more than others in it there is no doubt about it.","Τα πρώτα χρόνια μετά το μνημόνιο του 2010, την πτώχευση γιατί αυτή η άρχουσα τάξη της χώρας πτώχευσε τη χώρα. Είπανε βέβαια με μαζί τα φάγαμε καλά την πτώχευσαν. Την φόρτωσαν δάνεια τα βγάλανε στο εξωτερικό. Χτίσανε περιουσίες και όταν έσκασε η φούσκα. Όλο το κόστος αυτής της φούσκας το μετέφεραν στις πλάτες των πιο αδύναμων πολιτών. Αυτό συνέβη το 2010. Για 5 χρόνια 6, αυτή η χώρα ήταν υπόδειγμα κατάρρευσης όλοι κατέρρεαν. Με εξαίρεση. Μια χούφτα ολιγάρχες, κάποιους τραπεζίτες που ήταν διασωληνωμένοι με τα δάνεια της τρόικας και αυτοί περνάνε πάρα πολύ καλά, αλλά ήταν μια χούφτα, ακόμα και η αστική άρχουσα τάξη, οι πιο πλούσιοι των Ελλήνων, περιουσιακά πλούσιοι, δηλαδή πήγαινε στο Κολωνάκι, στην Αθήνα ή στα βόρεια προάστια της Αθήνας και έβλεπες ανθρώπους ευκατάστατους με περιουσίες, με διαμερίσματα, με σπίτια, με πολυκατοικίες, υπέφεραν. Όχι όσο η εργατική τάξη, όχι όσες γυναίκες. Ο χειριστής νεολαία αλλά και εκείνοι είχαν περιουσίες. Δεν μπορείς να νοικιάσουν τα διαμερίσματά τους δεν μπορούν να τα πουλήσουν. Δεν υπήρχε αγορά, πλήρωναν ΕΝΦΙΑ και δεν είχαν εισοδήματα. Με άλλα λόγια, για 5-6 χρόνια από το 2010 και μετά, όλοι οι Έλληνες και όλες οι Ελληνίδες λίγο πολύ υποφέραμε μαζί. Άλλοι πολύ περισσότερο από άλλους σε αυτόν δεν υπάρχει καμία αμφιβολία για αυτό. ",criticism,debt,austerity,-0.6,0.5,0.5,"[['2010', 'date', '1.00'], ['greeks', 'group of people', '1.00'], ['ruling class', 'group of people', '1.00'], ['country', 'location', '1.00'], ['troika', 'organization', '1.00'], ['bankers', 'group of people', '1.00'], ['working class', 'group of people', '1.00'], ['women', 'group of people', '1.00'], ['youth', 'group of people', '1.00'], ['kolonaki', 'location', '1.00'], ['athens', 'location', '1.00'], ['envat', 'organization', '1.00']]"
6,"Things are changing. With the third memorandum. The radical left in quotation marks. And the fourth, the third one, remember, was after the capitulation to the conversion of the NO into a yes. The fourth memorandum was in the summer of August 2018. What happens now? With the memoranda of the Left, the so-called Left, 20% of the Greek people are receiving incomes and benefits that they have never seen before in their history. They are doing very, very well. The 80% are under conditions of plunder. What the memoranda under SYRIZA have done is that they have created a process of plundering of the many which, my friends, fellow comrades, is the only one in the history of humanity. This does not exist in any other country. That is, imperialism was once honest. Spanish conquistadors went to Mexico, killed, took the gold, took it to Spain. That was honest. It was clear, there was no choice. Then comes capitalist imperialism. As we know from Luxemburg from Lenin, what happens? The capitalist economies of Britain, Germany, France, later, Japan. They have heavy industry factories that produce far more products than the economy itself can absorb. Because because the workers had no wages, they had minimum wages, so the factories produced products that the proletariat can't buy. And what they did they had to find markets abroad. Imperialism. This is the wave that led to the First World War. It becomes more complicated imperialism. It's not as pure and simple as that of the Roman Empire or the Spanish.","Τα πράγματα αλλάζουν. Με το τρίτο μνημόνιο. Της ριζοσπαστικής Αριστεράς μέσα σε εισαγωγικά. Και το τέταρτο το τρίτο, θυμάστε, ήταν μετά τη μετατροπή της συνθηκολόγησης στη μετατροπή του ΟΧΙ σε ναι. Το τέταρτο μνημόνιο ήταν το καλοκαίρι τον Αύγουστο του 2018. Τι γίνεται τώρα; Με τα μνημόνια της Αριστεράς, της λεγόμενης Αριστεράς, το 20% του ελληνικού λαού, εισπράττει εισοδήματα και προσόδους που δεν είχε ξαναδεί ποτέ στην ιστορία του. Τα πάνε πάρα πολύ καλά. Το 80% βρίσκεται υπό συνθήκες λεηλασίας. Αυτό που έκαναν τα μνημόνια επί ΣΥΡΙΖΑ είναι ότι δημιούργησαν μια διαδικασία λεηλασίας των πολλών που φίλες και φίλοι, συνοδοιπόροι συντρόφισσες και σύντροφοι είναι η μοναδική στην ιστορία της ανθρωπότητας. Δεν υπάρχει σε καμιά άλλη χώρα, αυτό. Δηλαδή ο ιμπεριαλισμός κάποτε ήτανε τίμιος. Πηγαίνανε ισπανοί κονκισταδόρες στο Μεξικό σκότωναν, πήραν το χρυσό, το πήγαιναν στην Ισπανία. Αυτός ήταν τίμιος. Ήταν ξεκάθαρος, δεν υπήρχαν επιλογές. Μετά έρχεται ο καπιταλιστικός ιμπεριαλισμός. Όπως ξέρουμε από τη Λούξεμπουργκ από το Λένιν, τι γίνεται; Οι καπιταλιστικές οικονομίες Βρετανία, Γερμανία, Γαλλία, αργότερα, Ιαπωνία. Εχουν εργοστάσια βαριά βιομηχανία που παράγει πολύ περισσότερα προϊόντα από αυτά που μπορεί η ίδια η οικονομία να απορροφήσει. Γιατί γιατί οι εργαζόμενοι δεν είχαν μισθούς, είχαν ελάχιστους μισθούς, οπότε τα εργοστάσια παρήγαγαν προϊόντα που το προλεταριάτο δεν μπορεί να αγοράσει. Και τι κάνανε έπρεπε να βρουν αγορές στο εξωτερικό. Ιμπεριαλισμός. Αυτό είναι το κύμα αυτό οδήγησε στον Πρώτο Παγκόσμιο Πόλεμο. Γίνεται πιο περίπλοκος ο ιμπεριαλισμός. Δεν είναι τόσο αγνός και απλός, όπως τον της Ρωμαϊκής Αυτοκρατορίας ή των Ισπανών.",political agenda,debt,austerity,-0.5,0.5,0.3,"[['greek', 'country', '1.0'], ['left', 'organization', '0.8'], ['greek people', 'group of people', '0.8'], ['syriza', 'political party', '0.6'], ['mexico', 'location', '0.9'], ['spain', 'location', '0.9'], ['britain', 'location', '0.8'], ['germany', 'location', '0.8'], ['france', 'location', '0.8'], ['japan', 'location', '0.8'], ['proletariat', 'group of people', '0.6'], ['first world war', 'date', '0.8'], ['roman empire', 'organization', '0.6'], ['spanish', 'organization', '0.6']]"
7,"Here in Greece. They've found the combination of the memorandum parties of the European Central Bank, the European support mechanism. Big deal about support. Brussels' have found something that is unique, which is that if we weren't suffering so much, we should be applauding them for how imaginative they are. Notice my thought, there are 3 mechanisms that are unique in the history of capitalism, of humanity. First: Hercules, the red loan market. We have a bankrupt people, leave the state that is bankrupt. We have, according to official figures, 2 million properties that are red loans, they are included as collateral in red loans. So, let's say it's one property per family, we have 2 million Greeks who are currently on red loans.","Εδώ στην Ελλάδα. Έχουνε βρει ο συνδυασμός των μνημονιακών κομμάτων της Ευρωπαϊκής Κεντρικής Τράπεζας, του ευρωπαϊκού μηχανισμού στήριξης. Σιγά τη στήριξη. Των Βρυξελλών έχουν βρει κάτι το οποίο είναι μοναδικό, δηλαδή αν δεν υποφέραμε τόσο πολύ, θα έπρεπε να τους χειροκροτάμε για το πόσο ευφάνταστοι είναι. Παρατηρήστε τη σκέψη μου, υπάρχουν 3 μηχανισμοί που είναι μοναδική στην ιστορία του καπιταλισμού, της ανθρωπότητας. Πρώτος: Ηρακλής, η αγορά των κόκκινων δανείων. Εχουμε ένα λαό πτωχευμένο, αφήστε το κράτος που είναι πτωχευμένο. Έχουμε, σύμφωνα με τα επίσημα στοιχεία, 2 εκατομμύρια ακίνητα που είναι κόκκινα δάνεια, εμπεριέχονται ως εχέγγυα σε κόκκινα δάνεια. Δηλαδή, ας πούμε ότι είναι ένα ακίνητο ανά οικογένεια, έχουμε 2 εκατομμύρια Έλληνες που αυτή τη στιγμή είναι με κόκκινο δάνειο.",political agenda,debt,other,0.0,0.0,0.0,"[['greece', 'location', '1.0'], ['european central bank', 'organization', '0.5'], ['european support mechanism', 'organization', '0.5'], ['brussels', 'location', '1.0'], ['capitalism', 'political party', '0.5'], ['humanity', 'group of people', '0.5'], ['hercules', 'political party', '0.5']]"
8,"How does looting work? How did they manage to make money out of someone's bankruptcy? It's simple, you know it, but we'll say it one more time to remind us. You have someone here in Larissa. He has bought a 150,000 property in the good times relatively had put 50,000 out of pocket. He took out a loan of 100. Has he paid it off? Within the first few years 50, that is, out of 150, he has put 100 in his pocket and has the loan of 50 left. The country is going bankrupt. He goes bankrupt, his shop loses his job, his pension is reduced. It doesn't matter. His income goes down and he can't service the 50 grand he has left that he owes and with the overdraft it becomes 100. The fund comes in from Ireland based in Delaware with a bank account in the Cayman Islands, gives him 3K 3 3 and buys the 100 loan. And it comes to him, takes it away, puts it under the hammer for 50. Think about that. He's put up 3 and he's made 47. And where's that gonna go? Cayman Island? And I want you to check this out and do a little research on your own. Don't just listen to what the politicians tell you. Do you know that exporting those 47,000 to Cayman is legal, no tax, no restrictions? It's legal, it's in Hercules, it's signed by the Greek Parliament and not only that. That's outrageous in itself, because you know they're going to make about 70 billion out of this shoddy economy. Think about it because that's a lot of big numbers. Let me tell you this, together for education and health care we give 11. For education and health, we give 11. And they get 70 to take to the Cayman Islands. Hear, hear. They've put a clause in this legislation that says the one public guarantee that if they don't get at least 23 billion, you know you're going to have to give it to them? You don't have it, we don't have it, and the state doesn't have it. The Greek state, the bankrupt Greek state, will have to borrow 23 billion from Mrs Lagarde, from which she will borrow all of it to give it to the funds, to go to the Cayman Islands.","Πώς λειτουργεί η λεηλασία; Πώς μπόρεσαν και καταφέρανε από την πτώχευση κάποιου να βγάλουν λεφτά; Είναι απλό, το ξέρετε, αλλά θα το πούμε άλλη μια φορά για να το θυμηθούμε. Έχεις κάποιον εδώ στη Λάρισα. Έχει αγοράσει ένα ακίνητο 150.000 στις καλές εποχές σχετικά είχε βάλει 50.000 απ την τσέπη. Πήρε ένα δάνειο των 100. Έχει αποπληρώσει; Μέσα στα πρώτα χρόνια τα 50, δηλαδή από τα 150, έχει βάλει στην τσέπη τα 100 και έχει μείνει το δάνειο των 50. Πτωχεύει η χώρα. Πτωχεύει, το μαγαζί του χάνει τη δουλειά του, μειώνεται η σύνταξή του. Δεν έχει σημασία. Μειώνονται τα εισοδήματά του και δεν μπορεί να εξυπηρετήσει τα 50 χιλιάρικα που έχουν μείνει που χρωστάει και με τα πανωτόκια γίνονται 100. Έρχεται το ταμείο από την Ιρλανδία με έδρα το Ντέλαγουερ και τραπεζικό λογαριασμό στα Κέιμαν Άϊλαντς, δίνει 3 Χιλιάρικα 3 3 και αγοράζει το δάνειο των 100. Και έρχεται του το παίρνει, το βγάζει στο σφυρί για 50. Για σκεφτείτε το αυτό. Έχει βάλει 3 και έχει βγάλει 47. Και που θα πάει αυτά; Στα Κέιμαν Άϊλαντ; Και θέλω να το ελέγξετε αυτό κάνετε και μια μικρή έρευνα μόνοι σας. Μην ακούτε μόνο τους πολιτικούς τι σας λένε. Ξέρετε ότι η εξαγωγή αυτών των 47.000 στα Kέιμαν είναι νόμιμη, χωρίς φορολόγηση, χωρίς κανένα περιορισμό; Είναι νόμιμη, είναι στον Ηρακλή μέσα, το έχει υπογράψει η Βουλή των Ελλήνων και όχι μόνο αυτό. Αυτό είναι εξωφρενικό από μόνο του, γιατί ξέρετε θα βγάλουν γύρω στα 70 δις από αυτή την έρμη οικονομία. Για σκεφτείτε το γιατί αυτά είναι πολλά μεγάλα νούμερα. Να σας πω το εξής, μαζί για παιδεία και υγεία δίνουμε 11. Για παιδεία και υγεία δίνουμε 11. Και θα πάρουν 70 να τα πάνε στα Κειμαν Αιλαντς. Άκουσον άκουσον. Έχουν βάλει μέσα σε αυτή τη νομοθεσία ρήτρα που λέει τη μία δημόσια εγγύηση ότι αν δεν βγάλουν τουλάχιστον 23 δισ., το ξέρετε ότι εσείς θα πρέπει να τους τα δώσετε; Εσείς δεν έχετε, ούτε εμείς έχουμε, ούτε το κράτος έχει. Θα πρέπει το ελληνικό δημόσιο, το πτωχευμένο ελληνικό δημόσιο να δανειστεί 23 δις από την κυρία Λαγκάρντ, απ όπου όλα θα τα δανειστεί για να τα δώσει στα ταμεία, να τα πάνε στα Κέιμαν Άϊλαντς.",criticism,corruption,bankruptcy,-0.8,0.2,0.2,"[['larissa', 'location', '0.8'], ['ireland', 'country', '0.6'], ['delaware', 'location', '0.8'], ['cayman islands', 'location', '0.8'], ['greek parliament', 'organization', '0.8'], ['mrs lagarde', 'person', '0.6']]"
9,"Friends, compañeras and compañeros. Fellow travellers, I will say something and tell me if it is sophisticated and far-fetched. I do not believe it is. The Wehrmacht did not manage to do this. During the occupation the Nazis did not think of it, they did not have the intelligence, the ingenuity to think of such an imaginative way to steal Greek property. Having said that, it is a disgrace, Mr Scherzo, to act as the ambassador of the Federal Republic of Germany and say that we are denying and should not demand German reparations. But that is the way it has always been the way it has always been with the sycophants. They were more royal than the king. More German than the Germans. I close the parenthesis. This is Hercules.","Φίλες και φίλοι, συντρόφισσες και σύντροφοι. Συνοδοιπόροι θα πω κάτι και πείτε μου αν είναι εξεζητημένο και τραβηγμένο. Δεν πιστεύω ότι είναι. Η Βέρμαχτ δεν κατάφερε να το κάνει αυτό. Επί κατοχής οι Ναζί δεν το σκέφτηκαν, δεν είχαν την εξυπνάδα, την ευστροφία να σκεφτούν ένα τόσο ευφάνταστο τρόπο να κλέψουμε περιουσίες Ελλήνων. Μιας και το λέω, αυτό είναι ντροπή, κύριε Σκέρτσο να λειτουργείτε ως ο πρέσβης της Ομοσπονδιακής Δημοκρατίας της Γερμανίας και να λέτε ότι απεμπολούμε και δεν πρέπει να απαιτήσουμε τις γερμανικές αποζημιώσεις. Αλλά έτσι ήταν πάντοτε έτσι ήταν πάντοτε οι δοσίλογοι. Ήταν βασιλικότεροι του βασιλέως. Γερμανικότεροι των Γερμανών. Κλείνω την παρένθεση. Αυτός είναι ο Ηρακλής. ",criticism,other,other,-0.6,0.0,0.0,"[['wehrmacht', 'group of people', '1.0', 'nazis', 'group of people', '1.0', 'greek', 'location', '1.0', 'germany', 'country', '1.0', 'federal republic of germany', 'organization', '1.0', 'hercules', 'person', '1.0']]"
10,"Well, look at the debate the other day. In a passage from his speech, the former comrade and former Prime Minister Alexis Tsipras, when asked about progressive governments and so on, said something that I liked. He said, he said, that what matters is the unity of the left. Did you hear that? Who would disagree? Will anyone disagree? Unity is everything. United we stand, divided, fragmented. We are defeated. Is there any doubt about that? That's why I'm so happy to see the People's Unity flags next to the Day 25 flags. Because we are united in action. Mr. Tsipras, what do you mean when you say unity of the left? For what we just said about Hercules, what are we going to do about it right now, you know? To raise your hand, because you have red loans. Yes, well, you know what humiliation means? You are called on the phone and humiliated every day by the crows, the predators who want to take fortunes from this country. And I'm not just talking about the issue of social inequality. It's not just taking it from the poor and going to the rich. They're going to take it to the Cayman Islands, they're not even going to eat it in the boomtowns here in Larissa to circulate some money in the area. They'll take it to the Bahamas to eat it with credit cards from Cayman Islands. Mr. Tsipras, what unity are we going to have on this? Are we going to abolish Hercules? Says SYRIZA, I read everyone's programs very carefully. He says, the first thing we're going to do is a PNA, a legislative act to abolish, he says, put a brake on all auctions for six months. And then. Thank you. Thank you. All together, guys. Varoufakis has no value on his own nothing I do nothing.","Λοιπόν, κοιτάξτε να δείτε τώρα στο ντιμπέιτ τις προάλλες. Σε μια αποστροφή του λόγου του, ο τεως σύντροφος και τέως πρωθυπουργός Αλέξης Τσίπρας όταν ρωτήθηκε για προοδευτικές κυβερνήσεις και τα λοιπά είπε κάτι που μου άρεσε. Είπε, λέει, αυτό που προέχει είναι η ενότητα της αριστεράς. Το ακούσατε; Ποιος θα διαφωνήσει; Θα διαφωνήσει κανένας; Η ενότητα είναι το παν. Ενωμένοι είμαστε όρθιοι, διαιρεμένοι, κατακερματισμένοι. Είμαστε ηττημένοι. Υπάρχει καμία αμφιβολία για αυτό; Γι αυτό χαίρομαι τόσο πολύ που βλέπω τις σημαίες της Λαϊκής Ενότητας δίπλα στις σημαίες του Μέρα 25. Γιατί εμείς είμαστε ενωμένοι στην πράξη. Κυρίε Τσίπρα, τι εννοείς όταν λες ενότητα της Αριστεράς; Για αυτό που είπαμε τώρα για τον Ηρακλή, τι θα κάνουμε για αυτό αυτή τη στιγμή, ξέρετε; Για να σηκώσετε χέρι, επί έχετε κόκκινα δάνεια. Ναι, εντάξει λοιπόν, ξέρετε τι σημαίνει εξευτελισμός; Σας παίρνουν στο τηλέφωνο και σας εξευτελίζουν καθημερινά τα κοράκια, τα αρπακτικά που θέλουν να πάρουν περιουσίες από αυτή τη χώρα. Και δεν λέω τώρα μόνο για το θέμα της κοινωνικής ανισότητας. Δεν είναι απλά να τα πάρουνε από τους φτωχούς και να πάνε στους πλούσιους. Θα τα πάνε στα Κέιμαν Άϊλαντς, δεν θα τα φάνε καν στα μπουζούκια εδώ στη Λάρισα να κυκλοφορήσει και λίγο χρήμα στην περιοχή. Θα τα πάνε στις Μπαχάμες να τα φάνε με πιστωτικές κάρτες από τα Κέιμαν Αϊλαντς. Κύριε Τσίπρα, τι ενότητα θα έχουμε σε αυτό; Θα καταργήσουμε τον Ηρακλή; Λέει ο ΣΥΡΙΖΑ, διαβάζω πολύ προσεκτικά τα προγράμματα όλων. Λέει, το πρώτο πράγμα που θα κάνουμε είναι μια ΠΝΠ, μια πράξη νομοθετικού περιεχομένου να καταργήσουν, λέει, να βάλουν φρένο σε όλους τους πλειστηριασμούς για ένα εξάμηνο. Και μετά. Ευχαριστώ. Ευχαριστώ. Όλοι μαζί, παιδιά. Ο Βαρουφάκης δεν έχει καμία αξία από μόνος του τίποτα δεν κάνω.",criticism,corruption,bank regulations,0.0,0.5,0.0,"[['alexis tsipras', 'person', 'high', ""people's unity"", 'group of people', 'medium', 'day 25', 'date', 'low', 'hercules', 'organization', 'medium', 'syriza', 'political party', 'high', 'larissa', 'location', 'low', 'bahamas', 'country', 'low', 'cayman islands', 'location', 'low', 'varoufakis', 'person', 'low].']]"
