id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Good evening to all of you I'm not sure if the weather has spoiled us or if the weather has spoiled us because we're not outside, but on the other hand we're in a beautiful place. We are all together I see a lot of new faces I see some old faces from the old series from DIEM 25, pre day 25. It is a great pleasure to be in Patras with Danae, with all of us who came from Athens from outside of Achaia to come and meet with you. I will be a candidate in Achaia. I'm not saying this because I'm asking for a cross, don't cross me, I'll be a loser. We have a feudal system in Greek elections. The leader doesn't want a cross, so don't waste a cross on me. But let me explain why I'm running in Achaia. You know that party leaders have to choose 3 districts. I have chosen A Athens to symbolize that what to do when you want to overthrow the Roman Empire you have to start starting from Rome. So as we started DIEM 25 in Berlin we had to run in A Athens. I come down to B Piraeus because it is a proletarian area which is in the process of de-industrialization and the transformation of the proletariat of Nice of Drapetsona of Keratsini, of Nice of Perama into a precariat is something that you know, especially you, the young people, that is at the center of the reflection of DIEM 25 alliance for rupture. And I am coming down here because Patras symbolizes a number of things.","Καλησπέρα καλησπέρα σε όλες και όλους δεν είμαι σίγουρος αν μας τα χάλασε ο καιρός ή αν μας τα έφτιαξε ο καιρός μας τα χάλασε γιατί δεν είμαστε έξω, αλλά από την άλλη μεριά είμαστε σε ένα πανέμορφο χώρο. Ειμαστε ολοι μαζι βλεπω πολλες νέες παρουσίες βλέπω και κάποιες παλιές παρουσίες από τις παλιοσειρές από το DIEM 25, προ μέρα 25. Είναι πολύ μεγάλη χαρά που βρίσκομαι στην Πάτρα με τη Δανάη, με όλους εμάς που ήρθαμε από Αθήνα από έξω από την Αχαϊα για να έρθουμε να συναντηθούμε με εσάς. Θα είμαι υποψήφιος στην Αχαϊα. Δεν το λέω επειδή ζητάω σταυρό, μη με σταυρώσετε χαμένος θα πάει. Έχουμε φεουδαρχικό σύστημα στις ελληνικές εκλογές. Ο αρχηγός δεν θέλει σταυρό, οπότε μην χαραμίσετε κανέναν σταυρός εμένα. Αλλά να σας εξηγήσω γιατί κατεβαίνω στην Αχαϊα. Ξέρετε ότι οι αρχηγοί του κόμματος έχουν να επιλέξουν 3 περιφέρειες. Έχω επιλέξει την Α Αθήνας για να συμβολίσουμε ότι τι να κάνουμε όταν θες να ανατρέψεις τη ρωμαϊκή αυτοκρατορία πρέπει να ξεκινήσει ξεκινήσει από τη Ρώμη. Έτσι όπως ξεκινήσαμε το DIEM 25 στο Βερολίνο έπρεπε να κατέβουν στην A Αθήνας. Κατεβαίνω στη Β Πειραιά γιατί είναι μια προλεταριακή περιοχή η οποία βρίσκεται σε διαδικασία αποβιομηχάνισης και μετατροπής του προλεταριάτου της Νίκαιας της Δραπετσώνας του Κερατσινίου, της Νίκαιας του Περάματος σε πρεκαριάτο είναι κάτι το οποίο ξέρετε, ιδίως εσείς, οι νέες και οι νέοι ότι είναι στο κέντρο του προβληματισμού του Μέρα 25 συμμαχία για τη ρήξη. Και κατεβαίνω εδώ γιατί η Πάτρα συμβολίζει μια σειρά από πράγματα.",political agenda,elections,other,0.5,0,0,"[['danae', 'person', '1.0'], ['diem 25', 'political party', '1.0'], ['athens', 'location', '1.0'], ['achaia', 'location', '1.0'], ['rome', 'location', '1.0'], ['b piraeus', 'location', '1.0'], ['nice', 'location', '1.0'], ['drapetsona', 'location', '1.0'], ['keratsini', 'location', '1.0'], ['perama', 'location', '1.0'], ['patras', 'location', '1.0']]"
2,"It symbolizes lost opportunities and the first industrial revolution that began with the raisin era. The first proletariat in Southern Greece. Because I don't want to talk about Thessaloniki which has a different story. The first bourgeoisie that was born here. The first conflict in the context of a modern class struggle starts here. It is a port that connects Greece, the Middle East, the Near East, with Italy, with Europe, with the rest of the Mediterranean with Central Europe. It is the place where you see the former industrial zone withering away. And you wonder. How is it possible? So many billions in Mediterranean integrated programs. In Delore Santer packages and a bad bunch of NSRFs in recovery funds and you go to the industrial zone and see this beautiful landscape of collapse, but without a plan, without a new development plan, no development plan, no development plan What did they do they gave it to TAIPED which passed it on to the Hyperfund. And what are they doing? Third world stuff. Yes, there is a motorway with its toll, which they have sold. The next 50 years of tolls have already been sold. You know that, right? There is no such thing as a decent train. And if there is one, it stops here, it doesn't go any further. The port is deteriorating. It's dying every day, the port doesn't exist, the port of Patras is not what it was when I was growing up.","Συμβολίζει χαμένες ευκαιρίες συμβολίζει την πρώτη βιομηχανική επανάσταση που ξεκινάει από την εποχή της σταφίδας. Το πρώτο προλεταριάτο στην Νότια Ελλάδα. Γιατί δεν θέλω να μιλήσω για τη Θεσσαλονίκη που έχει μια άλλη ιστορία. Την πρώτη αστική τάξη η οποία γεννιέται εδώ. Η πρώτη σύγκρουση στο πλαίσιο μιας σύγχρονης πάλης των τάξεων ξεκινάει εδώ. Είναι λιμάνι το οποίο συνδέει την Ελλάδα, τη Μέση Ανατολή, την Εγγύς Ανατολή, με την Ιταλία, με την Ευρώπη, με την υπόλοιπη Μεσόγειο με την Κεντρική Ευρώπη. Είναι ο τόπος που Βλέπεις την τέως βιομηχανική ζώνη να μαραζώνει. Και αναρωτιέσαι. Πώς γίνεται; Τόσα δισεκατομμύρια σε μεσογειακά ολοκληρωμένα προγράμματα. Σε πακέτα Ντελόρ Σαντέρ και υο κακό συναπάντημα σε ΕΣΠΑ σε ταμεία ανάκαμψης και να πηγαίνεις στην βιομηχανική ζώνη και να βλέπεις αυτό το πανέμορφο τοπίο της κατάρρευσης, όμως χωρίς να έχει πλάνο, χωρίς να έχει ενταχθεί σε ένα νέο αναπτυξιακό σχέδιο, κανένα αναπτυξιακό σχέδιο Τί ἔκαναν τό δώσανε στο ΤΑΙΠΕΔ το οποίο μετάδωσε στο Υπερταμείο. Και τι κάνουνε; Τριτοκοσμικά πράγματα. Ναι, υπάρχει ένας αυτοκινητόδρομος με τα διόδια του, τα οποία τα έχουν πουλήσει. Τα επόμενα 50 χρόνια των διοδίων έχουν ήδη πουληθεί. Το ξέρετε αυτό έτσι; Τρένο της προκοπής δεν υπάρχει. Κι αν υπάρχει σταματάει εδώ δεν πάει παρακάτω. Το λιμάνι φθίνει. Φθίνει καθημερινά το λιμάνι δεν υπάρχει το λιμάνι της Πάτρας δεν είναι αυτό που ήταν όταν εγώ μεγάλωνα. ",criticism,infrastructure,other,-0.75,0,0,"[['thessaloniki', 'location', '0.9'], ['southern greece', 'location', '0.6'], ['greece', 'country', '0.8'], ['middle east', 'location', '0.6'], ['near east', 'location', '0.6'], ['italy', 'location', '0.6'], ['europe', 'location', '0.6'], ['mediterranean', 'location', '0.6'], ['central europe', 'location', '0.6'], ['taiped', 'organization', '0.6'], ['hyperfund', 'organization', '0.6'], ['delore santer', 'organization', '0.6'], ['nsrfs', 'organization', '0.6'], ['patras', 'location', '0.9']]"
3,"For us at Mera 25, Patras symbolizes the alliance for rupture. A glorious socio-economic past, a place where we have a university, a polytechnic, a port, a port, a space, an industrial zone that could be the place where knowledge, research, technology and the proximity of Italy come together. Or proximity to what should normally be the richest, the rest of the Peloponnese, the Sterea, Greece.","Για μας στο Μερα 25 συμμαχία για τη ρήξη η Πάτρα συμβολίζει. Ένα ένδοξο κοινωνικο οικονομικό παρελθόν, ένα χώρο όπου έχουμε πανεπιστημίου, έχουμε πολυτεχνείο, έχουμε λιμάνι, έχουμε χώρο, έχουμε βιομηχανική ζώνη που θα μπορούσε να αποτελέσει τον τόπο όπου παντρεύεται η γνώση, η έρευνα, η τεχνολογία, η εγγύτητα της Ιταλίας. Ή εγγύτητα στην κανονικά θα έπρεπε παμπλουτη, υπόλοιπη Πελοπόννησο, στη Στερεά, Ελλάδα. ",political agenda,infrastructure,academic research,0.5,0.2,0,"[['mera 25', 'organization', '1.0'], ['patras', 'location', '1.0'], ['peloponnese', 'location', '1.0'], ['sterea', 'location', '1.0'], ['greece', 'country', '1.0'], ['italy', 'country', '1.0']]"
4,"Of course, you see, we built a pharaonic, very beautiful, aesthetically pleasing bridge over the Rio Antirrio, but we forgot to put a train on it. We forgot that, I don't know how Mr Simitis missed it. Did he? Is there a plan for the train linking the Peloponnese with Epirus? No plan, as if there would be a plan when they broke up the OSE and locked up the trains in the Peloponnese. That is to say, think about every last year and better as far as the railways and infrastructure are concerned. The bourgeois reproduction of capital accumulation if you look at it from the point of view of capitalism.","Φτιάξαμε βέβαια βλέπετε μια φαραωνική, πάρα πολύ όμορφη, αισθητικά γέφυρα του Ρίου Αντιρρίου, αλλά ξεχάσαμε να βάλουμε τρένο πάνω. Το ξεχάσαμε αυτό, δεν ξέρω πώς έγινε ο κύριος Σημίτης του διέφυγε. Έτσι; Υπάρχει πλάνο για το τι θα γίνει με το τρένο που θα συνδέει την Πελοπόννησο με την με την Ήπειρο; Κανένα πλάνο, σιγά που θα υπάρχει πλάνο όταν σπάσανε τον ΟΣΕ στα εξ ων συνετέθη κλείδωσαν τα τρένα της Πελοποννήσου. Δηλαδή για σκεφτείτε το κάθε πέρσι και καλύτερα όσο αφορά το σιδηρόδρομο, τις υποδομές. Την αστική αναπαραγωγή της συσσώρευσης κεφαλαίου αν το δεις και από πλευράς καπιταλισμού. ",criticism,infrastructure,railway,-0.4,0,0,"[['rio antirrio', 'location', '1.0'], ['mr simitis', 'person', '0.9'], ['peloponnese', 'location', '1.0'], ['epirus', 'location', '1.0'], ['ose', 'organization', '1.0']]"
5,"So that is why Patras plays such an important role for us, that is why I am symbolically coming down here in Achaia. Like when I accepted the seat in the city of Thessaloniki in 2019. I did my best to be there once a month. At most once every six weeks I promise you that if I keep this seat we will see I will be here in Achaia, you will suffer me again and again and again we have local elections, local elections, local government elections. Know that we will put a very strong emphasis. We have already supported Mayor Peletides. And we have done so because we want to show how we understand the unity of the left. We don't mean the unity of the left as an alias. What will you give us? Didn't we go to Peletides to say what you will give us? How many seats on the city council? Don't give us any. We don't care about getting the job done for the place, but that's what counts for us. There has to be real unity because everyone is talking about unity. On paper in words. We are building unity, I see comrades from ARAS, I see comrades from popular unity. We are all together. Strength in unity. And we show the rest of the left. I was just passing by here, the guys from Antarsya. How nice it would be if we were all together. How nice it would be if we were all together because as we've already proven with the Alliance for Breakthrough. For this embrace that we have made as day 25 the opening after our first consultative council to nonaligned of the left, its to the Arras children in the popular unity to Vasily Lasko, who wrote a very nice article today in the Journal of Editors put something Journal of Editors. Never mind, thank you. To Seraphim Seferiadis. A man from Panteion University with a tradition in Trotskyism. I could give you so many examples of others, like Dimitris Zervoudakis in Thessaloniki, like Hera Dioti, the comrade in Larissa, we are showing the rest of the left what it means to come together. On the basis of what unites us, to keep our differences. To make them strong through dialogue because I learn from you, with whom you may disagree on some things with what we say. I often disagree with what I say. If we don't have a dialectical relationship with each other, a dialectical relationship with ourselves. We are dead we are for the offices, we are not for the people. The dialectical relationship that we develop. As a Day 25 alliance for rupture will be the basis of the new great left of the new great left that does not compromise. That we are selfless, that we really mean it, that office for us is a chore. If you covet offices, the left should not allow you to have them, it's as simple as that. Anyone who hungers for the chair is dangerous. Dangerous we look, we all have ambitions. Candidates want to be MPs or they won't run. It is a constant struggle within us how to fight ambition and use it to become a force for the common cause. This struggle we have to admit our internal struggle, our internal conflict.","Γι αυτό λοιπόν, η Πάτρα παίζει τόσο σημαντικό ρόλο για μας, γι αυτό συμβολικά κατεβαίνω εδώ στην Αχαϊα. Όπως όταν δέχθηκα την πήρα την έδρα στην στην πόλη της Θεσσαλονίκης, το 2019. Έκανα τα αδύνατα δυνατά για να είμαι εκεί μια φορά το μήνα. Το πολύ μια φορά στις 6 εβδομάδες σας υπόσχομαι ότι αν κρατήσω αυτή την έδρα θα δούμε θα είμαι εδώ στην Αχαϊα, θα με υποστείτε ξανά και ξανά και ξανά έχουμε τοπικές εκλογές, αυτοδιοικητικές εκλογές, εκλογές της τοπικής αυτοδιοίκησης. Να ξέρετε ότι θα δώσουμε πολύ μεγάλη έμφαση. Ήδη έχουμε στηρίξει τον δήμαρχο Πελετίδη. Και το έχουμε κάνει γιατί θέλουμε να δείξουμε πώς εννοούμε εμείς την ενότητα της Αριστεράς. Την ενότητα της αριστεράς δεν την εννοούμε ως αλισβερίσι. Τι θα μας δώσετε; Δεν πήγαμε στον πελετίδη να του πούμε τι θα μας δώσεις; Πόσες θεσούλες στο δημοτικό Συμβούλιο; Μην μας δώσεις Καμία δεν μας νοιάζει, να γίνει η δουλειά για τον τόπο αυτό όμως μετράει για εμάς. Να υπάρξει πραγματική ενότητα γιατί όλοι μιλάνε για την ενότητα. Στα χαρτιά στα λόγια. Εμείς την χτίζουμε την ενότητα, βλέπω συντρόφους από την ΑΡΑΣ, βλέπω συντρόφους από την λαϊκή ενότητα. Είμαστε όλοι μαζί. Η ισχύς εν τη ενώσει. Και δείχνουμε στην υπόλοιπη αριστερά πέρναγα τώρα από εδώ δίπλα ήταν τα παιδιά της Ανταρσυα. Τι ωραία θα ήταν να ήμασταν όλοι μαζί. Τι ωραία θα τανε να είμαστε όλοι μαζί γιατί όπως έχουμε ήδη αποδείξει με τη Συμμαχία για τη ρήξη. Για αυτό το αγκάλιασμα που έχουμε κάνει ως μέρα 25 το άνοιγμα μετά το πρώτο διαβουλευτικό μας Συμβούλιο σε ανένταχτους της αριστεράς, της στα παιδιά της Αρας στη λαϊκή ενότητα στο Βασίλη Λάσκο, που έγραψε ένα πολύ ωραίο άρθρο σήμερα στην Εφημερίδα Συντακτών έβαλε και κάτι Εφημερίδα των Συντακτών. Δεν πειράζει, ευχαριστούμε. Στο Σεραφείμ Σεφεριάδη. Έναν άνθρωπο από το πανεπιστήμιο το Πάντειο με μια παράδοση στο τροτσκιστικό χώρο. Θα μπορούσα να σας δώσω πάρα πολλά παραδείγματα άλλων, όπως ο Δημήτρης Ζερβουδάκης στη Θεσσαλονίκη, όπως η Ηρώ Διώτη, η συντρόφισσα στην Λάρισα δείχνουμε στην υπόλοιπη αριστερά τι σημαίνει να ερχόμαστε μαζί. Στη βάση αυτών που μας ενώνουν, να κρατάμε τις διαφορές μας. Να τις κάνουμε δύναμη μέσα από διάλογο γιατί εγώ μαθαίνω από εσάς, με τους οποίους μπορεί να διαφωνείτε σε κάποια πράγματα με αυτά που λέμε εμείς. Εγώ διαφωνώ συχνά με αυτά που λέω εγώ. Εάν δεν έχουμε μια διαλεκτική σχέση μεταξύ μας, μια διαλεκτική σχέση με τον εαυτό μας. Ειμαστε νεκροι ειμαστε για τα αξιώματα, δεν είμαστε για τους ανθρώπους. Η διαλεκτική σχέση που θα αναπτύξουμε. Ως Μέρα 25 συμμαχία για τη ρήξη θα είναι η βάση της νέας μεγάλης αριστεράς της νέας μεγάλης Αριστεράς που δεν συμβιβάζεται. Που είμαστε ανιδιοτελείς, που πραγματικά το εννοούμε, ότι τα αξιώματα για μας είναι αγγαρεία. Εάν τα αξιώματα τα ποθείς, η Αριστερά δεν πρέπει να σου επιτρέπει να τα έχεις, είναι τόσο απλά τα πράγματα. Όποιος διψάει για την καρέκλα είναι επικίνδυνος. Επικίνδυνοι εμείς κοιτάξτε όλοι έχουμε φιλοδοξίες. Οι υποψήφιοι βουλευτές θέλουν να γίνουν βουλευτές, αλλιώς δεν θα τρέξουν. Είναι ένας συνεχής αγώνας μέσα μας πώς να καταπολεμάμε τη φιλοδοξία και να την χρησιμοποιούμε για να γίνεται δύναμη για το κοινό αγώνα. Αυτό τον αγώνα πρέπει να το παραδεχτούμε τον εσωτερικό αγώνα, την εσωτερική μας σύγκρουση. ",political agenda,elections,other,0,0.2,0,"[['patras', 'location', '0.9'], ['achaia', 'location', '0.9'], ['thessaloniki', 'location', '0.9'], ['2019', 'date', '0.9'], ['mayor peletides', 'person', '0.9'], ['left', 'political party', '0.6'], ['aras', 'group of people', '0.6'], ['popular unity', 'organization', '0.6'], ['antarsya', 'political party', '0.6'], ['vasily lasko', 'person', '0.6'], ['seraphim seferiadis', 'person', '0.6'], ['dimitris zervoudakis', 'person', '0.6'], ['hera dioti', 'person', '0.6'], ['larissa', 'location', '0.6'], ['day 25 alliance for rupture', 'organization', '0.6'], ['mps', 'group of people', '0.6']]"
6,And always have institutions and democratic processes that bring out the best in each of us. The self that knows how to fear both the power of the capitalist and the power of the bureaucrat.,"Και πάντοτε να έχουμε θεσμούς και δημοκρατικές διαδικασίες που να βγάζουν τον καλύτερο εαυτό της καθεμίας του καθένα μας. Τον εαυτό, ο οποίος ξέρει να φοβάται τόσο την εξουσία του κεφαλαιοκράτη όσο και την εξουσία του γραφειοκράτη. ",political agenda,democracy,other,0.2,0,0,"[['institutions', 'organization', '0.7'], ['democratic processes', 'organization', '0.6'], ['capitalist', 'organization', '0.3'], ['bureaucrat', 'organization', '0.3']]"
7,"Friends, companions, fellow comrades. Today I had the opportunity to make this interlocution. What was I thinking about last night? How does one begin to address anyone who sees it? Through television. And I started with a phrase which is the same as the one that starts the ten-minute video manifesto of the Alliance for Rupture. The future is not what it used to be.","Φίλες και φίλοι, συνοδοιπόροι συντρόφισσες και σύντροφοι. Σήμερα είχα την ευκαιρία να κάνω αυτή τη διακαναλική. Τι σκεφτόμουν χθες το βράδυ; Πώς ξεκινάει κανείς να απευθύνεται σε όποιον τη δει; Μέσα από την τηλεόραση. Και ξεκίνησα με μια φράση η οποία είναι η ίδια με αυτή που ξεκινάει το δεκάλεπτο βίντεο μανιφέστο του ο Συμμαχία για τη ρήξη. Το μέλλον δεν είναι αυτό που ήταν. ",political agenda,media,other,0,0,0,"[['alliance for rupture', 'organization', '0.75']]"
8,"The future for you, the young people, is not what it was for us, for my generation. And this was taken care of by the domestic Troika, the foreign Troika, Pasok, New Democracy and Syriza. They have built black holes in the Greek social economy and whatever they do, the black holes suck all the energy, all the matter out of the lives of young people. If at 62 I care about this project. It is not for our generation our generation, we are defeated. Again and again. Post-political which of you do you remember? The expectations we had after 74 for real socialist change. Who of you remember the disappointments of the split? That tragic 90s, when everything was overturned and we went lifestyle in the dislocation of social, cultural, political, economic life. That's when the loans started to be built that set up that armored economy, which collapsed one by one so it was done by wall street and it all came crashing down. Our generation is the loser.","Το μέλλον για σας, τους νέους και τις νέες δεν είναι αυτό που ήταν για μας, για τη δική μου γενιά. Και για αυτό φρόντισαν Τρόικα εσωτερικού, Τρόικα εξωτερικού, Πασοκ, νέα Δημοκρατία και ΣΥΡΙΖΑ. Έχτισαν μαύρες τρύπες μέσα στην ελληνική κοινωνική οικονομία οι όποιες αυτό κάνουν οι μαύρες τρύπες ρουφάνε όλη την ενέργεια, όλη την ύλη από τις ζωές των νέων ανθρώπων. Εάν στα 62 μου νοιάζομαι για αυτό το εγχείρημα. Δεν είναι για τη δική μας γενιά η δική μας γενιά, ηττηθήκαμε. Ξανά και ξανά. Μεταπολιτευτικά ποιοι από εσάς θυμάστε; Τις προσδοκίες που είχαμε μετά το 74 για πραγματική σοσιαλιστική αλλαγή. Ποιοι θυμάστε τις απογοητεύσεις της διάσπασεις; Εκείνη την τραγική δεκαετία του 90, που ανατράπηκαν όλα και πήγαμε στο lifestyle στην εκπόρνευση της κοινωνικής, πολιτισμικής, πολιτικής, οικονομικής ζωής. Τότε που άρχισαν να χτίζονται τα δάνεια που έστησαν εκείνη την θωρακισμένη οικονομία, η οποία κατέρρευσε με ένα ένα έτσι έγινε από την wall street και κατέρρευσαν όλα. Η δική μας γενιά είναι ηττημένη. ",criticism,economy,other,-0.8,0.2,0.2,"[['young people', 'person', '1.0'], ['us', 'group of people', '1.0'], ['my generation', 'group of people', '1.0'], ['troika', 'organization', '1.0'], ['pasok', 'political party', '1.0'], ['new democracy', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greek', 'location', '1.0'], ['62', 'date', '1.0'], ['74', 'date', '1.0'], ['90s', 'date', '1.0'], ['wall street', 'organization', '1.0']]"
9,"If some of our generation in the Day 25 coalition for rupture are still standing and continuing to fight in the public, in the public sphere, it is because we want and really take at face value what you, the young people, are saying, young people to have a political capital that you can take and turn it into a profoundly radical overthrow of a rotten system, which is not being civilised, which is not being reformed, which is not being managed with marginal, marginal, marginal changes. ","Αν κάποιοι από τη δική μας γενιά στο Μέρα 25 συμμαχία για τη ρήξη, είμαστε ακόμα όρθιοι και συνεχίζουμε να παλεύουμε στο δημόσιο, στη δημόσια σφαίρα είναι γιατί θέλουμε και πραγματικά πάρτε το τοις μετρητοίς μετρητοίς αυτό που λέμε εσείς, οι νέοι, εσείς, οι νέες να έχετε ένα πολιτικό κεφάλαιο το οποίο εσείς να το πάρετε και να το μετατρέψετε σε μια βαθιά ριζοσπαστική ανατροπή ενός σάπιου συστήματος, το οποίο δεν εκπολιτίζεται, το οποίο δεν μεταρρυθμίζεται, το οποίο δεν γίνεται διαχειρίσιμο με παραμετρικές περιθωριακές μικρές αλλαγές. ",political agenda,other,youth,0.7,0.2,0.2,"[['day 25 coalition', 'group of people', '0.80'], ['young people', 'group of people', '0.90']]"
10,"Social democracy is dead and will never be reborn. What was happening in Germany under Billy Brandt in the late 60s and in the 70s under Bruno Krzysztynski in Austria. Under Labour in Britain. Social housing, a redistribution of wealth of income with strong unions. With social democratic governments acting as an arbiter between capital and the proletariat of the organised proletariat through the unions. Even here in Greece where there was a redistribution of income, as was done in 1981 by the first PASOK government. These are over and done with, because at the moment there is no sovereign state. Constantine Karamanlis, with all the bad things going wrong, had powers. He decided things at some point and was accused of socialism in 1977 to nationalize some banks. His android for anyone who remembers back then. So he decided to take the country out of NATO on the military side, when the Turks got into Cyprus, he had some powers, he did some things. Today the dummies that rule us, whether they are pink or green or purple what is blue. I wish they were purple, black is blue. They don't even have power, they have chairs. They can redistribute loot annuities to their company, but what Karamanlis did, old Papandreou did, they don't have the power to do. Do you know why? Because they handed it over. When all that debt was built, by entering the eurozone. And now because we're a little bit in the auditorium I'm not going to say things I would say in the square I'm going to make it a little bit more academic do you mind? It's very simple.","Η σοσιαλδημοκρατία πέθανε και δεν θα ξαναγεννηθεί ποτέ. Αυτά που γινόντουσαν στη Γερμανία, επί Μπίλι Μπραντ στα τέλη της δεκαετίας του 60 και του 70 επί Μπρούνο Κράισκι στην Αυστρία. Επί Εργατικών στη Βρετανία. Κοινωνικές κατοικίες, μια αναδιανομή του πλούτου του των εισοδημάτων με γερά συνδικάτα. Με κυβέρνησεις σοσιαλδημοκρατικές που λειτουργούσαν ως ένας διαιτητής μεταξύ του κεφαλαίου και του προλεταριάτου του οργανωμένου προλεταριάτου μέσα από τα συνδικάτα. Ακόμα και εδώ στην Ελλάδα που έγινε μια αναδιανομή εισοδήματος, όπως έγινε το 1981 από την πρώτη κυβέρνηση του ΠΑΣΟΚ. Αυτά τελειώσανε και τελειώσανε, γιατί αυτή τη στιγμή δεν υπάρχει κυρίαρχο κράτος. Ο Κωνσταντίνος Καραμανλής με όλα τα κακά τα στραβά, είχε εξουσίες. Αποφάσισε πράγματα κάποια στιγμή αποφάσισε και τον κατηγόρησαν για σοσιαλμανία το 1977 να εθνικοποιήσει κάποιες τράπεζες. Του ανδρεάδη για όποιους θυμούνται τότε. Έτσι αποφάσισε να βγάλει τη χώρα από το ΝΑΤΟ από το στρατιωτικό σκέλος, όταν μπήκαν οι Τούρκοι στην Κύπρο, είχε κάποιες εξουσίες, έκανε κάποια πράγματα. Σήμερα τα ανδρείκελα που μας κυβερνάνε, είτε είναι ροζ είτε είναι πράσινα, είτε είναι μωβ τι είναι μπλε. Μακάρι να ήταν μωβ, μαύρο μπλε είναι. Δεν έχουν καν εξουσία, καρέκλες έχουν. Μπορούνε να αναδιανέμουν προσόδους λάφυρα στην παρέα τους, αλλά αυτά που έκαναν ο Καραμανλής, ο παλιός ο Παπανδρέου, αυτοί δεν έχουν την εξουσία να τα κάνουν. Ξέρετε γιατί; Γιατί την παρέδωσαν. Όταν χτίστηκε όλο εκείνο το χρέος, μπαίνοντας στην ευρωζώνη. Και τώρα επειδή είμαστε και λίγο στο αμφιθέατρο δεν θα πω πράγματα που θα έλεγα στην πλατεία θα το κάνω λίγο πιο πανεπιστημιακό σας πειράζει; Είναι πολύ απλό. ",criticism,debt,bank bailouts,-0.4,0.2,0.2,"[['billy brandt', 'person', '0.7'], ['bruno krzysztynski', 'person', '0.6'], ['labour', 'political party', '0.7'], ['germany', 'country', '0.7'], ['austria', 'country', '0.6'], ['britain', 'location', '0.7'], ['greece', 'country', '0.7'], ['pasok', 'organization', '0.7'], ['constantine karamanlis', 'person', '0.7'], ['nato', 'organization', '0.7'], ['cyprus', 'location', '0.6'], ['papandreou', 'person', '0.7'], ['eurozone', 'organization', '0.7']]"
