id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Comrades, friends, romantic disobedient, disobedient realists, fellow travellers and competitors. Along with Jeremy Corbyn's companion greeting, along with Adrienne Cluément, who was here on the podium conveying the moving support for the Day 25 Alliance for the Rupture of France's Insubordinate France party, co-host Jean-Luc Mélenchon. Along with the support I carry, at the request of the President of Mexico, Andrés Manuel Lopez Obrador and his Morena party. Along with the love and wishes of another old friend of many of you and me, Rafael Correa, Naomi Klein, our heartfelt companion and friend Noam Chomsky, Elche Temelcuran, Brian Ino who has written the musical theme to each of our videos, Roger Water. And all of our fellow travelers of Day 25 Europe-wide, the Progressive International, which counts 200 million members from all over the planet. Along with all these messages, tonight it is my duty to carry here in our Athens, to you who have set up tonight's celebration of struggle, rupture and subversion. To bring you the message of the struggle for good from all corners of our Greece. From wherever we have passed on this electoral journey. From Rhodes and Xanthi to Alexandroupolis. From Chania and Heraklion to Serres and Kavala. From Volos, Trikala, Larissa to the Ionian Kyra, Corfu. From Ioannina and Arta to Patras, Aegio, Corinth, yes, and Sparta, Kalamata. The message. From all these places. From places with soil soaked with sweat, with the tears and blood of fighters who never wilted. Even under the yoke of the most brutal occupation. Even after the bitterest defeats.
The message from everywhere. The message we have been authorized to bring you tonight is one. Enough mourning for the betrayed referendum, time for a new overthrow.","Συντρόφισσες και σύντροφοι, φίλες και φίλοι, ρομαντικοί ανυπάκουοι, ανυπότακτοι ρεαλιστές, συνοδοιπόροι και συναγωνιστές. Μαζί με τον συντροφικό χαιρετισμό του Τζέρεμι Κόρμπιν, μαζί με τον Αντριέν Κλουέν, που ήταν εδώ στην εξέδρα μεταφέροντας τη συγκινητική στήριξη στο Μέρα 25 Συμμαχία για τη ρήξη της Ανυπότακτης Γαλλίας του κόμματος, του συνοδοιπόρου Ζαν Λουκ Μελανσόν. Μαζί με τη στήριξη που σας μεταφέρω,  μετά από παράκληση του Προέδρου του Μεξικού Αντρές Μανουέλ Λόπες Ομπραδόρ και του κόμματός του Μορένα. Μαζί με την αγάπη και τις ευχές ενός άλλου παλιόφιλου πολλών από εσάς και εμού, του Ραφαήλ Κορέα, της Ναόμι Κλάιν, του καρδιακού μας συντρόφου και φίλου Νόαμ Τσόμσκι, της Έλτσε Τεμελκουράν, του Μπράιν Ινο που έχει γράψει το μουσικό θέμα σε καθένα από τα βίντεο μας, του Ρότζερ Γουότερ. Και όλων των συνοδοιπόρων μας του Μέρα25 πανευρωπαϊκά, της Προοδευτικής Διεθνούς που απαριθμεί 200 εκατομμύρια μέλη από όλο τον πλανήτη. Μαζί με όλα αυτά τα μηνύματα, απόψε έχω καθήκον να μεταφέρω εδώ, στην Αθήνα μας, σε εσάς που στήσατε την αποψινή γιορτή του αγώνα, της ρήξης και της ανατροπής. Να σας μεταφέρω το μήνυμα του αγώνα του καλού από όλες τις γωνιές της Ελλάδος μας. Απ όπου κι αν περάσαμε σε αυτό το προεκλογικό οδοιπορικό. Από τη Ρόδο και την Ξάνθη ως την Αλεξανδρούπολη. Από τα Χανιά και το Ηράκλειο ως τις Σέρρες και την Καβάλα. Από το Βόλο, τα Τρίκαλα, τη Λάρισα ως την Επτανήσια Κυρά, την Κέρκυρα. Από τα Γιάννενα και την Άρτα στην Πάτρα, το Αίγιο, την Κόρινθον, ναι, και τη Σπάρτη, την Καλαμάτα. Το μήνυμα. Από όλους αυτούς τους τόπους. Από τόπους με χώματα ποτισμένα με τον ιδρώτα, με τα δάκρυα και το αίμα αγωνιστών που ποτέ δεν κιότεψαν. Ακόμα και υπό τον ζυγό της στυγνότερης κατοχής. Ακόμα και μετά από τις πιο πικρές ήττες.
Το μήνυμα από παντού. Το μήνυμα που μας εξουσιοδότησαν να σας μεταφέρουμε απόψε είναι ένα. Ως εδώ ο θρήνος για το προδομένο δημοψήφισμα, ώρα για νέα ανατροπή. ",political agenda,elections,other,0,0,0,"[['jeremy corbyn', 'person', '1.0'], ['adrienne cluément', 'person', '1.0'], [""rupture of france's insubordinate france"", 'political party', '1.0'], ['jean-luc mélenchon', 'person', '1.0'], ['president of mexico andrés manuel lopez obrador', 'person', '1.0'], ['morena party', 'political party', '1.0'], ['rafael correa', 'person', '1.0'], ['naomi klein', 'person', '1.0'], ['noam chomsky', 'person', '1.0'], ['elche temelcuran', 'person', '1.0'], ['brian ino', 'person', '1.0'], ['roger waters', 'person', '1.0'], ['day 25 europe-wide', 'group of people', '1.0'], ['progressive international', 'organization', '1.0'], ['greece', 'country', '1.0'], ['athens', 'location', '1.0'], ['rhodes', 'location', '1.0'], ['xanthi', 'location', '1.0'], ['alexandroupolis', 'location', '1.0'], ['chania', 'location', '1.0'], ['heraklion', 'location', '1.0'], ['serres', 'location', '1.0'], ['kavala', 'location', '1.0'], ['volos', 'location', '1.0'], ['trikala', 'location', '1.0'], ['larissa', 'location', '1.0'], ['ionian kyra', 'location', '1.0'], ['corfu', 'location', '1.0'], ['ioannina', 'location', '1.0'], ['arta', 'location', '1.0'], ['patras', 'location', '1.0'], ['aegio', 'location', '1.0'], ['corinth', 'location', '1.0'], ['sparta', 'location', '1.0'], ['kalamata', 'location', '1.0'], ['referendum', 'date', '1.0']]"
2,"Subversion. History is being disobediently written. It is written with disobedience. So much for lamentation, time for a new reversal. So much for decay, time for a first rupture. So much for the toxic lie that there is no alternative, that rupture is an illusion. Time for it to be owned that, yes, everything can be different. Last night we were in Thessaloniki, the Thessaloniki of the Federacion, of the 12 dead workers who fell on May Day 1936. The Holocaust of our Jewish fellow citizens, the blockade of Chortiatis, the dead youth of the EDA, the place where Lambrakis was murdered in '63 or Yannis Chalkidis under the Junta, but also the city where, under Mitsotakis SA, the students of the Aristotle University took on the abomination of the university police of Mrs Kerameos and won. They annulled it in practice.","Ανατροπή. Η ιστορία γράφεται ανυπάκουα. Γράφεται με ανυπακοή. Ως εδώ λοιπόν, ο θρήνος, ώρα για νέα ανατροπή. Ως εδώ η σήψη, ώρα για πρώτη φορά ρήξη. Ως εδώ, το τοξικό ψέμα ότι δεν υπάρχει εναλλακτική, ότι η ρήξη είναι αυταπάτη. Ώρα να γίνει κτήμα όλων πως, ναι, όλα μπορούν να είναι αλλιώς. Χθες το βράδυ ήμασταν στη Θεσσαλονίκη, στη Θεσσαλονίκη της Φεντερασιόν, των 12 νεκρών εργατών που έπεσαν την Πρωτομαγιά του 1936. Του Ολοκαυτώματος των Εβραίων συμπολιτών μας, του μπλόκου του Χορτιάτη, των νεκρών νεολαίων της ΕΔΑ, του τόπου δολοφονίας του Λαμπράκη το ’63 ή του Γιάννη χαλκίδη επί Χούντας, αλλά και της πόλης που επί των ημερών της Μητσοτάκης ΑΕ οι φοιτητές του Αριστοτελείου Πανεπιστημίου τα έβαλαν με το έκτρωμα της πανεπιστημιακής αστυνομίας της κυρίας Κεραμέως και νίκησαν. Την ακύρωσαν στην πράξη.",political agenda,democracy,other,0,0,0,"[['thessaloniki', 'location', '1.0'], ['federacion', 'group of people', '0.8'], ['may day', 'date', '1.0'], ['holocaust', 'event', '1.0'], ['chortiatis', 'location', '1.0'], ['eda', 'political party', '1.0'], ['lambrakis', 'person', '1.0'], ['yannis chalkidis', 'person', '1.0'], ['junta', 'organization', '1.0'], ['mitsotakis sa', 'organization', '1.0'], ['aristotle university', 'organization', '1.0'], ['mrs kerameos', 'person', '1.0']]"
3,"We are here for you. For the youth. Our generation has failed. All we can do is deliver you. Whatever political capital you have left to run it. Tonight we are here in Athens and you young people must remember that this is the Athens of the uprising, of the 3rd of September, of the marginal demonstrations against the Nazi conscription. This is the Athens of Kaisariani, the Athens of the Kokkinia blockade. And not to forget. It is also the Athens of the 12 dead gassed by the British and the Bolsheviks on December 3, 1944, plunging the country into civil war and the whole world into the Cold War. We are in the Athens of 1, 1, 4 of Sotiris Petroulas, the adamant against early Mitsotakism. We are in the Athens of the funeral of the Old Man in the midst of the Junta, of the Law School uprising, of the Polytechnic. In the Athens of the squares of 2011, which like the Polytechnic in '73, the squares in '11 amidst memorials and a deep deep memorial night. The squares of '11 saved our collective moment, just as the Polytechnic saved our collective moment in the Junta, while the majority in the Parliament voted to turn the country into a vast debt serfdom. The squares were filled with a democratic pulse, laying the foundations for a break with the current extension of the memoranda, which is none other than Mitsotakis SA. We are in Athens on July 3, 2015. You remember July 3, 2015, when Syntagma Square was drowned in the flood of people of NO. That glorious evening, comrades, fellow comrades, fellow travellers, friends, that glorious evening at Syntagma. Different generations. Of the EAM of the Polytechnic, the Trade Union Struggles, the Student Struggles, different generations saw their separate struggles merging in a giant celebration of liberation, as Marianna said before fear.","Για σας είμαστε εδώ. Για τη νεολαία. Η δική μας γενιά αποτύχαμε. Το μόνο που μπορούμε να κάνουμε είναι να σας παραδώσουμε. Το όποιο πολιτικό κεφάλαιο, για να το τρέξετε εσείς. Απόψε είμαστε εδώ στην Αθήνα και εσείς οι νέοι και οι νέες πρέπει να θυμάστε ότι αυτή είναι η Αθήνα της εξέγερσης, της 3ης του Σεπτέμβρη, των οριακών διαδηλώσεων κατά της ναζιστικής επιστράτευσης. Είναι η Αθήνα της Καισαριανής, η Αθήνα του μπλόκου της Κοκκινιάς. Και για να μην ξεχνιόμαστε. Είναι και η Αθήνα των 12 νεκρών που γάζωσαν Άγγλοι και Ταγματασφαλίτες στις 3 Δεκέμβρη του 1944, βουλιάζοντας τη χώρα στον εμφύλιο και ολόκληρο τον κόσμο στον Ψυχρό Πόλεμο. Είμαστε στην Αθήνα του 1, 1, 4 του Σωτήρη Πέτρουλα, των ανένδοτων τον κατά του πρώιμου Μητσοτακισμού. Στην Αθήνα της κηδείας του Γέρου εν μέσω Χούντας, της εξέγερσης της Νομικής, του Πολυτεχνείου. Στην Αθήνα των πλατειών του 2011, που όπως στο Πολυτεχνείο του ’73, οι πλατείες στο ’11 εν μέσω μνημονίων και βαριάς βαθιάς μνημονιακής νύχτας. Οι πλατείες του ’11 διέσωσαν τη συλλογική μας στιγμή, όπως το Πολυτεχνείο διέσωσε τη συλλογική μας στιγμή στη Χούντα, την ώρα που στη Βουλή η πλειοψηφία υπερψήφισε την μετατροπή της χώρας σε μια απέραντη χρεοδουλοπαροικία. Οι πλατείες γέμιζαν με δημοκρατικό παλμό, βάζοντας τα θεμέλια για τη ρήξη με τη σημερινή επέκταση των μνημονίων, που δεν είναι άλλη από την Μητσοτάκης ΑΕ. Είμαστε στην Αθήνα της 3ης Ιουλίου του 2015. Θυμάστε την 3η Ιουλίου 2015, όταν η πλατεία Συντάγματος πνίγηκε μέσα στη λαοθάλασσα του ΟΧΙ. Εκείνη τη λαμπρή βραδιά, συντρόφισσες και σύντροφοι, συνοδοιπόροι, φίλες και φίλοι, εκείνη τη λαμπρή βραδιά στο Σύνταγμα. Διαφορετικές γενιές. Του ΕΑΜ του Πολυτεχνείου, των Αγώνων των συνδικαλιστικών, των φοιτητικών, διαφορετικές γενιές είδαν τους ξεχωριστούς τους αγώνες να σμίγουν σε μια γιγαντιαία γιορτή απελευθέρωσης, όπως είπε η Μαριάννα πριν από τον φόβο.",political agenda,democracy,youth,0,0.1,0,"[['athens', 'location', '1.0'], ['eam', 'organization', '1.0'], ['nazi', 'political party', '0.5'], ['british', 'organization', '0.7'], ['bolsheviks', 'organization', '0.5'], ['mitsotakism', 'political party', '0.5'], ['polytechnic', 'organization', '1.0'], ['law school', 'organization', '1.0'], ['sotiris petroulas', 'person', '1.0'], ['marianna', 'person', '1.0'], ['july 3', '2015', 'date', '1.0']]"
4,"To come to today, to you here. Yes, we are in the Athens of the drama school occupations against the attacks of Mitsotakis SA. The attacks of Mr. Mitsotakis and company on the unruly culture. The culture that is not controlled by the oligarchy with its institutions, rooftops and riot police.","Για να έρθω στο σήμερα, σε σας εδώ. Ναι, είμαστε στην Αθήνα των καταλήψεων των δραματικών σχολών κόντρα στις επιθέσεις της ΑΕ Μητσοτάκης. Τις επιθέσεις του κυρίου Μητσοτάκη και της παρέας τους στον ανυπότακτο πολιτισμό. Στον πολιτισμό που δεν ελέγχει η ολιγαρχία με τα ιδρύματα, τις στέγες και τα ΜΑΤ. ",criticism,culture,oligarchy,0.2,0.2,0.4,"[['athens', 'location', '1.0'], ['mitsotakis sa', 'organization', '1.0'], ['mitsotakis', 'person', '1.0']]"
5,"To the generation of Tempi that grew up here in Athens, you stood up and achieved what our generation never managed to do in the last 30 years. What did you achieve? To break down the hegemony of privatisation after Tempi, to cancel the deceptive and toxic lie. The deceptive and toxic lie that the oligarch, the Trojan, wants what's best for us. That the oligarch and the Trojan know better than you. Your good.","Στη γενιά των Τεμπών που εδώ στην Αθήνα μεγάλωσε, ορθώθηκε το ανάστημά σας και πετύχατε εκείνο που η δική μας γενιά ποτέ δεν καταφέραμε τα τελευταία 30 χρόνια. Τι καταφέρατε; Να καταρρίψετε μετά τα Τέμπη την ηγεμονία της ιδιωτικομανίας, να ακυρώσετε το απατηλό και συνάμα τοξικό ψέμα. Το απατηλό και τοξικό ψέμα ότι ολιγάρχης, ο τροικανός θέλει το καλό μας. Ότι ολιγάρχης και Τροικανός ξέρουν καλύτερα από εσάς. Το δικό σας το καλό. ",criticism,privatization,,0.5,0.2,0,"[['athens', 'location', '1.0'], ['tempi', 'group of people', '0.8'], ['30 years', 'date', '1.0'], ['oligarch', 'organization', '0.7'], ['trojan', 'political party', '0.5']]"
6,"We are not only in this Athens. In the city station, in a history full of struggles and betrayals of the people. But also in a square whose two names symbolize the permanent struggle in the heart of our city, between hope and despair, between light and darkness. Kotsias Square is the square most of us know, a surname that refers to the mayor and later minister of the fascist dictatorship of the Wednesday of August. National Resistance Square is written on the kiosks today. A national resistance against everything that the pro-Muslim Anti-Communist Kotzias stood for. A square, a city, a long tradition of difficult but necessary and necessary struggles. To this tradition of struggles in this city of Athens, you too, especially the youth of today, come to add your own little stone. Let us all celebrate a renaissance together.","Είμαστε όχι μόνο σε αυτή την Αθήνα. Στην πόλη σταθμό, σε μια ιστορία γεμάτη αγώνες και προδοσίες του λαού. Αλλά και σε μια πλατεία που τα δυο της ονόματα συμβολίζουν τη μόνιμη διαπάλη στην καρδιά της πόλης μας, μεταξύ της ελπίδας και της απόγνωσης του φωτός και του σκότους. Πλατεία Κοτζιά την ξέρουμε οι περισσότεροι, επώνυμο που παραπέμπει στο Δήμαρχο και μετέπειτα υπουργό της φασιστικής δικτατορίας της Τετάρτης Αυγούστου. Πλατεία Εθνικής Αντίστασης γράφουν τα κιτάπια σήμερα. Μιας εθνικής αντίστασης κόντρα σε καθετί που πρέσβευε ο φιλομουσολινικός Αντικομμουνιστής Κοτζιάς. Μια πλατεία, μια πόλη, μια μακρά παράδοση αγώνων δύσκολων αλλά απαραίτητων και αναγκαίων. Σε αυτή την παράδοση αγώνων σε τούτη δω την πόλη των Αθηνών, ερχόσαστε και εσείς, ιδίως της νεολαίας σήμερα, να προσθέσετε το δικό σας λιθαράκι. Να γιορτάσουμε όλοι μαζί μια αναγέννηση. ",political agenda,democracy,other,0.1,0,0,"[['athens', 'location', '1.0'], ['kotsias square', 'location', '1.0'], ['kotzias', 'person', '0.7'], ['national resistance square', 'group of people', '1.0'], ['muslim', 'political party', '0.5'], ['communist', 'political party', '0.5'], ['wednesday of august', 'date', '0.7']]"
7,"Because fellow travellers, comrades, friends, don't make the mistake of thinking that what we are experiencing here tonight is just an election rally. We are not here just to celebrate our certain consolidation in Parliament, absolutely certain, but that is not why we are here, no. We're here for something bigger, more beautiful. We are here to celebrate the emergence of the new great militant left that will leave everyone with their mouths hanging open. After this Sunday's election. And especially after the July runoff election.","Γιατί συνοδοιπόροι, σύντροφοι, φίλες και φίλοι μην κάνετε το λάθος να νομίζετε ότι αυτό που ζούμε εδώ απόψε είναι μια προεκλογική συγκέντρωση απλά. Δεν είμαστε εδώ απλά για να γιορτάσουμε τη σίγουρη ενίσχυσή μας στη Βουλή, την απολύτως σίγουρη, αλλά δεν είναι αυτός ο λόγος που είμαστε εδώ, όχι. Είμαστε εδώ για κάτι πιο μεγάλο, πιο όμορφο. Είμαστε εδώ για να γιορτάσουμε την ανάδυση της νέας μεγάλης αγωνιστικής αριστεράς που θα αφήσει τους πάντες με ανοιχτά στόματα. Μετά τις εκλογές αυτής της Κυριακής. Και ιδίως μετά τις δεύτερες εκλογές του Ιουλίου. ",political agenda,elections,,0.8,0,0.2,"[['1. comrades', 'group of people', '0.7'], ['2. parliament', 'organization', '0.4'], ['3. militant left', 'political party', '0.6'], ['4. sunday', 'date', '0.5'], ['5. july', 'date', '0.5']]"
8,"When the memorandum arc. They will get over the transitions between their intra-family disputes and form another memorandum government, which of course will bring the new measures imposed by the Troika. That's how it is. They know it. What do you think Mr Katrougalos' crime was? He blurted out what all the Memorandumists know but which they keep a secret during the election campaign. What is the secret? That either with New Democracy or with Syriza, or with a combination of New Democracy, PASOK and Syriza, measures are coming. It could not be otherwise, the state, the social security funds and the private sector are sinking deeper and deeper into the black hole of bankruptcy that began in 2009-2010. This is the fate of any government that honours and accepts the memorandum framework.","Όταν πια το μνημονιακό τόξο. Θα ξεπεράσουν τις μεταβάσεις μεταξύ τους ενδοοικογενειακές έριδες και θα σχηματίσουν μια άλλη μνημονιακή κυβέρνηση, η οποία βεβαίως θα φέρει τα νέα μέτρα που θα τους επιβάλλει η τρόικα. Έτσι είναι. Το ξέρουν. Ποιο ήταν νομίζετε το έγκλημα του κυρίου Κατρούγκαλου; Ξεστόμισε αυτό που ξέρουν όλοι οι μνημονιακοί αλλά που το κρατούν επτασφράγιστο μυστικό προεκλογικά. Ποιο είναι το μυστικό; Οτι είτε με Νέα Δημοκρατία είτε με ΣΥΡΙΖΑ, είτε με κάποιο συνδυασμό Νέας δημοκρατίας, ΠΑΣΟΚ, ΣΥΡΙΖΑ, έρχονται μέτρα. Δεν θα μπορούσε να είναι αλλιώς κράτος, ασφαλιστικά ταμεία, ιδιωτικός τομέας, βουλιάζουν όλο και πιο βαθιά στη μαύρη τρύπα της πτώχευσης που ξεκίνησε το 2009 - 2010. Αυτή είναι η μοίρα της όποιας κυβέρνησης τιμά και αποδέχεται το μνημονιακό πλαίσιο. ",criticism,debt,troika,-0.5,0.2,0,"[['mr katrougalos', 'person', '0.8'], ['new democracy', 'political party', '0.8'], ['syriza', 'political party', '0.8'], ['pasok', 'political party', '0.6'], ['troika', 'organization', '0.7'], ['greece', 'country', '1.0'], ['2009-2010', 'date', '1.0']]"
9,"We neither honour it nor accept it. This is what we do. We move forward for a disobedient, disobedient, selfless Left. We don't honor the memorandum framework we don't accept it so it's nice tonight because it's a beautiful thing to participate in a historic moment. Why historic? Because here today, friends, comrades, compañeros, fellow travellers, at last, the new that for so many years refused to be born after the death of the old is finally beginning to be born.","Εμείς ούτε το τιμάμε, ούτε το αποδεχόμαστε. Αυτό κάνουμε. Προχωράμε εμπρός για μια ανυπότακτη, ανυπάκουη, ανιδιοτελή Αριστερά. Εμείς δεν το τιμάμε το μνημονιακό πλαίσιο δεν το αποδεχόμαστε για αυτό είναι ωραία απόψε γιατί είναι όμορφο πράγμα η συμμετοχή σε μια ιστορική στιγμή. Γιατί η ιστορική; Γιατί εδώ σήμερα φίλες και φίλοι συντρόφισσες, σύντροφοι, συνοδοιπόροι, επιτέλους, το καινούριο που για τόσα χρόνια αρνιόταν να γεννηθεί μετά το θάνατο του παλιού, επιτέλους αρχίζει να γεννιέται.",political agenda,economy,austerity,0.7,0.8,0,"[['left', 'group of people', '0.85'], ['memorandum framework', 'organization', '0.6'], ['comrades', 'group of people', '0.8.']]"
10,"And this new one. What is being born is none other than the disobedient disobedient disobedient big left that is now emerging little by little but rapidly, especially among the youth who embrace the Day 25 Alliance for Rupture and are inspired by our well-crafted technocratically sound and politically subversive government program. A program. A program that we have been building patiently, carefully, scientifically before Day 25 was even founded, from the heroic rings of Diem 25, shortly after the referendum. I look around me and recognize the old ranks of Day 25, you who were with us, in Santarosa Square. Do you remember? July 2019. We were fewer and fewer then. We were anxious to put our people's magnificent NO back in Parliament. We were united by our refusal to sit on the couch and curse the darkness. And so with our swallow in front of us on that Sunday, July 7, 2019, we managed to light a candle. We managed to put the no vote in Parliament for the first time since the summer of 2015. For the first time, we broke the darkness with rays of light subtle but irresistible.","Κι αυτό το καινούργιο. Αυτό που γεννιέται δεν είναι άλλο από την ανυπάκουη ανυπότακτη μεγάλη αριστερά που αναδύεται τώρα λίγο λίγο αλλά γοργά, ιδίως στους κόλπους της νεολαίας που αγκαλιάζουν το Μέρα 25 Συμμαχία για τη Ρήξη και εμπνέονται από το καλά δουλεμένο τεχνοκρατικά άρτιο και πολιτικά ανατρεπτικό κυβερνητικό μας πρόγραμμα. Ένα πρόγραμμα. Ένα πρόγραμμα που οικοδομούμε υπομονητικά, προσεκτικά, επιστημονικά πριν ακόμα ιδρυθεί το Μέρα 25, από τις ηρωικές βέρες του Diem 25, λίγο μετά το δημοψήφισμα. Κοιτάζω γύρω μου και ανα γνωρίζω την παλιοσειρά του Μέρα 25, εσάς που ήσασταν μαζί μας, στην πλατεία Σανταρόζα. Θυμάστε; Ιούλιο του 2019. ΄Ημασταν λιγότερες και λιγότεροι τότε. Είχαμε την αγωνία να βάλουμε ξανά το μεγαλειώδες ΟΧΙ του λαού μας στη Βουλή. Μας ένωνε η άρνηση να καθόμαστε στον καναπέ και να αναθεματίζουμε το σκοτάδι. Κι έτσι με το χελιδόνι μας μπροστάρη εκείνη την Κυριακή, 7 Ιουλίου του 2019, καταφέραμε να ανάψουμε ένα κεράκι. Καταφέραμε να βάλουμε το όχι στο Κοινοβούλιο, για πρώτη φορά μετά το καλοκαίρι του 2015. Για πρώτη φορά, σπάσαμε το σκοτάδι με αχτίδες φωτός λεπτές, αλλά ακαταμάχητες. ",political agenda,democracy,youth,0.5,0.1,0.2,"[['day 25 alliance for rupture', 'organization', '1.0'], ['diem 25', 'organization', '0.9'], ['santarosa square', 'location', '0.9'], ['parliament', 'location', '0.8'], ['july 2019', 'date', '0.8'], ['summer of 2015', 'date', '0.7']]"
