id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you all for being here in the city of Chania. Today is a very important day for me because it is one of my favourite regions. The whole of Crete, lest we forget.",Θα ήθελα να σε ευχαριστήσω όλους που βρίσκεστε εδώ στην πόλη των Χανίων. Για μένα είναι πολύ σημαντική μέρα σήμερα γιατί είναι από τις αγαπημένες μου περιοχές. Όλη η Κρήτη για να μην ξεχνιόμαστε.,political agenda,elections,other,0.5,0.0,0.0,"[['chania', 'location', '0.8'], ['crete', 'location', '0.7']]"
2,"Unfortunately, we are going through an election period which is full of minefields. I believe that the government system is blowing its horns and it is evident from the jerky moves through which it acts and operates at many levels, especially at the level of channel control. It is being done overtly now. We had an incident yesterday on Mega, where the 2 candidates of day 25 and our candidate, while called in at noon the first time, were cancelled after half an hour. He was called again the second time to go on the show, he was cancelled the second time. He was called back a third time, cancelled again. This means that they don't want pluralism and of course the mainstream media, I understand this because their interconnectedness is mainly focused and rooted in the parties in power, those who ruled, that is, PASOK, New Democracy and Syriza. But it bothers me that it has now gone beyond the limit of, you know, the choice of ""who to listen to""? But we're going into a gagging process; let's be bipartisan, things didn't go very well. It's well known that the bipartisan which includes the FCC is a bipartisan committee in which the government mainly decides how the process is going to be done.","Δυστυχώς διανύουμε μια προεκλογική περίοδο, η οποία είναι γεμάτη ναρκοπέδια. Θεωρώ ότι το σύστημα το κυβερνητικό πνέει τα λοίσθια και φαίνεται από τις σπασμωδικές κινήσεις, μέσα από τις οποίες δρα και λειτουργεί σε πολλά επίπεδα, κυρίως στο επίπεδο των του ελέγχου των καναλιών. Γίνεται απροκάλυπτα πλέον. Είχαμε ένα συμβάν χθες στο Μέγκα, όπου οι 2 υποψήφιοι του μέρα 25 αλλά και ο δικός μας υποψήφιος, ενώ εκλήθη από το μεσημέρι την πρώτη φορά, ακυρώθηκε μετά από μισή ώρα. Ξανά εκλήθη τη δεύτερη φορά για να πάει στην εκπομπή, τον ακύρωσαν δεύτερη φορά. Τον ξανακάλεσαν τρίτη, τον ακύρωσαν ξανά. Αυτό σημαίνει ότι δεν θέλουν πολυφωνία και βέβαια τα συστημικά μέσα, το αντιλαμβάνομαι διότι η διαπλοκή τους κυρίως εστιάζεται και εδράζεται στα κόμματα εξουσίας, αυτοί που κυβέρνησαν δηλαδή, ΠΑΣΟΚ, νέα δημοκρατία και ΣΥΡΙΖΑ. Όμως με ενοχλεί ότι πλέον έχει ξεπεράσει το όριο, ξέρετε της επιλογής του «ποιους θα ακούω»; Αλλά πάμε σε μια διαδικασία φίμωσεως.Ας είμαστε διακομματικοί, τα πράγματα δεν πήγαν και πολύ καλά. Είναι γνωστό ότι η διακομματική στην οποία συμμετέχει και το ΕΣΡ είναι μια διακομματική επιτροπή στην οποία αποφασίζει κυριως η κυβέρνηση για το πώς θα γίνει η διαδικασία. ",criticism,media,other,-0.6,0.2,0.0,"[['mega', 'organization', '0.7'], ['day 25', 'group of people', '0.4'], ['pasok', 'political party', '0.8'], ['new democracy', 'political party', '0.6'], ['syriza', 'political party', '0.6'], ['fcc', 'organization', '0.4']]"
3,"Let me tell you that we pushed for the regional channels.I am still waiting for the answer to give paid advertising messages in the region of the parties, since the parties receive money from subsidies, this money should not stay in Athens. It is a disgrace that the Athens-centric system reaps all the election money and not the region. Until now you know regional channels and media, newspapers did not get election money and had to resort to other methods through candidates. These should be stopped in the country and since the funds are there, they should be given directly by the parties for their promotion.","Να σας πω ότι για τα περιφερειακά κανάλια εμείς πιέσαμε.μΠεριμένω ακόμα την απάντηση να δοθούν διαφημιστικά μηνύματα επί πληρωμή στην περιφέρεια των κομμάτων, από τη στιγμή που εισπράττουν τα κόμματα χρήματα από επιχορήγηση, πρέπει τα χρήματα αυτά να μην μένουν στην Αθήνα. Είναι ντροπή το αθηνοκεντρικό σύστημα να καρπούται όλα τα λεφτά της προεκλογικής περιόδου και όχι η περιφέρεια. Μέχρι τώρα ξέρετε περιφερειακά κανάλια και τα Μέσα, οι εφημερίδες δεν έπαιρναν λεφτά των εκλογών και αναγκαζόταν να προσφεύγουν σε άλλους μεθόδους μέσω υποψηφίων. Αυτά πρέπει να σταματήσουν στη χώρα και αφού υπάρχουν τα κονδύλια πρέπει να δίδονται απευθείας από τα κόμματα για την προβολή τους.",political agenda,media,election spending,0.0,0.1,0.0,"[['athens', 'location', '0.8'], ['region', 'location', '0.7'], ['parties', 'group of people', '0.7'], ['athens-centric system', 'organization', '0.6'], ['country', 'location', '0.6']]"
4,"I must also say that the government is suffering and is suffering the Greek people every day with the back and forth. Of course, the government is not the only problem. Even SYRIZA, watching Mr Tsipras this morning on Antenna because, I want to watch everyone and read what everyone else is saying so that I at least know where we stand and where we are. I heard Mr Tsipras and SYRIZA as a whole talk about the renationalisation of the PPC. The question that is relentlessly asked is when can a politician lie? Because the large share of the PPC was given under the SYRIZA government to the Ypertifond, i.e. the PPC was led to a privatization through the PPC and now wants to re-nationalize it.","Πρέπει επίσης να πω ότι η κυβέρνηση ταλαιπωρείται και ταλαιπωρεί τον ελληνικό λαό καθημερινά με τα πίσω μπρος. Βέβαια, δεν είναι μόνο η κυβέρνηση το πρόβλημα. Ακόμη και ο ΣΥΡΙΖΑ, παρακολουθώντας σήμερα τον κύριο Τσίπρα το πρωί στον Αντέννα γιατί, θέλω να παρακολουθώ τους πάντες και να διαβάζω τι λένε οι υπόλοιποι για να γνωρίζω τουλάχιστον πού πατάμε και πού βρισκόμαστε. Άκουσα τον κύριο Τσίπρα αλλά και τον ΣΥΡΙΖΑ συνολικά να ομιλούν για επανακρατικοποίηση της ΔΕΗ. Το ερώτημα που τίθεται αμείλικτα είναι ως, πότε μπορεί ένας πολιτικός να λέει ψέματα; Διότι την ΔΕΗ το μεγάλο μερίδιο δόθηκε επί διακυβέρνησης του ΣΥΡΙΖΑ στο Υπερταμείο, δηλαδή η ΔΕΗ οδηγήθηκε σε μια αποκρατικοποίηση μέσω της ΔΕΗ και τώρα θελει να την ξανακρατικοποίησει. ",criticism,privatization,hospital privatization,-0.3,0.2,0.0,"[['government', 'organization', '0.9'], ['greek people', 'group of people', '1.0'], ['syriza', 'political party', '1.0'], ['mr tsipras', 'person', '1.0'], ['antenna', 'organization', '0.8'], ['ppc', 'organization', '0.9'], ['ypertifond', 'organization', '0.8']]"
5,"So let him apologize for the previous choices, as with the funds, as with so many choices concerning infrastructure and public sectors that were sold off through a law concerning the Hyperfund under Syriza. At least the new democracy is shamelessly saying it bluntly: selling out everything. SYRIZA today cannot say other things while doing but as a government.","Ας ζητήσει λοιπόν συγγνώμη για τις προηγούμενες επιλογές, όπως και με τα funds. Όπως και τόσες επιλογές που αφορούν υποδομές και δημόσιους τομείς που ξεπουλήθηκαν μέσα από ένα νόμο που αφορά το Υπερταμείο επί ΣΥΡΙΖΑ. Τουλάχιστον η νέα δημοκρατία το λέει ξεδιάντροπα το λέει ωμά: ξεπούλημα των πάντων. Δεν μπορεί ο ΣΥΡΙΖΑ σήμερα να λέει άλλα ενώ κάνει αλλά ως κυβέρνηση.",criticism,privatization,hospital privatization,-0.5,0.2,0.2,"[['syriza', 'organization', '0.8'], ['hyperfund', 'organization', '0.5'], ['new democracy', 'political party', '0.9'], ['syriza', 'political party', '0.8']]"
6,"The second thing I want to stress is that it is today that I listened to Mr Mitsotakis, who for months has been giving the familiar pass. Mr Varoufakis is talking about Executioners, Mr Tsipras talked about euros, he will give euros to the Greeks. Listen. The philosophy of a political leader must be one and the same, to know how to tell the truth. Certain political leaders cannot give money to the Greeks because they themselves cannot produce money and cannot enter into this process.
One wants a job, one wants a decent salary, but most importantly the country wants wealth production. I have not heard any model from these 3 parties of wealth production and if Greece does not produce wealth we are unfortunately driving day by day in a death spiral and it is shown by the economic distress. I will give 2, 3 examples for all Greeks to understand.","Το δεύτερο που θέλω να τονίσω είναι ότι είναι σήμερα άκουσα τον κύριο Μητσοτάκη, ο οποίος εδώ και μήνες δίνει τα γνωστά pass. Ο κύριος Βαρουφάκης μιλάει για Δήμητρες, ο κύριος Τσίπρας μίλησε για ευρώ, θα δώσει ευρώ στους Έλληνες. Ακούστε. Η φιλοσοφία ενός πολιτικού αρχηγού πρέπει να είναι μία και μοναδική, να ξέρει να λέει την αλήθεια. Δεν μπορούν να δώσουν χρήματα συγκεκριμένοι πολιτικοί αρχηγοί στους Έλληνες γιατί και οι ίδιοι δεν μπορούν να παράγουν χρήματα και δεν μπορούν να μπουν στη διαδικασία αυτή.
Ο ένας θέλει δουλειά, θέλει αξιοπρεπή μισθό, αλλά κυρίως θέλει παραγωγή πλούτου η χώρα. Δεν έχω ακούσει κανένα μοντέλο από τα 3 κόμματα αυτά παραγωγής πλούτου και αν δεν παράγει πλούτο η Ελλάδα οδηγούμαστε δυστυχώς μέρα με την ημέρα σπιράλ θανάτου και φαίνεται από την οικονομική δυσπραγία. Θα δώσω 2, 3 παραδείγματα για να καταλάβουν όλοι οι Έλληνες.",criticism,economy,other,0.0,0.0,0.0,"[['1. mitsotakis', 'person', '1.0'], ['2. varoufakis', 'person', '1.0'], ['3. tsipras', 'person', '1.0'], ['4. greeks', 'group of people', '1.0'], ['5. political leaders', 'group of people', '1.0'], ['6. greece', 'location', '1.0']]"
7,"OECD: average nominal wage in 2022 increased by one and a half percent. The nominal. Listen a little bit because the numbers can sometimes sound positive, but if you weigh them up, the sign is negative. The average real wage fell by 7.4 percent. How's the new republic doing? So? It uses the former for 22, but avoids the latter. But why did it fall by 7.4%? Because of inflation. We may have had a theoretical increase, what Mr. Mitsotakis said, but because of inflation we had a loss of market value, so we had a gain, a loss, a loss, plin the sign. The average wage in Greece in 21 was €15,800 a year. In '21. When the average wage in the European Union, 30 three and a half thousand. Look at the difference. It's not only about having a job, but also about having a decent salary. So basically two Greeks are working for a European salary. This is what all the political leaders avoid saying. And this is where the next one comes in. The ELSTAT data, ELSTAT itself, if taken into account, we see inside. At the same time, the per capita income of Greeks, according to ELSTAT data, in terms of market value, is third from the bottom. We are third from the bottom in the European Union.","ΟΟΣΑ: ο μέσος ονοματικός μισθός του 2022 αυξήθηκε κατά ενάμισι τοις εκατό. Ο ονομαστικός. Ακούστε λίγο γιατί τα νούμερα καμιά φορά μπορεί να ακούγονται θετικά, αλλά αν τα ζυγίσεις είναι αρνητικό το πρόσημο. Ο μέσος πραγματικός μισθός μειώθηκε κατά 7,4%. Τι κάνει η νεα δημοκρατία Λοιπόν; Χρησιμοποιεί το πρώτο για το 22, αλλά το δεύτερο το αποφεύγει. Γιατί όμως μειώθηκε κατά 7,4%; Λόγω πληθωρισμού. Μπορεί να είχαμε αύξηση θεωρητική, αυτό που είπε ο κύριος Μητσοτάκης, αλλά λόγω πληθωρισμού είχαμε απώλεια αγοραστικής αξίας, άρα κέρδος, χασούρα, πλιν το πρόσημο. Ο μέσος μισθός στην Ελλάδα ήταν το '21 στα 15.800 € ετησίως. Το '21. Όταν ο μέσος μισθός στην Ευρωπαϊκή Ένωση, τα 30 τρεισήμισι χιλιάδες. Για δείτε τη διαφορά. Το θέμα δεν είναι να έχεις δουλειά μόνο, αλλά να έχεις και αξιοπρεπή μισθό. Οπότε στην ουσία εργάζονται 2 Έλληνες με ένα μισθό Ευρωπαίου. Αυτό αποφεύγεται να λεχθεί από όλους τους πολιτικούς αρχηγούς. Και εδώ ακριβώς έρχεται το επόμενο. Τα στοιχεία της ΕΛΣΤΑΤ, η ΕΛΣΤΑΤ η ίδια, αν ληφθούν υπόψη, θα δούμε μέσα: Ο αριθμός των ανέργων διπλασιάζεται σε πάνω από ένα εκατομμύριο ανέργους, με βάση την ΕΛΣΤΑΤ, πλησιάζοντας το 24%. Την ίδια στιγμή, το κατά κεφαλήν εισόδημα των Ελλήνων με στοιχεία της ΕΛΣΤΑΤ σε όρους αγοραστικής αξίας είναι τρίτο από το τέλος. Είμαστε στην Ευρωπαϊκή Ένωση, τρίτοι από το τέλος. ",criticism,employment,wages,-0.7,0.0,0.2,"[['oecd', 'organization', '1.0'], ['mr. mitsotakis', 'person', '1.0'], ['greece', 'country', '1.0'], ['european union', 'organization', '1.0'], ['elstat', 'organization', '1.0'], ['european union', 'location', '1.0']]"
8,"As far as energy poverty is concerned, we only pass Bulgaria and Lithuania. I have said all this to finally put an end to the fairy tale that the economy is doing well.","Όσον αφορά την ενεργειακή φτώχεια, περνάμε μόνο τη Βουλγαρία και τη Λιθουανία. Τα είπα όλα αυτά για να σταματήσει επιτέλους το παραμύθι ότι πηγαίνει καλά η οικονομία.",criticism,economy,energy crisis,-0.5,0.0,0.0,"[['bulgaria', 'country', '0.75'], ['lithuania', 'country', '0.75']]"
9,"If you include the 700,000 Greek children that these gentlemen have ostracized, imagine another 700,000 Greeks who had no job in Greece, living here. We are talking about an unemployment rate of over 40%. That's how many there were. You know, with accounting tricks, because I'm a businessman, I know that I can turn a negative balance sheet into a positive one. When you want to do accounting tricks. Or you can turn a positive company budget into a negative one with fixed assets and expenses. Well, let's stop with the half truths ladies and gentlemen, because when the election is over and the lights go down and the lights go off, the hard stuff is going to be too much. When the European Central Bank comes out and says that in order to be able to hold down borrowing rates, we have to cut wages. Mr Mitsotakis and Mr Tsipras cannot be lying with Mr Androulakis, saying that they will increase wages.","Εάν συνυπολογίσει κανείς και τα 700.000 ελληνόπουλα που εξοστράκισαν οι κύριοι αυτοί, φανταστείτε άλλοι 700.000 Έλληνες που δεν είχαν δουλειά στην Ελλάδα, να έμεναν εδώ. Μιλάμε για ένα ποσοστό ανέργων πάνω από 40%. τόσοι ήταν. Ξέρετε με λογιστικά τρικ, επειδή είμαι και επιχειρηματίας, ξέρω ότι μπορώ έναν ισολογισμό αρνητικό, να τον κάνω θετικό. Όταν θες να κάνεις λογιστικά τρικ. Η ένα θετικό προϋπολογισμό της εταιρείας μπορείς να τον κάνεις αρνητικό με πάγια και έξοδα. Λοιπόν, ας σταματήσουν τις μισές αλήθειες κυρίες και κύριοι, γιατί όταν τελειώσουν οι εκλογές και πέσει και κλείνουν τα φώτα, τα δύσκολα θα είναι πάρα πολλά. Όταν βγαίνει η Ευρωπαϊκή Κεντρική Τράπεζα και λέει ότι για να μπορέσω να συγκρατήσω τα επιτόκια δανεισμού πρέπει να μειωθούν οι μισθοί. Δεν μπορεί ο κύριος Μητσοτάκης, ο κύριος Τσίπρας να ψεύδονται ασύστολα μαζί με τον κύριο Ανδρουλάκη, λέγοντας ότι θα αυξήσουν τους μισθούς. ",criticism,employment,other,-0.5,0.2,0.2,"[['greek children', 'group of people', '1.0'], ['greeks', 'group of people', '1.0'], ['greece', 'location', '1.0'], ['unemployment rate', 'date', '1.0'], ['accounting', 'organization', '1.0'], ['european central bank', 'organization', '1.0'], ['mitsotakis', 'person', '1.0'], ['tsipras', 'person', '1.0'], ['androulakis', 'person', '1.0']]"
10,"The only solution to increase wages is for the country to produce real wealth, if we don't give a basis to the primary sector, the agricultural economy, the livestock economy, the fishing economy, which are economies of scale, economies of surplus value, that is, when you produce an agricultural product €1 can become after a year €7 of surplus value. That is where the investment is, not in the provision of a service. And this is proven by the wrong choices of the government, which in the Recovery Fund, the biggest piece of the pie of the funding that was given, 80% of the money was taken, that is, 300 companies and something in Greece. When there are 800,000 SMEs that are not being granted by any bank.","Η μόνη λύση για να αυξηθούν οι μισθοί είναι η χώρα να παράγει πλούτο πραγματικό, εάν δεν δώσουμε βάση στον πρωτογενή τομέα αγροτική οικονομία, κτηνοτροφική οικονομία, αλιεία που είναι οικονομίες, κλίμακος υπεραξίας, δηλαδή όταν παράγεις ένα αγροτικό προϊόν 1 € μπορεί να γίνει μετά από ένα χρόνο 7 € υπεραξία. Εκεί είναι η επένδυση όχι στην παροχή υπηρεσίας. Και αυτό αποδεικνύεται από τις λάθος επιλογές της κυβερνήσεως, η οποία στο Ταμείο Ανάκαμψης, το μεγαλύτερο κομμάτι από την πίτα των χρηματοδοτήσεων που δόθηκαν το πήραν το 80%, δηλαδή των χρημάτων, το πήραν 300 επιχειρήσεις και κάτι στην Ελλάδα. Όταν υπάρχουν 800.000 μικρομεσαίες που δεν χορηγούνται από καμία τράπεζα. ",political agenda,economy,investments,-0.5,0.0,0.0,"[['primary sector', 'organization', '0.5'], ['agricultural economy', 'organization', '0.5'], ['livestock economy', 'organization', '0.5'], ['fishing economy', 'organization', '0.5'], ['government', 'organization', '0.5'], ['recovery fund', 'organization', '0.5'], ['greece', 'country', '1.0'], ['smes (small and medium-sized enterprises)', 'organization', '0.5'], ['bank', 'organization', '0.5'], ['800', '000', 'date', '1.0']]"
