id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you all for being here today. I have to admit that Crete really embraced the Greek solution. I must also say that there are a number of issues that have plagued and plagued our Crete for decades. But overall I would like to say that the offer of the Greek solution to Crete will be the promotion of Crete in our election message. It is a surprise that we are saving for our Cretan friends that will highlight the historical cultural heritage of this region that is the matrix of Greek civilization. The least the state can do is the Greek solution. So you will see our advertising, our TV spot, one of the many we will prepare, will be based on this very fact. It will be a surprise for the Cretans and it will be a surprise for all Greeks of course. A clever TV message and promotion of Crete all over the world. We are starting this way because it has been proven that the Greeks, especially the state, are below par.","Θα ήθελα να σας ευχαριστήσω όλους που είστε σήμερα εδώ. Πρέπει να παραδεχτώ ότι η Κρήτη πραγματικά αγκάλιασε την ελληνική λύση. Πρέπει επίσης να πω ότι υπάρχουν μια σειρά θεμάτων που ταλαιπωρούν και ταλανίζουν εδώ και δεκαετίες την Κρήτη μας. Όμως θα ήθελα συνολικά να πω ότι η προσφορά της ελληνικής λύσης στην Κρήτη θα είναι η διαφημιστική προβολή της Κρήτης στο προεκλογικό μας μήνυμα. Είναι μια έκπληξη που φυλάμε για τους φίλους κρητικούς που θα αναδείξει την ιστορική πολιτισμική κληρονομιά αυτής της περιοχής που είναι η μήτρα του ελληνικού πολιτισμού. Το λιγότερο που μπορεί να κάνει η πολιτεία, το κάνει η ελληνική λύση. Θα δείτε λοιπόν η διαφημιστική μας προβολή, το τηλεοπτικό μας σποτ, ένα από τα πολλά που θα ετοιμάσουμε, θα είναι αφερωμένο σε αυτό ακριβώς το γεγονός. Θα είναι μια έκπληξη για τους Κρητικούς και θα είναι και μια έκπληξη για όλους τους Έλληνες βέβαια. Έξυπνο τηλεοπτικό μήνυμα και προβολή της Κρήτης σε όλο τον κόσμο. Ξεκινάμε έτσι, γιατί απεδείχθη ότι οι Έλληνες, κυρίως η πολιτεία, είναι κατώτερη των περιστάσεων.",political agenda,culture,other,0.4,0.0,0.0,"[['crete', 'location', '1.0'], ['greek', 'country', '1.0'], ['cretans', 'group of people', '1.0'], ['greek civilization', 'organization', '1.0'], ['greeks', 'group of people', '1.0']]"
2,"The latest proof is from netflix, where Cleopatra is presented as an African empress and Egypt officially asked netflix for an explanation saying that her presence is Hellenistic and Greek and only Egypt complained. Cleopatra, for those who know, is Ptolemy from Macedonia and apparently the Skopjeans will also protest and Greece is absent and silent. So we expect the Egyptians to save the honour and reputation of Greek history. I say this, not because of colour. But mainly for the origin. When you say that the civilization, the Hellenistic civilization, has an African origin, you have a matter of historical seriousness.","Η τελευταία απόδειξη είναι από το netflix, όπου η Kλεοπάτρα παρουσιάζεται ως μια Αφρικανή αυτοκράτειρα και η Αίγυπτος επισήμως ζήτησε από το netflix εξηγήσεις λέγοντας ότι είναι ελληνιστική και ελληνική η παρουσία της και διαμαρτυρήθηκε μόνο η Αίγυπτος. Η Κλεοπάτρα, για όσους γνωρίζουν, είναι Πτολεμαία από τη Μακεδονία ενώ από ό,τι φαίνεται οι Σκοπιανοί θα κάνουν κι αυτοί διαμαρτυρία και η Ελλάς απουσιάζει και σιωπά. Περιμένουμε δηλαδή από τους Αιγυπτίους να σώσουν την τιμή και την υπόληψη της ελληνικής ιστορίας. Το λέω αυτό, όχι για το χρώμα. Αλλά κυρίως για την καταγωγή. Όταν λες ότι ο πολιτισμός, ο ελληνιστικός, έχει αφρικάνικη καταγωγή, έχεις ένα θέμα ιστορικής σοβαρότητος. ",criticism,culture,other,0.0,0.2,0.0,"[['cleopatra', 'person', '1.0'], ['egypt', 'location', '1.0'], ['netflix', 'organization', '1.0'], ['greece', 'country', '1.0'], ['ptolemy', 'person', '0.75'], ['macedonia', 'location', '0.5'], ['skopjeans', 'group of people', '0.5'], ['hellenistic civilization', 'organization', '0.25']]"
3,"So while we are sitting and discussing all these small things that are very big for our historical tradition, a municipality in Skopje decided to use the sun of Macedonia as a symbol of the municipality. While this symbol became a reason for the Supreme Court to throw a party out of the elections. I find all that is happening unthinkable, tragic. You cannot throw parties out of parliament because they have a symbol without being able to correct it. Of course, a national symbol, a Greek symbol. It's not a symbol which, nor a trademark could be used by a company. And to prove the point, there is an attempt to undermine the cultural and heritage tradition.","Την ώρα λοιπόν που εμείς καθόμαστε και συζητάμε όλα αυτά τα μικρά που είναι πολύ μεγάλα για την ιστορική μας παράδοση, δήμος στα Σκόπια αποφάσισε να χρησιμοποιεί τον ήλιο της Μακεδονίας ως σύμβολο του δήμου. Την ώρα που αυτό το σύμβολο έγινε αφορμή ώστε ο Άρειος Πάγος ένα κόμμα να το πετάξει εκτός εκλογών. Θεωρώ αδιανόητα όλα αυτά που συμβαίνουν, τραγικά. Δεν μπορείς να πετάς κόμματα εκτός κοινοβουλίου γιατί έχουν ένα σύμβολο χωρίς να μπορούν να το διορθώσουν. Βέβαια, σύμβολο εθνικό, σύμβολο ελληνικό. Δεν είναι σύμβολο το οποίο, ούτε εμπορικό σήμα θα μπορούσε να χρησιμοποιηθεί από μια εταιρεία. Και για να πιστοποιήσω του λόγου το αληθές, υπάρχει μια προσπάθεια υποτονισμού της πολιτισμικής και πολιτιστικής παράδοσεως. ",criticism,national security,other,-0.75,0.0,0.0,"[['skopje', 'location', '1.0'], ['macedonia', 'country', '1.0'], ['supreme court', 'organization', '1.0'], ['parliament', 'organization', '1.0'], ['greek', 'political party', '1.0']]"
4,"If Cretans knew how important it is to be Cretan, Crete would be different. You delivered civilization with linear A and linear b, you gave the lights to Greek civilization. This is where the civilization of Greece began. As the donors of Greek civilization, the parties and the state must honor Crete. This is what we will do in our advertising message, our campaign spot. That is, to use this opportunity to communicate the message of Crete throughout Greece and the world.","Αν οι Κρητικοί γνωρίζετε τι σημαντικό είναι να είστε Κρητικοί, θα ήταν διαφορετική και η Κρήτη. Εσείς παραδώσατε πολιτισμό με τη γραμμική Α και τη γραμμική β, εσείς δώσατε τα φώτα στον ελληνικό πολιτισμό. Από 'δω ξεκίνησε ο πολιτισμός της Ελλάδος. Ως δωροθέτες του ελληνικού πολιτισμού, πρέπει τα κόμματα και η πολιτεία να τιμήσει την Κρήτη. Αυτό θα κάνουμε στο διαφημιστικό μας μήνυμα, το προεκλογικό μας σποτ. Να χρησιμοποιήσουμε δηλαδή τη δυνατότητα αυτή, να επικοινωνήσουμε το μήνυμά της Κρήτης σε όλη την Ελλάδα και σε όλο τον κόσμο. ",political agenda,culture,other,0.8,0.0,0.0,"[['cretans', 'person', '0.75'], ['crete', 'location', '0.75'], ['linear a', 'organization', '0.75'], ['linear b', 'organization', '0.75'], ['greek civilization', 'organization', '0.75'], ['greece', 'country', '0.75'], ['parties', 'organization', '0.75'], ['state', 'organization', '0.75'], ['crete', 'organization', '0.75'], ['greece', 'country', '0.75'], ['the world', 'location', '0.75']]"
5,"But I would like to go a little bit into the economics. I'm going to show you a map, I don't know if the TVs can pick it up. It's the geometric progression of debt and GDP. So if you look here we're talking about 2004 to 2023. It's this chart that shows the increase in debt to about 400 billion euros. So what has the new democracy achieved? To increase the debt by 400 billion euros. To have 50% red loans of the loans that exist in the market and, above all, to put Greeks at risk of losing their homes. It is a wonder that PASOK, New Democracy and SYRIZA have legislated precisely in the interests of the funds and people who act as crows and do not protect the property of the Greeks. I know that Crete does not have such a big problem with borrowers, but the rest of Greece is groaning under the boot of the loans. We have proposed something specific, the cancellation of debts, across-the-board, including the EFKA, the tax office and the tax office and the loans, but no one listens to us. The huge success for the new democracy is that Greece is now the third worst in the European Union in terms of GDP per capita, in terms of our purchasing power, in terms of units of strength. To be third worst in terms of the poverty rate. In other words, Greece is third from the bottom of all the countries of the European Union in terms of poverty.","Θα ήθελα όμως να πάμε και λίγο στα οικονομικά. Θα σας δείξω έναν χάρτη, δεν ξέρω αν μπορούν να το πάρουν οι τηλεοράσεις. Είναι η γεωμετρική πρόοδος του χρέους και του ΑΕΠ. Αν δείτε λοιπόν εδώ μιλάμε για το 2004 μέχρι το 2023. Είναι αυτός ο πίνακας που δείχνει την αύξηση του χρέους στα 400 περίπου δισεκατομμύρια ευρώ. Δηλαδή τι πέτυχε η νέα δημοκρατία; Να αυξήσει το χρέος 400 δισεκατομμύρια ευρώ. Να έχουμε 50% κόκκινα δάνεια των δανείων που υπάρχουν στην αγορά και κυρίως να κινδυνεύει ο έλληνας να χάσει τα σπίτια του. Είναι απορίας άξιο πως ΠΑΣΟΚ, Νέα δημοκρατία και ΣΥΡΙΖΑ νομοθέτησαν επακριβώς προς το συμφέρον των funds και των ανθρώπων που λειτουργούν ως κοράκια και δεν προστατεύουν την περιουσία των Ελλήνων. Ξέρω ότι η Κρήτη δεν έχει τόσο μεγάλο πρόβλημα με τους δανειολήπτες, αλλά η υπόλοιπη Ελλάδα στενάζει κάτω από την μπότα των δανείων. Εμείς προτείναμε κάτι συγκεκριμένο, διαγραφή χρεών, οριζόντια και ΕΦΚΑ και εφορίας και δανείων, αλλά δεν μας ακούει κανένας. Η επιτυχία η τεράστια για τη νέα δημοκρατία είναι σήμερα η Ελλάδα να έχει τη τρίτη χειρότερη θέση στην Ευρωπαϊκή Ένωση, στο κατά κεφαλήν ΑΕΠ, στην αγοραστική μας δύναμη, σε μονάδες δύναμης. Να είμαστε τρίτη χειρότερη στη θέση στο ποσοστό φτώχειας. Δηλαδή η Ελλάς είναι τρίτη από το τέλος σε όλες τις χώρες της Ευρωπαϊκής Ένωσης, στη φτώχεια. ",criticism,other,debt regulations,-0.8,0.2,0.2,"[['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['greeks', 'group of people', '1.0'], ['crete', 'location', '1.0'], ['greece', 'country', '1.0'], ['european union', 'organization', '1.0'], ['2004 to 2023', 'date', '1.0'], ['400 billion euros', 'organization', '1.0'], ['50%', 'organization', '1.0'], ['efka', 'organization', '1.0'], ['tax office', 'organization', '1.0'], ['debt', 'organization', '1.0'], ['gdp', 'organization', '1.0']]"
6,"We also have the highest youth unemployment and if you include the 700,000 young people who have gone abroad, then things become even more dramatic.","Επίσης έχουμε την πρώτη θέση στην ανεργία των νέων και αν συνυπολογίσουμε τις 700.000 νέους που έφυγαν στο εξωτερικό, τότε τα πράγματα γίνονται περισσότερο δραματικά. ",political agenda,employment,youth,-0.75,0.0,0.0,"[['youth', 'group of people', '0.50'], ['700', '000', 'number', '0.50']]"
7,We are third worst in the European Union in terms of the percentage of people unable to take a week's holiday.,Είμαστε τρίτη χειρότερη στη θέση στην Ευρωπαϊκή Ένωση σε ποσοστό όσων αδυνατούν να πάνε μια εβδομάδα διακοπές. ,,tourism,other,-0.7,0.5,0.0,"[['european union', 'organization', '0.8'], ['week', 'date', '0.4']]"
8,"We are second in the European Union in the ratio, if you like, of police officers to residents with a crime and delinquency problem. That is a complete failure in terms of the security of the new democracy.","Είμαστε στη δεύτερη θέση στην Ευρωπαϊκή Ένωση στην αναλογία, αν θέλετε, αστυνομικών και κατοίκων με πρόβλημα εγκληματικότητας και παραβατικότητος. Αυτό σημαίνει πλήρη αποτυχία στο θέμα της ασφάλειας της νέας δημοκρατίας. ",criticism,national security,police violence,-0.6,0.0,0.0,"[['european union', 'location', '0.8'], ['police officers', 'group of people', '0.6'], ['residents', 'group of people', '0.6'], ['democracy', 'organization', '0.5']]"
9,"Last place for freedom of the press. Here, of course, the new democracy has achieved the impossible. Greece, the country that gave birth to democracy, has no freedom of press and speech. It controls all the media anyway. Especially in the big national media, which go along with government policy and even sometimes provocatively anger the opposing parties, I am referring to all parties, with the presence of the ERC and the absence of pluralism and pluralism, which ERC takes a strange attitude in favour of the new democracy. I understand that Mr Koutroumanos was Mr Mitsotakis's suggestion to the ERC, but he should at least observe ethics.","Τελευταία θέση στην ελευθερία του Τύπου. Εδώ βέβαια η νέα δημοκρατία πέτυχε το ακατόρθωτο. Η Ελλάς, η χώρα που γέννησε τη δημοκρατία να μην έχει ελευθερία του Τύπου και του λόγου. Έτσι κι αλλιώς ελέγχει όλα τα μέσα ενημερώσεως. Κυρίως στα μεγάλα πανελλαδικά, τα οποία πηγαίνουν παράλληλα στην κυβερνητική πολιτική και μάλιστα πολλές φορές προκλητικά θυμώνουν τα αντίπαλα κόμματα, αναφέρομαι σε όλα τα κόμματα, με την παρουσία του ΕΣΡ και απουσία από τον πλουραλισμό και την πολυφωνία, το οποίο ΕΣΡ κρατάει μια περίεργη στάση υπέρ της νέας δημοκρατίας. Εγώ αντιλαμβάνομαι ότι ο κύριος Κουτρουμάνος ήταν πρόταση του κύριου Μητσοτάκη στο ΕΣΡ, αλλά πρέπει να τηρήσει τουλάχιστον τη δεοντολογία. ",criticism,media,press freedom,-0.8,0.75,0.2,"[['greece', 'country', '1.0'], ['erc', 'organization', '0.8'], ['mr koutroumanos', 'person', '0.8'], ['mr mitsotakis', 'person', '0.8']]"
10,"Unfortunately, this shows that we are going down dangerous paths of regime choices, and I said before that you cannot ban parties for using a symbol that is Greek, not of another country or a word or two words and then ban them from running for elections. It is a disgrace what is happening. Just as it is shameful for a party to denounce other parties and it comes to the point where party leaders or party officials kill each other for a position. I stop here because things are much more difficult for the elections because listen. A million or so Greek expatriates had the opportunity, because they exist, to vote if the state helped them. Of these, only twenty-five thousand will vote, expatriates, and they will go to vote because they are on some lists. The strange thing is that Argentinean Greeks vote in Houston, USA. So they will be forced to leave Argentina and go to vote thousands of miles away, go to Houston. The North-Epetians can vote in Sofia. The Greeks of Perth vote in Melbourne three and a half thousand kilometres away. This is not a vote for the expatriates, who must vote, they must participate, they must intervene, because the expatriates are very important to Greece. In order to have extroversion, New Democracy did everything possible to create problems for our expatriates. I say this because Cretans also have expatriates all over the world, mainly in America, as far as I know, and unfortunately this state does not help Greek expatriates to vote. Let me put it differently, the government is doing everything possible to prevent them from voting. Perhaps because it is afraid of the love for the Greek national issues, history and culture that expats have for Greece and wants to prevent them from going to the polls.","Δυστυχώς αυτό δείχνει ότι περνάμε σε επικίνδυνα μονοπάτια καθεστωτικών επιλογών και είπα και προηγουμένως δεν μπορείς να απαγορεύεις κόμματα επειδή χρησιμοποιήσαν ένα σύμβολο το οποίο είναι ελληνικό, δεν είναι άλλης χώρας ή μία λέξη ή δύο λέξεις και να τους απαγορευείς να κατέβουν σε εκλογές. Είναι ντροπή αυτό που γίνεται. Όπως ντροπή είναι ένα κόμμα να καταγγέλλει άλλα κόμματα και να φτάνουν στο σημείο να σκοτώνονται μεταξύ τους οι αρχηγοί ή τα στελέχη των κομμάτων για μια θέση. Σταματώ εδώ, γιατί τα πράγματα είναι πολύ πιο δύσκολα για τις εκλογές, διότι ακούστε. Ένα εκατομμύριο έλληνες ομογενείς είχαν τη δυνατότητα περίπου, γιατί υπάρχουν, να ψηφίσουν, εάν η πολιτεία τους βοηθούσε. Από αυτούς μόνο οι εικοσιπέντε χιλιάδες θα ψηφίσουν, ομογενείς, και θα πάνε να ψηφίσουν γιατί γράφτηκαν σε μερικούς καταλόγους. Το περίεργο είναι ότι οι Έλληνες της Αργεντινής ψηφίζουν στο Χιούστον των ΗΠΑ. Δηλαδή θα τους αναγκάσουν να φύγουν από την Αργεντινή και να πάνε να ψηφίσουν χιλιάδες χιλιόμετρα μακριά, να πάνε στο Χιούστον. Οι βορειοηπειρώτες μπορούν να ψηφίσουν στη Σόφια. Οι Έλληνες του Περθ ψηφίζουν στη Μελβούρνη τρεισήμισι χιλιάδες χιλιόμετρα μακριά. Αυτό δεν είναι ψήφος των ομογενών, οι οποίοι πρέπει να ψηφίζουν, πρέπει να συμμετέχουν, πρέπει να παρεμβαίνουν, γιατί η ομογένεια είναι πολύ σημαντική για την Ελλάδα. Για να έχει εξωστρέφεια, έκανε τα αδύνατα δυνατά η Νέα Δημοκρατία για να δημιουργήσει προβλήματα στους ομογενείς μας. Τα λεω αυτά γιατί και οι Κρητικοί έχουν ομογενείς σε όλο τον κόσμο, κυρίως στην Αμερική, εξ όσων γνωρίζω και δυστυχώς αυτή η πολιτεία δεν βοηθάει τους Έλληνες ομογενείς να ψηφίσουν. Θα το πω διαφορετικά, η κυβέρνηση κάνει τα αδύνατα δυνατά ώστε να μην ψηφίσουν. Ίσως γιατί φοβάται την αγάπη για τον νόστο που έχουν ομογενείς για την Ελλάδα, για τα εθνικά θέματα, την ιστορία και τον πολιτισμό και θέλει να τους αποτρέψει να παν στις κάλπες. ",political agenda,elections,other,-0.6,0.2,0.0,"[['new democracy', 'organization', '0.8'], ['greeks', 'group of people', '0.9'], ['greek', 'country', '0.8'], ['greek expatriates', 'group of people', '0.9'], ['argentina', 'location', '0.7'], ['houston', 'location', '0.8'], ['north-epetians', 'group of people', '0.6'], ['sofia', 'location', '0.8'], ['perth', 'location', '0.8'], ['melbourne', 'location', '0.8'], ['cretans', 'group of people', '0.6'], ['america', 'location', '0.5'], ['greek national issues', 'organization', '0.7'], ['greece', 'country', '0.9']]"
