id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"Thank you all for being here today to make a brief summary and introduction of course in relation to what we have seen in Kalamata and Messinia as a whole. We are over-optimistic now, not just optimistic. We are walking around without riot police and without a flag, as other political leaders do. City by city, people by people, because we believe that this is where we can really find the Greeks, who are having a difficult time at this particular time, so that we can be close to them, so that we can listen to them. It is very important that Greeks, especially political leaders and politicians, listen to the problems of the citizens.","Σας ευχαριστώ όλους που είστε σήμερα εδώ να κάνω μια μικρή περίληψη και εισαγωγή σε σχέση βέβαια με τα όσα είδαμε στην Καλαμάτα και στη Μεσσηνία συνολικά. Είμαστε υπεραισιόδοξοι πλέον, όχι απλά αισιόδοξοι. Εμείς περιδιαβαίνουμε χωρίς ΜΑΤ και χωρίς σημαία, όπως κάνουν οι άλλοι πολιτικοί αρχηγοί. Πόλη-πόλη λαϊκή-λαϊκή γιατί πιστεύουμε ότι εκεί μπορούμε να βρούμε πραγματικά τους Έλληνες, οι οποίοι περνούν δύσκολα τη συγκεκριμένη χρονική περίοδο για να είμαστε κοντά τους, να τους ακούσουμε. Είναι πολύ σημαντικό να ακούν οι Έλληνες, κυρίως οι πολιτικοί αρχηγοί και οι πολιτικοί τα προβλήματα των πολιτών. ",political agenda,democracy,other,0.75,0.0,0,"[['kalamata', 'location', '0.8'], ['messinia', 'location', '0.8'], ['greeks', 'group of people', '0.7'], ['greeks', 'country', '0.5'], ['riot police', 'organization', '0.6'], ['political leaders', 'group of people', '0.8'], ['politicians', 'group of people', '0.7'], ['citizens', 'group of people', '0.6']]"
2,"We'll start with the politics. This morning we had a blunt admission by a New Democracy candidate, Mr Kaouki, of apostasy. Mr Kaoukis told a television channel that if New Democracy does not get the necessary MPs, it will get them from other parties. And indirectly confirmed the communication Mylonakis, as he said indirectly with New Democracy. So, this means that the ethics committee did very well in this story. It was perceived as a defection. People who were supposedly in the Hellenic Solution, but were working for other parties. And we make it clear once again in every direction and especially to the Prime Minister and his entourage. Their namesakes. Under another name. Of the alleged renegades that the Hellenic Solution will not accept any but no crack in its unbroken front for government. We will not co-govern, we want to govern Greece. For the benefit of the Greeks and not for the benefit of foreign agents or foreign countries. So this blunt admission should make the Prime Minister realize that he cannot play with institutions and parties. Shame on New Democracy, this historic, but more shame on the prime minister's entourage. That is where its rot and the country's difference begins.","Θα ξεκινήσουμε με τα πολιτικά. Σήμερα το πρωί είχαμε μια ωμή παραδοχή υποψήφιου βουλευτή της Νέας Δημοκρατίας του κυρίου Καούκη για αποστασία. Ο κύριος Καούκης λοιπόν είπε σε τηλεοπτικό δίαυλο ότι η Νέα Δημοκρατία σε περίπτωση που δεν πάρει τους απαραίτητους βουλευτές, θα πάρει από άλλα κόμματα. Και εμμέσως επιβεβαίωσε την επικοινωνία Μυλωνάκη, όπως ο ίδιος είπε έμμεσα με τη Νέα Δημοκρατία. Αυτό λοιπόν, σημαίνει ότι η επιτροπή δεοντολογίας πολύ ορθά έπραξε στην ιστορία αυτή της. Φερόμενης ως αποστασίας. Ανθρώπων που δήθεν ήταν στην Ελληνική Λύση, αλλά δούλευαν για άλλα κόμματα. Και ξεκαθαρίζουμε για ακόμα μία φορά προς κάθε κατεύθυνση και κυρίως στον πρωθυπουργό και την παρέα του. Συνονόματους. Με άλλο όνομα. Των φερομένων ως αποστάτες ότι η Ελληνική Λύση δεν θα δεχθεί καμία μα καμία ρωγμή στο αρραγές της μέτωπο για κυβέρνηση. Εμείς δεν θα συγκυβερνήσουμε, θέλουμε να. Κυβερνήσουμε την Ελλάδα. Προς τέρψιν των Ελλήνων και όχι των ξένων παραγόντων ή των ξένων χωρών. Η ωμή παραδοχή αυτή λοιπόν, πρέπει να κάνει τον πρωθυπουργό να αντιληφθεί ότι δεν μπορεί να παίζει με θεσμούς και με κόμματα. Ντροπή στη Νέα Δημοκρατία, το ιστορικό αυτό, αλλά μεγαλύτερη ντροπή στο πρωθυπουργικό περιβάλλον. Από εκεί ξεκινάει η σήψη της και η διαφορά της χώρας. ",criticism,democracy,other,-0.6,0.3,0,"[['new democracy', 'organization', '1.0'], ['mr kaouki', 'person', '1.0'], ['new democracy', 'organization', '1.0'], ['mylonakis', 'person', '1.0'], ['hellenic solution', 'political party', '1.0'], ['prime minister', 'person', '1.0'], ['greece', 'country', '1.0']]"
3,"The second is the effort and I see it being broadcast on many Greek Solution sites today. To ensure the integrity of the elections. Singular is not the company that Greek democracy can rely on. It is a company that is corrupt in the sense that it has family connections. The company that bought it with the Prime Minister's entourage. We must and we have submitted it to the bipartisan committee to have a software audit from September, cries Hellenic Solution and the speaker you see before you. That they have installed software that can steal the election. And I say it so bluntly. We begged Mr. Tsipras. And the other parties in the bipartisan to have the software tested by independent experts. We are sounding the alarm about election theft are they capable of anything when their MPs admit defections? It is certain that in order to govern and to be able to win them or their friends billions of euros from the Recovery Fund they are capable of anything. The Greek Solution does not play with the institutions. The Greek Solution is institutionally democratic. This is the party that will change Greece. I am waiting for the reactions of the other parties, because if Mr. Tsipras does not speak. If the other parties do not speak, it means that they too are participants and accomplices in a rigged election. And I say so, crudely staged. Let's get our roles straight a little bit.","Το δεύτερο είναι η προσπάθεια και το βλέπω σήμερα να μεταδίδεται σε πολλά site της Ελληνικής Λύσης. Για να διασφαλίσουμε το αδιάβλητο των εκλογών. Η εταιρεία Singular δεν είναι η εταιρεία στην οποία μπορεί να βασιστεί η ελληνική δημοκρατία. Είναι μια εταιρεία που είναι διαβλητή υπό την έννοιαν ότι έχει οικογενειακές σχέσεις. Η εταιρεία που την εξαγόρασε με το περιβάλλον του πρωθυπουργού. Πρέπει και το καταθέσαμε στη διακομματική επιτροπή να υπάρξει έλεγχος λογισμικού από τον Σεπτέμβριο φωνάζει η Ελληνική Λύση και ο ομιλών που βλέπετε μπροστά σας. Ότι έχουν εγκαταστήσει ένα λογισμικό που μπορούν να κλέψουν τις εκλογές. Και το λέω έτσι ωμά. Παρακαλέσαμε τον κύριο Τσίπρα. Και τα υπόλοιπα κόμματα στη διακομματική να ελεγχθεί με ανεξάρτητους εμπειρογνώμονες το λογισμικό. Κρούουμε κώδωνα κινδύνου για κλοπή στις εκλογές είναι ικανοί για όλα όταν οι βουλευτές τους παραδέχονται αποστασίες; Είναι βέβαιο ότι για να κυβερνήσουν και να μπορούν να κερδίσουν αυτοί ή οι φίλοι τους δισεκατομμύρια ευρώ από το Ταμείο Ανάκαμψης είναι ικανοί για όλα. Η Ελληνική Λύση δεν παίζει με τους θεσμούς. Η Ελληνική Λύση είναι θεσμικά δημοκρατικά. Αυτή η παράταξη, η οποία θα αλλάξει την Ελλάδα. Περιμένω τις αντιδράσεις των υπόλοιπων κομμάτων, διότι αν δεν μιλήσει ο κύριος Τσίπρας. Εάν δεν μιλήσουν και τα υπόλοιπα κόμματα, σημαίνει ότι και αυτή είναι σημαίνει ότι και αυτοί είναι συμμέτoχοι και συνένοχοι σε μια εκλογική διαδικασία στημένη. Και το λέω έτσι, ωμά στημένη. Για να ξεκαθαρίσουμε λίγο τους ρόλους μας. ",criticism,corruption,other,-0.75,0.0,0,"[['greek', 'organization', '0.6'], ['hellenic solution', 'political party', '1.0'], ['prime minister', 'person', '1.0'], ['mr. tsipras', 'person', '1.0'], ['bipartisan committee', 'group of people', '0.6'], ['greece', 'country', '1.0'], ['recovery fund', 'organization', '0.6']]"
4,"The third one, which for me is very important and I will say it now. I learn that the Supreme Court. He left. A party that declares itself Turkish to run in the elections. So you allow parties that are anti-national, since they declare themselves Turkish to run in elections and you reject them with ridiculous excuses? Other parts that have another opinion. The parts that were cut. They have a stance on national issues, especially Macedonia, the Aegean and exploitation. What the Greek Solution has been saying for many, many years. And they are parties that have a patriotic view and discourse. The parties that were cut are parties that would have created a problem for Mr Mitsotakis and his party, which is not New Democracy. The parties that passed are parties that are fluid. National perception I am not talking about the Turkish party that had to get out anyway. I cannot understand what judge can let a party that has another national consciousness go free in our national elections. But to prevent other parties.","Το τρίτο που για μένα είναι πάρα πολύ σημαντικό και θα το πω τώρα. Μαθαίνω ότι ο Άρειος Πάγος. Άφησε. Ένα κόμμα που δηλώνει τούρκικο να κατέβει στις εκλογές. Αφήνεις λοιπόν κόμματα αντεθνικά, αφού δηλώνουν Τούρκοι να κατεβαίνουν σε εκλογές και απορρίπτεις με γελοίες δικαιολογίες; Άλλα κομμάτια που έχουν μια άλλη άποψη. Τα κομμάτια που κόπηκαν. Έχουν στάση στα εθνικά θέματα, κυρίως για τη Μακεδονία, για το Αιγαίο και την εκμετάλλευση. Αυτά που λέει και η Ελληνική Λύση εδώ και πάρα πολλά χρόνια. Και είναι κόμματα που έχουν πατριωτική άποψη και λόγο. Τα κόμματα που κόπηκαν είναι κόμματα που θα δημιουργούσαν πρόβλημα στον κύριο Μητσοτάκη και στο κόμμα, του που δεν είναι η Νέα Δημοκρατία. Τα κόμματα που πέρασαν είναι κόμματα που έχουν ρευστή. Εθνική αντίληψη δεν μιλάω για το κόμμα το τούρκικο που έπρεπε να βγει έτσι και αλλιώς έξω. Δεν μπορώ να καταλάβω ποιος δικαστής μπορεί να αφήνει ελεύθερο ένα κόμμα που έχει άλλη εθνική συνείδηση στις εθνικές μας εκλογές. Αλλά να αποτρέπει άλλα κόμματα. ",criticism,national security,other,-0.45,0.0,0,"[['supreme court', 'organization', '1.0'], ['turkish party', 'political party', '1.0'], ['greek solution', 'political party', '1.0'], ['macedonia', 'location', '1.0'], ['aegean', 'location', '1.0'], ['mr mitsotakis', 'person', '1.0'], ['new democracy', 'political party', '1.0']]"
5,"So, from yesterday, the Greek Solution. Overcoming any personal mood that each of us may have. Any personal or party interest. It calls all Greeks, the parties that were cut off, to re-unite and to join in a pan-army. To join forces after May 21 to strike at the whole horizontal system that has a certain point of view. An anti-national unpopular view, with measures that create a huge problem for Greece and the Greeks and we say to them after May 21, leave the presidential elections, leave the chairman's views and perceptions and come under the umbrella of Greece to unite together to create the great Greek patriotic party. The Hellenic Solution, realizing the debt to Greece, took the first step on May 21 then after the elections. The process of unification of the patriotic forces must be initiated. There can be no baby-faced ambitions. Vanities can create obstacles to this patriotic call. So we shall see what happens from there? That's all I could say as an introduction. On many different subjects.","Έτσι λοιπόν, από χθες η Ελληνική Λύση. Ξεπερνώντας την όποια προσωπική αν θέλετε διάθεση που έχει ο καθένας μας. Το όποιο προσωπικό ή κομματικό συμφέρον. Καλεί σε επανελλήνιση και πανστρατιά όλους τους Έλληνες, τα κόμματα που κόπηκαν. Για να ενώσουμε δυνάμεις μετά την 21η Μαίου για να χτυπήσουμε όλο το οριζόντιο σύστημα που έχει συγκεκριμένη άποψη. Άποψη αντεθνική αντιλαϊκή, με μέτρα τα οποία δημιουργούν τεράστιο πρόβλημα στην Ελλάδα και στους Έλληνες και τους λέμε μετά τις 21 Μαΐου, αφήστε τα προεδριλίκια, αφήστε τις καρεκλοκένταυρες απόψεις και αντιλήψεις και ελάτε κάτω από την ομπρέλα της Ελλάδος να ενωθούμε όλοι μαζί για να δημιουργήσουμε την μεγάλη ελληνική πατριωτική παράταξη. Η Ελληνική Λύση, αντιλαμβανόμενη το χρέος απέναντι στην Ελλάδα, έκανε το πρώτο βήμα 21 Μαΐου λοιπόν μετά τις εκλογές. Πρέπει να εκκινήσει η διαδικασία Ενώσεως των πατριωτικών δυνάμεων. Δεν μπορεί μωροφιλοδοξίες. Ματαιοδοξίες να δημιουργούν προσκόμματα σε αυτή την πρόσκληση την πατριωτική. Θα δούμε λοιπόν τι θα γίνει από κει και πέρα; Αυτά ως εισαγωγή θα μπορούσα να πω πολλά. Για πολλά και διάφορα θέματα. ",political agenda,other,other,0.0,0.1,0,"[['greek solution', 'organization', '1.0'], ['greeks', 'group of people', '1.0'], ['may 21', 'date', '1.0'], ['presidential elections', 'organization', '1.0'], [""chairman's views"", 'organization', '1.0'], ['greece', 'country', '1.0'], ['hellenic solution', 'organization', '1.0'], ['patriotic forces', 'group of people', '1.0']]"
6,"I'll just mention one, if you'll allow me. The one that they keep hiding on the channels and I'm sorry, but I'll show it. Here you see the American ambassador, the Greek-American is Tzounis with Mr. Tsipras. Here are the two of them at the Delphi Forum. A forum of dubious usefulness for our national, mostly national, issues. There have been two incidents that no channel, not even the New Democracy's, have shown. The first event was Mr Tsipras' statement that he does not want mining in Greece. He does not want mining; we are talking about trillions of euros of Greek money that we can give to 10 million million Greeks and they can live with golden spoons. We are talking about 3 trillion euros stored in the depths of the Greek earth and he does not want mining. So Mr Tsipras is in line with the earlier statements of Mr Dendias and Mr Mitsotakis, no mining in Greece for gas or other hydrocarbons.","Θα αναφερθώ μόνο σε ένα θα μου επιτρέψετε. Σε αυτό που αποκρύπτουν συνεχώς στα κανάλια και λυπάμαι, αλλά θα το δείξω. Εδώ βλέπετε τον αμερικανό πρέσβη Ελληνοαμερικανός είναι ο Τζούνης μαζί με τον κύριο Τσίπρα. Εδώ βρίσκονται οι δυο τους στο Φόρουμ των Δελφών. Ένα φόρουμ αμφιβόλου χρησιμότητας για τα εθνικά μας, κυρίως θέματα. Έγιναν δυο συμβάντα που κανένα κανάλι ούτε ακόμα τα της Νέας Δημοκρατίας δεν παρουσίασαν. Το πρώτο συμβάν ήταν η δήλωση του κυρίου Τσίπρα ότι δεν θέλει εξορύξεις στην Ελλάδα. Δεν θέλει εξορύξεις, μιλάμε για τρισεκατομμύρια ευρώ χρήματα των Ελλήνων που μπορούν να τα δώσουμε στα 10 εκατομμύρια εκατομμυρίων Ελλήνων και να ζουν με χρυσά κουτάλια. Μιλάμε για 3 τρισεκατομμύρια ευρώ αποθηκευμένα στα έγκατα της ελληνικής γης και δεν θέλει εξορύξεις. Συνταυτίζεται λοιπόν ο κύριος Τσίπρας με τις δηλώσεις παλαιότερες του κυρίου Δένδια και του κυρίου Μητσοτακη, όχι εξορύξεις στην Ελλάδα φυσικού αερίου ή υπόλοιπων υδρογονανθράκων. ",criticism,environment,other,-0.8,0.1,0,"[['american', 'organization', '0.8'], ['tzounis', 'person', '0.7'], ['tsipras', 'person', '1.0'], ['delphi forum', 'organization', '0.6'], ['new democracy', 'political party', '0.8'], ['mr dendias', 'person', '0.7'], ['mr mitsotakis', 'person', '0.7'], ['greece', 'country', '1.0']]"
7,"The second one that occurred and was shut down by the channels at the very same forum conference by Mr. Tsounis, the Greek-American. He said that yes, Turkey should get F16s. To end the story. Keep the 2 statements. They are a prelude to what will happen after May 21. Co-exploitation in the Aegean with Turkey is coming. A coalition of the 3 parties is coming, 2 certainly 3 if need be, because they now agree on everything and disagree on a few. Where they disagree. In their hypocrisy. Who is more of a hypocrite and liar when I see a Syriza TV spot? On red loans. SYRIZA's that did. And that's what's weird and hypocritical about electronic auctions. That he arrested by order of Mr. Tsipras those who disagreed. So the one who did the electronic auctions today says, will he change the law to save us?","Το δεύτερο που σημειώθηκε και το έκλεισαν τα κανάλια στην ίδια ακριβώς στο ίδιο συνέδριο φόρουμ ο κύριος Τσούνης, ο Ελληνοαμερικανός. Είπε ότι ναι, η Τουρκία πρέπει να πάρει F16. Για να τελειώνει η ιστορία. Κρατήστε τις 2 δηλώσεις. Είναι πρόκριμα για το τι θα συμβεί μετά την 21 Μαϊου. Έρχεται συνεκμετάλλευση στο Αιγαίο με την Τουρκία. Έρχεται συγκυβέρνηση των 3 κομμάτων, των 2 σίγουρα των 3 αν χρειαστεί, γιατί συμφωνούν πλέον σε όλα και διαφωνούν στα λίγα. Πού διαφωνούν. Στην υποκρισία τους. Ποιος είναι περισσότερο υποκριτής και ψεύτης όταν βλέπω τηλεοπτικό σποτ του ΣΥΡΙΖΑ; Για τα κόκκινα δάνεια. Του ΣΥΡΙΖΑ που έκανε. Και αυτό είναι το περίεργο και το υποκριτικό τους ηλεκτρονικούς πλειστηριασμούς. Που συνελάμβανε με εντολή του κυρίου Τσίπρα όσους διαφωνούσαν. Αυτός που έκανε λοιπόν τους ηλεκτρονικούς πλειστηριασμούς σήμερα λέει, θα αλλάξει το νόμο για να μας σώσει; ",criticism,elections,other,0.0,0.0,0,"[['mr. tsounis', 'person', '0.9'], ['turkey', 'country', '0.9'], ['f16s', 'organization', '0.8'], ['may 21', 'date', '0.9'], ['aegean', 'location', '0.9'], ['syriza', 'political party', '0.9'], ['mr. tsipras', 'person', '0.9']]"
8,"It's exactly the same thing. With the expensive electricity that Greeks are experiencing, why am I saying that? Because the energy exchange was legislated by Syriza. And when we talk about an energy exchange, we are talking about an exchange product, which means high price accuracy. That's just an introduction to show you their hypocrisy.","Είναι το ίδιο πράγμα ακριβώς. Με το ακριβό ρεύμα που βιώνουν οι Έλληνες, γιατί το λέω αυτό; Διότι το χρηματιστήριο ενέργειας το νομοθέτησε ο ΣΥΡΙΖΑ. Και όταν μιλάμε για χρηματιστήριο ενέργειας, μιλάμε για προϊόν χρηματιστηριακό, που σημαίνει υψηλή τιμή ακρίβεια. Αυτά ως εισαγωγή για να καταλάβετε την υποκρισία τους. ",criticism,energy,electricity,-0.4,0.0,0,"[['greeks', 'location', '0.5'], ['syriza', 'political party', '1.0']]"
9,"I am ready and at your disposal. Let me also say this. That if the people of Messina really love their country. It is mainly the farmers and stockbreeders, but also the fishermen, who must vote for the Greek Solution. Greek solution. Why do I say Messini? Why? The overwhelming majority of the work of the Greek MEP Mr. Fragos. In the European Parliament was it an issue? The Kalamata olive and the oil of Messinia? We fought to protect this product. It was taken over by a Greek MEP. When the others have 5, 6, 7 and we made it a flag.","Είμαι έτοιμος και στη διάθεσή σας. Να πω βέβαια και το εξής. Ότι αν πραγματικά οι Μεσσήνιοι αγαπάνε τον τόπο τους. Πρέπει να ψηφίσουν κυρίως οι αγρότες και κτηνοτρόφοι, αλλά και οι αλιείς Ελληνική Λύση. Ελληνικη λυση. Γιατί λέω η Μεσσήνη; Γιατί; Η συντριπτική πλειοψηφία της εργασίας του Έλληνος, ευρωβουλευτού του κυρίου Φράγκου. Εις το Ευρωκοινοβούλιο ήτο ένα θέμα; Η ελιά Καλαμών και το λάδι της Μεσσηνίας; Αγώνα κάναμε για να προστατεύσουμε αυτό το προϊόν. Το πήρε πάνω του ένας έλληνας ευρωβουλευτής. Όταν οι άλλοι έχουν 5, 6, 7 και το κάναμε σημαία. ",political agenda,agricultural policy,other,0.0,0.0,0,"[['messina', 'location', '1.0'], ['greek solution', 'organization', '0.9'], ['greek mep', 'organization', '1.0'], ['european parliament', 'organization', '0.8'], ['kalamata olive', 'group of people', '0.4'], ['messinia', 'location', '1.0']]"
10,"At least the farmers should appreciate the Hellenic Solution for the struggle for the primary sector and the whole Peloponnese together. Of course, with livestock and fishing as an introduction and let us not forget that we are the only ones talking about a fourth generation port in Kalamata with a rail link from Kalamata to Florina. For national, economic and other reasons. Unfortunately, nobody listens to us. I hope that the citizens will listen to us and on 21 May they will give us an answer. If you have any questions at your disposal?","Τουλάχιστον οι αγρότες να εκτιμήσουν την Ελληνική Λύση τον αγώνα που δίνει για τον πρωτογενή τομέα και όλη η Πελοπόννησος μαζί. Βέβαια, με την κτηνοτροφία και την αλιεία αυτά ως εισαγωγή και μην ξεχνιόμαστε ότι είμαστε οι μόνοι που μιλάμε για ένα λιμάνι τέταρτης γενιάς στην Καλαμάτα με διασύνδεση σιδηροδρομική από την Καλαμάτα μέχρι τη Φλώρινα. Για εθνικούς, οικονομικούς και άλλους λόγους. Δυστυχώς κανένας δεν μας ακούει. Εύχομαι να μας ακούσουν οι πολίτες και 21 Μαΐου να δώσουν απάντηση. Αν έχετε ερωτήσεις στη διάθεσή σας; ",political agenda,agricultural policy,other,0.5,0.0,0,"[['hellenic solution', 'organization', '0.9'], ['peloponnese', 'location', '1.0'], ['kalamata', 'location', '1.0'], ['florina', 'location', '1.0'], ['national', 'political party', '0.6'], ['may 21', 'date', '1.0.']]"
