id,text,text_el,is_criticism,topic-context,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
1,"I would like to thank you all for being here today. I must say that whenever I come to the prefecture of Evros, mainly, but also to the whole of Thrace, but also to Evros, because I come from the region by descent or, if you like, by descent. I feel particularly well and I feel particularly well. Because we northern Greeks are a different breed of people. And a different breed of people, not in origin, but in behaviour, especially in mentality and philanthropy. I believe that. I insist on this because we are perhaps in a party that since 1912 has been liberated mainly in Northern Greece, Northern Greece, Macedonia, Northern Greece as a whole is represented in the Greek parliament. Another one in itself I would say. Our view is that the whole province as a whole. It is unjustified by 40,000 rodents and I insist on the one of Athens. There are 40,000 rodents and another 20,000 in all of Greece. Scattered rodents of the parties those we called them grouses in the past, but the unfortunate thing is that in Athens the 40,000 rodents do not get a salary of one and a half two thousand, but they are paid very well these 8 9 10,000 EUROS salaries.","Θα ήθελα να σας ευχαριστήσω όλους που είστε σήμερα εδώ. Πρέπει να πω ότι όποτε έρχομαι στο νομό Έβρου κυρίως, αλλά και σε ολόκληρη τη Θράκη, αλλά στον Έβρο, διότι έλκω εξ αγχιστείας ή αν θέλετε εκ παραφυάδων στην καταγωγή από την περιοχή. Αισθάνομαι ιδιαίτερα καλά και αισθάνομαι ιδιαίτερα καλά. Διότι εμείς οι βορειοελλαδίτες είμαστε άλλης πάστας άνθρωποι. Και άλλης ράτσας άνθρωποι όχι στην καταγωγή, αλλά στη συμπεριφορά, κυρίως στη νοοτροπία και στο φιλότιμο. Το πιστεύω. Επιμένω σε αυτό γιατί είμαστε ίσως σε ένα κόμμα που από το 1912 και μετά απελευθερώθηκε κυρίως στη Βόρεια Ελλάδα, εκπροσωπείται η Βόρεια Ελλάδα, η Μακεδονία, η βόρεια Ελλάδα συνολικά στο ελληνικό κοινοβούλιο. Ένα ακόμα αυτό καθεαυτό θα έλεγα. Βορειοελλαδικο.Η άποψή μας είναι ότι όλη η επαρχία συνολικά. Είναι αδικημένη από 40.000 τρωκτικά και επιμένω σε αυτό των Αθηνών. Είναι 40.000 τρωκτικά και άλλα 20.000 σε όλη την Ελλάδα. Διασκορπισμένα τρωκτικά των κομμάτων αυτούς που λέγαμε γκρούεζες κατά το παρελθόν, αλλά το δυστύχημα είναι ότι στην Αθήνα τα 40.000 τρωκτικά δεν παίρνουν μισθό ενάμισι δυο χιλιάρικα, αλλά πληρώνονται πάρα πολύ καλά αυτά 8 9 10.000 ΕΥΡΩ Μισθους. ",political agenda,other,other,0,0,0,"[['evros', 'location', '1.0'], ['thrace', 'location', '1.0'], ['northern greeks', 'group of people', '1.0'], ['macedonia', 'location', '1.0'], ['greek parliament', 'organization', '1.0'], ['athens', 'location', '1.0'], ['greece', 'country', '1.0'], ['1912', 'date', '1.0']]"
2,"I start like this because I understand that the political staff of the country has a problem communicating and arguing on the big issues of the country, especially the economy and national issues. We can see that their rivalry is over the very small issues. Really it's a wonder how you want a story on the shit of this known. Now journalist, his employee I don't know that this gentleman was. Who said that SYRIZA has gone as an advocate in the 17 November trials and SYRIZA has been scratched and they started arguing since yesterday afternoon, yesterday afternoon, about this issue, this issue shows that on the big issues that really concern Greek society they do not disagree on anything and they are only looking for the small ones in the small ones, that is, to disagree to fill their party audience.","Ξεκινώ έτσι, διότι αντιλαμβάνομαι ότι το πολιτικό προσωπικό της χώρας έχει ένα πρόβλημα να επικοινωνήσει επιχειρηματολογώντας στα μεγάλα ζητήματα της χώρας, κυρίως στην οικονομία και στα εθνικά θέματα. Το βλέπουμε η κόντρα τους γίνεται για τα πολύ μικρά θέματα. Πραγματικά είναι απορίας άξιον πώς θες μια ιστορία στον σκαϊ του γνωστού αυτού. Τώρα δημοσιογράφος, υπάλληλος του δεν ξερω ότι ήταν ο κύριος αυτός. Ο οποίος είπε ότι ο ΣΥΡΙΖΑ έχει πάει ως συνήγορος σε δίκες της 17 Νοέμβρη και ξιφούλκησε ο ΣΥΡΙΖΑ και άρχισαν να μαλώνουν από χθες το μεσημέρι, χθες το απόγευμα, γι αυτό το θέμα αυτό δείχνει ότι στα μεγάλα ζητήματα που πραγματικά απασχολούν την ελληνική κοινωνία δεν διαφωνούν σε τίποτα και ψάχνουν μόνο τα μικρά στα μικρά, δηλαδή για να διαφωνήσουν για να συμπληρώσουν το κομματικό τους ακροατήριο. ",criticism,other,other,-0.56,0.2,0,"[['syriza', 'organization', '0.8'], ['greek society', 'group of people', '0.7'], ['17 november trials', 'date', '0.6']]"
3,"It is a really sad picture to see New Democracy and Syriza talking about the 80s or 90s, when we are talking about two thousand and 23 for the next elections on May 21, which are very important for the Greek people, who are starving and have become beggars. I say this because this is how this election period will continue until two months ago they were talking about partnerships, the three of them, and then a month ago they started to leaflet and say that there will be a partnership between the two of them or one or the other and for the last few days they have been insulting each other. This is the election season.Tomboy clowns says the other one, I have in front of me. Aggressive determinations of the latter. Clowns murdering people, terrorists, purges in the public sector. The others, the expression, the. Not to say it in public children who go to private schools. Purges of journalists, judicial bad luck. The prime minister says the opponent, candidate for prime minister, fascists the one and the other. So you see that where they disagree is in their humble instincts they disagree on the small to rally their parties because they have no programs and no arguments. Unfortunately, I say this with bitterness because if this story continues, it will escalate very badly. And we will disorientate the Greek people. I want the Greek to go to the ballot box on May 21 to think rationally. Not to be possessed by the syndrome. And I say Stockholm; you can't vote for what has murdered you economically, socially, morally politically, it's unthinkable. It's tragic.","Είναι μια πραγματικά θλιβερή εικόνα να βλέπεις νέα δημοκρατία και ΣΥΡΙΖΑ να ομιλούν για τη δεκαετία του 80 ή του 90, όταν μιλάμε για δυο χιλιάδες 23 για τις επόμενες εκλογές στις 21 Μαΐου, που είναι πολύ σημαντικές για τον Έλληνα, ο οποίος πεινάει και τον έχουν καταστεί καταστήσει επαίτη. Το λέω έτσι, γιατί έτσι θα συνέχισει αυτή η προεκλογική περίοδος μέχρι πριν δυο μήνες μιλούσαν για συνεργασίες οι 3 τους πριν ένα μήνα άρχισαν να φυλλορροούν και να λένε μεταξύ των 2 θα γίνει συνεργασία ή του ενός ή του άλλου και εδώ και μερικές μέρες βρίζουν ο ένας τον άλλον. Αυτή είναι η προεκλογική περίοδος.Τυμβωρυχίες κλοουν λέει ο άλλος, έχω μπροστά μου. Επιθετικούς προσδιορισμούς των τελευταίων. κλοουν δολοφονίες ανθρώπων, τρομοκράτες, εκκαθαρίσεις στο δημόσιο. Οι άλλοι, η έκφραση, το. Να μην το πω κιόλας δημοσίως παιδα αυτά που πηγαίνουν στα ιδιωτικά σχολεία. Εκκαθαρίσεις σε δημοσιογράφους, δικαστικούς γκαντέμης. Ο πρωθυπουργός λέει ο αντίπαλος, υποψήφιος πρωθυπουργός, φασίστες οι μεν τους δε. Δηλαδή βλέπετε ότι εκεί που διαφωνούν είναι στα ταπεινά τους ένστικτα διαφωνούν στα μικρά για να συσπειρώσουν τα κόμματά τους, διότι δεν έχουν προγράμματα και δεν έχουν επιχειρήματα. Δυστυχώς το λέω με πικρία αυτό γιατί θα συνεχιστεί αυτή η ιστορία θα κλιμακωθεί πάρα πολύ άσχημα. Και θα αποπροσανατολίσουμε τον Έλληνα. Εγώ θέλω ο Έλληνας να πάει στην κάλπη 21 Μαΐου να σκεφτεί λογικά. Να μην διακατέχεται από το σύνδρομο. Και το λέω της Στοκχόλμης.Δεν μπορείς να ψηφίζεις αυτό που σε δολοφονησε οικονομικά, κοινωνικά, ηθικά πολιτικά είναι αδιανόητο. Είναι τραγικό. ",criticism,elections,election spending,-0.9,0.6,0.2,"[['new democracy', 'organization', '0.7'], ['syriza', 'organization', '0.7'], ['greek people', 'group of people', '0.9'], ['may 21', 'date', '0.9'], ['two months ago', 'date', '0.6'], ['the three of them', 'group of people', '0.6'], ['two of them', 'group of people', '0.6'], ['election season', 'political party', '0.5'], ['prime minister', 'person', '0.7'], ['candidate for prime minister', 'person', '0.6'], ['greek', 'country', '0.9'], ['stockholm', 'location', '0.6']]"
4,"So let me start by going a little bit into the economy. Where I see. With sadness. That the new democracy, SYRIZA, especially these two but also PASOK, are possessed by the syndrome of Abderism. Abdirism. In ancient times it was an attitude of the rich, but especially of the leaders of Avdira, where they built huge infrastructure in the city, they spent huge amounts of money to have nice fountains and nice baths, but they did not take care of how to bring the water.So does PASOK and New Democracy and SYRIZA promise money, but they do not tell us where they will find it. Their obduracy, their frivolity, their stupidity, but above all their theory is based on the short memory of the Greeks. We will say it once again, something that they all avoid to say, the European Central Bank said that in the event of a wage increase, the interest rates will increase, the interest rates of all borrowing, both of the countries and of the people.","Ξεκινώ έτσι για να πάμε λίγο στα της οικονομίας. Όπου βλέπω. Με θλίψη. Ότι η νέα δημοκρατία, ο ΣΥΡΙΖΑ, κυρίως αυτοί οι 2 αλλά και το ΠΑΣΟΚ, διακατέχονται από το σύνδρομο του Αβδηρίτισμού. Ο αβδηριτισμός. Κατά την αρχαιότητα ήταν μια συμπεριφορά των. Πλουσίων, αλλά κυρίως των ηγετών των Αβδήρων, όπου έφτιαξαν τεράστιες υποδομές στην πόλη μέσα ξόδεψαν τεράστια ποσά για να έχουν ωραίες κρήνες και ωραία λουτρά, αλλά δεν είχαν μεριμνήσει πως θα φέρουν το νερό.Έτσι κάνει και το ΠΑΣΟΚ και η Νέα Δημοκρατία και ο ΣΥΡΙΖΑ υπόσχονται λεφτά, αλλά δεν μας λένε πού θα τα βρουν. Ο αβδηριτισμός τους, η επιπολαιότητα τους, η ανοησία τους, αλλά κυρίως η θεωρία τους βασίζεται στην κοντή μνήμη των Ελλήνων. Θα το ξαναπούμε ακόμη μια φορά, κάτι που αποφεύγουν να πουν όλοι το είπε η Ευρωπαϊκή Κεντρική Τράπεζα ότι σε περίπτωση αύξησης μισθών θα αυξηθούν οι τόκοι τα επιτόκια δανεισμού όλων και κρατών και ανθρώπων. ",criticism,economy,interest rates,-0.7,0.2,0,"[['syriza', 'organization', '1.0'], ['pasok', 'organization', '1.0'], ['abderism', 'political party', '1.0'], ['avdira', 'location', '1.0'], ['pasok', 'organization', '0.5'], ['new democracy', 'organization', '0.5'], ['syriza', 'organization', '0.5'], ['greeks', 'group of people', '1.0'], ['european central bank', 'organization', '1.0']]"
5,"So, if we don't produce wealth, as the Greek solution says, if we don't support the farmers, if we don't support the fishermen, the livestock breeders, it is certain mathematically that there will be a great hunger, I say this because we are already facing hunger phenomena in cities mainly but also in villages. Why do Greeks have no money when I learned today that a farmer who paid two and a half thousand euros for water was asked to pay €9000? I was really shocked, because the peasant farmer and the fisherman who need water for their own, especially the peasant farmer who need water to be able to water and reap any fields in which. Their commodities must be supported immediately by any government, on the understanding that without them we cannot survive, so instead of helping them, they are leading them into poverty. They cannot give the shipowner tax free oil and not have tax free oil. The farmer, the stockman who feed all of us at the same time if you do that you are of course assisting. And the exports and the very important for me wrong choices are reversed what are these milk imports. Imports of like products are their crimes, the ongoing ones. I haven't stopped saying them for 4 years and I keep saying them because I'm from the province. I am a provincial and I say it straight, I am a peasant from a village I come from, I have nothing to do with the Athenian-centric system, I have nothing to do with them and I don't want them to split because our quality is totally different in the province from those who lead place.","Άρα λοιπόν, εάν δεν παράγουμε πλούτο, όπως λέει η ελληνική λύση, δεν στηρίξουμε τους αγρότες, δεν στηρίξουμε τους αλιείς, τους κτηνοτρόφους, είναι βέβαιο μαθηματικα οτι ερχεται μεγαλη πεινα το λέω γιατί ήδη αντιμετωπίζουμε φαινόμενα πείνας σε πόλεις κυρίως αλλά και σε χωριά. Γιατί οι Έλληνες δεν έχουν χρήματα όταν έμαθα σήμερα ότι ένας αγρότης που πλήρωνε δυόμιση χιλιάδες ευρώ νερό κλήθηκε να πληρώσει 9000 €; Πραγματικά σοκαρίστηκα, διότι ο αγρότης κτηνοτρόφος και ο αλιέας που χρειάζονται το νερό για τη δική τους, κυρίως ο αγρότης κτηνοτρόφος που χρειάζονται το νερό για να μπορέσουν να ποτίσουν και να καρπίσουν τα όποια χωράφια τους στα οποία. Εμπορεύματά τους πρέπει να στηριχθούν άμεσα από την όποια κυβέρνηση, υπό την προϋπόθεση ότι χωρίς αυτούς δεν μπορεί να επιβιώσουμε αντί λοιπόν να τους βοηθούν, τους οδηγούν στη φτώχεια. Δεν μπορεί να μην να δίνει στον εφοπλιστή αφορολόγητο πετρέλαιο και να μην έχει αφορολόγητο πετρέλαιο. Ο αγρότης, κτηνοτρόφος που ταΐζουν όλους εμάς ταυτοχρόνως αν το κάνεις αυτό υποβοηθάς βέβαια. Και τις εξαγωγές και τις πολύ σημαντικές για μένα λαθεμένες επιλογές τους ανατρέπει ποιες είναι αυτές οι εισαγωγές γάλακτος. Οι εισαγωγές ομοειδών προϊόντων είναι τα εγκλήματά τους, τα διαρκή. Δεν σταματώ να τα λέω 4 χρόνια και συνεχίζω να τα λέω γιατί είμαι από επαρχία. Είμαι επαρχιώτης και το λέω ευθέως, είμαι χωριάτης από χωριό Προέρχομαι, δεν έχω καμία σχέση με το αθηνοκεντρικό σύστημα, δεν έχω καμία σχέση με δαύτους και δεν θέλω να χωρίσει γιατί η ποιότητά μας είναι τελείως διαφορετική στην επαρχία από αυτούς που ηγούνται τόπου. ",political agenda,agricultural policy,other,-0.56,0.2,0.2,"[['greek', 'country', '1.0'], ['farmers', 'group of people', '1.0'], ['fishermen', 'group of people', '1.0'], ['livestock breeders', 'group of people', '1.0'], ['hunger', 'group of people', '1.0'], ['cities', 'location', '1.0'], ['villages', 'location', '1.0'], ['shipowner', 'organization', '1.0'], ['milk imports', 'organization', '1.0']]"
6,"And I'll let them insult each other as well. I have to answer the Greek Prime Minister because yesterday in Amalia and in Pyrgos he said something.I know that while he was speaking we are housewives and we are housewives, and mentioning his party, we should remind him that his party owes 430 million euros in loans, in sea loans, in battery loans, because they are battery loans, just like PASOK, so I should remind him that as a natural person he has borrowed and has not repaid them. So the landlord or the householder is neither a bachelor, nor do they leave loans unpaid, and what is worse, when they are prime ministers, they enable borrowers to take the same haircut that they gave to oligarchs, canal owners, shipowners and their friends to the tune of around EUR 6 billion.","Και θα τους αφήσω να υβρίζονται μεταξύ τους επίσης. Πρέπει να απαντήσω στον έλληνα πρωθυπουργό γιατί χθες στην αμαλιάδα και στον Πύργο είπε κάτι.Ξέρω εγώ την ώρα που μιλούσε εμείς είμαστε νοικοκυραίοι και αναφέροντας το κόμμα του να του υπενθυμίσουμε ότι το κόμμα του χρωστάει 430 εκατομμύρια ευρώ σε δάνεια θαλασσοδάνεια. μπαταξίδων διότι περι μπαταξήδων πρόκειται, όπως και το ΠΑΣΟΚ να του υπενθυμίσω λοιπόν και ως φυσικό πρόσωπο, ο ίδιος έχει δανειστεί και δεν τα έχει αποπληρώσει. Άρα λοιπόν, ο νοικοκύρης ή οι νοικοκυραίοι δεν είναι ούτε μπαταξήδες, ούτε αφήνουν απλήρωτα δάνεια και το χειρότερο δε όταν είναι πρωθυπουργοί δίνουν τη δυνατότητα στους δανειολήπτες να κάνουν το ίδιο κούρεμα που έκαναν σε ολιγάρχες καναλάρχες, εφοπλιστές και φίλους τους περίπου 6 δισεκατομμύρια ευρώ. ",criticism,debt,loans,-0.6,0.1,0,"[['greek prime minister', 'person', '0.8'], ['amalia', 'location', '0.6'], ['pyrgos', 'location', '0.6'], ['pasok', 'political party', '0.5'], ['eur', 'currency', '0.5'], ['oligarchs', 'group of people', '0.5'], ['shipowners', 'group of people', '0.5']]"
7,"I say all this because a few days ago they distributed 9 million euros to the national channels. I am not saying that the channels should not get 9 million, but I am saying that the citizen is in greater need. Much greater, and on the other hand, I must say that the regional channels did not get anything, but instead of supporting the region and the regional channels, they supported the water-headed state of Athens again, and the oligarchic channel owners again. And we are opposed to this, as we are to all the phenomena of the current phenomena of the subservience of the country's political personnel to money, to the oligarchs and canal owners, that is to say, to the plutocracy.","Τα λέω όλα αυτά διότι μοίρασαν πριν λίγες μέρες 9 εκατομμύρια ευρώ στα πανελλαδικά κανάλια. Δεν λέω να μην πάρουν 9 εκατομμύρια τα κανάλια, λέω όμως ότι έχει μεγαλύτερη ανάγκη ο πολίτης. Πολύ μεγαλύτερη και από την άλλη πρέπει να πω ότι δεν πήραν τίποτα τα περιφερειακά ελάχιστα ψίχουλα αντί να στηρίξουν την περιφέρεια και τα περιφερειακά κανάλια, λοιπόν, στήριξαν πάλι το υδροκέφαλο κράτος των Αθηνών, πάλι τους εντός εισαγωγικών ολιγάρχες καναλάρχες. Και σε αυτό είμαστε αντίθετοι, όπως σε όλα τα φαινόμενα σήψεως τα φαινόμενα υποτελέιας του πολιτικού προσωπικού της χώρας στο χρήμα, στους ολιγάρχες και καναλάρχες, στην πλουτοκρατία δηλαδή. ",criticism,media,other,-0.8,0,0,"[['national channels', 'organization', '0.8'], ['citizen', 'group of people', '0.6'], ['regional channels', 'organization', '0.8'], ['region', 'location', '0.7'], ['athens', 'location', '0.7'], ['plutocracy', 'political party', '0.6'], ['country', 'country', '0.5']]"
8,"I was also very annoyed by what is happening with the candidates for parliamentarians, especially in Xanthi and Rodopi. Seeing their advertising leaflets in Turkish. It is as unthinkable as seeing a party declaring themselves Turkish. And to see New Democracy and PASOK and SYRIZA competing to see who will put on their ballot the most Turks who can get into the consulate more easily. This is abhorrent to me. I am ashamed as a Greek for their choice to look at votes and not at Thrace.It is no coincidence that Erdogan's recent statements that we do not forget the elections in Thrace are not understood by the Athenians.Those who have Athenian-centric logic and not regional logic do not understand it. It is unthinkable that Mr Mitsotakis should have a press that interferes. Listen to a smaller party, which has put people back in. Through the Consulate. And who were disengaged from that party's ticket and left, resigned and New Democracy said so. It is tragic what is happening to have the consulate in charge of our Thrace. We, because we honour Thrace, have put up a candidate who is a Greek Pomak, a Greek Pomak, a patriot who is being persecuted for what is both the Greek state and the Turkish consulate. And we are proud of our choice, we chose him because he is a pomakos, he is a Greek ancient wild Greek, but the wild beasts of the Athenocentric establishment put people of the Consulate and not such lads who fight for Greece. This is our conception of the national interest and this is our view of the nation and the homeland.","Επίσης με ενόχλησε πάρα πολύ αυτό που γίνεται με τους υποψήφιους βουλευτές κυρίως στην ξάνθη και στην Ροδόπη. Να βλέπω διαφημιστικά τους φυλλάδια στα τουρκικά. Είναι αδιανόητο, όπως να βλέπω ένα κόμμα να δηλώνει Τούρκοι. Και να βλέπω τη νέα δημοκρατία και το ΠΑΣΟΚ και τον ΣΥΡΙΖΑ να διαγκωνίζονται για το ποιος θα βάλει στο ψηφοδέλτιό του τον περισσότερο Τούρκο που μπαίνει πιο εύκολα στο προξενείο. Αυτό μου είναι απεχθές. Ντρέπομαι ως Έλληνας για την επιλογή τους να κοιτάν τους ψήφους και όχι τη Θράκη.Δεν είναι τυχαίες οι δηλώσεις Ερντογάν οι πρόσφατες ότι δεν ξεχνάμε τις εκλογές στη Θράκη δεν το καταλαβαίνουν οι Αθηναίοι δεν το καταλαβαίνουν αυτοί που έχουν αθηνοκεντρική λογική και όχι περιφερειακή λογική. Είναι αδιανόητο να έχει ο κύριος Μητσοτάκης έναν Τύπο ο οποίος παρεμβαίνει. Ακούστε σε ένα μικρότερο κόμμα, που έβαλε πάλι ανθρώπους. Μέσω του Προξενείου. Και οι οποίοι απαγκιστρώθηκαν από το ψηφοδέλτιο του κόμματος αυτού και έφυγαν, παραιτήθηκαν και το είπε η Νέα Δημοκρατία. Είναι τραγικά αυτά που συμβαίνουν να κάνει κουμάντο το προξενείο στη Θράκη μας. Εμείς επειδή τιμούμε τη Θράκη, βάλαμε έναν υποψήφιο πομάκο έναν Έλληνα πομάκο, έναν πατριώτη που τον διώκουν για αυτό που είναι και το ελληνικό κράτος, αλλά και το τουρκικό προξενείο. Και είμαστε περήφανοι για την επιλογή μας, τον επιλέξαμε γιατί είναι πομάκος, είναι φύλλο ελληνικό αρχαίος αγριάνας, αλλά τα άγρια θηρία του αθηνοκεντρικού κατεστημένου βάζουν ανθρώπους του Προξενείου και όχι τέτοια παλικάρια που πολεμούν για την Ελλάδα. Αυτή είναι η αντίληψή μας για το εθνικό συμφέρον και αυτή είναι η άποψή μας για το έθνος και την πατρίδα. ",criticism,elections,other,-0.7,0.9,0,"[['xanthi', 'location', '1.0'], ['rodopi', 'location', '1.0'], ['turkish', 'group of people', '0.5'], ['new democracy', 'political party', '1.0'], ['pasok', 'political party', '1.0'], ['syriza', 'political party', '1.0'], ['thrace', 'location', '1.0'], ['erdogan', 'person', '1.0'], ['athenians', 'group of people', '1.0'], ['mitsotakis', 'person', '1.0'], ['greek', 'country', '1.0'], ['consulate', 'organization', '1.0'], ['greek pomak', 'group of people', '1.0']]"
9,"We will not change it despite the dirty war we have suffered, despite the hatred that the new Democracy is putting out for the Greek solution, despite its undemocratic and fascist behaviour to cut off commas, sub-committees, formations, parties, it doesn't matter. Because it is the right of the Greek to vote for whomever he wants. What democracy did, not even a junta can do. And I say this bluntly. We are not concerned with the rhetoric of journalists or politicians. Do you want votes from the party? We want votes from the KKE to the most right wing, we don't care what they voted for in the last election? We want all Greeks to go and vote so that we can finally get away from a political staff that is too small and the big problems of the country.","Δεν θα την αλλάξουμε παρά τον βρώμικο πόλεμο που έχουμε υποστεί, παρά το μίσος που βγάζει η νέα Δημοκρατία για την ελληνική λύση, παρά την αντιδημοκρατική και φασιστική συμπεριφορά της να κόψει κομμάτα υποκομματίδια, μορφώματα, κόμματα, δεν έχει σημασία. Διότι είναι δικαίωμα του Έλληνα να ψηφίζει όποιον θέλει. Αυτό που έκανε η δημοκρατία δεν το κάνει ούτε χούντα. Και το λέω έτσι ωμά. Δεν μας αφορά η ρήση δημοσιογράφων ή πολιτικών. Θέλετε ψήφους από το κομμα; Εμείς θέλουμε ψήφους από το ΚΚΕ μέχρι το πλέον δεξιό, δεν μας απασχολεί τι ψήφισαν την προηγούμενη εκλογές; Θέλουμε να πάνε να ψηφίσουν όλοι οι Έλληνες για να μπορέσουμε επιτέλους να ξεφύγουμε από ένα πολιτικό προσωπικό που είναι πολύ μικρό και τα μεγάλα προβλήματα του τόπου.",political agenda,elections,abstention,0,0.1,0,"[['dirty war', 'location', '0.2'], ['democracy', 'organization', '0.5'], ['greek', 'country', '0.8'], ['kke', 'political party', '0.4'], ['greeks', 'group of people', '0.6'], ['last election', 'date', '0.3'], ['political staff', 'group of people', '0.4'], ['country', 'location', '0.7']]"
10,"And I'll say something that a Belgian writer says. Paul Carvell I read it in full and I say it to all citizens, politics needs people who don't need politics. It is a very important saying of the man. Political leaders without politics today will be nothing tomorrow if they are not elected. The speaker if not elected has a job and has a job and can do what he did before. They do not know what they will do. So I call on the Greek people to vote for a sensible Greek solution, the only Greek patriotic solution that can provide a solution to our Greece's major problems. Thank you again for being here. If there are any questions, I am willing to answer them if there are not, I think we have closed a chapter on Evros. Shall we continue? Tours where we can.","Και θα πω και κάτι που λέει ένας βέλγος συγγραφέας. Ο Πολ Καρβέλ το διαβάζω αυτούσιο και το λέω σε όλους τους πολίτες, η πολιτική χρειάζεται ανθρώπους που δεν χρειάζονται την πολιτική. Είναι πολύ σημαντική η ρήση του ανθρώπου. Οι πολιτικοί αρχηγοί χωρίς την πολιτική σήμερα δεν θα είναι τίποτε αύριο αν δεν εκλεγούν. Ο ομιλών εάν δεν εκλεγεί, έχει και εργασία έχει και δουλειά και μπορεί να κάνει αυτό που έκανε και πριν. Αυτοί δεν ξέρω τι θα κάνουν. Καλώ λοιπόν τον ελληνικό λαό να ψηφίσει συνειδητά λογικά ελληνική λύση, το μοναδικό ελληνικό πατριωτικό, που μπορεί για τη δική μας Ελλάδα να δώσει λύση στα μείζονα προβλήματα της. Σας ευχαριστώ και πάλι που είστε εδώ. Αν υπάρχουν ερωτήσεις, είμαι στη διάθεση να απαντήσω αν δεν υπάρχουν, θεωρώ ότι κλείσαμε ένα κεφάλαιο στον Έβρο. Θα συνεχίσουμε; Περιοδείες όπου προλαβαίνουμε. ",political agenda,elections,election spending,0,0,0,"[['paul carvell', 'person', '1.0'], ['greek people', 'group of people', '1.0'], ['greece', 'country', '1.0'], ['evros', 'location', '1.0'], ['tours', 'location', '1.0']]"
